group	Faecalibacterium_sp900539885	Prevotella_copri_A	Bacteroides_stercoris	Phocaeicola_plebeius_B	Phocaeicola_coprocola	Phocaeicola_sp900554435	Bifidobacterium_pseudocatenulatum	Ruminococcus_B_gnavus	Flavonifractor_sp000508885	Enterocloster_citroniae	Bacteroides_uniformis	Dialister_invisus	Alistipes_shahii	Sutterella_wadsworthensis_A	Odoribacter_splanchnicus	Bacteroides_intestinalis_A	Alistipes_A_indistinctus	Flavonifractor_plautii	Parasutterella_excrementihominis	Flavonifractor_sp000508885
Healthy	6.12735	18.1055	0	0	0	0	0	0	0	0	4.55422	0	0.91493	0.09861	0.92764	0	0	0	0	0
Healthy	3.18869	0	0	0	0	0	0	0.32613	0	0	0	0	0	1.40816	0.48243	0	0.45022	0.02251	0.0093	0
Healthy	6.38634	9.43514	0	0	0	2.39418	0	0	0	0	4.03295	0	0.71208	0	0	0	0	0	0	0
Healthy	12.8088	0	0	11.1923	0	0	0.29246	0	0	0	0.91563	3.32019	1.19222	0	1.27209	0	0.12226	0.00964	0.02467	0
D001172	5.45221	0.0492	0	20.4771	0	11.6632	0.00665	0	0	0	6.76133	0	0.48759	8.39951	0.62138	0	0.12374	0	0	0
Healthy	3.35188	0	25.3283	0	0	0	0	0	0.2948	0	11.7309	0	1.26293	0	0	0	0	0.12004	0.05902	0.2948
Healthy	5.26763	0	1.31805	0.02122	0.03219	0	0	0.11064	0	0.0022	2.08503	0	0.30933	0.12934	0.86467	0.00297	0.02955	0	0	0
Healthy	2.20204	11.1162	0.30077	0	0.29548	0	0	0.00171	0	0	0.4216	0	0.10865	0.00287	3.04967	0	0.08567	0.01382	0.05891	0
Healthy	6.00946	0	0	1.33698	0	0	0	0	0	0	4.00286	3.12425	0.10697	0	0	0	0	0	0.12175	0
Healthy	27.6592	21.9617	0	0	0	0	0	0	0	0	0.03596	0	0	0	0	0	0	0.00173	0	0
Healthy	3.4574	6.70095	0.326	0	0	0.52606	0	0	0.10562	0	5.29432	0	1.6873	0	0	1.53603	0.00949	0.68732	0.04911	0.10562
Healthy	4.87901	2.06912	0.61237	0	0	3.7903	6.40599	0	0	0	2.17446	3.47983	0.00543	0	0.22406	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	7.75625	1.79372	0	0.00116	0	0	0	0	0	0	0	0	1.79372
Healthy	4.64569	0	0	5.98611	0	0	0	0	0	0	9.97984	0.99085	1.81156	0	0.9083	0	0	0	0.0283	0
Healthy	7.20935	0.04418	4.71351	0.00599	7.74698	0.00472	5.59498	0.00091	0	0.035	0.81175	0	0.1104	3.8931	0	0.02554	0.01269	0.00064	0.00015	0
Healthy	0.43863	32.1609	0.00168	0	9.26696	0	0	0	0	0	3.02569	0	0.04709	0	0	0	0.04188	0	0.32161	0
Healthy	3.52608	51.6685	1.59053	7.23257	0	1.51624	0	0	0	0	2.87198	0	1.54925	0	0.93324	0.21272	0.11803	0.00058	0.15155	0
Healthy	0.98283	0	17.6705	0	0	10.622	0	0	0.02253	0.00822	16.225	0	0.27609	0	0	0	0	0.03174	0.50884	0.02253
Healthy	0.86701	9.36706	0.13035	0.31997	0	3.7759	0	0	0	0	0.53722	0	0	0	0	0	0	0	0	0
Healthy	19.6021	0	15.9118	0	0	0	0	0	0.0181	0	7.63692	0	0.12846	0	0.3977	1.75159	0	0.15307	0.01507	0.0181
Healthy	2.6487	0	14.1573	0	0	0	0	0.01067	0.00323	0	4.57084	3.15007	0	0	0	0	0	0.00744	0	0.00323
Healthy	5.59288	0.00254	1.52306	0	0	8.84801	0	0	0.00226	0	0.85365	0	0.28987	0	1.15443	0.18363	0.03022	0.08237	0.18042	0.00226
Healthy	9.53132	0	0.00046	0	0	6.17339	0	0.00528	0	0	1.59134	0	0.35215	2.24124	2.09009	0	0.03859	0.06652	0	0
Healthy	9.16534	0	1.43591	0	0	0	0.60872	0.60085	0	0	1.28333	0	0.748	0	0	0	0	0	0.04446	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.01678	0	0	0.04965	0	0	0	0	0	0
Healthy	6.63265	0	0	0	0	0	0	0.51752	0	0.00215	15.4799	0	0.67988	1.83111	0	0	0.04634	0.03921	0	0
Healthy	1.95808	0	0	0	0	0	0	0	0	0	8.79086	3.61042	0.05062	0	0	0.95987	0	0	0.01528	0
Healthy	5.80888	0	0.59946	4.35461	14.1889	4.34157	0	0.02657	0.00268	0	1.35387	0	1.10155	0	1.03624	0	0.21338	0.01274	0.00829	0.00268
Healthy	1.57533	0	0	1.26699	0	0	0.0726	0	0	0	8.24346	0	2.3292	0	1.48318	0.44937	1.12029	0.05382	0.19327	0
Healthy	1.32832	0	0	0	0	0	0	0.0408	0.00652	0	0	0	0	0	0	0	0	0.00254	0	0.00652
Healthy	5.34315	0	0.00183	0	0	3.8003	0.39728	0	0.06212	0	25.9532	0	2.72089	0	0	0.60782	0	0.1453	0.002	0.06212
D001172	14.9567	0.62635	1.94582	13.544	4.44871	4.41435	0.44834	0.08697	0	0	0.59415	0	0.22929	12.3655	0	0	0	0	0	0
Healthy	4.42903	26.4523	2.20567	0	0	0	0.10753	0	0	0	3.52309	0	0.56692	4.30761	0	0	0.17996	0	0	0
