group	Firmicutes_A	Actinobacteriota	Firmicutes	Verrucomicrobiota		Bacteroidota	Firmicutes_A	Actinobacteriota	Proteobacteria	Firmicutes_C	Verrucomicrobiota	Firmicutes	Methanobacteriota	Desulfobacterota	
Healthy	27.81169	1.22158	1.63352	0.39679		40.14108	27.81169	1.22158	1.95839	10.55817	0.39679	1.63352	0	0.06495	
Healthy	21.07763	0.01379	0	0		63.59872	21.07763	0.01379	4.06978	0	0	0	0	0.29698	
Healthy	10.79769	2.7499	0	16.5921		42.47417	10.79769	2.7499	0.0987	0	16.5921	0	0	1.38114	
Healthy	8.41604	0.03519	0	0		81.37445	8.41604	0.03519	4.18043	0.00507	0	0	0	0	
Healthy	2.60448	0.1371	0.24693	0		89.14189	2.60448	0.1371	0.514	3.35914	0	0.24693	0	0.00504	
Healthy	30.23518	7.92277	1.94015	0.10905		38.83869	30.23518	7.92277	1.22752	9.41435	0.10905	1.94015	0	0.43764	
Healthy	37.50721	1.76044	0.01622	0		40.28326	37.50721	1.76044	0.09009	5.19135	0	0.01622	0	0	
Healthy	7.3654	0.26697	0.15516	0		86.60231	7.3654	0.26697	1.63858	0	0	0.15516	0	0.10296	
Healthy	56.38569	3.93681	0.2947	2.06924		19.09709	56.38569	3.93681	0.54592	0	2.06924	0.2947	1.08675	0	
Healthy	46.16789	0.43948	0.93898	0.056		21.82226	46.16789	0.43948	0.14902	1.42526	0.056	0.93898	0	0.00145	
Healthy	7.94131	0.36857	0.268	0		68.84527	7.94131	0.36857	0.1775	6.48153	0	0.268	0	0	
Healthy	10.46008	0.26469	1.69265	0.06807		66.99495	10.46008	0.26469	1.25205	0.02223	0.06807	1.69265	0	0.17763	
D009765	21.68219	0.40187	2.34942	0.37999		25.67266	21.68219	0.40187	2.42651	7.83791	0.37999	2.34942	0.03543	0.01012	
Healthy	15.80718	0.14064	0.06515	8.75589		65.85363	15.80718	0.14064	0.31772	3.45205	8.75589	0.06515	0	0.00148	
Healthy	6.871	0.02645	0.29861	0		83.9086	6.871	0.02645	0.02321	1.30264	0	0.29861	0	0	
Healthy	50.84272	0	0.01196	7.05557		24.73693	50.84272	0	1.09838	1.12384	7.05557	0.01196	2.25756	0.00423	
Healthy	20.20035	29.01731	0.29568	0		37.09091	20.20035	29.01731	0.12165	0.79903	0	0.29568	0	0	
Healthy	22.10973	4.92012	1.06781	0		39.80066	22.10973	4.92012	4.24204	0.13449	0	1.06781	0	0.019	
Healthy	18.2142	0.35054	1.03404	1.79223		19.20766	18.2142	0.35054	0.69507	0.00037	1.79223	1.03404	0	0.07872	
Healthy	29.37312	0	0	6.14789		54.30005	29.37312	0	0	3.25777	6.14789	0	0	0	
Healthy	63.34499	16.46008	1.0904	0		14.62561	63.34499	16.46008	0	0.12907	0	1.0904	0	0	
Healthy	6.84504	0.32331	0.37026	0		55.92545	6.84504	0.32331	0.98049	5.06276	0	0.37026	0	0.03033	
Healthy	21.27082	0	6.5309	0.36559		46.6419	21.27082	0	0.75786	0	0.36559	6.5309	3.01271	0	
Healthy	6.49495	0.0358	0.27761	0		84.01858	6.49495	0.0358	0	1.37444	0	0.27761	0	0	
Healthy	16.80685	5.93585	3.18194	2.50516		38.49641	16.80685	5.93585	22.47691	0.73938	2.50516	3.18194	0	0.01624	
Healthy	4.37778	20.1863	30.42893	0		30.3776	4.37778	20.1863	3.18917	0	0	30.42893	0	0	
Healthy	25.8933	18.17225	0	0		45.61098	25.8933	18.17225	0	2.74127	0	0	0	0	
Healthy	24.25627	0.1212	0.08651	0		62.6273	24.25627	0.1212	5.2156	0	0	0.08651	0	0.1832	
Healthy	18.92194	8.45742	0.63304	1.10551		35.67643	18.92194	8.45742	1.5878	6.75613	1.10551	0.63304	0	0.0021	
Healthy	35.54544	0.64596	0.34448	0		24.77391	35.54544	0.64596	2.92648	7.46122	0	0.34448	0.15552	0.73306	
D009765	32.19703	10.56999	0.64245	0		7.80718	32.19703	10.56999	0	0	0	0.64245	0	0.30212	
Healthy	8.64286	0.11632	0.41016	0		65.50322	8.64286	0.11632	0.51689	8.16815	0	0.41016	0	0.01711	
Healthy	35.3198	1.54686	0.27997	0		55.82042	35.3198	1.54686	0.42003	4.73719	0	0.27997	0	0	
D009765	21.61088	11.81435	0.83154	0		13.47624	21.61088	11.81435	0	46.0507	0	0.83154	0	0	
D009765	21.81307	10.50171	5.63481	8.09016		14.78368	21.81307	10.50171	0.15224	11.9352	8.09016	5.63481	0.45401	0.89629	
D009765	30.2978	0.13293	1.88666	0.49181		41.87328	30.2978	0.13293	7.37478	0	0.49181	1.88666	2.44739	0	
Healthy	0	3.68075	0.97003	0		65.26184	0	3.68075	0.00296	0	0	0.97003	0	0	
Healthy	39.06889	1.29273	2.35319	3.33021		23.5388	39.06889	1.29273	1.08484	0	3.33021	2.35319	0.00862	0.01904	
Healthy	16.55109	0	0	0		59.55566	16.55109	0	0	8.53501	0	0	0	0	
Healthy	1.94305	0.00275	0.01707	0.54846		92.84776	1.94305	0.00275	4.36693	0	0.54846	0.01707	0	0	
Healthy	3.20045	0	0	0		71.64541	3.20045	0	2.74457	0	0	0	0	0.03509	
Healthy	2.37997	0.21569	0	0		66.88997	2.37997	0.21569	1.00535	11.54936	0	0	0	0	
Healthy	49.41249	0.19572	6.36778	0		18.22271	49.41249	0.19572	1.43161	0	0	6.36778	0	0	
D009765	28.99975	8.85417	0	3.41622		37.06128	28.99975	8.85417	0	0	3.41622	0	0	0.25273	
Healthy	2.06606	0.20885	0.19721	0		64.98923	2.06606	0.20885	12.05763	8.80238	0	0.19721	0	0.04396	
Healthy	14.0318	2.37785	0.0103	2.1929		48.62684	14.0318	2.37785	0.21671	0.11234	2.1929	0.0103	9.50394	0.06786	
Healthy	6.04326	1.58484	0.17547	43.9338		12.98923	6.04326	1.58484	10.25468	2.57063	43.9338	0.17547	0	0.67751	
Healthy	29.46159	29.42685	12.7103	0		8.73754	29.46159	29.42685	10.26764	0.56996	0	12.7103	3.57724	0.03683	
D009765	53.05216	0	5.53233	0		8.87961	53.05216	0	0	0	0	5.53233	0	0	
Healthy	35.64999	0.09938	0.23324	2.10778		51.09131	35.64999	0.09938	0.33937	0.01659	2.10778	0.23324	0	0.55645	
Healthy	17.46514	0.52452	0.23444	0		65.96314	17.46514	0.52452	4.11529	4.99869	0	0.23444	0	0.01561	
Healthy	8.57535	0.05752	0	0		80.92745	8.57535	0.05752	4.35884	0.01559	0	0	0	0	
Healthy	42.88204	0.05698	0.34528	10.7516		24.87324	42.88204	0.05698	0	15.9651	10.7516	0.34528	0	0	
Healthy	2.22438	0.00528	0	0		87.5923	2.22438	0.00528	0.0414	0.2159	0	0	0	0	
Healthy	2.18765	0	0	0.5846		91.9548	2.18765	0	4.13304	0	0.5846	0	0	0	
Healthy	14.9975	1.73387	0.00288	0.53104		67.30225	14.9975	1.73387	0.01735	0	0.53104	0.00288	0.02146	0.06554	
Healthy	8.18604	0.00167	0.02861	0		69.93581	8.18604	0.00167	0.37846	4.05717	0	0.02861	0	0.11411	
Healthy	30.2801	3.5724	0.05895	0		14.11977	30.2801	3.5724	0.08527	28.60354	0	0.05895	0	0.17623	
Healthy	0	0.10763	2.47747	0		17.81893	0	0.10763	79.57979	0	0	2.47747	0	0	
Healthy	0	0.21683	0	0		86.33174	0	0.21683	0.30118	0	0	0	0	0	
Healthy	15.45101	0.67644	0.09676	29.7937		40.76994	15.45101	0.67644	0.26164	4.45934	29.7937	0.09676	0	0	
D009765	69.77515	0	2.934	0		17.28919	69.77515	0	0	0	0	2.934	0	0	
D009765	19.69569	0	2.18029	0		50.30548	19.69569	0	19.943	0	0	2.18029	0	0	
D009765	29.51997	14.73157	0	9.08237		19.54497	29.51997	14.73157	9.31592	0	9.08237	0	0	0	
Healthy	19.75621	11.20737	1.4605	6.07064		29.8191	19.75621	11.20737	0.11919	0.00966	6.07064	1.4605	6.89201	0	
Healthy	7.1705	0.40479	0.2803	0		69.3746	7.1705	0.40479	0.24045	6.12746	0	0.2803	0	0	
Healthy	34.60685	2.61414	14.75699	0.98327		23.22308	34.60685	2.61414	1.87269	2.32583	0.98327	14.75699	0.05766	0.05309	
Healthy	5.78664	0.20472	0	0		2.87138	5.78664	0.20472	0	0	0	0	0	0	
Healthy	40.07223	1.48632	0.24453	0.01772		33.93413	40.07223	1.48632	2.86843	3.33633	0.01772	0.24453	0	0	
Healthy	29.05099	0.07222	0.12711	1.45081		54.92257	29.05099	0.07222	2.60053	0.13449	1.45081	0.12711	0	0	
Healthy	38.08422	0.33042	0.46746	0.74671		40.90707	38.08422	0.33042	8.14329	0.90955	0.74671	0.46746	0	0	
D009765	52.56295	0.37467	1.37852	1.06704		25.93608	52.56295	0.37467	1.39692	0	1.06704	1.37852	0.51894	0	
Healthy	33.19915	6.04161	0.33351	0		42.61863	33.19915	6.04161	1.6623	2.05788	0	0.33351	0	0	
Healthy	13.99209	0.80866	0.0183	0		64.0462	13.99209	0.80866	1.47493	0.37364	0	0.0183	0.21375	0.19126	
D009765	37.11586	0	0	0		33.4173	37.11586	0	0.09905	0	0	0	0	0	
D009765	34.88527	15.20493	4.79794	5.48679		17.82872	34.88527	15.20493	1.46415	4.42141	5.48679	4.79794	1.38972	0.96464	
Healthy	2.60548	0.25999	2.62183	0		8.68713	2.60548	0.25999	77.39077	0.70908	0	2.62183	0	0	
Healthy	15.41185	0	2.74118	0.1712		34.57653	15.41185	0	0	0	0.1712	2.74118	17.665	0	
Healthy	54.58213	0.20301	4.28904	0		27.98001	54.58213	0.20301	0.18071	2.73276	0	4.28904	0	0	
Healthy	12.10487	15.6083	0.00747	6.18736		56.32792	12.10487	15.6083	2.04492	0.1588	6.18736	0.00747	0	0	
Healthy	8.76708	0.78056	0.09687	0		80.95711	8.76708	0.78056	0.83663	0.14006	0	0.09687	0	0	
D009765	36.05306	49.91631	10.7455	0		0.37888	36.05306	49.91631	0	0	0	10.7455	0	0	
Healthy	58.0191	0.02777	0.11338	0		35.94443	58.0191	0.02777	0.10961	0	0	0.11338	0	0.02346	
Healthy	3.33231	0.25825	0.02327	0		69.60656	3.33231	0.25825	0.19125	6.13742	0	0.02327	0	0	
Healthy	0.04854	18.0875	1.55409	0		2.48786	0.04854	18.0875	10.41228	0	0	1.55409	0	0	
Healthy	22.83336	0.4147	1.08209	0		58.01994	22.83336	0.4147	0.53847	0.24884	0	1.08209	0	0.00159	
Healthy	30.31085	21.5658	0.38366	0		42.6898	30.31085	21.5658	0.90636	0.61306	0	0.38366	0	0	
Healthy	65.59567	16.64539	1.01297	0		12.0482	65.59567	16.64539	0	0.12248	0	1.01297	0	0	
Healthy	21.19508	0.70782	0.17742	0		60.78524	21.19508	0.70782	3.16701	0.6012	0	0.17742	0	0	
Healthy	44.53083	16.35969	3.1058	0		15.93134	44.53083	16.35969	1.88326	13.5926	0	3.1058	0	0	
Healthy	34.27152	0.18342	1.02518	2.45662		13.98049	34.27152	0.18342	0.3196	3.78147	2.45662	1.02518	1.33638	0	
Healthy	39.34366	0.07631	0.49007	0.55249		48.27273	39.34366	0.07631	1.39506	0.03572	0.55249	0.49007	0	0.38467	
Healthy	24.96666	0.2844	0.0555	0.01061		64.67191	24.96666	0.2844	0.01494	0	0.01061	0.0555	0	0.01957	
D009765	58.38596	28.97438	0.01755	0.32909		0.51474	58.38596	28.97438	0.19384	0	0.32909	0.01755	0	0	
Healthy	5.51266	0.72482	0.33887	7.07393		54.34622	5.51266	0.72482	1.30882	9.1095	7.07393	0.33887	0	0.11766	
Healthy	33.34049	5.6365	9.21057	0		38.06069	33.34049	5.6365	0.05722	3.25716	0	9.21057	0.29786	0.78752	
Healthy	30.24595	0.01022	0	1.17807		46.40154	30.24595	0.01022	6.4077	1.39311	1.17807	0	0.6609	0.00447	
Healthy	3.3997	0.27801	0.03409	0		69.81187	3.3997	0.27801	0.16078	5.91116	0	0.03409	0	0	
Healthy	9.48897	0.41541	0.29545	0		68.66863	9.48897	0.41541	0.11941	6.11356	0	0.29545	0	0	
Healthy	17.22217	0	1.14516	0		62.75116	17.22217	0	0.61452	6.04242	0	1.14516	0	0	
Healthy	0	17.84914	1.47739	0		50.2751	0	17.84914	7.69956	4.68887	0	1.47739	0	0	
Healthy	24.71875	7.83813	0.22256	1.16882		40.28616	24.71875	7.83813	12.72395	0.02088	1.16882	0.22256	0	0.01696	
Healthy	25.78825	1.55771	0.18937	0		62.88804	25.78825	1.55771	2.34783	0	0	0.18937	0	0	
Healthy	6.95202	0.55494	0.10594	0		76.47648	6.95202	0.55494	0.25253	9.31112	0	0.10594	0	0.00758	
Healthy	19.79443	0.08686	0.00428	0.3822		74.627	19.79443	0.08686	0.4107	1.76006	0.3822	0.00428	0	0	
D009765	71.53364	16.01968	5.76682	0		0.31677	71.53364	16.01968	0	0	0	5.76682	0	0	
Healthy	25.48088	0.10382	0	0		51.42544	25.48088	0.10382	0.06927	0	0	0	0.03448	0.67046	
Healthy	2.68695	0.18445	0	0		67.06407	2.68695	0.18445	0.91502	11.10511	0	0	0	0	
Healthy	25.04694	0.14617	0.06976	0		60.82889	25.04694	0.14617	5.43617	0.00272	0	0.06976	0	0.2095	
Healthy	7.5152	0.20128	0.09135	0		86.81178	7.5152	0.20128	1.61917	0	0	0.09135	0	0.1116	
Healthy	24.33903	0.50382	0.28088	0.18982		48.55793	24.33903	0.50382	2.21498	0.04549	0.18982	0.28088	0.00211	0.01137	
Healthy	51.66221	20.66117	2.05809	14.1787		7.31907	51.66221	20.66117	0	0	14.1787	2.05809	0.16863	0	
Healthy	56.59985	2.29713	3.5421	0.88722		25.56865	56.59985	2.29713	0.0246	0	0.88722	3.5421	1.39634	0	
Healthy	18.02698	0.07535	0.0552	2.78702		50.74802	18.02698	0.07535	0.73742	15.2035	2.78702	0.0552	0	0	
Healthy	43.58301	0.21634	0.23704	0.09708		38.94166	43.58301	0.21634	7.95409	0	0.09708	0.23704	0	0.50015	
Healthy	37.77367	2.02569	5.42165	3.40381		28.71889	37.77367	2.02569	13.17675	2.55659	3.40381	5.42165	0	0.00589	
Healthy	56.95578	0	1.94647	0.74691		30.04631	56.95578	0	0	1.0336	0.74691	1.94647	0.0917	0	
Healthy	51.3549	0.56004	1.16405	1.39047		26.72493	51.3549	0.56004	2.00692	0	1.39047	1.16405	0.4225	0	
Healthy	7.81722	0.37131	0.43082	0		80.57588	7.81722	0.37131	0.73549	0	0	0.43082	0	0.12417	
Healthy	15.59029	1.79346	0.00541	0.62769		66.88368	15.59029	1.79346	0.03262	0.01319	0.62769	0.00541	0	0.09285	
Healthy	66.67142	5.63825	3.03464	0		15.49106	66.67142	5.63825	0	3.21651	0	3.03464	0	0	
Healthy	2.61005	0.2633	0	0		65.74523	2.61005	0.2633	1.15375	11.65988	0	0	0	0	
Healthy	2.62918	0.12811	0.2695	0		88.54341	2.62918	0.12811	0.524	3.62148	0	0.2695	0	0	
D009765	24.49495	9.69988	16.82256	1.2906		13.02558	24.49495	9.69988	5.68361	9.87226	1.2906	16.82256	0.84602	0.36817	
D009765	28.26396	0	2.9688	0.28502		21.99493	28.26396	0	0.02991	0.87245	0.28502	2.9688	5.50158	0	
Healthy	39.94426	4.93854	2.21529	0		38.53477	39.94426	4.93854	2.12567	0.05235	0	2.21529	0	0	
Healthy	8.74946	1.88654	0.65276	0.15443		45.56493	8.74946	1.88654	0.43242	3.18895	0.15443	0.65276	0	0.64934	
D009765	32.8905	6.455	0	0.08556		23.6826	32.8905	6.455	2.67574	3.71437	0.08556	0	0	0.04209	
Healthy	30.57712	27.14313	0	1.23786		25.46761	30.57712	27.14313	2.65729	0	1.23786	0	0.45781	0	
Healthy	36.17249	15.30158	0.18131	0		27.08035	36.17249	15.30158	1.47353	3.74702	0	0.18131	0	0.00668	
Healthy	14.12711	0.58729	0.04032	0		67.07715	14.12711	0.58729	5.9313	0	0	0.04032	0	0	
Healthy	12.53383	0	0.10682	0		79.59677	12.53383	0	3.18019	0	0	0.10682	0	0.02721	
Healthy	40.17061	15.74297	3.52398	1.00434		10.48737	40.17061	15.74297	2.84091	5.71717	1.00434	3.52398	2.15523	0	
Healthy	3.30002	0	0	0		70.9806	3.30002	0	2.45958	0	0	0	0	0.10091	
D009765	45.55517	7.81318	0.60853	4.20752		2.65125	45.55517	7.81318	1.56924	0	4.20752	0.60853	0	0.11318	
Healthy	54.70192	15.17112	1.40402	0		18.80944	54.70192	15.17112	2.75306	2.36428	0	1.40402	0	0	
Healthy	40.25028	0.54909	0	0.22312		28.8121	40.25028	0.54909	0.16885	2.17607	0.22312	0	0.84261	0	
Healthy	24.14655	0.1063	0.07539	0		64.81071	24.14655	0.1063	1.16749	0	0	0.07539	0	0.43223	
Healthy	10.41108	0.00827	0	0		85.39423	10.41108	0.00827	1.399	0	0	0	0	0	
Healthy	9.16984	0.24786	0.17183	0		60.68742	9.16984	0.24786	0.26539	1.24912	0	0.17183	0	0	
Healthy	51.78719	2.42495	0.14932	0.89717		27.35827	51.78719	2.42495	2.16118	2.00579	0.89717	0.14932	0.14616	0.34193	
Healthy	12.77843	0.01975	0	0.03022		76.25237	12.77843	0.01975	0.18603	0.9222	0.03022	0	0	0.00306	
Healthy	39.24658	3.55909	0	0		31.55205	39.24658	3.55909	0	5.36896	0	0	0	0	
D009765	43.86932	30.95669	0.80565	5.71743		5.24144	43.86932	30.95669	0.00855	0.26012	5.71743	0.80565	0	0	
D009765	29.33319	47.60033	1.03727	0		7.40865	29.33319	47.60033	0	5.85796	0	1.03727	0	0	
Healthy	50.82579	0.85652	0.43993	0.08994		22.85404	50.82579	0.85652	0.00845	7.52594	0.08994	0.43993	0	0.0123	
Healthy	69.1428	4.61176	2.50344	0.53602		0.84417	69.1428	4.61176	10.72835	0	0.53602	2.50344	0	0	
Healthy	28.19325	35.46128	0.42747	0		26.60649	28.19325	35.46128	0.85716	1.36615	0	0.42747	0	0	
Healthy	14.02832	0.00694	0.52152	0		81.6959	14.02832	0.00694	0	0	0	0.52152	0	0	
D009765	11.18088	0.1186	2.0639	0		77.84923	11.18088	0.1186	0.06859	4.64217	0	2.0639	0.07925	0	
Healthy	58.23553	4.90922	1.46359	0		19.46004	58.23553	4.90922	0.06878	0.64291	0	1.46359	0	0	
Healthy	3.07797	0	0	0		1.0593	3.07797	0	0	0	0	0	0	0	
Healthy	8.65812	1.88452	0.63827	0.14175		45.89856	8.65812	1.88452	0.56395	3.14928	0.14175	0.63827	0	0.69799	
Healthy	34.0406	1.02374	0	0		41.50004	34.0406	1.02374	5.24819	0.03708	0	0	0	0.05916	
Healthy	12.47334	20.98509	2.15938	2.17357		16.15155	12.47334	20.98509	20.22789	1.68488	2.17357	2.15938	0.19313	0	
Healthy	25.76996	0.12829	0.6201	0.00195		50.36431	25.76996	0.12829	0	5.18	0.00195	0.6201	0	0.19257	
Healthy	7.56936	0.40995	0.28005	0		69.39126	7.56936	0.40995	0.15717	6.2613	0	0.28005	0	0	
Healthy	14.03432	0.15418	0.82687	0		80.88058	14.03432	0.15418	0.65199	0.24336	0	0.82687	0	0	
Healthy	13.74403	1.22737	0.35606	2.21179		77.87295	13.74403	1.22737	1.09713	0.01407	2.21179	0.35606	0	0.00186	
Healthy	43.99437	0	0	0		24.71545	43.99437	0	0.25355	3.90595	0	0	0.2591	0	
Healthy	37.78726	0.59603	6.35708	0.58929		35.63195	37.78726	0.59603	0.26757	3.13391	0.58929	6.35708	0.55965	0.00321	
Healthy	10.74341	1.36553	0.27233	0		70.99252	10.74341	1.36553	3.24403	0	0	0.27233	0.01877	1.33117	
Healthy	36.06041	3.54024	0.03414	0		44.1636	36.06041	3.54024	0.67314	0	0	0.03414	0	0	
D009765	54.94112	27.12284	0.15322	0		0.13138	54.94112	27.12284	0	0	0	0.15322	0	0	
Healthy	2.0927	0	0	0.51403		92.47901	2.0927	0	4.53415	0	0.51403	0	0	0	
Healthy	19.99772	1.90279	0	0		56.09489	19.99772	1.90279	4.74194	0.95765	0	0	0	0.07375	
Healthy	17.20087	0.40388	0.20951	0		66.2303	17.20087	0.40388	3.86667	4.7958	0	0.20951	0	0	
Healthy	2.53228	0.53226	0	10.9796		41.8416	2.53228	0.53226	1.17055	10.5536	10.9796	0	0	2.65193	
Healthy	18.57325	8.38237	0.42642	0.41073		20.75023	18.57325	8.38237	0.12538	0.21907	0.41073	0.42642	35.1411	0	
Healthy	6.68546	0.18279	0.09897	0		87.7612	6.68546	0.18279	1.64559	0	0	0.09897	0	0.09632	
Healthy	11.91607	13.67243	0.2769	0		57.5046	11.91607	13.67243	0.21132	0	0	0.2769	0.20364	0.10935	
Healthy	62.67548	1.07701	2.65107	0		16.91489	62.67548	1.07701	2.5524	1.13842	0	2.65107	0.77591	0.08277	
Healthy	31.68543	0.17167	0.30238	0.04302		32.23104	31.68543	0.17167	0.03603	7.59543	0.04302	0.30238	0	0	
Healthy	37.77369	0.20099	0	0		55.35614	37.77369	0.20099	0.48949	0	0	0	0	0.02455	
Healthy	2.13662	0	0	0.58013		60.41193	2.13662	0	6.87193	8.60092	0.58013	0	0	0.22609	
Healthy	33.74428	24.12671	1.08345	0		26.77579	33.74428	24.12671	1.88064	1.57209	0	1.08345	0	0	
Healthy	2.37338	0.21668	0	0		67.44375	2.37338	0.21668	1.20195	11.44107	0	0	0	0	
Healthy	6.18903	0	0	0		66.12035	6.18903	0	0.84789	4.05997	0	0	0	0	
Healthy	9.98392	4.35992	0.00177	0.13626		70.13297	9.98392	4.35992	0.45512	2.85673	0.13626	0.00177	0.05586	0.11614	
Healthy	11.86541	13.99503	0.21278	0		56.39179	11.86541	13.99503	0.05963	0	0	0.21278	0.19256	0.0717	
Healthy	60.11098	1.39549	0.42068	0		23.30865	60.11098	1.39549	0.8796	1.27523	0	0.42068	0	0	
Healthy	38.37015	4.89218	2.81321	2.84965		22.89065	38.37015	4.89218	1.61136	0.93998	2.84965	2.81321	3.32246	0	
Healthy	71.4922	0	0	0		19.52397	71.4922	0	0.22402	0	0	0	0.51583	0	
Healthy	18.19587	0.97922	0.43603	0		63.77111	18.19587	0.97922	2.16516	0.68633	0	0.43603	0	0	
Healthy	10.33462	0.30221	0.01202	0.56547		67.86063	10.33462	0.30221	0.08866	0.3382	0.56547	0.01202	0	0.06204	
Healthy	20.41903	0	0	0		60.69024	20.41903	0	3.9162	0	0	0	0	0.28287	
D009765	27.37374	4.16265	12.0516	1.77954		7.50486	27.37374	4.16265	1.06732	0.3735	1.77954	12.0516	1.93009	0.20072	
Healthy	0	0	0	0		68.7163	0	0	0	2.15205	0	0	0	0	
D009765	29.59228	0.25318	1.13819	0.2097		21.58786	29.59228	0.25318	0.07517	0.03844	0.2097	1.13819	0	0.05119	
Healthy	30.81269	0.30162	2.52225	9.41662		8.95235	30.81269	0.30162	0.01271	0	9.41662	2.52225	2.26721	0	
Healthy	18.51587	1.94292	0.12889	12.8248		53.88338	18.51587	1.94292	0.18186	0	12.8248	0.12889	0	0.64324	
Healthy	16.26502	0.3783	0.02346	0		59.47556	16.26502	0.3783	11.6155	0.08151	0	0.02346	0	0	
Healthy	25.87444	0.63978	2.35812	0.12452		66.96559	25.87444	0.63978	1.42928	0.22984	0.12452	2.35812	0	0.11504	
Healthy	28.31164	5.27002	0	0		54.39563	28.31164	5.27002	2.52426	0.63239	0	0	0	0	
Healthy	37.69654	18.98871	0.32283	0.89803		22.01124	37.69654	18.98871	3.23698	0.00087	0.89803	0.32283	1.5014	0.14269	
D009765	22.6286	3.44293	2.01624	48.7575		9.05996	22.6286	3.44293	0	0	48.7575	2.01624	0	0	
D009765	32.94322	0.41067	4.35668	0		46.9961	32.94322	0.41067	0.41838	0.33398	0	4.35668	0	0.00561	
Healthy	27.88844	0.61254	0.06128	0.83565		62.88602	27.88844	0.61254	0.00657	0.22855	0.83565	0.06128	0	0.00715	
Healthy	4.83083	0.67007	0.05228	0		77.74572	4.83083	0.67007	5.66829	0	0	0.05228	0	0.14421	
Healthy	6.98758	0.76952	0.1265	0		77.15751	6.98758	0.76952	0.26813	6.46852	0	0.1265	0	0.05495	
D009765	41.82079	15.26545	5.27757	3.20107		4.15495	41.82079	15.26545	0.64134	7.98979	3.20107	5.27757	0.40545	0.94668	
Healthy	6.19153	1.48043	0.176	44.3211		13.35234	6.19153	1.48043	10.88687	2.74722	44.3211	0.176	0	0.72008	
Healthy	0.01982	27.08167	3.57883	0		12.31931	0.01982	27.08167	7.07975	3.93941	0	3.57883	0	0	
Healthy	8.48688	0.13318	0	0.70898		61.52629	8.48688	0.13318	0.04903	0.13726	0.70898	0	0	0.03414	
Healthy	31.44949	0	1.18947	0		41.3138	31.44949	0	0	0	0	1.18947	3.11173	0	
Healthy	34.53581	0.24586	0.09013	0		26.0167	34.53581	0.24586	1.00904	0	0	0.09013	0.57844	0.04745	
Healthy	21.04741	51.45775	2.79671	0.02197		8.23024	21.04741	51.45775	0	0.28195	0.02197	2.79671	9.29125	0.01788	
Healthy	0.00652	36.14721	0.06942	0		59.19358	0.00652	36.14721	4.49196	0	0	0.06942	0	0	
Healthy	36.99923	0	0.67212	0		39.1705	36.99923	0	5.6289	4.72148	0	0.67212	0	0	
D009765	72.61844	8.41134	0.0492	3.5287		0.13031	72.61844	8.41134	0.15032	0	3.5287	0.0492	0	0	
Healthy	15.67684	1.43162	0.20171	0.05676		33.35905	15.67684	1.43162	0.13042	6.34787	0.05676	0.20171	0.0089	0.00212	
Healthy	60.95132	1.0735	2.54226	0		17.70602	60.95132	1.0735	2.68584	1.17464	0	2.54226	0.70044	0.0843	
Healthy	59.70207	3.02327	0	0		15.74507	59.70207	3.02327	0	0	0	0	0	0	
Healthy	32.00827	0	0.10091	0.07577		62.55839	32.00827	0	0	0.32115	0.07577	0.10091	0	0	
D009765	28.84387	13.87199	0	8.9875		19.09859	28.84387	13.87199	7.06214	0	8.9875	0	0	0.06624	
Healthy	5.22286	0.9849	0.31322	0		57.60587	5.22286	0.9849	0.28892	15.318	0	0.31322	0	0.02339	
Healthy	25.16617	0.18221	0.10277	0		62.10895	25.16617	0.18221	5.16908	0	0	0.10277	0	0.1922	
Healthy	3.38554	0.10075	0.01606	0		43.68784	3.38554	0.10075	0.12874	0	0	0.01606	0	0.04787	
Healthy	49.5079	1.30916	0.05262	0		37.00331	49.5079	1.30916	0.29846	0	0	0.05262	0	0	
Healthy	9.67989	0	0	0		54.07795	9.67989	0	0	0	0	0	0	0	
D009765	32.17647	0.11628	0.2403	0.01982		33.47882	32.17647	0.11628	0.01982	7.2822	0.01982	0.2403	0	0	
Healthy	60.4754	0	0.27659	0		26.73081	60.4754	0	0.03047	1.02417	0	0.27659	0	0	
Healthy	13.72989	0.81819	0.51391	5.85149		60.91644	13.72989	0.81819	2.9996	0.38072	5.85149	0.51391	0	0	
Healthy	17.31882	0	0.028	5.88994		48.31568	17.31882	0	0.18097	0	5.88994	0.028	0	0.23731	
Healthy	3.45024	5.92614	0.24303	0.00115		64.79763	3.45024	5.92614	1.66688	3.29946	0.00115	0.24303	0	0	
Healthy	26.31333	2.57071	1.36381	1.90163		28.3397	26.31333	2.57071	0.23102	0.09281	1.90163	1.36381	0	0.00493	
D009765	31.70915	0	0.19397	0		45.51371	31.70915	0	0	4.10981	0	0.19397	0	0	
Healthy	9.07387	0.15779	0.04674	0		77.32999	9.07387	0.15779	0.21085	0	0	0.04674	0	0.00324	
Healthy	10.16004	4.05199	0.00189	0.10717		70.34527	10.16004	4.05199	0.27404	2.68998	0.10717	0.00189	0.04814	0.11375	
Healthy	15.70891	0	0	1.29381		49.0545	15.70891	0	0.33905	22.2746	1.29381	0	0	0	
D009765	31.21884	6.20239	2.5354	2.73942		48.25696	31.21884	6.20239	0	0.18634	2.73942	2.5354	0	0	
