p	Firmicutes_A	Actinobacteriota	Verrucomicrobiota	Firmicutes_C	Firmicutes	Methanobacteriota	Bacteroidota	Proteobacteria
D015179	1.2352945719168	0.940898814484282	0.870778337445256	-5	-5	-5	1.52518311104607	-5
Healthy	1.51828844302872	1.00064358161876	-1.06108018775523	-0.00398770325701485	-0.304833651694131	-5	1.53452703352098	-0.922268820347608
Healthy	1.2530225910835	-5	-0.392009141452825	0.518154511204127	-5	-5	1.82816042852175	-0.370671966205419
Healthy	1.49457893733627	-0.863279432843593	-1.06429125215734	-0.673787070000569	-1.68423950933427	-5	1.66400962634643	-0.940058111938045
Healthy	1.23249066332249	-0.460986665060487	1.68812791006636	0.498321583350671	-0.343039817257151	-5	1.32580085766442	-5
Healthy	1.45331895172898	-0.153199145720522	-1.60101893334187	0.437461993994192	0.213326465927919	-0.194444773478747	1.5976974889962	-0.366460851072662
Healthy	1.6692777272002	1.40218999749517	-5	-0.515017218069439	-0.74816718137136	-5	1.23406807784543	-0.581831337932134
Healthy	1.41584323663477	0.58524070644868	0.21827810816134	-5	-2.57348873863542	-0.743787541434838	1.54045311221858	-0.713813083058962
Healthy	1.14208867249843	0.808918910248124	-5	-5	-1.43004118190341	-1.09044397075882	1.75494401147996	-2.69680394257951
D015179	0.802805868733374	0.269293406581157	1.356712341434	-5	-0.301499287167488	0.632757853566795	1.50756552567963	-0.763185724828728
Healthy	1.34703771974518	0.221041079911257	-5	-0.292634245878962	-0.885355661097721	-5	1.73383868006618	0.63423738469509
Healthy	1.31590278328254	1.49047300321867	-5	0.864685475789771	-0.529736553034922	-5	1.39257878095216	-0.0375264840391993
Healthy	1.15252805770336	-0.149347639409046	-5	-0.378107411682646	-1.75300930075845	-0.726790316599669	1.80276490252706	0.186603221792895
Healthy	1.41352674519155	-0.461866312749331	-0.200824927584771	0.310272618148416	-0.235375602149019	-1.15187248943213	1.71674927159693	0.345965457886395
Healthy	1.49291480841852	-0.0724294764176733	-1.40693556834128	-1.30980391997149	0.0460149508590078	-5	1.60700891850696	-0.530929447968747
D015179	1.71101592396609	0.681388691508334	0.0434683822624187	-5	-5	-5	1.4473974477235	-5
D015179	1.56736719474671	-0.171249903296026	-5	-0.174905085002299	0.571628485719473	-5	1.44719990771968	0.106860357623876
D015179	1.54931770495924	0.892881187882213	-5	1.03535408029795	0.690051586605213	-5	1.47571185613765	-0.125813997557175
Healthy	1.24379901006385	0.832641096937677	0.066516004090991	1.01190185253402	-0.0923522065996969	-5	1.68234249553608	-0.341635584312928
Healthy	1.36879806566854	0.86538413158512	-1.13948232253825	-3.09691001300806	-1.03607057797344	-0.276363751548955	1.74789136461658	-1.95233580539844
Healthy	0.821560034071882	-0.0965030526641406	-5	0.811446306956656	-0.787785752580059	-5	1.8861083213193	-0.410351941664339
Healthy	-0.476006549684386	1.7307742839286	-5	0.507533402997219	0.544609953795997	-5	0.99071082098826	1.44376241272035
Healthy	1.40206921838821	-0.00137890022102005	0.667019376016459	-5	0.0811419957201863	0.459439232218998	1.67301168634137	-5
Healthy	0.409082289950506	-0.81121208736253	-5	0.52617250731388	-0.612450012609767	-5	1.94992288585992	-0.334353353872193
Healthy	1.55513678720214	-1.78727984558216	-1.60572347323218	-5	-0.844208647642382	-5	1.72528954175842	0.108751013469221
Healthy	0.995212978021115	-5	1.30133411244408	0.00220927298801476	-0.564028293600659	-0.262688062010375	1.4858262973554	0.806654046147595
Healthy	0.767879087701276	-0.991357252434715	-5	-5	-5	-5	1.64796730935212	-0.999088937868777
Healthy	1.40436788267485	-0.783464642581642	0.0558597642979701	-0.219819551797359	-5	1.19431477032722	1.59439929128072	-5
Healthy	1.2300635056576	-5	-5	-5	-0.845697780315335	-0.48537256758866	1.61538794443253	1.21619916612133
Healthy	0.883333177521008	-0.65380355627079	-5	-5	-0.989530430203608	-5	1.93830958188606	0.244037017036314
Healthy	1.83420763729357	-5	-2.0301183562535	0.710003908849681	-0.938698343793955	0.506717392419689	1.09571109663366	-5
Healthy	0.835315711892788	-0.0908452901915744	-5	0.815167165939307	-0.849304948857286	-5	1.88332170105324	-0.471276076739006
Healthy	1.39121518967295	1.40463413468082	-5	0.379401614039029	1.2620379575553	0.0200254863257827	0.990601217280949	0.243191885767495
Healthy	1.28459404298254	0.832149832685325	-5	0.336809830185024	0.335205073740825	-5	1.62516320091162	1.19097649680895
Healthy	0.865290568604777	-0.411392195257313	-5	0.802783300182877	-0.617982957425132	-5	1.83470604885608	-0.890826578574528
Healthy	0.73434690347996	-0.09233609087964	-5	-5	-1.01295971302073	-5	1.87756621627172	0.776060890414528
Healthy	1.07126582915093	-5	-0.264648654831209	1.0643010907268	-0.654998961821958	-0.21511893041391	1.52954173713065	1.12155820285983
Healthy	1.38189538704128	-0.674217602484195	0.282975385635692	-0.647335200348899	-1.85047298624565	-1.70289634985074	1.72075193832482	0.155405883408257
Healthy	1.14788152240164	0.714474779825987	-5	-1.708409174342	-0.498803757972911	-5	1.75082293228829	0.361376481869873
Healthy	1.60449356953884	1.00132301522928	-5	0.610621841297843	-0.201985035648513	-5	1.30595723893257	-0.652923803930265
Healthy	1.52805960109978	0.265280194825055	-0.0582550850508751	0.352346553933043	0.376981866455769	-5	1.54381968098756	-2.03105031901866
Healthy	1.33111923301633	0.48119029174785	0.263893965288644	-5	-5	-0.265648292705235	1.73847446323237	0.0660723575773765
D015179	1.42970868691866	-0.501372458014749	-5	0.36795010638556	-0.0769529614797156	-5	0.531832595259028	1.54559086179945
Healthy	1.24428503948943	-0.29654525468797	-5	0.679156150418852	-0.703290943824397	-5	1.82034604693572	0.585749411171379
Healthy	0.998936849760302	-5	0.886332206961341	-5	-5	-5	1.81557104127818	-0.641284886197868
Healthy	0.934940600473388	-0.493008181276385	-5	-5	-1.19348086591929	-5	1.88378086390612	0.138826693810669
Healthy	1.20670501205503	-0.435191955313397	0.728773262075445	-5	-5	-5	1.72431978848234	-0.361580635137367
D015179	0.598282621392901	-5	-5	0.379818389488834	-1.26648174856551	-5	1.66349154686969	-0.379738986175746
D015179	1.34311364612461	0.682456464914689	-5	0.223690590020065	-0.772216099146282	0.127542113597888	1.27246658712754	-1.57888987020657
D015179	1.1124350706838	-1.10474324685511	-2.73992861201493	-0.62016893231046	0.0712300765128468	-5	1.88146317650607	-0.418904075893949
Healthy	0.924075016220443	-5	-5	0.430155711970019	-2.53461714855158	-5	1.88066745045934	-0.21175383062718
Healthy	1.34583072467652	0.958706235858076	0.676698181121668	-0.823069915549494	0.390341518926754	-2.14508697769214	1.64240941377882	0.329157781394064
D015179	0.933095334891125	1.58367850070157	-5	-5	-0.730440359961179	-5	1.16927433453282	0.697992611338903
Healthy	0.857495929293535	-0.146593849083456	0.855072517386656	0.968602946685977	-0.447623844747437	-5	1.73645522766992	0.124950679542338
Healthy	1.71085495437172	0.433424180357174	-1.49620931694282	-0.0872732432574975	-1.57121748850305	-1.22929523178422	1.56350540995057	0.272560963861557
Healthy	1.92861657958856	0.566215868865457	-5	-0.581019618754964	0.485269866168583	0.317892088957648	0.341693638960031	-5
D015179	1.43433029586781	1.2302273746933	0.210315843943177	0.976623677118786	-5	0.460718978789478	1.49920111566815	-5
Healthy	0.420922339593397	-0.827718238544999	-5	0.527299866339773	-0.614500972847943	-5	1.94935604251243	-0.266626163055293
Healthy	1.3854107076947	0.323330493050036	-5	0.150049945162385	-0.312506711255048	-5	1.74462456359356	-1.11025022473596
Healthy	1.07077166602148	-0.291324207273463	-5	-5	-1.7680209731685	-5	1.84810070904581	0.761782798918629
Healthy	1.23613552968257	-0.133411418224968	-5	-5	-1.77806440017199	-5	1.76411057214773	0.855023401569893
Healthy	1.57366723433078	0.0886498475552681	-5	0.730517420590717	-1.67964596718233	-5	1.6043401214296	-1.1253442674019
Healthy	1.44068479603106	-1.1114274031424	-5	-5	-1.26656197290894	-5	1.81002063010515	0.473590604448907
Healthy	1.01115709631296	-0.570506113271258	-5	0.66482994114309	-0.237839297913818	-5	1.84441000712758	0.801618402870708
Healthy	1.03464409575721	0.457235270138838	1.23550344900574	-5	-5	-5	1.62280463482383	-0.978852064279005
Healthy	0.720720628024159	0.840820962009722	0.547602429785681	-5	-0.869827111107464	-5	0.286391343147528	1.89967569522853
Healthy	1.45599459811076	-0.121294415041161	-5	-2.09636748391576	-0.526542227184554	-5	1.8012357228892	0.310674198718182
D015179	1.05062255296989	-0.627750985936044	-5	0.342223254392762	0.283262773843844	-5	1.74447378414008	-0.0183127426170645
Healthy	1.48797178851542	-1.88706002391592	-5	0.896930011763117	-5	-5	1.70747606876486	0.954119441900728
Healthy	1.74857987849733	0.809848474946142	-5	0.147960609057186	1.08418899343258	-5	1.27434700337415	-5
Healthy	1.63908099170895	0.717063564385476	-5	0.300127898364073	0.0754119076576232	-5	0.870742663294291	-1.15645578805436
Healthy	1.33484102540248	-0.973099191109745	-1.16966800654804	-5	-5	-5	1.83312510965263	-5
D015179	1.37689580920428	0.709374280909141	-0.257274868695302	0.639775258839238	-0.0536607448597061	-1.23448045690205	1.70206571376293	0.193188624231412
Healthy	1.3597381818911	-5	0.483737027872602	0.183338186289204	-2.70774392864352	-0.242004572723122	1.64097954636543	0.94718709417019
Healthy	1.61706736835744	-0.408067671442274	0.262472447950243	0.884927840363339	-0.153743320221921	-0.819845440546652	1.24469661240851	0.276783384700269
Healthy	0.642475402199867	0.114677691010878	-2.3585258894959	-1.19517932127884	-0.465237994969973	-5	1.82668575568211	0.00609363020820083
Healthy	0.903364048891955	0.388291297070502	-0.286727919126105	-0.195438069037582	-0.0678104461845136	-5	1.49530395216766	-0.951519352526498
Healthy	1.56021985014056	0.730400283762543	1.40411516877084	0.677345019721607	-0.0862603017850711	-5	1.30897098745708	-5
D015179	1.28618399586941	0.562917085782924	0.791136025815758	-0.00340077729983324	0.202128526463674	0.0706768256627655	1.39378940238255	-0.689158054835704
Healthy	1.19586009384911	0.244675350767503	-0.268604655755548	-1.88306035344924	-1.63413778459744	-1.57823159879308	1.8275738990396	-1.74836177955179
Healthy	1.26322169366765	0.537542065326809	0.71558638787792	0.264165892216258	0.102519458368337	-0.299469343021408	1.62909671283614	0.246786537772904
Healthy	-3.02227639471115	-1.64282774227697	-5	-5	-0.640297291725886	-5	-1.28692967414436	1.9366017988212
Healthy	1.40732273783472	-0.749604396942884	-5	-5	-0.793470948317269	-5	1.78802829919445	0.724212769403576
Healthy	-0.560398916165654	1.95903576077372	-2.07468790850035	-1.37212230542003	0.559402646841045	-5	-1.71399287792053	0.65769916511523
Healthy	0.4591194599369	-0.926831737734898	0.221849618204452	-5	-5	-5	1.96814495463693	-0.162676764352586
Healthy	0.525187387787583	-0.935317433771488	-5	-5	-5	-5	1.63732748922239	-0.945885099489414
Healthy	0.723788859050945	0.00264978214118588	-5	1.17950037362933	-0.601625913848644	-5	1.75295206948262	-0.534498180058329
Healthy	1.379915458851	0.168291188851266	0.0238900543559375	-5	-0.97802554488994	-5	1.71731485160876	-0.222551427179631
Healthy	1.45827727272622	-1.51356952114557	-1.96899571863646	0.537612598757124	-2.35457773065091	-5	1.78570949869202	-0.930516906065389
D015179	1.03328982737338	0.569038987453727	1.73794770607166	-5	0.529308416517992	0.806502860446278	1.1224278933283	-5
Healthy	1.01247361443207	0.638220610167626	-0.830707725120064	0.459641231058366	-2.2572748686953	-1.26833066817136	1.84856983556758	-0.41002807048314
D015179	1.5665083170801	-0.133021884661595	-5	-5	-0.0393294834290999	-1.85418228550817	1.59990424068579	0.437663378170159
Healthy	0.488405457367657	-0.708253859175793	-0.0782823188484275	-5	-1.26560025747943	-5	1.92204983052155	0.185063118628386
Healthy	1.6775069439896	-0.500560370798258	-3.14266750356873	-5	-1.14721513131945	-5	1.57222816092954	0.449094075274832
Healthy	1.66913940664896	-5	-5	-5	1.051093840473	-5	1.31736058768831	-1.31202537996544
Healthy	1.50651274410758	-0.21655381358882	-5	-0.596827984507749	0.582984408651994	-5	1.69391056216295	-0.265152184721705
Healthy	1.82704989750399	0.157045550202625	-5	0.945026679940939	0.0569048513364726	0.577774343999618	0.862428959956688	-1.33320131633383
Healthy	1.87591343904048	1.32709541653146	-5	-5	-5	-5	0.558182780051332	-5
Healthy	0.887815275486838	-0.408490191005346	1.02199551080134	-0.0641250998316844	-1.13153190097901	-5	1.81917871144198	-0.939906816175532
D015179	1.60883602629199	0.0399611046047274	-5	0.00414073851686563	0.277515240687803	0.471988077734671	1.54241034677249	0.436199234411946
Healthy	0.994225179864961	-0.199152378124986	-5	-1.16723569505947	-0.522227791650743	-1.01282549891246	1.88965420652834	-5
Healthy	1.3453164744199	1.56030125884964	-5	0.174135431793646	0.271353622102484	-5	1.35740003085252	0.592966876255435
Healthy	1.71787046537739	0.399303288568354	0.81419430479598	-5	0.376482058819104	-5	1.01821768096015	-0.377734155008477
Healthy	1.5841822493836	-0.359508625054454	-2.15490195998574	0.109159910732136	-0.0564411855707237	0.260731872147808	1.64695609540824	0.459898869322942
Healthy	1.60943496080477	-0.475292388205987	-5	-5	-5	-5	1.70267966728539	-0.529648320654182
Healthy	1.42360430573151	-5	-5	0.504940923792709	0.416265954074958	-5	1.76331049352414	-0.0902675076251021
Healthy	1.61380631605831	0.605494671806049	-5	-5	1.146950244924	0.485932845201798	1.27892180034509	-0.169789980446389
Healthy	1.54674409485113	-1.40837896178668	-5	0.816328150203432	0.215629633457334	-5	-5	0.624558470873253
D015179	0.740795978135353	0.336283578706789	0.45534591431364	-5	-0.348857724237655	0.535044613944698	1.79980010688859	-0.317773670305823
Healthy	1.49694057445299	-0.442204166394372	-5	0.0852691663062547	-0.536584848478778	-5	1.34369035064213	0.414679264466649
D015179	1.37848874803181	1.24143739523315	-1.13972190024776	0.212525849333018	0.690117190804909	0.826800828506992	1.26712806200589	-0.408245524316796
Healthy	0.822281216656299	0.283931854794183	-0.878112014896319	0.482997854050922	-0.26085504067402	-5	1.65574909221612	-0.444603223193737
D015179	1.23571449718576	0.614141814671173	0.0868543599347791	-5	0.336493755585909	1.05694713584589	1.49123979408326	-0.600482029565126
Healthy	0.962872011646389	0.590845177209597	-5	0.899838005126567	1.32789385998954	-5	1.25929923269997	0.433228828459711
Healthy	1.26968452668662	-0.254987701328606	-5	-1.24695343837347	-0.747316838067802	-5	1.80432102081899	-1.09946901754724
Healthy	1.1086857570507	1.55968822648657	-1.48043449911949	1.11346904426635	-1.61834351741421	-5	1.49356427633227	-0.98175733254209
Healthy	1.54941111098063	0.994543261341179	-5	0.66441066625717	0.70645576145229	-5	1.33045943275192	-0.496658819638013
Healthy	0.806771975129058	0.133308926879325	1.64334813711979	0.415260555485293	-0.867996607013368	-5	1.12349589629023	1.02127904398954
Healthy	0.89347657602406	-0.379343520180379	1.01745114670004	-0.0941232027331172	-1.16304326294045	-5	1.81791352489197	-1.01963297381522
D015179	1.36232938912803	0.358557270481381	1.21965026786962	0.952727560315189	0.087891396766545	-0.378709445238671	1.19380418266443	-0.767105490843987
Healthy	1.42169044813617	0.514375063032711	-0.996582554797806	0.776590780723774	-0.0665886443976464	-5	1.66387781019517	0.410654095544502
Healthy	0.516286756742558	-0.554146810346125	-5	0.7701993436501	-1.64820369310298	-5	1.84899289555575	-0.748994826506365
Healthy	1.04352810361786	0.781865190611418	0.850736882398385	1.24868546482757	-0.758055266755733	-5	1.6475331865481	-0.55695617135166
Healthy	1.62673639063625	-0.586767313605483	-5	-2.33161408331	0.716771865592201	-1.60800692774029	1.56000304445673	-1.64936439174105
D015179	1.87730187623629	0.667012831670534	-5	0.386295593213631	0.5605091942002	-5	0.308397919884301	-1.18468795647564
Healthy	1.74560717886567	0.883480867366019	-5	0.706197853673996	-5	-5	1.25952794138506	-5
Healthy	1.61067634238685	-5	-5	0.339403735860026	0.292838433016156	-5	1.62839833114676	-5
Healthy	1.21357804935372	0.0661767857720065	-5	-1.72422809983507	-1.33236029394359	-5	1.80403694856363	-0.759026648159996
Healthy	0.33969584950589	-5	-0.259479413946335	-5	-1.88840147511961	-5	1.96760834270013	0.631860613368897
Healthy	1.51071574552102	-0.127278637804058	-0.410754324947494	0.0857185951654024	-0.293982431100993	-5	1.69670438392489	0.408553697586891
Healthy	1.64177295694328	-1.94195376960472	-5	0.0614600188564993	-0.984305011473482	-5	1.71218039327238	0.411840163863845
D015179	1.60414674928967	0.724923550433027	0.913109406533394	0.429123793669563	-0.0714454134424935	-1.85016530328421	1.37893199084481	-0.223393238119126
D015179	1.4581785380773	0.899264972337981	1.08216794633625	0.303267353647092	-5	-5	1.57915455716245	-0.178211440023786
Healthy	0.539787206963553	-5	-5	-5	-5	-5	1.85173953724011	0.387935910763123
Healthy	1.66372004899893	1.0392010841612	-5	0.74992946410767	-5	-5	1.42350882927382	-5
Healthy	1.84136516505698	-0.152797636019076	-1.02807505081581	0.118615195569278	0.190037398989312	-0.731024418902193	1.15158158231486	-0.138346129786089
Healthy	0.942225394038726	-0.124030563715852	0.940097926231087	-0.336176622715236	-5	-5	1.76379227371666	-0.267831488311101
Healthy	1.77264422665499	0.289588952542597	-5	0.0313438202620874	-0.460296761052174	-0.951092298516229	1.34524587426771	0.236373488494027
Healthy	0.853369020778802	1.43181487435091	-5	-5	-0.34356637993405	-5	-0.446736102130203	-5
Healthy	1.16590402368497	-5	-5	-5	-0.268346780304104	-5	1.90515172992153	-5
Healthy	1.67775710506271	0.5896569959533	1.27927923620624	-5	-0.720538390742327	-5	1.30818415943938	-3.24412514432751
D015179	1.7064435527166	1.21011564113597	0.143645475092963	-0.72736948410596	1.0616688184521	-5	0.995179604532095	-0.0842309340163159
Healthy	-0.601487100636577	0.856467268467033	-3.39794000867204	-1.45568385825257	-1.69550947222651	-5	1.46048845128655	1.74098454857805
Healthy	1.29462822967002	1.05550905880417	1.07807637190583	-1.79344395590097	0.0735093989447644	-5	1.58838141538367	-0.241648360659185
Healthy	1.72806664688125	0.00441596227933744	0.449879338623202	-0.332603088723377	0.374258801735391	-0.683463552596444	1.47030565369035	-0.00818049869410116
D015179	1.05613920901154	-1.070274621622	1.62225351191023	-0.683652171266902	-5	-5	1.56930261391434	-5
Healthy	1.18056740329026	-2.36251027048749	-5	-5	-0.13499083395651	-5	1.52154105801303	1.54484981487026
Healthy	1.48141123776671	-0.876344325561878	-0.308193814529736	-5	0.275695943772669	0.388704955700738	1.62193708491111	0.867749658122785
Healthy	1.03803448288161	0.143654834652498	-5	-5	-0.652162790782278	-2.08301995267962	1.8422493624299	0.476666455108599
Healthy	1.7636263758975	-5	-5	-0.409760221691033	-0.465035207605334	-0.672252928747544	1.45822828621146	-0.906333217772097
Healthy	0.383240712265224	-0.733980091146502	-5	1.04397967690349	-5	-5	1.81760403789488	0.0628902051108873
Healthy	1.89740598462153	-0.321035719347869	-5	-0.663660364179217	-1.25266589038409	-5	0.889549319851817	-1.28449805470672
Healthy	1.31392160918484	0.591057925521535	-3.48148606012211	-1.81901441921327	0.192826614678094	-5	1.40084905039548	1.52283713787594
Healthy	0.745483117577596	0.138027821232947	0.584892955610718	-5	-2.75696195131371	-5	1.8803962977303	-0.128129464579834
D015179	1.65328990780654	0.66341444150063	-5	-1.3040807471686	0.1216976935719	-5	1.423926608889	0.405501742513021
Healthy	1.75178633158743	0.420501988374776	-0.100491382651709	-0.867580201902385	-0.30019694972716	-5	1.44655083564052	0.0640234774529008
D015179	1.28251766121754	0.951396780889751	0.659762221559862	0.747644819328248	-0.446153368273412	-5	1.68878863767388	-0.23659447052572
Healthy	0.892972326282529	-0.46512391542646	1.01623542582996	-0.0562186872401727	-1.2185318571582	-5	1.82018917291727	-0.926831737734898
Healthy	1.66820619715723	0.316936466943489	-5	-0.649345021321921	0.919402906871174	-0.0978066703730758	1.40671301227427	0.363041946961852
Healthy	1.77721404573176	0.254809010414806	-5	-5	-5	-5	1.25929732031192	-5
Healthy	0.938137297650076	-0.806179973983887	-5	-5	-1.13170831198214	-5	1.89530517121279	-0.785076715105102
Healthy	1.36596264140317	-0.91388942619868	-5	-5	-1.16583371605738	-5	1.81245075376518	0.0307534989344725
Healthy	1.09462169057043	0.884305869902676	-0.458782819002195	-0.644625115568388	0.0255802854362789	-1.12389767862221	1.59146586560344	1.17886476403183
Healthy	0.405878868331657	-0.880117542015017	-5	0.555024278341712	-0.63537397104496	-5	1.94824376338362	-0.295652121429059
Healthy	1.0933519823094	-5	-5	-5	-1.07618627890881	-5	1.902603793708	0.474740598479892
Healthy	1.13265153073686	-0.123580074692156	-5	-0.41491168253253	-1.5054280157698	-0.75340295089363	1.80714744013724	0.184029550144605
Healthy	1.07610425239176	-1.14813039927023	0.163373101574077	0.309242535683534	-0.274586622650022	0.488614163981458	1.58393825894487	0.734362115377894
Healthy	0.732929862907847	0.0718930485509044	0.553035447175104	-5	-5	-5	1.90763543760992	-0.151023091657112
Healthy	1.29993941694529	0.271695268770411	-0.15568439445564	1.35289398495645	0.256277457032671	-5	1.40001116347393	-0.049839682214073
Healthy	1.40153649503355	-1.42181939037222	-1.90763030037088	0.167656956106924	0.953170410062659	0.279443352577086	1.7468348775601	-1.07899019850297
D015179	1.38760087064873	0.121704256737038	-5	0.192921323243569	0.282025879850814	-5	1.81113740804491	-1.59533729912628
Healthy	1.49570595381986	1.478540956596	0.101217626747548	-5	-5	-0.367390883139056	1.43602485997618	0.514394992263783
Healthy	1.16768706622592	-5	-5	-0.404404585179866	-0.363742852536496	-5	1.89328788413065	-5
Healthy	1.39345533900023	0.187943529062527	-5	-5	-0.295772243975001	-5	1.81086762923236	0.308030554266106
Healthy	1.09161948151491	-5	-5	-5	-0.997488368715092	-5	1.90097133349062	0.448853120627996
Healthy	1.52914432399509	-1.24519314464558	-0.167740239407366	0.827994413772519	-0.119701008574247	-0.742177483965524	1.67173058524069	-0.451107165863582
D015179	1.64683192744654	0.114450846147061	-5	0.724082442574728	-1.25010915872858	-5	1.61686310756104	0.40918217582797
Healthy	1.42053414725031	-0.105086086199588	-5	-0.55211358549957	-0.682103733507044	-5	1.52251334995078	0.180561672034769
Healthy	0.795370377864658	-0.578725208789653	-5	-5	-0.247436853219887	-1.54106013810967	1.84248723314806	-1.20474581741912
Healthy	0.958802703399502	-0.828829565098379	-5	-5	-1.26865302445405	-5	1.89035561818262	-0.940058111938045
Healthy	1.42670494278751	-2.30189945437661	-0.180581106626522	-1.70818731253288	-1.79290445958078	-5	1.79020259096065	-0.407689975744221
Healthy	1.07685007757803	1.13855214843339	-5	-2.66958622665081	-0.521404648588605	-0.709275519980777	1.75068639596413	-0.85390298646413
Healthy	1.52648272598072	-0.542057578636002	-5	0.276567492614683	-0.499091465490491	-5	1.73645698054468	-0.470377181866557
Healthy	0.685083081773877	-1.18197215814074	-5	-5	-1.69336055897574	-5	1.63656221152152	-0.926025180133341
Healthy	0.529733125569346	-5	-5	-5	-5	-5	1.86071421216417	0.421390017067081
Healthy	1.01612538353125	0.533834313810089	-5	-0.504608316733061	-5	-5	1.35594032910961	-5
Healthy	1.76962948341265	0.349681515137003	-5	0.266222286089953	1.11050890380876	0.0203820023100244	1.28344913507257	-0.0220021900412603
Healthy	1.39733331000103	-0.791236267338363	-5	-2.09745322068601	-1.0268721464003	-5	1.78701036043699	0.71531126204077
Healthy	1.39453643002807	-0.707478115425859	-5	-5	-0.994219100045348	-5	1.78904336346585	0.725062622575211
Healthy	0.547050688176596	-1.3799681048737	-0.100759673533282	0.975085613689644	-5	-5	1.78698851626489	0.901621219386529
Healthy	1.14563607374448	-0.131661262040936	0.775691984328376	-0.369500934993356	-0.255128343264855	-5	1.78024643641179	0.493807855234094
Healthy	0.772601120532011	-0.257259162126453	-1.24756739073853	-0.62182020961905	-5	-5	1.78464916825017	0.434639151871673
Healthy	1.19668730668016	-5	-5	-0.245751074050475	0.993012752319757	-5	1.59105948454855	0.485428959845251
Healthy	1.84684893146272	0.0849228603025243	-5	-5	-0.23051928278377	-5	1.20512583727329	-0.723814025929329
Healthy	0.56260449277382	-5	-5	1.00602125104217	-5	-5	1.86313571622313	-5
D015179	1.33327251390296	-1.63695240547891	-5	0.0447004353032906	-0.814316219681496	-5	1.82503702599809	0.489630878180088
Healthy	1.40552427687326	-0.858926673732525	-5	-2.08777794346758	-1.02890978686288	-5	1.79995502038762	0.71119625733534
Healthy	0.878078658061945	-0.666371387481309	-5	-5	-0.929112855981459	-5	1.93699953868876	0.270487844301513
