group	Lachnospirales	Oscillospirales	Lactobacillales	Coriobacteriales	Verrucomicrobiales	Erysipelotrichales	Methanobacteriales	Peptostreptococcales	Pseudomonadales		Lachnospirales	Oscillospirales	Actinomycetales	Verrucomicrobiales	Methanobacteriales	Erysipelotrichales	Coriobacteriales	Acidaminococcales	Desulfovibrionales	Peptostreptococcales
Healthy	13.53386	9.83018	0.08838	1.71689	0.07252	0.00364	0.52921	0.01345	0		13.53386	9.83018	5.61783	0.07252	0.52921	0.00364	1.71689	0.00079	0.05871	0.01345
Healthy	2.91449	3.71621	0	0.14288	0	0.163	0	0	0		2.91449	3.71621	0.65786	0	0	0.163	0.14288	0	0.07883	0
Healthy	0.18846	0.00382	1.2222	0.12	0	0	0	0	0.41286		0.18846	0.00382	53.66251	0	0	0	0.12	0.01689	0.13184	0
Healthy	13.06821	12.17061	0.18972	0	4.64535	1.0157	2.8803	0	0		13.06821	12.17061	0.99682	4.64535	2.8803	1.0157	0	0	0.08855	0
Healthy	1.11149	1.45347	0.23259	0.15444	0	0.01149	0	0	0		1.11149	1.45347	0	0	0	0.01149	0.15444	0	0.00251	0
Healthy	8.53065	27.37284	0.14253	0.01631	0.02478	0.00061	0	0	0		8.53065	27.37284	0	0.02478	0	0.00061	0.01631	0	0.037	0
D008545	56.77516	13.51871	13.28752	0.09959	0	0	0	0.4075	0		56.77516	13.51871	11.04893	0	0	0	0.09959	0	0	0.4075
Healthy	4.60479	5.28558	0.21411	0	20.014	0.05876	0.54614	0	0		4.60479	5.28558	0	20.014	0.54614	0.05876	0	1.00509	0.65549	0
Healthy	3.30342	2.55632	0	0.102	0	0	0	0	0		3.30342	2.55632	0	0	0	0	0.102	0	0.05737	0
Healthy	24.13931	1.23345	0	0.06941	1.13725	0	15.6428	0	0		24.13931	1.23345	0.09522	1.13725	15.6428	0	0.06941	0.01163	0.02658	0
Healthy	12.86415	3.76713	0	0	0	0.14265	0.32705	0.35363	0		12.86415	3.76713	0	0	0.32705	0.14265	0	0	0	0.35363
Healthy	4.04901	3.5952	0.06243	0	0	0.04	0	0	0		4.04901	3.5952	0.22191	0	0	0.04	0	0	0.09831	0
Healthy	58.92111	9.34538	0.11515	0	0.00932	0	3.21156	0	0		58.92111	9.34538	0	0.00932	3.21156	0	0	0	0	0
Healthy	2.98722	3.85686	0	0.19064	0	0.14147	0	0	0		2.98722	3.85686	0.6206	0	0	0.14147	0.19064	0	0.10029	0
Healthy	15.91284	8.70302	15.71087	2.82554	0	2.57172	1.04718	0	0		15.91284	8.70302	22.56278	0	1.04718	2.57172	2.82554	0	0	0
Healthy	15.08024	4.12956	0.46803	1.73487	0	1.6957	0	0.04743	0.01561		15.08024	4.12956	5.0595	0	0	1.6957	1.73487	2.16701	0.03635	0.04743
Healthy	2.94694	4.3862	0	0	0	0.24099	0	0	0		2.94694	4.3862	0.38779	0	0	0.24099	0	0	0	0
Healthy	3.31311	2.11122	0	0.31594	0	0.09705	0	0	0		3.31311	2.11122	0.49252	0	0	0.09705	0.31594	0	0.20315	0
Healthy	4.67955	7.10371	0	0	0.54368	0.2213	0.60936	0	0		4.67955	7.10371	0	0.54368	0.60936	0.2213	0	0	0	0
Healthy	4.47133	19.62191	0.0109	0.21172	1.91855	0.0032	0.01981	0	0		4.47133	19.62191	0	1.91855	0.01981	0.0032	0.21172	0	0.0924	0
Healthy	4.96469	8.99262	0.27467	0.00368	0	0.04242	0	0.09932	0		4.96469	8.99262	5.17804	0	0	0.04242	0.00368	0	0	0.09932
Healthy	26.02253	14.11143	0.54071	0.20396	0	0.08736	0	0.0908	0		26.02253	14.11143	9.82654	0	0	0.08736	0.20396	0	0.06614	0.0908
Healthy	15.93214	17.74577	2.28761	1.11002	0.87446	0.08713	0	0	0		15.93214	17.74577	0.73193	0.87446	0	0.08713	1.11002	2.25084	0.28312	0
Healthy	13.86684	7.44577	0	0.44391	1.83608	0	0.54243	0.12217	0		13.86684	7.44577	2.58432	1.83608	0.54243	0	0.44391	0	0	0.12217
Healthy	13.69074	3.85957	0.19801	0	0	0	0	0	0		13.69074	3.85957	0.50518	0	0	0	0	0	0.01952	0
Healthy	5.4809	4.49464	0	0	7.69718	0	0	0	0		5.4809	4.49464	0	7.69718	0	0	0	0	0	0
Healthy	5.82858	2.70927	0.06404	0.31466	0	0	0	0.0709	0		5.82858	2.70927	0.00669	0	0	0	0.31466	0	0.04377	0.0709
Healthy	7.62617	8.46934	0	0.23162	5.35516	0	0	0	0		7.62617	8.46934	0.13549	5.35516	0	0	0.23162	0	0.32464	0
Healthy	2.05337	6.34267	0.00291	0	0	0	0	0	0		2.05337	6.34267	0	0	0	0	0	0	0.00721	0
Healthy	17.42598	4.61086	2.3757	1.00781	4.75004	0.08093	0.00715	0.13647	0		17.42598	4.61086	8.08516	4.75004	0.00715	0.08093	1.00781	0	0.08954	0.13647
Healthy	0.82468	6.37802	0	0.69144	7.16262	0.35675	0	0	0		0.82468	6.37802	0.02207	7.16262	0	0.35675	0.69144	0	0.17895	0
Healthy	13.15289	38.2343	0.02683	0.41073	0.03189	0	0.05897	0	0		13.15289	38.2343	2.3021	0.03189	0.05897	0	0.41073	0.19254	0.14804	0
Healthy	29.97117	54.60222	0	3.68311	0	3.05681	2.07917	0.26971	0		29.97117	54.60222	0	0	2.07917	3.05681	3.68311	0.2624	0	0.26971
Healthy	1.15799	1.47786	0.21585	0.14868	0	0.02708	0	0	0		1.15799	1.47786	0	0	0	0.02708	0.14868	0	0	0
Healthy	16.08956	7.9392	0.04828	0.23323	0	0.43867	0	0.26029	0		16.08956	7.9392	1.87214	0	0	0.43867	0.23323	0	0	0.26029
Healthy	2.66517	9.10469	0	0.51129	0	0.01705	0	0	0		2.66517	9.10469	0	0	0	0.01705	0.51129	0	0	0
Healthy	3.20391	14.02014	0.00451	0.7355	0	0.01215	0	0	0		3.20391	14.02014	0	0	0	0.01215	0.7355	0	0	0
Healthy	22.52399	14.94458	0.0073	0.03641	0	0.0136	0	0	0		22.52399	14.94458	1.19003	0	0	0.0136	0.03641	0	0	0
Healthy	23.50672	4.07902	0	0.07736	0	0.05412	0	0	0		23.50672	4.07902	0	0	0	0.05412	0.07736	0	0.55153	0
Healthy	5.27636	4.98386	0.5783	0.03571	0	0	0	0	0		5.27636	4.98386	0.23312	0	0	0	0.03571	0	0	0
Healthy	0.74218	9.91116	0	0.14686	17.199	0	0	0	0		0.74218	9.91116	2.71886	17.199	0	0	0.14686	0	1.61864	0
Healthy	4.66382	0.59296	0.10611	1.47704	3.52859	0.01017	0	0	0.58176		4.66382	0.59296	5.45435	3.52859	0	0.01017	1.47704	0	0	0
Healthy	20.07617	8.24625	0.1514	0.01042	0	0.14607	0	0.25312	0		20.07617	8.24625	0.74589	0	0	0.14607	0.01042	0	0	0.25312
Healthy	20.8232	9.74817	0	0	0	0	0	0.16683	0		20.8232	9.74817	0.01296	0	0	0	0	0	0	0.16683
Healthy	18.86342	37.18712	0.78156	3.88243	0	11.3576	0	0	0		18.86342	37.18712	2.57185	0	0	11.3576	3.88243	1.40591	0	0
Healthy	8.09311	35.45277	0.60443	0.21735	0	0.57473	0	0.01342	0.06974		8.09311	35.45277	4.99535	0	0	0.57473	0.21735	0	0	0.01342
Healthy	18.30054	3.31872	0	0.10638	0.06765	0	0	0	0		18.30054	3.31872	0	0.06765	0	0	0.10638	0	0	0
D008545	26.96445	14.43998	1.59421	2.73643	0.00566	0.15028	0	1.51361	0.12341		26.96445	14.43998	1.66122	0.00566	0	0.15028	2.73643	0	0.07806	1.51361
Healthy	9.47397	13.42089	0.00195	0	3.04604	0	0.57278	0	0		9.47397	13.42089	0	3.04604	0.57278	0	0	1.52523	0.04203	0
Healthy	11.74589	29.26325	0.03976	0.07817	1.83008	0.6621	0.1514	0.39724	0.963		11.74589	29.26325	0.3126	1.83008	0.1514	0.6621	0.07817	6.00307	0.03232	0.39724
Healthy	0.2867	4.1034	0.04975	0.97538	0.00437	0.29282	0	0	0		0.2867	4.1034	0.32681	0.00437	0	0.29282	0.97538	0.02808	0.40307	0
D008545	17.12432	6.66351	1.46865	0.5823	0.00237	0.12323	0	0.32061	0		17.12432	6.66351	0.04193	0.00237	0	0.12323	0.5823	0	0.12749	0.32061
Healthy	1.01616	6.98888	0.29215	1.24073	0.51673	0.56328	0	0	0		1.01616	6.98888	1.20433	0.51673	0	0.56328	1.24073	0.02259	0.80581	0
Healthy	25.34291	10.98327	0.22287	0.08385	25.358	0.59698	0	0	0		25.34291	10.98327	5.29141	25.358	0	0.59698	0.08385	0	0	0
Healthy	9.43879	6.25977	0.02321	0.38018	0.53875	0	0.0264	0	0		9.43879	6.25977	1.37642	0.53875	0.0264	0	0.38018	0	0.09289	0
