group	Prevotella_copri_A	Phocaeicola_plebeius_B	Phocaeicola_coprocola	Phytobacter_ursingii	Ruminococcus_B_gnavus	Streptococcus_parasanguinis_D	Veillonella_atypica	Streptococcus_sp004166885	Rothia_sp001808955	Streptococcus_pseudopneumoniae_O	Prevotella_copri_A	Bacteroides_eggerthii	Bifidobacterium_longum	Phocaeicola_sp900554435	Bacteroides_sp900066265	Anaerostipes_hadrus	Intestinibacter_bartlettii	Anaerostipes_hadrus_A	Streptococcus_parasanguinis_D	Parasutterella_excrementihominis
Healthy	0	4.33873	0	0	0	0.35242	0.01722	0	0	0	0	10.2668	0.15607	0	0	0.14793	0.02658	0.04257	0.35242	0.08967
Healthy	0.01328	0	0	0.00903	0.0148	0.0074	0	0	0	0	0.01328	0	1.26339	0	0	0.09169	0	0.00474	0.0074	0.02565
Healthy	0	0	3.14863	0.00336	0.01194	0.01273	0	0	0	0	0	10.1871	2.00387	6.48184	0	0.06822	0.01345	0.02622	0.01273	0
Healthy	0	0	0	0.07286	0	0	0	0	0	0	0	0	0.3603	0	0	0	0	0	0	0.29286
Healthy	0	0	0	16.2661	0	0.15289	0.54745	0	0.33442	0.02732	0	0	53.2625	0	0	0	0	0	0.15289	0
Healthy	0	0	0	0	0	0.02111	0	0	0	0	0	0	0.05619	0	0	0.03743	0	0.03231	0.02111	0
Healthy	0	0	0	0.37736	0.02053	0	0	0	0	0	0	57.8833	0	0	0	0	0	0.01274	0	0.0857
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00764	0	0.02413	0	1.28454
Healthy	7.17452	0	0	6.343	0	0	0	0	0	0	7.17452	0	0	0.5959	0	0	0	0	0	0.00459
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	8.96198	0	0.07063	0	0	0	0	0	0	9.31664	0.07095	3.93028	0.09846	0.11062	0	0	0	0
Healthy	0	0	0	16.4109	5.39169	0	0	0	0	0	0	5.76516	0	0	0.89573	0	0.35363	0	0	0.04035
Healthy	0	0	0	0.45378	0	0	0	0	0	0	0	0	0.22191	0	0	0	0	0	0	0.08025
Healthy	0	0.03558	0.37173	0	0	0.11515	0.19144	0	0	0	0	0	0	1.47976	0	0	0	0.01693	0.11515	0
Healthy	0	0	0	0.02833	0.00483	0	0	0	0	0	0	0	0.3221	0	0	0	0	0	0	0.29889
Healthy	0	0	0	1.75061	0	2.26055	0	0	0	0	0	0	3.24125	0.19643	0.28617	0	0	0	2.26055	0
Healthy	0.0022	0	0	0.14333	0.01648	0.09038	0	0	0.00149	0.00854	0.0022	0	1.81128	6.38856	2.98671	0.05886	0.04743	0.03581	0.09038	0.13187
Healthy	0	0	0	0	0.00686	0	0	0	0	0	0	0	0.38779	0	0	0	0	0	0	0.12857
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0.00868	14.2983	1.58023	0	0	0	0	0.0276
Healthy	0	0	0	12.8542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00574
Healthy	0.15669	0	0	0.00825	0.00091	0	0	0	0	0.0109	0.15669	0	0	0	4.14672	0.01853	0	0.04922	0	0
