group	Enterobacterales	Lactobacillales	Veillonellales	Pseudomonadales		Enterobacterales	Verrucomicrobiales	Lactobacillales	Burkholderiales	Methanobacteriales	Erysipelotrichales	Coriobacteriales	Acidaminococcales	Pseudomonadales	Peptostreptococcales
Healthy	1.67377	0.06243	0	0		1.67377	0	0.06243	0.08025	0	0.04	0	0	0	0
Healthy	0	0.11515	5.12865	0		0	0.00932	0.11515	0	3.21156	0	0	0	0	0
Healthy	0.03895	0	6.53381	0		0.03895	0	0	0.29889	0	0.14147	0.19064	0	0	0
Healthy	1.75061	15.71087	2.39552	0		1.75061	0	15.71087	0	1.04718	2.57172	2.82554	0	0	0
Healthy	6.51836	0.46803	0.00473	0.01561		6.51836	0	0.46803	8.98905	0	1.6957	1.73487	2.16701	0.01561	0.04743
Healthy	0	0	6.35013	0		0	0	0	0.12857	0	0.24099	0	0	0	0
Healthy	0.01729	0	0	0		0.01729	0	0	5.95389	0	0.09705	0.31594	0	0	0
Healthy	12.8542	0	11.5958	0		12.8542	0.54368	0	0.37574	0.60936	0.2213	0	0	0	0
Healthy	0.00825	0.0109	0.22524	0		0.00825	1.91855	0.0109	1.42197	0.01981	0.0032	0.21172	0	0	0
Healthy	2.29463	0.27467	0.01956	0		2.29463	0	0.27467	0.0035	0	0.04242	0.00368	0	0	0.09932
Healthy	0.21558	0.54071	4.07963	0		0.21558	0	0.54071	0.00678	0	0.08736	0.20396	0	0	0.0908
Healthy	0	2.28761	0	0		0	0.87446	2.28761	0.0093	0	0.08713	1.11002	2.25084	0	0
Healthy	0	0	0	0		0	1.83608	0	1.16431	0.54243	0	0.44391	0	0	0.12217
Healthy	2.77557	0.19801	4.777	0		2.77557	0	0.19801	1.07698	0	0	0	0	0	0
Healthy	0.12423	0	0	0		0.12423	7.69718	0	0.10417	0	0	0	0	0	0
Healthy	1.37665	0.06404	0	0		1.37665	0	0.06404	0	0	0	0.31466	0	0	0.0709
Healthy	0.04487	0	0	0		0.04487	5.35516	0	0.39005	0	0	0.23162	0	0	0
Healthy	0.6011	0.00291	2.69249	0		0.6011	0	0.00291	0.013	0	0	0	0	0	0
Healthy	2.12948	2.3757	0.15028	0		2.12948	4.75004	2.3757	0.00433	0.00715	0.08093	1.00781	0	0	0.13647
Healthy	1.06216	0	9.30256	0		1.06216	7.16262	0	0.2712	0	0.35675	0.69144	0	0	0
Healthy	0.01462	0.02683	0.27195	0		0.01462	0.03189	0.02683	1.85847	0.05897	0	0.41073	0.19254	0	0
Healthy	0	0	0	0		0	0	0	0	2.07917	3.05681	3.68311	0.2624	0	0.26971
Healthy	0.42965	0.21585	3.36743	0		0.42965	0	0.21585	0.11156	0	0.02708	0.14868	0	0	0
Healthy	0.04188	0.04828	1.41269	0		0.04188	0	0.04828	0.03569	0	0.43867	0.23323	0	0	0.26029
Healthy	0.07776	0	0	0		0.07776	0	0	5.7003	0	0.01705	0.51129	0	0	0
Healthy	0.06544	0.00451	0	0		0.06544	0	0.00451	7.09637	0	0.01215	0.7355	0	0	0
Healthy	0.07492	0.0073	5.37671	0		0.07492	0	0.0073	0	0	0.0136	0.03641	0	0	0
Healthy	0	0	0	0		0	0	0	2.9757	0	0.05412	0.07736	0	0	0
Healthy	0	0.5783	4.62199	0		0	0	0.5783	6.33312	0	0	0.03571	0	0	0
Healthy	0.04178	0	0	0		0.04178	17.199	0	0.0632	0	0	0.14686	0	0	0
