group	Veillonella_parvula_A	Enterocloster_clostridioformis_A	Bifidobacterium_breve	Veillonella_atypica	Longicatena_innocuum	Veillonella_dispar_A	Streptococcus_sp004166885	Rothia_sp001808955		Akkermansia_muciniphila_D	Bifidobacterium_longum	Phocaeicola_sp900554435	Roseburia_intestinalis	Bacteroides_sp900066265	Mediterraneibacter_lactaris	Anaerostipes_hadrus	Clostridium_A_leptum	Anaerostipes_hadrus_A	Adlercreutzia_equolifaciens
Healthy	0	0	0	0	0	0	0	0		4.64535	0.05619	0	5.87208	0	0.31824	0.03743	0	0.03231	0
Healthy	0.03427	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0.35951	0.01274	0
Healthy	0	0	0	0	0.00061	0	0	0		0.02478	0	0	0	0	0.2886	0.00764	0.00424	0.02413	0
Healthy	0	0	0	0	0	0	0	0		20.014	0	0.5959	0.11967	0	0	0	0.05176	0	0
Healthy	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0.20168	0	0
Healthy	0	0	0	0	0	0	0	0		1.13725	0.07095	3.93028	0	0.09846	1.7677	0.11062	0	0	0
Healthy	0	0	0	0	0	0	0	0		0	0	0	0	0.89573	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0		0	0.22191	0	0	0	0	0	0.15275	0	0
Healthy	0.68356	0	0	0.19144	0	0	0	0		0.00932	0	1.47976	10.6211	0	0	0	0	0.01693	0
Healthy	0.22337	0	0	0	0	0	0	0		0	0.3221	0	0	0	0.16929	0	0	0	0
Healthy	0	0	0	0	0	0	0	0		0	3.24125	0.19643	0.30958	0.28617	0	0	0	0	0
Healthy	0.00473	0	0	0	0	0	0	0.00149		0	1.81128	6.38856	1.25505	2.98671	0.04399	0.05886	0	0.03581	0
Healthy	0	0	0	0	0	0	0	0		0	0.38779	0	0	0	0.08193	0	0.6039	0	0
Healthy	0	0	0.0144	0	0	0	0	0		0	0.00868	14.2983	0.95164	1.58023	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0		0.54368	0	0	0	0	0.03066	0	0	0	0
Healthy	0	0	0	0	0.0032	0	0	0		1.91855	0	0	0	4.14672	0.13226	0.01853	0.05467	0.04922	0.06196
Healthy	0.00222	0.1488	0.00137	0.01105	0.02991	0.00629	0.01138	0.02165		0	5.1271	0	0	0	0	0.04834	0	2.12399	0
Healthy	0.01217	0.0308	0	0	0.01774	0	0	0		0	9.82198	0	5.41872	0	1.6089	0.33727	0.98499	0.00638	0.18515
Healthy	0	0	0	0	0	0	0.00317	0		0.87446	0	0	0.31746	1.46242	0	0.27015	0.09277	0.11637	0.23981
Healthy	0	0	0	0	0	0	0	0		1.83608	1.05008	0.56203	1.0081	1.24548	0	0.22003	0	0	0.06226
Healthy	0.13057	0	0	0.16941	0	0	0	0		0	0.50518	8.441	3.70614	4.28833	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0		7.69718	0	23.8925	2.27366	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0		0	0.00669	17.1072	0.40757	0	0.73878	0.24287	0	0.0017	0
Healthy	0	0	0	0	0	0	0	0		5.35516	0.13549	0	1.14522	0	1.2226	0	0.05067	0	0.09067
Healthy	0.10343	0	0	0.08811	0	0.0113	0	0		0	0	0	0.25548	1.55273	0.18176	0	0	0	0
Healthy	0.00824	0	0.01262	0	0.00163	0	0	0.00327		4.75004	4.45185	5.20955	0	0	0.7151	0.10532	0.02277	0.02739	0.22901
Healthy	0	0.03918	0	0	0.00279	0	0	0		7.16262	0.02207	0	0	0.25188	0	0	0.03647	0	0
Healthy	0.00209	0	0.1181	0	0	0	0	0		0.03189	0.32622	1.76265	0.39893	0.00569	0.69187	0.07586	0	0.02982	0.05276
Healthy	0	0	0	0	0	0	0	0		0	0	0	2.9676	0	1.13809	0.24463	0	0.08128	0
Healthy	0.02362	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0.37289	0.01443	0
Healthy	0	0	0	0	0	0	0	0		0	0.19461	0	1.1253	0	0	0.23778	0	0.0626	0
Healthy	0	0	0	0	0	0	0	0		0	0	0	0	1.49246	0.10439	0	0	0	0.51129
Healthy	0	0	0	0	0	0	0	0		0	0	0	0	1.63723	0.12347	0	0	0	0.7355
Healthy	0.028	0	0	0	0	0	0	0		0	0.98401	0	0.00269	0	0.22448	0.0473	0	0.00159	0.03641
Healthy	0	0	0	0	0	0	0	0		0	0	0	0	4.71196	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0		0	0.23312	7.51156	0.28936	3.74217	0.35427	0	0	0	0
Healthy	0	0	0.22064	0	0	0	0	0		17.199	2.49822	0.2573	0	0	0	0	0.9764	0	0.14686
Healthy	0	0.00484	0	0	0	0	0	0		3.52859	0.87108	0	0	0	0.29717	0.05741	0.05402	0.02719	0
Healthy	0.00564	0	0	0.00183	0.00194	0.00053	0.00344	0		0	0.74589	0	0.89998	0	0	1.2924	0	0	0
Healthy	2.02137	0.00565	0	0.64826	0	0.13224	0	0		0	0	0	2.61431	0	0	0	0.07771	0	0
Healthy	0	0	0	0	0	0	0	0		0	0.73009	3.92234	0	0	0.77197	0	0	0	0
Healthy	0	0	0	0	0	0	0	0		0	3.06429	0	0.72262	0	0	0.57632	0.12409	2.72891	0.19679
Healthy	0	0	0	0	0	0	0	0		0.06765	0	0	0	0	1.45726	0.07734	0	0	0
Healthy	0	0	0	0	0	0	0	0		3.04604	0	0.48798	0.57321	0	0.00209	0.10758	0	0.18991	0
Healthy	0	0	0	0	0	0	0	0		1.83008	0.13239	0	0.17934	0.00616	0	0	0.37595	0	0
Healthy	0	0	0	0	0.01167	0	0	0		0.00437	0.32681	5.17118	0.00748	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0		0.51673	1.20433	0.66787	0	0	0	0	0.5397	0	0
Healthy	0	0.0152	0	0	0.00184	0	0.05627	0		25.358	5.29069	0	0.64788	0.43717	0	0.00906	0.68543	0.17703	0.07283
Healthy	0.01308	0	0.13194	0	0	0	0	0		0.53875	0.23583	2.39481	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0		5.195	1.44506	0	0.00228	0	0.29067	0.07293	0	0	0
Healthy	0	0	0.00258	0	0	0	0	0		0	0.02017	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0		0	0	0	0	7.18368	0	0	0	0	0.1511
Healthy	0.04244	0	65.2787	0	0.02798	0	0	0		0.00841	24.5736	0	0	0	0	0	0	0	0
Healthy	0	0.32545	0	0	0	0	0	0		1.66666	0.11834	10.7648	0	21.8225	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0.1764	0	0
Healthy	0	0	0.3321	0	0	0	0	0		0	0.02658	0	0	0	0	0.081	0	0	0
Healthy	0	0	0	0	0	0	0	0		1.05654	0.25793	0.38557	0.91483	0	1.74482	0.02282	0.00235	0.48382	0.00602
Healthy	0	0	0	0	0	0	0	0		0.01073	0	0	0.85412	0	0	0.03739	0	0.05161	0
Healthy	0	0	0.17688	0	0	0	0	0		0.14766	0.59074	0	0.39546	0	0	0	0	0	0.00226
Healthy	0	0	0	0	0	0	0	0		0.83505	0.06193	11.3558	0.00922	1.56053	0.16674	0.00253	0	0	0
Healthy	0	0	0	0	0.01801	0	0	0		0.00071	0	3.14765	0.04189	0	0	0.00428	0	0.00725	0
Healthy	0	0	0	0	0	0	0	0		0	0	0	0	0	0.31804	0	0	0	0
Healthy	0.23914	0	0	0.01388	0	0	0.04292	0		0	0.33107	0	1.16416	0.26868	0.5896	0.09527	0.07551	0.22523	0.03483
Healthy	0	0	0.06655	0	0	0	0	0		0	0.04047	0	0.13455	0.00992	0.3898	0	0	0	0
Healthy	0	0	0	0	0	0	0	0		0	10.8628	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0		10.5195	0	2.09355	0.50045	0	0.24005	0	0	0	0
Healthy	0	0	0	0	0	0	0	0		0	0	3.49499	0.32048	0.1888	0.40046	0	0	0	0
Healthy	0.91147	0	0	0.28384	0	0.09939	0	0		0	0.69119	0	2.30653	0	0	0.33099	0	0.26094	0.0955
Healthy	0	0.00952	0	0	0.04659	0	0.0084	0		6.51919	0.03459	0	1.20414	0	0	1.69309	0.98862	0.02712	0.40741
Healthy	0.03472	0	0	0.02137	0.00973	0	0.02727	0.00033		0.00699	0.24078	0	0.17051	0	0.09813	0.30021	0	0.44128	0.15492
Healthy	0	0	0	0	0	0	0	0		0	0	17.3947	1.45483	0	0	0.15794	0.0152	0	0.01904
Healthy	0	0	0	0	0	0	0	0		0	0	0	1.37721	0	1.92766	0	0	0	0
Healthy	0	0	0	0	0	0	0	0		0	0.26781	0.82445	0.74551	0.09776	0.14343	1.84722	0	0.57309	0.51527
Healthy	5.06616	0.43517	0	0.82987	0.0522	0.33686	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0.05221	0	0.01357	0.96817	0.00254	0.18457	0	0.0396		0	0.01181	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0.00535	0	0	0		0.13239	1.20908	0.73884	0	0	0.07359	0	0.13644	0.00936	0
Healthy	0	0	0.7378	0	0	0	0	0		0	0.55383	0.36726	0.12073	0	0	0	0	0	0
Healthy	0.02217	0	0	0.03269	0	0.00176	0	0		0	0.43785	0	0.00401	3.30215	0	2.37608	0	0.04458	0.11806
Healthy	0	0	0	0	0	0	0	0		0.03307	35.1461	1.85912	0	0	1.25624	0	0	0	0
Healthy	0.02967	0	0.03592	0.00663	0.00403	0	0	0.04553		0	1.33115	0	0	0	0	0.39887	0	0.01042	0
Healthy	0	0	0	0	0.00584	0	0	0		43.9894	0	0	0	0.19824	0	0	0.02241	0	0
Healthy	0	0	0	0	0	0	0	0		10.41	0	1.96435	0.50719	0	0.224	0	0	0	0
Healthy	0	0	0.67915	0	0	0	0	0		0.10078	0.2013	3.03237	0.37771	0.02837	0.21293	0.17231	0	0.20734	0.04004
Healthy	0	0	0	0	0	0	0	0		0	0.27682	0	0	0	0.03975	0	0.17536	0	0.00233
Healthy	0.02424	0	0	0	0	0	0	0		7.09147	0.99513	0	0	0	0.02889	0	0.06151	0	0
Healthy	0.00465	0	0	0	0	0	0	0		0	0.0079	0	0	0	0.4123	0.00777	0.01567	0.01155	0.00077
Healthy	0	0	0.61223	0	0	0	0	0		0	2.22429	0.57855	6.15006	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0		0	0	0	0.29628	0	0	0.19982	0	0.32629	0
Healthy	0	0	0.02032	0	0	0	0	0		0	0.13578	5.86584	6.30082	0.09962	0	0	0	0	0.02643
Healthy	0	0	0	0	0	0	0	0		0.55019	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0		0.38836	0.41331	8.05185	0.56401	3.23678	0.41721	0.04337	0.01418	0.10029	0.00714
Healthy	0.36684	0	0	0.14726	0	0.01008	0	0		0	0	0	0.77292	0	0	0	0.25985	0	0
Healthy	0	1.99695	0	0	0	0	0	0		0	0	0	0.03262	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0		0	10.6165	0	0	0	0.66386	0.14314	0	0	0
Healthy	0.00396	0	0	0	0	0	0	0		0.09373	0.0877	0	0.51792	0	0.38098	0.01909	0.00856	0.00271	0.00932
Healthy	0.46112	0	0	0	0	0	0	0		8.71159	0.26125	0	0.41145	0	0.31967	0	0	0	0.15579
Healthy	0	0	0	0	0	0	0.26262	0		0	0	1.34618	4.1499	0	0	0	0	0	1.41636
Healthy	0	0	10.3022	0	0	0	0	0		0	11.7854	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0		0	0	0	0.02282	0	0	0	0	0.04991	0
Healthy	0	0	0	0	0.00069	0	0	0		19.023	0	0	0	0	0	0.00066	0.55688	0.0054	0.04992
Healthy	0.03501	0	6.59542	0	0	0	0	0.11153		0.00039	0.45638	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0		11.9695	0	0	0	0	2.99782	0	0	0	0
Healthy	0.12378	0	0	0.24037	0	0.10078	0	0.00583		2.81759	0	0.15159	0	0	7.47599	0.66597	0	0.40163	0.00383
Healthy	0	0	0	0	0	0	0	0		0	0	0	0.39513	0	0.54319	0.02036	0	0.08509	0
Healthy	0	0	0	0	0	0	0	0		0.49181	0	0	0	0.07653	0	0.08494	0	0.23759	0
Healthy	0	0	0	0	0	0	0	0		0	0	1.54109	0.15284	0.41814	0.3728	0	0	0	0
