group	Veillonella	Longicatena	Rothia		Prevotella	Akkermansia	Enterocloster	Methanobrevibacter_A	Collinsella	Anaerostipes	Clostridium_A	Intestinibacter	Parasutterella	Adlercreutzia
Healthy	0	0	0		0.06453	0	0.5447	0	0.3144	0.24457	0	0.0709	0	0
Healthy	0	0	0		0	5.35516	0	0	0.14095	0	0.05067	0	0	0.09067
Healthy	0.20284	0	0		0	0	0.01641	0	0	0	0	0	0.013	0
Healthy	0.00824	0.0072	0.00327		0.01157	4.75004	1.90813	0.00715	0.71644	0.13271	0.02277	0.13647	0.00147	0.22901
Healthy	0	0.00279	0		0	7.16262	0.28013	0	0.68097	0	0.03647	0	0.01997	0
Healthy	0.00209	0	0		2.41062	0.03189	0.19726	0.05897	0.35797	0.10568	0	0	0	0.05276
Healthy	0	0	0		2.1963	0	0.85549	1.97108	3.68311	0.32591	0	0.26971	0	0
Healthy	0.02362	0	0		0	0	0.13561	0	0.14868	0.01443	0.37289	0	0.11156	0
Healthy	0	0	0		0	0	0.03017	0	0.23323	0.30038	0	0.26029	0.03569	0
Healthy	0	0	0		0	0	0.3291	0	0	0	0	0	0	0.51129
Healthy	0	0	0		0	0	0.40561	0	0	0	0	0	0	0.7355
Healthy	0.028	0	0		0	0	0.05507	0	0	0.04889	0	0	0	0.03641
Healthy	0	0	0		0	0	0	0	0.07736	0	0	0	0.38392	0
Healthy	0	0	0		0	0	0	0	0.03571	0	0	0	0.05957	0
Healthy	0	0	0		0	17.199	0.65934	0	0	0	0.9764	0	0.02873	0.14686
Healthy	0	0.00209	0		0	3.52859	0.04138	0	1.46902	0.0846	0.05402	0	0.02799	0
Healthy	0.008	0.00545	0		0	0	0.09799	0	0	1.2924	0	0.25312	0.17411	0
Healthy	2.80187	0	0		0	0	1.01141	0	0	0	0.07771	0	0.04242	0
Healthy	0	0	0		0	0	2.16324	0	3.88243	0	0	0	0	0
Healthy	0	0.5723	0		0	0	0.09151	0	0.00219	3.30523	0.12409	0.01342	0	0.19679
Healthy	0	0	0		46.7432	0.06765	0.79534	0	0.10638	0.07734	0	0	0	0
Healthy	0	0	0		6.74233	3.04604	2.08235	0.57278	0	0.29749	0	0	0.00222	0
Healthy	0	0	0		10.3598	1.83008	0.50451	0.1514	0.07817	0	0.37595	0.39724	0	0
Healthy	0	0.01167	0		0.03398	0.00437	0.06154	0	0.96563	0	0	0	0.0042	0
Healthy	0	0	0		0	0.51673	0	0	1.24073	0	0.5397	0	0	0
Healthy	0	0.52614	0		0	25.358	10.72712	0	0	0.18609	0.68543	0	0	0.07283
Healthy	0.01308	0	0		0	0.53875	0.39147	0.0264	0.38018	0	0	0	0.01784	0
Healthy	0	0	0		1.16567	5.195	1.36094	0.50179	0.22602	0.07293	0	0.0182	0	0
Healthy	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0		0	0	0	0	0.02688	0	0	0	0.20827	0.1511
Healthy	0.04244	0.02798	0		0	0.00841	0	0	0	0	0	0.02357	0	0
Healthy	0	0	0		0	1.66666	1.07384	0	0	0	0	0	0.58962	0
Healthy	0	0	0		0	0	1.09337	0	0.11605	0	0.1764	0	0	0
Healthy	0	0	0		0	0	0.04741	0	0.571	0.081	0	0	0	0
