group	Bacteroidales	Enterobacterales	Burkholderiales	Acidaminococcales	Pseudomonadales	Selenomonadales	Desulfovibrionales		Lachnospirales	Actinomycetales	Enterobacterales	Lactobacillales	Burkholderiales	Methanobacteriales	Erysipelotrichales	Acidaminococcales	Pseudomonadales	Peptostreptococcales
Healthy	48.12186	0.42971	0.02565	0	0	0	0.0012		9.33161	5.86576	0.42971	0.01657	0.02565	0	0.79186	0	0	0
Healthy	55.96175	0.01115	0	0.00079	0	0	0.05871		13.53386	5.61783	0.01115	0.08838	0	0.52921	0.00364	0.00079	0	0.01345
Healthy	76.93222	0.09586	0.29286	0	0	0	0.07883		2.91449	0.65786	0.09586	0	0.29286	0	0.163	0	0	0
Healthy	9.78837	16.45876	10.9103	0.01689	0.41286	0	0.13184		0.18846	53.66251	16.45876	1.2222	10.9103	0	0	0.01689	0.41286	0
Healthy	47.09899	0	0	0	0	0	0.08855		13.06821	0.99682	0	0.18972	0	2.8803	1.0157	0	0	0
Healthy	89.10926	0.37736	0.0857	0	0	0	0.00251		1.11149	0	0.37736	0.23259	0.0857	0	0.01149	0	0	0
Healthy	53.12384	0	1.28454	0	0	0	0.037		8.53065	0	0	0.14253	1.28454	0	0.00061	0	0	0
Healthy	30.60738	6.37382	0.03316	1.00509	0	0	0.65549		4.60479	0	6.37382	0.21411	0.03316	0.54614	0.05876	1.00509	0	0
Healthy	44.45977	0	0.1002	0	0	0	0.05737		3.30342	0	0	0	0.1002	0	0	0	0	0
Healthy	39.3006	0	0	0.01163	0	0	0.02658		24.13931	0.09522	0	0	0	15.6428	0	0.01163	0	0
Healthy	41.24657	16.4109	0.04035	0	0	0	0		12.86415	0	16.4109	0	0.04035	0.32705	0.14265	0	0	0.35363
Healthy	86.758	1.67377	0.08025	0	0	0	0.09831		4.04901	0.22191	1.67377	0.06243	0.08025	0	0.04	0	0	0
Healthy	12.46553	0	0	0	0	0	0		58.92111	0	0	0.11515	0	3.21156	0	0	0	0
Healthy	76.44017	0.03895	0.29889	0	0	0	0.10029		2.98722	0.6206	0.03895	0	0.29889	0	0.14147	0	0	0
Healthy	9.7859	1.75061	0	0	0	0	0		15.91284	22.56278	1.75061	15.71087	0	1.04718	2.57172	0	0	0
Healthy	42.18549	6.51836	8.98905	2.16701	0.01561	0	0.03635		15.08024	5.0595	6.51836	0.46803	8.98905	0	1.6957	2.16701	0.01561	0.04743
Healthy	68.34488	0	0.12857	0	0	0	0		2.94694	0.38779	0	0	0.12857	0	0.24099	0	0	0
Healthy	75.43383	0.01729	5.95389	0	0	0	0.20315		3.31311	0.49252	0.01729	0	5.95389	0	0.09705	0	0	0
Healthy	33.84867	12.8542	0.37574	0	0	0	0		4.67955	0	12.8542	0	0.37574	0.60936	0.2213	0	0	0
Healthy	52.57168	0.00825	1.42197	0	0	0	0.0924		4.47133	0	0.00825	0.0109	1.42197	0.01981	0.0032	0	0	0
Healthy	56.34078	2.29463	0.0035	0	0	0	0		4.96469	5.17804	2.29463	0.27467	0.0035	0	0.04242	0	0	0.09932
Healthy	20.22819	0.21558	0.00678	0	0	0	0.06614		26.02253	9.82654	0.21558	0.54071	0.00678	0	0.08736	0	0	0.0908
Healthy	34.97998	0	0.0093	2.25084	0	0	0.28312		15.93214	0.73193	0	2.28761	0.0093	0	0.08713	2.25084	0	0
Healthy	54.76138	0	1.16431	0	0	0	0		13.86684	2.58432	0	0	1.16431	0.54243	0	0	0	0.12217
Healthy	66.122	2.77557	1.07698	0	0	0	0.01952		13.69074	0.50518	2.77557	0.19801	1.07698	0	0	0	0	0
Healthy	65.39898	0.12423	0.10417	0	0	0	0		5.4809	0	0.12423	0	0.10417	0	0	0	0	0
Healthy	76.52103	1.37665	0	0	0	0	0.04377		5.82858	0.00669	1.37665	0.06404	0	0	0	0	0	0.0709
Healthy	53.00535	0.04487	0.39005	0	0	0	0.32464		7.62617	0.13549	0.04487	0	0.39005	0	0	0	0	0
Healthy	75.97442	0.6011	0.013	0	0	0	0.00721		2.05337	0	0.6011	0.00291	0.013	0	0	0	0	0
Healthy	43.89442	2.12948	0.00433	0	0	0	0.08954		17.42598	8.08516	2.12948	2.3757	0.00433	0.00715	0.08093	0	0	0.13647
Healthy	54.50736	1.06216	0.2712	0	0	0	0.17895		0.82468	0.02207	1.06216	0	0.2712	0	0.35675	0	0	0
Healthy	36.60204	0.01462	1.85847	0.19254	0	0.35345	0.14804		13.15289	2.3021	0.01462	0.02683	1.85847	0.05897	0	0.19254	0	0
Healthy	2.1963	0	0	0.2624	0	0	0		29.97117	0	0	0	0	2.07917	3.05681	0.2624	0	0.26971
Healthy	88.99303	0.42965	0.11156	0	0	0	0		1.15799	0	0.42965	0.21585	0.11156	0	0.02708	0	0	0
Healthy	55.54238	0.04188	0.03569	0	0	0	0		16.08956	1.87214	0.04188	0.04828	0.03569	0	0.43867	0	0	0.26029
Healthy	70.48564	0.07776	5.7003	0	0	0	0		2.66517	0	0.07776	0	5.7003	0	0.01705	0	0	0
Healthy	58.09122	0.06544	7.09637	0	0	0	0		3.20391	0	0.06544	0.00451	7.09637	0	0.01215	0	0	0
Healthy	40.21055	0.07492	0	0	0	0	0		22.52399	1.19003	0.07492	0.0073	0	0	0.0136	0	0	0
Healthy	64.56848	0	2.9757	0	0	0	0.55153		23.50672	0	0	0	2.9757	0	0.05412	0	0	0
Healthy	69.88918	0	6.33312	0	0	0	0		5.27636	0.23312	0	0.5783	6.33312	0	0	0	0	0
Healthy	41.95701	0.04178	0.0632	0	0	0	1.61864		0.74218	2.71886	0.04178	0	0.0632	0	0	0	0	0
Healthy	1.9337	78.76377	0.02799	0	0.58176	0	0		4.66382	5.45435	78.76377	0.10611	0.02799	0	0.01017	0	0.58176	0
Healthy	63.27551	1.87079	0.17411	0	0	0	0		20.07617	0.74589	1.87079	0.1514	0.17411	0	0.14607	0	0	0.25312
Healthy	50.98894	3.09305	5.90439	0	0	0	0		20.8232	0.01296	3.09305	0	5.90439	0	0	0	0	0.16683
Healthy	18.80818	0	0	1.40591	0	0	0		18.86342	2.57185	0	0.78156	0	0	11.3576	1.40591	0	0
Healthy	7.42578	0	0	0	0.06974	0	0		8.09311	4.99535	0	0.60443	0	0	0.57473	0	0.06974	0.01342
Healthy	68.09654	0	0	0	0	0	0		18.30054	0	0	0	0	0	0	0	0	0
Healthy	43.75014	0.06709	8.78787	1.52523	0	0	0.04203		9.47397	0	0.06709	0.00195	8.78787	0.57278	0	1.52523	0	0
Healthy	17.56695	0.8398	0.08859	6.00307	0.963	1.66926	0.03232		11.74589	0.3126	0.8398	0.03976	0.08859	0.1514	0.6621	6.00307	0.963	0.39724
Healthy	67.09431	1.00992	0.0042	0.02808	0	0	0.40307		0.2867	0.32681	1.00992	0.04975	0.0042	0	0.29282	0.02808	0	0
Healthy	31.28267	0.1118	0	0.02259	0	0	0.80581		1.01616	1.20433	0.1118	0.29215	0	0	0.56328	0.02259	0	0
Healthy	20.36905	0	0	0	0	0	0		25.34291	5.29141	0	0.22287	0	0	0.59698	0	0	0
Healthy	67.23166	0	0.01784	0	0	0	0.09289		9.43879	1.37642	0	0.02321	0.01784	0.0264	0	0	0	0
Healthy	42.56931	1.08785	0.67731	0	0	1.34287	0.29804		6.33331	3.22177	1.08785	0	0.67731	0.50179	1.26624	0	0	0.0182
Healthy	0.05164	86.41751	0	0	0	0	0		0.00094	0.02275	86.41751	0.22892	0	0	0	0	0	0
Healthy	61.38019	0.11696	5.18226	0	0	0	0.16147		21.55607	0	0.11696	0.09358	5.18226	0	0.0673	0	0	0
Healthy	0.01931	3.9748	0	0	0.57192	0	0		0	90.75306	3.9748	3.59098	0	0	0.02798	0	0.57192	0.02357
Healthy	92.92764	0.09795	0.58962	0	0	0	0		1.72277	0.11834	0.09795	0	0.58962	0	0	0	0	0
Healthy	43.38378	0	0.11326	0	0	0	0.03182		1.17854	0	0	0	0.11326	0	0	0	0	0
Healthy	56.61767	0	0.26844	0	0.02363	0	0.01125		4.22058	0.43511	0	0.25024	0.26844	0	0	0	0.02363	0
Healthy	52.15726	0.08321	0.51581	0	0	0	0.20998		12.86174	1.32525	0.08321	0	0.51581	0	0.10518	0	0	0
Healthy	61.05334	0	0.11734	0	0	0	0		26.41081	0.01689	0	0.00441	0.11734	0	0	0	0	0
Healthy	70.56182	0.15123	0.23778	0	0	0	0.07482		5.7435	4.34504	0.15123	0.00552	0.23778	0.0539	0	0	0	0
Healthy	83.56988	0	1.5313	0	0	0	0		1.35877	0.06193	0	0.04713	1.5313	0	0.00711	0	0	0
Healthy	37.34462	2.8125	0	0	0	0	0.05661		26.62906	0.0216	2.8125	0.04653	0	0	0.02471	0	0	0.00354
Healthy	20.76636	0	0.04874	0	0	0	0		46.55662	0	0	0	0.04874	0	11.24847	0	0	0
Healthy	49.42088	0.08119	0.46186	0	0	0	0.01742		25.0635	0.33771	0.08119	2.82676	0.46186	0	1.00134	0	0	0
Healthy	7.28498	0	0.04642	8.81102	0	0	0.01529		56.88681	1.2613	0	0	0.04642	3.78245	1.13999	8.81102	0	0
Healthy	3.61561	0	0	0	0	0	0		12.1476	21.2371	0	0	0	0	0	0	0	0
Healthy	65.94451	0	0.11483	0.86272	0	0	0.31288		2.9794	0.14666	0	0.04301	0.11483	0	0.03085	0.86272	0	0
Healthy	77.56292	0	0	0.06803	0	0	1.50048		4.23484	0	0	0	0	0.09708	0.30044	0.06803	0	0
Healthy	22.77193	3.85851	0.0586	0	0	0	0		13.98492	35.90039	3.85851	0.9221	0.0586	0	0.86835	0	0	1.16392
Healthy	10.42839	0.00058	0.09116	0	0.32517	0	0.00355		22.45504	0.042	0.00058	0.15545	0.09116	0	2.20829	0	0.32517	0
Healthy	44.35637	1.02549	1.77066	1.22966	0.0872	0	0.01117		25.21853	0.25052	1.02549	0.75708	1.77066	1.82276	0.12104	1.22966	0.0872	0.28618
Healthy	50.42891	0.19515	0.1002	0	0	0	0		29.12875	0	0.19515	0	0.1002	0	0	0	0	0.05986
Healthy	57.9843	0.81232	0	3.19845	0	0	0		20.95243	0	0.81232	0.8025	0	0	1.80524	3.19845	0	0
Healthy	19.00735	0.0911	0.16065	0	0.42465	0	0		38.42361	0.26781	0.0911	13.96801	0.16065	3.06148	0.05851	0	0.42465	0
Healthy	0	4.14218	0.00158	0	0.06891	0	0		35.15934	0	4.14218	1.56902	0.00158	0	0.07394	0	0.06891	0.01366
Healthy	22.0643	0.92321	1.67502	0	0	0	0		22.27209	0.22672	0.92321	0.23032	1.67502	0	0.06035	0	0	0.17413
Healthy	45.26359	0.34649	0.01275	0.06831	0	0	0.66408		0.65685	1.20908	0.34649	0.0582	0.01275	0	0.49025	0.06831	0	0
Healthy	18.16766	2.71161	0	2.97004	0	2.56205	0		6.95679	1.62673	2.71161	17.16755	0	0	4.10863	2.97004	0	0
Healthy	63.72663	0.07952	0	0	0	0	0.06978		10.2726	0.43785	0.07952	0.17892	0	0	0	0	0	0
Healthy	31.15761	0.08088	0.0234	0	0	0	0.00756		6.52439	35.20264	0.08088	0	0.0234	0	0.02407	0	0	0
Healthy	21.40224	0.16148	0.08772	0	0.06946	0	0		17.31738	5.54225	0.16148	0.27012	0.08772	0	4.8168	0	0.06946	0.25
Healthy	13.2891	10.2181	0.28406	0	0	0	0.45505		0.38881	0.0103	10.2181	0	0.28406	0	0.13551	0	0	0
Healthy	65.75268	0	0.09557	0.80514	0	0	0.33848		3.13409	0.13383	0	0.05589	0.09557	0	0.0128	0.80514	0	0
Healthy	46.11877	0.06381	2.51045	0	0	0.03243	0.00124		8.78889	2.43475	0.06381	0.45117	2.51045	0	0.40667	0	0	0
Healthy	70.63059	0.06157	0.11666	0	0	0	0		1.4222	0.27682	0.06157	0	0.11666	0	0.02247	0	0	0
Healthy	44.41535	0	0.27735	0	0	0	0.1094		4.3198	5.34259	0	0	0.27735	0	0.17455	0	0	0.00258
Healthy	36.30805	0.0175	0.00491	0	0	0	0		38.69933	0.1995	0.0175	0.01403	0.00491	0.02465	5.19517	0	0	0
Healthy	18.17723	0	0	0	0	0	0		24.09166	5.93464	0	0	0	0	0	0	0	0.92052
Healthy	42.50091	0	0	2.18475	0	0	0		37.42848	0	0	0.00794	0	0	1.95468	2.18475	0	0
Healthy	63.68496	0	0.17416	0	0	0.00475	0.05044		14.87514	0.92934	0	0	0.17416	0	0.04651	0	0	0
Healthy	92.81289	4.2841	0	0	0	0	0		0.64545	0	4.2841	0.01292	0	0	0	0	0	0
Healthy	49.73983	0.01667	2.54517	0.00113	0	0	0.10707		20.44622	0.61728	0.01667	0.36059	2.54517	0	0.14758	0.00113	0	0
Healthy	51.54426	0.47737	2.10393	0	0	0	0		11.94382	0.01142	0.47737	0.10367	2.10393	0	0	0	0	0
Healthy	71.0787	2.0968	0.34626	0	0	0	0.03142		2.68635	0	2.0968	0	0.34626	0	0	0	0	0
