group	Phocaeicola_sp900554435	Phocaeicola_plebeius_B	Ruminococcus_B_gnavus	Bacteroides_intestinalis_A	Haemophilus_D_sp001815355	Bacteroides_nordii	Enterocloster_citroniae	Streptococcus_sp004166885	Streptococcus_pseudopneumoniae_O	Eggerthella_lenta	Dialister_invisus	Bifidobacterium_adolescentis	Ruminiclostridium_E_siraeum	Methanobrevibacter_A_smithii_A	Sutterella_wadsworthensis_A	Odoribacter_splanchnicus	Bacteroides_intestinalis_A	Streptococcus_thermophilus	Parasutterella_excrementihominis	Flavonifractor_sp000508885
Healthy	2.35495	4.81903	0.00117	0	0.00903	0	0	0.00207	0	0	0	0.2271	0.18185	0.02601	0.86934	0.77527	0	0	0.01259	0.00291
Healthy	0.66173	0	0	0	0	0	0	0	0	0	0	1.23262	0.08808	0.1863	0	0	0	0	0.04277	0
Healthy	0	0	0	0	0	0	0	0	0	0	6.16718	0.00227	0.09417	0.17925	0.12711	1.06827	0	0	0.00753	0
Healthy	0	0	0	0	0	0	0	0	0	0	15.5468	0	0	0	0.23043	0	0	0.1507	0	0.08708
Healthy	0.83185	0	0	0	0	0	0	0	0	0	0	0.98397	0.05319	1.78079	0.94205	1.95461	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.0083	0.141	0	8.38667	1.43471	0	0	0	0
Healthy	0	0	0.01337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06997	0
Healthy	6.14533	0	0.01705	0	0	0	0	0	0	0	2.25348	0.9091	0	0	0.07225	0.05349	0	0.0016	0.00196	0.0727
Healthy	0	1.89749	0	0	0.05856	0	0	0	0	0	0	0	1.25865	0	0	0.79106	0	0	0.0185	0
Healthy	0	0	0.01047	0	0	0	0	0	0	0	3.39717	0	0	0	0	0	0	0.24276	0.12662	0.15084
Healthy	0	0	0.05099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00322
D001943	10.4922	13.9678	1.80662	0	0.40749	0.03123	0.00809	0.04474	0	0.00267	0	0	1.22599	0	0	0	0	0	0	0.00208
Healthy	0	0	0	0.0106	0	0	0.02851	0	0	0	0	1.52638	0	0.40579	0	0.58385	0.0106	0	0	0.10506
D001943	0.00088	3.13486	0.00371	0.01329	0.09557	0.00049	0.00544	0.04787	0.03732	0	0	0.40859	0	0	0	3.69767	0.01329	0	0.03316	0.00054
Healthy	0.00661	0.00257	0.51585	0.24794	0.03711	0.35327	0.02964	0.00211	0	0	0	0	0	0	0	0	0.24794	0	0.25117	0.07059
Healthy	0	0	0	0	0	0	0	0	0	0.01323	2.77942	0	0.4406	0	0	0	0	0.00359	0.00237	0.00614
Healthy	0	0	0.00698	1.97153	0.11044	0.08067	0	0	0	0	8.10446	0	0.10422	0	0	0.69796	1.97153	0.27051	0.20873	0.02956
Healthy	4.39913	0.00037	0.00575	0	8.91558	0	0	0	0.03946	0	0.00631	0	0	0	0	0	0	0.0103	0	0.03588
Healthy	0	0	0.00249	0.00649	0	0	0	0	0	0.00972	2.93626	0.83327	5.81335	0	0	1.05205	0.00649	0	0.04445	0
Healthy	8.79365	0	0	4.60766	0	0	0.01493	0	0	0	0	0	0	3.40764	0	0.77041	4.60766	0.01094	0.05308	0.08189
Healthy	0	0	0	0	0	0	0	0	0	0	15.6181	0	0	0	0.30648	0.66405	0	0.24763	0	0.08402
Healthy	0	0	0	0	0.11356	0	0	0	0	0	0	0	0	0	4.92056	0.86271	0	0	0.21446	0
Healthy	0	0	0	0	0	0.0538	0	0	0	0	7.81144	2.04123	0.94951	0.9034	0	1.26761	0	0	0.18523	0
Healthy	0	0	0.37078	0	0	0	0	0	0	0	10.23	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.62803	0.76866	0	0	0.47662	0.00363
Healthy	0	0	0.00044	0.06388	1.08386	0	0	0.0189	0.00496	0	0	0.71339	0.36719	0.02214	0	1.21062	0.06388	1.19027	0.1413	0.00172
Healthy	1.26128	0	0.03287	0.09411	0	0	0	0	0	0.01429	0	6.90887	2.08972	0.24867	0	0.97324	0.09411	0	0.0719	0
Healthy	0	0	1.74319	0	0	0	0	0	0	0	6.29626	0	0	0	0	0.55264	0	0	0.19376	0
Healthy	0	0	0.46136	0	0	0	0	0	0	0	7.8536	0	13.6072	0	0	0	0	0	0.03322	0.00826
D001943	13.07	0.00223	0.55792	0.69461	0.00608	0	0	0.00089	0	0.00276	0	0	0	0	0	0	0.69461	0	0	0.21011
Healthy	0	0	0.00635	0	0	0	0	0	0	0.04811	4.83567	0	0.03375	0	0	0.49019	0	0.29614	0.21194	0.06291
Healthy	0	0	0	1.47168	0	0	0	0	0	0	0	0.10186	1.41269	0.49979	0.28649	0	1.47168	0	0	0
Healthy	0	2.45518	0	0	0.11687	0	0	0	0	0	0.62564	50.9857	0.05313	0	0	0	0	0	0.05514	0
Healthy	0	0	0.35751	0	0	0	0	0	0	0	0	0	0.10567	0.89562	0	0	0	0	0	0
Healthy	0	0	0	9.54579	0.04992	0	0	0	0	0	10.1069	0	1.82699	0	0	1.05542	9.54579	0	0	0
Healthy	0	7.51363	0	0	0.22453	0.02083	0	0	0	0	0.90171	9.35374	1.23237	0	0	0	0	0	0.01366	0
Healthy	0	0	0	0	0	0	0	0	0	0	13.8698	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0.0591	0	0	0	0	0	0	0	0	0	0	0.24439	0	0.0591	2.40541	0	0
Healthy	0	0	0	0	0.36493	0	0	0	0.03109	0	0	0	0	0	0	0	0	0.00385	0	0.65981
Healthy	0	0	0	0	0	0.25094	0	0	0	0	4.77863	0.22668	0	0	1.96708	0	0	0	0	0.00907
D001943	3.50042	0.8162	0.00528	0.0009	0.02677	0.02684	0.00121	0.00573	0.00326	0	0	0	0.5903	0	2.09434	2.23286	0.0009	0	0.00038	0.00028
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0.01118	0	0	0	0.02291	0	0	1.44915	0	0	0	0	0	0	0	0
Healthy	0	0	0.28515	0	0.26539	0	0.0033	0	0	0.07113	2.38636	1.41555	0.02964	0	1.44924	1.45573	0	2.40569	0	0.05342
Healthy	0	0	0	0	0	0	0	0	0	0	80.9451	1.13343	0	0	0.88147	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	1.72186	0.44192	0	0.28988	0	0	0	0	0
Healthy	5.11854	0	0	0	0	0	0	0	0	0	0.06532	0	0	0	0	0.76443	0	0	0.03388	0.06358
Healthy	0.00016	0	0.19914	0	0	0	0.03751	0	0.01504	0.00834	0.00056	0.00092	0	0	0	0	0	0	0	0.00235
Healthy	5.54927	0	0	0	0	0	0	0	0	0	0	0.04286	1.36996	0.05074	0	0	0	0	0	0
Healthy	1.74739	0	0	0	0	0.00618	0	0	0	0	0	0.75723	1.35616	0.03181	3.13581	2.4475	0	0.08031	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	1.98112	8.1318	0	0	0	0	0	0
Healthy	0.20876	0	0.00631	0	0.00174	0	0	0	0	0	0.04341	0.31009	0.23206	0	0.06529	0.71032	0	0.01631	0.01369	0.00347
Healthy	0	0	0.18763	0.97559	0	0	0	0	0	0	1.43343	11.6886	0	0	0	0	0.97559	0	0.06944	0
D001943	0	9.15267	0.01346	0.05761	1.2932	0.87813	0.01657	0.03364	0.08634	0.00478	0	0	0	0	0	0	0.05761	0	0.03331	0
Healthy	0	0	0	0	0.18274	0.02293	0	0	0	0	2.53376	0	0	0	0	1.40986	0	0	0.00302	0
Healthy	0	0	0.30727	0	0	0	0	0	0	0	10.3389	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0.1783	0	0	0	0	0	0	1.17339	0.17155	0	0	0	0	0	0	0
Healthy	0	0	0.71025	0	0	0	0	0	0	0	8.30006	0	0	0	0.15466	1.32082	0	0.12471	0	0
Healthy	0	0	0.01415	0	0	0	0	0	0	0	6.87772	0.41095	0.38235	0	2.65709	0.82307	0	0	0.03417	0
Healthy	0	6.39234	0	0	1.62294	0	0	0	0	0	0.16245	47.8316	0	0	0	0	0	0	0.0127	0
D001943	6.6516	26.5466	0	2.22244	0.13837	0.14178	0.03316	0	0	0	0	0	0	0	0	0	2.22244	0	0.5155	0.00351
Healthy	1.4468	0	0	0	0	0.01142	0	0	0	0	0	0	1.29424	0.02964	0	1.25327	0	0	0.05006	0
Healthy	3.66463	0	0	0.41737	0.02	0.05058	0	0	0	0	0	0.11686	2.37297	0.17209	0.89269	1.39676	0.41737	0.03131	0.04691	0
Healthy	0	0	0.61804	0	0	0	0	0	0	0	5.73747	0	0	0	0	0.62078	0	0	0.0969	0
Healthy	14.4249	0	0	0.7975	0.02909	0	0.00834	0	0	0	0	0.48058	0	0	5.81523	0.77383	0.7975	0	0.0375	0
Healthy	1.99962	0	0	0.11177	0	0	0	0	0	0	0	0.11531	0	0	0.08732	1.08319	0.11177	0	0	0
Healthy	0	0	0.00806	0	0	0	0	0	0	0	9.20421	0	2.49579	0	0	0	0	0	0.01175	0.07372
Healthy	0	0	0	0	0	0	0	0.00979	0	0	1.98301	1.07071	0.8871	0.04087	0	0	0	3.8935	0.0269	0
Healthy	0.71687	0	0.38035	0	0	0	0	0.06394	0.01664	0.07092	0	3.55347	0	0.07054	0	0	0	19.9916	0.0003	0.00146
Healthy	0	0	0	0	0.019	0	0	0	0	0	6.18362	0.27282	0.20327	0	0	1.02826	0	0	0.2951	0.0778
Healthy	0	10.4989	0.37106	0.31143	0	0.10397	0.01263	0	0	0	0	0	0	0	0	0	0.31143	0	0	0
Healthy	0.70919	2.72006	0	0	0	0	0	0	0	0	0	0	0.16174	0	0.06228	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	81.6769	1.15502	0	0	0.5874	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13979	0	0	0	0	0
Healthy	0.00865	0	0.00912	0	0	0	0	0	0.05427	0	0	8.39483	0	0	0.00451	0	0	0.00051	0	0
Healthy	0	0	0.03746	4.125	0	0	0	0	0	0	0	0.28742	0.31357	0.0651	1.89831	1.46441	4.125	0	0.08058	0.13419
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0.02425	13.6877	0	0	0	0	0	0
Healthy	7.30164	0	1.23037	0.34561	0.05048	0.02127	0	0	0	0	0	0.0225	0	0	2.28503	0	0.34561	0	0	0.14487
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	3.88798	0	5.48059	1.10253	0	0	0	0
Healthy	0	0	0	0	0	0	0.02663	0	0	0	0	0	0.18167	0	0	0	0	0	0	0.10455
Healthy	0	0	0	0	0.08553	0	0	0	0	0	0	0	2.58204	0	5.96924	0.9248	0	0.06202	0	0.00295
Healthy	1.36475	0	0	0	0	0.13761	0	0	0	0	0	0.07066	16.8648	0.12202	0	2.02803	0	0	0.00451	0
Healthy	0	0	0.13011	2.72916	0	0	0	0	0	0	0	0	2.67087	0.39354	0.27022	0	2.72916	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	5.73845	0	0	0.37936	0	0	0.0439	0.27045
Healthy	0	15.43	0.62322	0	0	0	0	0	0	0	0	0	8.06177	0	0	0	0	0	0.01915	0
Healthy	8.60542	0	0	0	2.80085	0	0	0	0	0	4.66141	0	0	0	0	0	0	0.23546	1.25218	0
Healthy	0.34484	0	0.00252	0.01288	0	0.00038	0.00894	0.00012	0	0.01064	1.78541	17.4177	0.00271	0	0.56572	0.18279	0.01288	0.06544	0.0035	0.00203
Healthy	7.35669	0	0	0	0	0	0	0	0	0	4.48642	0	0.17224	0	6.21298	1.13476	0	0.54739	0.07184	0
Healthy	0	0	0	2.54333	0.01352	0.14401	0	0	0	0	0	0.75835	0.01629	0	0.69598	1.31608	2.54333	0	0.0175	0
Healthy	0	0	0	3.70919	0.02031	0	0	0	0	0	0.3118	0.45305	1.80095	0.17603	1.43051	2.38534	3.70919	0	0.00862	0.02824
Healthy	7.73358	0	0.00745	0	0.02697	0	0.00504	0	0	0	1.07601	0.18939	0.17439	0	2.31853	0.91986	0	0.18475	0.01494	0.01174
Healthy	1.26763	0	0.03415	0.06075	0	0	0	0	0	0.04305	0	6.81108	2.07736	0.22303	0	1.01049	0.06075	0	0.11675	0.00278
Healthy	0.00075	0	0.00388	0	0.02811	0.00959	0	0.01766	0.00134	0	4.18592	0.78936	0	0	0	0.98878	0	0.06281	0.00546	0.04013
Healthy	0	0	0.06066	0.66849	0	0	0	0	0	0	0	0	0	0	0.06226	1.18209	0.66849	0	0.01042	0.08228
D001943	0.00511	0	0.19176	0.10269	0.7431	1.61683	0.00492	0	0	0.00428	0	0	0	0	0	0.77199	0.10269	0	0	0.09775
Healthy	1.86582	0	0.03341	1.09184	0.00677	0.01908	0	0	0	0	0.29805	1.78592	28.0523	0.04896	1.73585	1.45011	1.09184	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.19817	0	0	0	0	0	0	0	0
Healthy	0	0	0.4433	0	0	0	0.02771	0.01075	0.14445	0.09463	9.64947	3.77759	0.00305	3.57408	0	0	0	1.73311	0.05784	0.01624
Healthy	1.31094	0	0.02721	0.06702	0	0	0	0	0	0.02566	0	6.65677	2.10561	0.22305	0	0.93011	0.06702	0	0.00192	0
Healthy	0.6627	0.75969	0	0	0.17493	0	0	0	0	0	0	0	2.07882	0.8228	7.56823	1.40695	0	0	0.00544	0
Healthy	0	0	0	0	0	0	0.01451	0	0	0	0	0	0.28926	0	4.365	0	0	0	0	0
Healthy	0	0	0	3.99329	0	0.13675	0	0	0	0	0	0	0.07304	0	0.31544	2.32708	3.99329	0	0	0
Healthy	0	0	0.01263	0	0	0	0	0	0	0	3.5177	0	0	0	0	0	0	0.20662	0.09861	0.13453
Healthy	0	0.64396	0	0	0.00145	0.00043	0	0	0	0.00056	0.00612	47.8764	0.0198	0	0.00027	0.5829	0	0	0.00483	0
D001943	0.00657	1.83262	0.01113	0.01859	0.05983	0.02812	0.00737	0.00343	0.0052	0.0021	0	0.12356	0	0	0	0.37335	0.01859	0	0.03829	0.00394
Healthy	0	0	0	0	0	0	0	0	0	0	8.84249	0	0	0	0	0	0	0	0	0
Healthy	0	0	0.47874	0	0	0	0	0	0	0	0	0	1.78585	0.84585	3.22835	0	0	0	0	0
Healthy	0	0	0.76334	0	0	0	0	0	0	0	7.87272	0	0	0	0.15667	1.39155	0	0.1372	0	0
Healthy	3.80036	0	0	0	0	0	0	0	0	0	0	0	0.31467	0.00641	0	0	0	0.13335	0	0
Healthy	0.67216	0	0	0	0	0	0	0.00619	0	0	0.57046	0	0	0	0	0	0	0.02931	0	0.04128
Healthy	0	0	0.13936	0	0	0	0	0	0	0	2.93303	0	0	0	0	0	0	0	0.19925	0
Healthy	0	0	0	0.44368	0	0	0	0	0	0	0	0	0	0	2.47967	0	0.44368	0	0	0
D001943	13.1534	12.5932	0.00225	1.0781	2.32233	0.11203	0.00607	0	0.01523	0	0	0.01584	1.36885	0	1.03643	4.25103	1.0781	0	0.00401	0
Healthy	0	0	0.03638	0	0	0	0	0	0	0	18.1179	0.04111	1.18546	0	0	0	0	0	0.01387	0
Healthy	0	0	0	0	0.05106	0.08785	0	0	0	0	0.43307	0	0	0	0	0.89591	0	0	0.01643	0
Healthy	0.66804	0	0	0.29582	5.1508	0	0	0.13328	0	0	0	0	0	0	0.68711	0	0.29582	0	0	0.08339
Healthy	0	0.43502	0	0	0	0	0	0	0	0	0	0.0395	0	0	0.16241	0	0	0	0	0
Healthy	0	0	0	0	0.06271	0	0	0	0	0	0	0	2.56195	0	5.81367	0.90225	0	0.02139	0	0
Healthy	0	0	0.31774	0	0	0	0	0	0.0116	0.00331	0	0.941	0	0	0	0	0	0	0	0
Healthy	0	0	0	3.96678	0.00582	0	0	0	0	0	0.38914	0.44126	1.77773	0.13943	1.39016	2.42495	3.96678	0	0.01291	0.03699
Healthy	5.46943	2.00354	0.0002	0.05708	2.28451	0.00844	0	0.00411	0.00095	0	0	0.10162	0	0	0	0	0.05708	0	0.00093	0
Healthy	0	0	1.33553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.35385	0	0
Healthy	0	0	0	0	0	0.02944	0	0	0	0	0	0	0.25473	0.6442	0	0.57779	0	0	0.06139	0.00753
Healthy	0	0	0	0	0	0	0	0	0	0	6.15186	0.28588	0.21505	0	0	1.04674	0	0	0.21907	0.06475
Healthy	7.23587	0	0	0	0	0	0	0	0	0	4.63986	0	0.08946	0	5.86799	1.0504	0	0.59573	0.05699	0.00483
Healthy	0	2.70599	0.02325	0	0.00706	0	0	0.02621	0	0	11.7787	0.75953	0.01312	0	0.53477	0.66718	0	0	0	0.00099
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05325
Healthy	10.6368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49721	0
Healthy	0	0	4.02007	0	0	0	0	0	0	0	0	0.1425	0.04977	0.07681	0	0.62961	0	0	0.16631	0
Healthy	2.11086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0.43229	0	0	0.00663	0.00468	0	0.00405	0	0	0	1.38311	2.5679	0.20334	0.65466	0.19016	0	0.24787	0.00753	0
Healthy	0	0	0.01303	0	0.1008	0	0	0	0.07808	0	0	0.84099	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0.01624	2.69365	0	0.44195	0	0	0	0	0	0.00825	0.01805
Healthy	2.45911	0	0.0124	0.87009	0	0	0	0	0	0	0	0.46038	1.60992	0.00982	0	1.78906	0.87009	0	0.03476	0
Healthy	4.14139	40.2142	0.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	11.9045	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	5.78395	0	0	0	0	0	0.04948	0.28685
Healthy	0	0	0.00027	0	0.00478	0	0	0	0.02126	0	0	0.00354	0	0	0	0	0	0.0613	0	0.06961
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	5.74939	0	0	0	0	0	0.05193	0.2817
Healthy	0	0.68716	0.00091	0	0.00704	0	0	0	0	0.00028	0	13.1233	0.34312	6.63006	0.45594	0.5822	0	0	0.00275	0
Healthy	0	0	7.51214	0	0.02296	0	0.00381	0	0.00146	0.01149	0	0	0	0	0	0	0	0	0	0.00727
Healthy	0	0	0.22978	0	0.14345	0.06245	0.01111	0	0	0.00866	4.32359	0.3426	0	0	0.16194	2.04269	0	0.16432	0.00079	0.00908
Healthy	0	0	0	0	0.00479	0	0	0	0	0	0	0	0.15425	2.12866	0	0	0	0	0	0
Healthy	0	0	0	0	0.11607	0	0	0	0	0	0	0	2.24381	0	6.07816	0.95151	0	0.04078	0	0
Healthy	8.54485	0	0	0	2.86011	0	0	0	0	0	4.56458	0	0	0	0	0	0	0.1704	1.29227	0
Healthy	2.70395	3.78585	0	0.01609	0.0034	0.01532	0.00159	0	0.00133	0	0	0	0.26744	0	0.98011	0.39881	0.01609	0	0.00051	0.00793
Healthy	0	0	0	0.0073	0	0	0	0	0	0	0	0	0.04111	0	0	0	0.0073	0	0.01355	0
Healthy	0	0	0.00469	0	0.00209	0	0	0	0.01294	0	0	0	0	0	0	0	0	0	0	0.00538
Healthy	0	0	0.14852	0.00534	0.10829	0.00082	0.01673	0	0	0	0	0	0.01753	0	0.06613	0.36223	0.00534	2.38556	0.0489	0.02405
Healthy	0.23648	0	0	0	0	0	0	0	0	0	0	0	0.98026	0	0.05389	0	0	0	0.0239	0
Healthy	1.11776	0	0	0	0.0664	0.03139	0	0	0	0	0	3.98175	13.6318	16.5498	0	0.98588	0	0	0.18857	0
Healthy	1.98869	0	0	0.11719	0	0	0	0	0	0	0	0.14205	0	0	0.09805	1.04702	0.11719	0	0	0
Healthy	0.82424	0	0	0	0	0	0	0	0	0	0	8.88798	15.5014	12.913	0	0	0	0	0.05562	0
Healthy	0	0	0.13252	0	0	0	0.02484	0	0	0	8.33533	0.09842	0	0	0	0	0	0	0.03336	0.46308
Healthy	0.57461	0	0	0	0	0	0	0	0	0	0	2.44118	0.15178	2.93408	0.15254	0	0	0	0	0
Healthy	3.97813	0	0	0.59952	0	0	0	0	0	0.01059	0	4.0569	3.05971	0.06662	0	0.66493	0.59952	0	0.00977	0.04147
Healthy	0	0	0.24877	0	0	0	0	0.00479	0	0.00406	10.8018	0	0	0	0	0	0	0.04789	0	0
Healthy	0	0	0	0	0	0.03023	0	0	0	0	0	0	0.28743	0.67741	0	0.59467	0	0	0.078	0.01531
Healthy	0	0	0.07634	0	0	0	0	0	0	0	0	1.19986	5.06695	6.56249	0	0	0	0.28246	0	0
Healthy	0	0	0	0	0	0.00883	0	0	0	0	7.30566	1.67348	0.82093	0.70794	0	0	0	0	0.67253	0
Healthy	0	0	0	0	2.01685	0.01955	0	0.0177	0	0	0	0	0	0	6.01891	0	0	0.04206	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	1.28556	0.46264	0	0	0	0.43816	0	0
Healthy	0	0	0	3.91385	0	0	0	0	0	0	8.53501	0	0	0	0	0	3.91385	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	15.8118	0	0	0	0.23883	0.72886	0	0.22885	0	0.12929
Healthy	0	0	0	1.71043	0	0.02396	0	0	0	0	0	0	0.74702	0	0.38192	0	1.71043	0	0.29334	0
Healthy	16.469	0	0.0168	0	0.06733	0	0	0	0	0	0.22093	0	0	0	0	0	0	0	0.04081	0
Healthy	5.07414	0	0	0	0	0	0	0	0	0	0.0543	0	0	0	0	0.76262	0	0	0.00276	0.10623
Healthy	0	0	0	0	1.22018	0	0	0	0	0	11.5065	0	0	0	0	0	0	0	0	0
Healthy	1.88406	3.95604	0.03491	0	0	0	0	0	0	0	0	0.14252	0.98187	0.51835	0.05082	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0.05452	0.30805	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0.01482	0	0	0	11.1781	0	1.67056	0	0.39442	0	0	0	0	0
Healthy	0	0	0	0	0	0	0.00504	0	0	0.01205	0	7.56035	0	0	0	0	0	0.00134	0	0
Healthy	0	0	0.21424	0	0.00635	0	0	0	0	0	0	1.36995	3.51376	0.12615	2.87166	0.39147	0	0	0.00833	0
Healthy	0	3.80491	0	0	0.16063	0	0	0	0	0	0.84584	47.8963	0.02917	0	0	0	0	0	0.02229	0
D001943	9.0452	0.00059	0.00218	0	0.05665	0	0	0	0.01455	0.00322	0.22	0	0	0	0	0.57297	0	0	0	0.00834
Healthy	0	0	0	0	0	0	0	0	0	0	2.77094	17.9669	0	0	1.70875	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0.59999	0	0	0.0038	0	0	0	0	0	0	0.62979	0.13648	0.02157	0	0.1843	0	0	0	0.00109
Healthy	0	12.5911	0	0	1.23409	0	0	0	0	0	1.35799	11.1958	0	0	0	0	0	0.15746	0.01583	0
Healthy	2.64715	0	0	0	0	0.09212	0	0	0	0	0	0.54253	1.11077	1.57007	0	2.3376	0	0	0.09379	0
Healthy	1.22698	0	0.04832	0.06333	0	0	0	0	0	0.03067	0	6.67321	1.98399	0.21171	0	0.95971	0.06333	0	0.11068	0.00818
Healthy	0.37637	0	0.00577	0	0.00501	0	0.0032	0	0.04005	0	1.87092	8.06181	0	1.50083	0.07881	0.43344	0	3.14559	0	0
Healthy	0	0	0	2.46843	0	0	0	0	0	0	0	0	0.38833	0	0	1.23634	2.46843	0	0.64158	0
Healthy	0	0	0	0	0	0	0	0	0	0.00445	2.73914	0	0.45532	0	0	0	0	0.00366	0.01048	0.00315
Healthy	0	0	0.03866	4.36078	0	0	0	0	0	0	0	0.29768	0.2908	0.07764	1.90566	1.52698	4.36078	0	0.00471	0.09169
Healthy	0	0	0	0	0.42356	0	0	0.01916	0	0	0	0.35533	2.65585	0.2292	0.27054	0.28046	0	0.04346	0	0.00079
Healthy	0.00554	42.0654	0.33341	0.02071	0	0	0.08773	0	0	0	0	0	0	0	0	0	0.02071	0	0.90934	0.30462
Healthy	0	0	1.88717	0	0.00077	0	0.01535	0	0	0	0	0	0	0	0	0.65144	0	0	0.04696	0.03479
Healthy	0	0	1.00641	0	0.07386	0	0	0	0.03347	0	0	0.00019	0	0	0	0	0	0.00817	0	0
Healthy	0	0	0	0	0	0	0.02532	0	0	0	0	0	0	0	0	0	0	0.04895	0.09116	0.5414
Healthy	0	0	0.00928	0.04274	0	0	0	0	0	0.00068	0	0	5.97707	0	0	0	0.04274	0	0.00596	0
Healthy	0	0	0.00897	0.61075	0	0	0.01844	0	0	0	0	0	0.09899	0	0	0.61088	0.61075	0	0.00366	0
Healthy	0	0	0	0	0.09923	0	0	0	0	0	0	0	3.23234	0	7.36099	1.10387	0	0.03064	0	0
Healthy	0.00416	0	0.00896	0	0.98407	0	0	0.00435	0	0.00442	4.52053	2.23828	0	0	0.0057	0	0	0	0	0
Healthy	5.67032	0	0.03177	3.42246	0	0	0	0	0	0	0.01798	0.73005	0	0	0.19026	0	3.42246	0	0	0
Healthy	0	0	0.56	0	0	0	0	0	0	0	6.16866	0	0	0	0	0.63421	0	0	0.15182	0
Healthy	0	6.79019	0	0	1.24569	0	0	0	0	0	2.69138	4.81716	0.0659	0	0	0	0	0	0.0698	0
Healthy	0	0	0	0	0	0	0	0	0.03609	0	0	0	0	0	0	0	0	0.00108	0	0
Healthy	0	0.91356	0	0	0	0	0	0	0	0	0	0	18.0574	0	0	0	0	0.6557	0	0
Healthy	0	0	0	0	2.27438	0.01775	0	0	0	0	0	0	0	0	5.92908	0	0	0.02878	0	0
D001943	11.017	1.3979	5.88671	0	0.01784	0	0.1147	0	0	0	0	0	0	0	0	0	0	0	0.34473	1.10294
Healthy	11.4943	0.00735	1.25299	0	0.00877	0.00367	0.00904	0	0	0	0	0	0.00183	0	0	0	0	0	0.21131	0.0432
Healthy	0	0	0	0	2.21617	0.04946	0	0	0	0	0	0	0	0	5.85099	0	0	0.30459	0	0
Healthy	0	0	0.0259	0	0.00466	0	0	0	0	0	0	0.06926	0	0	1.58886	0.67883	0	0	0.00459	0.01666
Healthy	0.9679	11.1688	0	0.06846	0.09241	0	0.02638	0	0	0	0	1.26909	0.00489	0	2.32149	2.12838	0.06846	0.03773	0	0.01351
Healthy	0	0	1.00336	1.31083	0	0	0.0021	0.01585	0.00165	0.04528	0.81546	0.00793	0	0	0	0.33728	1.31083	0.55377	0.04896	0.02141
Healthy	0	0	0	0	0	0	0	0	0	0	0	24.3078	0	1.15334	0	0	0	0	0	0
Healthy	0	1.22649	0.00712	0	0.00039	0.02394	0	0	0	0	0	1.83993	3.85769	1.8625	0	0.50203	0	0.00293	0.01166	0.00147
Healthy	0	0	0.53809	0	0	0	0	0	0	0	6.06636	0	0	0	0	0.63033	0	0	0.11865	0
Healthy	0	0	0	0.00139	0.11108	0	0	0	0	0	6.92202	0.50092	5.81718	0.25813	0	0	0.00139	0	0.00495	0
Healthy	0	0	0	0	0	0	0.06779	0	0	0	0	0	0.00935	0	0	0	0	0	0	0.02859
Healthy	2.16066	0	0	0	0	0.24326	0	0	0	0	0	0	0	0	0.05153	1.58678	0	0.05147	0	0
Healthy	1.14841	0.54139	0.02325	0	0	0	0.02261	0	0	0	0	0.72977	0	0	0.60007	0.43845	0	0.00195	0.01259	0.01699
Healthy	1.39538	0	0	0.4976	0	0	0	0	0	0	0	0.10555	0.01959	2.28766	0	0	0.4976	0	0	0
