group	Phocaeicola_sp900554435	Phocaeicola_plebeius_B	Ruminococcus_B_gnavus	Bacteroides_intestinalis_A	Haemophilus_D_sp001815355	Bacteroides_nordii	Enterocloster_citroniae	Streptococcus_sp004166885	Streptococcus_pseudopneumoniae_O	Eggerthella_lenta	Dialister_invisus	Bifidobacterium_adolescentis	Ruminiclostridium_E_siraeum	Methanobrevibacter_A_smithii_A	Sutterella_wadsworthensis_A	Odoribacter_splanchnicus	Bacteroides_intestinalis_A	Streptococcus_thermophilus	Parasutterella_excrementihominis	Flavonifractor_sp000508885
Healthy	0	0	0.32613	0	0.01242	0	0	0	0	0	0	0.48572	3.74826	0.05808	1.40816	0.48243	0	0	0.0093	0
Healthy	2.39418	0	0	0	0	0	0	0	0	0	0	0	0.02218	0	0	0	0	0	0	0
Healthy	0	11.1923	0	0	0	0	0	0	0	0	3.32019	0	12.3701	0	0	1.27209	0	0	0.02467	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	5.69109	0	0	0	0	0	0.05902	0.2948
Healthy	0	0.02122	0.11064	0.00297	0.34385	0.00049	0.0022	0.06179	0	0	0	4.4634	0.18797	0.78317	0.12934	0.86467	0.00297	0.06744	0	0
Healthy	0	0	0.00171	0	0.00722	0	0	0	0	0	0	0.08588	0.74551	0.1082	0.00287	3.04967	0	0	0.05891	0
Healthy	0	1.33698	0	0	0.96288	0	0	0	0	0	3.12425	2.43968	3.33595	0	0	0	0	0	0.12175	0
Healthy	0	0	0	0	0.22506	0	0	0	0	0	0	0	0.29128	0.09203	0	0	0	0	0	0
Healthy	0.52606	0	0	1.53603	0	0	0	0	0	0	0	0	0	0.54221	0	0	1.53603	0.18933	0.04911	0.10562
Healthy	3.7903	0	0	0	0	0	0	0	0	0	3.47983	0	0.01523	0	0	0.22406	0	0.22195	0	0
Healthy	0	0	7.75625	0	0	0	0	0	0.04021	0.04783	0	0	0	0	0	0	0	0	0	1.79372
D001943	0.00274	3.77794	0.58342	0	0.08667	0	0	0	0	0.03116	0.00421	0	0	0	0	0.09904	0	0	0.05099	0.00319
Healthy	0	5.98611	0	0	0.00379	0.02371	0	0	0	0	0.99085	9.58195	0.48711	0	0	0.9083	0	0	0.0283	0
Healthy	0.00472	0.00599	0.00091	0.02554	0.01104	0	0.035	0	0	0	0	0	0	0.00083	3.8931	0	0.02554	0	0.00015	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0.03379	0	0	0	0	0	0.32161	0
Healthy	1.51624	7.23257	0	0.21272	0.06532	0	0	0	0	0	0	0	0	0	0	0.93324	0.21272	0	0.15155	0
Healthy	10.622	0	0	0	0	0	0.00822	0	0	0	0	0	0	0	0	0	0	0	0.50884	0.02253
Healthy	3.7759	0.31997	0	0	0	0	0	0	0	0	0	0	0	7.54448	0	0	0	0	0	0
Healthy	0	0	0	1.75159	0	0	0	0	0	0	0	0	0.1003	0	0	0.3977	1.75159	0	0.01507	0.0181
Healthy	0	0	0.01067	0	0	0	0	0.14341	0	0	3.15007	0	0	0	0	0	0	0	0	0.00323
