group	Lachnospiraceae	Ruminococcaceae	Acutalibacteraceae	Bifidobacteriaceae	Akkermansiaceae	Methanobacteriaceae	Coriobacteriaceae	Streptococcaceae	Peptostreptococcaceae	Erysipelatoclostridiaceae	Bacteroidaceae	Lachnospiraceae	Enterobacteriaceae	Burkholderiaceae	Methanobacteriaceae	Streptococcaceae	Marinifilaceae	Acidaminococcaceae	Erysipelotrichaceae	Lactobacillaceae
Healthy	16.00939	6.22563	0	0.20527	0	0	1.3964	0.1302	0	0	42.92261	16.00939	0	4.30761	0	0.1302	0	0	0	0
Healthy	20.64762	0.00068	0	25.053	0	0	5.7193	0.00104	0	0	24.58404	20.64762	0.91721	0	0	0.00104	0	0.02949	0	0.29223
Healthy	6.7014	6.6407	0.70541	0.50195	0	0.18758	0.19788	0.01765	0	0	32.3303	6.7014	0.05728	1.45864	0.18758	0.01765	2.31782	0	0	0
Healthy	21.81106	3.9338	0.14072	0.25829	0.62975	0.07048	0.08046	0.56085	0	0	35.65422	21.81106	0.09665	2.12136	0.07048	0.56085	0.98932	2.04301	0.02074	0
Healthy	19.16726	11.17958	0.6487	0.46911	0.03917	0	0.33622	1.04933	0.02658	0	34.30152	19.16726	0.10061	0.14328	0	1.04933	0.84408	0	0.06243	0
D015179	31.7468	18.81585	0.84359	4.19784	1.10526	0	0.57888	0	0	0	20.39625	31.7468	0	0	0	0	0	0	0	0
D015179	34.35517	1.86819	0.39689	0.04754	0	0	0.46717	0.01416	0	0	16.75884	34.35517	0.0606	1.21836	0	0.01416	0.43885	0	3.71514	0
D015179	14.46749	20.95814	0	1.24687	0	0	6.56726	0	0	4.89836	23.43617	14.46749	0.74848	0	0	0	0	6.66716	0	0
Healthy	9.33161	4.02687	3.93134	5.86576	1.1655	0	0.91269	0.01657	0	0	28.09092	9.33161	0.00903	0.02565	0	0.01657	0.45607	0	0.79186	0
Healthy	13.53386	4.47674	4.96347	5.61783	0.07252	0.52921	1.43581	0.08838	0.01345	0	39.23273	13.53386	0.0092	0	0.52921	0.08838	3.30544	0.00079	0.00364	0
Healthy	2.91449	2.12034	0.9933	0.65786	0	0	0.14288	0	0	0	55.7372	2.91449	0.07286	0.29286	0	0	1.03995	0	0.163	0
Healthy	0.18846	0.00368	0.00014	53.32809	0	0	0.12	1.2222	0	0	9.03133	0.18846	16.2661	10.9103	0	1.2222	0	0.01689	0	0
Healthy	13.06821	10.01197	1.82773	0.99682	4.64535	2.8803	0	0.18972	0	0.22036	26.41612	13.06821	0	0	2.8803	0.18972	2.06509	0	0.79534	0
Healthy	1.11149	0.90434	0.35951	0	0	0	0.15444	0.23259	0	0	85.81859	1.11149	0.37736	0.0857	0	0.23259	0	0	0.01149	0
