group	Lachnospiraceae	Ruminococcaceae	Acutalibacteraceae	Bifidobacteriaceae	Akkermansiaceae	Methanobacteriaceae	Coriobacteriaceae	Streptococcaceae	Peptostreptococcaceae	Erysipelatoclostridiaceae	Bacteroidaceae	Lachnospiraceae	Enterobacteriaceae	Burkholderiaceae	Methanobacteriaceae	Streptococcaceae	Marinifilaceae	Acidaminococcaceae	Erysipelotrichaceae	Lactobacillaceae
Healthy	24.39424	7.73634	0.01391	2.00644	0	0.34226	3.48361	7.77814	0	0.04047	31.7518	24.39424	0	0.07105	0.34226	7.77814	0.00951	3.3537	0.57609	0.56568
Healthy	9.03548	3.32621	1.99659	48.07914	0	0	0.09404	0.10993	0.03863	0	24.28713	9.03548	0	0.01572	0	0.10993	0	0	0.48128	0
Healthy	0.938	4.00845	1.11702	0.10828	0	0.0287	0.12827	0	0	0.49665	54.49637	0.938	0.0346	0.04389	0.0287	0	1.34931	0	0	0
Healthy	47.81394	2.91285	0	0.18308	0.03824	0.15533	0.05531	0.24376	0	0	21.61132	47.81394	0.02571	0.40048	0.15533	0.24376	0.46549	0	0.00459	0.13054
Healthy	3.50565	4.91669	0.23836	0.22975	0.13672	0	0.16911	0.13702	0.01833	0.00758	61.30226	3.50565	5.63015	0.01289	0	0.13702	0	0	0.03286	0.00887
Healthy	3.27068	0	0.0007	14.25748	0	0	0	0.03661	0.14947	0	42.11254	3.27068	12.1613	0	0	0.03661	0	0	0	0.43548
Healthy	20.51761	1.52358	0.1203	4.40498	0	0	0	0.01141	0.07101	0	38.57612	20.51761	0.10287	0.27995	0	0.01141	0	0	0.12586	0
Healthy	32.39544	4.25257	0.14743	1.46133	3.57716	0	0.43248	0.13877	1.22097	0	18.29087	32.39544	13.76312	0	0	0.13877	1.19907	2.64687	1.28783	0.0143
Healthy	0.98278	0	0	0	0.03461	0	0	0.07273	0.01142	0	95.28645	0.98278	0.0347	0	0	0.07273	0	0	0	0
D015179	5.90946	0.26229	0.43934	0.70557	14.1894	0	0	3.68804	0	0.40378	40.39063	5.90946	8.41255	0.3904	0	3.68804	0	0	0.01209	0
D015179	24.94023	2.9396	0.16243	0.00587	0.03276	0.1123	1.18675	0.41998	0.38952	0.01391	17.79955	24.94023	21.1175	0.30351	0.1123	0.41998	0.21322	3.94631	2.42334	0
Healthy	21.77925	10.35195	9.04155	4.06849	0.05854	3.24923	1.03398	0.39659	0.25031	0	22.57359	21.77925	0.02417	0.01224	3.24923	0.39659	0.86651	0	0.05169	0.00723
Healthy	50.37572	0.03068	0	0	0	0	0	0	0	10.2963	15.82371	50.37572	0	0	0	0	0	0	3.43778	0
D015179	22.59626	6.99143	0.14548	0	0	0	0	2.62926	0	0.00244	17.3621	22.59626	23.3031	0.0561	0	2.62926	0.96018	0	0.11787	0.30695
Healthy	32.93799	6.78867	4.78951	0.16406	0.50632	1.09162	0	0.19675	0	0	8.41078	32.93799	0	0.28424	1.09162	0.19675	0	0	0	0
D015179	48.1869	4.27857	0	1.01061	1.11793	0	0	0.05385	0	0	29.40471	48.1869	0	0.08153	0	0.05385	0	0	0	0
Healthy	14.62348	1.3918	0	0.94995	0	0	0.26089	0	0	0	51.79581	14.62348	0	0.18366	0	0	0	0	0.08664	0
Healthy	2.23369	0.104	0	0.21765	0	0	0	0	0	0	65.94764	2.23369	1.0543	0	0	0	0	0	0	0
Healthy	12.17318	17.19391	3.32524	0	2.41684	0.29309	0	0.03096	0	0	25.29279	12.17318	0.14729	8.5763	0.29309	0.03096	1.2869	0.95102	0	0
Healthy	1.85708	0.01409	0	0.02337	0	0	0.17924	0.15629	0	0	42.61058	1.85708	10.5734	0.19095	0	0.15629	1.3908	0	0	0
Healthy	2.22832	7.35556	0.33305	0	0.56418	0	0.10634	0.02519	0	0	42.90805	2.22832	0	0.0053	0	0.02519	0.87605	0	0	0
Healthy	22.07464	10.292	5.47466	18.22947	0.86309	1.42082	0.77813	0.3327	0.16005	0	15.62696	22.07464	1.41392	1.30819	1.42082	0.3327	0.35237	0	0	0
Healthy	8.98104	1.56594	0	0	0.50523	0	0	0	0	0	67.86743	8.98104	0	0.02651	0	0	0	0	0	0
Healthy	36.07128	6.88372	1.70691	0.33843	0.233	0	0.17756	0.07577	0.10197	0.30301	25.44472	36.07128	0.00721	0.15659	0	0.07577	0.34973	0	1.2089	0.22967
Healthy	5.81854	3.51415	1.04272	4.12361	0.11769	0.07672	0	0.00741	0	0	46.19722	5.81854	0.22338	0.24449	0.07672	0.00741	0.80511	0	0	0
Healthy	12.20105	2.56887	3.00369	0	0	0	0.01147	0	0	0	29.89841	12.20105	3.82164	0.25188	0	0	1.40943	0	0	0
Healthy	0.9112	1.55966	0	0.07738	0	0	0	0	0	0	62.88383	0.9112	0	0.28664	0	0	0	0	0	0
Healthy	12.85301	12.0554	5.07334	3.46794	0	0	0	0	0	0	44.37228	12.85301	0	0	0	0	0	0	0	0
D015179	14.71187	22.09161	0	1.31375	0	0	6.33712	0	0	4.44285	23.0813	14.71187	0.32983	0	0	0	0	5.67621	0	0
D015179	10.55466	10.61311	8.75791	19.32234	1.47982	3.60528	0	0	0	0	17.92894	10.55466	0	0	3.60528	0	0	0	0	0
Healthy	17.77409	2.12718	0	0.24054	1.01338	0	0	0.39949	1.0244	0	53.725	17.77409	0.84241	0.19093	0	0.39949	0	0	0	0
Healthy	33.24214	6.03555	12.35551	15.32938	0	0	0.47409	0.74047	0	0	8.72665	33.24214	0.34081	0.21492	0	0.74047	0.96046	0	0.00693	0
Healthy	12.4927	5.3112	0.03212	2.21114	2.56749	3.11355	0.92443	0	0	0	14.98987	12.4927	0	0	3.11355	0	0	0	0.06085	0
Healthy	14.73325	2.44812	0.03188	0	3.88042	0	0.14535	0.25203	0.08537	0	47.50963	14.73325	0.20416	0.51676	0	0.25203	1.79225	0	0.00229	0
Healthy	18.37778	10.46141	2.26868	0.01624	1.30576	0.25684	0	0.04235	0	0	42.64527	18.37778	0	5.40107	0.25684	0.04235	0.77665	0.97972	0.01657	0
Healthy	24.06397	7.83571	4.70614	3.00532	1.85173	4.80982	0.01127	3.55849	0	0	14.91599	24.06397	1.39039	0.01928	4.80982	3.55849	0.55834	0	0.00445	0.02532
Healthy	13.02272	11.35217	1.64584	0	0.01715	0	0	0.03194	0	0	44.11225	13.02272	0.07149	0.56795	0	0.03194	0.60259	0	0.01523	0
Healthy	2.05964	7.49774	0.61447	0	0	0	0.01945	0	0	0	72.38097	2.05964	0	4.77802	0	0	0.97485	0	0	0
Healthy	4.06705	0	0	23.62469	0	0	3.23694	0.42491	0	0.44122	62.34616	4.06705	0	1.80509	0	0.42491	0	0	0	0
D015179	31.97003	0	0	0	0	0	0	0	0	0.71617	32.58407	31.97003	0	0	0	0	0	0	0	0
Healthy	31.72952	1.50977	3.13379	1.50522	0.03737	0	0.20942	0.38136	0	0	30.71876	31.72952	0.09255	0.07473	0	0.38136	1.29834	0	1.8409	0
Healthy	2.51772	0	0	0.53022	2.26273	0	0	0.01657	0.22672	0.07694	72.94901	2.51772	1.06402	0	0	0.01657	0	0	0.11347	0
Healthy	1.70965	4.12672	0.2669	0.34388	0	0	0.22134	0	0	0	73.98871	1.70965	0.2582	0.02751	0	0	0	0	0.07751	0
Healthy	0.89442	1.57194	0	0.09572	0	0	0	0	0	0	63.22862	0.89442	0	0.22611	0	0	0.56324	0	0	0
D015179	40.26395	6.7263	17.07108	0.05081	1.14412	2.43674	0.0981	2.42222	0	0	14.22983	40.26395	0	0	2.43674	2.42222	0	0	0.07683	0.00214
Healthy	18.1056	1.71125	0.25402	1.74431	40.4449	0	0	0.67514	0	0.07607	7.22342	18.1056	0	0.00119	0	0.67514	0	0	0.37592	0
Healthy	20.9383	8.5783	9.0339	9.74598	0	0	1.46701	0.67265	0.60795	0	21.6734	20.9383	0.02079	0.02591	0	0.67265	1.25461	0	0.01447	0.01456
Healthy	1.93883	2.18868	2.03267	1.86957	4.46162	0.1863	0.10855	0	0	0	33.40241	1.93883	0.1795	0.25595	0.1863	0	0	0	0	0
Healthy	15.08547	3.29182	1.52606	2.06218	2.61066	1.78079	0.50292	0	0	0	20.28215	15.08547	0	1.03976	1.78079	0	1.95461	0.016	0	0.19439
Healthy	6.21972	5.41129	0	0.0083	0	0	0.17006	0.00277	0	0	63.47867	6.21972	0	8.38667	0	0.00277	1.43471	0	0	0
Healthy	20.8684	1.35056	0.83637	0	0	0	0	1.36568	0.00535	0	52.97162	20.8684	0	0.0185	0	1.36568	0.79106	0	0	0
Healthy	1.17715	0.86667	0.3835	0	0	0	0.1649	0.24276	0	0	85.30815	1.17715	0.56422	0.12662	0	0.24276	0	0	0.0253	0
Healthy	12.18986	1.4008	0	0	0	0	0	0	0	0	29.82243	12.18986	0	0	0	0	0	0	0.54065	0
Healthy	18.03954	44.09521	0.70656	1.91629	0.08205	0.40579	0.17727	0.00898	0	0	20.05817	18.03954	3.51301	0	0.40579	0.00898	0.58385	0	0.07104	0
Healthy	6.43528	8.69257	4.0691	0	0	0	0	0.04398	0.01534	0	53.66368	6.43528	0.17452	0.25117	0	0.04398	0.19864	0	0.03106	0
Healthy	1.54812	3.87433	2.01679	0.02387	43.1425	0	1.35556	0.00359	0	0	9.12924	1.54812	9.43602	0.25347	0	0.00359	0	0	0.14455	0
D015179	4.65372	5.90941	0.02036	0.00324	0.08595	1.03371	0.3615	0.13868	1.58835	0.00091	23.53487	4.65372	0.14228	0.05252	1.03371	0.13868	3.7045	0	0.95148	0
Healthy	6.16934	2.15067	0.2823	0.08418	0	0	0.04026	0.27051	0	0	51.21659	6.16934	0.10073	0.20873	0	0.27051	0.69796	0	0.12244	0
D015179	12.24198	9.12407	7.70907	4.16742	0	0	0.2394	2.86691	0.27931	1.5585	28.65244	12.24198	0.03409	0	0	2.86691	0.8924	0	1.52241	0.51292
Healthy	8.69614	0.78632	10.67039	0.2451	0.09713	3.40764	0	0.01094	0.00348	0	27.07739	8.69614	0.05697	0.05543	3.40764	0.01094	0.77176	0	0.05141	0
Healthy	3.99133	0.98552	0.01733	0.49377	0	0	0.80836	0.24763	0	0	23.40921	3.99133	0	0.30648	0	0.24763	0.66405	0	0	0
Healthy	23.60327	3.63931	0.21756	0	0	0	0.06791	0	0	0	31.98023	23.60327	0	3.10465	0	0	0.76866	0	0.06926	0
Healthy	4.77259	1.97139	0.51248	0.45038	0	0	0	0	0	0	56.71575	4.77259	0	0.19376	0	0	0.55264	0	0.28527	0
Healthy	19.09712	5.53	27.60987	5.73589	0	0	0.31059	0.87401	0.14061	0	19.78782	19.09712	0.34845	0.21194	0	0.87401	0.49019	0	0.00711	0.03047
D015179	14.82323	1.28422	0.42062	3.21308	0.00457	0.17261	0.44084	0.92362	0.31463	0.15288	36.93714	14.82323	0	0.00287	0.17261	0.92362	1.07081	0.01261	2.47287	0
Healthy	25.78643	12.78677	15.1238	4.04048	1.91184	0.93713	0	0.42319	0	0	13.3078	25.78643	0.38983	0	0.93713	0.42319	0	0	0	0
Healthy	42.80357	2.2177	0.15927	0.1119	1.18777	0	0	2.59765	0.63379	0	20.08164	42.80357	0	0.24439	0	2.59765	0	0	0.68724	0
Healthy	6.7886	0	0	0	0	0	0	57.00659	0	0	0	6.7886	5.00744	0.38073	0	57.00659	0	0	0.10316	0
Healthy	13.74035	9.01843	4.98088	1.10153	0.41479	0	0.09724	0.00895	0	0	25.0597	13.74035	0.09209	1.96708	0	0.00895	0	0	0.02873	1.45064
Healthy	0.45006	0.62714	0.11039	2.07903	0.14167	0	0.63296	0	0	0	3.40513	0.45006	0	0.28988	0	0	0	0	0	0
Healthy	3.90423	0.18011	0	39.58076	1.51175	0	0	0.08668	0	0.14809	24.28173	3.90423	10.8525	0	0	0.08668	0.00126	0	0.01225	12.55957
Healthy	12.90259	1.48809	0.90233	0.04286	0.11617	0.05074	0	0	0	0	46.74125	12.90259	0	0	0.05074	0	0	0	0	0
D015179	10.38937	13.9494	5.46009	5.78235	0	0	0.05686	0.85921	0	0.65235	26.45288	10.38937	0	0	0	0.85921	0	0	0.64805	0.16358
D015179	22.71891	18.15251	5.87574	7.5762	0	0	1.08475	0	0	0	9.05735	22.71891	0	0	0	0	0	0	0	0
Healthy	1.97085	4.07253	2.13942	0.02025	0	0	0	0.02338	0	0	34.70558	1.97085	0.28345	0.00302	0	0.02338	1.93279	0	0	0
D015179	18.74427	0.22872	0.62012	0.14881	4.90792	0.65316	0.74219	1.83423	1.67566	0	5.3479	18.74427	0.47995	0.00222	0.65316	1.83423	0.2313	0.76563	3.73593	0.12659
Healthy	2.31882	0.0859	0	0.18095	0	0	0	0	0	0	67.35244	2.31882	0.93913	0	0	0	0	0	0	0
Healthy	13.71353	37.09145	1.89277	1.17339	0	0	0.90307	0.36902	0	0.84664	32.89581	13.71353	0	0	0	0.36902	0	2.67546	0.40801	0
Healthy	10.00012	10.44335	23.72375	1.0068	0	0	1.13015	0	0.04348	0	7.72546	10.00012	0.10058	2.71049	0	0	0.82352	0.10486	0.12179	0.03183
Healthy	17.67223	5.84638	3.48628	0.14878	0.0389	0.17209	0.15849	0.14879	0.00543	0	42.04291	17.67223	0.10785	1.06174	0.17209	0.14879	1.96096	0	1.47063	0
Healthy	1.8176	1.56935	0.14833	0.22416	0	0	0	0	0	0	53.62805	1.8176	0.03781	0.0969	0	0	0.62078	0	0.01121	0
Healthy	3.26318	1.96752	0	0.49686	0	0	0.31588	0	0	0	48.8159	3.26318	0.03555	5.85273	0	0	0.78566	0	0.06575	0
Healthy	2.95361	3.23501	0	0.11531	9.99134	0	0.27714	0.05019	0	0	54.17165	2.95361	0	0.11982	0	0.05019	1.08319	0.84321	0.02037	0
D015179	23.49481	2.85543	0	8.44399	0	0	1.92053	0.83994	5.92667	0.15755	17.02221	23.49481	0.79188	0	0	0.83994	0	1.7093	2.69194	0
D015179	3.09138	1.63337	0	0	0	0	0	0.17445	0	0	24.14834	3.09138	0.32075	0	0	0.17445	0	2.65363	0	0
D015179	5.18476	16.16796	2.35473	9.94983	1.21919	0.01321	0	0	0	0	21.19798	5.18476	0	2.46193	0.01321	0	0	0	0	0
Healthy	3.05927	2.19737	1.03459	0.61349	0	0	0.18597	0	0	0	55.58761	3.05927	0.08308	0.2951	0	0	1.02826	0	0.16522	0
Healthy	0	1.1805	0	1.15502	0	0	0	0	0	0	4.66364	0	0	0.5874	0	0	0	0	0	0
Healthy	12.37945	3.53649	15.63649	2.07337	0	0	0	0	0	0	56.28455	12.37945	0	1.13979	0	0	0	0	0	0
Healthy	18.30397	4.56837	0.69888	0	0.22429	0	0.32517	0	0	0	62.74855	18.30397	0	0	0	0	0	0	0.12755	0
Healthy	2.46892	9.20785	0	0	0	0	0	0.06202	0	0	60.4722	2.46892	0	5.96924	0	0.06202	0.9248	0	0.01001	0
Healthy	3.89074	17.92936	1.60503	0.07066	1.69115	0.12202	0.1548	0	0	0	16.46776	3.89074	0	0.00451	0.12202	0	2.02803	0	0.15693	0
Healthy	13.40527	8.75272	7.48087	0	0	0	0	0	0.49098	0	36.44417	13.40527	0.25322	0.01915	0	0	0	0	0.12673	0
Healthy	13.80593	3.66332	0	0.45712	0	0	0	0.24437	0	0	53.81751	13.80593	0	1.25218	0	0.24437	0	0	0	0
Healthy	5.02553	4.89413	0	0.27021	0	0	0	0.54739	0	0	56.59231	5.02553	0	6.28482	0	0.54739	1.13476	0	0	0
D015179	13.18328	4.58265	3.02551	3.79087	0	1.30072	0.94113	0.10883	0	0.06136	7.5589	13.18328	0	0.07955	1.30072	0.10883	0	0	0.01181	0
Healthy	6.83603	6.31238	0.67642	0.56315	0	0.17603	0.20199	0	0	0	32.12701	6.83603	0.04166	1.43913	0.17603	0	2.38534	0	0.00655	0
Healthy	19.41379	10.37141	0.48719	0.57848	0.42396	0	0.10281	0.29031	0.00671	0	38.41581	19.41379	0.01547	2.33347	0	0.29031	0.91986	0	0.1595	0.03608
Healthy	0.6621	5.17678	0.12574	0.09737	0	0	0.03933	0.04505	0	0	52.69573	0.6621	0.13373	0.07268	0	0.04505	1.18209	0	0.0085	0
Healthy	5.96001	6.73902	27.2185	0.4049	0	0	0	0	0	0	44.4483	5.96001	0	0	0	0	0	0	0	0
Healthy	38.08445	1.62815	1.76906	5.23023	0	3.57408	0.0063	5.10023	0	0	0.50446	38.08445	1.12951	0.05784	3.57408	5.10023	0	0	0.09296	0
Healthy	5.82406	4.49584	1.42252	12.38999	0	0.22305	1.44061	0.25867	0	0	33.8336	5.82406	0.1259	0.00192	0.22305	0.25867	0.93011	0	0.0072	0
Healthy	8.48828	13.96709	1.45072	0	7.23853	0.8228	0	0	0	0	19.94803	8.48828	0.10402	7.66039	0.8228	0	1.40695	1.06722	0	0
Healthy	20.08565	6.91997	0	0.02785	0.02477	0	1.64775	0.02708	0	0	21.58085	20.08565	0.27525	4.3845	0	0.02708	0	0	0	0
Healthy	1.09557	0.85778	0.37713	0	0	0	0.15036	0.20662	0	0	85.50857	1.09557	0.46436	0.09861	0	0.20662	0	0	0.02872	0
Healthy	16.26257	14.70855	3.98695	0.24061	0	0.84585	0	0	0	0	37.30406	16.26257	1.01986	3.22835	0.84585	0	0	1.11814	0	0
Healthy	1.26989	3.51368	5.32964	1.32013	0.46736	0	1.24522	0.32948	0	0	10.58707	1.26989	0.23195	0	0	0.32948	0	0.02749	0.76365	0
Healthy	0.96733	1.56837	0	0.06782	0	0	0	0	0	0	64.33271	0.96733	0	0.19925	0	0	0	0	0.0036	0
Healthy	11.60167	13.17879	6.00457	0.89351	17.6434	0	0	0	0	0	15.54858	11.60167	0	2.47967	0	0	0	0	0	0
Healthy	1.24653	20.50122	0.05425	0.51722	1.2884	0	0.02613	0	0	0	46.80928	1.24653	0	0.01387	0	0	0	0	0	0
Healthy	2.52386	7.6719	0.32581	0	0.59026	0	0.1009	0.03531	0	0	40.28303	2.52386	0	0.01643	0	0.03531	0.94033	0	0	0
Healthy	26.69284	2.4178	0.09513	0.0395	0.0151	0	0.00701	0.01289	0	0	57.64998	26.69284	0	0.16241	0	0.01289	0	0	0	0
Healthy	2.38717	9.06645	0	0	0	0	0	0.02139	0	0	60.80906	2.38717	0	5.81367	0	0.02139	0.90225	0	0.016	0
D015179	31.78557	0	0	0	0	0	0	0	0	0.4373	33.283	31.78557	0	0	0	0	0	0	0	0
Healthy	31.38378	5.36158	1.69515	0.21055	0.00834	0	0.07164	0.34933	0.54573	0	49.0367	31.38378	0.01905	0.00093	0	0.34933	0.0005	0	0.10034	0
Healthy	23.90019	5.96816	18.1915	0.98161	0.99655	0	0	1.78662	0	0	17.20254	23.90019	8.72317	0	0	1.78662	0	0.09042	0	0
D015179	8.66884	2.2807	4.52809	0.19837	0.99042	9.78719	0.5771	3.78533	0	0.95536	14.58451	8.66884	0.15357	0	9.78719	3.78533	0.49868	0.0085	5.2742	0.22979
D015179	24.33281	3.47636	0.25998	0	0	0	0.73255	0	0	0	15.18346	24.33281	0	1.75947	0	0	0	0	2.17059	0
Healthy	2.881	2.14467	1.00555	0.69914	0	0	0.1867	0	0	0	55.67793	2.881	0.04332	0.21907	0	0	1.04674	0	0.12342	0
Healthy	19.8932	1.5954	4.68048	0.8075	0.32103	0	0.12107	0.15456	0	0	27.82178	19.8932	0	0.53477	0	0.15456	0.66718	0	0.01949	0
Healthy	0.82138	1.46801	0	0	0.68517	0	0	0	0	0	92.47288	0.82138	4.29812	0	0	0	0	0	0	0
Healthy	1.71925	1.00764	0	0.11591	1.70794	0	0	0	0	0	83.80784	1.71925	0.15006	0.49721	0	0	0	0	0	0
Healthy	28.14506	5.67625	1.84755	0	0	0	0	0	0	0	36.79276	28.14506	0	0	0	0	0	0	0	0
Healthy	22.14063	8.5098	2.39867	1.79538	0	0.20334	0.43092	0.30198	0.02758	0.23969	7.19654	22.14063	36.5553	0.66219	0.20334	0.30198	0.19016	1.7144	5.01324	0.01787
Healthy	0.01647	0.00169	0	31.95102	0	0	0	0.63046	0.05599	0	0.04432	0.01647	13.1569	0	0	0.63046	0	0	0.01069	0.00766
D015179	21.06759	10.80274	3.32257	0.0174	0	0.01089	0.63919	0.00559	0	0	30.09436	21.06759	0.24799	2.50245	0.01089	0.00559	1.16507	0	0.84024	0.01092
Healthy	8.84856	5.62916	0.62071	1.60596	0.59489	0.00982	0.39282	0	0	0	45.6854	8.84856	0.11372	0.03476	0.00982	0	1.78906	0	0	0
Healthy	14.6789	7.97302	7.57536	0.54728	0	0	0.94186	0	0	0	50.72693	14.6789	0	0	0	0	0	0	0	0
Healthy	6.36876	9.45053	0.75043	0	6.08148	0	0	0	0	0	39.4583	6.36876	0.06304	0.12691	0	0	0	0	0.03752	0
Healthy	6.2586	10.26021	0.72345	0	5.92109	0	0	0	0	0	39.57763	6.2586	0.013	0.12129	0	0	0	0	0.02019	0
Healthy	7.86496	0.0691	0	14.9663	0	0	0	0.008	0	0	40.12219	7.86496	24.2319	0.06597	0	0.008	0	0	0.0825	0.02715
Healthy	8.12596	10.46787	1.22649	1.36108	0.68447	0	2.01207	0.61983	0.0633	0	8.0819	8.12596	19.1221	0.16273	0	0.61983	2.04269	0	0.07222	0.02768
Healthy	2.70631	8.75788	0	0	0	0	0	0.04078	0	0	60.8719	2.70631	0	6.07816	0	0.04078	0.95151	0	0.01586	0
Healthy	13.34422	3.5055	0	0.43899	0	0	0	0.18376	0	0	53.8852	13.34422	0	1.29227	0	0.18376	0	0	0	0
Healthy	3.07151	3.44359	0	0.14205	10.3394	0	0.27018	0.07353	0	0	52.87809	3.07151	0	0.09805	0	0.07353	1.04702	0.95756	0.04876	0
Healthy	1.90125	4.32336	0.23818	0.35222	0	0	0.22329	0.00989	0	0	73.71083	1.90125	0.19561	0.03336	0	0.00989	0	0	0.09266	0
Healthy	26.77934	4.3746	2.4324	3.82903	1.85405	2.93408	0.42568	0.11352	0.53728	0	13.99838	26.77934	0	0.33708	2.93408	0.11352	0	0.06019	0	0.16398
Healthy	11.17312	7.52308	1.28341	2.64798	54.5298	0	0	0.05338	0	0.02445	5.09708	11.17312	0	0	0	0.05338	0	0	0.39518	0
Healthy	29.99535	10.18136	6.98791	1.96222	0	0.46264	0	0.43816	0	0	18.32667	29.99535	0	0	0.46264	0.43816	0	1.60578	1.69054	0
Healthy	16.55109	0	0	0	0	0	0	0	0	0	59.55566	16.55109	0	0	0	0	0	0	0	0
Healthy	3.92018	0.89366	0.01353	0.49837	0	0	0.82159	0.22885	0	0	22.75743	3.92018	0	0.23883	0	0.22885	0.72886	0	0	0
Healthy	0.33112	1.30669	0.71875	0.35232	0.00435	0	0.92412	0.03602	0	0	37.9695	0.33112	0.77207	0.00276	0	0.03602	0.76262	0.03382	0.38385	0
Healthy	36.01147	2.50903	0	0	0	0	0	5.24636	0	0	34.74823	36.01147	0	0	0	5.24636	0	0	0	1.12435
Healthy	20.2297	1.71171	22.2117	0	0	0.30805	10.1857	12.60717	0	1.37375	0.91511	20.2297	0.31482	0	0.30805	12.60717	0	1.88122	13.6292	5.30757
D015179	14.14783	4.76949	3.14063	3.59314	0	1.32206	0.91814	0.11497	0	0.04567	7.0127	14.14783	0	0.00356	1.32206	0.11497	0	0	0.0153	0
Healthy	12.74574	17.6948	0	22.85291	0	0	1.54424	0	0	0	13.35676	12.74574	0	1.70875	0	0	0	0	0	0
Healthy	0	0	1.08551	0	29.9237	0	0	0	0	0	15.55885	0	0	0	0	0	0	0	0	0
D015179	14.81896	1.12747	0.003	0.1624	0.01086	0	0.01893	0.00039	0.08113	0	43.52631	14.81896	0	0.72772	0	0.00039	0.72342	2.30389	2.66867	0
Healthy	18.43263	7.32277	1.62933	11.38012	0	0	0.03842	0.15746	0.17981	0	40.79583	18.43263	0	0.01583	0	0.15746	0	0	0.30649	0
Healthy	7.26758	1.53566	2.68617	0.54253	1.69419	1.57007	0.7365	0	0.47871	0	34.37954	7.26758	0.41186	0.20391	1.57007	0	2.3376	0	0.76067	0
Healthy	8.62687	4.32128	0.65517	2.37977	0	0.07764	0.49429	0	0	0	23.31029	8.62687	1.19728	1.91037	0.07764	0	1.52698	0	0.09488	0
Healthy	16.48728	9.03523	0	0.00671	0	0	0	0.00871	0.00828	0.08086	59.6246	16.48728	0.52522	0.90934	0	0.00871	0	0	0	0
Healthy	3.86972	2.54791	0.20579	0.1998	0	0	0	0.04895	0	0	74.03631	3.86972	1.53009	0.09116	0	0.04895	0	0	0.04082	0
Healthy	39.74508	16.69147	0.32077	0	2.20706	0	1.0425	0	0	0	2.37704	39.74508	0	0.17545	0	0	0.42736	0	0.77183	0
Healthy	19.90236	38.32159	0.4165	0.22869	3.46993	0	0.25647	0.04011	0	0	14.99809	19.90236	0.32244	0.00366	0	0.04011	0.61088	0	0.19195	0
Healthy	3.31897	11.15426	0	0	0	0	0	0.03064	0	0	51.4807	3.31897	0	7.36099	0	0.03064	1.10387	0	0.01972	0
Healthy	27.56382	6.14553	7.70607	4.94532	0	0	0.01273	0.42056	0.91404	0	30.80151	27.56382	0	0.0698	0	0.42056	0	0	0.13944	0
Healthy	8.81391	21.03805	0	1.10682	1.73206	0	1.22308	0.6557	0	0	21.1465	8.81391	0	0	0	0.6557	0	2.27339	0	0
Healthy	20.025	5.363	0.69752	0.8236	0.01671	0	0	0.62887	0	0	33.74006	20.025	0	5.92908	0	0.62887	0	3.4264	0.01561	0
Healthy	6.16911	0.04534	0	0.83193	0	0	0	0.00854	0.03076	0.38356	59.96412	6.16911	4.33422	0.21131	0	0.00854	0	0	0	0
Healthy	21.10819	4.5446	0.00202	3.43227	0.02391	0	0.15854	0.62619	0	0	51.42656	21.10819	0	2.32149	0	0.62619	2.12838	0	0.05976	0
Healthy	14.70753	22.08445	2.21564	29.20783	1.55741	1.15334	1.02178	0	0	0.637	7.84045	14.70753	0	0	1.15334	0	0	0.42712	0.18761	0.1868
Healthy	28.60614	10.58252	5.03343	2.36875	1.14955	1.8625	0.29192	0.00293	0.04807	0	7.22061	28.60614	2.2402	0.02343	1.8625	0.00293	0.50203	6.51839	1.09513	0.22798
Healthy	1.51988	1.62073	0.11715	0.24501	0	0	0	0	0	0	53.62978	1.51988	0.02163	0.11865	0	0	0.63033	0	0.05474	0
Healthy	10.0281	0.22297	0.07737	0	0	0	0	0	0	0	12.14951	10.0281	1.16571	0	0	0	0	0	0	0
Healthy	6.01201	2.37192	4.81013	0.10555	22.9928	2.28766	0.37188	0.05049	0	0	21.17226	6.01201	0	0	2.28766	0.05049	0	2.53604	0.27894	0
Healthy	4.46869	3.43521	0.90288	0	19.9056	0.5413	0	0.17403	0	0	18.25232	4.46869	5.8991	0.00225	0.5413	0.17403	0	0.9599	0.07095	0
Healthy	8.31675	0.58674	5.33176	37.08865	0.02699	0	1.08593	0	0	0.0191	18.45545	8.31675	0.16977	0.01512	0	0	0.4571	0	0.01133	0
D015179	7.69433	11.5764	0.58609	6.51797	0.65782	0	0.12562	0	0.12831	0	31.40588	7.69433	0.67037	0	0	0	0	0	0.11787	0
Healthy	14.48565	21.51433	3.60727	0	0	0	0.78563	0	0	0	11.40241	14.48565	4.15535	0	0	0	0	8.08883	0.08913	0
D015179	6.03875	1.56109	1.4863	0.02117	0	1.86057	0.66612	0.00668	0.00704	0.27924	19.5422	6.03875	11.4988	0	1.86057	0.00668	0.55881	0.58064	0.91955	0
Healthy	4.17292	0	0	0	0	0	0	0	0.17449	0	66.5924	4.17292	0	0	0	0	0	0	0	0
Healthy	7.43583	15.75647	5.00119	0	13.8291	1.16719	0	0	0	0	15.56513	7.43583	0	6.72042	1.16719	0	0	1.13945	0	0
D015179	21.99428	29.73765	0	0	0.02239	0	0.49802	0.12214	0	0.09457	12.1043	21.99428	0.21065	0	0	0.12214	0	0	0.02679	0
