group	Faecalibacterium_sp900539885	Enterocloster_aldenensis	Mediterraneibacter_torques	Blautia_A_wexlerae	Bariatricus_comes	Dorea_formicigenerans	Streptococcus_thermophilus	Coprococcus_A_catus	Muricomes_sp000509105	Lactococcus_lactis_E	Bacteroides_eggerthii	Phocaeicola_sp900554435	Phocaeicola_plebeius_B	Anaerobutyricum_hallii_A	Phascolarctobacterium_faecium	Bacteroides_salyersiae	Enterocloster_sp900540675	Parasutterella_excrementihominis	Clostridium_Q_symbiosum	Flavonifractor_sp000508885
Healthy	1.3236	0	0	0	0	0	0.01707	0	0	0	0	0	0	0	0	0	0.53916	0	0.03719	0.0431
Healthy	0.55987	0	0.0359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34776	0.56152	0.11209
Healthy	0.05957	0	0.13582	0	0	0	0	0	0	0	43.7198	0	0	0	0	0	0.05342	0	0	0.02339
D015179	0.08014	0	3.51099	0	0	0	0	0	0.19232	0	0	0.30209	0	0.89456	0	0	0	0	0.79446	0
Healthy	1.25026	2.20956	0.21365	1.95011	1.7116	0.53615	0.03305	0.28232	0	0	0	0	0	3.40895	0	0	0	0.13267	0	0
Healthy	0.03196	0	0.46261	0	0	0.03933	0.19721	0	0	0	0	0	0	0	0	0	0.02729	0	0	0
Healthy	2.04412	0.23279	0.14799	0.83435	0.57333	0.00833	0	0.05195	0	0	0	1.85766	0	0.0568	0	0	0	0	0	0
D015179	9.63771	0.51505	0.07262	2.19939	0.78358	0.56349	0	0.07482	0	0	0	0.00668	0	0.58983	0	0	0	0.11157	0	0
Healthy	0.08081	0	0.00523	0.16666	0	0	0.00193	0	0.04563	0	0	0	0	0	0	0	0.07595	0.0023	0.02341	0.01927
Healthy	5.94374	3.53539	0.22936	1.71784	1.5035	1.16947	0	0.29299	0	0	0	0.15173	0	3.65603	0	0	0	0	0	0
Healthy	8.65783	0.11699	0.06081	0.40726	0.20915	0.45559	0	0.17588	0	0	0.0316	21.6941	0.35578	0.18145	0	0.47932	0	0	0	0
D015179	5.73254	1.42762	0.05015	0.95696	0.30726	0.37104	0	1.18158	0.01788	0	0	0	0	0.64337	0	0	0	0	0.10261	0
Healthy	3.81584	0	0.29207	0.0626	1.38748	0	0.21729	0.02909	0	0	0	8.72267	0	0	0	0	0	1.20495	0	0
Healthy	3.42007	0.33573	0.07193	0	0.02107	0.0148	0	0	0	0	11.8639	0	0	0	0	2.76748	0	0	0	0
Healthy	2.46965	2.45239	0.43504	1.45148	1.50523	0.54336	0.34528	0	0	0	4.39602	0	0	2.9256	0	0	0	0	0	0
Healthy	1.65214	0	0.01475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00552	0	0
Healthy	1.44308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.63348	0	0.01703	0.09406
Healthy	3.8578	0.47278	0.1378	0.1651	0.02467	0.03588	0	0	0	0	0	2.58735	0	0.01385	0	3.92173	0	0.01735	0	0
Healthy	3.41053	0	0.04138	0.064	0.05597	0	0	0	0	0	0.01363	0	0	0.00402	0	0	0.00699	0.23636	0	0.04282
Healthy	11.927	2.78266	0.04953	0.74247	1.33631	0.31884	0	0.08331	0	0	0	0	0.27823	0.61759	0	0	0	0	0	0
D015179	10.4403	0	0.5064	0.17735	0.21288	0.31412	0	0.11475	0	0	36.034	0	0	0	0	0	0	0	0	0
D015179	11.2717	0	0.42229	0	0.28027	0	0	0	0	0	2.17565	5.01327	0	0	0	0	0	0	0.13978	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	1.76137	0.28144	0.72234	0.20136	3.28505	0	0	0	0.00464	0	0	0	0	0.20119	0	1.17461	1.73326	0.26164	0.27506	0.2274
D015179	27.0783	0	0.09292	1.94724	0.21864	0.28294	0	0	0	0	0	0	0	0.10958	6.24742	0	0	0	0	0
Healthy	0.52082	0.61023	0.11284	2.43442	0.52502	0.11222	0	0.20001	0	0	0	0.25105	0	0.52653	0	0	0	0	0	0
Healthy	1.84188	0.0544	0.09826	0.21368	0	0.11002	0	0	0.00197	0	0	0	0	0.00581	0	0	0.03434	0.24045	0	0
Healthy	2.7183	4.79871	0.1234	8.93799	2.02708	4.77386	0	0.43294	0.04344	0	0.07776	0.66393	0.04402	0.64095	2.32279	0	0.09067	0	0.09266	0.00734
Healthy	3.48201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	13.158	0.02425	0.45402	0.10006	0.35616	0.01548	0	0	0	0	0	0	0	0.3658	2.13662	0	0	0	0	0
Healthy	9.29308	0	0	0	0	0	0	0	0.83575	0	0	0	0	0	0	0	0.44804	0.00722	0	0.5566
Healthy	6.11597	0.02304	0.03341	0.00673	0.04718	0.01659	0.33226	0	0	0	8.34437	0	0	0	0.85476	0	0	0	0	0
D015179	0.20914	0	0.03276	0	0	0	0	0	1.42151	0	0	0.44887	0	0	0	0	0.32569	0	0.63915	0
Healthy	4.97429	0.08947	0.1801	0.25573	0.01939	0	0	0.05053	0	0	0	0	10.3703	0.53912	0	0	0	0.02424	0	0
Healthy	4.61715	0	0.1472	0.10713	0.05174	0	0	0.00885	0	0	0	0	0	0.04344	0	0	0.0018	0.02716	0	0.0373
D015179	13.6966	1.61723	0.29603	1.25653	0.9506	0.24947	0	0.38413	0	0	0	0	0	2.22974	0	0	0	0	0	0
Healthy	0.11806	0	0.05528	0.00075	0.04396	0.06726	0	0	0	0	0	0.83775	0	0.02479	0	0	1.10466	0	0	0.02737
Healthy	0.48542	0	4.45559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	3.87108	0.10369	0.25684	0.31637	0.26637	0.15258	0.05555	0.12965	0	0	0.12115	0	0.79607	0.33985	2.37654	0	0	0	0	0
Healthy	2.12934	0.06737	0.01683	0.00839	0	0.07305	0	0	0.08278	0	0	0	0	0	0	0	0.11432	0.00326	0	0.05083
Healthy	5.35091	0.02271	0.03199	0.03096	0	0.0208	0	0	0	0	0	0	0	0	0	0	0	0.00179	0	0.05078
Healthy	23.7097	0.21419	0.43712	0.27484	0.02844	0.16064	0	0.01275	0.00496	0	0	0	0	0.33111	0	0.8713	0.00338	0.00397	0.0019	0
Healthy	1.69646	0.02456	0	0	0	0.01986	0	0	0	0	0	0	0	0	0	0	0	0.1336	0	0
Healthy	0	0	0.00918	0	0	0	0.00039	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	6.04954	0.80818	0.14441	0.21325	0.3361	0.10561	0.01456	0.12617	0	0.38236	0	0	8.02773	0.22452	0	0	0	0	0	0.00787
Healthy	8.50938	0.19328	0	0.41871	0.01771	0	0	0.2509	0	0	0	0	16.0191	0.64552	0	0	0	0.03817	0	0
Healthy	26.2798	0.31486	0.56792	0.76255	0.6091	0.78167	0	0	0	0	0	0	0	2.05233	0	0	0	0	0	0
Healthy	4.01482	0	0.13805	0.09187	0.12348	0.07486	0	0.09275	0	0	0	0	0	0.30178	0	0	0	0	0	0
Healthy	3.64434	0	5.99343	1.25347	3.37414	0.51505	2.49755	0	0	0	0	0	4.94948	0.98254	0	0.0512	0.07626	0	0.19452	0
Healthy	4.65288	0.99209	0.21493	0.31197	1.19603	0.18587	0	0.25177	0	0	0.40859	1.64279	0	0.67288	0	0	0	0	0	0
Healthy	17.4659	0.10866	0.00181	0.24788	0.09323	0.08994	0	0.07158	0	0	0	1.77017	2.58054	0.81154	0	1.01843	0	0	0	0
Healthy	2.99817	0.46535	1.1643	0.25326	0.02629	0.24484	0.00399	0.03811	0	0	0	0	0	0.19945	0	4.69953	2.60538	0.01494	0	0.0481
Healthy	0.36705	0.00868	0.01962	0.03326	0.0355	0.00348	0	0.00594	0	0	0	0	0	0.00415	0	0	0.19325	0.05447	0	0.09776
Healthy	7.52378	0	0.02608	3.49445	0	0.96439	7.87369	0.933	0.01201	0	9.19414	7.053	0	0.81614	3.25716	0.51288	0.9363	0	0.07257	0.01162
Healthy	5.72263	1.50809	0.04983	0.37866	0.48637	0.065	0	0.1664	0	0	1.81755	0.40796	2.75471	0.80567	1.39311	1.12159	0	0.01465	0	0
Healthy	1.63475	0.03771	0	0	0	0.02208	0	0	0	0	0	0	0	0	0	0	0	0.14096	0	0
Healthy	1.8267	0.06481	0.18838	0.21637	0	0.0918	0	0	0	0	0	0	0	0.02647	0	0	0.03961	0.11941	0	1.89
Healthy	0.92579	0.14786	0.09061	0.19619	0.23932	0	0	0	0	0	0	0	0	0.05302	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	9.82435	0.59189	0.06124	0.24949	0.68066	0.20454	0	0.10478	0.03969	0	0.3308	0	0	1.70011	0	0	0	0.01098	0	0.00449
Healthy	4.75875	1.54928	0.20774	0.38524	0	0.12798	0	0	0	0	0	3.93481	0	0.38567	0	0	0.00553	0	0	0.11381
Healthy	4.29583	0	0.03198	0.02505	0.08044	0	0	0.00119	0	0	35.6384	0	0	0	0	0	0.07804	0.03153	0.0357	0.59482
Healthy	14.8767	0.02363	0.00891	0.03635	0	0	0	0	0	0	0.82439	0	0	0	0	0	0	0.36943	0	0
Healthy	5.23442	0	2.39243	0	0	0	0	0	0.08028	0	0	0	0	0	0	0	1.71159	0.02399	0.96552	1.07119
Healthy	0.05921	0	0.36532	0	0	0	0	0	0	0	42.7681	0	0	0	0	0	0.03889	0	0	0.02297
D015179	11.2387	1.31525	0.05513	0.26258	2.18438	0.95475	0	0.33021	0	0.01086	11.083	0.34592	0	0.25421	0	0.99633	0.02476	0.1042	0.01387	0
Healthy	3.71731	0	0.15015	0.11554	0	0.04392	0	0	0	0	0	0	0	0	0	2.02244	0	0.26001	0	0
Healthy	2.37679	0	1.25235	0	0	0	0.07424	0	0.10473	0	0	0	0	0	0	0	2.37891	0.13223	0.13624	0.4328
Healthy	4.43942	0.01053	0.00123	0.16969	0.51067	0.28305	0.08197	0	0.01967	0	0	0	0	1.8302	0	0	0.81989	0	0.01564	0.06503
Healthy	1.03679	0	4.81698	1.36061	0.32909	0	0	0	0	0	0	0	3.46885	0.99396	0	0	0	0	0	0
Healthy	4.64818	1.79781	5.16315	0.57997	0.57222	1.53189	0.61229	0	0	1.27734	0	0	0	2.78913	0	0	0.01046	0.0246	0	0
Healthy	1.64235	1.42613	0.03859	0.26318	0.65378	0.13149	0.00718	0.10322	0.00076	0	0	0	0	0.33163	0	0	0.02093	0.41934	0	0
Healthy	1.24728	0.31002	0.06136	0.14913	0.14087	0.31036	0	0.0217	0	0.00371	0.04922	0	1.48685	0.16097	0	0	0	0.04283	0	0.0098
Healthy	4.03706	0.3787	0.2283	0.40198	0.54147	0.31603	0	0.1746	0	0	0.21627	3.12169	0	0.75349	2.55659	0	0	0.00206	0	0
Healthy	4.91769	0.96931	0	1.30018	1.32901	0.31875	0	0.26832	0	0	0	6.84986	1.12086	0	1.0336	0	0	0	0	0
D015179	9.81805	0.50745	0.07204	1.98857	0.69448	0.60847	0	0.11003	0	0	0	0.01197	0	0.59547	0	0	0	0.08354	0	0
Healthy	5.12471	0.15225	0.24173	0.19295	0.38265	0.14683	0	0.02388	0	0	0	0	0	0.02443	0	0	0	0	0	0
Healthy	1.88463	0.16491	0.10715	0.25684	0.0571	0.19909	0	0.03038	0	0	0	14.1355	0	0.76104	0	0	0.01687	0.00373	0	0
Healthy	3.97265	0.34011	0.36671	0.16311	0.05378	0.02786	0	0	0	0	0	2.57612	0	0.0106	0	3.88812	0	0.03262	0	0
Healthy	0	6.63735	3.30885	2.47055	0.47517	0	3.03464	0	0	0	0	0	0	2.89023	0	0	0	0	0	0
D015179	0	0	3.04952	0	0	0	1.52067	0	10.8108	0.0263	0	0	0.00112	0	0	0	0.62862	0	0	1.70647
Healthy	0.07588	0	0.13771	0	0.01626	0	0	0	0	0	43.2731	0	0	0	0	0	0.04523	0	0	0.00916
Healthy	0.4998	0	0.04943	0	0.00522	0	0.24503	0	0.00201	0	60.0402	0	0	0.01295	0	0	0.03717	0.09614	0.45263	0.13898
D015179	12.8211	0.38269	0.658	1.90251	0.9431	0.72052	0	0.43789	0	0	0	0	0.04383	0.50908	4.77671	0.44945	0	0	0	0
D015179	8.77952	0.19455	0.02662	0.40824	0.6926	0.23306	0	0.1868	0	0	0	0	0	0.52914	0	0	0.19559	0.00374	0	0.0571
Healthy	0.01143	0	0.00083	0	0	0	0.60117	0	0	0	0	0	0	0.0044	0	0	0.4957	0.29502	0.20333	0.03578
Healthy	2.33998	0.08214	0.02169	0.10365	0	0.02263	0	0	0	0	0	0.64247	0	0.07746	0	0	0.01805	0.04306	0.01901	0.0811
Healthy	14.5684	0.14014	0.2916	0.25741	0.25995	0	0	0.04742	0	0	0	0.77896	0	1.38943	0	0	0	0	0	0
Healthy	12.1741	0.35602	0.04661	0.16755	0.34645	0.14927	0	0.2059	0	0	0	0	0	0.24118	0	0	0	0.00148	0	0.02206
Healthy	6.19631	0	0.0229	0.05362	0	0	0.04032	0	0.05777	0	1.24651	0	0	0	0	2.8629	0.20787	0	0	0
Healthy	0	0	1.85422	0	0	0	0.08284	0	0	0	13.3565	0	0	0	0	0	4.86725	0.10274	1.45264	0.44018
Healthy	12.4632	3.39136	0.11934	0.8628	2.6758	0.69865	0	0.19554	0	0	0	0	0	1.75916	0	0	0	0	0	0
Healthy	0.55785	0	0.02661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37989	0.58609	0.16052
Healthy	18.0044	0	0.57916	0.24736	0.73517	0	0.17533	0.04837	0	0	0	0	0	1.34432	0	0	0	0	0	0
Healthy	0.99461	6.6286	0.03465	0.35184	0.20632	0.18181	0	0.59397	0	0	0.00289	4.1673	0.13398	0.53682	0	0	0	0.07436	0	0
Healthy	3.69406	0	0.00545	0.06367	0	0.07031	0	0	0	0	0	0	0	0.02916	0	1.47938	0	0.15454	0	0
D015179	10.8184	1.30177	0.03393	0.25334	2.41644	0.99294	0	0.27959	0	0.00874	10.9347	0.29469	0	0.22309	0	0.88139	0.02231	0.08264	0.007	0
Healthy	0.20528	0	0.05042	0	0	0	0	0	2.72446	0	0	0	0	0	0	0	3.31799	0	2.75601	0.02451
Healthy	1.29793	0.20405	0.06011	0.05612	0.01977	0.12016	0	0	0.0081	0	0	0	20.7599	0.03437	1.24016	0	0.04216	0.01735	0.06389	0
D015179	14.406	1.99096	0.07579	0.72897	1.21482	1.0477	0.70298	0.11097	0	0.11232	0	0	0.06912	0.34643	0	0	0	0	0	0.00633
Healthy	5.86701	0.5812	0.0179	0.26079	0.27963	0.10267	0.00113	0.14777	0	0	0	0	0	0.29975	0	0	0	0.00966	0	0.00036
Healthy	4.03809	0.00361	0.05937	0.02227	0.07841	0	0	0.03531	0	0	2.38161	4.21296	14.091	0	0.16495	0	0	0.08897	0	0
Healthy	20.2023	0	0.91461	0.0794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	2.30726	2.61404	0.01642	1.3413	0.37801	1.00235	0.09218	0.45553	0	0	0	2.82881	0	3.12533	0	0	0.02887	0.00845	0	0
Healthy	0.78679	3.39372	0.30552	2.00814	0.54684	1.24849	0.19604	0.43143	0	0.56644	0	0	0.02666	5.0779	0	0	0	0	0	0
Healthy	4.29424	0.06875	0	0.20319	0	0	0	0.06784	0	0	0	0	5.50364	0.67207	0	0	0	0.0026	0	0
D015179	16.7979	1.01415	2.89274	0	1.41352	0.67907	0	0	0	0	10.2052	0	0	0	0	0.60724	0	0	0	0
Healthy	1.35249	0	0.04806	0.04947	0.21936	0	0	0	0.00594	0	0	0	0	0	0	0	0.06628	0	0.18696	0.00324
Healthy	18.7844	0	0.12785	4.36886	1.00357	0.40123	0	0	0	0	0	0	0	3.67544	0	0	0	0.06878	0	0
Healthy	0.86535	0	1.17526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	2.29128	0.05415	0.03069	0.10635	0	0.01714	0	0	0	0	0	0.77027	0	0.11057	0	0	0.02079	0.02185	0.01411	0.07623
Healthy	16.2448	0.0232	0.14637	0.22677	0.27865	0.79572	0	0.24846	0	0	0	0	0	0.40725	0	0	0	0	0	0
Healthy	6.65166	0.49438	0.29755	0.37474	0.46222	0.05227	0	0.10105	0	0.22417	3.18944	0	0	0.7692	1.68488	0	0	0	0	0
Healthy	4.27469	0.55046	0.30703	0.26647	0.55297	0.33175	0	0.16896	0	0	2.1857	0	0	0.49787	5.18	0	0.02066	0	0	0
D015179	10.0179	0	0	0.13012	0.73633	0.04727	0	0.046	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	1.86825	0.05541	0.18792	0.23123	0	0.09704	0	0	0	0	0	0	0	0.00271	0	0	0.04226	0.15717	0	0
Healthy	1.49187	0	0.00389	0	0	0	0.55244	0	0.08163	0	0	0	0	0	0	0	0.76505	0	0.02392	0.1231
Healthy	3.20056	0.02703	0.0692	0.16787	0.09263	0.14059	0	0.05393	0	0	0	0.00186	0.88946	0.51013	0	0	0.01153	0.52386	0.00439	0.01602
Healthy	1.68003	1.34851	0.91408	0	0.6235	0	0	0	0	0	0	0	5.19459	0	0	0	0	0	0	0
Healthy	6.0773	1.58108	0.04716	1.12892	1.27962	0.58837	0.03332	0.2628	0	0	0	0	0	1.15631	3.13391	0	0	0	0	0
Healthy	1.34565	0.58948	0.09392	0.05039	0.08403	0.05665	0.06981	0	0	0	0	1.70351	0	0	0	0	0	0	0	0
Healthy	6.12355	0.2844	0.21186	0.4085	0.86802	0.44028	0	0	0	0	0	15.0076	0	2.01041	0	0	0	0.19732	0	0
Healthy	1.41377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5917	0	0.03918	0.04805
D015179	5.77648	1.26814	0.04566	0.84409	0.32692	0.36341	0	1.07907	0.00872	0	0	0	0	0.64715	0	0	0.00097	0	0.11524	0
Healthy	5.32085	0.01575	0.46998	0.23665	0.21934	0.28663	0	0.22596	0	0	0	0	0	0.43688	0	0	0	0	0	0
Healthy	3.44189	0.0274	0.53729	0.10115	1.30667	0	0.20951	0.01151	0	0	0	8.28691	0	0	0	0	0	1.10957	0	0
Healthy	1.30408	0	0.09337	0	0	0	0	0	0	0	1.17021	0.01081	1.45218	0	10.5536	0	0	0	0	0
Healthy	0.94774	0.50272	0.21519	2.27681	0.36494	0.13662	0	0.34679	0	0	0	0.18629	0	0.46959	0	0	0	0	0	0
Healthy	2.22683	0	0.92947	0	0	0	0.06726	0	0.10893	0	0	0	0	0	0	0	2.02113	0.11023	0.17305	0.45172
Healthy	2.37747	0.89594	0.01558	0.37382	0.09628	0.18438	0	0	0	0	0	1.2545	0	0.19471	0	2.05111	0	0.00381	0	0.00798
Healthy	4.796	2.57899	0.04349	1.02645	1.80071	0.17971	0.84393	0.68418	0	0.01899	0.39783	1.86082	0	0.22962	1.09308	0	0	0.02597	0	0
Healthy	3.56297	0	2.44555	0.26808	4.50772	0	0	0.12874	0.02062	0	3.89316	0	0	0	0	0.03402	2.28186	0.03603	0.01756	0.01231
Healthy	3.95604	0.1797	0.20352	0.17871	0.13389	0.12441	0	0	0	0	0	8.68204	0	0.16885	0	0	0	0.03172	0	0
Healthy	0.37319	0	0.1999	0	0	0	0	0	0	0	16.7563	0	0.59047	0	0	0.46889	0	0.04029	0	0
D015179	17.685	0	0	0.3109	0	0.06699	0	0.15527	0	0	0	0	0	0.17403	0	0	0	0	0	0
Healthy	4.28121	0.00627	0.18044	0.25516	0	0	0	0.04642	0	0	0	0	5.32708	0.73934	0	0	0	0.03924	0	0
Healthy	0.08765	0	0.04554	0	0	0	0	0	0	0	42.9818	0	0	0	0	0	0.03165	0	0	0
Healthy	0.28521	0	0.19983	0.01768	0	0.02467	0	0	0	0	0	0.0036	0	0.22229	0	0	0	0	0	0
Healthy	2.22071	0.05736	0	0.01614	0	0	0	0	0	0	0	0	0	0.04022	0	0	0	0.23241	0	0
Healthy	2.34703	0.90726	0.0039	0.43245	0.08949	0.17812	0	0	0	0	0	1.2992	0	0.20492	0	2.16187	0	0.00574	0	0.01569
D015179	6.8529	0.17903	0.13948	0.06151	0.25587	0	0	0.21623	0.15731	0	0.08464	0.34773	0	0.02235	0	0	0	0	0.19211	0
Healthy	8.23683	0.26954	0.11037	0.35808	0.15753	0.23482	0	0.03027	0	0	0	0	8.66176	0.43242	0	0	0	0.0336	0	0
Healthy	10.9921	1.20426	0.07377	3.10903	0.53816	0.72206	0.53551	0.47176	0	0	1.03978	0	6.50529	2.1667	0	0	0	0	0	0
Healthy	0.46415	0.41797	0.21147	0.23343	0.7481	0	0	0	0	0	5.43337	0	0	0	0	0	0	0	0	0
Healthy	2.71111	0	0.08153	0.07242	0	0	0	0.0046	0	0	0	0	20.0026	0.24932	0	0	0	0.01662	0	0
Healthy	7.50171	0	0.04523	0.05988	0.0235	0	0	0	0.06247	0	0	0	0	0	0	0	0.03951	0.02925	0	0
Healthy	2.32008	0	4.52452	0	0	0	0	0	0.1081	0	0	0.5145	0	0	0	0	5.62191	0.18277	1.73455	1.18528
D015179	21.1834	0	2.13148	0	0.31266	0	0	0	0	0	8.88414	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D015179	0.70009	0	0.11361	0	0	0	0	0	0	0	0	0	0	0.57064	0	0	0	0.2076	0	0
D015179	14.4961	0.03184	0.94118	1.93509	0.06643	0	0	0.1884	0	0	1.85458	0	0	0	0	0	0	0	0	0
D015179	5.21441	0.04395	0.14343	0.31071	0.37261	0.15431	0.63828	0.08786	0.01376	0	0	12.9338	0	0.05399	0	0	0.54722	0	0.00652	0.01007
D015179	11.2258	0.14899	0.30552	0.73876	1.59589	0.02652	0.41692	0	0	0	5.55405	4.3581	4.05113	0	0	0.33008	0	0	0	0
Healthy	4.41797	0.34162	0.31365	0.29861	0.48955	0.16676	0	0.16496	0	0	0	0.35904	0.13648	0.76543	0	0	0	0	0	0
D015179	0	0	0	0	0	0	0	0	0	0	0	1.58585	0	0	0	0	0	0	0	0
Healthy	7.23638	0	0.00068	0.02255	0.08506	0	0	0	0.01457	0.00308	0	0	0	0.18102	0	0	1.01211	0.04262	0.04591	0.0122
D015179	1.46395	0.0043464	0.0274613	0.0472177	0.0493909	0.00968062	0.00829767	0	0.00138295	0.00730985	0.0861377	0.114192	0.000395127	0.0215344	0	0.0867304	0.014027	0.183734	0.058874	0
Healthy	7.11323	0.07129	0.40203	0.02704	0	0	0	0	0	0	5.93412	0	0	0	0	7.55144	0	0	0	0
Healthy	11.1243	0.0126	0.0929	0.15134	0	0.22929	0.0528	0	0	0	0.10121	0.00245	3.45426	0.17664	0	0	0	0.00302	0	0
Healthy	5.67516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	9.01745	0.44665	1.73545	0.59848	0.65906	0.31164	0	0.38678	0	0	0	1.51902	0	2.62254	0	0	0	0	0	0
D015179	25.93	0.09848	0.0476	0.05918	0.41739	0.06909	0.14697	0.05661	0	0	0	0	0	0.00901	0	0	0	0.0145	0	0.00337
Healthy	3.98652	0.03656	0.05109	0.15534	0.23107	0.09386	0	0.02471	0	0	0	0	23.8854	0.07631	0	0	0	0	0	0
Healthy	1.36188	0.01976	0.18436	0	0	0	0	0	0	0	0	16.0974	0	0	0	0	0	0.0253	0	0.00518
Healthy	1.9015	0.01422	0.19411	0.03395	0.02625	0	0	0	0	0	0	0	0	0.06827	0	0	0	0.18971	0	0.06614
Healthy	0.11308	0	0.00534	0.16846	0	0	0.01202	0	0.03794	0	0	0	0	0	0	0	0.08505	0	0.02217	0.00907
Healthy	0.00083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D015179	0.03454	0.27191	0.1239	0.3352	0.17585	0.03128	0.65267	0	0.10605	1.29554	0	0	0	0.0472	0	0	0.03837	0	0.3156	0.08832
Healthy	5.75258	0	0.06012	0.00717	0	0	0	0	0.1318	0	0	0	0	0	0	0	0.12882	0.00587	0	0
D015179	8.98689	0.62869	0.03579	1.8172	0.58315	0.35721	0.10335	0.60228	0	0.13523	2.4387	0	0	0.02594	0	0	0.02588	0	0.0265	0
D015179	11.0618	1.41094	0.01109	0.2039	3.49746	1.36132	0.81784	0.40899	0.13563	0	1.38427	0	0	0.4797	3.32046	0	0.11289	0.02255	0	0.03463
Healthy	1.96996	0	0	0	0	0	0	0	0	0	0	2.86252	0	0	0	0	0	0	0	0
Healthy	2.16719	0.9468	0.12066	0.73448	0.51925	0.24049	0.01378	0.03312	0.01371	0	1.73472	0	1.17269	1.3206	0	0	0.0102	0	0	0
Healthy	1.32233	0.09589	0.06768	0.21222	0.29975	0.31946	0.06189	0.92227	0	0	0	0.72153	0.25842	0.31429	0	0	0	0	0	0
Healthy	0	0	0.00652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.36792	0.7229	0.61883	0.61503	0.59406	0.26944	0	0.05887	0	0	0	0	0	0.74854	0	0	0	0.03579	0	0
Healthy	3.95841	0.34914	0.01573	0.03171	0.04097	0.00913	0	0.01344	0.02591	0	0	0	0.00358	0.05739	0	0	1.84996	0.00185	0.1931	0
Healthy	4.55121	2.46684	0.25985	0.9898	1.7973	0.18693	0.78554	0.61235	0	0.01982	0.36837	1.98523	0	0.18752	1.1635	0	0	0.01483	0	0
Healthy	46.506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.44251	0.03146	0.41876	0.14238	0.27197	0.08462	0	0.02489	0	0	0	0	21.8213	0.10338	0	0	0	0	0	0
D015179	11.1644	0	0.0564	0	0.53039	0.01297	0	0	0	0	2.23339	5.78792	0	0	0	0	0	0	0.08077	0
Healthy	0.76597	0.0044	0.07088	0.01467	0	0.23133	0.31322	0	0	0	0	0	0	0	0	0	0.01067	0	0	0.08567
Healthy	3.95924	0	0.09729	0.11971	0	0.04938	0	0.02265	0	0	0	0	0	0.00303	0	1.92655	0	0.18985	0	0
Healthy	0.61842	0	0.00719	0	0	0	0.01606	0	0	0	0	0	0	0	0	0	1.05646	0	0.03619	1.33503
Healthy	4.8351	0.53763	0.06107	0.44762	0.55626	0.21403	0	0	0	0	0	10.3441	0	1.83125	0	0	0	0.04164	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	11.9816	0	0	0	0	0	0	0	0
D015179	10.4213	0	0.75003	0.20159	0	0	0	0.10202	0.16281	0	0	0	0	0.88432	0	0	0.08337	0	0	0
Healthy	16.1291	0	0.26372	0.09569	0	0	0.11297	0	0	0	0	0	0	0	0	0.82699	0.73598	0.03047	0	0
Healthy	4.37841	0.00711	0.03352	0.03861	0.01033	0	0.24237	0	0	0.05167	14.6271	0	0	0	0.26428	0	0	0	0	0
Healthy	3.20723	0	0.02088	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9805	0.05818	0.03337	0.30517
Healthy	0.84979	0	0.00021	0	0	0	0	0	0.18188	0	0.00452	0	0	0.0057	0.00033	0.0041	0.06455	0	0.26556	0.04912
Healthy	3.12012	0.7977	0.13688	0.2009	0.59991	0.56767	0	0.18946	0	0	0.00529	0.0029	0	0.4236	0	0	0	0.00081	0	0
Healthy	5.37135	0.0896	0.01764	0.05364	0	0	0	0	0	0	0	0	0	0.00184	0	0	0.20016	0.00583	0.04629	0.071
Healthy	2.24696	0.03804	0.08232	0.01625	0	0	0	0	0	0	0	0	0	0.0417	0	0	0	0.21323	0	0
Healthy	0.58205	0.937	0.26782	0.5695	0.41448	0.48726	0	0	0	0	3.53188	0	0	0.64885	0	0	0	0	0	0
