group	Faecalibacterium_sp900539885	Prevotella_copri_A	Bacteroides_stercoris	Phytobacter_ursingii	Phocaeicola_plebeius_B	Phocaeicola_coprocola	Bacteroides_salyersiae	Parasutterella_excrementihominis	Ruminococcus_C_callidus	Enterocloster_citroniae	Bacteroides_uniformis	Lachnospira_eligens_B	Roseburia_sp900552665	Anaerobutyricum_hallii_A	Mediterraneibacter_torques	Blautia_A_wexlerae	Streptococcus_thermophilus	Alistipes_A_indistinctus	Coprococcus_A_catus	Adlercreutzia_equolifaciens
Healthy	3.67723	0.01328	12.2382	0.00903	0	0	0	0.02565	0	0.00853	3.72208	0	2.6267	0.43019	0.22934	0.38507	0	0.0182	0.50052	0.02361
Healthy	3.78626	0	0.00318	0.00336	0	3.14863	0.00191	0	0	0.02462	4.5783	0.15402	0.61323	1.67721	0.03239	0.25213	0.04614	0.09568	0.1537	0.26867
Healthy	1.90978	0	0	0.07286	0	0	0	0.29286	0	0	33.2206	0	0.53969	0.06374	0.03607	0.03551	0	0.06004	0	0
Healthy	0.00368	0	0	16.2661	0	0	0	0	0	0	2.12207	0	0	0	0.18846	0	0	0	0	0
Healthy	9.59753	0	0	0	0	0	0	0	0	0	4.60278	0.01992	1.25509	0.56451	0.00782	0.20371	0.11588	0	0.13245	0
Healthy	0.5278	0	0	0.37736	0	0	0	0.0857	0	0	11.2776	0	0.38595	0.01863	0.02773	0	0.23259	0	0	0
Healthy	16.8393	0	18.2388	0	0	0	0	1.28454	0	0	0.97029	3.15195	0.17984	0.02058	0.06786	0.12538	0.14253	0	0	0
Healthy	3.54818	7.17452	0.26376	6.343	0	0	0	0.00459	0	0	5.44304	0.53345	0	0	1.83505	0	0.21411	0.00624	0	0
Healthy	0.69262	0	0	0	0	0	0	0	0	0	0	0	0	0	2.18411	0	0	0	0	0
Healthy	0.90956	0	0.02077	0	0	8.96198	0	0	0.03758	0	2.06701	5.54406	1.7934	0.92226	0.0348	0.64062	0	0	0.43583	0
D006973	14.1056	31.1007	3.29313	0.77092	1.22036	0	0	0.44598	0.02436	0.06013	1.24231	0.01188	1.26582	0.01602	0.01623	0.04108	0	1.68599	0.03239	0
Healthy	1.09293	0	0	16.4109	0	0	0	0.04035	0	0	7.69883	4.45083	0.31095	0.31703	0.06129	0.06819	0	0	0	0
Healthy	2.47447	0	0	0.45378	0	0	0	0.08025	0	0.00562	31.5429	0	0	0	1.23277	0	0.06243	0.04504	0	0
Healthy	1.19569	0	0	0	0.03558	0.37173	0	0	0	0	1.48994	2.69737	2.31724	0.44587	0.40197	0.53306	0	0	0	0
Healthy	1.96391	0	0	0.02833	0	0	0	0.29889	0	0	32.5786	0	0.56925	0.0557	0.06813	0.01221	0	0.02679	0	0
Healthy	2.60289	0	0	1.75061	0	0	0	0	0	0	4.35016	0	0.32537	1.94333	0.20105	4.10101	2.9827	0	0.27437	0
Healthy	2.1367	0.0022	6.41657	0.14333	0	0	0	0.13187	0	0	3.44916	0.14707	1.10531	0.56239	0.00706	0.32815	0	0.26567	0.03973	0
Healthy	2.03873	0	0	0	0	0	0	0.12857	0	0	26.9061	0	0.98094	0	0	0.17257	0	0.1613	0	0
Healthy	1.74819	0	0	0	0	0	0	0.0276	0.33756	0.0049	16.3447	0	1.81675	0	0.20381	0	0	0.05469	0	0
Healthy	0.39347	0	0	12.8542	0	0	0	0.00574	0	0	0.95685	0.06065	0.68923	0.0884	0.11165	0.08257	0	0	0	0
Healthy	5.54289	0.15669	0.82009	0.00825	0	0	0	0	0	0	8.5169	1.60469	0.01722	0.04157	0.07743	0.24782	0	0	0.00219	0.06196
Healthy	8.98741	0	0	0.00409	0	0	0	0	0	0	0	0	0	0.91156	0.01807	0.00032	0	0	0	0
Healthy	8.79006	0	0.00132	0.02165	0	0	0	0.00678	0	0.01718	3.45058	2.74721	1.78762	1.94611	0.01503	0.04304	0.45744	0	0	0.18515
Healthy	2.05589	0	0.00351	0	1.31915	0	0	0.00396	0	0.03214	4.27546	6.93721	0.94359	1.40044	0.35965	0.35495	1.86349	0.08978	0.11583	0.23981
Healthy	4.49347	0	0.15933	0	0	0	0	0	0	0	8.91224	3.63073	0	0.26674	0.17201	1.27903	0	0.05238	0.14645	0.06226
Healthy	3.4988	0	20.3259	0	0	0	0	1.07698	0.25997	0	14.179	1.00354	0.49422	0	0.39585	0.10729	0.18528	0	0	0
Healthy	3.96119	0	0	0	0	0	0	0.10417	0	0	0	1.25634	0.48055	0	0.1563	0	0	0.18968	0	0
Healthy	2.57906	0.06453	12.624	1.37665	0.00777	0.03358	1.05235	0	0	0.01905	7.26804	0.00245	2.65166	0.04396	0.02649	0.07178	0	0.17847	0.10801	0
Healthy	8.32939	0	8.65806	0.04487	0	0	0	0	0	0	0.58447	0.56016	1.43853	0	0.19882	0	0	0.01862	0	0.09067
Healthy	4.26482	0	0	0.36631	0	14.4597	0	0.013	0	0	1.18547	1.37995	0	0	0.04658	0.03836	0	0.20337	0	0
Healthy	3.86935	0	0	2.12948	0	0	0	0.00147	0	0.02497	1.72814	0.10851	0.0937	3.49856	0.05237	0.53078	0	0.0424	0	0.22901
D006973	11.9723	0	0	0.12009	0	0	0.50934	0	0.25903	0.00871	0.09158	0	0.1501	0.02716	0.01824	0.03904	0	0	0	0
Healthy	0.40714	0	35.6876	1.06216	0	0	0	0.01997	0	0	13.4649	0.03085	0	0.0105	0.00976	0.02584	0	0	0.00678	0
Healthy	5.60286	2.41062	0.10781	0	0	5.91044	0	0	0.00464	0	0.24741	1.20006	2.76918	0.29161	0.16881	0.2837	0	0	0.11158	0.05276
Healthy	21.7045	2.04231	0	0	0	0	0	0	0.40462	0	0	1.46406	3.52329	2.37613	4.54431	4.65973	0	0	0.5795	0
Healthy	0.51861	0	0	0.42965	0	0	0	0.11156	0	0	11.1052	0	0.4289	0.00425	0.06426	0	0.21585	0	0	0
Healthy	4.29314	0	0	0	9.67282	0	0	0.03569	0	0	21.9602	4.54339	0.78528	0.87265	0.17702	0.33867	0	0	0.09662	0
Healthy	6.5334	0	0	0	0	0	2.89763	0	0	0	12.6788	1.59611	0	0	0.04256	0.06136	0	0	0	0.51129
Healthy	8.03705	0	0	0	0	0	3.27437	0	0	0	15.0348	1.85138	0	0	0.0511	0.08017	0.00451	0	0	0.7355
Healthy	12.2367	0	0	0.04705	0	0	0	0	0.03996	0	6.02436	2.17114	1.76376	0.08798	0.00397	0.27957	0	0	0.03205	0.03641
Healthy	3.55185	0	2.54147	0	0	0	3.49666	0.38392	0	0	0.05207	1.5073	2.19002	0.02841	0.00558	0.08851	0	0.08903	0.01057	0
Healthy	4.68188	0	19.8318	0	0	0	0	0.05957	0	0	11.8012	0.5676	2.62783	0	0.10783	0.04586	0.5783	0.00312	0	0
Healthy	4.42579	0	0	0.04178	0	0	0	0.02873	0	0	7.45452	0	0	0	0.08284	0	0	0	0	0.14686
Healthy	0	0	0.51686	78.7042	0	0	0	0.02799	0	0	0.07634	0	0	0.46926	0.37972	0.09467	0.10271	0.04022	0	0
Healthy	6.63595	0	0	0.36158	0	0	0	0.17411	0	0.01299	24.6567	5.45362	10.1791	0.12008	0.00667	0.0048	0	0	0	0
Healthy	9.28592	0	0	2.27843	0	0	0	0.04242	0.24849	0.01122	10.5987	0.11061	0.174	0	0.03479	0	0	0	0	0
Healthy	24.6591	0	2.87576	0	0	4.33903	0	0	0	0	0.77553	2.8533	1.7108	0.57718	0.89391	0.72437	0	0	0.28184	0
Healthy	16.0886	0	3.3162	0	0	0	0	0	0	0	1.62159	0	0.56877	0.60249	0.01181	0.43377	0.09817	0	0	0.19679
Healthy	2.59441	46.7432	0	0	0	0	0	0	0.01677	0	2.81094	4.53078	1.37525	0.79118	0.49574	0.66445	0	0	0.29771	0
Healthy	7.91572	6.74233	0	0	1.30531	1.59059	0.8471	0.00222	0	0	8.38231	3.00852	0	0.9126	0.09135	0.29839	0	0.07651	0.3148	0
Healthy	4.06832	10.3598	0	0.29883	0	0.17438	0	0	0	0	0.49006	0.3519	0.22325	0.13232	0.03854	0.1194	0	0.01553	0.21873	0
Healthy	1.13008	0	6.22055	1.00992	0	0	0	0.0042	0.13386	0	21.3733	0	0.03346	0.00178	0.01505	0.04908	0	0.32215	0	0
Healthy	0.82616	0	1.01059	0.1118	0	0	0	0	0	0	6.9161	0.0736	0	0.15205	0.0062	0.32589	0	0.36706	0	0
Healthy	10.0244	0	12.9052	0	0	0	0.12081	0	0	0.01008	2.79996	0	0	4.4287	0.10502	2.57677	0	0	0	0.07283
Healthy	3.84259	0	0.01619	0	0	0	3.81337	0.01784	0	0	25.2099	0.66425	0.05593	0	0.74578	0.23815	0	0	0	0
Healthy	3.94491	0	0	0.61563	0	0	4.51473	0	0	0	0.4214	1.57754	0	0.31153	0.07929	0.38828	0	0	0.09934	0
Healthy	0	0	0	83.838	0	0	0	0	0	0	0.0089	0	0	0	0	0	0	0	0	0
Healthy	3.79106	0	2.38863	0	0	0	2.14474	0.20827	0	0	0.0251	1.29331	0.56402	0	0.1845	0.1208	0	0.0063	0.023	0.1511
Healthy	0	0	0	3.89743	0	0	0	0	0	0	0.00012	0	0	0	0	0	0	0	0	0
Healthy	1.07413	0	17.8557	0.09795	0	0	0	0.58962	0	0.02802	16.7682	0.1908	0	0	0	0	0	0	0	0
Healthy	0.74249	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01772	0	0	0	0	0
Healthy	0.81966	0	0	0	0	0	0	0	0	0	0	0	0.33464	0	0.03468	0.0369	0.25024	0	0	0
Healthy	10.6545	0	0.00138	0.08321	0	0	1.17	0	0.28584	0	15.0078	2.83954	0.05611	0.9071	0.43797	0.57222	0	0.02574	0	0.00602
Healthy	2.10815	40.4897	0.19055	0	0.47009	0	0	0	0	0	5.16003	4.8395	1.0468	0.22621	0.58787	0.1772	0	0	0.06872	0
Healthy	2.37578	0	23.3182	0.15123	0	0	0	0.23778	0	0	2.60659	0.4358	0.39046	0.02999	0	0.03083	0	0.02747	0	0.00226
Healthy	0.93393	0	0.00115	0	17.3552	0	0.84124	0	0	0	15.4968	0.09964	0	0	0.0951	0.00565	0.04713	0.0285	0	0
Healthy	17.91	0	3.48591	2.8125	4.26576	5.85582	0	0	0.19191	0.03803	1.84648	1.88011	5.56051	0.42331	0.00798	0.29976	0	0	0.11152	0
Healthy	0.12429	6.31915	0	0	0	0	0	0.04874	0	0	3.78019	2.80579	0.06896	0.4936	0	0.13302	0	0	0	0
Healthy	5.23795	0	0	0	0	2.8849	0	0	0	0	8.26389	8.45562	0.21938	0.32437	0.65831	0.42806	0	0	0.23379	0.03483
Healthy	2.62326	2.16791	0	0	0.11315	0	0	0	0	0	0.91294	0.51605	0.30988	0.18274	0.28385	0.21301	0	0.08691	0.07185	0
Healthy	62.9997	0	3.61561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	3.43183	36.384	0.76321	0	0	0	0	0	0	0	1.44569	0.7973	0.47387	0	0.03624	0	0	0.04463	0	0
Healthy	1.84929	40.479	2.02122	0	0	0	0	0	0	0	4.67933	0.18836	0.0707	0	0.70411	0	0	1.3879	0	0
Healthy	5.51072	0	0	0	1.74234	0	0	0.0586	0	0	6.72043	0.47265	0.36791	1.40782	0.03261	0.2328	0	0	0.19834	0.0955
Healthy	0.17685	0	0	0	0	0	0	0	0	0.00235	0.71474	0.61106	1.33429	3.00802	0.04471	0.31212	0.01339	0.05701	0	0.40741
