group	Bacteroidaceae	Ruminococcaceae	Enterobacteriaceae	Veillonellaceae	Pasteurellaceae	Peptostreptococcaceae	Lactobacillaceae	Eggerthellaceae	Erysipelatoclostridiaceae		Bacteroidaceae	Rikenellaceae	Tannerellaceae	Dialisteraceae	Burkholderiaceae	Methanobacteriaceae	Marinifilaceae	Oscillospiraceae	Veillonellaceae	Pasteurellaceae
Healthy	38.33966	7.72123	0.69287	0.23996	0.19978	0.02572	0	0.01306	0.06141		38.33966	0	1.42973	0	0.90663	0	0	0.01753	0.23996	0.19978
Healthy	29.70881	6.62613	1.06199	0.05717	0.04173	0.01107	0	0.03192	0		29.70881	0	1.45105	6.37105	1.58452	0	0	0.15097	0.05717	0.04173
Healthy	7.32202	0	2.35562	2.17314	0.55167	0	0	0	0		7.32202	0	0.00171	0	0	0	0.05783	0	2.17314	0.55167
Healthy	37.69111	4.49488	0	0.07539	1.44863	0.37412	0	0	0		37.69111	2.06338	0.25092	4.05909	0.04528	0	0	0	0.07539	1.44863
Healthy	46.75806	1.48862	0	0	0	0	0	0	0		46.75806	4.51584	3.23496	0	0	0.05076	0	0	0	0
D001172	47.4872	1.01735	18.563	0	0	0	0	0.07276	0		47.4872	1.8064	2.25272	0	0.01652	0	0	0.13124	0	0
Healthy	8.42294	6.34382	0.04844	0.00272	0	0.04726	0	0.07108	0		8.42294	9.23568	0.78517	0	0.07849	0	0	0.01259	0.00272	0
Healthy	29.72166	8.38122	0.04976	0.15995	0.00484	0	0.5042	0	0.49088		29.72166	1.81886	0.90208	0	0.09861	0	0.92764	0	0.15995	0.00484
Healthy	12.62268	6.94266	1.09555	0	0.01242	0.00279	0	0	0		12.62268	1.25512	0	0	1.41746	0.05808	0.48243	0.02251	0	0.01242
Healthy	17.33784	6.40852	16.867	0	0	0.30973	0	0	0		17.33784	5.66775	1.03617	0	0	0	0	0	0	0
Healthy	25.10843	25.27391	0.04967	0.0558	0	1.78824	0.00437	0.28596	0		25.10843	5.23769	0.28318	3.32019	0.02467	0	1.27209	0.01625	0.0558	0
D001172	51.43725	5.45221	0	0	0.01263	0	0	0	0		51.43725	11.02916	0.82461	0	8.39951	0	0.62138	0	0	0.01263
Healthy	38.87685	10.18732	0.02561	0	0	0	0	0	0		38.87685	6.87422	2.41768	0	0.15702	0	0	0.42481	0	0
Healthy	11.78917	6.06601	21.7082	0.04354	0.34533	0.05105	0	0	0.28493		11.78917	3.61395	0.81843	0	0.12934	0.79631	0.86467	0	0.04354	0.34533
Healthy	19.43855	2.95687	0.00817	0	0.00722	0.00373	0.23414	0	0		19.43855	2.27428	1.5996	0	0.15098	0.1082	3.04967	0.01382	0	0.00722
Healthy	12.45034	9.34541	0	1.72376	2.16962	4.77347	0	0.01092	0		12.45034	0.12299	0.0213	3.12425	0.12175	0	0	0	1.72376	2.16962
