group	Faecalibacterium	Enterocloster	Collinsella	Blautia_A	Bariatricus	Dorea	Eubacterium_I	Coprococcus_A	Muricomes	Lactococcus	Prevotella	Mediterraneibacter	Enterocloster	Anaerobutyricum	Phascolarctobacterium	Blautia_A	Parasutterella	Clostridium_Q	Muricomes	Anaerotruncus
Healthy	1.57533	0.71649	0.37637	0.32854	0.88158	0.13036	0.10032	0.30987	0	0	0	0.00251	0.71649	0.47205	0	0.32854	0.19327	0	0	0
Healthy	5.34315	0.16007	0.53587	0.12906	0.01724	0.0769	0	0	0	0.02484	0	0.02034	0.16007	0.01676	0	0.12906	0.002	0	0	0.03366
D015179	0.9284	2.28412	1.39681	0.1625	0	0.00634	0	0	0.04474	0	0	0.04192	2.28412	0	0	0.1625	0	0.3808	0.04474	0.60765
Healthy	4.42903	0.02364	1.3964	0.17307	0.17051	0.2587	0.40139	0.15588	0	0	26.4523	2.85395	0.02364	0.64033	0	0.17307	0	0	0	0
Healthy	0.00068	0	5.7193	0	0	0	0	0	0	0	0	1.13657	0	0	0	0	0	0	0	0
Healthy	4.84117	0.01364	0.19788	0.08949	0.08538	0	0	0	0	0	0	0.15612	0.01364	0.00256	0	0.08949	0.01697	0	0	0.06048
Healthy	3.41433	0.39719	0.08046	0.48211	0.20512	0.27323	0.10492	0.13775	0	0	0	1.58654	0.39719	0.34	2.04301	0.48211	0	0	0	0
Healthy	7.21216	0.87631	0.33622	0.3583	0.77811	0.61097	0.2393	0.38593	0	0	0.09981	0.93048	0.87631	0.51939	0	0.3583	0.08967	0	0	0
D015179	15.1412	0	0.57888	0.0676	0	0.23475	0.37591	0	0	0	0	0.79542	0	0.34524	0	0.0676	0	0	0	0
D015179	1.86745	7.42746	0.46717	0.50075	1.33802	0.69514	1.70307	0	0.14235	0	0	0.12257	7.42746	0.42969	0	0.50075	0.00323	0.03099	0.14235	0.00074
D015179	19.1168	2.89865	6.56726	0.31425	1.82623	0.89458	0	0	0	0	16.6535	0	2.89865	0.59899	2.02037	0.31425	0	0	0	0
Healthy	3.67723	0.26551	0.91269	0.38507	0.34916	0.20709	0.06404	0.50052	0.00297	0	0.01328	0.73978	0.26551	0.43019	0	0.38507	0.02565	0	0.00297	0.08122
Healthy	3.78626	1.12558	1.43581	0.25643	1.37517	0.46545	0.01954	0.1537	0	0.00232	0	0.03239	1.12558	1.67721	0	0.25643	0	0	0	0.00887
Healthy	1.90978	0.01573	0.14288	0.03551	0.01663	0	0	0	0	0	0	0.19409	0.01573	0.06374	0	0.03551	0.29286	0.00142	0	0.03768
Healthy	0.00368	0	0.12	0	0	0	0	0	0	0	0	0.18846	0	0	0.01689	0	0	0	0	0
Healthy	9.59753	0.96456	0	0.20371	0.7182	0.06101	0.21786	0.13245	0	0	0	0.32606	0.96456	0.56451	0	0.20371	0	0	0	0
Healthy	0.5278	0.09105	0.15444	0.01794	0.01295	0	0	0	0	0	0	0.02773	0.09105	0.01863	0	0.01794	0.0857	0.48828	0	0.37654
Healthy	16.8393	0.14689	0.01631	0.12538	0.34057	0	0.01725	0	0	0	0	0.35646	0.14689	0.02058	0	0.12538	1.28454	0	0	0.01096
Healthy	3.54818	1.88463	0	0	0.00682	0	0	0	0	0	7.42671	1.83505	1.88463	0	1.00509	0	0.00459	0	0	0
Healthy	0.69262	1.06288	0.102	0	0	0	0	0	0	0	0	2.18411	1.06288	0	0	0	0	0.02064	0	0
Healthy	0.90956	0.60527	0.06941	0.64062	0.9289	0.45839	0.2872	0.43583	0	0	0	1.8025	0.60527	0.92226	0	0.64062	0	0	0	0
Healthy	1.09293	0.47844	0	0.06819	0.23437	0.06578	0	0	0	0	0	0.06129	0.47844	0.31703	0	0.06819	0.04035	0	0	0
Healthy	2.47447	2.53167	0	0	0	0	0	0	0.09698	0	0	1.23277	2.53167	0	0	0	0.08025	0.17587	0.09698	0
Healthy	1.19569	0.22579	0	0.53306	0.18392	0.26968	0	0	0	0	0	0.40197	0.22579	0.44587	0	0.53306	0	0	0	0
Healthy	1.96391	0.01556	0.19064	0.01221	0	0	0	0	0	0	0	0.23742	0.01556	0.0557	0	0.01221	0.29889	0	0	0.05406
Healthy	2.60289	1.87818	2.82554	4.10101	2.63735	0.67153	0	0.27437	0	0	0	0.20105	1.87818	1.94333	0	4.10101	0	0	0	0
Healthy	2.1367	0.90362	1.73487	0.32815	0.675	0.33065	0.1239	0.03973	0	0	0.0022	0.05105	0.90362	0.56239	2.16701	0.32815	0.13187	0	0	0
Healthy	2.03873	0.09816	0	0.17257	0	0.09228	0	0	0	0	0	0.08193	0.09816	0	0	0.17257	0.12857	0	0	0
Healthy	1.74819	0.02291	0.31594	0	0	0	0	0	0	0	0	0.20381	0.02291	0	0	0	0.0276	0	0	0
Healthy	0.39347	0.41483	0	0.08257	1.31434	0	0	0	0	0	0	0.14231	0.41483	0.0884	0	0.08257	0.00574	0	0	0
Healthy	5.54289	0.45183	0.14616	0.26395	0.11013	0.03044	0.00849	0.00219	0.00145	0	0.15669	0.20969	0.45183	0.04157	0	0.26395	0	0.0004	0.00145	0.00225
Healthy	8.98741	0.27756	0	0.00032	0	0	0	0	0.10584	0	8.48422	0.01807	0.27756	0.91156	0	0.00032	0	0.29612	0.10584	0
Healthy	8.79006	0.61162	0	0.12913	0.03547	0.55837	0.05594	0	0.00719	0	0	1.62393	0.61162	1.94611	0	0.12913	0.00678	0.07417	0.00719	0.03849
Healthy	2.05589	0.24044	0.73212	0.35495	0.21954	0.678	0.34821	0.11583	0	0.03909	0	0.35965	0.24044	1.40044	2.25084	0.35495	0.00396	0.01212	0	0.0088
Healthy	4.49347	0.17365	0.38165	1.27903	0.23362	0.08256	0	0.14645	0	0	0	0.17201	0.17365	0.26674	0	1.27903	0	0	0	0
D015179	10.2081	0	0.30709	0	0	0.13067	0	0	0	0.22858	0.87734	2.66351	0	0	1.62517	0	0	0	0	0
Healthy	3.4988	0	0	0.10729	1.5103	0.04752	0.04297	0	0	0	0	0.39585	0	0	0	0.10729	1.07698	0	0	0
Healthy	3.96119	0	0	0	0.0126	0	0	0	0	0	0	0.1563	0	0	0	0	0.10417	0	0	0
Healthy	2.57906	0.5447	0.3144	0.07178	0.20356	0.2418	0	0.10801	0.02348	0	0.06453	0.76527	0.5447	0.04396	0	0.07178	0	0.03988	0.02348	0
Healthy	8.32939	0	0.14095	0	0	0.03418	0	0	0	0	0	1.42142	0	0	0	0	0	0	0	0
D015179	1.23981	1.73991	0	0.03524	0	0.0448	0	0	0	0	1.92034	0.15207	1.73991	0	2.39782	0.03524	0	0.39897	0	0
D015179	4.97809	0.81907	1.00398	0.53088	0.24033	0.74624	0.22103	0.533	0.11181	0.10803	0	0.61046	0.81907	0.06978	0	0.53088	0.0045	0	0.11181	0
D015179	7.67339	0.20411	0	0.32665	0.48014	0.5077	0.8701	0.23407	0.03438	0.06175	0	1.60524	0.20411	0.05117	0	0.32665	0	0	0.03438	0
Healthy	4.26482	0.01641	0	0.03836	0.03658	0.06314	0	0	0	0	0	0.22834	0.01641	0	0	0.03836	0.013	0	0	0
Healthy	3.86935	1.90813	0.71644	0.5729	0.15763	1.07415	1.62433	0	0.00482	1.39724	0.01157	0.76747	1.90813	3.49856	0	0.5729	0.00147	0.00814	0.00482	0.03033
D015179	0	2.64116	0	0.07469	2.12057	0	0	0	1.13663	0	0	0	2.64116	0	0	0.07469	0	0.18755	1.13663	0
Healthy	0.40714	0.28013	0.68097	0.02584	0.05957	0.00456	0	0.00678	0	0	0	0.00976	0.28013	0.0105	0	0.02584	0.01997	0	0	0.08371
Healthy	5.60286	0.19726	0.35797	0.2837	0.43148	0.14329	0.17875	0.11158	0	0	2.41062	0.86068	0.19726	0.29161	0.19254	0.2837	0	0	0	0
Healthy	21.7045	0.85549	3.68311	4.65973	0.46665	3.79291	0.64915	0.5795	0	0	2.1963	5.6824	0.85549	2.37613	0.2624	4.65973	0	0	0	0
D015179	6.32698	1.10149	0	0.71026	0.12435	0	0.22142	0	0	0	0	0.68082	1.10149	2.83381	0	0.71026	0	0	0	0
Healthy	0.51861	0.13561	0.14868	0.01228	0	0	0	0	0	0	0	0.06426	0.13561	0.00425	0	0.01228	0.11156	0.43633	0	0.38064
Healthy	4.29314	0.03017	0.23323	0.33867	0	0	0	0.09662	0	0	0	0.17702	0.03017	0.87265	0	0.33867	0.03569	0	0	0
Healthy	6.5334	0.3291	0	0.06136	0.0036	0	0	0	0.06952	0	0	0.14695	0.3291	0	0	0.06136	0	0	0.06952	0
Healthy	8.03705	0.40561	0	0.08017	0	0	0	0	0.08949	0	0	0.17457	0.40561	0	0	0.08017	0	0	0.08949	0
Healthy	12.2367	0.05507	0	0.27957	0.07222	0.17733	0.06815	0.03205	0	0	0	0.22845	0.05507	0.08798	0	0.27957	0	0	0	0
Healthy	3.55185	0	0.07736	0.08851	0	0.07619	0.00264	0.01057	0	0	0	0.00558	0	0.02841	0	0.08851	0.38392	0	0	0
Healthy	4.68188	0	0.03571	0.04586	0.0202	0	0.00389	0	0	0	0	0.4621	0	0	0	0.04586	0.05957	0	0	0
Healthy	4.42579	0.65934	0	0	0	0	0	0	0	0	0	0.08284	0.65934	0	0	0	0.02873	0	0	0
Healthy	0	0.04138	1.46902	0.11858	0	0.02334	0	0	0.0059	0	0	0.67689	0.04138	0.46926	0	0.11858	0.02799	0.00113	0.0059	0.02013
Healthy	6.63595	0.09799	0	0.0048	0	0	0	0	0.00265	0	0	0.00667	0.09799	0.12008	0	0.0048	0.17411	0.08828	0.00265	0.00553
D015179	1.15632	0.22222	0	0.17941	0.08049	0	0.61454	0	0	0	0	0.27796	0.22222	0	2.19898	0.17941	0	0	0	0.27011
Healthy	9.28592	1.01141	0	0	0	0	0	0	0.56096	0	0	0.03479	1.01141	0	0	0	0.04242	1.87455	0.56096	0
Healthy	24.6591	2.16324	3.88243	0.72437	0.49361	0.9074	0	0.28184	0	0.78156	0	1.66588	2.16324	0.57718	1.40591	0.72437	0	0	0	0
Healthy	16.0886	0.09151	0.00219	0.90537	0	1.51285	0	0	0	0	0	0.01181	0.09151	0.60249	0	0.90537	0	0.05149	0	0
Healthy	2.59441	0.79534	0.10638	0.66445	0.62703	0.68194	0.46258	0.29771	0	0	46.7432	1.953	0.79534	0.79118	0	0.66445	0	0	0	0
D015179	8.23773	0.23981	0.1889	0.02987	0.997	0.27714	0.22436	0.07916	0.00052	0	5.0729	0.30568	0.23981	0.02447	0	0.02987	0.0071	0.24223	0.00052	0
Healthy	7.91572	2.08235	0	0.29839	0.78451	0	0.06265	0.3148	0	0	6.74233	0.09344	2.08235	0.9126	1.52523	0.29839	0.00222	0	0	0
Healthy	4.06832	0.50451	0.07817	0.1194	0.27715	0.08105	0.00727	0.21873	0	0.03976	10.3598	0.03854	0.50451	0.13232	6.00307	0.1194	0	0	0	0
Healthy	1.13008	0.06154	0.96563	0.04908	0	0.01672	0	0	0.02914	0	0.03398	0.01505	0.06154	0.00178	0	0.04908	0.0042	0.00519	0.02914	0
Healthy	0.82616	0	1.24073	0.32589	0	0.07593	0	0	0	0	0	0.0062	0	0.15205	0	0.32589	0	0	0	0
Healthy	10.0244	10.72712	0	2.75113	5.67344	0.02256	0	0	0.00396	0	0	0.10502	10.72712	4.4287	0	2.75113	0	0.00485	0.00396	0.00163
D015179	2.61818	0.7146	1.68231	1.29226	2.13253	0.55681	1.19725	0.20861	0.124	0.21477	0	2.16735	0.7146	0.81741	0.99219	1.29226	0	0.00411	0.124	0.0103
Healthy	3.84259	0.39147	0.38018	0.23815	0.02105	0.04307	0	0	0	0	0	0.74578	0.39147	0	0	0.23815	0.01784	0	0	0.03156
Healthy	3.94491	1.36094	0.22602	0.38828	0.59005	0.13667	0	0.09934	0	0	1.16567	0.36996	1.36094	0.31153	0	0.38828	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	3.79106	0	0.02688	0.1208	0	0.02254	0.04133	0.023	0	0	0	0.1845	0	0	0	0.1208	0.20827	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	1.07413	1.07384	0	0	0	0	0	0	0.06906	0	0	0	1.07384	0	0	0	0.58962	0.38907	0.06906	0
Healthy	0.74249	1.09337	0.11605	0	0	0	0	0	0	0	0	0.01772	1.09337	0	0	0	0	0.02266	0	0
Healthy	0.81966	0.04741	0.571	0.0369	0	0.18785	0.16552	0	0	0	0	0.03468	0.04741	0	0	0.0369	0	0	0	0
Healthy	10.6545	0.58052	0.14202	0.57222	0.27043	0.16507	0.11937	0	0	0	0	2.18279	0.58052	0.9071	0	0.57222	0	0.02605	0	0
Healthy	2.10815	0.47482	0.01375	0.1772	0.15252	0.09942	0.02382	0.06872	0	0	40.4897	0.58787	0.47482	0.22621	0	0.1772	0	0	0	0
D015179	1.06471	1.18162	0	0.50491	0	0	0	0.29919	0	0	0	0.46104	1.18162	0	0	0.50491	0	0.3257	0	0
Healthy	2.37578	0.04264	0	0.03083	0.01423	0	0	0	0	0	0	0	0.04264	0.02999	0	0.03083	0.23778	0	0	0
D015179	0.80449	15.5924	0.72642	0.06004	0	0.22498	0	0	0.01044	0.00806	0	0.076	15.5924	0.66573	0	0.06004	0	0.36112	0.01044	0
Healthy	0.93393	0.00963	0.13383	0.00565	0.08845	0.06279	0.00918	0	0	0	0	0.26184	0.00963	0	0	0.00565	0	0	0	0
