group	Faecalibacterium	Enterocloster	Collinsella	Blautia_A	Bariatricus	Dorea	Eubacterium_I	Coprococcus_A	Muricomes	Lactococcus	Prevotella	Mediterraneibacter	Enterocloster	Anaerobutyricum	Phascolarctobacterium	Blautia_A	Parasutterella	Clostridium_Q	Muricomes	Anaerotruncus
Healthy	4.16833	0.39253	0	0.51418	0.39377	0.21734	0	0.04592	0	0	0	0.51791	0.39253	0.38612	0	0.51418	0	0	0	0
D015179	4.27857	0.13705	0	0.15968	0	0.97631	0.27016	0.04752	0.03818	0	0	0.64352	0.13705	0.10659	0	0.15968	0.08153	0.24748	0.03818	0
Healthy	1.37813	0.01091	0.26089	0.01853	0.19126	0.01941	0.07706	0	0.02503	0	0	0.63473	0.01091	0	0	0.01853	0	0.00717	0.02503	0
Healthy	0.104	0.02954	0	0	0	0	0	0	0	0	0	0.18375	0.02954	0	0	0	0	0	0	0
Healthy	16.9974	1.55685	0	0.17898	0.3946	0	0.03966	0.14979	0	0	7.51988	0.18315	1.55685	0.60987	0.95102	0.17898	0.03466	0	0	0
Healthy	0.01409	0.0327	0.17924	0	0	0.05558	0.02177	0	0	0	0	0.38314	0.0327	0	0	0	0	0	0	0
Healthy	7.26883	0.08619	0.10634	0.02254	0.01766	0	0	0	0.03618	0	0	0.08638	0.08619	0	0	0.02254	0.0053	0	0.03618	0
Healthy	9.1661	0.45565	0.77813	0.67351	0.59628	0.33807	0.3748	0.40173	0	0	0	2.27668	0.45565	2.63624	0	0.67351	0	0	0	0
Healthy	1.56594	0.37543	0	0.21306	0	0.1185	0.17891	0	0	0	0	0.26764	0.37543	0.39172	0	0.21306	0.02651	0	0	0
Healthy	3.96956	1.40431	0.17756	0.14745	1.13711	0.22719	0.16334	0.15979	0.00126	0.01419	7.57178	0.78118	1.40431	0.5258	0	0.14745	0.00049	0	0.00126	0.00291
Healthy	2.19965	0.04347	0	0.01903	0.02562	0	0	0	0	0	0	0.08432	0.04347	0.01832	0	0.01903	0.24449	0	0	0
Healthy	2.34996	6.97288	0.01147	0.15819	0	0	0	0	0.1241	0	0	3.0849	6.97288	0	0	0.15819	0.13314	1.86098	0.1241	0
Healthy	1.53507	0	0	0.062	0	0.02613	0	0	0	0	0	0.16887	0	0	0	0.062	0.28664	0	0	0.02459
Healthy	12.0554	0	0	0	0	0	0	0	0	0	0	7.84484	0	0	0	0	0	0	0	0
D015179	20.3323	2.52505	6.33712	0.30387	1.0668	0.93405	0	0	0	0	16.7603	1.33774	2.52505	1.25743	2.09071	0.30387	0	0	0	0
D015179	7.3837	0.94945	0	0.33834	0.20445	0	0.4521	0	0	0	0	0	0.94945	2.48231	0	0.33834	0	0	0	0
Healthy	0.7167	1.22999	0	0.87982	1.09109	0.70696	0	0	0	0	0	1.71807	1.22999	1.31544	0	0.87982	0.19093	0	0	0
Healthy	6.03194	0.43521	0.47409	1.1261	1.75458	0.94831	0.06512	0.08363	0	0	0	0.47368	0.43521	1.30449	0	1.1261	0.21492	0	0	0
Healthy	5.19481	0.92776	0.92443	0.33853	0.58108	0.18236	0.09488	0	0	0	6.59001	3.39869	0.92776	1.47576	0	0.33853	0	0	0	0.0029
Healthy	1.98686	1.30157	0.14535	0.24706	0.47115	0.06685	0.04296	0.12042	0	0.00408	0	2.54104	1.30157	0.3466	0	0.24706	0.51676	0	0	0
Healthy	7.30641	1.13971	0	0.32762	0.2878	0.01652	0.0645	0.13438	0	0	32.1127	0.12303	1.13971	0.6436	0.97972	0.32762	0.00708	0	0	0
Healthy	6.67136	1.5655	0.01127	1.56397	0.72954	0.89698	0.47035	0.58135	0.02244	0	0	0.57022	1.5655	2.64712	0	1.56397	0.01928	0	0.02244	0
Healthy	8.62661	0.23208	0	0.11537	0.09313	0.06334	0.11589	0.04046	0.01025	0	0.00112	0.01474	0.23208	0.11262	0	0.11537	0.56795	0.00783	0.01025	0.00452
Healthy	3.66668	0.38889	0.01945	0	0.00389	0.00555	0	0	0	0	0	0.4583	0.38889	0	0	0	0	0	0	0
Healthy	0	4.06556	3.23694	0	0	0	0	0	0	0	0	0	4.06556	0	0	0	0	0	0	0
D015179	0	2.48915	0	0.27994	0.43219	0.89364	0	0	0.78979	0	0	0.0478	2.48915	0	0	0.27994	0	0.60627	0.78979	0
Healthy	1.45241	2.09176	0.20942	0.53209	1.56065	0.38461	0.10797	0.15817	0	0.03821	0	1.36865	2.09176	0.64551	0	0.53209	0	0	0	0
Healthy	0	1.14623	0	0	0	0	0	0	0.96727	0	2.34671	0.36221	1.14623	0	0	0	0	0	0.96727	0
Healthy	4.12672	0.16354	0.22134	0.0061	0.07289	0	0	0	0	0	0	0.02636	0.16354	0.00275	0	0.0061	0.02751	0.04349	0	0
Healthy	1.50996	0	0	0.0582	0	0.00567	0	0	0	0	0	0.19351	0	0	0	0.0582	0.22611	0	0	0.06198
D015179	3.25142	2.2164	0.0981	0.76927	0.84653	1.04715	0.88727	0.5163	0.00031	0	0	0.05147	2.2164	2.82385	0	0.76927	0	0	0.00031	0
Healthy	1.71125	7.12962	0	1.98339	3.03667	0.01513	0	0	0	0	0.00458	0.05793	7.12962	3.95652	0	1.98339	0.00119	0.08438	0	0
Healthy	8.50513	1.17083	1.46701	0.83641	1.14248	0.24163	0.22295	0.46252	0	0	0	0.4437	1.17083	4.0038	0	0.83641	0.02591	0	0	0
Healthy	1.85576	0	0.10855	0.02625	0.56582	0	0.00794	0.01176	0	0	0	0.15606	0	0	0	0.02625	0.04277	0	0	0
Healthy	3.23863	0.05393	0.50292	0.7267	0.23759	0	0	0.00691	0	0	0	0.30192	0.05393	0.29391	0	0.7267	0	0	0	0
Healthy	5.27029	0.02499	0.17006	0.03888	0	0	0.05299	0	0	0	0	0.46767	0.02499	0	0	0.03888	0	0	0	0
Healthy	0.09191	0.19873	0	0.67222	0.99589	1.31684	0.11603	0.20687	0	0	0.04072	1.08844	0.19873	1.3494	0	0.67222	0.0185	0	0	0
Healthy	0.49479	0.09358	0.1649	0.00494	0.01822	0	0	0	0	0	0	0.18888	0.09358	0.008	0	0.00494	0.12662	0.43962	0	0.37188
Healthy	1.28385	0.11369	0	0.06843	0.20431	0	0.18381	0	0.02911	0	0	0.03487	0.11369	0	0	0.06843	0	0.15974	0.02911	0.11695
Healthy	43.822	0.86458	0.17727	0.0893	0.39263	0.02623	0.00286	0.07524	0	0	0	0.01038	0.86458	0.14278	0	0.0893	0	0.02184	0	0.00224
Healthy	8.43839	0.37583	0	0.03714	0.0293	0.03898	0	0	0.02894	0	0.02372	0.25318	0.37583	0.49343	0	0.03714	0.25117	0.44302	0.02894	0.03517
Healthy	0.1015	0.0993	1.35556	0.18899	0	0	0	0	0.03637	0	0	1.10308	0.0993	0	0	0.18899	0.00237	0.02706	0.03637	0
D015179	2.98634	0.5318	0.3615	0.10355	0.08518	0.39384	0.04176	0.29556	0.11863	0	2.12808	1.33422	0.5318	0.37185	0	0.10355	0	0.01337	0.11863	0.01637
Healthy	2.04645	0.09338	0.04026	0.0409	0.01986	0.00986	0.00147	0	0	0	0	0.09938	0.09338	0	0	0.0409	0.20873	0	0	0
D015179	8.87402	0.62415	0.2394	2.11922	0.56967	0.32485	0.84632	0.62461	0	0.13923	13.8616	0.07785	0.62415	0.01923	0	2.11922	0	0.03123	0	0
Healthy	0.66225	1.43637	0	0.14483	0	0.08541	0	0	0	0	0	0.94232	1.43637	0.79493	0	0.14483	0.05308	0.04115	0	0.09517
Healthy	0.98552	0.04499	0.80836	0.02843	0	0.20891	0.18139	0	0	0	0	0.03928	0.04499	0	0	0.02843	0	0	0	0
Healthy	3.63931	0	0.06791	0.10204	0	0.06069	0.02637	0	0	0	0	0.10655	0	0.01841	0	0.10204	0.47662	0	0	0
Healthy	1.97139	0.07194	0	0.19139	0	0.08492	0	0	0.00985	0	0	0.07595	0.07194	0.00574	0	0.19139	0.19376	0	0.00985	0
Healthy	5.24721	0.0279	0.31059	0.1733	3.76193	1.21449	0.64695	0	0.00306	0.06111	0	2.60922	0.0279	0.47481	0	0.1733	0.21194	0.01727	0.00306	0.034
D015179	0.19737	6.98127	0.44084	1.78521	0.02301	0.44787	0	0.33111	0.01496	0.06265	12.94619	1.42037	6.98127	0.75522	0.01261	1.78521	0	0.51735	0.01496	0.25311
Healthy	12.6811	2.56418	0	2.93288	1.58299	0	0.42081	0	0	0	0	4.17466	2.56418	2.21174	0	2.93288	0	0	0	0
Healthy	2.2177	0.92259	0	1.67704	1.92088	0.62437	0.34023	0.25414	0	0	0	6.03558	0.92259	3.80412	0	1.67704	0	0	0	0
Healthy	0	6.62147	0	0	0	0	0	0	0	0	0	0.16713	6.62147	0	0	0	0	0	0	0
Healthy	8.57489	0.03816	0.09724	0.1462	0	0.21024	0	0.0083	0	0	0.0651	0.36262	0.03816	0.57513	0	0.1462	0	0	0	0
Healthy	0.18522	0.24485	0.63296	0	0	0	0	0.00877	0	0	2.55348	0.03093	0.24485	0	0	0	0	0	0	0
Healthy	0.18011	0.03751	0	0	0	0	0	0	0.29645	0	0	0.04233	0.03751	0	0	0	0	0	0.29645	0
Healthy	0.11813	0	0	0.294	0.09733	0.36427	0.2591	0	0	0	0	2.41839	0	0.25763	0	0.294	0	0	0	0
D015179	13.9494	0.14628	0.05686	1.55138	0.0651	0	0.26278	0.25244	0	0	12.6806	3.63903	0.14628	0	0	1.55138	0	0	0	0
D015179	15.7352	0.24972	1.08475	1.51004	0.32179	0.2246	0	0	0	0	0	0.27069	0.24972	0.3205	0	1.51004	0	0	0	0
Healthy	4.07253	0	0	0.04108	0.06109	0.06768	0	0	0	0	0	0.27142	0	0	0	0.04108	0.00302	0	0	0
D015179	0.19123	0.13294	0.74219	0.13977	0.19574	0.51222	0.08777	0.13869	0.02891	0	1.53907	0.1139	0.13294	0.13693	0.46968	0.13977	0	0.00298	0.02891	0.03749
Healthy	0.0859	0.03852	0	0	0	0	0	0	0	0	0	0.13899	0.03852	0	0	0	0	0	0	0
Healthy	36.2884	0.60014	0.90307	0.76406	0.2575	0.66042	0	0.3169	0	0	32.89581	0.26053	0.60014	0.2518	2.67546	0.76406	0	0	0	0
Healthy	10.0431	1.66852	1.13015	0.93459	2.20229	0.16224	0	0	0.0189	0	0.10626	0.84424	1.66852	0.1666	0	0.93459	0.03417	0.03729	0.0189	0.01736
Healthy	3.44271	0.56503	0.15849	0.19162	0.44171	0.19523	0.05618	0.18727	0	0.02457	28.5141	0.60734	0.56503	0.57016	0	0.19162	0.04691	0	0	0
Healthy	1.56935	0.02341	0	0	0	0.02056	0	0	0	0	0	0.31468	0.02341	0	0	0	0.0969	0	0	0
Healthy	1.64555	0.02858	0.31588	0.00209	0.02404	0	0	0	0	0	0	0.27508	0.02858	0	0	0.00209	0.0375	0	0	0
Healthy	3.23501	0.06157	0.27714	0	0.08061	0	0	0	0	0	45.50041	0.30191	0.06157	0	0.84321	0	0	0	0	0
D015179	2.85543	3.46047	1.92053	3.06663	1.08457	2.4309	0	0.45552	0.0353	0	0.09454	0.10461	3.46047	0.01877	1.7093	3.06663	0	0	0.0353	0
D015179	1.63337	2.01425	0	0	0	0	0	0	0	0	2.03556	0.23625	2.01425	0	2.65363	0	0	0.27056	0	0
D015179	10.575	0.18201	0	0	0	0	0	0	0	0	0	0.77049	0.18201	0	0	0	0	0	0	0.09213
Healthy	1.96284	0.00391	0.18597	0.0327	0.01913	0.00467	0	0.00159	0	0	0	0.33273	0.00391	0.05711	0	0.0327	0.2951	0.00138	0	0.03126
Healthy	1.1805	0	0	0	0	0	0	0	0	0	4.66364	0	0	0	0	0	0	0	0	0
Healthy	3.53649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	4.2821	0.85862	0.32517	0.69762	0.88918	0.7736	0.54227	0.51911	0	0	44.8871	1.94388	0.85862	0.82906	0	0.69762	0	0.00782	0	0.06689
Healthy	6.61531	0.32366	0	0.02688	0.01002	0	0	0	0.05517	0	0	0.18276	0.32366	0	0	0.02688	0	0.00623	0.05517	0
Healthy	1.06456	0.10653	0.1548	0	0	0	0	0	0	0	0.38764	1.02903	0.10653	0	0	0	0.00451	0	0	0
Healthy	0.69095	0.32868	0	0.34248	0	0.06166	0	0	0	0	0	2.4194	0.32868	1.69655	0	0.34248	0.01915	0.01979	0	0
Healthy	3.41877	0	0	0.1082	1.49219	0.03309	0.03265	0.01506	0	0	0	0.73788	0	0	0	0.1082	1.25218	0	0	0
Healthy	4.72189	0	0	0.0601	0.04835	0	0	0	0	0	0	0.53888	0	0	0	0.0601	0.07184	0	0	0
D015179	4.39904	0.69556	0.94113	0.52246	0.21668	0.72161	0.25332	0.46294	0.12702	0.09387	0	0.5902	0.69556	0.08166	0	0.52246	0.07955	0	0.12702	0
Healthy	4.47586	0.00181	0.20199	0.1445	0.04339	0	0	0.01763	0	0	0	0.19514	0.00181	0.02474	0	0.1445	0.00862	0	0	0.03557
Healthy	10.1641	0.18467	0.10281	0.24407	0.24447	0.10177	0.07237	0.14758	0	0	0	0.34366	0.18467	0.15228	0	0.24407	0.01494	0	0	0
Healthy	5.17678	0.44336	0.03933	0.04077	0	0	0	0	0	0	0	0.07969	0.44336	0.01228	0	0.04077	0.01042	0.02534	0	0
Healthy	6.73902	0	0	0	0	0	0	0	0	0	0	2.89998	0	0	0	0	0	0	0	0
Healthy	0.78783	5.33576	0.0063	3.40832	0	0.03777	0.10988	0.08467	0.00383	0.16959	0	4.28308	5.33576	2.01109	0	3.40832	0.05784	0	0.00383	0.03634
Healthy	2.33311	0.82698	1.44061	0.40714	0.07582	0.1514	0.01978	0	0	0	0	0.07035	0.82698	0.20417	0	0.40714	0.00192	0	0	0.05712
Healthy	11.8756	1.04486	0	0.36596	0.92045	0	0.14562	0.21235	0	0	4.19135	0.04833	1.04486	0.74574	1.06722	0.36596	0.00544	0	0	0
Healthy	6.06053	0.05169	1.64775	0.20753	0.327	0.44564	0.67856	0.19983	0	0	2.78185	7.83513	0.05169	0.26854	0	0.20753	0	0	0	0
Healthy	0.47812	0.10718	0.15036	0.01328	0.00666	0	0	0	0	0	0	0.0471	0.10718	0.00398	0	0.01328	0.09861	0.46799	0	0.37966
Healthy	12.9227	0.81968	0	0.77715	0.48205	0	0.9988	0	0	0	0	0.69387	0.81968	0	1.11814	0.77715	0	0	0	0
Healthy	0.83016	0.00378	1.24522	0.35524	0	0.12032	0	0	0.03799	0	0	0.01401	0.00378	0.1355	0	0.35524	0	0.04312	0.03799	0.01806
Healthy	1.52976	0	0	0.06075	0	0.01962	0	0	0	0	0	0.18138	0	0	0	0.06075	0.19925	0	0	0.03861
Healthy	12.5879	0.40983	0	0.32686	0.08314	0	0	0	0	0	0	0.42563	0.40983	0.08588	0	0.32686	0	0	0	0
Healthy	19.2954	0.04198	0.02613	0.02375	0	0.05139	0	0	0	0	34.1916	0.09502	0.04198	0.06794	0	0.02375	0.01387	0	0	0
Healthy	7.57085	0.12368	0.1009	0.03069	0.03039	0.01715	0	0	0.05749	0	0	0.08237	0.12368	0	0	0.03069	0.01643	0	0.05749	0
Healthy	2.40959	0.35883	0.00701	0.19265	0.15882	0.08165	0.01437	0.08619	0	0	41.125	1.08469	0.35883	0.21933	0	0.19265	0	0	0	0
Healthy	6.50107	0.29478	0	0.02228	0	0	0	0	0.08328	0	0	0.17432	0.29478	0	0	0.02228	0	0	0.08328	0
D015179	0	1.89969	0	0.09528	0.2671	0.68379	0	0	0.76628	0	0	0.09544	1.89969	0	0	0.09528	0	0.82503	0.76628	0
Healthy	5.31706	0.16647	0.07164	0.14077	0.05066	0.07429	0.02047	0.07988	0	0	0.01619	0.21025	0.16647	0.22971	0	0.14077	0.00093	0	0	0
Healthy	5.96816	0.82434	0	1.20039	1.44128	0.18615	0.15597	0.09345	0	0	0	0.74627	0.82434	0.44405	0.09042	1.20039	0	0	0	0
D015179	0.8256	0.8277	0.5771	1.49182	0.32337	0.51468	0.34565	0.25235	0	0	0.9192	2.51127	0.8277	0.16537	0	1.49182	0	0	0	0
D015179	3.47636	1.87735	0.73255	0.40225	0.97793	0.29116	1.46777	0	0.09284	0	0	1.01469	1.87735	0	0	0.40225	0	0	0.09284	0
Healthy	1.90704	0.01818	0.1867	0.0201	0.01739	0	0	0	0	0	0	0.15219	0.01818	0.04075	0	0.0201	0.21907	0.00146	0	0.02258
Healthy	1.57594	0.89628	0.12107	0.16557	0	0.31769	0.02173	0	0.01215	0	0	0.35464	0.89628	0.5944	0	0.16557	0	0	0.01215	0
Healthy	1.46801	0.66673	0	0	0	0	0	0	0	0	67.6069	0.11277	0.66673	0	0	0	0	0.04188	0	0
Healthy	1.00764	1.06634	0	0	0	0	0	0	0.06243	0	0	0	1.06634	0	0	0	0.49721	0.41043	0.06243	0
Healthy	5.67625	0	0	0.46618	0	0	0	0	0	0	0	3.96986	0	0	0	0.46618	0	0	0	0
Healthy	5.80833	0.52456	0.43092	0.58309	0.43757	0.13348	0.10026	0.26148	0.0092	0	1.60786	0.02143	0.52456	0.81915	1.7144	0.58309	0.00753	0	0.0092	0.01026
Healthy	0.00169	0	0	0	0	0	0	0	0	0	0.01499	0	0	0	0	0	0	0	0	0
D015179	0.81059	15.46586	0.63919	0.05866	0	0.22517	0	0	0.00905	0.00559	0	0.06613	15.46586	0.68515	0	0.05866	0	0.40497	0.00905	0
Healthy	4.01519	0.32056	0.39282	0.17634	0.05841	0.03252	0	0	0	0	0	0.08771	0.32056	0	0	0.17634	0.03476	0	0	0.00405
Healthy	7.97302	1.2181	0.94186	0.75131	3.69459	0.22933	0	0	0	0	0	1.92096	1.2181	1.61594	0	0.75131	0	0	0	0
Healthy	3.35185	6.13741	0	0.03847	0	0.04536	0	0	0.00569	0	0	0.02076	6.13741	0	0	0.03847	0.04948	0.03366	0.00569	0
Healthy	3.29087	6.01902	0	0.02449	0.0058	0.04788	0	0	0.00683	0	0	0.02885	6.01902	0	0	0.02449	0.05193	0.0352	0.00683	0.01889
Healthy	0.00017	0.01532	0	0	0	0	0	0	0	0	0.00072	0.3375	0.01532	0	0	0	0	0	0	0.06893
Healthy	8.15685	0.21907	2.01207	1.30421	0.91147	0.21421	0	0.07093	0.07041	0.01689	0	0.0784	0.21907	1.89756	0	1.30421	0.00079	0	0.07041	0.03255
Healthy	6.51407	0.31406	0	0.07976	0.00988	0	0	0	0.08388	0	0	0.19321	0.31406	0	0	0.07976	0	0	0.08388	0
Healthy	3.31277	0	0	0.09244	1.40066	0.03647	0.01494	0.00388	0	0	0	0.21852	0	0	0	0.09244	1.29227	0	0	0
Healthy	3.44359	0.07374	0.27018	0.00434	0.06882	0	0	0	0	0	44.90344	0.27388	0.07374	0	0.95756	0.00434	0	0	0	0
Healthy	4.32336	0.18406	0.22329	0.02653	0.07435	0	0	0	0	0	0	0.03812	0.18406	0.00137	0	0.02653	0.03336	0.04298	0	0
Healthy	4.22282	0.39424	0.42568	2.67305	0.51251	0.13557	0.31379	0.22481	0	0.03745	0	0.512	0.39424	0.62883	0	2.67305	0	0	0	0
Healthy	7.52308	2.49606	0	2.30008	2.91205	0.01598	0	0	0	0	0	0.04533	2.49606	2.14754	0	2.30008	0	0	0	0
Healthy	8.73022	0	0	0.48299	0.20864	0.04444	0	0	0	0	0	5.24578	0	0.14946	1.60578	0.48299	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	11.4936	0	0	0	0	0	0	0	0
Healthy	0.89366	0.04144	0.82159	0.03628	0.00253	0.19784	0.2092	0	0.00577	0	0	0.04463	0.04144	0	0	0.03628	0	0	0.00577	0
Healthy	1.13235	0.04063	0.92412	0.05225	0	0.02261	0	0	0.01353	0	0.04468	0.07111	0.04063	0	0	0.05225	0.00276	0.00639	0.01353	0.0055
Healthy	2.50903	0	0	0	0	0	0	0	0	0	5.01058	0.27648	0	0	0	0	0	0	0	0
Healthy	1.65719	0.91066	10.1857	2.21805	0.56032	4.63614	0	0.06606	0	12.30144	0.91511	1.83397	0.91066	7.20413	1.88122	2.21805	0	0	0	0
D015179	4.592	0.80954	0.91814	0.51647	0.17284	0.76825	0.2842	0.49232	0.12045	0.09672	0	0.6395	0.80954	0.06645	0	0.51647	0.00356	0	0.12045	0
Healthy	17.6948	0	1.54424	0.01392	0.03493	0	0	0.01254	0	0	0	0	0	0	0	0.01392	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	11.3859	0	0	0	0	0	0	0	0	0
D015179	0.87751	1.77959	0.01893	0.23956	0.25438	0.07355	0.80943	0.04757	0.01683	0	0.03242	0.48903	1.77959	0.00287	2.30389	0.23956	0.00811	0.00578	0.01683	0.19798
Healthy	7.32277	0	0.03842	0.28034	0	0	0.04915	0.05097	0	0	0	0.31199	0	0.48971	0	0.28034	0.01583	0	0	0
Healthy	0.42489	0.05359	0.7365	0.03091	0	0.00941	0	0.17018	0.42394	0	0	2.11832	0.05359	0	0	0.03091	0.09379	0.07067	0.42394	0
Healthy	4.03048	0	0.49429	0.05782	0.21116	0.04852	0	0	0	0	0	0.18522	0	0	0	0.05782	0.00471	0	0	0
Healthy	9.03523	0.58096	0	0.22132	0.17399	0.15365	0.083	0.13214	0.0377	0	0.09998	0.99496	0.58096	0.72357	0	0.22132	0.90934	0	0.0377	0
Healthy	2.54791	2.50732	0	0	0	0	0	0	0.11957	0	0	1.07531	2.50732	0	0	0	0.09116	0.15114	0.11957	0
Healthy	10.7144	0	1.0425	1.25493	2.31611	0.44661	0.87899	0	0	0	0	0.18316	0	1.20764	0	1.25493	0.00596	0.00035	0	0
Healthy	38.2226	0.66394	0.25647	0.58059	0.30616	0.12463	0.18735	0.26502	0	0	0	2.49479	0.66394	0.46954	0	0.58059	0.00366	0	0	0
Healthy	7.91341	0.38117	0	0.06063	0.00774	0	0	0	0.06715	0	0	0.20534	0.38117	0	0	0.06063	0	0	0.06715	0
Healthy	3.97903	0.12037	0.01273	0.1896	0.13546	0.00767	0.02901	0.12987	0	0	0	0.44472	0.12037	0.24154	0	0.1896	0.0698	0	0	0
Healthy	2.98065	0	1.22308	0.28555	0	0.36259	0.09466	0	0	0	0	0.13769	0	0.69629	2.27339	0.28555	0	0	0	0
Healthy	5.18037	0.08012	0	0.16649	0.09593	0.02393	0.03571	0.00761	0	0	0	0.09294	0.08012	0.01504	3.4264	0.16649	0	0	0	0
Healthy	0.04351	2.24803	0	0.05943	0	0	0	0	0.03175	0	0.01933	0.02254	2.24803	0	0	0.05943	0.21131	0.02477	0.03175	0
Healthy	4.53971	0.26739	0.15854	0.31594	0.41414	0.17051	0.26662	0	0.00949	0	0.02996	0.34319	0.26739	0.61552	0	0.31594	0	0.39711	0.00949	0
Healthy	20.6505	2.77305	1.02178	0.87095	1.56965	0.19347	0	0	0	0	6.77113	0	2.77305	1.21709	0	0.87095	0	0	0	0
Healthy	6.70341	0.48328	0.29192	0.07195	1.09262	0.14297	0	0.20564	0	0	0.00156	0.38488	0.48328	0.2175	6.51839	0.07195	0.01166	0	0	0
Healthy	1.62073	0	0	0	0	0	0	0	0	0	0	0.15826	0	0	0	0	0.11865	0	0	0
Healthy	0.21362	4.4627	0	0	0	0	0	0	2.65471	0	0	0.08944	4.4627	0	0	0	0	2.8144	2.65471	0
Healthy	2.35233	0.24019	0.37188	0.10387	0.18429	0.0464	0	0.01709	0	0	10.55073	0.48594	0.24019	0.06487	2.53604	0.10387	0	0.00198	0	0
Healthy	3.42408	1.76572	0	0	0.00328	0	0	0	0	0	7.05047	1.87865	1.76572	0	0.9599	0	0.00225	0	0	0
Healthy	0.58674	0.05183	1.08593	0.00672	2.0478	0	0	0	0	0	0	4.29913	0.05183	0.03327	0	0.00672	0.01512	0	0	0
D015179	11.5764	0.09356	0.12562	0	0.51728	0.02934	0	0	0	0	4.18115	0.14541	0.09356	0	0	0	0	0.11634	0	0
Healthy	21.1607	0.5509	0.78563	0.24075	0.58929	0.44124	0.36417	0.13347	0	0	11.40241	0.73659	0.5509	0.06031	8.08883	0.24075	0	0	0	0
D015179	0.65101	0.21992	0.66612	0.28717	0.11526	0.05417	0	0	2.52064	0	0	0.1925	0.21992	0	0	0.28717	0	0.0313	2.52064	0.01438
Healthy	0	0	0	0	0	0	0	0	0	0	0	0.22869	0	0	0	0	0	0	0	0
Healthy	7.45658	1.55214	0	0.49533	0.82204	0	0.09945	0.24302	0	0	4.03348	0.12846	1.55214	0.89359	1.13945	0.49533	0.06362	0	0	0
D015179	26.3607	0.75635	0.49802	0.5964	1.57065	1.18027	0.85647	0.50256	0	0	8.94066	0.05088	0.75635	0.27625	0	0.5964	0	0	0	0
Healthy	8.58237	1.21705	1.76288	0.25937	0	0.31798	0	0	0.04337	0	0	0.54637	1.21705	2.1455	0	0.25937	0.02833	0.00438	0.04337	0
Healthy	0.42426	0.13399	0	0.03408	0.13483	0.08427	0.04794	0.01274	0	0	33.8625	0.57036	0.13399	0.09494	3.17535	0.03408	0.24998	0	0	0
Healthy	26.121	0.12011	0.89999	0.14399	0.13181	0.06787	0.13408	0.12056	0	0	0.11546	0.14104	0.12011	0.10134	0	0.14399	0	0	0	0
Healthy	3.24652	5.91315	0	0.03879	0.00947	0.06041	0	0	0.01016	0	0	0.01859	5.91315	0	0	0.03879	0.05471	0.04333	0.01016	0.00894
Healthy	3.22054	6.2094	0	0	0	0	0	0	0	0	0	0.0065	6.2094	0	0	0	0.03036	0	0	0
Healthy	9.97329	0.01695	0.04032	0.08497	0.04898	0.02618	0.02851	0.09428	0	0	56.7436	0.14027	0.01695	0.01208	0	0.08497	0.09149	0.00569	0	0
Healthy	15.3799	0.887	0	0.01013	0.00059	0.00102	0.0338	0	0	0	0.09845	0.08427	0.887	0.00491	0	0.01013	0.03544	0	0	0
Healthy	1.85571	0.02514	0.47648	0.01654	0	0	0	0	0	0	0	0.40573	0.02514	0.02214	0	0.01654	0.00502	0	0	0.00857
D015179	1.94859	7.23071	0.48238	0.50019	1.33456	0.69547	1.72293	0	0.13949	0	0	0.15201	7.23071	0.41253	0	0.50019	0	0.00754	0.13949	0.00289
Healthy	4.9223	0.1178	0.23259	0.26913	0.49351	0.11979	0.04567	0.05246	0	0	0	0.0469	0.1178	0.50495	0	0.26913	0	0	0	0
Healthy	29.9608	0.17316	4.03141	0.41087	0.12964	0.30426	0.31189	0.36277	0	0	23.1926	0.05509	0.17316	0.07043	16.455	0.41087	0	0	0	0
Healthy	6.33361	0.28505	0.05517	0.06157	0.15398	0.03175	0	0	0	0	0	0.2077	0.28505	0.1051	0	0.06157	0.12062	0	0	0
D015179	16.9126	0	0	0.25766	0	0.12565	0	0.22661	0	0	0	0.45721	0	0.13152	0	0.25766	0	0	0	0
D015179	2.25524	7.21897	1.3816	1.07295	1.60482	1.16745	0.91303	0.59577	0	0	0	0.44819	7.21897	0.34379	3.91436	1.07295	0	0.10562	0	0.23541
Healthy	9.26578	1.60881	1.66854	0.81892	1.70119	0.32353	0	0.35362	0	0	1.88702	1.06205	1.60881	1.6768	0	0.81892	0	0	0	0
Healthy	10.7155	1.13828	0.406	0.11198	0.46676	0.01638	0	0	0.16358	0	0	0.12706	1.13828	0.21882	0	0.11198	1.5232	0.27233	0.16358	0.02061
Healthy	4.99013	0.23235	0.49985	0.09891	0.0365	0.0423	0	0	0	0.0393	0	0	0.23235	0.02564	0	0.09891	0.00202	0	0	0.03859
Healthy	8.22775	0.70815	0.10993	0.06987	0.09088	0.04842	0.02611	0	0.00859	0	0.14019	0.06029	0.70815	0.10887	0	0.06987	0.00269	0.0046	0.00859	0.01756
Healthy	8.78987	0.45564	2.56278	0.74526	0.40087	0.45561	0.06306	0	0	0	0	0.17697	0.45564	2.00066	0	0.74526	0	0	0	0
Healthy	1.35626	0.67129	0	0	0	0	0	0	0	0	67.7502	0	0.67129	0	0	0	0	0.03168	0	0
