c	Clostridia	Methanobacteria	Actinomycetia	Gammaproteobacteria	Bacilli	Coriobacteriia	Desulfovibrionia
Healthy	0.834881459911079	-5	-1.78251605578609	0.99950331749903	-0.738784727731408	0.157293537030964	-0.154722075245364
Healthy	1.14248551342664	-5	-5	-1.28075160155205	-5	-5	-5
Healthy	0.905775918547835	-5	-5	-5	-5	-5	-5
Healthy	0.506005509528048	-5	0.256147450368233	-5	-5	-5	-5
Healthy	1.42200957240051	-5	-0.0907114758377493	0.916401830084926	-0.157278457372331	-5	-5
Healthy	0.869094954125148	-5	-0.419576861588155	-0.796070062755374	-0.493494967595128	-5	-5
Healthy	1.19020951815055	-5	-0.301507982535077	0.445532593261974	-0.983091956027925	-0.249483891283201	-1.35076252765039
Healthy	1.46509466393064	-5	-0.0859743483036714	-1.03207779326948	-1.13288622016802	0.113150877468074	-3.2839966563652
Healthy	1.45921979121162	-5	-5	-1.96617430604669	-1.71579493229821	-1.91470942176993	-0.744076541267099
Healthy	1.52809127080218	-5	1.34327168575716	0.254888708775947	-1.07083661679494	0.146202479780109	-5
Healthy	1.34464707672557	-0.593527949534324	-0.142643376767697	0.253345275820191	-0.119826892692204	-0.576737737901385	-1.83564714421556
Healthy	1.4756432996228	-5	1.07310257186231	-5	1.1269644402306	-5	-5
Healthy	1.01454111895657	-5	-5	-0.85873840937791	-1.79425445905734	-0.434990895787404	-1.14697138528701
Healthy	1.81661503022113	-5	0.935873389978904	1.05839185658905	0.122641769625536	-0.0813721327862228	-5
Healthy	0.865013906964962	-5	-0.639539128949822	0.203449022518777	-0.755747626027527	-5	-1.01269132626882
Healthy	0.621185632512497	-5	1.10762472634163	0.444673910810744	-0.160232938160214	0.559244509416333	-5
Healthy	1.77431582986575	0.218461978766149	0.0604674143361238	-0.726050107449991	0.439799901220617	-0.810650075660802	-5
Healthy	0.965797447276839	0.90543588720795	-0.768046430801019	0.0757512871934784	-0.325074592106928	-1.23912536194781	-0.210553262965207
Healthy	1.53574792951024	-5	0.490921572614853	-0.72268882082597	-0.129479049987236	-0.767664722914346	-5
Healthy	1.42429183666506	-5	0.393975096445539	1.22703810241191	0.457819850233151	-0.300812902691751	-5
Healthy	1.67799618346722	-5	-0.48384819086776	-1.12871902714203	-0.914780798955058	0.409194025170417	-5
Healthy	1.24294423094552	-5	-5	-0.738404101517821	-1.64474009447262	-5	-0.620730750526353
Healthy	1.39068469769986	-0.0989123766000521	1.10904437714116	1.37284206856713	0.723240523942585	-0.4678318683063	-1.34208406317004
Healthy	1.74657558857697	-5	0.436447310914848	0.360097118092937	0.357746230812359	-0.139763839938269	-5
Healthy	0.980759885403075	-0.265824467335679	-5	0.815012931185225	-0.686533527341765	-5	-0.142926951366022
Healthy	1.51828844302872	-5	0.99456129217834	-0.922268820347608	-0.304833651694131	-0.856080061614163	-5
Healthy	1.2530225910835	-5	-5	-0.370671966205419	-5	-5	-5
Healthy	1.49457893733627	-5	-5	-0.940058111938045	-1.68423950933427	-0.863279432843593	-0.606021397348228
Healthy	1.23249066332249	-5	-0.460986665060487	-5	-0.343039817257151	-5	-5
