c	Clostridia	Bacilli	Coriobacteriia	Desulfovibrionia
Healthy	0.834881459911079	-0.738784727731408	0.157293537030964	-0.154722075245364
Healthy	1.14248551342664	-5	-5	-5
Healthy	0.905775918547835	-5	-5	-5
Healthy	0.506005509528048	-5	-5	-5
Healthy	1.42200957240051	-0.157278457372331	-5	-5
Healthy	0.869094954125148	-0.493494967595128	-5	-5
Healthy	1.19020951815055	-0.983091956027925	-0.249483891283201	-1.35076252765039
Healthy	1.46509466393064	-1.13288622016802	0.113150877468074	-3.2839966563652
Healthy	1.45921979121162	-1.71579493229821	-1.91470942176993	-0.744076541267099
Healthy	1.52809127080218	-1.07083661679494	0.146202479780109	-5
Healthy	1.34464707672557	-0.119826892692204	-0.576737737901385	-1.83564714421556
Healthy	1.4756432996228	1.1269644402306	-5	-5
Healthy	1.01454111895657	-1.79425445905734	-0.434990895787404	-1.14697138528701
Healthy	1.81661503022113	0.122641769625536	-0.0813721327862228	-5
Healthy	0.865013906964962	-0.755747626027527	-5	-1.01269132626882
Healthy	0.621185632512497	-0.160232938160214	0.559244509416333	-5
Healthy	1.77431582986575	0.439799901220617	-0.810650075660802	-5
Healthy	0.965797447276839	-0.325074592106928	-1.23912536194781	-0.210553262965207
Healthy	1.53574792951024	-0.129479049987236	-0.767664722914346	-5
Healthy	1.42429183666506	0.457819850233151	-0.300812902691751	-5
Healthy	1.67799618346722	-0.914780798955058	0.409194025170417	-5
Healthy	1.24294423094552	-1.64474009447262	-5	-0.620730750526353
Healthy	1.39068469769986	0.723240523942585	-0.4678318683063	-1.34208406317004
Healthy	1.74657558857697	0.357746230812359	-0.139763839938269	-5
Healthy	0.980759885403075	-0.686533527341765	-5	-0.142926951366022
Healthy	1.51828844302872	-0.304833651694131	-0.856080061614163	-5
Healthy	1.2530225910835	-5	-5	-5
Healthy	1.49457893733627	-1.68423950933427	-0.863279432843593	-0.606021397348228
Healthy	1.23249066332249	-0.343039817257151	-5	-5
Healthy	1.45331895172898	0.213326465927919	-1.02447628703967	-1.10941133229451
Healthy	1.6692777272002	-0.74816718137136	-0.0468639369858433	-5
Healthy	1.41584323663477	-2.57348873863542	-0.341330501793832	-1.12644690648638
Healthy	1.14208867249843	-1.43004118190341	-0.0893435844122668	-0.986109939671561
Healthy	1.34703771974518	-0.885355661097721	0.163846875794205	-1.09642170633695
Healthy	1.31590278328254	-0.529736553034922	0.759851342542993	-1.81958736716168
Healthy	1.15252805770336	-1.75300930075845	-0.683903790324869	-0.812310106474816
Healthy	1.41352674519155	-0.235375602149019	-1.06068046892176	-1.03123695180275
Healthy	1.49291480841852	0.0460149508590078	-0.423336216585005	-5
Healthy	1.24379901006385	-0.0923522065996969	-0.0285803382281341	-2.91721462968355
Healthy	1.36879806566854	-1.03607057797344	0.234745000628051	-1.23121395309199
Healthy	0.821560034071882	-0.787785752580059	-0.844998163768747	-1.10325338439259
Healthy	-0.476006549684386	0.544609953795997	-0.920782564253433	-0.879919865870547
Healthy	1.40206921838821	0.0811419957201863	-5	-1.05276239212933
Healthy	0.409082289950506	-0.612450012609767	-0.81121208736253	-2.59859945921846
Healthy	1.55513678720214	-0.844208647642382	-1.78727984558216	-1.43168091490489
Healthy	0.995212978021115	-0.564028293600659	-5	-0.183427303973897
Healthy	0.767879087701276	-5	-0.991357252434715	-1.24123945609002
Healthy	1.40436788267485	-5	-1.15851539066461	-1.57528166266843
Healthy	1.2300635056576	-0.845697780315335	-5	-5
Healthy	0.883333177521008	-0.989530430203608	-5	-1.0073581301216
Healthy	1.83420763729357	-0.938698343793955	-5	-5
Healthy	0.835315711892788	-0.849304948857286	-0.719763190390311	-0.998699066979582
Healthy	1.39121518967295	1.2620379575553	0.451102996833693	-5
Healthy	1.28459404298254	0.335205073740825	0.239269440429388	-1.43937612545007
Healthy	0.865290568604777	-0.617982957425132	-5	-5
Healthy	0.73434690347996	-1.01295971302073	-0.500381640299993	-0.69216179584344
Healthy	1.07126582915093	-0.654998961821958	-5	-5
Healthy	1.38189538704128	-1.85047298624565	-0.674217602484195	-1.03428102975578
Healthy	1.14788152240164	-0.498803757972911	-2.43297363384094	-5
Healthy	1.60449356953884	-0.201985035648513	-0.690433704106227	-1.17947015147648
Healthy	1.52805960109978	0.376981866455769	0.045334716316743	-0.548014111051091
Healthy	1.33111923301633	-5	-0.35269528819389	-5
Healthy	1.24428503948943	-0.703290943824397	-5	-1.70929775671215
Healthy	0.998936849760302	-5	-5	-5
Healthy	0.934940600473388	-1.19348086591929	-0.502144659868822	-1.35872424276809
Healthy	1.20670501205503	-5	-0.63520519282589	-0.488584592791225
Healthy	0.924075016220443	-2.53461714855158	-5	-2.14146280243036
Healthy	1.34583072467652	0.390341518926754	0.00338297259828993	-1.04793440981495
Healthy	0.857495929293535	-0.447623844747437	-0.160239219038679	-0.747244028911427
Healthy	1.71085495437172	-1.57121748850305	-0.386433001228715	-0.829591588274682
Healthy	1.92861657958856	0.485269866168583	0.566215868865457	-5
Healthy	0.420922339593397	-0.614500972847943	-0.827718238544999	-5
Healthy	1.3854107076947	-0.312506711255048	-0.632196967250993	-5
Healthy	1.07077166602148	-1.7680209731685	-0.291324207273463	-5
Healthy	1.23613552968257	-1.77806440017199	-0.133411418224968	-5
Healthy	1.57366723433078	-1.67964596718233	-1.4386600585411	-5
Healthy	1.44068479603106	-1.26656197290894	-1.1114274031424	-0.258422985219577
Healthy	1.01115709631296	-0.237839297913818	-1.44708854978349	-5
Healthy	1.03464409575721	-5	-0.833066905128846	0.209152951593855
Healthy	0.720720628024159	-0.869827111107464	0.169395196975156	-5
Healthy	1.45599459811076	-0.526542227184554	-1.98171569157347	-5
Healthy	1.48797178851542	-5	-5	-5
Healthy	1.74857987849733	1.08418899343258	0.58910475277915	-5
Healthy	1.63908099170895	0.0754119076576232	-0.662820374590166	-5
Healthy	1.33484102540248	-5	-0.973099191109745	-5
Healthy	1.3597381818911	-2.70774392864352	-5	-1.3763372926438
Healthy	1.61706736835744	-0.153743320221921	-1.10690433390377	-1.49039429538844
Healthy	0.642475402199867	-0.465237994969973	-0.0108217012429983	-0.394608750110711
Healthy	0.903364048891955	-0.0678104461845136	0.0936807835974929	-0.093761957868654
Healthy	1.56021985014056	-0.0862603017850711	-1.07644514193245	-5
D003922	1.47468135129153	0.572469635778938	-0.757707095017069	-0.832830409591369
Healthy	1.19586009384911	-1.63413778459744	-0.41999931041096	-1.03198428600636
Healthy	1.26322169366765	0.102519458368337	-0.645833914968581	-0.525710873834504
Healthy	-3.02227639471115	-0.640297291725886	-5	-5
Healthy	1.40732273783472	-0.793470948317269	-0.749604396942884	-0.791881259261723
Healthy	-0.560398916165654	0.559402646841045	-2.65757731917779	-5
Healthy	0.4591194599369	-5	-5	-5
Healthy	0.525187387787583	-5	-0.935317433771488	-1.497163361379
Healthy	0.723788859050945	-0.601625913848644	-0.243356285962926	-1.94846160948467
Healthy	1.379915458851	-0.97802554488994	-0.829591588274682	-0.677801386448108
Healthy	1.45827727272622	-2.35457773065091	-1.86138156610051	-5
Healthy	1.01247361443207	-2.2572748686953	-2.64397414280688	-1.12592425477697
Healthy	0.488405457367657	-1.26560025747943	-0.873414072045662	-5
Healthy	1.6775069439896	-1.14721513131945	-0.531327808853853	-1.24703013497092
Healthy	1.66913940664896	1.051093840473	-5	-5
Healthy	1.50651274410758	0.582984408651994	-0.569199575375819	-1.75870261289001
Healthy	1.82704989750399	0.0569048513364726	-0.758602958350354	-1.8153085691824
Healthy	1.87591343904048	-5	-5	-5
Healthy	0.887815275486838	-1.13153190097901	-0.613073193204431	-0.504608316733061
Healthy	0.994225179864961	-0.522227791650743	-0.199152378124986	0.176233105419458
Healthy	1.3453164744199	0.271353622102484	-0.363903445843243	-5
Healthy	1.71787046537739	0.376482058819104	0.39167242839155	-2.44855000202712
Healthy	1.5841822493836	-0.0564411855707237	-0.729344451047015	-1.9515581964496
Healthy	1.60943496080477	-5	-0.475292388205987	-5
Healthy	1.42360430573151	0.416265954074958	-5	-5
Healthy	1.61380631605831	1.146950244924	0.575643845661616	-5
Healthy	1.54674409485113	0.215629633457334	-1.40837896178668	-5
Healthy	1.49694057445299	-0.536584848478778	-0.871213141357402	-5
Healthy	0.822281216656299	-0.26085504067402	-0.146478218173163	-0.177773059405061
Healthy	0.962872011646389	1.32789385998954	0.356274500903909	-5
Healthy	1.26968452668662	-0.747316838067802	-0.92786043676026	-1.15620680167409
Healthy	1.1086857570507	-1.61834351741421	0.0330657171185611	-2.12090412049993
Healthy	1.54941111098063	0.70645576145229	0.636777663647943	-5
Healthy	0.806771975129058	-0.867996607013368	0.130005510862396	-0.341931337516564
Healthy	0.89347657602406	-1.16304326294045	-0.547186591322146	-0.470454157138276
Healthy	1.42169044813617	-0.0665886443976464	-0.0788599869822159	-2.90308998699194
Healthy	0.516286756742558	-1.64820369310298	-2.63078414258986	-5
Healthy	1.04352810361786	-0.758055266755733	-0.149390519078651	-0.960942981966556
Healthy	1.62673639063625	0.716771865592201	-1.22577509513108	-5
Healthy	1.74560717886567	-5	0.233549419743861	-5
Healthy	1.61067634238685	0.292838433016156	-5	-5
Healthy	1.21357804935372	-1.33236029394359	-0.62845190731615	-1.29713882942707
