group	Bacteroidaceae	Ruminococcaceae	Enterobacteriaceae	Burkholderiaceae	Coriobacteriaceae	Desulfovibrionaceae	Micrococcaceae		Lachnospiraceae	Tannerellaceae	Acutalibacteraceae	Barnesiellaceae	Methanobacteriaceae	Streptococcaceae	Coriobacteriaceae	Oscillospiraceae	Desulfovibrionaceae	Eggerthellaceae
Healthy	35.65422	3.9338	0.09665	2.12136	0.08046	0.09305	0		21.81106	6.40451	0.14072	2.61653	0.07048	0.56085	0.08046	0.02795	0.09305	0.00649
Healthy	34.30152	11.17958	0.10061	0.14328	0.33622	0	0		19.16726	1.44495	0.6487	1.20157	0	1.04933	0.33622	0.08893	0	0.04105
Healthy	28.09092	4.02687	0.00903	0.02565	0.91269	0.0012	0		9.33161	17.6543	3.93134	0	0	0.01657	0.91269	0.24086	0.0012	0.02361
Healthy	39.23273	4.47674	0.0092	0	1.43581	0.05871	0		13.53386	3.48193	4.96347	3.70146	0.52921	0.08838	1.43581	0.38997	0.05871	0.28108
Healthy	55.7372	2.12034	0.07286	0.29286	0.14288	0.07883	0		2.91449	5.10208	0.9933	6.38478	0	0	0.14288	0.60257	0.07883	0
Healthy	9.03133	0.00368	16.2661	10.9103	0.12	0.13184	0.33442		0.18846	0.75704	0.00014	0	0	1.2222	0.12	0	0.13184	0
Healthy	26.41612	10.01197	0	0	0	0.08855	0		13.06821	6.52016	1.82773	3.61045	2.8803	0.18972	0	0.33091	0.08855	0
Healthy	85.81859	0.90434	0.37736	0.0857	0.15444	0.00251	0		1.11149	3.29067	0.35951	0	0	0.23259	0.15444	0.18962	0.00251	0
Healthy	36.05486	27.22336	0	1.28454	0.01631	0.037	0		8.53065	4.03444	0.02581	0	0	0.14253	0.01631	0.12367	0.037	0
Healthy	18.8565	3.58402	6.37382	0.03316	0	0.65549	0		4.60479	2.08417	1.03234	0.67267	0.54614	0.21411	0	0.66922	0.65549	0
Healthy	24.95525	0.69262	0	0.1002	0.102	0.05737	0		3.30342	0	0.20168	3.37828	0	0	0.102	1.66202	0.05737	0
Healthy	31.29799	1.051	0	0	0.06941	0.02658	0		24.13931	2.05761	0.15905	4.44353	15.6428	0	0.06941	0.0234	0.02658	0
D006973	38.01162	14.12996	0.8892	0.47455	0.76335	0.00965	0		4.91604	2.49324	0.02872	2.0058	0	0	0.76335	0.15202	0.00965	0.01222
Healthy	31.97894	1.09293	16.4109	0.04035	0	0	0		12.86415	1.90474	2.6742	4.1818	0.32705	0	0	0	0	0
Healthy	73.8556	2.47447	1.67377	0.08025	0	0.09831	0		4.04901	8.83823	0.15275	2.56053	0	0.06243	0	0.96798	0.09831	0
Healthy	11.09524	2.97284	0	0	0	0	0		58.92111	0.90553	6.37254	0.46476	3.21156	0.11515	0	0	0	0
Healthy	55.62337	2.20024	0.02833	0.29889	0.19064	0.10029	0		2.98722	5.15553	0.9626	6.22598	0	0	0.19064	0.69402	0.10029	0
Healthy	7.9325	2.60289	1.75061	0	2.82554	0	0		15.91284	0.24212	6.10013	0	1.04718	15.69812	2.82554	0	0	0
Healthy	35.33617	2.1367	6.48387	8.98905	1.73487	0.03635	0.00149		15.08024	0.50003	1.98987	0	0	0.33687	1.73487	0.00299	0.03635	0
Healthy	55.27272	2.03873	0	0.12857	0	0	0		2.94694	1.43325	0.6039	0	0	0	0	1.74357	0	0
Healthy	48.31908	2.08575	0	5.95389	0.31594	0.20315	0		3.31311	2.34465	0	1.7863	0	0	0.31594	0.02547	0.20315	0
Healthy	21.6074	5.16023	12.8542	0.37574	0	0	0		4.67955	3.29162	1.94348	0.89589	0.60936	0	0	0	0	0
Healthy	23.01477	7.83113	0.00825	1.42197	0.14616	0.0924	0		4.47133	6.53852	11.74687	0	0.01981	0.0109	0.14616	0.04391	0.0924	0.06556
Healthy	50.28392	8.98741	0.00409	0.0035	0	0	0.02165		4.96469	0	0	0	0	0.25644	0	0.00521	0	0.00368
Healthy	12.62376	8.82855	0.02165	0.00678	0	0.06614	0		26.02253	2.10613	4.72778	0	0	0.54071	0	0.52013	0.06614	0.20396
Healthy	21.2982	17.63019	0	0.0093	0.73212	0.28312	0		15.93214	4.63046	0.10521	3.89693	0	2.28461	0.73212	0.01037	0.28312	0.3762
Healthy	23.61452	4.71969	0	1.16431	0.38165	0	0		13.86684	2.52603	2.58589	9.5509	0.54243	0	0.38165	0.14019	0	0.06226
Healthy	53.80599	3.75877	0	1.07698	0	0.01952	0		13.69074	4.22958	0	1.10706	0	0.19801	0	0.1008	0.01952	0
Healthy	52.2867	4.47824	0	0.10417	0	0	0		5.4809	1.26783	0	0	0	0	0	0.0164	0	0
Healthy	75.92255	2.57906	1.37665	0	0.3144	0.04377	0		5.82858	0.08399	0	0	0	0.06404	0.3144	0.13021	0.04377	0.00026
Healthy	12.59197	8.38082	0.04487	0.39005	0.14095	0.32464	0		7.62617	15.63019	0.08852	1.61717	0	0	0.14095	0	0.32464	0.09067
Healthy	36.92951	4.26482	0.36631	0.013	0	0.00721	0		2.05337	5.22934	2.07785	2.7737	0	0.00291	0	0	0.00721	0
Healthy	29.16371	4.45408	2.12948	0.00433	0.71644	0.08954	0.00327		17.42598	1.46835	0.02277	2.84294	0.00715	1.47116	0.71644	0.13401	0.08954	0.29137
D006973	64.4705	12.34585	0.3263	0	0.55274	0.00066	0		7.78094	6.74514	0.07546	0.239	0	0.01886	0.55274	0.09081	0.00066	0
