c	Negativicutes	Coriobacteriia	Actinomycetia	Gammaproteobacteria
Healthy	1.01190185253402	-0.0285803382281341	0.768325030057909	-0.341635584312928
Healthy	-3.09691001300806	0.234745000628051	0.749569366032057	-1.95233580539844
Healthy	0.811446306956656	-0.844998163768747	-0.181859917724294	-0.410351941664339
Healthy	0.507533402997219	-0.920782564253433	1.7298044975577	1.44376241272035
Healthy	-5	-5	-0.00137890022102005	-5
Healthy	0.52617250731388	-0.81121208736253	-5	-0.334353353872193
Healthy	-5	-1.78727984558216	-5	0.108751013469221
Healthy	0.00220927298801476	-5	-5	0.806654046147595
Healthy	-5	-0.991357252434715	-5	-0.999088937868777
Healthy	-0.219819551797359	-1.15851539066461	-1.02122621566988	-5
Healthy	-5	-5	-5	1.21619916612133
Healthy	-5	-5	-0.65380355627079	0.244037017036314
Healthy	0.710003908849681	-5	-5	-5
Healthy	0.815167165939307	-0.719763190390311	-0.207181230830761	-0.471276076739006
Healthy	0.379401614039029	0.451102996833693	1.35339280128144	0.243191885767495
Healthy	0.336809830185024	0.239269440429388	0.704108458618344	1.19097649680895
D011236	0.363284725716646	-1.60310355085748	-5	-0.0638483204698829
Healthy	0.802783300182877	-5	-0.411392195257313	-0.890826578574528
Healthy	-5	-0.500381640299993	-0.30756731148585	0.776060890414528
Healthy	1.0643010907268	-5	-5	1.12155820285983
Healthy	-0.647335200348899	-0.674217602484195	-5	0.155405883408257
Healthy	-1.708409174342	-2.43297363384094	0.714166239729455	0.361376481869873
Healthy	0.610621841297843	-0.690433704106227	0.992401068294658	-0.652923803930265
Healthy	0.352346553933043	0.045334716316743	-0.135524518308971	-2.03105031901866
Healthy	-5	-0.35269528819389	0.412347969086344	0.0660723575773765
Healthy	0.679156150418852	-5	-0.29654525468797	0.585749411171379
Healthy	-5	-5	-5	-0.641284886197868
Healthy	-5	-0.502144659868822	-2.17392519729917	0.138826693810669
Healthy	-5	-0.63520519282589	-0.868060704789575	-0.361580635137367
Healthy	0.430155711970019	-5	-5	-0.21175383062718
Healthy	-0.823069915549494	0.00338297259828993	0.907689155879493	0.329157781394064
Healthy	0.968602946685977	-0.160239219038679	-1.65600093094284	0.124950679542338
Healthy	-0.0872732432574975	-0.386433001228715	0.362126071357915	0.272560963861557
Healthy	-0.581019618754964	0.566215868865457	-5	-5
Healthy	0.527299866339773	-0.827718238544999	-5	-0.266626163055293
Healthy	0.150049945162385	-0.632196967250993	0.272340642245293	-1.11025022473596
Healthy	-5	-0.291324207273463	-5	0.761782798918629
Healthy	-5	-0.133411418224968	-5	0.855023401569893
Healthy	0.730517420590717	-1.4386600585411	0.0755615592810349	-1.1253442674019
Healthy	-5	-1.1114274031424	-5	0.473590604448907
Healthy	0.66482994114309	-1.44708854978349	-0.632401836320167	0.801618402870708
Healthy	-5	-0.833066905128846	0.434388442735579	-0.978852064279005
Healthy	-5	0.169395196975156	0.736743798962006	1.89967569522853
Healthy	-2.09636748391576	-1.98171569157347	-0.12731939284807	0.310674198718182
Healthy	0.896930011763117	-5	-1.88706002391592	0.954119441900728
Healthy	0.147960609057186	0.58910475277915	0.410247323940247	-5
Healthy	0.300127898364073	-0.662820374590166	0.698566791937309	-1.15645578805436
Healthy	-5	-0.973099191109745	-5	-5
Healthy	0.183338186289204	-5	-5	0.94718709417019
Healthy	0.884927840363339	-1.10690433390377	-0.504997133561376	0.276783384700269
Healthy	-1.19517932127884	-0.0108217012429983	-0.485691374343224	0.00609363020820083
Healthy	-0.195438069037582	0.0936807835974929	0.080749110907479	-0.951519352526498
Healthy	0.677345019721607	-1.07644514193245	0.723572234494289	-5
Healthy	-1.88306035344924	-0.41999931041096	0.138754129723719	-1.74836177955179
Healthy	0.264165892216258	-0.645833914968581	0.508095881195523	0.246786537772904
Healthy	-5	-5	-1.64282774227697	1.9366017988212
Healthy	-5	-0.749604396942884	-5	0.724212769403576
Healthy	-1.37212230542003	-2.65757731917779	1.95902530881005	0.65769916511523
Healthy	-5	-5	-0.926831737734898	-0.162676764352586
Healthy	-5	-0.935317433771488	-5	-0.945885099489414
Healthy	1.17950037362933	-0.243356285962926	-0.361390954192885	-0.534498180058329
Healthy	-5	-0.829591588274682	0.122301089961987	-0.222551427179631
Healthy	0.537612598757124	-1.86138156610051	-1.77211329538633	-0.930516906065389
Healthy	0.459641231058366	-2.64397414280688	0.637994778390935	-0.41002807048314
Healthy	-5	-0.873414072045662	-1.20802879897923	0.185063118628386
Healthy	-5	-0.531327808853853	-1.66534523311676	0.449094075274832
Healthy	-5	-5	-5	-1.31202537996544
Healthy	-0.596827984507749	-0.569199575375819	-0.471443219398817	-0.265152184721705
Healthy	0.945026679940939	-0.758602958350354	0.100821838946951	-1.33320131633383
Healthy	-5	-5	1.32709541653146	-5
Healthy	-0.0641250998316844	-0.613073193204431	-0.833658708016502	-0.939906816175532
Healthy	-1.16723569505947	-0.199152378124986	-5	-5
Healthy	0.174135431793646	-0.363903445843243	1.55509928748709	0.592966876255435
Healthy	-5	0.39167242839155	-1.35961795529043	-0.379947270905605
Healthy	0.109159910732136	-0.729344451047015	-0.601140261595739	0.459898869322942
Healthy	-5	-0.475292388205987	-5	-0.529648320654182
Healthy	0.504940923792709	-5	-5	-0.0902675076251021
Healthy	-5	0.575643845661616	-0.572156994294466	-0.169789980446389
Healthy	0.816328150203432	-1.40837896178668	-5	0.624558470873253
Healthy	0.0852691663062547	-0.871213141357402	-0.644491011975566	0.414679264466649
Healthy	0.482997854050922	-0.146478218173163	0.0824586292715335	-0.444603223193737
Healthy	0.899838005126567	0.356274500903909	0.211318145691329	0.433228828459711
Healthy	-1.24695343837347	-0.92786043676026	-0.358664727273591	-1.09946901754724
Healthy	1.11346904426635	0.0330657171185611	1.54657535771273	-0.98175733254209
Healthy	0.66441066625717	0.636777663647943	0.743686895664305	-0.496658819638013
Healthy	0.415260555485293	0.130005510862396	-1.98674133471648	1.02127904398954
Healthy	-0.0941232027331172	-0.547186591322146	-0.873414072045662	-1.01963297381522
Healthy	0.776590780723774	-0.0788599869822159	0.386456158235409	0.410654095544502
Healthy	0.7701993436501	-2.63078414258986	-0.557786847277181	-0.748994826506365
Healthy	1.24868546482757	-0.149390519078651	0.72775265980976	-0.55695617135166
Healthy	-2.33161408331	-1.22577509513108	-0.700035331375845	-1.64936439174105
Healthy	0.706197853673996	0.233549419743861	0.773395111234869	-5
Healthy	0.339403735860026	-5	-5	-5
Healthy	-1.72422809983507	-0.62845190731615	-0.0318206967250459	-0.759026648159996
Healthy	-5	-5	-5	0.631860613368897
Healthy	0.0857185951654024	-0.890455199121653	-0.209510758477563	0.408553697586891
Healthy	0.0614600188564993	-5	-1.94195376960472	0.411840163863845
Healthy	-5	-5	-5	0.387935910763123
Healthy	0.74992946410767	-5	1.0392010841612	-5
Healthy	0.118615195569278	-0.777309535288659	-0.27049503818861	-0.138346129786089
Healthy	-0.336176622715236	-0.596862313373619	-0.302273857453656	-0.267831488311101
