group	Blautia_A_wexlerae	Streptococcus_sp001556435	Ruminococcus_B_gnavus	Anaerostipes_hadrus	Streptococcus_parasanguinis_D	Clostridium_A_leptum	Adlercreutzia_equolifaciens	Eisenbergiella_tayi	Gordonibacter_pamelaeae	Eggerthella_lenta	Faecalibacterium_sp900539885	Agathobacter_rectalis	Ruminococcus_H_sp003531055	Bacteroides_thetaiotaomicron	Anaerobutyricum_hallii_A	Enterocloster_aldenensis	Bariatricus_comes	Mediterraneibacter_torques	Blautia_A_wexlerae	Dorea_formicigenerans
Healthy	0.12906	0	0	0	0	0.11266	0.2096	0	0.05095	0.01763	5.34315	2.01973	0.27019	0	0.01676	0.16007	0.01724	0.02034	0.12906	0.0769
Healthy	0.17307	0.1302	0	0.05388	0	0	0.06189	0	0	0	4.42903	2.28172	0	2.74253	0.64033	0.02364	0.17051	0.029	0.17307	0.2587
Healthy	0	0	19.5045	0.00617	0	0	0	0	0	0.03312	0.00068	0	0	2.46348	0	0	0	1.13657	0	0
Healthy	0.08949	0.01765	0	0	0	0	0.00917	0	0	0	4.84117	2.17349	0.70541	0.02132	0.00256	0	0.08538	0.15612	0.08949	0
Healthy	0.48211	0.01515	0	0.11838	0	0.11644	0.00649	0	0	0	3.41433	5.97746	0.02428	0	0.34	0.39719	0.20512	0.65814	0.48211	0.27323
Healthy	0.3583	0.68184	0	0.14793	0.35242	0.00619	0.04105	0	0	0	7.21216	3.50391	0.64251	0.20777	0.51939	0.17504	0.77811	0.30163	0.3583	0.61097
Healthy	0.38507	0.00917	0.0148	0.09169	0.0074	0.01243	0.02361	0	0	0	3.67723	2.92042	3.91891	0	0.43019	0.24163	0.34916	0.22934	0.38507	0.20709
Healthy	0.25213	0.02218	0.01194	0.06822	0.01273	0.03382	0.26867	0.12234	0.01241	0	3.78626	3.4047	4.92965	0.93054	1.67721	1.03824	1.37517	0.03239	0.25213	0.46545
Healthy	0.03551	0	0	0	0	0	0	0	0	0	1.90978	1.43889	0.9933	0	0.06374	0.01573	0.01663	0.03607	0.03551	0
Healthy	0	0.85477	0	0	0.15289	0.00014	0	0	0	0	0.00368	0	0	0	0	0	0	0.18846	0	0
Healthy	0.20371	0.05273	0	0.03743	0.02111	0	0	0	0	0	9.59753	2.38036	1.82773	0.88773	0.56451	0.96456	0.7182	0.00782	0.20371	0.06101
Healthy	0	0	0.02053	0	0	0.35951	0	0	0	0	0.5278	0	0	1.34061	0.01863	0	0.01295	0.02773	0	0
Healthy	0.12538	0	0	0.00764	0	0.00424	0	0	0	0	16.8393	0.51508	0.02157	4.70342	0.02058	0.14689	0.34057	0.06786	0.12538	0
D008545	0.38481	4.77833	0.69022	0.45576	0.87182	0.53251	0	0	0	0.09959	12.9862	32.3817	0	0	5.69071	0	0	0.17581	0.38481	1.62863
Healthy	0	0	0	0	0	0.05176	0	0	0	0	3.54818	0	0.98058	0.04473	0	0	0.00682	1.83505	0	0
Healthy	0	0	0	0	0	0.20168	0	0	0	0	0.69262	0.03579	0	0	0	0	0	2.18411	0	0
Healthy	0.64062	0	0.07063	0.11062	0	0	0	0.01303	0	0	0.90956	1.95917	0.15905	0	0.92226	0.60527	0.9289	0.0348	0.64062	0.45839
Healthy	0.06819	0	5.39169	0	0	0	0	0	0	0	1.09293	0.91554	2.6742	3.59893	0.31703	0.47844	0.23437	0.06129	0.06819	0.06578
Healthy	0	0	0	0	0	0.15275	0	0.01172	0	0	2.47447	0	0	0	0	0	0	1.23277	0	0
Healthy	0.53306	0	0	0	0.11515	0	0	0	0	0	1.19569	14.9951	6.37254	0.48707	0.44587	0.22579	0.18392	0.40197	0.53306	0.26968
Healthy	0.01221	0	0.00483	0	0	0	0	0	0	0	1.96391	1.42931	0.9626	0	0.0557	0.01556	0	0.06813	0.01221	0
Healthy	4.10101	10.0181	0	0	2.26055	0	0	0	0	0	2.60289	2.61541	6.10013	0.16214	1.94333	1.87818	2.63735	0.20105	4.10101	0.67153
Healthy	0.32815	0.23352	0.01648	0.05886	0.09038	0	0	0	0	0	2.1367	9.44655	1.98987	0.11393	0.56239	0.90362	0.675	0.00706	0.32815	0.33065
Healthy	0.17257	0	0.00686	0	0	0.6039	0	0.05304	0	0	2.03873	1.46116	0	0	0	0.06159	0	0	0.17257	0.09228
Healthy	0	0	0	0	0	0	0	0	0	0	1.74819	0.21343	0	0.20675	0	0.01801	0	0.20381	0	0
Healthy	0.08257	0	0	0	0	0	0	0	0	0	0.39347	1.40639	1.94348	0	0.0884	0.41483	1.31434	0.11165	0.08257	0
Healthy	0.24782	0	0.00091	0.01853	0	0.05467	0.06196	0.01086	0.0036	0	5.54289	1.11679	11.6922	5.15831	0.04157	0.45183	0.11013	0.07743	0.24782	0.03044
Healthy	0.00032	0.19984	0.00557	0.04834	0.0431	0	0	0	0	0.00368	8.98741	0.16418	0	22.8606	0.91156	0	0	0.01807	0.00032	0
Healthy	0.04304	0.07404	0.14116	0.33727	0.00544	0.98499	0.18515	0	0.01863	0.00018	8.79006	9.55	3.74279	0.00146	1.94611	0.51145	0.03547	0.01503	0.04304	0.55159
Healthy	0.35495	0.27614	0.11141	0.27015	0.069	0.09277	0.23981	0	0.13544	0.00095	2.05589	1.52905	0.01244	0.22182	1.40044	0.17196	0.21954	0.35965	0.35495	0.67246
Healthy	1.27903	0	0	0.22003	0	0	0.06226	0	0	0	4.49347	3.94545	2.58589	0.10153	0.26674	0.17365	0.23362	0.17201	1.27903	0.08256
Healthy	0.10729	0	0	0	0	0	0	0	0	0	3.4988	6.31094	0	0.67434	0	0	1.5103	0.39585	0.10729	0.04752
Healthy	0	0	0	0	0	0	0	0	0	0	3.96119	1.17275	0	7.81241	0	0	0.0126	0.1563	0	0
Healthy	0.07178	0.05818	0.05311	0.24287	0.00586	0	0	0	0	0.00026	2.57906	0	0	0.11921	0.04396	0.4848	0.20356	0.02649	0.07178	0.2386
Healthy	0	0	0	0	0	0.05067	0.09067	0	0	0	8.32939	2.91926	0.03785	0.01761	0	0	0	0.19882	0	0.03418
Healthy	0.03836	0.00291	0	0	0	0	0	0	0	0	4.26482	0	2.07785	0.0329	0	0.01641	0.03658	0.04658	0.03836	0.06314
Healthy	0.53078	0.03485	0.05193	0.10532	0.03528	0.02277	0.22901	0.00897	0.0618	0.00056	3.86935	6.15479	0	1.29809	3.49856	1.13025	0.15763	0.05237	0.53078	1.07415
Healthy	0.02584	0	0.01119	0	0	0.03647	0	0.04292	0.01047	0	0.40714	0.24847	0.54292	0	0.0105	0	0.05957	0.00976	0.02584	0.00456
Healthy	0.2837	0.02087	0.05435	0.07586	0.00596	0	0.05276	0	0	0	5.60286	5.24714	0.04283	0.50707	0.29161	0.19726	0.43148	0.16881	0.2837	0.14329
Healthy	4.65973	0	0.0266	0.24463	0	0	0	0	0	0	21.7045	0.70755	32.4931	0	2.37613	0.85549	0.46665	4.54431	4.65973	3.79291
Healthy	0	0	0.01424	0	0	0.37289	0	0	0	0	0.51861	0	0	1.28052	0.00425	0	0	0.06426	0	0
Healthy	0.33867	0.04828	0	0.23778	0	0	0	0	0	0	4.29314	7.28422	3.02639	0.71039	0.87265	0.03017	0	0.17702	0.33867	0
Healthy	0.06136	0	0	0	0	0	0.51129	0	0	0	6.5334	0	0	2.66298	0	0	0.0036	0.04256	0.06136	0
Healthy	0.08017	0	0	0	0	0	0.7355	0	0	0	8.03705	0	0	3.23252	0	0	0	0.0511	0.08017	0
Healthy	0.27957	0	0.00935	0.0473	0	0	0.03641	0	0	0	12.2367	16.7736	2.56626	2.16722	0.08798	0.04344	0.07222	0.00397	0.27957	0.17733
Healthy	0.08851	0	0	0	0	0	0	0	0	0	3.55185	1.1377	0.27637	0.2237	0.02841	0	0	0.00558	0.08851	0.07619
Healthy	0.04586	0	0	0	0	0	0	0	0	0	4.68188	0.77652	0	0.82127	0	0	0.0202	0.10783	0.04586	0
Healthy	0	0	0	0	0	0.9764	0.14686	0	0	0	4.42579	0	1.06684	0.42804	0	0	0	0.08284	0	0
Healthy	0.09467	0	0.07356	0.05741	0	0.05402	0	0.02037	0.00802	0	0	3.13531	0	0.12936	0.46926	0	0	0.37972	0.09467	0
Healthy	0.0048	0.01118	0.09022	1.2924	0.00135	0	0	0.00639	0	0.01042	6.63595	0.99371	1.5587	0	0.12008	0	0	0.00667	0.0048	0
Healthy	0	0	0.00665	0	0	0.07771	0	0	0	0	9.28592	14.3866	0.0013	0	0	0	0	0.03479	0	0
Healthy	0.72437	0	0	0	0	0	0	0	0	0	24.6591	1.73722	11.9056	0	0.57718	2.16324	0.49361	0.89391	0.72437	0.9074
Healthy	0.43377	0.38035	0.09717	0.57632	0.12591	0.12409	0.19679	0	0.01837	0	16.0886	0	17.0343	0	0.60249	0	0	0.01181	0.43377	1.48147
Healthy	0.66445	0	0	0.07734	0	0	0	0	0	0	2.59441	2.49676	0.55983	0	0.79118	0.79534	0.62703	0.49574	0.66445	0.68194
D008545	0.37189	0.21305	15.3991	0.07313	0.16441	0.7343	0.03699	0.31918	0.0559	0.02753	4.00314	5.7644	6.41701	0.5847	0.20043	0.39533	0.73584	0.02358	0.37189	0.17215
Healthy	0.29839	0.00195	0	0.10758	0	0	0	0	0	0	7.91572	0.55787	3.29959	0.44099	0.9126	2.08235	0.78451	0.09135	0.29839	0
Healthy	0.1194	0	0	0	0	0.37595	0	0	0	0	4.06832	0.56277	0.10202	0.07014	0.13232	0.50451	0.27715	0.03854	0.1194	0.08105
Healthy	0.04908	0	0	0	0.04645	0	0	0	0	0	1.13008	0.0614	0.68619	0.99542	0.00178	0.05919	0	0.01505	0.04908	0.01672
D008545	0.02921	0.00408	0.84421	0	0	1.42972	0.19271	0.02604	0.38959	0	0	0.00164	3.58703	0	0.33454	0	0	0.03541	0.02921	0
Healthy	0.32589	0.06889	0	0	0.22326	0.5397	0	0.28653	0	0	0.82616	0	5.08415	0.24853	0.15205	0	0	0.0062	0.32589	0.07593
Healthy	2.57677	0.11956	0.13052	0.00906	0.04704	0.68543	0.07283	0.0152	0.00992	0.0011	10.0244	0.00314	0	0	4.4287	10.319	5.67344	0.10502	2.57677	0
