group	Blautia_A_wexlerae	Streptococcus_sp001556435	Ruminococcus_B_gnavus	Anaerostipes_hadrus	Streptococcus_parasanguinis_D	Clostridium_A_leptum	Adlercreutzia_equolifaciens	Eisenbergiella_tayi	Gordonibacter_pamelaeae	Eggerthella_lenta	Faecalibacterium_sp900539885	Agathobacter_rectalis	Ruminococcus_H_sp003531055	Bacteroides_thetaiotaomicron	Anaerobutyricum_hallii_A	Enterocloster_aldenensis	Bariatricus_comes	Mediterraneibacter_torques	Blautia_A_wexlerae	Dorea_formicigenerans
Healthy	0.1462	0.00895	0	0.07024	0	0	0.116	0	0	0	8.57489	7.88952	4.98088	0.66037	0.57513	0.03816	0	0.04851	0.1462	0.21024
Healthy	0	0	0	0	0	0	0	0	0	0	0.18522	0.09445	0.11039	0.11247	0	0.24485	0	0	0	0
Healthy	0	0	0.19914	0	0	0	0	3.32667	0	0.00834	0.18011	0.00213	0	0	0	0	0	0.04233	0	0
Healthy	0.294	0	0	0.02754	0	0	0	0	0	0	0.11813	6.48756	0.90233	0.7449	0.25763	0	0.09733	0.48626	0.294	0.36427
Healthy	0.04108	0.02338	0	0	0	0	0	0	0	0	4.07253	0	2.13942	0.02977	0	0	0.06109	0.04243	0.04108	0.06768
Healthy	0	0	0.30727	0	0	0	0	0	0	0	0.0859	1.83404	0	0	0	0	0	0.13899	0	0
Healthy	0.76406	0.36902	0	0.63753	0	0	0	0	0	0	36.2884	3.95002	1.89277	0	0.2518	0.60014	0.2575	0.26053	0.76406	0.66042
Healthy	0.93459	0	0.01415	0.30497	0	0.13275	0.10872	0	0	0	10.0431	0	23.591	0.55205	0.1666	1.47294	2.20229	0.07215	0.93459	0.16224
Healthy	0.19162	0.04239	0	0.06123	0.04326	0.03663	0.0221	0.00216	0	0	3.44271	10.0488	3.44965	0.75189	0.57016	0.56503	0.44171	0.01772	0.19162	0.19523
Healthy	0	0	0.61804	0	0	0.14833	0	0.00346	0	0	1.56935	0.83745	0	0	0	0.02341	0	0.25281	0	0.02056
Healthy	0.00209	0	0	0	0	0	0	0	0	0	1.64555	0.20183	0	0.20549	0	0.02024	0.02404	0.27508	0.00209	0
Healthy	0	0.05019	0	0	0	0	0	0	0	0	3.23501	0.33365	0	0.07305	0	0.06157	0.08061	0.07924	0	0
Healthy	0.0327	0	0	0	0	0	0	0	0	0	1.96284	1.51544	1.03459	0	0.05711	0.00391	0.01913	0.1248	0.0327	0.00467
Healthy	0	0	0	0	0	0	0	0	0	0	1.1805	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	1.11719	0	0	0	0	3.53649	12.0735	14.5193	0.20337	0	0	0	0	0	0
Healthy	0.69762	0	0	0.0829	0	0	0.02802	0	0	0	4.2821	1.9938	0.69888	0	0.82906	0.83199	0.88918	0.29294	0.69762	0.7736
Healthy	0.02688	0	0	0	0	0	0.6735	0	0	0	6.61531	0	0	2.53398	0	0	0.01002	0.05452	0.02688	0
Healthy	0	0	0	0	0	0	0	0	0	0	1.06456	0.46122	1.60503	0.73258	0	0.10653	0	0.36501	0	0
Healthy	0.34248	0	0.62322	0.20054	0	0.01515	0	0	0	0	0.69095	0	7.46572	0	1.69655	0	0	0.72655	0.34248	0
Healthy	0.1082	0	0	0	0.00891	0	0	0	0	0	3.41877	6.12035	0	0.74083	0	0	1.49219	0.73788	0.1082	0.03309
Healthy	0.0601	0	0	0	0	0	0	0	0	0	4.72189	0.77008	0	0.83051	0	0	0.04835	0.19514	0.0601	0
Healthy	0.1445	0	0	0	0	0	0.01628	0	0	0	4.47586	2.21584	0.67642	0.02289	0.02474	0	0.04339	0.19514	0.1445	0
Healthy	0.24407	0.08946	0.00745	0.03769	0.0161	0.00308	0.01765	0	0	0	10.1641	12.2658	0.48411	0.72882	0.15228	0.17963	0.24447	0.00341	0.24407	0.10177
Healthy	0.04077	0.03774	0.06066	0	0.00731	0.12574	0	0	0	0	5.17678	0	0	0.29707	0.01228	0.10275	0	0.01361	0.04077	0
Healthy	0	0	0	0	0	0	0	0	0	0	6.73902	3.06003	27.2185	0	0	0	0	0	0	0
Healthy	3.28512	0.64411	0.4433	0.30485	2.10256	1.76906	0.50573	0.11014	0.63904	0.09463	0.78783	17.5909	0	0.09024	2.01109	4.34603	0	0.2753	3.28512	0
Healthy	0.40714	0.19693	0.02721	0	0.00959	0.15746	0.25035	0.0032	0.0962	0.02566	2.33311	3.27664	1.26506	0	0.20417	0.82698	0.07582	0.07035	0.40714	0.1514
Healthy	0.36596	0	0	0.13726	0	0	0	0	0	0	11.8756	0	1.45072	0.39513	0.74574	1.04486	0.92045	0.03289	0.36596	0
Healthy	0.20753	0.02708	0	0.03989	0	0	0.01367	0	0	0	6.06053	0.91978	0	2.79761	0.26854	0.03718	0.327	2.30407	0.20753	0.44564
Healthy	0	0	0.01263	0	0	0.37713	0	0	0	0	0.47812	0	0	1.21328	0.00398	0	0.00666	0.0471	0	0
Healthy	0.77715	0	0.47874	0.21197	0	0	0.13289	0	0	0	12.9227	7.83078	3.98695	0.60093	0	0.81968	0.48205	0.69387	0.77715	0
Healthy	0.35524	0.07328	0	0	0.2207	0.56124	0	0.31871	0	0	0.83016	0	4.7684	0.22946	0.1355	0	0	0.01401	0.35524	0.12032
Healthy	0.06075	0	0.13936	0	0	0	0	0.04585	0	0	1.52976	0.3874	0	0	0	0	0	0.09897	0.06075	0.01962
Healthy	0.32686	0	0	0	0	0.07892	0	0	0	0	12.5879	0.3096	5.92565	0.42718	0.08588	0.40983	0.08314	0	0.32686	0
Healthy	0.02375	0	0.03638	0.04751	0	0.05425	0	0	0	0	19.2954	0	0	3.97256	0.06794	0.0323	0	0.09502	0.02375	0.05139
Healthy	0.03069	0.03531	0	0	0	0	0.22619	0	0	0	7.57085	0.6507	0.32581	0.04671	0	0	0.03039	0.05486	0.03069	0.01715
Healthy	0.19265	0	0	0.04836	0.01289	0	0	0	0	0	2.40959	8.96889	0.09513	0.7614	0.21933	0.35883	0.15882	1.08469	0.19265	0.08165
Healthy	0.02228	0	0	0	0	0	0.52463	0	0	0	6.50107	0	0	2.60683	0	0	0	0.0523	0.02228	0
Healthy	0.14077	0.23476	0.0002	0.0174	0.09313	0	0.00386	0	0	0	5.31706	11.9289	1.69515	0.77855	0.22971	0.16647	0.05066	0.0482	0.14077	0.07429
Healthy	1.20039	0	1.33553	0	0	0	0.1652	0	0	0	5.96816	11.6018	18.1915	0.4071	0.44405	0.82434	1.44128	0.25202	1.20039	0.18615
Healthy	0.0201	0	0	0	0	0	0	0	0	0	1.90704	1.51107	1.00555	0	0.04075	0.01818	0.01739	0.01504	0.0201	0
Healthy	0.1629	0.06001	0.02325	0.07025	0.06003	0.05483	0.0021	0	0	0	1.57594	8.06456	4.62565	0.08843	0.5944	0.77835	0	0.23826	0.1629	0.31162
Healthy	0	0	0	0	0	0	0	0	0	0	1.46801	0	0	0	0	0	0	0.11277	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	1.00764	0	0	6.43339	0	0	0	0	0	0
Healthy	0.46618	0	0	0	0	0	0	0	0	0	5.67625	19.2473	1.84755	0.34361	0	0	0	3.96986	0.46618	0
Healthy	0.58128	0.04382	0	0.00838	0.00471	0.01215	0.00195	0.00353	0	0	5.80833	0.30107	2.38652	0.4725	0.81915	0.52367	0.43757	0.02143	0.58128	0.13326
Healthy	0	0.24915	0.01303	0	0.14398	0	0	0	0	0	0.00169	0.00344	0	0	0	0	0	0	0	0
Healthy	0.17634	0	0.0124	0	0	0	0.0192	0	0	0	4.01519	5.44916	0.62071	0	0	0.32056	0.05841	0.08771	0.17634	0.03252
Healthy	0.75131	0	0.017	0	0	0	0	0	0	0	7.97302	1.02951	7.57536	0.12746	1.61594	1.2181	3.69459	1.92096	0.75131	0.22933
Healthy	0	0	0	0	0	0	0	0.03173	0	0	3.35185	0	0.75043	0	0	0	0	0.02076	0	0
Healthy	0	0	0	0	0	0	0	0.03416	0	0	3.29087	0	0.72345	0	0	0	0.0058	0.02885	0	0
Healthy	0	0.00455	7.51214	0	0	0	0	0	0	0.01149	0.00017	0	0	0	0	0	0	0.3375	0	0
Healthy	1.28723	0.3632	0.22978	0.18064	0.07223	0.14986	0.36836	0.00693	0.00308	0.00866	8.15685	0.65654	1.07663	0.00073	1.89756	0.02332	0.91147	0.0784	1.28723	0.07131
Healthy	0.07976	0	0	0	0	0	0.63244	0	0	0	6.51407	0	0	2.71638	0	0	0.00988	0.04361	0.07976	0
Healthy	0.09244	0	0	0	0.01336	0	0	0	0	0	3.31277	6.07069	0	0.63381	0	0	1.40066	0.21852	0.09244	0.03647
Healthy	0.00434	0.07353	0	0	0	0	0	0	0	0	3.44359	0.36658	0	0.08597	0	0.07374	0.06882	0.03713	0.00434	0
Healthy	0.02396	0.00989	0.13252	0.01824	0	0.23818	0	0	0	0	4.32336	0.66258	0	1.23497	0.00137	0	0.07435	0.01966	0.02396	0
Healthy	2.67305	0.07607	0	0.47999	0	0	0.11649	0	0	0	4.22282	7.06196	2.4324	0.07358	0.62883	0.39424	0.51251	0.512	2.67305	0.13557
Healthy	2.28572	0.0007	0.24877	0.10737	0	1.28341	0.02096	0.00873	0	0.00406	7.52308	0	0	0	2.14754	2.31203	2.91205	0.04533	2.28572	0
Healthy	0.48299	0	0	0	0	0	0	0	0	0	8.73022	2.13959	6.98791	0	0.14946	0	0.20864	3.4784	0.48299	0.04444
Healthy	0	0	0	0	0	0	0	0	0	0	0	5.05749	0	0	0	0	0	11.4936	0	0
Healthy	0.03628	0	0	0.05646	0	0.01353	0	0.22983	0	0	0.89366	2.86034	0	0	0	0	0.00253	0.04463	0.03628	0.19784
Healthy	0.05225	0	0	0	0.02981	0.00364	0	0	0	0	1.13235	0.0771	0.71511	1.00522	0	0.03387	0	0.07111	0.05225	0.02261
Healthy	0	2.76877	0	0	1.44504	0	0	0	0	0	2.50903	0	0	0	0	0	0	0.27648	0	0
Healthy	2.21805	0.30573	0	1.00756	0	0	0	0	0	0	1.65719	0.06737	22.2117	0	7.20413	0.91066	0.56032	1.83397	2.21805	4.63614
Healthy	0.01392	0	0	0	0	0	0.14126	0	0	0	17.6948	3.61844	0	0	0	0	0.03493	0	0.01392	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	1.08551	0	0	0	0	0	0	0
Healthy	0.28034	0	0	0.16597	0	0	0	0	0	0	7.32277	5.72996	1.62933	0.51832	0.48971	0	0	0.13623	0.28034	0
Healthy	0.03091	0	0	0	0	0	0	0.36209	0	0	0.42489	0	2.68617	11.8216	0	0.05359	0	0.18743	0.03091	0.00941
Healthy	0.05782	0	0.03866	0	0	0	0.01017	0	0	0	4.03048	5.60707	0.65517	0.01227	0	0	0.21116	0.18522	0.05782	0.04852
Healthy	0.22132	0.00871	0.33341	0.32747	0	0	0	0	0	0	9.03523	0.0005	0	1.29534	0.72357	0.16239	0.17399	0.0235	0.22132	0.15365
Healthy	0	0	0	0	0	0.20579	0	0.01638	0	0	2.54791	0	0	0	0	0	0	1.07531	0	0
Healthy	1.24187	0	0.00928	0.11585	0	0.29387	0.02421	0	0.02397	0.00068	10.7144	29.5193	0.0269	0.15978	1.20764	0	2.31611	0.18316	1.24187	0.44661
Healthy	0.58059	0.00905	0.00897	0.20483	0.03106	0.00092	0.03028	0.10511	0.00346	0	38.2226	7.21232	0.41558	0.2006	0.46954	0.6455	0.30616	0.1757	0.58059	0.12463
Healthy	0.06063	0	0	0	0	0	0.61933	0	0	0	7.91341	0	0	3.13302	0	0	0.00774	0.03231	0.06063	0
Healthy	0.1896	0.37819	0	0.09547	0.04237	0	0	0	0	0	3.97903	10.5859	7.70607	0.2716	0.24154	0.12037	0.13546	0.10151	0.1896	0.00767
Healthy	0.28555	0	0	0.03196	0	0	0.24441	0	0.14077	0	2.98065	1.17684	0	0.2582	0.69629	0	0	0.13769	0.28555	0.36259
Healthy	0.16649	0.15347	0	0.05937	0.44662	0.00703	0	0	0	0	5.18037	2.31236	0.69049	0.08358	0.01504	0.08012	0.09593	0.09294	0.16649	0.02393
Healthy	0.03611	0.00854	1.25299	0	0	0	0	0	0	0	0.04351	0	0	0.39884	0	0	0	0.02254	0.03611	0
Healthy	0.31594	0.5065	0	0.76653	0.06307	0.00202	0	0.01596	0	0	4.53971	10.7673	0	1.24442	0.61552	0.24101	0.41414	0.34319	0.31594	0.16915
Healthy	0.87095	0	0	0	0	0	0	0	0	0	20.6505	1.16578	2.21564	0	1.21709	2.77305	1.56965	0	0.87095	0.19347
Healthy	0.07195	0	0.00712	0.00758	0	0.04047	0.00297	0	0	0	6.70341	18.6668	4.99296	0.37113	0.2175	0.48328	1.09262	0.00908	0.07195	0.1423
Healthy	0	0	0.53809	0	0	0.11715	0	0.00356	0	0	1.62073	0.81997	0	0	0	0	0	0.08386	0	0
Healthy	0	0	0	0	0	0.07737	0	0	0	0	0.21362	0	0	0	0	0	0	0.08944	0	0
Healthy	0.10387	0.05049	0	0	0	0.03877	0	0	0	0	2.35233	0.80535	4.77136	0.04833	0.06487	0.24019	0.18429	0.14683	0.10387	0.0464
Healthy	0	0	0	0	0	0.03413	0	0	0	0	3.42408	0	0.86875	0.04311	0	0	0.00328	1.87865	0	0
Healthy	0.00672	0	0	0	0	0	0	0	0	0	0.58674	0	5.33176	0.13852	0.03327	0.05183	2.0478	3.07441	0.00672	0
Healthy	0.24075	0	0	0	0	0	0	0	0	0	21.1607	10.3496	3.60727	0	0.06031	0.5509	0.58929	0.70901	0.24075	0.44124
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.49533	0	0	0.42415	0	0	0	0	0	0	7.45658	0.27024	5.00119	0.13519	0.89359	1.55214	0.82204	0.12846	0.49533	0
Healthy	0.25937	0.04845	0.10567	0.25363	0	0	0	0	0	0.00443	8.58237	1.06642	0	0	2.1455	1.21705	0	0.08846	0.25937	0.31798
D008545	0.8574	0.07753	0.00032	0.30806	0.02506	0.01992	0.06561	0.02271	0.03629	0	15.9973	13.9983	8.44554	0.03997	0.90204	0.14995	0.00181	0.38797	0.8574	1.11488
Healthy	0.03408	0	0	0.06005	0	0	0	0	0	0	0.42426	1.66709	2.21099	0.52196	0.09494	0.13399	0.13483	0.51441	0.03408	0.08427
Healthy	0.14399	0.32345	0	0.00406	0.05633	0.03927	0.03101	0	0.01092	0	26.121	7.64465	3.68932	0.26711	0.10134	0.1195	0.13181	0.03886	0.14399	0.06787
Healthy	0	0	0	0	0	0	0	0.0377	0	0	3.24652	0	0.76791	0	0	0	0.00947	0.01859	0	0
Healthy	0	0	0	0	0	0	0	0.01708	0	0	3.22054	0	0.65685	0	0	0	0	0.0065	0	0
Healthy	0.08497	0.01961	0.00021	0.00259	0	0	0	0	0	0	9.97329	1.44884	0.88818	0.47533	0.01208	0.00464	0.04898	0.02912	0.08497	0.02618
D008545	0.0065	0.11114	0.36321	0	0.04011	0.06168	0	0.10729	0.01766	0.12261	0	3.57528	11.4559	0.03915	0	0	0	0.03176	0.0065	0
Healthy	0.01013	0	0.00316	0.00558	0	0.43755	0	0.01654	0	0	15.3799	2.83793	0.18508	0	0.00491	0.03328	0.00059	0.03324	0.01013	0.00102
Healthy	0.01654	0.00698	0	0	0	0	0	0	0	0	1.85571	1.41871	1.14436	0.00804	0.02214	0.0238	0	0.32857	0.01654	0
Healthy	0.26913	0.00652	0	0.01991	0	0.02971	0.03935	0	0	0	4.9223	4.41124	1.46709	1.53844	0.50495	0.08893	0.49351	0.01462	0.26913	0.11979
Healthy	0.41087	0	0	0.23398	0	0.00439	0	0	0	0	29.9608	1.7261	5.11493	0	0.07043	0.17316	0.12964	0.05509	0.41087	0.30426
Healthy	0.06157	0	3.44212	0	0	0	0.00309	0	0	0	6.33361	0.52253	1.77324	1.92657	0.1051	0.28505	0.15398	0.2077	0.06157	0.03175
Healthy	0.81892	0	0	0	0	0	0	0	0	0	9.26578	16.1865	0.2046	0	1.6768	1.60881	1.70119	1.06205	0.81892	0.32353
Healthy	0.11198	0.00847	0.02406	0.01427	0.01976	0.41567	0	0.42592	0	0	10.7155	9.65139	0.67651	0.29203	0.21882	0.93648	0.46676	0.12706	0.11198	0.01638
Healthy	0.09891	0.01566	0	0	0	0.10829	0.21152	0	0.03303	0.01064	4.99013	1.98243	0.30155	0	0.02564	0.23235	0.0365	0	0.09891	0.0423
Healthy	0.06987	0	0	0	0	0.04819	0	0.0044	0	0	8.22775	1.28984	0.73907	0.01834	0.10887	0.11417	0.09088	0.06029	0.06987	0.04842
Healthy	0.74526	0.03248	0	0.11832	0	0.13623	0.00674	0	0	0	8.78987	5.12578	4.24391	0	2.00066	0.45564	0.40087	0.17697	0.74526	0.45561
Healthy	0	0	0	0	0	0	0	0	0	0	1.35626	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	3.13164	0	0	0	0	2.41673	0	0	3.17517	0	0	0	3.42874	0	0
Healthy	1.01361	0.00384	0	0.01437	0	0.03673	0.00561	0	0	0	3.05584	7.92901	2.52701	0.0464	1.75304	8.52626	1.69717	0.00278	1.01361	0.0923
Healthy	0.05603	0.03676	0	0.03859	0	0	0	0	0	0	2.03666	1.57861	0	0.43992	0.21378	0	0.05371	0.17361	0.05603	0.04723
Healthy	0	0	0.04896	0	0	0.20814	0	0	0	0	4.05151	0.59233	0	1.04832	0	0	0.03131	0.10635	0	0
Healthy	0.24783	0	0	0	0	0	0	0	0	0	7.11453	0.69463	0	0	0.48988	0.11319	0.25753	0.29088	0.24783	0.09805
Healthy	0.63829	4.1902	0.11688	0.03371	1.71201	0.25233	0	0.1142	0	0	1.37517	9.81111	0	2.03431	2.16175	0.04138	0.47537	0.11345	0.63829	0
Healthy	0.7162	0.20201	0.00175	0.25372	0.05806	0.0147	0.01769	0	0	0	18.2422	3.92928	0	0.06778	4.89464	0.37275	1.38689	0.22331	0.7162	0.24701
D008545	0.00857	0.1296	0.37631	0	0.0508	0.0853	0	0.11803	0.0165	0.08858	0.00497	3.83252	12.1591	0.03894	0	0	0	0.00023	0.00857	0
Healthy	0.31225	0.16784	0	0.00632	0.01863	0	0	0	0	0	2.61606	7.18614	1.55133	0.15709	0.04777	0.14741	0.17359	0.13472	0.31225	0.06409
Healthy	0	0.00428	0	0	0	0	0	0	0	0	1.82597	1.48003	1.19187	0	0.01501	0.0291	0	0.29055	0	0.00348
Healthy	0.04854	0.37544	0	0	0	0	0	0	0	0	2.1204	0.6887	11.0754	0	0	0	0.29735	0	0.04854	0.89403
Healthy	0.00646	0	0.82674	0.01341	0	0	0	0	0	0.00899	4.39199	0.31176	0.02113	1.11755	0.83084	0	0	0.07565	0.00646	0.13484
Healthy	0.06431	0	3.39034	0	0	0	0.002	0	0	0	6.48381	0.51739	1.76257	1.89426	0.10406	0.28523	0.15206	0.2163	0.06431	0.02994
Healthy	0	0	0	0	0	0	0	0	0	0	7.38846	0	0	0	0	0	0	0	0	0
Healthy	0.43667	0	0	0	0	0	1.41937	0	0.05657	0.0043	29.932	10.7134	5.60327	1.47907	0.10117	0.3816	0.62509	0.05926	0.43667	0.37424
Healthy	0.27736	0.1305	0	0.47377	0	0	0	0	0	0	4.8257	8.16964	3.93231	0.31452	0.90335	0.12401	0	0.11507	0.27736	0
Healthy	2.89407	0.34832	0	0.07458	0	0	0	0	0	0	19.1433	0	26.6047	0	1.32977	0.38654	1.03037	0.89883	2.89407	0.63823
Healthy	0.06924	0	0	0	0	0	0	0	0	0	3.50928	1.11374	0.21341	0.18642	0.04208	0	0	0.04954	0.06924	0.04628
Healthy	0	0	0	0	0	0.09169	0	0	0	0	2.43901	0	0.83582	0	0	0.19943	0	0.212	0	0
Healthy	0.81281	0.17612	0.03202	0.0503	0.10092	0.59175	0	0.15962	0	0	6.92447	1.71199	1.74758	0.49996	2.25275	0.90405	0.54609	0.01785	0.81281	0.0038
Healthy	0	0	0	0	0	0	0	0	0	0	0.00714	0	0	0	0	0	0	0	0	0
Healthy	0.20368	0	0	0.06115	0	0	0	0	0	0	3.39665	0.80901	2.09509	0	0.13518	0.88813	0.82989	0.05484	0.20368	0.09885
Healthy	0	0	0.32438	0	0	0	0	0	0	0	0.1016	1.84266	0	0	0	0	0	0.14077	0	0
Healthy	0	0.22828	0	0	0	0	0	0	0	0	0	0.00066	0	0.00209	0	0	0	0	0	0
Healthy	0	0.65432	0	0	0.62453	0	0	0	0	0.08012	0	0	0	0	0	0	0	0	0	0
Healthy	0.27573	0	0	0.15104	0	0	0.00979	0	0	0	6.29333	19.2603	0.0707	0.23558	0.3014	0.63826	0.092	0.12436	0.27573	0.19793
Healthy	0.0197	0.0695	0	0.00668	0.05266	0	0	0	0	0	4.46993	1.3823	1.73949	0.18339	0	0	0.00774	0.13166	0.0197	0
Healthy	0.11983	0.05634	0	0	0.02977	0	0.12822	0	0	0	3.98056	2.98724	0	0.25695	0	0	0	0.12649	0.11983	0.04662
Healthy	1.03689	0.41508	0.71785	2.05174	0.06243	0.06623	0.15069	0	0.00902	0.07621	5.85146	14.826	12.1429	0.53616	1.28394	0.41019	1.59627	0.53867	1.03689	0.91212
Healthy	0.41095	0.07309	0	0	0.20836	0.53078	0	0.30671	0	0	0.8535	0	4.61172	0.22402	0.15194	0	0	0.04068	0.41095	0.08323
Healthy	1.66244	0.04616	0.08884	0.63207	0.08249	0.0546	0.32931	0.03052	0.04535	0.02194	1.10758	16.6831	8.41829	0.09332	5.46255	3.71652	1.51934	0.00501	1.66244	1.70082
Healthy	0.42358	0.01035	0	0.03284	0.00669	0.01586	0	0	0	0	1.71623	22.0189	0.79561	0.19593	0.37583	1.23254	0.47299	0.02126	0.42358	0.46842
Healthy	6.68896	0	0.10143	3.77127	0	0	0	0	0	0	9.84138	1.98277	8.21781	0	4.79554	0.45399	1.20268	0.24527	6.68896	8.45021
Healthy	0.08407	0	0	0	0	0	0.0158	0	0	0	4.84495	2.27207	0.66365	0.01645	0.01349	0	0.00413	0.19775	0.08407	0
Healthy	0.11943	0.03354	0	0	0.01512	0	0.13274	0	0	0	3.51784	2.84566	0	0.26739	0	0	0	0.13701	0.11943	0.02724
Healthy	0.07525	0	0	0	0	0	0	0	0	0	4.76184	0.6725	0	0.80128	0	0	0.04789	0.1417	0.07525	0
Healthy	0.30639	0.22483	0.00669	2.89898	0.02856	0	0	0	0	9e-05	17.4317	0.00372	3.01775	0.00236	0.84883	0.05071	0.22378	0.14084	0.30639	0.13767
Healthy	0.03951	0	0.81659	0	0	0	0	0	0	0	0.0234	0.00382	0	11.0769	0	0	0	0.06539	0.03951	0
Healthy	0.00951	0.00326	0.11467	0	0	0	0	0	0	0	1.33901	0	0	2.95991	0	0	0	0.03446	0.00951	0
Healthy	0.24929	0	0.00913	0.05247	0	0	0	0	0	0	6.04399	13.0972	1.67594	0	0.22058	0.35256	0.33615	0.18573	0.24929	0.59327
Healthy	0	0	0.34972	0	0	0	0	0	0	0	0.10156	1.76152	0	0	0	0	0	0.09315	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	3.36801	0	0.33663	0	0	0	0	1.06106	0	0
Healthy	0.31291	0	0.01996	0.32723	0	0	0	0	0	0	8.34784	6.63173	1.42801	0.08724	0.03849	0.16096	0.26835	0.0429	0.31291	0.12035
Healthy	0.15198	0.05767	0	0.23122	0	0	0	0	0	0	5.69139	12.378	0.53575	0.09816	0	0	0.62765	0.2635	0.15198	0
Healthy	0.14765	0	0	0	0	0	0	0	0	0	0	2.20851	10.178	0.51752	0	0.87965	0.1403	0.27937	0.14765	0
Healthy	0.04841	0	0.02091	0.00443	0	0	0	0	0	0	25.0036	2.58913	0.61774	0	0.03677	0.13903	0	0.07534	0.04841	0.02029
Healthy	0.14317	0.04644	0.00731	0.15749	0.0189	2.6996	0.02645	0	0	0.00836	4.945	0.40475	0	2.69129	1.73624	0.20643	1.87038	0.07849	0.14317	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	58.377	0	0	1.42362	0	0	0	0	0
Healthy	0	0	0	0	0	0.19042	0	0	0	0	0.70648	0.03172	0	0	0	0	0	1.06502	0	0
Healthy	0.10676	0	0	0	0	0	0	0	0	0	1.73956	3.11051	0.12822	0	0.04224	1.65416	1.11606	0	0.10676	0
Healthy	0.84186	0.00025	0.00579	0.09763	0.01322	0.01608	0.0503	0.36959	0.01919	0	5.36463	0.03627	0.03331	0.18454	2.60757	1.0648	1.86328	0.04607	0.84186	0.74194
Healthy	0.42212	0.05554	0.00705	0.144	0.07172	0.25555	0.03885	0.0055	0.00245	0	4.8788	0.90042	0	7.95839	0.25147	0.81383	0.41954	0.16168	0.42212	0.22714
Healthy	0.10507	0	0.01409	0	0	0	0	0	0	0	1.39588	0.26023	4.06643	0.34376	0.41643	0.28464	0.28054	0.32908	0.10507	0.17105
Healthy	0.10923	0.19669	0.1963	0	0.03928	0	0	0	0	0	0	0	0	0	0.45814	0	0.10242	1.60447	0.10923	0.19267
Healthy	0	0	0	0	0	0.70031	0.04592	0	0	0	2.2851	0	1.55682	0.38373	0	0	0	0.31951	0	0
Healthy	0.1863	2.47423	0	0.06251	0.37203	0	0	0	0	0	2.0372	0.10446	2.1243	0	0.67256	0.14113	0.07471	0.21454	0.1863	0.11231
D008545	1.25418	8.33666	0.05105	0.06117	1.47815	0.11025	0.07418	0	0.43664	0	0.93709	14.2263	23.9651	0.61254	1.53488	2.22471	0.59278	1.01457	1.25418	0.64954
Healthy	0.03852	0.01818	0.08081	0	0	0.10175	0	0	0	0	5.37303	0	0	0.26074	0.01017	0.09045	0	0.00227	0.03852	0
Healthy	0.09738	0.40927	0.28563	0.08563	0.05438	0	0	0	0	0	12.5829	10.9061	4.8482	0.00425	0.05025	0	0	0.01192	0.09738	0
Healthy	0	0	0	0	0	0.72757	0.09883	0	0	0	2.3388	0	1.22796	0.46573	0	0	0	0.11988	0	0
Healthy	0.03741	0.13111	0.70298	0.35382	0	0	0	0	0	0	15.615	24.7947	12.2217	0	0	0	0	4.70194	0.03741	0
Healthy	0.23723	0	0	0	0	0	0	0	0	0	0.8132	1.57974	1.54309	1.21976	0.04766	0.52057	0.19372	0.11329	0.23723	0.02905
Healthy	0.46135	0	0.14987	0.05178	0	0.00818	0.03346	0	0	0	4.38932	16.6827	0.02117	0.01214	0.47956	1.76861	0	0.00092	0.46135	0.16392
Healthy	0	0	0	0	0	0.18888	0	0	0	0	2.44719	0	0.81281	0	0	0.21989	0	0.20813	0	0
Healthy	0	0	0	0	0	0	0	0.03661	0	0	3.1183	0	0.7224	0	0	0	0	0.01277	0	0
Healthy	0.52043	0	0	0.14382	0	0	0	0	0	0	0.42542	0	3.1502	0	1.04188	0.74637	0.68283	0.09489	0.52043	0.54558
Healthy	0.03941	0.19169	0.02596	2.23701	0.02515	0	0.21642	0.00574	0.02396	0	3.0777	19.5991	4.73085	0	1.29776	0	0	0.0046	0.03941	0
Healthy	0.21375	0	1.71147	0	0	0.56256	0	0.04016	0	0	1.86382	1.53822	0	0	0.00871	0.05359	0	0.20036	0.21375	0.08728
Healthy	0.09639	0.61746	0	0.08108	0.0372	0	0	0	0	0	0.14081	1.89779	0	0.81408	0.30393	0.05146	0.45237	0.18094	0.09639	0.32137
Healthy	0.46655	0.02681	12.1577	0	0	0	0	0	0	0	0.0676	1.97761	5.57114	0	0.39637	0	0.17783	0.19616	0.46655	0.07381
Healthy	0.47006	0.54959	0	0.15327	0.19503	0	0	0	0	0	1.16847	13.1567	0	3.26855	0.59772	0.65636	0.44957	0.14506	0.47006	0.18434
Healthy	0	0	0	0	0	0	0	0	0	0	0.23781	2.04906	0	0	1.03165	0	0.12995	0.35581	0	0
Healthy	0.23314	0	0	0	0	0	0	0	0	0	0.6775	0.53169	0.05099	1.5344	0.38706	0.43605	0.62141	0.06281	0.23314	0.40961
