p	Proteobacteria	Desulfobacterota	Verrucomicrobiota	Firmicutes	Methanobacteriota
Healthy	-0.41002807048314	-1.12592425477697	-0.830707725120064	-2.2572748686953	-1.26833066817136
Healthy	0.185063118628386	-5	-0.0782823188484275	-1.26560025747943	-5
Healthy	0.449094075274832	-1.24703013497092	-3.14266750356873	-1.14721513131945	-5
Healthy	-1.31202537996544	-5	-5	1.051093840473	-5
Healthy	-0.265152184721705	-1.75870261289001	-5	0.582984408651994	-5
Healthy	-1.33320131633383	-1.8153085691824	-5	0.0569048513364726	0.577774343999618
Healthy	-5	-5	-5	-5	-5
Healthy	-0.939906816175532	-0.504608316733061	1.02199551080134	-1.13153190097901	-5
Healthy	-5	0.176233105419458	-5	-0.522227791650743	-1.01282549891246
Healthy	0.592966876255435	-5	-5	0.271353622102484	-5
Healthy	-0.377734155008477	-2.44855000202712	0.81419430479598	0.376482058819104	-5
Healthy	0.459898869322942	-1.9515581964496	-2.15490195998574	-0.0564411855707237	0.260731872147808
Healthy	-0.529648320654182	-5	-5	-5	-5
Healthy	-0.0902675076251021	-5	-5	0.416265954074958	-5
Healthy	-0.169789980446389	-5	-5	1.146950244924	0.485932845201798
Healthy	0.624558470873253	-5	-5	0.215629633457334	-5
Healthy	0.414679264466649	-5	-5	-0.536584848478778	-5
Healthy	-0.444603223193737	-0.177773059405061	-0.878112014896319	-0.26085504067402	-5
Healthy	0.433228828459711	-5	-5	1.32789385998954	-5
Healthy	-1.09946901754724	-1.15620680167409	-5	-0.747316838067802	-5
Healthy	-0.98175733254209	-2.12090412049993	-1.48043449911949	-1.61834351741421	-5
Healthy	-0.496658819638013	-5	-5	0.70645576145229	-5
Healthy	1.02127904398954	-0.341931337516564	1.64334813711979	-0.867996607013368	-5
Healthy	-1.01963297381522	-0.470454157138276	1.01745114670004	-1.16304326294045	-5
Healthy	0.410654095544502	-2.90308998699194	-0.996582554797806	-0.0665886443976464	-5
Healthy	-0.748994826506365	-5	-5	-1.64820369310298	-5
Healthy	-0.55695617135166	-0.960942981966556	0.850736882398385	-0.758055266755733	-5
Healthy	-1.64936439174105	-5	-5	0.716771865592201	-1.60800692774029
Healthy	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	0.292838433016156	-5
Healthy	-0.759026648159996	-1.29713882942707	-5	-1.33236029394359	-5
Healthy	0.631860613368897	-5	-0.259479413946335	-1.88840147511961	-5
Healthy	0.408553697586891	-0.970291637485105	-0.410754324947494	-0.293982431100993	-5
Healthy	0.411840163863845	-5	-5	-0.984305011473482	-5
D006973	1.13766769043184	-2.19928292171761	-5	-1.72538038090876	-5
D006973	0.296428237733018	-2.74472749489669	-5	-5	-5
Healthy	0.387935910763123	-1.50265561898242	-5	-5	-5
Healthy	-5	-5	-5	-5	-5
Healthy	-0.138346129786089	-1.08857603462371	-1.02807505081581	0.190037398989312	-0.731024418902193
Healthy	-0.267831488311101	-0.253233509274442	0.940097926231087	-5	-5
Healthy	0.236373488494027	-5	-5	-0.460296761052174	-0.951092298516229
Healthy	-5	-5	-5	-0.34356637993405	-5
Healthy	-5	-5	-5	-0.268346780304104	-5
Healthy	-3.24412514432751	-0.720287439179074	1.27927923620624	-0.720538390742327	-5
Healthy	1.74098454857805	-5	-3.39794000867204	-1.69550947222651	-5
Healthy	-0.241648360659185	-5	1.07807637190583	0.0735093989447644	-5
Healthy	-0.00818049869410116	-5	0.449879338623202	0.374258801735391	-0.683463552596444
Healthy	1.54484981487026	-5	-5	-0.13499083395651	-5
Healthy	0.867749658122785	-5	-0.308193814529736	0.275695943772669	0.388704955700738
D006973	0.684412646268378	-0.911261634726002	-1.26800855098107	-2.53910215724345	-5
Healthy	0.476666455108599	0.0853084206935297	-5	-0.652162790782278	-2.08301995267962
Healthy	-0.906333217772097	-5	-5	-0.465035207605334	-0.672252928747544
Healthy	0.0628902051108873	-5	-5	-5	-5
Healthy	-1.28449805470672	-5	-5	-1.25266589038409	-5
Healthy	1.52283713787594	-1.40660315769979	-3.48148606012211	0.192826614678094	-5
Healthy	-0.128129464579834	-1.82073553566097	0.584892955610718	-2.75696195131371	-5
Healthy	0.0640234774529008	-5	-0.100491382651709	-0.30019694972716	-5
Healthy	-0.926831737734898	-0.481038835550238	1.01623542582996	-1.2185318571582	-5
Healthy	0.363041946961852	-1.10757145305477	-5	0.919402906871174	-0.0978066703730758
Healthy	-5	-5	-5	-5	-5
Healthy	-0.785076715105102	-2.79317412396815	-5	-1.13170831198214	-5
Healthy	0.0307534989344725	-0.388223603002689	-5	-1.16583371605738	-5
Healthy	1.17886476403183	-0.722184573429135	-0.458782819002195	0.0255802854362789	-1.12389767862221
Healthy	-0.295652121429059	-2.59516628338006	-5	-0.63537397104496	-5
Healthy	0.474740598479892	-1.41668784801692	-5	-1.07618627890881	-5
Healthy	0.184029550144605	-0.859272037155817	-5	-1.5054280157698	-0.75340295089363
Healthy	0.734362115377894	-0.449820584291501	0.163373101574077	-0.274586622650022	0.488614163981458
Healthy	-0.151023091657112	-1.54683460747414	0.553035447175104	-5	-5
Healthy	-0.049839682214073	-0.4315987810515	-0.15568439445564	0.256277457032671	-5
Healthy	-1.07899019850297	-5	-1.90763030037088	0.953170410062659	0.279443352577086
Healthy	0.514394992263783	-1.26696331706642	0.101217626747548	-5	-0.367390883139056
Healthy	-5	-5	-5	-0.363742852536496	-5
Healthy	0.308030554266106	-1.45892023222337	-5	-0.295772243975001	-5
Healthy	0.448853120627996	-1.33629907461035	-5	-0.997488368715092	-5
Healthy	-0.451107165863582	-5	-0.167740239407366	-0.119701008574247	-0.742177483965524
Healthy	0.180561672034769	-5	-5	-0.682103733507044	-5
Healthy	-1.20474581741912	0.217452358012074	-5	-0.247436853219887	-1.54106013810967
Healthy	-0.940058111938045	-2.80966830182971	-5	-1.26865302445405	-5
Healthy	-0.407689975744221	-5	-0.180581106626522	-1.79290445958078	-5
Healthy	-0.85390298646413	-0.95436412892178	-5	-0.521404648588605	-0.709275519980777
Healthy	-0.470377181866557	-5	-5	-0.499091465490491	-5
Healthy	-0.926025180133341	-1.48678239993206	-5	-1.69336055897574	-5
Healthy	0.421390017067081	-1.28567024025477	-5	-5	-5
Healthy	-5	-5	-5	-5	-5
Healthy	-0.0220021900412603	-5	-5	1.11050890380876	0.0203820023100244
Healthy	0.71531126204077	-0.831237424377643	-5	-1.0268721464003	-5
Healthy	0.725062622575211	-0.82929834418393	-5	-0.994219100045348	-5
Healthy	0.901621219386529	-0.476253533188435	-0.100759673533282	-5	-5
D006973	-0.53256949576095	-0.329179180305242	0.400465457020327	-1.52651302993543	-1.61888491929015
Healthy	0.493807855234094	-5	0.775691984328376	-0.255128343264855	-5
Healthy	0.434639151871673	-5	-1.24756739073853	-5	-5
Healthy	0.485428959845251	-5	-5	0.993012752319757	-5
Healthy	-0.723814025929329	-5	-5	-0.23051928278377	-5
Healthy	-5	-5	-5	-5	-5
Healthy	0.71119625733534	-0.688627638196451	-5	-1.02890978686288	-5
Healthy	0.270487844301513	-0.989742457001699	-5	-0.929112855981459	-5
Healthy	-2.44009337496389	-1.89517159634634	-0.158778223973396	-1.15720360482442	-5
Healthy	-0.826318510271541	-0.0116506608530314	1.09168137522985	-2.10679324694015	-5
Healthy	1.05315530296188	-1.2098556349571	0.709290318052555	-5	-0.264249443050053
Healthy	-0.296313206970355	-0.181760906146476	-0.837256416764585	-0.216053564833748	-5
Healthy	-0.774716569905557	-1.18708664335714	-5	-0.27574051917945	-5
Healthy	0.809585300223161	-1.24902901556268	0.224064071833704	-1.71354353025302	-0.603992552294838
Healthy	-5	-5	-5	-5	-5
Healthy	-0.500051869424349	-0.422289958839038	-0.0564856989189822	-0.831767770486579	-0.0241731402651672
Healthy	-0.0644222048359064	-0.604324214730064	-5	-0.482553366080614	-5
Healthy	-0.110082316563794	-5	-5	-5	-5
Healthy	-0.633091651478627	-0.608906033729366	-3.48148606012211	-1.21296481797378	-5
Healthy	-1.47521455067878	-5	-5	-1.34524606674707	-5
Healthy	0.330275751303548	-5	0.263122184828126	0.179683897698728	-5
Healthy	0.493729835674895	-5	0.765426384839824	-0.36897246014147	-5
Healthy	0.381573511428956	-5	-5	-0.734403976912408	-5
Healthy	-5	-5	-5	0.885516701288187	-0.191222045296204
Healthy	-0.41054190953502	-5	-5	-1.1786175002527	-5
Healthy	-0.966616458826881	-1.73471037413917	-5	-0.558037929911472	-5
Healthy	1.02447088994175	-0.145918756170271	1.63821371704129	-0.855456925727212	-5
Healthy	0.465747089582431	-1.82739706879014	-1.45967052520913	-2.65955588515988	-5
Healthy	-0.654371453543694	-5	-5	0.629334151724093	-5
Healthy	-0.17532757261464	-2.33254704711005	-5	-0.0889703004937882	-5
Healthy	-0.105351696206483	-1.0519784668589	-0.197267312345918	0.868222280049216	-0.163429052339501
Healthy	-0.18894807088368	-5	-1.39902710431325	-0.284255639895637	-5
Healthy	-0.319356328457753	-2.42365864979421	-5	-0.63712186421107	-5
Healthy	-0.0792351019025129	-1.73025362686923	-1.32275815405335	0.304886726880107	-5
Healthy	0.349205624890484	-5	-0.0495231782974773	-1.51541547071716	-5
Healthy	-1.42250820016277	-5	-2.08144546944973	0.228043433509841	-0.185532648252216
Healthy	0.625943879895748	-5	-5	-0.527902071630646	-5
Healthy	-1.06454311928839	0.154998796858298	-5	-0.279973073180271	-1.85016530328421
Healthy	0.279872181802656	-0.988810312390009	1.01276174366827	-0.175796039171376	-0.236220220664651
Healthy	-0.388861099604354	-1.55924829952081	-5	1.01701788816255	0.516117404014169
Healthy	0.779484656852121	-5	-5	-0.365563037462101	-5
Healthy	-0.519317693674513	-1.06722192993945	-5	-0.595371510358081	-0.691286223360996
Healthy	0.216498426045241	-5	-1.42101715729721	0.106109268076676	-1.1087971727397
Healthy	-1.12314735239866	-5	-5	1.2402641177506	-1.45087407324189
Healthy	-0.637781499673948	-0.090652610581442	1.09247185389862	-5	-5
Healthy	0.469963322716831	-1.32002730572258	-5	-1.3058337040668	-5
Healthy	0.175192788386603	-2.29929628285498	-2.55595520408192	-0.718625697644953	-5
Healthy	-1.21275211966805	-5	-0.152723551724369	-1.69940451611004	-5
Healthy	-5	-5	0.0925346791269115	-0.420856888356185	-5
Healthy	-1.47391930819797	-0.857986167015641	-5	-0.0835460514500749	-5
Healthy	-5	0.189296564480904	-5	-0.684323479651987	-1.03461012978488
Healthy	0.493842680869723	-5	-5	0.415989409775816	0.815216349987667
Healthy	-0.156007715296637	-1.33828194230534	-0.975637495646718	-0.720241827197527	-5
Healthy	0.501999443521579	-5	-5	-0.048754790735713	-5
Healthy	-0.547937422579577	-1.98758462523757	-5	-1.05640656723163	-5
Healthy	-0.0410158810572654	-1.06083032037482	-0.936216439402645	-0.392866795608433	0.828015709534763
Healthy	-0.807126028457478	-5	-5	-0.52712658475644	-5
Healthy	-5	-5	-5	-5	-5
Healthy	-0.00137018679696171	-5	-5	-0.664943480560908	-5
Healthy	0.213783299335304	-0.725426535803529	-5	-1.71242219092129	-0.688776089567544
Healthy	0.134476737534991	-5	-0.661922184979134	0.0150242633246252	-5
Healthy	-2.52578373592374	-5	-5	-5	-5
Healthy	-0.917286419828668	0.225567713439471	-5	-0.301142926910974	-1.75080164260889
Healthy	-1.73541827076192	-0.186285608118855	1.3596820298023	-0.405000083267754	0.293260875908029
Healthy	0.91410504981628	-5	-5	-0.632681359070309	-5
Healthy	-0.32652751393593	-5	-0.497436330892637	0.870129897270743	0.528260908991754
D006973	0.494258979184647	-2.49757288001557	-5	-5	-5
Healthy	-0.484232094691555	-0.454185884038717	0.933394142447361	-5	-5
Healthy	-0.611667852142784	-5	-5	-1.48017200622428	-5
Healthy	-0.138716560793675	-1.17263072694617	-5	-1.75522823850471	-5
Healthy	0.152795744228193	-1.80631897045872	-1.13029902632612	0.583002560080506	-5
Healthy	-1.32376378323669	-1.02904906565458	-1.3108688027655	-1.3347005005001	-5
Healthy	-0.50619353784942	-5	-5	-0.355640201258412	-5
Healthy	0.615774405540379	-2.09963287134353	-5	-0.681269033111902	-5
Healthy	1.19040510174362	-1.21204387671607	-5	-1.11047420332881	-5
Healthy	0.30496204994215	-0.478234474122917	1.0436494855356	0.156555208395287	1.52860062963061
Healthy	-1.48492132492408	-5	-5	-1.47612352436187	-0.530560920816393
Healthy	-0.215247234325595	-5	0.370433514082412	0.0111134963380321	1.32405825208445
Healthy	-0.607285464323705	0.219838532526917	1.2210857191749	-2.27654432796481	-5
Healthy	-0.0874591172093625	-1.76929568638743	-0.142124974476437	-1.9613798380503	-5
Healthy	0.761866221337698	-5	-5	-0.346160624597503	-5
Healthy	-0.834458923277627	-5	-5	0.0187920070191681	-0.0642761447734687
Healthy	0.120211868257074	-0.874063533033906	0.839532723555908	-0.466520280274016	-5
Healthy	0.886993538765038	-1.64397414280688	-2.61439372640169	-5	-5
Healthy	-5	-5	-5	-0.383282986810365	-5
Healthy	-5	-5	-0.133175295571966	-5	-5
Healthy	-5	-5	-5	-5	-5
Healthy	-0.0288587291620607	-5	-0.399637068573496	-1.39415646094191	-5
Healthy	-1.06203099704855	-0.418289218100965	-1.10618277603254	-5	-0.191863329532638
Healthy	1.33742032279846	-5	0.350684032686936	0.263782780904469	-0.796749476056704
Healthy	-1.98927613460823	-5	0.890847278901384	0.738626784677017	0.102889715529244
Healthy	-0.753378337304012	-0.91388942619868	-5	-1.23158391178367	-5
Healthy	0.493151217795686	-0.439268640118027	-5	-1.15608236199361	-5
Healthy	0.561010697311624	-5	-0.401187614972761	-5	-5
Healthy	0.298197867109815	-0.420170690580463	-1.12211057462852	-1.21161948468044	-1.65757731917779
Healthy	-0.116389661320575	-1.91435271170314	-0.418812930904102	-0.339115557585661	-5
Healthy	-0.401373615358346	-0.164670962677237	-0.787892334452341	-0.203682434305506	-5
Healthy	-5	-5	-5	-5	-5
D006973	0.390650780671015	-2.44009337496389	-5	-2.39469495385889	-5
Healthy	0.0967536388455329	-5	0.63428879987915	-1.10579474085792	-5
Healthy	-1.85418228550817	-5	-0.951364011567352	-0.105855694858373	-5
Healthy	-0.15793396806739	-0.803796171378852	0.444556898873777	-0.683861843690182	-5
Healthy	1.03878661622049	-2.64975198166584	-0.268427349935321	0.429781339627466	-5
Healthy	0.068434489114242	-0.35448930864974	-5	-1.11463877996849	-5
Healthy	-5	-5	-5	-5	-5
Healthy	-0.708919887036473	-5	-5	-0.602738019719488	-0.766902312135297
Healthy	1.5447992766518	-1.85855022659953	-5	-0.284841010141251	-5
Healthy	-0.686976889676762	-5	-5	-1.3337629041042	-5
Healthy	-1.0588862729629	-5	-5	-0.426768570195741	-5
Healthy	-0.464832514885056	-5	-5	-5	-5
Healthy	-0.204878053462417	-0.505177774056221	0.739798530024035	-5	-5
Healthy	1.29530644506905	-5	-5	0.746443472210338	-5
Healthy	-1.17678668671733	-1.35369431971524	-0.264632679312285	-1.27140275661657	-5
Healthy	-0.121863265765277	-1.29098458302788	-5	-1.33208031468264	-5
Healthy	-0.619264302584309	-1.7851561519523	-1.10138450258381	0.231739666149884	-5
D006973	-0.527389802403955	-5	-5	-1.05423607688883	-5
Healthy	-0.261663473011745	-0.989403263793475	-0.851675036961183	-1.96177736163128	-1.28600573233936
Healthy	0.925629186050317	-5	-5	1.52994301710022	-5
Healthy	-0.921869569197436	-2.2298847052129	-0.636688934363375	0.349741692672937	-1.87516985058614
Healthy	0.531020110897529	-1.41363777669213	-5	1.10152127833332	-0.996927404032325
Healthy	-0.587757914790086	-0.411347401849827	0.920374330239234	-5	-5
Healthy	-0.750092670064082	-1.03423403581731	-0.238989807304281	-1.35674477497523	-1.89756629431866
Healthy	-5	-5	-5	0.489310067605182	1.36450615658961
Healthy	-5	-5	-5	-5	-5
Healthy	0.302309278369985	-5	-5	0.352568386179309	0.349240606009723
Healthy	-0.295961075129442	-1.41386297476921	-5	-1.5598783968122	-5
Healthy	-0.541347045342033	-0.950975902084951	-5	-1.60783085051026	-5
Healthy	-0.0069431160985507	-1.54913530762023	-1.66715773300565	-1.16640670600154	-5
Healthy	-5	-5	-5	0.821520733834141	0.80443522452613
Healthy	-1.23343844736247	-5	-5	-5	-0.752689722544344
Healthy	-0.249738521213526	-0.264936314707202	0.970738215870904	-5	-5
Healthy	-0.223545809517815	-2.34008379993015	-0.6379324142726	-5	-5
Healthy	0.229349020167703	-5	0.617416602702037	0.456730323223298	1.25366529929137
Healthy	-1.47729500726525	-5	-5	0.389325591817493	-0.448001380950991
Healthy	0.0376336348940759	-1.41930306028756	-0.0378296233997654	-5	-5
Healthy	0.181634962203798	-1.49214412830417	-5	-1.03315457634508	-5
Healthy	0.760724725601537	-1.44977164694491	0.241705825482542	-0.65527378206014	0.191112725523787
Healthy	0.560449452855777	-0.838991562693998	-5	-1.14886400498843	-1.16857818293498
Healthy	-0.311856149451174	-5	-5	0.870213054723745	-5
Healthy	0.774385562646841	-5	-5	-0.23832018598596	-5
Healthy	-0.0634209172020868	-5	-5	-1.16008222432132	-5
Healthy	0.157927980321232	-5	-5	0.803951902084505	-5
Healthy	-0.346536632985738	-5	-5	-0.379166717701978	-5
Healthy	0.264652570846897	-1.16215913834448	-5	0.718356346128207	-5
Healthy	-0.0820798243366253	-1.84466396253494	-1.56431486205837	0.294100118165507	-5
Healthy	-0.794146304535075	-5	-5	0.252843325966833	-5
Healthy	-0.520799118887217	-5	-5	-0.36133107215461	-5
Healthy	-5	-5	-5	-0.0894929878623997	-5
Healthy	-1.04052929792489	-5	-2.05305672930217	0.366493932889678	-5
Healthy	0.377808750839212	-1.13882416448697	0.819989188075231	-2.08407278830288	-5
Healthy	-0.698254008974744	-2.13135556160517	1.11962567414056	0.174417451591035	-5
Healthy	-0.608817803738631	-1.38310457359924	0.154253508753743	0.039402220534185	0.142924182599585
Healthy	-0.306528076141141	-5	-5	0.479596902005586	-5
Healthy	-0.433692167301908	-0.451930123906273	-0.102389401218225	-0.867484165087361	-0.0199966284162537
Healthy	-0.284272353815048	-5	-5	-0.400488091822536	0.208787901234352
Healthy	-5	-5	-5	0.279356622862045	-5
Healthy	0.729003519824778	-0.814457845145625	-5	-5	-5
Healthy	-0.483424966318601	-2.10347378251044	-5	-1.0081539463551	-5
Healthy	-5	-5	-0.110037552012833	-0.550892027573513	-5
Healthy	-0.932371283271754	-0.158552928542836	-0.362140177167756	0.0675729628952012	-5
Healthy	-1.71805806655918	-5	-5	-1.74909230029914	-1.67716072731368
Healthy	-0.541876055338938	-0.849581305520702	-5	-0.635336459105234	-0.650004100737144
Healthy	-0.220367439269799	-1.67345933148344	-5	0.677847755157968	-1.05645602284655
Healthy	-0.709053215265694	-1.31211447515129	-5	-0.0405340657025391	-5
