group	Firmicutes_A	Actinobacteriota	Firmicutes	Verrucomicrobiota	Methanobacteriota		Bacteroidota	Proteobacteria	Desulfobacterota	
Healthy	31.11105	0.84638	1.11176	0.03917	0		40.45841	0.29448	0	
Healthy	14.30626	0.5288	0.31565	23.484	2.20838		29.45115	0	0.71462	
Healthy	9.71004	3.63884	0.09111	0.90006	0.91984		59.94951	0.24576	0.36652	
Healthy	10.42742	4.25947	0.01041	0.11704	0.06314		69.31403	0.35618	0.08906	
Healthy	37.54418	0	0	0	0		51.86404	0.04924	0	
Healthy	7.19351	0.00788	0.10386	0	0		87.79754	0.02213	0	
Healthy	17.53068	6.80206	0.80843	1.1655	0		48.12186	0.45536	0.0012	
Healthy	24.0498	1.27202	0.32	0	0		52.10296	1.87444	0	
Healthy	40.23628	5.34989	3.31825	0	0		3.58455	0	0	
Healthy	23.37749	7.33472	0.09202	0.07252	0.52921		55.96175	0.01115	0.05871	
Healthy	6.6307	0.80074	0.163	0	0		76.93222	0.38872	0.07883	
Healthy	0.33418	53.799	3.50436	0	0		9.78837	27.78192	0.13184	
Healthy	25.23882	0.99682	1.20542	4.64535	2.8803		47.09899	0	0.08855	
Healthy	7.58224	0.40903	0.27242	0	0		68.68363	0.23778	0	
Healthy	2.56496	0.15444	0.24408	0	0		89.10926	0.46306	0.00251	
Healthy	9.90427	0.20519	0.50213	0	0		68.74356	0.07863	1.66613	
Healthy	34.3302	5.20082	11.84842	1.91177	0		28.65617	2.17787	0	
Healthy	15.58102	1.1437	0.07183	0	0		63.79876	0.15651	0.06513	
Healthy	35.90349	0.01631	0.14314	0.02478	0		53.12384	1.28454	0.037	
Healthy	2.41615	0.0863	0	0	0		79.20896	0.26069	0	
Healthy	9.89037	0	0.27287	20.014	0.54614		30.60738	6.40698	0.65549	
Healthy	28.81302	0	0.0223	0.00383	0		56.25764	0.01474	0	
Healthy	5.85974	0.102	0	0	0		44.45977	0.1002	0.05737	
Healthy	25.37276	0.16463	0	1.13725	15.6428		39.3006	0	0.02658	
Healthy	16.98491	0	0.14265	0	0.32705		41.24657	16.45125	0	
Healthy	7.64421	0.22191	0.10243	0	0		86.758	1.75402	0.09831	
Healthy	68.26649	0	0.11515	0.00932	3.21156		12.46553	0	0	
Healthy	29.47053	4.58886	0.23235	0.46621	0.11285		32.27683	1.15039	0.00189	
Healthy	17.59314	1.24577	0.06868	0	0		64.17502	0.19017	0.06104	
Healthy	6.84408	0.81124	0.14147	0	0		76.44017	0.33784	0.10029	
Healthy	24.61586	25.38832	18.28259	0	1.04718		9.7859	1.75061	0	
Healthy	19.25723	6.79437	2.16373	0	0		42.18549	15.52302	0.03635	
Healthy	23.91868	2.14557	2.45416	0.4713	0.14447		42.13047	3.57498	0.0481	
Healthy	66.8256	7.83428	0	17.4263	0		0	0	0	
Healthy	44.58733	0	0.11797	0	0.15253		32.80466	0.40379	0	
Healthy	11.51107	0.02957	0.07184	0	0		56.49432	0.71479	0.03612	
Healthy	5.42433	0.80846	0.09705	0	0		75.43383	5.97118	0.20315	
Healthy	7.33314	0.38779	0.24099	0	0		68.34488	0.12857	0	
Healthy	24.09324	0.21172	0.0141	1.91855	0.01981		52.57168	1.43022	0.0924	
Healthy	11.78326	0	0.2213	0.54368	0.60936		33.84867	13.22994	0	
Healthy	14.05663	5.18172	0.31709	0	0		56.34078	2.29813	0	
Healthy	2.12578	0	0	0.53649	0		92.1473	4.12779	0	
Healthy	3.76215	21.04313	0.86968	0	0		68.44359	1.52386	0	
Healthy	40.22476	10.0305	0.62807	0	0		20.22819	0.22236	0.06614	
Healthy	33.73335	1.84195	2.38221	0.87446	0		34.97998	0.0093	0.28312	
Healthy	21.43478	3.02823	0	1.83608	0.54243		54.76138	1.16431	0	
