group	Veillonellales	Coriobacteriales	Peptostreptococcales		Bacteroidales	Lachnospirales	Enterobacterales	Verrucomicrobiales	Burkholderiales	Methanobacteriales	Erysipelotrichales	Coriobacteriales	Acidaminococcales	Peptostreptococcales
Healthy	5.12865	0	0		12.46553	58.92111	0	0.00932	0	3.21156	0	0	0	0
Healthy	6.53381	0.19064	0		76.44017	2.98722	0.03895	0	0.29889	0	0.14147	0.19064	0	0
Healthy	2.39552	2.82554	0		9.7859	15.91284	1.75061	0	0	1.04718	2.57172	2.82554	0	0
Healthy	0.00473	1.73487	0.04743		42.18549	15.08024	6.51836	0	8.98905	0	1.6957	1.73487	2.16701	0.04743
D011236	2.30825	0.02493	0.08459		77.75155	16.08732	0.86327	0	0	0	0.01013	0.02493	0	0.08459
Healthy	6.35013	0	0		68.34488	2.94694	0	0	0.12857	0	0.24099	0	0	0
Healthy	0	0.31594	0		75.43383	3.31311	0.01729	0	5.95389	0	0.09705	0.31594	0	0
Healthy	11.5958	0	0		33.84867	4.67955	12.8542	0.54368	0.37574	0.60936	0.2213	0	0	0
Healthy	0.22524	0.21172	0		52.57168	4.47133	0.00825	1.91855	1.42197	0.01981	0.0032	0.21172	0	0
Healthy	0.01956	0.00368	0.09932		56.34078	4.96469	2.29463	0	0.0035	0	0.04242	0.00368	0	0.09932
Healthy	4.07963	0.20396	0.0908		20.22819	26.02253	0.21558	0	0.00678	0	0.08736	0.20396	0	0.0908
Healthy	0	1.11002	0		34.97998	15.93214	0	0.87446	0.0093	0	0.08713	1.11002	2.25084	0
Healthy	0	0.44391	0.12217		54.76138	13.86684	0	1.83608	1.16431	0.54243	0	0.44391	0	0.12217
Healthy	4.777	0	0		66.122	13.69074	2.77557	0	1.07698	0	0	0	0	0
Healthy	0	0	0		65.39898	5.4809	0.12423	7.69718	0.10417	0	0	0	0	0
Healthy	0	0.31466	0.0709		76.52103	5.82858	1.37665	0	0	0	0	0.31466	0	0.0709
Healthy	0	0.23162	0		53.00535	7.62617	0.04487	5.35516	0.39005	0	0	0.23162	0	0
Healthy	2.69249	0	0		75.97442	2.05337	0.6011	0	0.013	0	0	0	0	0
Healthy	0.15028	1.00781	0.13647		43.89442	17.42598	2.12948	4.75004	0.00433	0.00715	0.08093	1.00781	0	0.13647
Healthy	9.30256	0.69144	0		54.50736	0.82468	1.06216	7.16262	0.2712	0	0.35675	0.69144	0	0
Healthy	0.27195	0.41073	0		36.60204	13.15289	0.01462	0.03189	1.85847	0.05897	0	0.41073	0.19254	0
Healthy	0	3.68311	0.26971		2.1963	29.97117	0	0	0	2.07917	3.05681	3.68311	0.2624	0.26971
Healthy	3.36743	0.14868	0		88.99303	1.15799	0.42965	0	0.11156	0	0.02708	0.14868	0	0
Healthy	1.41269	0.23323	0.26029		55.54238	16.08956	0.04188	0	0.03569	0	0.43867	0.23323	0	0.26029
Healthy	0	0.51129	0		70.48564	2.66517	0.07776	0	5.7003	0	0.01705	0.51129	0	0
Healthy	0	0.7355	0		58.09122	3.20391	0.06544	0	7.09637	0	0.01215	0.7355	0	0
Healthy	5.37671	0.03641	0		40.21055	22.52399	0.07492	0	0	0	0.0136	0.03641	0	0
Healthy	0	0.07736	0		64.56848	23.50672	0	0	2.9757	0	0.05412	0.07736	0	0
Healthy	4.62199	0.03571	0		69.88918	5.27636	0	0	6.33312	0	0	0.03571	0	0
Healthy	0	0.14686	0		41.95701	0.74218	0.04178	17.199	0.0632	0	0	0.14686	0	0
Healthy	0	1.47704	0		1.9337	4.66382	78.76377	3.52859	0.02799	0	0.01017	1.47704	0	0
Healthy	0.008	0.01042	0.25312		63.27551	20.07617	1.87079	0	0.17411	0	0.14607	0.01042	0	0.25312
Healthy	7.88732	0	0.16683		50.98894	20.8232	3.09305	0	5.90439	0	0	0	0	0.16683
Healthy	0	3.88243	0		18.80818	18.86342	0	0	0	0	11.3576	3.88243	1.40591	0
Healthy	1.99584	0.21735	0.01342		7.42578	8.09311	0	0	0	0	0.57473	0.21735	0	0.01342
Healthy	0	0.10638	0		68.09654	18.30054	0	0.06765	0	0	0	0.10638	0	0
