c	Bacteroidia	Actinomycetia	Gammaproteobacteria	Coriobacteriia	Verrucomicrobiae	Methanobacteria
Healthy	1.12037516310008	-1.78251605578609	0.99950331749903	0.157293537030964	1.63962801034967	-5
Healthy	1.85877539268605	-5	-1.28075160155205	-5	-5	-5
D013167	1.79777295380682	0.169221685629177	0.456880503911506	-0.490461466447568	-5	-5
Healthy	1.76248500077786	-5	-5	-5	-5	-5
Healthy	0.753566207633706	0.256147450368233	-5	-5	-5	-5
Healthy	1.67342301960269	-0.0907114758377493	0.916401830084926	-5	-2.79860287567955	-5
Healthy	1.84256505913163	-0.419576861588155	-0.796070062755374	-5	-5	-5
Healthy	1.49356483387704	-0.301507982535077	0.445532593261974	-0.249483891283201	0.815250243860085	-5
Healthy	1.71315322488589	-0.0859743483036714	-1.03207779326948	0.113150877468074	-5	-5
Healthy	1.76828215948572	-5	-1.96617430604669	-1.91470942176993	-5	-5
Healthy	1.40912732608835	1.34327168575716	0.254888708775947	0.146202479780109	-5	-5
Healthy	1.751024304759	-0.142643376767697	0.253345275820191	-0.576737737901385	-0.0835460514500749	-0.593527949534324
Healthy	1.3636531513135	1.07310257186231	-5	-5	-5	-5
Healthy	1.83153801034881	-5	-0.85873840937791	-0.434990895787404	-0.218474395596606	-5
Healthy	-0.56125202309777	0.935873389978904	1.05839185658905	-0.0813721327862228	-0.00261361560268669	-5
Healthy	1.93835333049894	-0.639539128949822	0.203449022518777	-5	-5	-5
Healthy	1.80841638682843	1.10762472634163	0.444673910810744	0.559244509416333	-5	-5
Healthy	1.13997348798446	0.0604674143361238	-0.726050107449991	-0.810650075660802	-1.58037463911226	0.218461978766149
Healthy	1.54122030352031	-0.768046430801019	0.0757512871934784	-1.23912536194781	0.270571704722232	0.90543588720795
Healthy	1.65610510465173	0.490921572614853	-0.72268882082597	-0.767664722914346	-5	-5
Healthy	1.43020829188859	0.393975096445539	1.22703810241191	-0.300812902691751	0.74214280216862	-5
Healthy	1.54534163593735	-0.48384819086776	-1.12871902714203	0.409194025170417	-5	-5
Healthy	1.68276546649112	-5	-0.738404101517821	-5	0.766518433276982	-5
Healthy	1.31879954964682	1.10904437714116	1.37284206856713	-0.4678318683063	0.218672021321886	-0.0989123766000521
Healthy	1.10018575831703	0.436447310914848	0.360097118092937	-0.139763839938269	-5	-5
Healthy	1.46493613135373	-5	0.815012931185225	-5	1.30050874675137	-0.265824467335679
Healthy	1.53452703352098	0.99456129217834	-0.922268820347608	-0.856080061614163	-1.06108018775523	-5
Healthy	1.82816042852175	-5	-0.370671966205419	-5	-0.392009141452825	-5
Healthy	1.66400962634643	-5	-0.940058111938045	-0.863279432843593	-1.06429125215734	-5
Healthy	1.32580085766442	-0.460986665060487	-5	-5	1.68812791006636	-5
Healthy	1.5976974889962	-0.215925022521303	-0.366460851072662	-1.02447628703967	-1.60101893334187	-0.194444773478747
Healthy	1.23406807784543	1.38646596861784	-0.581831337932134	-0.0468639369858433	-5	-5
Healthy	1.54045311221858	0.530503213925169	-0.713813083058962	-0.341330501793832	0.21827810816134	-0.743787541434838
Healthy	1.75494401147996	0.750233691942234	-2.69680394257951	-0.0893435844122668	-5	-1.09044397075882
Healthy	1.73383868006618	-0.687653360969147	0.63423738469509	0.163846875794205	-5	-5
Healthy	1.39257878095216	1.40112833208387	-0.0375264840391993	0.759851342542993	-5	-5
Healthy	1.80276490252706	-0.299330889371745	0.186603221792895	-0.683903790324869	-5	-0.726790316599669
Healthy	1.71674927159693	-0.587875593826683	0.345965457886395	-1.06068046892176	-0.200824927584771	-1.15187248943213
Healthy	1.60690102497749	-0.328716051374985	-0.530929447968747	-0.423336216585005	-1.40693556834128	-5
Healthy	1.68234249553608	0.768325030057909	-0.341635584312928	-0.0285803382281341	0.066516004090991	-5
Healthy	1.74789136461658	0.749569366032057	-1.95233580539844	0.234745000628051	-1.13948232253825	-0.276363751548955
Healthy	1.8861083213193	-0.181859917724294	-0.410351941664339	-0.844998163768747	-5	-5
Healthy	0.99071082098826	1.7298044975577	1.44376241272035	-0.920782564253433	-5	-5
Healthy	1.67301168634137	-0.00137890022102005	-5	-5	0.667019376016459	0.459439232218998
Healthy	1.94992288585992	-5	-0.334353353872193	-0.81121208736253	-5	-5
Healthy	1.72528954175842	-5	0.108751013469221	-1.78727984558216	-1.60572347323218	-5
Healthy	1.4858262973554	-5	0.806654046147595	-5	1.30133411244408	-0.262688062010375
Healthy	1.64796730935212	-5	-0.999088937868777	-0.991357252434715	-5	-5
Healthy	1.59439929128072	-1.02122621566988	-5	-1.15851539066461	0.0558597642979701	1.19431477032722
Healthy	1.61538794443253	-5	1.21619916612133	-5	-5	-0.48537256758866
Healthy	1.93830958188606	-0.65380355627079	0.244037017036314	-5	-5	-5
Healthy	1.09571109663366	-5	-5	-5	-2.0301183562535	0.506717392419689
Healthy	1.88332170105324	-0.207181230830761	-0.471276076739006	-0.719763190390311	-5	-5
Healthy	0.990601217280949	1.35339280128144	0.243191885767495	0.451102996833693	-5	0.0200254863257827
Healthy	1.62516320091162	0.704108458618344	1.19097649680895	0.239269440429388	-5	-5
Healthy	1.83470604885608	-0.411392195257313	-0.890826578574528	-5	-5	-5
Healthy	1.87756621627172	-0.30756731148585	0.776060890414528	-0.500381640299993	-5	-5
Healthy	1.52954173713065	-5	1.12155820285983	-5	-0.264648654831209	-0.21511893041391
