group	Lachnospirales	Oscillospirales	Actinomycetales	Coriobacteriales	Verrucomicrobiales	Acidaminococcales	Erysipelotrichales		Bacteroidales	Lachnospirales	Oscillospirales	Actinomycetales	Verrucomicrobiales	Burkholderiales	Methanobacteriales	Erysipelotrichales	Coriobacteriales	Acidaminococcales
Healthy	26.51074	20.18504	24.34814	0.8977	0	0	0		17.14225	26.51074	20.18504	24.34814	0	0.04446	0	0	0.8977	0
Healthy	17.91379	8.13833	3.39236	0.45568	1.65301	0	0		34.70987	17.91379	8.13833	3.39236	1.65301	0.19327	0.18038	0	0.45568	0
D009765	29.93906	5.71358	1.13755	5.47443	0.00213	0	0.01161		7.785	29.93906	5.71358	1.13755	0.00213	0	0	0.01161	5.47443	0
Healthy	3.84486	10.02552	5.62643	0.81405	0	0	0.0123		56.87795	3.84486	10.02552	5.62643	0	0.002	0.08119	0.0123	0.81405	0
Healthy	16.00939	6.22563	0.20527	1.45829	0	0	0		54.17995	16.00939	6.22563	0.20527	0	4.30761	0	0	1.45829	0
Healthy	20.64762	0.04915	25.1842	5.75242	0	0.02949	0		24.69327	20.64762	0.04915	25.1842	0	0	0	0	5.75242	0.02949
Healthy	6.7014	7.50643	0.50195	0.20705	0	0	0		63.4987	6.7014	7.50643	0.50195	0	1.45864	0.18758	0	0.20705	0
Healthy	21.81106	4.10247	0.25829	0.08695	0.62975	2.04301	0.02074		52.08938	21.81106	4.10247	0.25829	0.62975	2.12136	0.07048	0.02074	0.08695	2.04301
Healthy	19.16726	11.91721	0.46911	0.37727	0.03917	0	0.06243		40.44836	19.16726	11.91721	0.46911	0.03917	0.14328	0	0.06243	0.37727	0
D009765	14.88757	4.27079	0.24338	2.37898	0	0	0.11769		42.35436	14.88757	4.27079	0.24338	0	0.18122	0	0.11769	2.37898	0
Healthy	9.33161	8.19907	5.86576	0.9363	1.1655	0	0.79186		48.12186	9.33161	8.19907	5.86576	1.1655	0.02565	0	0.79186	0.9363	0
Healthy	13.53386	9.83018	5.61783	1.71689	0.07252	0.00079	0.00364		55.96175	13.53386	9.83018	5.61783	0.07252	0	0.52921	0.00364	1.71689	0.00079
Healthy	2.91449	3.71621	0.65786	0.14288	0	0	0.163		76.93222	2.91449	3.71621	0.65786	0	0.29286	0	0.163	0.14288	0
Healthy	0.18846	0.00382	53.66251	0.12	0	0.01689	0		9.78837	0.18846	0.00382	53.66251	0	10.9103	0	0	0.12	0.01689
Healthy	13.06821	12.17061	0.99682	0	4.64535	0	1.0157		47.09899	13.06821	12.17061	0.99682	4.64535	0	2.8803	1.0157	0	0
D009765	24.74849	9.11493	1.79681	3.99968	0.27684	4.2437	0		24.56094	24.74849	9.11493	1.79681	0.27684	0	0	0	3.99968	4.2437
Healthy	1.11149	1.45347	0	0.15444	0	0	0.01149		89.10926	1.11149	1.45347	0	0	0.0857	0	0.01149	0.15444	0
D009765	2.25936	2.69253	0	0	0	0	0		73.97118	2.25936	2.69253	0	0	0.15313	0	0	0	0
Healthy	8.53065	27.37284	0	0.01631	0.02478	0	0.00061		53.12384	8.53065	27.37284	0	0.02478	1.28454	0	0.00061	0.01631	0
Healthy	4.60479	5.28558	0	0	20.014	1.00509	0.05876		30.60738	4.60479	5.28558	0	20.014	0.03316	0.54614	0.05876	0	1.00509
Healthy	3.30342	2.55632	0	0.102	0	0	0		44.45977	3.30342	2.55632	0	0	0.1002	0	0	0.102	0
Healthy	24.13931	1.23345	0.09522	0.06941	1.13725	0.01163	0		39.3006	24.13931	1.23345	0.09522	1.13725	0	15.6428	0	0.06941	0.01163
Healthy	12.86415	3.76713	0	0	0	0	0.14265		41.24657	12.86415	3.76713	0	0	0.04035	0.32705	0.14265	0	0
D009765	50.36475	3.24792	0.13816	0.03663	0	0	0.06641		32.09683	50.36475	3.24792	0.13816	0	0	0	0.06641	0.03663	0
Healthy	4.04901	3.5952	0.22191	0	0	0	0.04		86.758	4.04901	3.5952	0.22191	0	0.08025	0	0.04	0	0
Healthy	58.92111	9.34538	0	0	0.00932	0	0		12.46553	58.92111	9.34538	0	0.00932	0	3.21156	0	0	0
Healthy	2.98722	3.85686	0.6206	0.19064	0	0	0.14147		76.44017	2.98722	3.85686	0.6206	0	0.29889	0	0.14147	0.19064	0
Healthy	15.91284	8.70302	22.56278	2.82554	0	0	2.57172		9.7859	15.91284	8.70302	22.56278	0	0	1.04718	2.57172	2.82554	0
Healthy	15.08024	4.12956	5.0595	1.73487	0	2.16701	1.6957		42.18549	15.08024	4.12956	5.0595	0	8.98905	0	1.6957	1.73487	2.16701
D009765	9.83436	3.39755	0	0	0	0	4.8618		55.26187	9.83436	3.39755	0	0	0	0.90353	4.8618	0	0
