c	Gammaproteobacteria	Bacilli	Negativicutes	Bacteroidia	Clostridia
Healthy	0.99950331749903	-0.738784727731408	0.418049261100667	1.12037516310008	0.834881459911079
Healthy	-1.28075160155205	-5	0.579395987303872	1.85877539268605	1.14248551342664
Healthy	-5	-5	-5	1.76248500077786	0.905775918547835
Healthy	-5	-5	0.279527783292017	0.753566207633706	0.506005509528048
Healthy	0.916401830084926	-0.157278457372331	0.647289058452041	1.67342301960269	1.42200957240051
Healthy	-0.796070062755374	-0.493494967595128	0.792386786145778	1.84256505913163	0.869094954125148
Healthy	0.445532593261974	-0.983091956027925	-5	1.49356483387704	1.19020951815055
Healthy	-1.03207779326948	-1.13288622016802	-2.22694530663574	1.71315322488589	1.46509466393064
Healthy	-1.96617430604669	-1.71579493229821	-0.517312174147043	1.76828215948572	1.45921979121162
Healthy	0.254888708775947	-1.07083661679494	0.469780792850616	1.40912732608835	1.52809127080218
Healthy	0.253345275820191	-0.119826892692204	-1.90692869362394	1.751024304759	1.34464707672557
Healthy	-5	1.1269644402306	-5	1.3636531513135	1.4756432996228
Healthy	-0.85873840937791	-1.79425445905734	-0.342255943752624	1.83153801034881	1.01454111895657
Healthy	1.05839185658905	0.122641769625536	-5	-0.56125202309777	1.81661503022113
Healthy	0.203449022518777	-0.755747626027527	-5	1.93835333049894	0.865013906964962
Healthy	0.444673910810744	-0.160232938160214	0.989411548229137	1.80841638682843	0.621185632512497
Healthy	-0.726050107449991	0.439799901220617	0.199894984410582	1.13997348798446	1.77431582986575
Healthy	0.0757512871934784	-0.325074592106928	-5	1.54122030352031	0.965797447276839
Healthy	-0.72268882082597	-0.129479049987236	0.193238724856175	1.65610510465173	1.53574792951024
Healthy	1.22703810241191	0.457819850233151	0.355229239344489	1.43020829188859	1.42429183666506
Healthy	-1.12871902714203	-0.914780798955058	0.528402437953617	1.54534163593735	1.67799618346722
Healthy	-0.738404101517821	-1.64474009447262	-5	1.68276546649112	1.24294423094552
Healthy	1.37284206856713	0.723240523942585	0.300401986291505	1.31879954964682	1.39068469769986
Healthy	0.360097118092937	0.357746230812359	0.685564402798436	1.10018575831703	1.74657558857697
Healthy	0.815012931185225	-0.686533527341765	0.0206802558933171	1.46493613135373	0.980759885403075
Healthy	-0.922268820347608	-0.304833651694131	-0.00398770325701485	1.53452703352098	1.51828844302872
Healthy	-0.370671966205419	-5	0.518154511204127	1.82816042852175	1.2530225910835
Healthy	-0.940058111938045	-1.68423950933427	-0.673787070000569	1.66400962634643	1.49457893733627
Healthy	-5	-0.343039817257151	0.498321583350671	1.32580085766442	1.23249066332249
Healthy	-0.366460851072662	0.213326465927919	0.437461993994192	1.5976974889962	1.45331895172898
Healthy	-0.581831337932134	-0.74816718137136	-0.515017218069439	1.23406807784543	1.6692777272002
Healthy	-0.713813083058962	-2.57348873863542	-5	1.54045311221858	1.41584323663477
Healthy	-2.69680394257951	-1.43004118190341	-5	1.75494401147996	1.14208867249843
Healthy	0.63423738469509	-0.885355661097721	-0.292634245878962	1.73383868006618	1.34703771974518
Healthy	-0.0375264840391993	-0.529736553034922	0.864685475789771	1.39257878095216	1.31590278328254
Healthy	0.186603221792895	-1.75300930075845	-0.378107411682646	1.80276490252706	1.15252805770336
Healthy	0.345965457886395	-0.235375602149019	0.310272618148416	1.71674927159693	1.41352674519155
Healthy	-0.530929447968747	0.0460149508590078	-1.30980391997149	1.60690102497749	1.49291480841852
Healthy	-0.341635584312928	-0.0923522065996969	1.01190185253402	1.68234249553608	1.24379901006385
Healthy	-1.95233580539844	-1.03607057797344	-3.09691001300806	1.74789136461658	1.36879806566854
Healthy	-0.410351941664339	-0.787785752580059	0.811446306956656	1.8861083213193	0.821560034071882
Healthy	1.44376241272035	0.544609953795997	0.507533402997219	0.99071082098826	-0.476006549684386
Healthy	-5	0.0811419957201863	-5	1.67301168634137	1.40206921838821
Healthy	-0.334353353872193	-0.612450012609767	0.52617250731388	1.94992288585992	0.409082289950506
Healthy	0.108751013469221	-0.844208647642382	-5	1.72528954175842	1.55513678720214
Healthy	0.806654046147595	-0.564028293600659	0.00220927298801476	1.4858262973554	0.995212978021115
Healthy	-0.999088937868777	-5	-5	1.64796730935212	0.767879087701276
Healthy	-5	-5	-0.219819551797359	1.59439929128072	1.40436788267485
Healthy	1.21619916612133	-0.845697780315335	-5	1.61538794443253	1.2300635056576
Healthy	0.244037017036314	-0.989530430203608	-5	1.93830958188606	0.883333177521008
Healthy	-5	-0.938698343793955	0.710003908849681	1.09571109663366	1.83420763729357
Healthy	-0.471276076739006	-0.849304948857286	0.815167165939307	1.88332170105324	0.835315711892788
Healthy	0.243191885767495	1.2620379575553	0.379401614039029	0.990601217280949	1.39121518967295
Healthy	1.19097649680895	0.335205073740825	0.336809830185024	1.62516320091162	1.28459404298254
Healthy	-0.890826578574528	-0.617982957425132	0.802783300182877	1.83470604885608	0.865290568604777
Healthy	0.776060890414528	-1.01295971302073	-5	1.87756621627172	0.73434690347996
Healthy	1.12155820285983	-0.654998961821958	1.0643010907268	1.52954173713065	1.07126582915093
Healthy	0.155405883408257	-1.85047298624565	-0.647335200348899	1.72075193832482	1.38189538704128
Healthy	0.361376481869873	-0.498803757972911	-1.708409174342	1.75082293228829	1.14788152240164
Healthy	-0.652923803930265	-0.201985035648513	0.610621841297843	1.30595723893257	1.60449356953884
Healthy	-2.03105031901866	0.376981866455769	0.352346553933043	1.54381968098756	1.52805960109978
Healthy	0.0660723575773765	-5	-5	1.73847446323237	1.33111923301633
Healthy	0.585749411171379	-0.703290943824397	0.679156150418852	1.82034604693572	1.24428503948943
Healthy	-0.641284886197868	-5	-5	1.81557104127818	0.998936849760302
Healthy	0.138826693810669	-1.19348086591929	-5	1.88378086390612	0.934940600473388
