g	Phytobacter	Acinetobacter	Pseudomonas_E	Leclercia	Serratia	Veillonella	Staphylococcus	Longicatena	Bacteroides	Phocaeicola	Alistipes	Faecalibacterium	Agathobacter	Parabacteroides	Roseburia	Mediterraneibacter	Enterocloster	Blautia_A
D007234	1.51998685614197	-5	-5	-5	1.57654992274145	-5	-1.00182787806056	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.59142087459133	-5	-5	-5	-5	-5	-5	-2.30715308072277	1.57196514126718	0.191688497983763	0.837224058796229	0.525289757817164	-5	0.383400614175564	-5	-1.59448289302362	0.77528123506865	-1.40993876919626
Healthy	1.33662401418808	-5	0.0594270878627534	-5	-5	-1.36101184065632	-5	-5	1.01210927712122	0.177951838838561	0.554417680273994	0.721616086837231	0.476854805718046	-0.0870131533003444	0.142608435502473	-1.55893359336074	0.130459213226411	-0.355138155107936
Healthy	-5	-5	-5	-5	-5	0.236479318104428	-5	-5	0.94555130001292	0.559748671049318	-0.910094888560602	0.778836171466101	1.26135828411149	-1.6714165502858	0.919038323831673	-0.672355036401343	-0.220230402588856	-0.14971531688602
Healthy	0.811735155939139	-5	-5	-5	-5	-5	-5	-5	0.952388947631285	0.230484685333582	0.935179153850682	0.538750883788695	-5	0.25912301859412	-0.482091862633162	0.225580630989238	0.263119815292126	-5
D007234	1.90205301191937	-2.29670862188134	-0.31226597892744	-3.23657200643706	-2.14266750356873	0.178245797090961	-2.50723961097316	-3.33724216831843	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.18845317024137	1.16159946442968	0.506372423814909	0.667051161436834	0.909923847088552	-0.741482440083547	0.495356981627948	-0.497108788058756	-0.813382648146363	-0.468840534595468
Healthy	-0.981674054597079	-5	-5	-5	-5	-5	-5	-5	1.10452944613239	1.06598208154639	0.366828109700658	-0.357891767124575	0.206005066560805	0.919187437099777	1.070287652693	-1.09318028453345	-0.676562255410414	-1.80437705641306
Healthy	-1.00117418095971	-5	-5	-5	-5	-0.673787070000569	-5	-5	1.49639558020671	1.0229654422968	0.221416846209772	1.29230282197055	0.762896781251172	0.335590275135901	0.320052767661646	-0.135750048759032	-0.979472987725437	-1.03919637508823
Healthy	-5	-5	-5	-5	-5	-5	-5	-0.914673737576011	1.28926333258579	0.0765166539225599	-0.533399263703119	0.423034411187299	-5	-0.651597772422364	-0.18466802297586	-1.67757394759405	0.459966643471183	-0.155361314139467
