g	Phytobacter	Acinetobacter	Pseudomonas_E	Leclercia	Serratia	Veillonella	Staphylococcus	Longicatena	Bacteroides	Phocaeicola	Alistipes	Faecalibacterium	Agathobacter	Parabacteroides	Roseburia	Mediterraneibacter	Enterocloster	Blautia_A
Healthy	-1.14569395819892	-0.402085528797472	-5	-5	-5	-1.29464953711429	-5	-5	1.5556181893864	0.826239414482957	1.05484545863287	0.935840667918734	0.807998839526131	-1.06113017848701	0.69419966813997	-1.83120797968582	-0.634343571471611	-0.937869465377876
Healthy	-5	-5	-5	-5	-5	-1.37623399986607	-5	-5	1.63830331915102	1.46089198199562	-0.120164671263148	0.564274194121927	-0.854523895115041	0.60884254670131	-0.532436287944037	-0.338840666653449	-0.41016205685254	-5
Healthy	-5	-5	-0.767893707385342	-5	-5	-5	0.305267512416629	-5	1.46243798110206	1.5230113151499	-5	-5	-5	-0.425910830201413	-2.9100948885606	-5	0.609121443042154	-5
Healthy	-1.03357665405631	-5	-5	-5	-5	-5	-5	-5	1.37661418070254	0.83990145087204	0.315909498006271	0.162092220569851	1.27950291216523	0.599434360369678	0.0852049242000911	0.136295574895819	0.320513930089022	-0.274006741075278
Healthy	0.0153890986396503	-5	-2.33818731446274	-1.55330753362847	-5	-0.631768916688871	-5	-0.945080672876185	1.84881891073794	-5	-0.631713115097869	-5	-5	-5	-5	-0.441027573762883	0.0592755598329187	-5
Healthy	-0.588026942314677	-5	-5	-5	-5	0.000290879868996826	-5	-5	1.75270300873826	1.24063684712747	-5	0.615606055175936	-0.221783610329395	0.445362861515843	-0.214200526619845	-1.57888987020657	-0.786349451538999	-2.21395878975745
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.3194897769052	1.62695810444808	1.11249272726128	0.178968318840266	-0.539824076481971	0.315940971889942	-0.832446378803175	-0.713274144646177	-5	-1.23500240071512
Healthy	-5	-5	-5	-5	-5	-5	-5	-0.440895706001165	0.788564289821101	0.0307049436686779	-0.098617972917846	0.233315999013269	-5	-0.0367175699757991	-0.420833997620541	-1.23702150913226	0.853066992246284	0.297410308897391
Healthy	-1.68193666503724	-5	-5	-5	-5	-1.83713700667807	-5	-1.83923143813887	1.29466458950017	0.29323434708725	0.407878468321944	0.92968146677011	0.813111750491904	-0.285745703380849	0.652139930656291	-0.352900783372966	0.0684975510375763	-0.0775755911272123
Healthy	-0.745911353080926	-5	-5	-5	-5	-5	-5	-5	1.50371566207649	0.178384061568691	1.31415026281907	0.268524149727394	-0.187160145565983	0.276328508164078	-0.560083375423104	-0.806680569625523	-5	-1.58070527824654
D007234	-5	-5	1.31318171713388	-5	-1.11650890981107	-1.64723880827617	-0.782542377461419	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
D007234	1.78589056709643	-5	-5	-5	-0.624903624904603	-5	-5	-5	1.38928501158865	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.23785828664273	0.475620348202068	1.2204810025468	0.51036267548696	0.79854568401659	0.589575433373088	0.37654775980739	-0.520093732994928	-1.26808905788313	-0.138638863592431
Healthy	-5	-5	-5	-5	-5	-1.20294030530003	-5	-5	1.44780093150828	1.54945952220763	0.0563711794755288	0.721835337154921	-0.778455362972804	0.596313337183026	0.37745014192682	-0.330051201986639	-1.60205999132796	-1.41016205685254
Healthy	-5	-5	-5	-5	-5	-1.35398859040876	-5	-5	1.35437969238793	1.48168335871184	-1.22731164531786	-1.03658998431977	0.573565454322501	0.198412383794913	0.872891909670543	0.0368084837006402	-0.701714714515915	-0.172482109921093
D007234	-5	0.00688943337487697	-0.806736226998648	1.81815533152921	-2.30016227413275	-2.48678239993206	-1.1863523046531	0.679632275832975	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.248543826213122	-5	-5	-5	-5	-1.90938929217159	-5	-5	1.88071655090955	0.969655826394756	-5	-0.305570309042917	-5	0.520592256511983	-0.436958177544515	-0.723791033395142	-1.02877055272376	-2.30539480106643
Healthy	-5	-5	-5	-5	-5	-5	-5	-2.56066730616974	1.47454317349607	-5	-0.0445864756192744	0.108517668170205	-0.912218582190457	1.70131156338352	0.227050718827332	-1.45742352373947	-0.944239535312265	-1.16468999913094
Healthy	0.545680622284173	-5	-5	-5	-5	-1.74957999769111	-5	-5	1.22914715451165	0.361792031326686	-0.0312789552344688	1.64169229362379	1.12134017941618	0.222950459021011	0.403403664388218	-1.98338445244282	-0.0631897918996775	-1.04909991063361
Healthy	-0.758129911314381	-2.54821356447571	-5	-5	-5	-1.66314017908319	-5	-5	1.58538119557439	1.1803274855737	-0.343087660218577	0.92626010811334	-2.00436480540245	0.866030231565786	0.185366475113233	-0.596553451224123	-0.424997000566469	-1.43004118190341
Healthy	0.974789312969571	-5	-5	-5	-5	-5	-5	-0.97790170253886	0.941104774470396	-0.400728425839533	0.114320690460196	-0.99349117222471	-5	0.483983614821656	-5	0.0426109475343101	-1.00300701810929	-0.723538195826756
Healthy	-0.996798053478308	-5	-5	-5	-5	-2.35951856302958	-5	-5	1.70941074456878	-5	0.813642359181638	0.311003260367045	0.409337884250987	0.385413210922582	0.353044460569117	-1.00265730939838	-1.02969962459782	-1.38817052050163
Healthy	-1.24427755509654	-5	-5	-5	-5	-5	-5	-1.43368037847519	1.22330743754007	1.01513626262467	0.943942923397313	-0.178971475217171	0.429222408230269	0.699531618109805	-0.99960931075009	-0.0257969824708575	0.15726934942667	-0.839111483855026
D007234	-1.11165198982195	-1.68235445677884	-0.285242863377275	-1.09517630019906	1.82716823607833	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-1.28299559295945	-5	-5	-5	-5	-5	-5	1.08630714257449	1.0496331183325	1.26349356822132	-0.00633015105358608	0.461177264176024	-5	-0.511111003995055	-1.40571797118819	-1.34678748622466	-1.54607040794227
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.38277414504415	0.894216340768548	1.38404393853498	0.561020244133674	0.0420318119718076	0.785027859787007	0.77603325150929	-0.972405788173774	-5	-0.991186990947911
Healthy	-5	-5	-5	-5	-5	-5	-5	-0.544728674168721	1.48023783419844	1.42324112125421	1.0608031911924	0.294774752218443	0.181780724983515	0.170352672956755	0.00358545997268139	-1.11941504393502	-1.14296920172738	-0.718058066559175
D007234	1.28702445356645	1.58572359550796	-0.865918562537488	-5	-5	0.45677280383668	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.457847067713169	-5	-2.82681373158773	-5	-5	-5	-5	-2.14752000636314	0.716778535181595	1.16371433068193	0.153107226252515	0.71992927322884	-5	-0.476578725627368	0.437047832337678	0.416512363242891	-1.55424016351137	-0.761176377738925
Healthy	-0.409113601626762	-5	-5	-5	-5	-5	-5	-5	1.00372757556565	0.508074312732563	0.415574262869846	1.10315726977412	1.03759818961455	0.0755615592810349	-1.10468797552421	0.620622150994864	0.408950202162838	0.467295774781143
Healthy	-5	-5	-5	-5	-5	-5	-5	-0.162885251484494	0.940206590946059	1.05567948050589	0.271493102185656	0.34590475478246	0.32505156598482	0.502483110317706	0.640836081900708	0.780719730310757	-0.0349865497277521	0.224546010966484
D007234	-5	-5	-0.457685075651474	-2.05799194697769	-5	1.36826158906929	0.38101755665467	-0.454482592398508	-5	-5	-5	-5	-5	-5	-1.71556926615548	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	1.36203249056816	-1.30120374820957	-0.986446569458324	-5	-5	-5	-5	-5	-5	-5	-0.776919602168845	0.820955071614184	-5
Healthy	-1.03574036980315	-5	-5	-5	-5	-1.87289520163519	-5	-5	1.26775001128	0.810902266933822	0.926546167338079	0.933229064026595	0.89705113191838	0.275886960301226	0.437101806810412	-0.440536270026745	-1.4182778400509	-0.835022922889114
D007234	-5	1.23054624353029	1.80363059393285	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-0.252526043504154	-0.533740521064548	0.69405825778174	-0.732288673273308	-1.02475205875932	-0.137159295824245	-1.14831368455757	-1.50947969063665	-0.611082154843085	-5
D007234	1.61684096566895	-5	-5	-5	-5	0.608978277254307	-5	-0.189048734834691	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	1.03553019468976	-5	-5	-5	-5	-0.721269257253019	-5	-1.9115095298176	1.3709016897447	-0.101966291631374	-5	-0.744438061709105	-2.66958622665081	0.520273867909297	-5	-1.37324914631661	-1.42573717029297	-5
Healthy	-5	-0.564745069604102	-5	-5	-5	-5	-5	-5	1.5069355957341	1.16463327187654	0.654582720549851	-0.927603033478238	0.812082056860325	0.514510563772992	0.00559229617739592	0.383528134169761	-5	-0.531637897917907
D007234	-1.87451873429941	1.99064785770492	-1.83624247601804	-5	-5	-5	-2.22329881601159	-5	-1.36774522331529	-5	-5	-5	-5	-5	-5	-5	-5	-5
D007234	1.26782408844336	-5	0.762193743586934	1.45955546840139	-1.53239189441637	-0.328734567052842	-0.713521075069232	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.547508217211688	-5	-5	-5	-5	-0.882795013907217	-5	-5	0.881768560872574	1.28442734971849	1.47278847187112	0.609865358589869	-5	0.714151142469771	-0.65856547542186	-0.566342153307012	-5	-1.38626385873813
Healthy	-0.0272696615194652	-5	-5	-5	-5	-0.0627078392884271	-5	-5	1.76918303185788	0.933424518142911	-5	-1.06595628096447	0.263411171262082	-5	-5	-0.856985199745905	-1.414200990987	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.55976793972566	0.596600394053038	-5	0.313449590954807	-0.584125591190995	-0.221740189565322	-0.11686685186787
Healthy	-0.997445191851517	-5	-5	-5	-5	-5	-5	-2.28650945690606	0.767046721960353	0.248142534609694	0.8637985386805	1.0018682194516	-5	0.384439440016905	-0.89292576858793	-0.0735289306925509	0.222334019631703	-0.0293742233117055
D007234	-5	-5	1.8008133408045	1.1904888563149	-5	-5	0.649868148587841	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.967139584047856	-5	-5	-5	-5	-0.71190734545813	-5	-2.89279003035213	0.812273470366004	0.847473944632788	0.392686403468002	0.53690170251884	1.00211463478804	-0.0179323902267562	0.14908048591103	-0.216560964175905	-0.247920806756889	-0.717536500400685
Healthy	-1.42227847549098	-5	-5	-5	-5	-5	-5	-1.95000714307986	1.41813815160984	1.43835102722291	1.16357787120992	0.19572257907437	-0.0770359272094906	0.0107408131384302	-5	-0.502117057575568	-1.63041310926366	-5
Healthy	-1.44903824770182	-5	-5	-5	-5	-5	-5	-5	1.36625836111943	1.40781105743291	1.34619742222144	0.216313722056618	-0.694992762490482	0.387617593215277	0.436412334348753	-0.560525196683217	-1.54378584464201	-2.67778070526608
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	0.65146700729828	0.587678419768557	0.980712216236463	0.509876969970032	-0.476695854539456	-0.0755242918122463	0.137493367156011	-0.520108117179144	-1.21056031543282	-5
D007234	0.889422167492403	-5	0.381149389521604	-0.0284736690006574	1.19343100192449	1.36979453102261	-0.209341939253758	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.08045124103115	-5	-5	-5	-5	-0.689221748387465	-5	-5	1.65268534649292	1.02703223258142	0.944606033742222	0.292887112304354	0.180541612044906	0.709294558990103	0.0376734575998359	-0.477894987724298	-2.40671393297954	-1.48531945587502
D007234	-5	-2.57024771999759	0.755800943129325	1.18997599144496	1.35269969605205	-3.14266750356873	-1.02466011539454	1.4152924371641	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.775598070619268	0.0720696703020178	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.61857374571849	1.1683298028796	-0.226652458019177	0.548573662418466	1.08183354615599	-0.520237596280298	-0.514335347749745	-5	-5	-5
D007234	1.69114349185849	-5	-5	-5	0.216485235507987	0.681391404918937	-0.683086560835008	1.27568466426647	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.21905902117127	0.114450846147061	-1.1721785723172	0.631657819375843	0.299683769881799	-5	0.299953784459852	0.28867168561873	-0.0661939416114778	-0.15637485182217
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.46917391859829	1.49158872846641	-0.170348930483612	0.820550856969912	-5	0.742038985438086	-0.334775595729081	-0.738095088162799	-0.48989755218297	-1.5704091977767
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	0.969320841783316	0.830086726909831	1.36872579335079	0.0271742234203973	-0.336082452438207	0.363510444638545	-0.896435719949043	0.0124322566299169	-0.972487307551189	-5
D007234	-5	1.4373622187385	1.78853185220529	-1.10913206118856	-0.471096148861591	-5	-0.932371283271754	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-0.866812501358833	-5	-5	-5	-5	-5	-1.41128022039994	0.908382062798774	1.45249346811606	-5	-0.160547093410312	-5	1.448554985962	-0.0878630033477768	0.383709471358735	-0.483213508607401	-0.465352104487529
Healthy	-5	-5	-5	-5	-5	-0.569957211209984	-5	-5	1.62824369813224	1.05429660133546	0.823295518700248	0.53387115465441	0.786776968128446	0.63668343529183	0.630066660351563	-0.132008375241506	-5	-0.965732602961974
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.61022565131586	1.19956677761394	0.318374328768195	0.674116785388185	-0.113458516101189	0.795467763135307	0.477906617193085	-0.268499875385444	-5	-1.22105327203138
Healthy	-1.38017649954272	-5	-5	-5	-5	-1.60624935965192	-5	-5	1.35245613393451	0.908291419798159	1.14705148004365	0.650877464115797	0.345540357871747	1.00039459436807	-0.0704737912540071	-0.709631444382732	-2.73992861201493	-0.840102098965903
Healthy	-1.81022904365313	-5	-5	-5	-5	-3.06048074738138	-5	-2.57024771999759	1.33779219258564	1.22139206608662	1.01425626956043	1.00706935650963	1.08869623308988	0.511056747149594	0.297672987019454	-0.463858377094965	-0.733580134120896	-0.612467805365649
Healthy	-0.873738681136119	-5	-5	-5	-5	-5	-5	-5	1.36447669931688	1.47055322308469	1.25835923569154	0.71406054788875	-5	0.518114995401044	-5	-1.09854167860389	-0.353233696145383	-1.38955277855788
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.45767014547538	1.19761986459628	0.797937513518235	0.828597389715738	0.485727103496526	0.041538741466772	-5	0.462396500329195	-5	-5
Healthy	0.0528939252189659	-1.91721462968355	-5	-5	-5	-5	-5	-1.66214157095891	-0.397408323522413	-0.983008421793795	-0.530811485252671	-0.103561973084797	1.24528830664086	-5	0.493244685410807	0.631757200264584	0.727197100915304	0.53254163722163
Healthy	-0.899939776068847	-5	-5	-5	-5	-5	-5	-2.14206473528057	1.48445928870205	0.521454532435886	1.19778597571405	0.36793707655525	0.515430054081006	0.8281312047211	-0.274398688891362	-1.15267416921458	-0.0824997419239666	-0.390245560871144
Healthy	-0.982841401512185	-5	-5	-5	-5	-5	-5	-5	1.10238464753075	0.415250539815127	1.18994991164186	1.07465592674574	-5	0.0771643388298253	0.304985720206672	-1.31569335392837	0.0190622600215246	-0.436554513972952
Healthy	-0.560256894460007	-5	-5	-5	-5	-5	-5	-5	1.06224645146215	0.860813373650068	0.703971955923112	0.782511321950441	-0.0363113164062814	0.67303012772065	0.0774224158147684	0.894046760942995	-1.28650945690606	-0.682898187601995
D007234	1.48528421540015	0.690034740684645	1.18651588781635	-5	-5	-0.300465779498606	0.714977364759479	-2.93930215964639	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
D007234	1.71241658453421	-1.23106605781322	-0.97195770490925	0.033668982196999	-5	-1.55191233330766	-1.00687251489429	1.16485854407847	-5	-2.47108329972234	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.333135845038768	-5	-5	-5	-5	-1.58737147945562	-5	-5	1.88070780583404	0.978960723758608	-5	-0.320454005884413	-5	0.514704442277207	-0.424350385244781	-1.32688689576177	-0.969845729077898	-1.87647501905727
D007234	-5	1.69957334124238	-0.311437809701668	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.00854481697683436	-5	-5	-5	-5	-5	-5	-5	1.33512879544656	1.19508229947807	1.08378381686852	1.11135359838279	0.893805577553968	-0.418778756463877	0.077226145876181	-0.15871563018491	-0.0863503631582383	-0.109489560396401
Healthy	-0.634586899923822	-5	-5	-5	-5	-5	-5	-2.4145392704915	0.974524587822125	0.0632620342087957	1.00010117882741	-0.0808329648503769	-5	0.596532221478948	-0.867932518695993	-1.85325198636936	-2.42136079003193	-0.449465913400493
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.30915132805841	1.64301035927665	1.10122553882563	0.184626139811395	-0.411829173269031	0.269802377405505	-0.876213671384628	-0.741386659197256	-5	-1.21638223480925
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	0.981677291294933	0.775371574965566	1.12022438092109	1.09995362916944	-0.509185020616139	0.273323109759883	0.598815666671799	-0.370957565480432	-0.387385657131715	-0.485624936967289
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.010176945666	0.376686429261915	0.655109608999769	1.28545401114508	-5	0.267741805753596	-0.265448180972269	-1.0221392707353	-1.37685412536206	-1.62415356369084
Healthy	-5	-5	-1.99653946789049	-5	-5	-2.09420411963213	-5	-5	0.797160166083379	1.47211608766454	1.31184918352897	0.879145215304622	-0.186612519051532	0.7039084117333	-0.231850477320042	-1.0841782123796	-0.907665410478979	-1.51286162452281
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	0.805583087669483	0.992255639014801	-0.00362406608162028	0.381944954520607	0.952739181815065	0.301472750269041	0.293961092733444	0.0353096401568014	-0.445099151996336	-0.715208444049854
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.48973734053793	1.47603140164441	0.568682702864635	0.812985510347245	-5	0.756397218619881	-0.40759005242914	-0.758627869841564	-0.530487252897382	-1.65188993151976
D007234	1.65482230328653	0.0357298380342667	-0.21301446257098	0.846934320226838	-1.91292879409346	0.928433236847116	-1.09837823590664	0.00991808466590138	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
D007234	-5	-5	0.383069965464557	-2.51855737149769	-5	-5	-5	-2.29073003902417	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.71987710369769	-5	-5	-5	-5	-0.271216195290543	-5	-5	1.32631721864286	1.44437960473112	0.562002444487243	0.725672377901844	1.07660076197611	0.0559437693150855	1.07180434262007	-0.677243339922241	-0.778637932796429	-0.851459039132771
Healthy	0.940674834094561	-5	-5	-5	-5	-5	-5	-5	1.05239687370403	0.743368635289657	0.153073645798753	0.775841185277348	1.06452574885549	-0.100798014335462	0.750522279710513	-0.127098197138852	-0.0838883577257004	0.0793259867528151
D007234	1.718005745428	-5	-0.620241384157299	-0.938660633162932	0.938948304387326	-2.30277065724028	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.36321131096562	-5	-5	-5	-5	-0.589374585401875	-5	-5	1.66171474534669	0.990707271504022	0.942294840837151	0.280362079747332	0.179287457481868	0.707559105705343	0.0491676105634872	-0.817585347565446	-1.74016730093652	-1.69658792940326
Healthy	-5	-5	-5	-5	-5	-0.931814138253838	-5	-5	1.24109850796175	0.981401774326939	0.705918423103077	0.197542434556733	0.906581215915214	0.922382349194063	0.847193102555434	-0.45020003581545	-0.0475514490182769	-0.78099212174311
Healthy	0.633279546899684	-5	-5	-5	-5	-5	-5	-5	1.20285107658687	0.950008313936202	-5	0.166731972358301	-5	-5	-5	-0.947767909747666	-0.176043489289961	-5
Healthy	-0.823706117461233	-5	-5	-5	-5	-5	-5	-5	1.81493206901639	1.26728955881157	0.192926893692518	0.00330970922835771	-5	0.762183981586986	-5	-5	0.0278997732839188	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.41797395527832	1.02581852170963	0.204708595484096	0.754062280016443	1.28437004118011	-0.944163148981595	0.282075786241125	0.598776285300383	-5	-0.331437046541306
D007234	-0.317755616076683	-0.224688163829384	-1.73802380860219	0.95784663370815	-1.66816795556375	1.17087076761524	-0.72445831159869	-0.770164633442734	0.586758288524939	1.06297511535501	-5	-5	-5	-0.49682239058194	-5	1.03286202653503	-2.03763066432998	-5
Healthy	1.55993545740412	-5	-5	-5	-5	-5	-5	-3.07058107428571	0.665293867808117	-0.0706475008745141	0.30847904016173	0.764052030522961	-0.521318092637765	0.406155105638691	-0.40114386175069	-1.66877521897927	-0.28019655020584	-0.234256958578956
Healthy	1.11915390390387	-5	0.333410997804551	-5	-5	0.0403135054983082	-1.0483225626567	-1.97061622231479	-1.92738252345476	-1.7562180839062	-5	-2.76955107862173	-2.46218090492673	-5	-5	-5	-5	-5
Healthy	-0.944124960853903	-5	-5	-5	-5	-5	-5	-5	1.55099948884618	1.00528049172033	1.16286209786846	0.603707182674	0.736330356979216	0.701340849231464	0.324802885073538	-1.05690137699451	-0.494077122793099	-0.753624535996491
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	0.587073082670966	1.67082665819257	0.238392396466586	0.901623398209743	0.0126347878702903	0.00429127312198067	0.603949399346148	0.283520582489912	0.0856865085233996	-0.124175050167259
Healthy	-1.2003149090909	-5	-5	-5	-5	-5	-5	-1.58653258701418	1.57916359890891	0.179703997344505	0.814161660868198	0.525285870788425	-5	0.367873783246732	-5	-1.6825635034649	0.787985844229194	-1.41476493663422
Healthy	-1.88572270343841	-5	-5	-5	-5	-5	-5	-1.73969005420508	1.57830436477391	0.232197900891584	0.819883342204216	0.517312046290729	-5	0.374801484277977	-5	-1.53970367324252	0.779526507937182	-1.61083391563547
Healthy	1.38404698774802	-5	0.563928202204849	-5	-1.7708302974609	0.0978505442769207	-5	-1.08349341288484	1.6033139417959	-2.23433144524099	-5	-3.74472749489669	-5	-5	-5	-0.47171335503894	-1.81445784514562	-5
Healthy	1.28153581214498	-1.08544530148237	-5	-5	-5	-1.32175484807296	-2.85698519974591	-2.01637371287547	0.849919761958181	0.00163421163976833	0.0688090167927758	0.911523008371985	-0.182732194331205	-0.00825131286899721	-0.194193408297187	-1.10562854614376	-0.659397267743252	0.115350855757225
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.48723611610223	1.47950347362538	-0.16689115360395	0.813853087871041	-5	0.758765085132126	-0.298104043579446	-0.713947922226484	-0.502973545475723	-1.09816040794877
Healthy	-5	-5	-5	-5	-5	-0.491604966866947	-5	-5	1.62990793615924	1.05062371250108	0.856375996034431	0.520192595568501	0.783238771571056	0.60965629444714	0.648591247819308	-0.660488934253692	-5	-1.03409308450481
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	0.656401047955842	0.489531002047102	0.994865065178992	0.53701269914582	-0.435819386084257	-0.0317085568214063	0.134556391565268	-0.56242382398591	-1.1322379753498	-2.36151074304536
Healthy	-0.708586745429785	-5	-5	-5	-5	-0.00783986687948014	-5	-5	1.7511238390557	1.23882387284924	-5	0.635822404648182	-0.178755122902582	0.434837061938661	-0.180581106626522	-1.41873319472633	-0.73501698768354	-1.57609908147158
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.08409381806971	0.269954019392815	0.946429174081748	0.625603598226232	0.848925868301826	0.168096592652531	0.81681114468614	-0.290721556792904	-0.40422829799906	0.427008707120347
Healthy	-5	-5	-5	-5	-5	-5	-5	-0.439400014692459	0.676296620224929	-0.454148809742736	-1.03583468937826	0.876396257388717	-5	-0.972568842233096	-0.201370068617005	-1.3435184842095	0.397256760572666	0.361744829817008
Healthy	-5	-5	-0.0825417560222547	-5	-5	-5	-5	-5	1.18561042409372	0.476292409490378	0.29227158159672	0.941025685448415	0.330332589222979	-0.707921227883342	-0.320081754745605	0.71981090088135	-5	-0.316052869248488
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.53505436890587	1.4026844629315	-5	-5	0.703935891442842	-5	-5	1.06045645661171	-5	-5
D007234	-5	-1.81872822844054	0.643211773653353	1.31502961477509	1.73243163830088	-2.40450377817443	-0.936554046876967	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-1.35076252765039	-5	-5	-5	-5	-5	-5	1.08523312051681	1.02485740912238	1.26373971887942	-0.0488228208424451	0.456419177803357	-5	-0.651773044294752	-1.35027581407048	-1.38247546511371	-1.44021303179944
Healthy	-0.112337697386424	-5	-5	-5	-5	-5	-5	-5	1.48804364970034	0.854960331141064	1.30293086237421	0.0539845197480841	-1.11288929687512	0.777386943769639	-1.32321496958079	-1.14800825203784	-1.39104630072414	-1.28183059460869
D007234	-5	-5	0.69147403717	-0.239027457128052	-1.38121997549379	-5	-1.36592597451253	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
D007234	-5	-5	1.83269095889435	-5	1.4298186299643	-5	-5	0.704784330051477	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	0.72820195535817	1.38720360936065	-0.342628585209824	0.3995075850455	-5	-5	0.593496515899367	-0.558320571496191	-5	-5
Healthy	-0.501923890627834	-5	-0.560020294776361	-5	-5	-5	-5	-0.513697065168839	-5	-5	-5	0.219374924626256	-1.1714689933549	-5	-0.388351027482999	0.263394595272389	-0.0406389700553832	0.34597328992697
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	0.601108931547501	0.97153235934739	1.02716116872949	1.24784590371303	0.558522575891429	-0.269007892940655	0.796927314152615	-5	-5	-1.85604888357604
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	0.620444221792338	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	1.06453435843802	1.46529077720791	-0.0187931869988784	0.864675986721688	0.758152348168339	-0.800601397640383	0.187461494823429	-0.505845405981557	-5	-0.552299439565487
Healthy	-0.385239840257581	-5	-5	-5	-5	-5	-5	-2.26841123481326	1.34369527139448	1.09043441617512	1.11943010014257	-0.371713268910486	-5	0.547897717563097	-2.31515463835559	0.325993616779611	-1.27083521030723	-1.50976051475371
D007234	1.0032842796401	1.32827580892792	-5	1.32545223860215	-5	0.831421817065022	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
D007234	-5	1.67825890846746	-5	-5	1.70958954178171	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.0781993552064707	-5	-5	-5	-5	-1.05729763111133	-5	-5	1.24486790370047	0.669840136511168	1.1416290984259	0.605357847967399	0.748736752515597	0.786573268101739	0.248569092253387	-0.732288673273308	-5	-1.23784680769641
Healthy	-0.279650475913936	-5	-5	-5	-5	-5	-5	-5	1.02473188965525	1.68965189618246	-0.0279036647970588	0.955939693066438	-3.29242982390206	0.496720749220045	-0.0857309067198803	-0.00219001375766718	-0.235846293032804	-0.654959715980443
D007234	1.82223027582563	-0.673438856035807	-1.33264045381691	-0.00878278755063863	-1.70974273060548	0.447285198963284	-1.02479803774215	0.739984293683719	-5	-2.98716277529483	-5	-5	-5	-5	-5	-5	-5	-5
D007234	0.654006064690566	1.58283814852438	1.43832886708801	1.30566966373354	-5	-5	-1.3128278954052	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.375460086120605	-5	-5	0.0448767174155635	-5	-5	-5	-5	1.85097890349648	0.4888326343824	0.115327545710153	0.406185787829722	-5	0.944416042317571	-5	0.0315377233714156	0.399211497000631	-5
