p	Bacteroidota	Firmicutes_A	Firmicutes	Desulfobacterota	Firmicutes_C	Methanobacteriota
Healthy	1.12037516310008	0.834881459911079	-0.738784727731408	-0.154722075245364	0.418049261100667	-5
Healthy	1.85877539268605	1.14248551342664	-5	-5	0.579395987303872	-5
Healthy	1.76248500077786	0.905775918547835	-5	-5	-5	-5
Healthy	0.753566207633706	0.506005509528048	-5	-5	0.279527783292017	-5
Healthy	1.67342301960269	1.42200957240051	-0.157278457372331	-5	0.647289058452041	-5
Healthy	1.84256505913163	0.869094954125148	-0.493494967595128	-5	0.792386786145778	-5
Healthy	1.49356483387704	1.19020951815055	-0.983091956027925	-1.35076252765039	-5	-5
Healthy	1.71315322488589	1.46509466393064	-1.13288622016802	-3.2839966563652	-2.22694530663574	-5
Healthy	1.76828215948572	1.45921979121162	-1.71579493229821	-0.744076541267099	-0.517312174147043	-5
Healthy	1.40912732608835	1.52809127080218	-1.07083661679494	-5	0.469780792850616	-5
Healthy	1.751024304759	1.34464707672557	-0.119826892692204	-1.83564714421556	-1.90692869362394	-0.593527949534324
Healthy	1.3636531513135	1.4756432996228	1.1269644402306	-5	-5	-5
Healthy	1.83153801034881	1.01454111895657	-1.79425445905734	-1.14697138528701	-0.342255943752624	-5
Healthy	-0.56125202309777	1.81661503022113	0.122641769625536	-5	-5	-5
Healthy	1.93835333049894	0.865013906964962	-0.755747626027527	-1.01269132626882	-5	-5
Healthy	1.80841638682843	0.621185632512497	-0.160232938160214	-5	0.989411548229137	-5
Healthy	1.13997348798446	1.77431582986575	0.439799901220617	-5	0.199894984410582	0.218461978766149
Healthy	1.54122030352031	0.965797447276839	-0.325074592106928	-0.210553262965207	-5	0.90543588720795
Healthy	1.65610510465173	1.53574792951024	-0.129479049987236	-5	0.193238724856175	-5
Healthy	1.43020829188859	1.42429183666506	0.457819850233151	-5	0.355229239344489	-5
Healthy	1.54534163593735	1.67799618346722	-0.914780798955058	-5	0.528402437953617	-5
D016640	1.46365801838348	1.67772737062889	-0.617658709176038	-1.02613355016462	-0.748994826506365	-5
Healthy	1.68276546649112	1.24294423094552	-1.64474009447262	-0.620730750526353	-5	-5
Healthy	1.31879954964682	1.39068469769986	0.723240523942585	-1.34208406317004	0.300401986291505	-0.0989123766000521
Healthy	1.10018575831703	1.74657558857697	0.357746230812359	-5	0.685564402798436	-5
Healthy	1.46493613135373	0.980759885403075	-0.686533527341765	-0.142926951366022	0.0206802558933171	-0.265824467335679
Healthy	1.53452703352098	1.51828844302872	-0.304833651694131	-5	-0.00398770325701485	-5
Healthy	1.82816042852175	1.2530225910835	-5	-5	0.518154511204127	-5
Healthy	1.66400962634643	1.49457893733627	-1.68423950933427	-0.606021397348228	-0.673787070000569	-5
Healthy	1.32580085766442	1.23249066332249	-0.343039817257151	-5	0.498321583350671	-5
Healthy	1.5976974889962	1.45331895172898	0.213326465927919	-1.10941133229451	0.437461993994192	-0.194444773478747
Healthy	1.23406807784543	1.6692777272002	-0.74816718137136	-5	-0.515017218069439	-5
Healthy	1.54045311221858	1.41584323663477	-2.57348873863542	-1.12644690648638	-5	-0.743787541434838
Healthy	1.75494401147996	1.14208867249843	-1.43004118190341	-0.986109939671561	-5	-1.09044397075882
Healthy	1.73383868006618	1.34703771974518	-0.885355661097721	-1.09642170633695	-0.292634245878962	-5
Healthy	1.39257878095216	1.31590278328254	-0.529736553034922	-1.81958736716168	0.864685475789771	-5
Healthy	1.80276490252706	1.15252805770336	-1.75300930075845	-0.812310106474816	-0.378107411682646	-0.726790316599669
Healthy	1.71674927159693	1.41352674519155	-0.235375602149019	-1.03123695180275	0.310272618148416	-1.15187248943213
Healthy	1.60700891850696	1.49291480841852	0.0460149508590078	-5	-1.30980391997149	-5
Healthy	1.68234249553608	1.24379901006385	-0.0923522065996969	-2.91721462968355	1.01190185253402	-5
Healthy	1.74789136461658	1.36879806566854	-1.03607057797344	-1.23121395309199	-3.09691001300806	-0.276363751548955
Healthy	1.8861083213193	0.821560034071882	-0.787785752580059	-1.10325338439259	0.811446306956656	-5
Healthy	0.99071082098826	-0.476006549684386	0.544609953795997	-0.879919865870547	0.507533402997219	-5
Healthy	1.67301168634137	1.40206921838821	0.0811419957201863	-1.05276239212933	-5	0.459439232218998
Healthy	1.94992288585992	0.409082289950506	-0.612450012609767	-2.59859945921846	0.52617250731388	-5
D016640	1.74466357941772	1.10353827566366	0.581752879195382	-0.871439193440679	-5	-5
Healthy	1.72528954175842	1.55513678720214	-0.844208647642382	-1.43168091490489	-5	-5
Healthy	1.4858262973554	0.995212978021115	-0.564028293600659	-0.183427303973897	0.00220927298801476	-0.262688062010375
Healthy	1.64796730935212	0.767879087701276	-5	-1.24123945609002	-5	-5
Healthy	1.59439929128072	1.40436788267485	-5	-1.57528166266843	-0.219819551797359	1.19431477032722
Healthy	1.61538794443253	1.2300635056576	-0.845697780315335	-5	-5	-0.48537256758866
Healthy	1.93830958188606	0.883333177521008	-0.989530430203608	-1.0073581301216	-5	-5
Healthy	1.09571109663366	1.83420763729357	-0.938698343793955	-5	0.710003908849681	0.506717392419689
Healthy	1.88332170105324	0.835315711892788	-0.849304948857286	-0.998699066979582	0.815167165939307	-5
Healthy	0.990601217280949	1.39121518967295	1.2620379575553	-5	0.379401614039029	0.0200254863257827
Healthy	1.62516320091162	1.28459404298254	0.335205073740825	-1.43937612545007	0.336809830185024	-5
Healthy	1.83470604885608	0.865290568604777	-0.617982957425132	-5	0.802783300182877	-5
Healthy	1.87756621627172	0.73434690347996	-1.01295971302073	-0.69216179584344	-5	-5
Healthy	1.52954173713065	1.07126582915093	-0.654998961821958	-5	1.0643010907268	-0.21511893041391
Healthy	1.72075193832482	1.38189538704128	-1.85047298624565	-1.03428102975578	-0.647335200348899	-1.70289634985074
Healthy	1.75082293228829	1.14788152240164	-0.498803757972911	-5	-1.708409174342	-5
Healthy	1.30595723893257	1.60449356953884	-0.201985035648513	-1.17947015147648	0.610621841297843	-5
Healthy	1.54381968098756	1.52805960109978	0.376981866455769	-0.548014111051091	0.352346553933043	-5
Healthy	1.73847446323237	1.33111923301633	-5	-5	-5	-0.265648292705235
Healthy	1.82034604693572	1.24428503948943	-0.703290943824397	-1.70929775671215	0.679156150418852	-5
Healthy	1.81557104127818	0.998936849760302	-5	-5	-5	-5
D016640	1.81319662468796	1.16257754866062	-1.59380057633669	-5	-2.12609840213554	-5
Healthy	1.88378086390612	0.934940600473388	-1.19348086591929	-1.35872424276809	-5	-5
Healthy	1.72431978848234	1.20670501205503	-5	-0.488584592791225	-5	-5
Healthy	1.88066745045934	0.924075016220443	-2.53461714855158	-2.14146280243036	0.430155711970019	-5
Healthy	1.64240941377882	1.34583072467652	0.390341518926754	-1.04793440981495	-0.823069915549494	-2.14508697769214
Healthy	1.73645522766992	0.857495929293535	-0.447623844747437	-0.747244028911427	0.968602946685977	-5
Healthy	1.56350540995057	1.71085495437172	-1.57121748850305	-0.829591588274682	-0.0872732432574975	-1.22929523178422
Healthy	0.341693638960031	1.92861657958856	0.485269866168583	-5	-0.581019618754964	0.317892088957648
Healthy	1.94935604251243	0.420922339593397	-0.614500972847943	-5	0.527299866339773	-5
Healthy	1.74462456359356	1.3854107076947	-0.312506711255048	-5	0.150049945162385	-5
Healthy	1.84810070904581	1.07077166602148	-1.7680209731685	-5	-5	-5
Healthy	1.76411057214773	1.23613552968257	-1.77806440017199	-5	-5	-5
Healthy	1.6043401214296	1.57366723433078	-1.67964596718233	-5	0.730517420590717	-5
Healthy	1.81002063010515	1.44068479603106	-1.26656197290894	-0.258422985219577	-5	-5
Healthy	1.84441000712758	1.01115709631296	-0.237839297913818	-5	0.66482994114309	-5
Healthy	1.62280463482383	1.03464409575721	-5	0.209152951593855	-5	-5
Healthy	0.286391343147528	0.720720628024159	-0.869827111107464	-5	-5	-5
Healthy	1.8012357228892	1.45599459811076	-0.526542227184554	-5	-2.09636748391576	-5
Healthy	1.70747606876486	1.48797178851542	-5	-5	0.896930011763117	-5
Healthy	1.27434700337415	1.74857987849733	1.08418899343258	-5	0.147960609057186	-5
Healthy	0.870742663294291	1.63908099170895	0.0754119076576232	-5	0.300127898364073	-5
Healthy	1.83312510965263	1.33484102540248	-5	-5	-5	-5
Healthy	1.64097954636543	1.3597381818911	-2.70774392864352	-1.3763372926438	0.183338186289204	-0.242004572723122
Healthy	1.24469661240851	1.61706736835744	-0.153743320221921	-1.49039429538844	0.884927840363339	-0.819845440546652
Healthy	1.82668575568211	0.642475402199867	-0.465237994969973	-0.394608750110711	-1.19517932127884	-5
Healthy	1.49530395216766	0.903364048891955	-0.0678104461845136	-0.093761957868654	-0.195438069037582	-5
Healthy	1.30897098745708	1.56021985014056	-0.0862603017850711	-5	0.677345019721607	-5
Healthy	1.8275738990396	1.19586009384911	-1.63413778459744	-1.03198428600636	-1.88306035344924	-1.57823159879308
Healthy	1.62909671283614	1.26322169366765	0.102519458368337	-0.525710873834504	0.264165892216258	-0.299469343021408
Healthy	-1.28692967414436	-3.02227639471115	-0.640297291725886	-5	-5	-5
Healthy	1.78802829919445	1.40732273783472	-0.793470948317269	-0.791881259261723	-5	-5
Healthy	-1.71399287792053	-0.560398916165654	0.559402646841045	-5	-1.37212230542003	-5
Healthy	1.96814495463693	0.4591194599369	-5	-5	-5	-5
Healthy	1.63732748922239	0.525187387787583	-5	-1.497163361379	-5	-5
Healthy	1.75295206948262	0.723788859050945	-0.601625913848644	-1.94846160948467	1.17950037362933	-5
Healthy	1.71731485160876	1.379915458851	-0.97802554488994	-0.677801386448108	-5	-5
Healthy	1.78570949869202	1.45827727272622	-2.35457773065091	-5	0.537612598757124	-5
Healthy	1.84856983556758	1.01247361443207	-2.2572748686953	-1.12592425477697	0.459641231058366	-1.26833066817136
Healthy	1.92204983052155	0.488405457367657	-1.26560025747943	-5	-5	-5
Healthy	1.57222816092954	1.6775069439896	-1.14721513131945	-1.24703013497092	-5	-5
Healthy	1.31736058768831	1.66913940664896	1.051093840473	-5	-5	-5
Healthy	1.69391056216295	1.50651274410758	0.582984408651994	-1.75870261289001	-0.596827984507749	-5
Healthy	0.862428959956688	1.82704989750399	0.0569048513364726	-1.8153085691824	0.945026679940939	0.577774343999618
Healthy	0.558182780051332	1.87591343904048	-5	-5	-5	-5
Healthy	1.81917871144198	0.887815275486838	-1.13153190097901	-0.504608316733061	-0.0641250998316844	-5
Healthy	1.88965420652834	0.994225179864961	-0.522227791650743	0.176233105419458	-1.16723569505947	-1.01282549891246
Healthy	1.35740003085252	1.3453164744199	0.271353622102484	-5	0.174135431793646	-5
Healthy	1.01821768096015	1.71787046537739	0.376482058819104	-2.44855000202712	-5	-5
Healthy	1.64695609540824	1.5841822493836	-0.0564411855707237	-1.9515581964496	0.109159910732136	0.260731872147808
Healthy	1.70267966728539	1.60943496080477	-5	-5	-5	-5
Healthy	1.76331049352414	1.42360430573151	0.416265954074958	-5	0.504940923792709	-5
Healthy	1.27892180034509	1.61380631605831	1.146950244924	-5	-5	0.485932845201798
Healthy	-5	1.54674409485113	0.215629633457334	-5	0.816328150203432	-5
Healthy	1.34369035064213	1.49694057445299	-0.536584848478778	-5	0.0852691663062547	-5
Healthy	1.65574909221612	0.822281216656299	-0.26085504067402	-0.177773059405061	0.482997854050922	-5
Healthy	1.25929923269997	0.962872011646389	1.32789385998954	-5	0.899838005126567	-5
Healthy	1.80432102081899	1.26968452668662	-0.747316838067802	-1.15620680167409	-1.24695343837347	-5
