group	Faecalibacterium	Mediterraneibacter	Streptococcus	Enterocloster	Bariatricus	Blautia_A	Dorea	Eubacterium_G	Eubacterium_I	Coprococcus_A	Bacteroides	Alistipes	Parabacteroides	Sutterella	Odoribacter	Flavonifractor	Alistipes_A	Parasutterella	Holdemania	Pseudodesulfovibrio
Healthy	6.05677	0.03414	0.47349	0.02276	0.09205	0.01507	0	0.07663	0	0	20.21036	14.5682	1.58237	5.82004	0	0.04982	0	0	0.03848	0
Healthy	4.8242	0.11804	0.07802	0.04738	0	0.18656	0.06629	0	0	0.00986	20.50968	2.65006	0.25082	0	0	0	0	0.05761	0	0
Healthy	7.71851	0.01797	0.27132	0.27275	0	0.00557	0.08172	0	0	0	14.03707	0	1.42973	0.90663	0	0.01753	0	0	0	0
Healthy	5.81231	0.08174	0.90117	0.29338	0.25586	0.17359	0.14197	0.36226	0.00172	0.06453	26.68573	0	1.45105	1.58452	0	0.07815	0	0	0.092	0.01538
Healthy	0	0	0.40257	0	0	0	0	0	0	0	3.33291	0	0.00171	0	0.05783	0	0	0	0	0
Healthy	4.31248	0.03302	0.07445	0.06077	0	0.05044	0	0	0	0	19.36112	2.06338	0.25092	0	0	0	0	0.04528	0	0
Healthy	0.11817	2.41926	0	0	0.09736	0.29411	0.3644	1.07316	0.25919	0	32.14339	4.51584	3.23496	0	0	0	0	0	0	0
Healthy	5.54091	1.44291	0.07384	0.47392	5.97371	2.15447	0.16343	0.63047	3.58547	0.5764	5.2569	9.23568	0.78517	0	0	0.00947	0	0.07849	0.03596	0.00415
Healthy	6.12735	0.49757	0.17887	0.14836	0.1158	0.23219	0.3633	0.12154	0.01009	0.12152	6.66622	1.81886	0.90208	0.09861	0.92764	0	0	0	0	0
Healthy	3.18869	1.36041	0.006	0.04695	1.04654	0.19874	0.08603	0.12183	0.03383	0.12352	12.62268	0.8049	0	1.40816	0.48243	0.02251	0.45022	0.0093	0	0
Healthy	6.38634	0.94544	0	0.11305	0.29579	0.24265	0.14561	0	0.05644	0.03472	4.15461	5.66775	1.03617	0	0	0	0	0	0	0
Healthy	12.8088	1.78543	0.07901	1.5754	1.11173	0.71108	0.33164	0.00269	0.54888	0.46873	2.94163	5.11543	0.28318	0	1.27209	0.00964	0.12226	0.02467	0	0
Healthy	3.35188	0.02543	0	5.96047	0	0.0389	0.04521	0	0	0	37.32201	6.87422	2.41768	0	0	0.41484	0	0.05902	0.01773	0.21957
Healthy	5.26763	0.0276	0.45475	1.35038	1.00828	0.44142	0.41498	0.21868	0.09477	0.44956	10.28274	3.5844	0.81843	0.12934	0.86467	0	0.02955	0	0	0
Healthy	2.20204	2.00334	0	2.37015	0.64632	0.44402	0.38187	0.06427	0.04173	0.20435	5.69648	2.18861	1.5996	0.00287	3.04967	0.01382	0.08567	0.05891	0	0
D000236	4.10263	0.64623	2.91764	5.50504	3.75717	9.99987	1.55775	0	0.85729	0	1.09654	0.45837	0	0	0	0	0	0	0	0
Healthy	6.00946	0.21263	0.27572	0.60223	0.03846	0.7084	0.19194	0	0.08928	0.28992	8.82167	0.12299	0.0213	0	0	0	0	0.12175	0	0
Healthy	27.6592	0.15393	0	1.05425	0.40267	0.12214	0.20901	0	0.11652	0.15294	0.03596	0.21427	0.0006	0	0	0.00173	0	0	0	0.01282
Healthy	3.4574	1.68104	0.18933	1.83281	0	0	0	0	0	0	8.96166	8.61348	1.81602	0	0	0.79294	0.00949	0.04911	0.01647	0.20497
Healthy	4.87901	0.47254	0.37872	2.2068	2.1151	1.26088	0.49137	1.2148	0.11244	0.59434	5.18629	0.68295	0.82088	0	0.22406	0	0	0	0	0
Healthy	0	15.9755	0.08132	3.32919	0	0	0	0	0	0	0.00116	0	0	0	0	1.79372	0	0	0	0
Healthy	4.64569	0.31833	0.03268	0.15367	0	0.33974	0	0	0	0.09195	15.43309	3.20901	0.18134	0	0.9083	0	0	0.0283	0	0
Healthy	7.20935	0.29638	0.07655	0.0549	0.81808	0.01789	0.03276	0.03608	0.00519	0.00464	7.04846	0.43508	0.93182	3.8931	0	0.00064	0.01269	0.00015	0	0
Healthy	0.43863	0.08068	0	0.21058	0.16322	0.01568	0.09646	0.64732	0.07325	0.00838	12.72123	2.32716	8.30208	0	0	0	0.04188	0.32161	0	0
Healthy	3.52608	0.59615	0	0.01639	0.03649	0.01863	0.02174	0.0169	0.01018	0.01094	6.77115	9.27913	0.90677	0	0.93324	0.00058	0.11803	0.15155	0	0
Healthy	0.98283	0	0	1.0677	0	0	0	0	0	0	63.97211	1.61042	5.52009	0	0	0.05427	0	0.50884	0	0
Healthy	19.6021	0.73155	0	0.10483	0.04933	0.09136	0.00182	0.48177	0.10972	0.08495	31.3614	1.665	2.16565	0	0.3977	0.17117	0	0.01507	0.02068	0
Healthy	0.86701	3.21832	0	0.38987	1.30022	0.22019	0.49948	0.06828	0.03325	0	4.67047	0.60937	4.21557	0	0	0	0	0	0	0
Healthy	2.6487	0.021	0.18538	2.8838	2.39303	0.69925	0.00875	2.9933	0	0	19.46539	0.29281	0.22304	0	0	0.01067	0	0	0.08166	0
Healthy	5.59288	1.21371	0.12713	0.67854	0.8052	0.21407	0.17812	0.37324	0.08635	0.0713	11.34088	4.14364	6.60174	0	1.15443	0.08463	0.03022	0.18042	0.00672	0.06237
Healthy	9.53132	0.03178	0.36556	0.88316	0.31069	0.97605	0.26067	0.1225	0.11586	0.5784	9.19932	8.55039	2.63163	2.24124	2.09009	0.06652	0.03859	0	0.02086	0.00133
Healthy	0	0	4.6561	0	0	0	0	0	0	0	0.02353	0	0.00378	0.04965	0	0	0	0	0	0
Healthy	9.16534	0.11753	0.17857	0.19353	1.22378	0.80681	0.42828	0.33825	0	0	5.17941	7.48688	0.39655	0	0	0	0	0.04446	0	0
Healthy	6.63265	0.09429	0.38596	1.01034	0.77282	1.00742	0.00047	0.03132	1.1992	0	22.22715	6.33941	0.6642	1.83111	0	0.03921	0.04634	0	0.0151	0
Healthy	1.95808	0.32888	0	0.39357	0	0.41669	0.05582	0	0.06196	0	40.93105	2.77726	4.40354	0	0	0	0	0.01528	0	0
Healthy	5.80888	0.11915	0.01241	0.50534	0.62218	0.72555	0.54673	0.16528	0.02603	0.13685	3.14729	7.43394	0.36746	0	1.03624	0.01542	0.21338	0.00829	0.02442	0
Healthy	1.57533	0.00251	0.00266	0.71649	0.88158	0.32854	0.13036	0.22874	0.10032	0.30987	14.58237	9.43069	0.23943	0	1.48318	0.05382	1.12029	0.19327	0	0.00843
Healthy	1.32832	0.04221	0	0.11196	0.21412	0.04195	0	0	0.12584	0	29.92045	1.06491	50.7413	0	0	0.00906	0	0	0.51735	0
Healthy	5.34315	0.02034	0	0.16007	0.01724	0.12906	0.0769	0	0	0	34.6117	13.90556	2.8454	0	0	0.20742	0	0.002	0	0
Healthy	4.42903	2.85395	0.1302	0.02364	0.17051	0.17307	0.2587	0.24643	0.40139	0.15588	9.98078	3.04812	2.0217	4.30761	0	0	0.17996	0	0	0
Healthy	4.19445	0.23593	0.02913	0.00778	0.06227	0.06422	0.04733	0.02808	0	0	7.61737	29.0909	4.8622	0	1.4674	0	0.25254	0.00901	0	0
Healthy	0.00068	1.13657	0.00104	0	0	0	0	0	0	0	24.34593	0	0.10923	0	0	0.04847	0	0	0	0
Healthy	2.14559	0.26291	0	0.06836	0.02386	0.01548	0	0	0	0	37.7005	15.42641	4.39784	0	0.71018	0	0.02569	0.24334	0	0.01519
Healthy	4.84117	0.15612	0.01765	0.01364	0.08538	0.08949	0	0	0	0	21.7959	13.77824	9.50977	1.44167	2.31782	0.16032	0.03009	0.01697	0	0.15405
Healthy	7.79271	0.01434	0.01873	1.16623	1.08281	0.6523	0.43219	0.50044	0.02175	0.22066	7.95144	6.69569	2.35053	0	0.69215	0.02311	0.17786	0.06115	0.02391	0.00826
Healthy	3.41433	1.58654	0.56085	0.39719	0.20512	0.48211	0.27323	0.07197	0.10492	0.13775	20.9233	6.19704	6.40451	2.12136	0.98932	0.02715	0.05137	0	0.02074	0.03802
Healthy	1.53945	3.38375	0	0	0.07182	0.03057	0	0	0	0	3.11062	0.62418	0.42982	0	0	0.30461	0	0	0	0
Healthy	7.21216	0.93048	1.04933	0.87631	0.77811	0.3583	0.61097	0.02721	0.2393	0.38593	18.04438	2.5474	1.44495	0	0.84408	0.08103	0.00799	0.08967	0.06243	0
Healthy	2.32887	0.44989	0.09841	0.24956	0.19851	0.15394	0.05519	0.17099	0	0.0431	6.97932	6.94673	1.38836	0	0	0.87914	0.0229	0	0.04669	0.13313
Healthy	3.25208	0.02225	0.09111	0.66853	0.07911	0.03842	0	0	0	0	27.8053	15.89535	3.84116	0	1.23081	0.07362	0.04588	0.11188	0	0.01666
Healthy	2.3511	0.04774	0.01041	0.05731	0.01996	0.00704	0	0	0	0	36.80431	15.80932	4.39523	0	0.77326	0.01522	0.03195	0.26229	0	0
Healthy	9.38873	2.84322	0	0	1.14539	0.84157	0.65431	1.43135	0	0.07108	19.52836	0.91171	0	0.04924	0	0	0	0	0	0
Healthy	0.46439	0.06791	0.07013	0.58402	0.2839	0.29937	0.07348	0.6286	0	0	36.88523	0.22771	0	0	0	0.03935	0	0	0	0
Healthy	3.67723	0.73978	0.01657	0.26551	0.34916	0.38507	0.20709	0	0.06404	0.50052	20.34305	1.75725	17.6543	0	0.45607	0.21544	0.0182	0.02565	0.1441	0
Healthy	4.42476	0.38492	0	0.21165	0.07924	0.27329	0.20591	0	0	0.02838	23.03575	1.87102	0.28595	0	0	0	0	0.05455	0	0
Healthy	13.536	1.15966	3.31825	0.80868	0	1.65986	0.43921	0.90402	0.55027	0.6619	1.75458	0.82712	0	0	0	0	0	0	0	0
Healthy	3.78626	0.03239	0.08606	1.12558	1.37517	0.25643	0.46545	0.90442	0.01954	0.1537	24.21156	6.13224	3.48193	0	3.30425	0.02161	0.09568	0	0	0.02419
Healthy	1.90978	0.19409	0	0.01573	0.01663	0.03551	0	0	0	0	45.82086	8.60817	5.10208	0	1.03995	0.10007	0.06004	0.29286	0.163	0
Healthy	0.00368	0.18846	1.2222	0	0	0	0	0	0	0	2.12647	0	0.75704	10.9103	0	0	0	0	0	0.00913
Healthy	9.59753	0.32606	0.18972	0.96456	0.7182	0.20371	0.06101	0.02461	0.21786	0.13245	16.9332	8.31905	6.52016	0	2.06509	0.2895	0	0	0	0
Healthy	1.86857	0.26358	0	0.12225	0	0.15919	0.08972	0	0	0	29.01246	10.93459	1.47904	0	0.55504	0.0481	0.1397	0.21457	0.00692	0
Healthy	0.5278	0.02773	0.23259	0.09105	0.01295	0.01794	0	0.03569	0	0	76.44491	0	3.29067	0	0	0.18962	0	0.0857	0.01149	0
Healthy	2.42985	0.2647	0	0.71942	0	0	0	0	0	0	18.51345	4.48241	4.94019	0	1.31168	0.40547	2.15701	0.04583	0	0.14889
Healthy	5.20293	0	8.25162	3.86265	1.80323	10.7882	4.30303	0	0.44566	0	17.02277	1.29699	1.76152	0	0	0	0	0	0	0
Healthy	1.37117	0.54828	0	0	0.15331	0.00519	0.00997	0	0.10009	0	39.29822	7.01346	1.69946	0.15651	0	0.04008	0.00799	0	0.07183	0
Healthy	16.8393	0.35646	0.14253	0.14689	0.34057	0.12538	0	0.08837	0.01725	0	27.70954	11.63986	4.03444	0	1.39468	0.12367	0	1.28454	0	0
Healthy	1.56627	0.04933	0	0.00743	0	0.0414	0.0164	0	0	0	20.4639	14.52007	1.95304	0	0	0.01668	0.24095	0.26069	0	0
Healthy	3.54818	1.83505	0.21411	1.88463	0.00682	0	0	0	0	0	9.16337	8.93454	2.08417	0	0	0.66922	0.00624	0.00459	0.05876	0.13324
Healthy	2.14458	1.89063	0.00881	0.75545	1.68544	1.82851	0.5972	0.79813	0.24688	0.40562	40.71017	0.12639	1.16581	0	1.1273	0	0	0.01474	0	0
Healthy	0.69262	2.18411	0	1.06288	0	0	0	0	0	0	11.75805	16.12624	0	0.1002	0	1.66202	0	0	0	0
