s	Phytobacter_ursingii	Acinetobacter_baumannii	Pseudomonas_E_parafulva_B	Leclercia_sp000755535	Serratia_marcescens_I	Veillonella_parvula_A	Staphylococcus_warneri_A	Longicatena_innocuum	Veillonella_dispar_A	Streptococcus_pseudopneumoniae_O	Bacteroides_uniformis	Faecalibacterium_sp900539885	Alistipes_putredinis	Agathobacter_rectalis	Phocaeicola_vulgatus	Bacteroides_ovatus	Alistipes_shahii	Alistipes_onderdonkii	Mediterraneibacter_torques	Blautia_A_wexlerae
Healthy	1.22703810241191	-5	-5	-5	-5	-5	-5	-0.672375460813222	-5	-5	0.60562391457756	0.805252716098724	0.692898890557778	-0.179437326225574	0.104090875895339	-5	-0.147465113058053	-5	-0.253716179848593	-0.615001806737603
Healthy	-1.30381841283148	-5	-5	-5	-5	-1.25328797748334	-5	-2.18309616062434	-5	-5	-0.0382752433021856	1.10750878357452	0.592301141070598	0.87035005410714	0.865480634300108	-1.66354026615147	0.0763600457525881	-2.14996674231023	-1.92701525537207	-0.148075428764255
D007234	1.51998685614197	-5	-5	-5	-5	-5	-1.00182787806056	-5	-5	-1.41499072009754	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.59142087459133	-5	-5	-5	-5	-5	-5	-2.30715308072277	-5	-5	1.06933170287848	0.525289757817164	0.749063488247508	-5	0.191688497983763	-0.726790316599669	0.101382718498418	-5	-1.59448289302362	-5
Healthy	1.33662401418808	-5	0.0594270878627534	-5	-5	-1.36101184065632	-5	-5	-5	-5	0.319114391018478	0.721616086837231	0.378363374072967	0.476854805718046	0.120817331105136	-1.03081714076774	-0.50956391880679	-0.567656158719274	-1.55893359336074	-0.355138155107936
Healthy	-5	-5	-5	-5	-5	0.129406283931278	-5	-5	-0.780782342977093	-5	0.602371485883415	0.778836171466101	-5	1.26135828411149	-5	0.321695757854668	-0.970697406441002	-1.79506647764585	-1.66776358450856	-0.14971531688602
Healthy	0.811735155939139	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.72381100774591	0.538750883788695	0.407106947948496	-5	-0.0608153329025503	-5	0.227194880408394	0.0423195064353285	0.225580630989238	-5
D007234	1.90205301191937	-2.29670862188134	-0.31226597892744	-3.23657200643706	-5	-0.019147061301186	-3.65757731917779	-3.33724216831843	-0.326619634774962	-2.35753547975788	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.999124013766143	0.667051161436834	-5	0.909923847088552	-5	-1.47495519296315	0.258055120057764	-0.389222763492814	-0.521173871043804	-0.468840534595468
Healthy	-0.981674054597079	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.480825865259064	-0.357891767124575	0.354484920689846	0.206005066560805	-1.42805836492554	-1.7854210464295	-1.3269790928711	-1.93479387194569	-1.38394480502341	-1.80437705641306
Healthy	-1.00117418095971	-5	-5	-5	-5	-1.15920410115291	-5	-5	-1.70730099695607	-5	0.882918809883329	1.29230282197055	0.131002388743692	0.762896781251172	0.864689627191863	-0.946191940079342	-0.891198275877974	-0.787839040246617	-0.853778911188119	-1.03919637508823
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.659996969431711	0.423034411187299	-0.533399263703119	-5	0.075685621526228	-1.43344466911694	-5	-5	-1.67757394759405	-0.155361314139467
Healthy	-2.35261702988538	-1.42875714943978	-5	-1.33998877871067	-1.51399481363776	-1.46890445312997	-5	-2.84771165561694	-2.0395292224657	-2.48945498979339	-0.0687150678652719	0.74763627778296	0.481627486804783	0.422069228044146	0.0390332008472302	-1.67386904328921	-0.537781747353759	-2.4907974776689	-1.4330913447732	-0.669423903912271
Healthy	-0.662620616304181	-5	-5	-5	-5	-0.515017218069439	-5	-5	-5	-5	0.108341730858209	0.962149054149991	0.723658404930206	1.104535249778	0.302341753436881	0.0174256974069007	-0.126092596098388	0.0639222786916592	-0.92981431362162	-0.0932233447404059
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.916110061773521	0.197374300467348	0.599026733709951	1.03642167788668	-0.0455741604797212	-1.11064226311107	0.367208645996994	-1.33292079453578	-2.59859945921846	-0.483398528473466
Healthy	-5	-5	-5	-5	-5	-5	-5	-1.90974194706868	-5	-5	1.41419108083844	0.727798179250603	1.03897007898612	0.305295466559086	-5	-2.77211329538633	0.434712580645523	-0.60927679555118	-1.69143558643876	-0.889174689945035
D007234	-5	-5	0.992149962274027	-5	1.82440188453041	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.546924970411396	0.646309602547308	0.333640699028418	0.358264252506572	0.688688503082372	0.0866196176903074	-0.246470561019737	-0.796994325271517	-1.53745227119734	-0.761753113473313
Healthy	-0.0375264840391993	-5	-5	-5	-5	-1.39523411529611	-5	-5	-5	-2.97881070093006	-1.28954413566458	-3.16115090926274	-5	-5	-0.623204126120284	0.261217652218679	-5	-5	0.0556000096481284	-5
D007234	-1.28886792769316	1.84775158368469	0.413638348223296	-5	-5	0.185176547723689	-5	-3.23657200643706	-5	-1.1170772093974	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.24192117775039	-5	-5	-5	-5	-1.48558507941963	-5	-5	-5	-5	0.358247121963409	0.684951230451972	0.949733402662655	0.337159644526856	0.945021258021911	-0.656473246902283	0.438654665438737	-0.389009983555728	-0.806513640290257	-1.04817696468409
Healthy	-1.01475320919714	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.429118943195377	0.533306765979536	0.693663646329222	0.77651740513626	0.637895815081932	-0.694047055039493	-0.327809748811747	-0.262688062010375	-0.181675114367555	-0.316844852110697
Healthy	-5	-5	-5	-0.997315687010271	-5	-1.49784610712864	-5	-5	-5	-5	0.565282159538726	0.858065955043124	0.335969124359847	0.544554181983722	0.949579786020261	-0.380677055116824	-0.679417560526448	-1.53865156635202	-0.520511067883818	-0.445741071029493
D007234	1.5532057029567	1.68251339328365	0.228872384507749	-1.75374768770068	-5	0.185703604198454	-5	0.551965721321034	-5	-0.697582480849377	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-2.04383156952464	-5	-5	-5	-5	-1.68319124794698	-5	-3.76955107862173	-5	-5	0.57078687014639	0.56552197560566	0.222786680747627	0.465446801064305	0.793959321707807	0.225223965501657	-1.41465208890541	-1.34237056861105	-0.639501255531999	-0.414449036856871
Healthy	-2.47237009912866	-5	-5	-2.32330639037513	-5	-5	-5	-2.71219827006977	-5	-5	0.660705195662968	0.578211580396164	0.527488119887992	0.532080126303614	0.62345811514965	0.360159659818837	0.0804136160361212	-1.52215552366124	-1.48945498979339	-0.598358251502229
D007234	0.808005596964494	0.0981208736255936	1.41017825308551	1.49739702376952	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-1.13745123047521	-5	-5	-5	-5	-0.627972207342595	-5	-5	-5	-5	1.52140760274517	0.280985614967476	-5	0.15803061259034	0.852546474641639	0.406015303776256	-0.0967309034730737	0.586910092759717	-1.4427334711301	-1.44952704289344
Healthy	1.211283704902	-5	-5	-5	-5	-1.52520118119937	0.0156237731374392	-5	-2.13371266091581	-1.56336036830734	0.326761752281461	-2.43297363384094	-5	-5	0.671408908807163	-3.49485002168009	-5	-5	-0.7247577694441	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.663021160876662	0.982159930817374	0.789851356844084	0.37664446817797	0.724024233684209	-0.546926401848367	0.128392805954216	-0.815223421749151	-2.10623823794206	-0.690966332495859
D007234	1.7036336048948	-5	0.732442816243716	-5	-5	-5	-0.0696980555782436	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
D007234	-5	-5	1.14970888072874	1.57833899613604	-0.0901712852191269	-5	0.210168644978889	1.60091748967361	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.423232628157107	-5	-5	-5	-5	-1.46495918674884	-5	-5	-5	-5	1.05221707182916	-0.277522385802825	-5	-5	0.971910586743869	0.774035690647873	-5	-5	-1.55689354326273	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-3.20760831050175	-5	-5	-0.0130939686192789	1.22632429207266	0.953891071302035	-0.288116881466686	0.747505804211535	-1.90903692340427	0.289762813884735	-0.218144139076955	-1.16832215080853	-0.90173709762007
D007234	0.831565853708398	-2.17134010346468	-1.1008911418066	1.23990506647419	-5	-3.35654732351381	-3.61978875828839	-2.34969247686806	0.142430140210243	-2.77728352885242	-5	-5	-5	-5	-5	-5	-5	-5	-0.905843438217477	-5
Healthy	0.802295396080011	-5	-5	-1.51102647527349	-5	-5	-5	-5	-5	-5	0.735842323775894	0.55000686756956	0.426483608775654	-5	-0.071435174511856	-5	0.213732858783038	0.0769424881682821	0.263650268720486	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.159498701709034	1.19127798882829	-1.44611697335613	1.12048212744257	-5	-5	-0.649170726417032	0.339276495711335	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.315344678779014	-0.0411638722531682	-5	0.292074338708138	0.603872639934048	-2.37986394502624	-1.22709180502873	-1.05635711724787	-1.45829597671571	-0.193392727661911
Healthy	1.21513266374785	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.886425294062091	0.0385963207931104	0.459427169614258	-0.0383179330322549	0.967318600682131	-0.100113866086709	-0.87899856501036	-1.84224111395314	-1.21253952548158	-1.16621562534352
D007234	-5	1.94753571519371	1.05611211227434	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	-0.343145078730216	-5	-5	0.0863598306747482	-5	-5	-5	-5	-5	-5	1.49890175680026	0.393483947973508	-5	-5	-0.100163088771485	1.04994292179622	-1.22482661457521	0.123184993675896	0.0908855799932186	-5
Healthy	-5	-5	-5	-5	-5	-0.165217005518815	-5	-5	-5	-5	0.173171694527412	0.0776222292445196	-5	1.17594965597202	0.545711527248392	-0.897394805873433	-5	-5	-0.39579555414367	-0.273215757919732
Healthy	-1.54760015408856	-5	-5	-5	-5	-0.650955713397964	-5	-5	-5	-5	1.51293255074573	0.293123792887703	-5	0.15512947069166	0.901692570164319	0.392802437083664	-0.118986449720917	0.595290048356385	-1.16659787076814	-1.91292879409346
Healthy	0.243191885767495	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.638506229051029	0.415457483406035	0.0609130460285099	0.417541440444544	-0.063616967658219	0.109173421425472	-1.18956584407733	-0.822376938368645	-0.696674321781085	0.612891887275404
Healthy	-0.843632599866478	-5	-1.80631897045872	0.802126931636451	-5	-2.32422165832591	-5	-5	-5	-2.06803388527183	0.537714600062506	0.329745582554248	0.711683247678272	0.975273687344961	0.708080810468231	0.991553888591571	-0.944163148981595	-2.22329881601159	-2.1505805862031	-0.483914356975709
