group	Faecalibacterium	Prevotella	Phytobacter	Ruminococcus_B	Faecalimonas	Veillonella	Haemophilus_D	Muricomes	Intestinibacter	Eggerthella	Bacteroides	Parabacteroides	Dialister	Ruminiclostridium_E	Sutterella	Odoribacter	Flavonifractor	Alistipes_A	Clostridium_A	Parasutterella
Healthy	5.81231	0	1.06199	0	0	0.05717	0.04173	0.01387	0.01107	0	26.68573	1.45105	6.37105	0.48726	1.58452	0	0.07815	0	0.02384	0
Healthy	0	0	0.05212	0	0	2.17314	0.54947	0	0	0	3.33291	0.00171	0	0	0	0.05783	0	0	0	0
Healthy	4.31248	0	0	0	0	0.07539	1.44863	0	0.37412	0	19.36112	0.25092	4.05909	0.1824	0	0	0	0	0	0.04528
Healthy	0.11817	0	0	0	0	0	0	0	0	0	32.14339	3.23496	0	1.37045	0	0	0	0	0	0
D001172	1.01735	0.0238	18.563	0.01191	0.00134	0	0	0	0	0	20.33017	2.25272	0	0	0	0	0.13124	0	0	0.01652
Healthy	5.54091	0	0.04844	0.0114	0	0.00272	0	0.00435	0.04726	0	5.2569	0.78517	0	0	0	0	0.00947	0	1.56588	0.07849
Healthy	6.12735	18.11325	0	0	0	0.15995	0.00484	0	0	0	6.66622	0.90208	0	2.25387	0.09861	0.92764	0	0	0	0
Healthy	3.18869	0	1.09555	0.32613	0	0	0.01242	0.00748	0.00279	0	12.62268	0	0	3.74826	1.40816	0.48243	0.02251	0.45022	0	0.0093
Healthy	6.38634	9.43514	16.867	0	0	0	0	0	0.30973	0	4.15461	1.03617	0	0.02218	0	0	0	0	0	0
Healthy	12.8088	0.00036	0.04967	0	0	0.0558	0	0	1.78824	0	2.94163	0.28318	3.32019	12.3701	0	1.27209	0.00964	0.12226	0.0107	0.02467
D001172	5.45221	0.08108	0	0	0	0	0.01263	0	0	0	12.66193	0.82461	0	0	8.39951	0.62138	0	0.12374	0	0
Healthy	3.35188	0	0.02561	0	0	0	0	0	0	0	37.32201	2.41768	0	5.69109	0	0	0.41484	0	0	0.05902
Healthy	5.26763	0	21.7082	0.11064	0.12966	0.04354	0.34385	0.01555	0.05105	0	10.28274	0.81843	0	0.18797	0.12934	0.86467	0	0.02955	0.02199	0
Healthy	2.20204	11.1162	0.00817	0.00171	0	0	0.00722	0	0.00373	0	5.69648	1.5996	0	0.74551	0.00287	3.04967	0.01382	0.08567	0	0.05891
Healthy	6.00946	0	0	0	0	1.72376	2.16962	0	4.77347	0	8.82167	0.0213	3.12425	3.33595	0	0	0	0	0	0.12175
Healthy	27.6592	31.79219	0.42213	0	0	0.06149	0.64482	0	0.01007	0	0.03596	0.0006	0	0.29128	0	0	0.00173	0	0	0
Healthy	3.4574	6.96922	6.48238	0	0	0	0	0	0	0	8.96166	1.81602	0	0	0	0	0.79294	0.00949	0.0306	0.04911
Healthy	4.87901	2.06912	0	0	0	0	0	0	0	0	5.18629	0.82088	3.47983	0.01523	0	0.22406	0	0	0.02454	0
Healthy	0	0	0.61823	7.75625	0	0.22815	0	0	0.66287	0.04783	0.00116	0	0	0	0	0	1.79372	0	0	0
Healthy	4.64569	0	0	0	0	0	0.09129	0	0.4766	0	15.43309	0.18134	0.99085	0.48711	0	0.9083	0	0	0	0.0283
Healthy	7.20935	0.04418	0.01636	0.00091	0	0.01122	0.01104	0	0.00332	0	7.04846	0.93182	0	0	3.8931	0	0.00064	0.01269	0	0.00015
Healthy	0.43863	32.1609	0.1043	0	0	0	0	0	0	0	12.72123	8.30208	0	0.03379	0	0	0	0.04188	0	0.32161
Healthy	3.52608	51.6685	0.15734	0	0	0	0.06532	0	0.00384	0	6.77115	0.90677	0	0	0	0.93324	0.00058	0.11803	0	0.15155
Healthy	0.98283	0	0.06106	0	0	0	0	0.07883	0	0	63.97211	5.52009	0	0	0	0	0.05427	0	0	0.50884
Healthy	0.86701	9.36706	0	0	0	0.14734	0	0	0	0	4.67047	4.21557	0	0	0	0	0	0	0	0
Healthy	19.6021	0	0.09972	0	0	0.21193	0	0	0	0	31.3614	2.16565	0	0.1003	0	0.3977	0.17117	0	0.10615	0.01507
Healthy	2.6487	0	0	0.01067	0	0	0	0	0	0	19.46539	0.22304	3.15007	0	0	0	0.01067	0	0.0289	0
