group	Agathobacter	Prevotella	Butyrivibrio_A	Barnesiella	Methanobrevibacter_A	Mediterraneibacter	Anaerobutyricum	Anaerostipes	Paraprevotella	Coprobacter	Prevotella	Barnesiella	Mediterraneibacter	Enterocloster	Anaerobutyricum	Blautia_A	Paraprevotella	Dorea	Anaerostipes	Coprobacter
Healthy	14.7844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0.16828	0	2.63008	0.55095	1.28572	0	0	0	0.16828	2.63008	0.0329	0.55095	0.17718	0	1.22942	1.28572	0
Healthy	0	7.03722	0	3.32948	0	3.74525	0.72048	0.8972	0	0.12263	7.03722	3.32948	3.74525	0.35227	0.72048	0.55695	0	1.35794	0.8972	0.12263
Healthy	6.24579	0	0	1.00062	0	0.06636	0	0	0	0	0	1.00062	0.06636	0	0	0.08821	0	0.02145	0	0
Healthy	3.22388	0	0	0	0	0.08918	0.09122	0	0	0	0	0	0.08918	0.94133	0.09122	0.09002	0	0.04055	0	0
Healthy	3.75311	0	0	0	0	1.11013	8.22143	0.42149	0	0	0	0	1.11013	0.14473	8.22143	1.39456	0	0.57236	0.42149	0
Healthy	3.45933	3.60896	0	3.07304	0.00472	0.06859	0.16922	0.41065	0	0	3.60896	3.07304	0.06859	0.1164	0.16922	0.12228	0	0.10819	0.41065	0
Healthy	0	0	0	0	0	0.02773	0.00271	0.01028	0	0	0	0	0.02773	0.117	0.00271	0.01336	0	0	0.01028	0
Healthy	1.39356	0	0	0	0	0.1696	0.75976	0.29271	0	0	0	0	0.1696	1.27316	0.75976	0.92264	0	1.2793	0.29271	0
Healthy	1.46396	7.78635	65.1674	0	0.37891	0	0	0	0	0	7.78635	0	0	0.38006	0	0	0	0	0	0
Healthy	5.64423	0	0	0	0	0.21551	0.22089	0.10158	0	0	0	0	0.21551	0.16166	0.22089	0.16675	0	0.28451	0.10158	0
Healthy	16.9319	0	0	6.39214	0	0	0.30326	0	0	0	0	6.39214	0	0	0.30326	0	0	0	0	0
Healthy	0.81654	16.6159	0	0.01006	0	1.22672	0.8447	0.26442	0.09824	0	16.6159	0.01006	1.22672	1.07944	0.8447	0.88979	0.09824	0.28504	0.26442	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.93609	0	0	3.98722	0.04229	0.29296	0.19646	0.00878	0	0.08068	0	3.98722	0.29296	0.40157	0.19646	0.11474	0	0.13942	0.00878	0.08068
Healthy	2.51325	0	0	5.15572	0	0.0334	0.0158	0	0	0	0	5.15572	0.0334	0.06527	0.0158	0.02625	0	0.00704	0	0
Healthy	0.07146	64.1122	0	0	0	0	0.05864	0.01141	0	0	64.1122	0	0	0.05417	0.05864	0.06149	0	0.00166	0.01141	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	6.98683	0	0	0.60676	0	0.0582	0.26223	0.0202	0	0	0	0.60676	0.0582	0.57578	0.26223	0.12229	0	0.23345	0.0202	0
Healthy	1.61345	1.27363	0	4.02953	0.34645	1.34794	0.38815	0.12592	0	0	1.27363	4.02953	1.34794	1.69612	0.38815	0.32722	0	0.28537	0.12592	0
Healthy	2.83962	8.34493	0	0.04544	0	0.05198	1.41827	0.00895	0.01283	0	8.34493	0.04544	0.05198	0.70995	1.41827	0.5178	0.01283	1.01327	0.00895	0
Healthy	36.5472	0	0	0.4547	0	0.31911	0.84811	0.1209	0.29273	0.07705	0	0.4547	0.31911	0.18932	0.84811	0.23108	0.29273	0.31404	0.1209	0.07705
Healthy	0.37766	0.00569	0	2.11935	0	0	0	0	0	0	0.00569	2.11935	0	0.04392	0	0	0	0	0	0
Healthy	1.58697	0	0	0	0	0.19257	0	0	0	0	0	0	0.19257	0.07397	0	0.26753	0	0.06771	0	0
Healthy	3.4445	0	0	0	0	0.24837	0.83096	0.74714	0	0	0	0	0.24837	0.12283	0.83096	0.32436	0	0	0.74714	0
Healthy	14.1211	0.02686	25.4398	1.17965	0.08608	0.49127	0.54504	0.35772	0	0	0.02686	1.17965	0.49127	0.18009	0.54504	0.36115	0	0.21378	0.35772	0
Healthy	1.73208	0	0	0	0	0.37034	0	0	0	0	0	0	0.37034	0.02169	0	0	0	0	0	0
Healthy	2.82876	0.00924	6.05044	3.1047	0	1.11791	0.19502	0.11456	0	0.01106	0.00924	3.1047	1.11791	0.37359	0.19502	0.15086	0	0.13161	0.11456	0.01106
Healthy	7.49095	0	0	0.4971	3.55858	1.50175	0	0	0.16773	0	0	0.4971	1.50175	0.33464	0	0.23836	0.16773	0.24642	0	0
Healthy	0.0869	0.03458	0	2.8852	0	0.1118	0.01131	0	0	0.09945	0.03458	2.8852	0.1118	0.05061	0.01131	0.0622	0	0.01832	0	0.09945
Healthy	1.19896	0	0	0	0	0.1245	0.02243	0	0.7049	0	0	0	0.1245	0.03212	0.02243	0.00322	0.7049	0	0	0
Healthy	1.50523	0	0	6.47044	0	0.19349	0.03897	0	0	0	0	6.47044	0.19349	0.0138	0.03897	0.0313	0	0.00161	0	0
Healthy	0.59988	16.9553	24.9828	0.36277	0	0.57973	0.31401	0.00538	0	0	16.9553	0.36277	0.57973	0.39965	0.31401	0.2314	0	0.36595	0.00538	0
Healthy	1.93478	0	0	0.22097	0	0.35656	0.72386	0	0.88666	0.06135	0	0.22097	0.35656	0.93956	0.72386	0.27396	0.88666	0.31194	0	0.06135
Healthy	1.59913	0	0	0	0	0.06643	0	0	0	0	0	0	0.06643	0.04887	0	0.25446	0	0.08659	0	0
Healthy	0	0	0	1.74634	0	0.02334	0.16294	0.02653	0	0.05703	0	1.74634	0.02334	0.01226	0.16294	0.33739	0	0.102	0.02653	0.05703
Healthy	0.1319	0	0	0	0	0.04365	1.43599	0.28966	0.4505	0	0	0	0.04365	0.24568	1.43599	1.64149	0.4505	0.65282	0.28966	0
Healthy	0	0	0	0	0	0.05606	0	0	0	0	0	0	0.05606	0.56179	0	0.02474	0	0	0	0
Healthy	4.5684	0	0	0	0	1.28709	0.63096	0.21141	0	0	0	0	1.28709	1.32018	0.63096	0.45723	0	0.93762	0.21141	0
Healthy	0.5885	10.1307	16.1134	2.89576	0	0.6326	0.39313	0	0	0	10.1307	2.89576	0.6326	0.07185	0.39313	0.39675	0	0.18297	0	0
Healthy	8.20246	52.57972	0	0	0	0.92579	0.20239	0.01396	0	0	52.57972	0	0.92579	0.06514	0.20239	0.11668	0	0.14352	0.01396	0
Healthy	0.62337	0	0	0.68176	0	0.08576	0	0	4.00086	0	0	0.68176	0.08576	0.11673	0	0.0462	4.00086	0.00369	0	0
Healthy	6.67667	0	26.4445	0.31057	0	2.71728	0.02292	0.92787	0	0.50628	0	0.31057	2.71728	0.14604	0.02292	0.34421	0	0.14468	0.92787	0.50628
Healthy	14.6733	13.4412	0	0.22087	0.04421	0.64818	0.20391	0.02718	0.48381	0.00789	13.4412	0.22087	0.64818	0.37099	0.20391	0.20214	0.48381	0.09617	0.02718	0.00789
Healthy	0	0.25957	0	2.08164	0	1.7515	2.32936	1.13843	0	0	0.25957	2.08164	1.7515	2.47066	2.32936	3.18766	0	1.98426	1.13843	0
Healthy	0.11545	64.0059	0	0.19623	0	0.9266	0	0	0	0	64.0059	0.19623	0.9266	0	0	0.27544	0	0	0	0
Healthy	0.00496	0	0	0.00032	0	0.00172	0	0	0	0	0	0.00032	0.00172	0.54515	0	0.00044	0	0	0	0
Healthy	0	0	0	0	0	0.45524	0.07542	0.00721	0	0	0	0	0.45524	0.58827	0.07542	0	0	0	0.00721	0
Healthy	0	0	0	0.06778	0	4.76707	0.36857	0.81442	0	0	0	0.06778	4.76707	0	0.36857	0.16602	0	0.87761	0.81442	0
Healthy	1.55778	0	0	0	0	0.47439	0	0	0	0	0	0	0.47439	0.09668	0	0.18765	0	0.06886	0	0
Healthy	0.73413	0	0	3.60827	0	0.55055	0	0	0	0	0	3.60827	0.55055	0	0	0.03616	0	0	0	0
Healthy	16.3164	0	0	2.18202	0	1.52659	3.27491	0.15254	0	0	0	2.18202	1.52659	2.0215	3.27491	0	0	0.46385	0.15254	0
Healthy	2.82197	0.75556	6.42873	2.48586	0	0.7453	0.56465	0.41161	0	0	0.75556	2.48586	0.7453	0.61488	0.56465	0.48439	0	0.14217	0.41161	0
Healthy	6.19043	0	0	5.93991	0	1.16049	0.3381	0.23918	0.36524	0	0	5.93991	1.16049	0.34602	0.3381	0.50544	0.36524	0.56249	0.23918	0
Healthy	1.48316	0.29712	0.32511	7.26493	1.24695	0.01464	0	0.002	0	0	0.29712	7.26493	0.01464	0.78203	0	0.14177	0	0.0017	0.002	0
Healthy	1.49584	0	0	10.1724	0	1.76538	1.0341	0.01201	0	0.55131	0	10.1724	1.76538	0.21891	1.0341	0.43894	0	0.16054	0.01201	0.55131
Healthy	0	0	0	0	0	0	0	0.0717	0	0	0	0	0	0	0	0	0	0	0.0717	0
Healthy	8.84609	0	0	0	0.12133	0.09564	0.31567	0.24419	0	0	0	0	0.09564	0.39512	0.31567	0.59777	0	0.21324	0.24419	0
Healthy	2.55812	0.13032	0	1.5643	27.2102	2.41178	0	0.21979	0	0	0.13032	1.5643	2.41178	1.30319	0	0.19554	0	0.95177	0.21979	0
Healthy	11.7859	0	0	3.13782	1.07	4.28731	2.01348	0.10655	0	0	0	3.13782	4.28731	2.6543	2.01348	2.6573	0	0	0.10655	0
Healthy	0	0	0	3.25229	0	0.03858	0	0	0	0	0	3.25229	0.03858	1.89777	0	0	0	0	0	0
Healthy	3.1748	0	0	4.92905	0	0.30867	0.06616	0	0	0	0	4.92905	0.30867	0.15486	0.06616	0.07083	0	0.00609	0	0
Healthy	0.06701	0.03927	0	2.74351	0	0.03376	0.01818	0	0	0.11285	0.03927	2.74351	0.03376	0.04442	0.01818	0.03231	0	0.01971	0	0.11285
Healthy	0.11655	0	0	1.34454	0.11554	0.17556	0.28445	0.32889	0	0	0	1.34454	0.17556	0.49708	0.28445	0.27273	0	0.10073	0.32889	0
Healthy	1.32469	0	0	9.80938	0	0.90989	0.45556	0.00271	0	0.0642	0	9.80938	0.90989	0.1611	0.45556	0.31837	0	0.10031	0.00271	0.0642
Healthy	0	0.02466	0	0	0	0.59217	0	0.03975	0	0	0.02466	0	0.59217	0.41217	0	0.00203	0	0	0.03975	0
Healthy	0.27718	0	0	2.14951	0	0.13324	0	0	0	0.4048	0	2.14951	0.13324	0.03837	0	0.03572	0	0.01276	0	0.4048
Healthy	1.20294	0	0	2.96203	0	0.07041	0	0	0	0	0	2.96203	0.07041	0.01547	0	0.04168	0	0	0	0
Healthy	12.0205	0	0	0	0	1.49299	0.37857	0.13756	0	0	0	0	1.49299	0.03666	0.37857	0.0908	0	0.01445	0.13756	0
Healthy	0.02618	0	0	0.00034	0	0.00761	0	0	0	0	0	0.00034	0.00761	0.02052	0	0	0	0	0	0
Healthy	0	0	0	0	0	0.00656	0	0	0	0	0	0	0.00656	0	0	0	0	0	0	0
Healthy	5.47456	0	0	0.6605	0	1.3312	0.58515	0.07557	0	0.03021	0	0.6605	1.3312	1.23268	0.58515	0.29456	0	0.49591	0.07557	0.03021
Healthy	8e-05	0	0	0	0	0.01652	0	0	0	0	0	0	0.01652	0	0	0	0	0	0	0
Healthy	0	0	0	0.17166	0	2.63085	0.50781	1.27083	0	0	0	0.17166	2.63085	0.03436	0.50781	0.17475	0	1.2331	1.27083	0
Healthy	0.26663	0	0	0.69754	0	0.06165	0	0	3.05443	0	0	0.69754	0.06165	0.22505	0	0.01676	3.05443	0	0	0
Healthy	6.39525	0	24.2402	0.31317	0	2.63541	0.03486	0.8149	0	0.42764	0	0.31317	2.63541	0.13439	0.03486	0.3489	0	0.13404	0.8149	0.42764
Healthy	0	0.48429	0	1.02568	3.0169	0.00231	2.63926	0.182	0	1.12823	0.48429	1.02568	0.00231	0.51148	2.63926	2.44988	0	0.31921	0.182	1.12823
Healthy	8.56933	0	24.9614	0.90519	0.6898	0.39255	0.76519	0.08184	0	0	0	0.90519	0.39255	0.118	0.76519	0.29312	0	0.22954	0.08184	0
Healthy	0	0	0	0.1938	0	2.79899	0.56616	0.36914	1.27599	0	0	0.1938	2.79899	0.84429	0.56616	3.68226	1.27599	0.4514	0.36914	0
Healthy	3.19449	18.77959	0	0.03238	0	0.69005	0.18196	0.36483	0.34593	0	18.77959	0.03238	0.69005	0.20865	0.18196	0.18425	0.34593	0.45996	0.36483	0
Healthy	0	0	0	0	0	48.6163	0	0	0	0	0	0	48.6163	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0.00708	0	0	0	0	0	0	0.00708	0.0862	0	0.15625	0	0	0	0
Healthy	0	7.8765	0	0.16807	0	0.00185	1.27661	0.10843	0.15858	0.18756	7.8765	0.16807	0.00185	4.31906	1.27661	0.22738	0.15858	0.4587	0.10843	0.18756
Healthy	6.17166	0.00467	0	0	0	0.01995	0.07071	0.0912	0	0	0.00467	0	0.01995	0.20471	0.07071	0.08164	0	0.10964	0.0912	0
Healthy	0	0	0	2.6968	0	0.27906	0	0.00353	8.35497	0	0	2.6968	0.27906	0.04198	0	0.0333	8.35497	0.03271	0.00353	0
Healthy	0	0	0	0	0	0.01144	0	0	0	0	0	0	0.01144	0.14131	0	0.02296	0	0	0	0
Healthy	0	0	0	0.4206	0	5.68451	0	0	0	0	0	0.4206	5.68451	0	0	0.83605	0	0	0	0
Healthy	1.62455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	8.48167	0	0	5.94627	0.18045	0.02537	0.66924	0.03318	0	0.08882	0	5.94627	0.02537	0.70327	0.66924	2.8669	0	0.12059	0.03318	0.08882
Healthy	1.57527	0	0	0	0	0.18027	0	0	0	0	0	0	0.18027	0.11845	0	0.13498	0	0.08232	0	0
Healthy	0.80156	0	0	0	0	0.23749	0	0	0	0	0	0	0.23749	0.01327	0	0.00239	0	0.01615	0	0
Healthy	0.46911	0	12.3695	0.39561	0.7215	1.22573	0.36717	0.07877	0.22385	0.028	0	0.39561	1.22573	1.23168	0.36717	0.35224	0.22385	0.45931	0.07877	0.028
Healthy	5.86786	2.01029	0	2.74176	0.45909	0.96855	1.1733	0.14752	0	0.03978	2.01029	2.74176	0.96855	1.38003	1.1733	1.25094	0	0.60402	0.14752	0.03978
Healthy	2.21198	0	0	1.13799	0	0.47222	0	0	0	0	0	1.13799	0.47222	0	0	0	0	0.00347	0	0
Healthy	0.05942	0	0	8.23444	7.872	0.16438	0.15532	0.26645	0	0	0	8.23444	0.16438	0.06	0.15532	0.60207	0	0.01066	0.26645	0
Healthy	3.06636	0	0	1.52852	0	1.59078	0	0	0	0	0	1.52852	1.59078	0	0	0	0	0.06765	0	0
Healthy	0.67607	0	0	0.65001	0	0.05475	0	0	4.10978	0	0	0.65001	0.05475	0.09623	0	0.0582	4.10978	0.0196	0	0
Healthy	22.737	0	0	6.49366	1.94601	0.08058	0.27421	0.42323	0	0	0	6.49366	0.08058	0.12129	0.27421	0.50545	0	0.04183	0.42323	0
Healthy	2.50007	0	0	5.26036	0	0.39809	0.01431	0	0	0	0	5.26036	0.39809	0.0851	0.01431	0.03849	0	0.00444	0	0
Healthy	22.492	0	0	0.09087	0	0.00084	1.53153	1.03435	0	0.00651	0	0.09087	0.00084	2.39342	1.53153	0.21409	0	0.87028	1.03435	0.00651
Healthy	1.59942	0	0	0	0	0.37596	0	0	0	0	0	0	0.37596	0.12489	0	0.18463	0	0.12508	0	0
Healthy	0	0	0	2.64439	0	1.26924	0	0	0	0	0	2.64439	1.26924	2.46682	0	0	0	0	0	0
Healthy	2.52752	9.06173	0	0	0	0.1337	1.03653	0	0	0	9.06173	0	0.1337	0.25844	1.03653	0.34456	0	0.6491	0	0
Healthy	2.22389	0	0	1.0684	0	0.42301	0	0	0	0	0	1.0684	0.42301	0	0	0.02157	0	0.00825	0	0
Healthy	0	67.8721	0	0	0	0	0	0	0	0	67.8721	0	0	0.57856	0	0	0	0	0	0
Healthy	7.80731	0.03159	0.06092	1.93473	0	0.39403	0.6034	0.21884	0	0.68989	0.03159	1.93473	0.39403	0.05757	0.6034	0.14953	0	0.11911	0.21884	0.68989
Healthy	7.35058	0	0	0.91359	0.70003	1.03419	1.38666	0.04597	0	0.98441	0	0.91359	1.03419	0.99093	1.38666	0.85647	0	0.11428	0.04597	0.98441
Healthy	0.686	0	0	0.74032	0	0.07932	0	0	4.42282	0	0	0.74032	0.07932	0.10123	0	0.03327	4.42282	0.00393	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0.00902	0	0	0	0	0	0.38712	0	0	0	0	0.00902	0
Healthy	23.0302	0	0	0	0	0.36478	0.49404	0.11325	0	0	0	0	0.36478	1.61556	0.49404	0.1493	0	0.57266	0.11325	0
Healthy	2.01275	0.03717	0	0.91225	0	0.29142	3.83709	0.19364	0	0.08115	0.03717	0.91225	0.29142	0.35445	3.83709	1.12385	0	0.24857	0.19364	0.08115
Healthy	3.08406	33.5909	0	5.58872	0	0.01791	0.6196	0.07892	0.85146	0.17133	33.5909	5.58872	0.01791	0.40063	0.6196	0.22248	0.85146	0.42575	0.07892	0.17133
Healthy	0	0	0	0	0	1.38272	0	0.00664	0	0	0	0	1.38272	0.02801	0	0	0	0	0.00664	0
Healthy	2.01631	0.00532	0	0.99457	0	0.03616	0.0503	0.01185	0	0	0.00532	0.99457	0.03616	0.01969	0.0503	0.03871	0	0.01467	0.01185	0
Healthy	0.01703	0.08904	0	0.07729	0	0.27589	0.31165	0.14596	0.14554	0	0.08904	0.07729	0.27589	0.08257	0.31165	0.08954	0.14554	0	0.14596	0
Healthy	0.20791	0	0	0	0	0.82705	0	0	0	0.35705	0	0	0.82705	0.07045	0	0.06454	0	0.01528	0	0.35705
Healthy	0.67329	0	0	0	0	0.06628	0.00274	0	0	0	0	0	0.06628	0.57853	0.00274	0.13661	0	0.00926	0	0
Healthy	14.3319	1.41996	0	0	0	0.0419	0.81044	0.19369	0	0	1.41996	0	0.0419	2.50659	0.81044	0.52458	0	0.56574	0.19369	0
Healthy	2.54715	0	4.03262	5.92057	0	3.16716	1.93431	0.84791	0	0.01487	0	5.92057	3.16716	2.80821	1.93431	0.74575	0	0.37941	0.84791	0.01487
Healthy	9.41314	0	0	2.46449	0	0.16934	0.47104	0.06286	0.85463	0.05601	0	2.46449	0.16934	0.19353	0.47104	0.05308	0.85463	0.15374	0.06286	0.05601
Healthy	0.46217	0	0	0	23.0782	0.15281	1.25975	0.33408	0	0.02199	0	0	0.15281	2.2068	1.25975	0.99442	0	0.72412	0.33408	0.02199
Healthy	0.96103	1.05462	0	0	0	2.49582	0.68976	0.31358	0	0	1.05462	0	2.49582	1.20912	0.68976	1.19453	0	0.24477	0.31358	0
Healthy	8.54793	0.35903	0	5.36691	5.69836	1.02735	0.01211	0.30422	0	0	0.35903	5.36691	1.02735	0.33095	0.01211	0.10442	0	0.11898	0.30422	0
Healthy	0	0	0	2.07016	0	0.02157	0	0	0	0	0	2.07016	0.02157	0.99309	0	0	0	0	0	0
Healthy	0.13284	0	0	0	0	0.33651	0	0	0	0.08506	0	0	0.33651	0.34206	0	0	0	0.01659	0	0.08506
Healthy	2.17777	0	0	5.33263	0.19466	0.16264	0.02868	0	1.50238	0.35285	0	5.33263	0.16264	0.00355	0.02868	0.11362	1.50238	0	0	0.35285
D050177	2.43008	0	0	1.73873	0.1314	3.82602	2.40119	1.01982	0	0.96804	0	1.73873	3.82602	0	2.40119	1.0764	0	0	1.01982	0.96804
Healthy	0.00085	0.00075	0	0.00079	0	0.008	0.00056	0	0	0	0.00075	0.00079	0.008	0	0.00056	0	0	0	0	0
Healthy	0	0	0	1.99601	24.9923	0	0	0	0	0	0	1.99601	0	0	0	0	0	0	0	0
Healthy	8.62691	0	0	0.92578	0	0.99702	0.0848	0.00497	5.74462	0	0	0.92578	0.99702	0.38423	0.0848	0.13331	5.74462	0.05521	0.00497	0
Healthy	0	0.0055	0	0	0	0.17261	0	0.00763	0	0	0.0055	0	0.17261	0.28087	0	0	0	0.45808	0.00763	0
Healthy	13.2787	0	0	0.66697	1.18571	0.17403	0.38783	0.0494	0	0.01164	0	0.66697	0.17403	0.44459	0.38783	0.50832	0	0.2821	0.0494	0.01164
Healthy	1.49634	0	0	0	0	0.13166	0	0	0	0	0	0	0.13166	0.01584	0	0.04114	0	0	0	0
Healthy	0.00183	0.00331	0	0	0	0.41892	0	0	0	0	0.00331	0	0.41892	0	0	0	0	0	0	0
Healthy	0	0	0	1.63773	0	1.81283	0	0	0	0.15881	0	1.63773	1.81283	0	0	0	0	0	0	0.15881
Healthy	0.86575	10.59325	0	0.7455	2.25233	0.53935	0.04491	0	0.24594	0	10.59325	0.7455	0.53935	0.28375	0.04491	0.1154	0.24594	0.02561	0	0
Healthy	4.35321	0	0	0	0	0.08517	0.57907	0.32987	0	0	0	0	0.08517	0.04402	0.57907	0.15292	0	0	0.32987	0
Healthy	0	0	0	2.3146	0	0.77797	0	0	0	0	0	2.3146	0.77797	2.33179	0	0	0	0	0	0
Healthy	0.0014	0	0	0.00257	0	0.00522	0	0	0	0	0	0.00257	0.00522	0	0	0	0	0	0	0
Healthy	2.43051	0	0	5.19928	0	0.0302	0	0	0	0	0	5.19928	0.0302	0.08354	0	0.0371	0	0.00424	0	0
Healthy	0	0	0	2.14127	0	0.0735	0.00665	0	0	0.35764	0	2.14127	0.0735	0.45943	0.00665	0.04129	0	0	0	0.35764
Healthy	7.45029	0	0	0.48016	2.85438	1.57848	0.08383	0	0.17983	0	0	0.48016	1.57848	0.28469	0.08383	0.17803	0.17983	0.26284	0	0
Healthy	11.9514	0	0	0	0	1.22365	1.67754	0.81222	0	0.06296	0	0	1.22365	4.11687	1.67754	1.38972	0	0.42435	0.81222	0.06296
Healthy	0	0.01919	0	0.00181	0	1.5867	0	0	0	0	0.01919	0.00181	1.5867	0	0	0	0	0	0	0
Healthy	0.62496	0	0	0.66298	0	0.03822	0	0	4.25301	0	0	0.66298	0.03822	0.10462	0	0.05756	4.25301	0	0	0
Healthy	5.08872	0	0	2.89997	0	0.87089	0	0	0	0	0	2.89997	0.87089	0.01279	0	0.00511	0	0.02118	0	0
Healthy	18.4009	0	0	5.55225	0.72763	0.04046	0.01657	0.49053	0	0.08647	0	5.55225	0.04046	0.1121	0.01657	0.8849	0	0	0.49053	0.08647
Healthy	2.88749	0	0	0	0	1.36161	0	0.52591	0	0	0	0	1.36161	0.65421	0	0.00579	0	0.31537	0.52591	0
Healthy	6.41747	0.01928	0	3.06786	0	0.01081	0.70296	0.29528	0	0	0.01928	3.06786	0.01081	0.02641	0.70296	0.16847	0	0.03064	0.29528	0
Healthy	8.47347	0	0	0	0	0.35527	0.14445	0.1752	0	0	0	0	0.35527	0.06683	0.14445	0.20557	0	0.50773	0.1752	0
Healthy	1.65188	0	0	2.37243	0	0.9099	0.91817	0.09571	0.20053	0.04101	0	2.37243	0.9099	1.45953	0.91817	0.57736	0.20053	0.33615	0.09571	0.04101
Healthy	8.03186	0	0	1.62285	0	0.21106	1.31516	0.61508	0	0	0	1.62285	0.21106	0	1.31516	0.11405	0	0	0.61508	0
Healthy	0	0	0	0	0	1.19487	0	0.62613	0	0	0	0	1.19487	5.26636	0	0.17932	0	0.13838	0.62613	0
Healthy	2.92454	7.24425	0.1377	3.70791	3.75888	4.13498	1.89085	1.05191	0.62601	0	7.24425	3.70791	4.13498	1.26413	1.89085	0.3095	0.62601	0.03388	1.05191	0
Healthy	0	1.40332	0	0	0	0	0	0	0	0	1.40332	0	0	0.03642	0	0	0	0	0	0
Healthy	0	24.9227	0	2.91155	0	0.07551	3.13196	2.0237	0	0	24.9227	2.91155	0.07551	0.31612	3.13196	1.46423	0	1.36821	2.0237	0
Healthy	0	32.58213	0	0	0	1.15769	0	0.41635	0	0	32.58213	0	1.15769	1.99837	0	0	0	0	0.41635	0
Healthy	1.56339	0	0	0	0	0.28031	0.01125	0	0	0	0	0	0.28031	0.0935	0.01125	0.19544	0	0.07982	0	0
Healthy	0	0	0	0	0	0.49819	0	1.36003	0	0.10371	0	0	0.49819	4.03756	0	0.61209	0	0.09952	1.36003	0.10371
Healthy	0.15493	0.00057	1.22535	0.98184	0	0.47045	0.29771	0.06029	0	0.06625	0.00057	0.98184	0.47045	0.39297	0.29771	0.57189	0	0.17323	0.06029	0.06625
Healthy	13.5265	0	0	2.07829	0	0.70212	0.81724	0.2926	0.54516	0	0	2.07829	0.70212	1.08436	0.81724	1.12174	0.54516	0.52129	0.2926	0
Healthy	0.0002	0.00228	0	0	0	0	0	0	0	0	0.00228	0	0	0	0	0	0	0	0	0
Healthy	0	0.2128	0	0	0	0	0	0	0	0	0.2128	0	0	0.07588	0	0	0	0	0	0
D050177	3.96683	5.49723	0	2.87061	15.4091	5.35466	3.84538	2.4876	0.21029	0	5.49723	2.87061	5.35466	1.36908	3.84538	0.55987	0.21029	0	2.4876	0
Healthy	0	0	0	0	0	0.00697	0	0	0	0	0	0	0.00697	0.07873	0	0.17181	0	0	0	0
Healthy	0	9.62725	0	0	0	0	0	0	0	0	9.62725	0	0	0	0	0	0	0	0	0
Healthy	1.54559	31.33203	0	1.97267	0.02974	0.43952	0	0	0.11575	0	31.33203	1.97267	0.43952	0.60432	0	0.02701	0.11575	0.04321	0	0
Healthy	1.71636	0	0	0	0	0.0323	0.40061	0.01494	0	0	0	0	0.0323	0.16404	0.40061	0.06211	0	0.05439	0.01494	0
Healthy	0	0	0	0	0	0.00625	0.0044	0.01263	0	0.01923	0	0	0.00625	1.20074	0.0044	0.03715	0	0.00863	0.01263	0.01923
Healthy	16.45	0	0	2.44637	0	0.54708	2.86704	0.41708	0	0	0	2.44637	0.54708	1.79812	2.86704	0.02713	0	0.26583	0.41708	0
Healthy	21.5021	0	0	0.82088	0	1.0772	1.41804	0.29021	0	0	0	0.82088	1.0772	2.02587	1.41804	0.92988	0	1.18657	0.29021	0
Healthy	0.63168	0	0	4.08345	0.22575	0.07644	0	0	0	0	0	4.08345	0.07644	0	0	0.00468	0	0	0	0
Healthy	0.14322	0	0	1.511	0.1768	0.15293	0.33281	0.33565	0	0	0	1.511	0.15293	0.50252	0.33281	0.23422	0	0.12472	0.33565	0
Healthy	3.07413	0	0	0	1.52347	0.03048	2.64627	0.1039	0	0	0	0	0.03048	2.31437	2.64627	4.22453	0	1.08117	0.1039	0
Healthy	1.05136	0	14.113	1.14102	0	0.04645	0.01817	0	0	0.09554	0	1.14102	0.04645	0.00659	0.01817	0.10508	0	0.05331	0	0.09554
Healthy	1.01913	0	0	3.38995	3.94462	0.03958	0	0	0	0.20239	0	3.38995	0.03958	0.29621	0	0.04674	0	0.01705	0	0.20239
Healthy	0.37106	0.00175	0	0	0	0.85628	0.0632	0.0028	0.8582	0	0.00175	0	0.85628	0.1533	0.0632	0.24082	0.8582	0.09058	0.0028	0
Healthy	1.64275	6.51186	0	0.29716	2.01869	0.0775	0.34405	0.584	0.6023	0.10158	6.51186	0.29716	0.0775	0.32096	0.34405	0.1165	0.6023	0.05708	0.584	0.10158
Healthy	0.60636	10.7909	0	0.01067	1.14621	0.1795	0.9425	1.076	0.54625	0.35763	10.7909	0.01067	0.1795	1.60656	0.9425	0.4848	0.54625	0	1.076	0.35763
Healthy	1.20906	1.93236	0.07654	0	33.9196	0.88331	6.8094	0.94388	0	0	1.93236	0	0.88331	0.25025	6.8094	4.94366	0	2.99835	0.94388	0
Healthy	5.82413	0	0	0	0	0.16338	0.37189	0.24175	0	0	0	0	0.16338	0.13986	0.37189	0.33538	0	0.20075	0.24175	0
