p	Firmicutes_C	Proteobacteria
Healthy	-2.69897000433602	-0.633091651478627
Healthy	-5	-1.47521455067878
Healthy	0.585353552711389	0.330275751303548
Healthy	-0.460422116654691	0.493729835674895
Healthy	-5	0.381573511428956
Healthy	-0.865440422577375	-5
Healthy	-1.44297427761362	-0.41054190953502
Healthy	-5	-0.966616458826881
Healthy	0.44715027601437	1.02447088994175
Healthy	-1.47638358094563	0.465747089582431
Healthy	0.410804217827063	-0.654371453543694
Healthy	-1.23150989482875	-0.17532757261464
Healthy	0.424515760887521	-0.105351696206483
Healthy	-0.445692591194441	-0.18894807088368
Healthy	-1.30891850787703	-0.319356328457753
Healthy	0.559891071511696	-0.0792351019025129
Healthy	1.10412880717098	0.349205624890484
Healthy	-0.550614177886614	-1.42250820016277
Healthy	0.0322721538792363	0.625943879895748
Healthy	-5	-1.06454311928839
Healthy	-5	0.279872181802656
Healthy	0.755196216792059	-0.388861099604354
Healthy	0.683102898251826	0.779484656852121
Healthy	-5	-0.519317693674513
Healthy	-0.919193195665638	0.216498426045241
Healthy	-0.38344047112217	-1.12314735239866
Healthy	-5	-0.637781499673948
Healthy	0.109247722726692	0.469963322716831
Healthy	0.585561113253916	0.175192788386603
Healthy	-5	-1.21275211966805
Healthy	1.09307235793528	-5
Healthy	0.595127907424166	-1.47391930819797
Healthy	-1.03268608171292	-5
Healthy	0.25020280076303	0.493842680869723
Healthy	-1.54485047882017	-0.156007715296637
Healthy	0.597043255132234	0.501999443521579
Healthy	0.965537055768076	-0.547937422579577
Healthy	0.278014672065929	-0.0410158810572654
Healthy	0.781603883546812	-0.807126028457478
Healthy	-5	-5
Healthy	-1.47146893936459	-0.00137018679696171
Healthy	-0.426989074326613	0.213783299335304
Healthy	0.364320185775914	0.134476737534991
Healthy	0.421116717448923	-2.52578373592374
Healthy	-5	-0.917286419828668
Healthy	0.386068917092623	-1.73541827076192
Healthy	-1.11781711236973	0.91410504981628
Healthy	-5	-0.32652751393593
Healthy	-0.276363751548955	-0.484232094691555
Healthy	0.770695932022493	-0.611667852142784
Healthy	-5	-0.138716560793675
Healthy	-1.12499664639996	0.152795744228193
Healthy	-0.104660342496373	-1.32376378323669
Healthy	0.224450183956584	-0.50619353784942
Healthy	0.721269676607568	0.615774405540379
Healthy	0.410444849855314	1.19040510174362
Healthy	-5	0.30496204994215
Healthy	-0.480172006224281	-1.48492132492408
Healthy	0.270175554788268	-0.215247234325595
Healthy	-5	-0.607285464323705
Healthy	-5	-0.0874591172093625
Healthy	0.6558757249061	0.761866221337698
Healthy	0.224771250660267	-0.834458923277627
Healthy	0.955189685433538	0.120211868257074
Healthy	-0.344304641900412	0.886993538765038
Healthy	-5	-5
Healthy	-0.931999773854828	-5
Healthy	0.171878503215528	-5
