group	Blautia_A	Streptococcus	Dorea	Longicatena	Faecalimonas	Clostridium_A	Adlercreutzia	Gordonibacter	Eggerthella	Lactococcus	Faecalibacterium	Agathobacter	Ruminococcus_H	Roseburia	Mediterraneibacter	Enterocloster	Collinsella	Blautia_A	Dorea	Flavonifractor
Healthy	0.3583	1.04933	0.61097	0	0	0.00619	0.04105	0	0	0	7.21216	3.50391	0.64251	8.37612	0.93048	0.87631	0.33622	0.3583	0.61097	0.08103
Healthy	0.38507	0.01657	0.20709	0.00016	0	0.01243	0.02361	0	0	0	3.67723	2.92042	3.91891	3.3525	0.73978	0.26551	0.91269	0.38507	0.20709	0.21544
Healthy	0.25643	0.08606	0.46545	0.00364	0	0.03382	0.26867	0.01241	0	0.00232	3.78626	3.4047	4.92965	0.77764	0.03239	1.12558	1.43581	0.25643	0.46545	0.02161
Healthy	0.03551	0	0	0	0	0	0	0	0	0	1.90978	1.43889	0.9933	1.14848	0.19409	0.01573	0.14288	0.03551	0	0.10007
Healthy	0	1.2222	0	0	0	0.00014	0	0	0	0	0.00368	0	0	0	0.18846	0	0.12	0	0	0
Healthy	0.20371	0.18972	0.06101	0	0	0	0	0	0	0	9.59753	2.38036	1.82773	7.38522	0.32606	0.96456	0	0.20371	0.06101	0.2895
Healthy	0.01794	0.23259	0	0	0	0.35951	0	0	0	0	0.5278	0	0	0.38595	0.02773	0.09105	0.15444	0.01794	0	0.18962
Healthy	0.12538	0.14253	0	0.00061	0	0.00424	0	0	0	0	16.8393	0.51508	0.02157	3.23114	0.35646	0.14689	0.01631	0.12538	0	0.12367
D008545	0.38481	11.15427	1.62863	0	14.7629	0.53251	0	0	0.09959	0	12.9862	32.3817	0	0.40267	0.17581	0.04949	0	0.38481	1.62863	0
Healthy	0	0.21411	0	0	0	0.05176	0	0	0	0	3.54818	0	0.98058	0.34484	1.83505	1.88463	0	0	0	0.66922
Healthy	0	0	0	0	0	0.20168	0	0	0	0	0.69262	0.03579	0	0	2.18411	1.06288	0.102	0	0	1.66202
Healthy	0.64062	0	0.45839	0	0	0	0	0	0	0	0.90956	1.95917	0.15905	1.87495	1.8025	0.60527	0.06941	0.64062	0.45839	0.0234
Healthy	0.06819	0	0.06578	0	0	0	0	0	0	0	1.09293	0.91554	2.6742	0.88099	0.06129	0.47844	0	0.06819	0.06578	0
Healthy	0	0.06243	0	0	0	0.15275	0	0	0	0	2.47447	0	0	0	1.23277	2.53167	0	0	0	0.59111
Healthy	0.53306	0.11515	0.26968	0	0	0	0	0	0	0	1.19569	14.9951	6.37254	12.93834	0.40197	0.22579	0	0.53306	0.26968	0
Healthy	0.01221	0	0	0	0	0	0	0	0	0	1.96391	1.42931	0.9626	1.23219	0.23742	0.01556	0.19064	0.01221	0	0.14654
Healthy	4.10101	15.69812	0.67153	0	0.84621	0	0	0	0	0	2.60289	2.61541	6.10013	0.63495	0.20105	1.87818	2.82554	4.10101	0.67153	0
Healthy	0.32815	0.33687	0.33065	0	0	0	0	0	0	0	2.1367	9.44655	1.98987	2.36098	0.05105	0.90362	1.73487	0.32815	0.33065	0.00299
Healthy	0.17257	0	0.09228	0.24099	0	0.6039	0	0	0	0	2.03873	1.46116	0	0.98094	0.08193	0.09816	0	0.17257	0.09228	1.74357
Healthy	0	0	0	0	0	0	0	0	0	0	1.74819	0.21343	0	2.87296	0.20381	0.02291	0.31594	0	0	0.02547
Healthy	0.08257	0	0	0	0	0	0	0	0	0	0.39347	1.40639	1.94348	1.10182	0.14231	0.41483	0	0.08257	0	0
Healthy	0.26395	0.0109	0.03044	0.0032	0	0.05467	0.06196	0.0036	0	0	5.54289	1.11679	11.6922	0.49551	0.20969	0.45183	0.14616	0.26395	0.03044	0.03175
Healthy	0.00032	0.25644	0	0.03527	0.221	0	0	0	0.00368	0	8.98741	0.16418	0	0	0.01807	0.27756	0	0.00032	0	0.00521
Healthy	0.12913	0.54071	0.55837	0.02503	0.0264	0.98499	0.18515	0.01863	0.00018	0	8.79006	9.55	3.74279	7.35424	1.62393	0.61162	0	0.12913	0.55837	0.13195
Healthy	0.35495	2.24552	0.678	0	0	0.09277	0.23981	0.13544	0.00095	0.03909	2.05589	1.52905	0.01244	1.31104	0.35965	0.24044	0.73212	0.35495	0.678	0.01037
Healthy	1.27903	0	0.08256	0	0	0	0.06226	0	0	0	4.49347	3.94545	2.58589	1.62443	0.17201	0.17365	0.38165	1.27903	0.08256	0.14019
Healthy	0.10729	0.19801	0.04752	0	0	0	0	0	0	0	3.4988	6.31094	0	4.27233	0.39585	0	0	0.10729	0.04752	0.04626
Healthy	0	0	0	0	0	0	0	0	0	0	3.96119	1.17275	0	2.88291	0.1563	0	0	0	0	0.0164
Healthy	0.07178	0.06404	0.2418	0	0.13412	0	0	0	0.00026	0	2.57906	0	0	3.05923	0.76527	0.5447	0.3144	0.07178	0.2418	0.13021
Healthy	0	0	0.03418	0	0	0.05067	0.09067	0	0	0	8.32939	2.91926	0.03785	2.69115	1.42142	0	0.14095	0	0.03418	0
Healthy	0.03836	0.00291	0.06314	0	0	0	0	0	0	0	4.26482	0	2.07785	0.25548	0.22834	0.01641	0	0.03836	0.06314	0
Healthy	0.5729	0.07392	1.07415	0.0072	0	0.02277	0.22901	0.0618	0.00056	1.39724	3.86935	6.15479	0	0.76828	0.76747	1.90813	0.71644	0.5729	1.07415	0.08154
Healthy	0.02584	0	0.00456	0.00279	0	0.03647	0	0.01047	0	0	0.40714	0.24847	0.54292	0	0.00976	0.28013	0.68097	0.02584	0.00456	0.17583
Healthy	0.2837	0.02683	0.14329	0	0	0	0.05276	0	0	0	5.60286	5.24714	0.04283	3.39254	0.86068	0.19726	0.35797	0.2837	0.14329	0.01682
Healthy	4.65973	0	3.79291	0	0	0	0	0	0	0	21.7045	0.70755	32.4931	6.59206	5.6824	0.85549	3.68311	4.65973	3.79291	0
Healthy	0.01228	0.21585	0	0	0	0.37289	0	0	0	0	0.51861	0	0	0.4289	0.06426	0.13561	0.14868	0.01228	0	0.20572
Healthy	0.33867	0.04828	0	0	0	0	0	0	0	0	4.29314	7.28422	3.02639	2.44644	0.17702	0.03017	0.23323	0.33867	0	0
Healthy	0.06136	0	0	0	0	0	0.51129	0	0	0	6.5334	0	0	0.45853	0.14695	0.3291	0	0.06136	0	0.15639
Healthy	0.08017	0.00451	0	0	0	0	0.7355	0	0	0	8.03705	0	0	0.60269	0.17457	0.40561	0	0.08017	0	0.23769
Healthy	0.27957	0	0.17733	0	0	0	0.03641	0	0	0	12.2367	16.7736	2.56626	2.4417	0.22845	0.05507	0	0.27957	0.17733	0.081
Healthy	0.08851	0	0.07619	0	0	0	0	0	0	0	3.55185	1.1377	0.27637	6.11913	0.00558	0	0.07736	0.08851	0.07619	0.1543
Healthy	0.04586	0.5783	0	0	0	0	0	0	0	0	4.68188	0.77652	0	3.37977	0.4621	0	0.03571	0.04586	0	0.0264
Healthy	0	0	0	0	0	0.9764	0.14686	0	0	0	4.42579	0	1.06684	0	0.08284	0.65934	0	0	0	0.04991
Healthy	0.11858	0.10271	0.02334	0.00209	0	0.05402	0	0.00802	0	0	0	3.13531	0	0	0.67689	0.04138	1.46902	0.11858	0.02334	0.05913
Healthy	0.0048	0.01597	0	0.00545	0.0228	0	0	0	0.01042	0	6.63595	0.99371	1.5587	11.11801	0.00667	0.09799	0	0.0048	0	0.04607
Healthy	0	0	0	0	0	0.07771	0	0	0	0	9.28592	14.3866	0.0013	2.83763	0.03479	1.01141	0	0	0	0.1339
Healthy	0.72437	0	0.9074	0	0	0	0	0	0	0.78156	24.6591	1.73722	11.9056	1.7108	1.66588	2.16324	3.88243	0.72437	0.9074	0
Healthy	0.90537	0.60443	1.51285	0.5723	0	0.12409	0.19679	0.01837	0	0	16.0886	0	17.0343	1.29313	0.01181	0.09151	0.00219	0.90537	1.51285	0
Healthy	0.66445	0	0.68194	0	0	0	0	0	0	0	2.59441	2.49676	0.55983	1.83208	1.953	0.79534	0.10638	0.66445	0.68194	0
D008545	0.43724	0.52505	0.18988	0.15028	1.79421	0.7343	0.03699	0.0559	0.02753	0.013	4.00314	5.7644	6.41701	0.10924	0.02358	0.50608	2.61425	0.43724	0.18988	0.20164
Healthy	0.29839	0.00195	0	0	0	0	0	0	0	0	7.91572	0.55787	3.29959	0.7731	0.09344	2.08235	0	0.29839	0	1.53569
Healthy	0.1194	0	0.08105	0	0	0.37595	0	0	0	0.03976	4.06832	0.56277	0.10202	0.96719	0.03854	0.50451	0.07817	0.1194	0.08105	0
Healthy	0.04908	0.04975	0.01672	0.01167	0	0	0	0	0	0	1.13008	0.0614	0.68619	0.0468	0.01505	0.06154	0.96563	0.04908	0.01672	0.16651
D008545	0.02921	0.01405	0	0.00264	0	1.42972	0.19271	0.38959	0	0	0	0.00164	3.58703	13.93412	0.03541	1.5489	0	0.02921	0	0.28539
Healthy	0.32589	0.29215	0.07593	0	0	0.5397	0	0	0	0	0.82616	0	5.08415	0.09596	0.0062	0	1.24073	0.32589	0.07593	0.15037
Healthy	2.75113	0.22287	0.02256	0.52614	0	0.68543	0.07283	0.00992	0.0011	0	10.0244	0.00314	0	1.13283	0.10502	10.72712	0	2.75113	0.02256	0.08746
Healthy	0.23815	0.02321	0.04307	0	0	0	0	0	0	0	3.84259	5.39703	0.63357	1.93799	0.74578	0.39147	0.38018	0.23815	0.04307	0.09268
Healthy	0.38828	0	0.13667	0	0	0	0	0	0	0	3.94491	1.25286	7.85793	0.08468	0.36996	1.36094	0.22602	0.38828	0.13667	0.03116
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.1208	0.09358	0.02254	0	0	0	0.1511	0	0	0	3.79106	2.91598	0	7.49386	0.1845	0	0.02688	0.1208	0.02254	0.14498
Healthy	0	0.00367	0	0.02798	0	0	0	0	0.00219	0	0	0	0	0	0	0	0	0	0	0.25159
Healthy	0	0	0	0	0	0	0	0	0	0	1.07413	0	0	0	0	1.07384	0	0	0	0.08128
Healthy	0	0	0	0	0	0.1764	0	0	0	0	0.74249	0.04479	0	0	0.01772	1.09337	0.11605	0	0	1.25366
Healthy	0.0369	0.25024	0.18785	0	0	0	0	0	0	0	0.81966	3.07213	0	0.33464	0.03468	0.04741	0.571	0.0369	0.18785	0.25381
Healthy	0.57222	0	0.16507	0	0	0.00235	0.00602	0	0	0	10.6545	2.7855	0.06967	1.21237	2.18279	0.58052	0.14202	0.57222	0.16507	0.08686
Healthy	0.1772	0.00441	0.09942	0	0	0	0	0	0	0	2.10815	8.97331	0.07529	2.08953	0.58787	0.47482	0.01375	0.1772	0.09942	0.10013
Healthy	0.03083	0.00552	0	0	0	0	0.00226	0	0	0	2.37578	3.48417	0.96809	1.06926	0	0.04264	0	0.03083	0	0.02179
Healthy	0.00565	0.04713	0.06279	0.00235	0	0	0	0	0	0	0.93393	0.796	0.65772	0.00922	0.26184	0.00963	0.13383	0.00565	0.06279	0.1212
Healthy	0.29976	0.04653	0.27478	0.01801	0.04977	0	0	0.00348	0	0	17.91	12.8683	2.3538	5.82136	0.00798	0.14049	0.24	0.29976	0.27478	0.00865
Healthy	0.13302	0	0.1677	0	0	0	0	0	0	0	0.12429	0.30974	0	0.06896	0.31804	0.30085	0	0.13302	0.1677	0
Healthy	0.42806	2.16794	0.51624	0	0	0.07551	0.03483	0	0	0.13	5.23795	5.80391	1.63394	1.68837	1.24791	0.30949	0.23481	0.42806	0.51624	0.01974
Healthy	0.21301	0	0.2229	0	0.01282	0	0	0	0	0	2.62326	3.5014	5.97462	0.5252	0.67365	0.36316	0.17433	0.21301	0.2229	0
Healthy	0	0	0	0	0	0	0	0	0	0	62.9997	12.1476	0	0	0	0	0	0	0	0
Healthy	0	0.04301	0	0	0	0	0	0	0	0	3.43183	0.33691	0	1.37492	0.27629	0.04387	0.24373	0	0	1.31228
Healthy	0	0	0.00989	0	0	0	0	0	0	0	1.84929	1.98558	0.00984	0.52164	1.10457	0.37487	0.63218	0	0.00989	0.13412
D008545	1.56549	6.63999	0.62424	0	0	0	0	0	0	0	3.1451	3.56229	0	0.19438	0.60965	1.26926	1.84454	1.56549	0.62424	0.00856
Healthy	0.2328	0.9221	0.01748	0	0	0	0.0955	0	0	0	5.51072	7.84389	1.33345	2.89841	0.03261	0.28899	0.3371	0.2328	0.01748	0
D008545	1.02349	4.59151	0.35047	0	0	0	0	0	0.13635	0	0	24.3499	8.27991	4.63547	3.82547	0	2.57467	1.02349	0.35047	0
Healthy	0.39242	0.15545	0.04477	0.59191	1.15388	0.98862	0.40741	0.08424	0.0022	0	0.17685	0.41305	13.6181	9.34309	0.04471	1.12486	1.97032	0.39242	0.04477	0.11742
Healthy	1.00121	0.38092	0	0.07364	0.31519	0	0.15492	0.01546	0.0161	0	6.71157	8.17556	4.71234	1.55626	0.11433	0.98337	0	1.00121	0	0.03588
Healthy	0.12754	0	0.13158	0	0	0.0152	0.01904	0	0	0	5.37472	23.3399	6.0794	1.56946	0.15385	0.41058	0.31569	0.12754	0.13158	0.02712
Healthy	0	0.8025	0	0	0	0	0	0	0	0	0.53665	0.96796	4.21521	1.6611	5.77681	0.07476	0	0	0	0
D008545	0.35691	0.09573	0.3566	0.0231	0.03632	1.02693	0	0.2675	0.0794	0	1.35237	0.01106	15.9396	12.36879	0.00553	0.53087	0.00191	0.35691	0.3566	0.28264
Healthy	2.84013	0	2.54844	0	0	0	0.51527	0	0	0.20201	2.67302	0	0	5.87948	0.25898	2.01212	3.24867	2.84013	2.54844	0
Healthy	0	1.28005	0	0.07394	2.02445	0	0	0	0.03904	0	0	0	0	0	0.35605	0.44703	0	0	0	0.04332
Healthy	2.43898	0.20985	0	0.00254	0	0	0	0	0.13451	0.02047	8.95456	0	0	0	1.25114	1.09541	0	2.43898	0	0
Healthy	0.13568	0.0582	0.01852	0.02371	0	0.13644	0	0	0	0	2.46552	0	2.11964	0	0.1005	0.08203	0.6914	0.13568	0.01852	0.20774
Healthy	0.40834	16.77604	0.79977	0	0	0	0	0	0	0	0.77987	2.0672	1.28553	1.95372	0.36132	0.19451	2.27129	0.40834	0.79977	0
Healthy	0.23597	0.17892	0.17601	0	0.01235	0	0.11806	0	0	0	8.27035	0.02483	0	1.08866	1.07663	0.11559	0	0.23597	0.17601	0.06439
Healthy	0	0	0	0	0	0	0	0	0	0	0.71987	0	5.52631	1.58347	2.25541	0.05055	1.0791	0	0	0.07299
Healthy	1.28674	0.25241	1.05475	0.00403	0	0	0	0	0.00776	0.01771	13.8765	0.12807	0.00231	4.14852	0.50233	3.12286	4.32512	1.28674	1.05475	0
Healthy	0.15744	0	0	0.10487	0	0.02241	0	0.14118	0.01097	0	0.11471	0	1.95838	0	0.00737	0.08032	1.19682	0.15744	0	0.05826
Healthy	0	0.05589	0	0	0	0	0	0	0	0	3.3535	0.33764	0	1.42881	0.31177	0.04111	0.28366	0	0	1.33726
Healthy	0.20733	0.45117	0.22893	0	0	0	0.04004	0	0	0	16.6374	1.35048	0.07926	1.89802	0.41848	0.28181	0.7939	0.20733	0.22893	0.05911
Healthy	0	0	0.00637	0.02247	0	0.17536	0.00233	0	0	0	1.67666	0.81193	0	0	0.03975	0.01072	0	0	0.00637	0.00889
Healthy	0.08157	0	0.01205	0	0	0.06151	0	0.02894	0	0	0.82745	3.22329	4.46956	0.45649	0.17169	0.17447	0.67999	0.08157	0.01205	0.14954
