group	Prevotella	Faecalibacterium	Phytobacter	Ruminococcus_B	Parasutterella	Ruminococcus_C	Bilophila	Faecalimonas	Pseudodesulfovibrio	Rothia	Bacteroides	Mediterraneibacter	Streptococcus	Anaerobutyricum	Blautia_A	Anaerostipes	Flavonifractor	Alistipes_A	Coprococcus_A	Adlercreutzia
Healthy	0	0.00068	0.91721	19.5045	0	0	0.01514	0	0	0	24.34593	1.13657	0.00104	0	0	0.00655	0.04847	0	0	0
Healthy	0	4.84117	0.05728	0	0.01697	0	0	0	0.15405	0	21.7959	0.15612	0.01765	0.00256	0.08949	0	0.16032	0.03009	0	0.00917
Healthy	0	3.41433	0.09665	0	0	0	0	0	0.03802	0	20.9233	1.58654	0.56085	0.34	0.48211	0.28271	0.02715	0.05137	0.13775	0.00649
Healthy	0.09981	7.21216	0	0	0.08967	0	0	0	0	0	18.04438	0.93048	1.04933	0.51939	0.3583	0.1905	0.08103	0.00799	0.38593	0.04105
Healthy	0.01328	3.67723	0.00903	0.0148	0.02565	0	0.0012	0	0	0	20.34305	0.73978	0.01657	0.43019	0.38507	0.09643	0.21544	0.0182	0.50052	0.02361
Healthy	0	3.78626	0.00336	0.01194	0	0	0.03452	0	0.02419	0	24.21156	0.03239	0.08606	1.67721	0.25643	0.09444	0.02161	0.09568	0.1537	0.26867
Healthy	0	1.90978	0.07286	0	0.29286	0	0.07883	0	0	0	45.82086	0.19409	0	0.06374	0.03551	0	0.10007	0.06004	0	0
Healthy	0	0.00368	16.2661	0	0	0	0.12271	0	0.00913	0.33442	2.12647	0.18846	1.2222	0	0	0	0	0	0	0
Healthy	0	9.59753	0	0	0	0	0.08855	0	0	0	16.9332	0.32606	0.18972	0.56451	0.20371	0.06974	0.2895	0	0.13245	0
Healthy	0	0.5278	0.37736	0.02053	0.0857	0	0.00251	0	0	0	76.44491	0.02773	0.23259	0.01863	0.01794	0.01274	0.18962	0	0	0
Healthy	0	16.8393	0	0	1.28454	0	0.037	0	0	0	27.70954	0.35646	0.14253	0.02058	0.12538	0.03177	0.12367	0	0	0
Healthy	7.42671	3.54818	6.343	0	0.00459	0	0.0128	0	0.13324	0	9.16337	1.83505	0.21411	0	0	0	0.66922	0.00624	0	0
Healthy	0	0.69262	0	0	0	0	0.05737	0	0	0	11.75805	2.18411	0	0	0	0	1.66202	0	0	0
Healthy	0	0.90956	0	0.07063	0	0.03758	0.01639	0	0.01019	0	12.93179	1.8025	0	0.92226	0.64062	0.11062	0.0234	0	0.43583	0
D006973	31.1007	14.1056	0.77092	0.04106	0.44598	0.02436	0.00965	0	0	0	5.38263	0.01623	0	0.01602	0.04108	0	0.15202	1.68599	0.03239	0
Healthy	0	1.09293	16.4109	5.39169	0.04035	0	0	0	0	0	20.1568	0.06129	0	0.31703	0.06819	0	0	0	0	0
Healthy	0	2.47447	0.45378	0	0.08025	0	0.09831	0	0	0	70.91809	1.23277	0.06243	0	0	0	0.59111	0.04504	0	0
Healthy	0	1.19569	0	0	0	0	0	0	0	0	4.39804	0.40197	0.11515	0.44587	0.53306	0.01693	0	0	0	0
Healthy	0	1.96391	0.02833	0.00483	0.29889	0	0.10029	0	0	0	45.09603	0.23742	0	0.0557	0.01221	0	0.14654	0.02679	0	0
