group	Lachnospirales	Methanobacteriales		Bacteroidales	Lachnospirales	Actinomycetales	Enterobacterales	Veillonellales	Methanobacteriales	Erysipelotrichales	Coriobacteriales	Desulfovibrionales	Peptostreptococcales
Healthy	26.02253	0		20.22819	26.02253	9.82654	0.21558	4.07963	0	0.08736	0.20396	0.06614	0.0908
Healthy	15.93214	0		34.97998	15.93214	0.73193	0	0	0	0.08713	1.11002	0.28312	0
Healthy	13.86684	0.54243		54.76138	13.86684	2.58432	0	0	0.54243	0	0.44391	0	0.12217
Healthy	13.69074	0		66.122	13.69074	0.50518	2.77557	4.777	0	0	0	0.01952	0
Healthy	5.4809	0		65.39898	5.4809	0	0.12423	0	0	0	0	0	0
Healthy	5.82858	0		76.52103	5.82858	0.00669	1.37665	0	0	0	0.31466	0.04377	0.0709
Healthy	7.62617	0		53.00535	7.62617	0.13549	0.04487	0	0	0	0.23162	0.32464	0
Healthy	2.05337	0		75.97442	2.05337	0	0.6011	2.69249	0	0	0	0.00721	0
Healthy	17.42598	0.00715		43.89442	17.42598	8.08516	2.12948	0.15028	0.00715	0.08093	1.00781	0.08954	0.13647
Healthy	0.82468	0		54.50736	0.82468	0.02207	1.06216	9.30256	0	0.35675	0.69144	0.17895	0
Healthy	13.15289	0.05897		36.60204	13.15289	2.3021	0.01462	0.27195	0.05897	0	0.41073	0.14804	0
Healthy	29.97117	2.07917		2.1963	29.97117	0	0	0	2.07917	3.05681	3.68311	0	0.26971
Healthy	1.15799	0		88.99303	1.15799	0	0.42965	3.36743	0	0.02708	0.14868	0	0
Healthy	16.08956	0		55.54238	16.08956	1.87214	0.04188	1.41269	0	0.43867	0.23323	0	0.26029
Healthy	2.66517	0		70.48564	2.66517	0	0.07776	0	0	0.01705	0.51129	0	0
Healthy	3.20391	0		58.09122	3.20391	0	0.06544	0	0	0.01215	0.7355	0	0
Healthy	22.52399	0		40.21055	22.52399	1.19003	0.07492	5.37671	0	0.0136	0.03641	0	0
Healthy	23.50672	0		64.56848	23.50672	0	0	0	0	0.05412	0.07736	0.55153	0
Healthy	5.27636	0		69.88918	5.27636	0.23312	0	4.62199	0	0	0.03571	0	0
Healthy	0.74218	0		41.95701	0.74218	2.71886	0.04178	0	0	0	0.14686	1.61864	0
Healthy	4.66382	0		1.9337	4.66382	5.45435	78.76377	0	0	0.01017	1.47704	0	0
Healthy	20.07617	0		63.27551	20.07617	0.74589	1.87079	0.008	0	0.14607	0.01042	0	0.25312
Healthy	20.8232	0		50.98894	20.8232	0.01296	3.09305	7.88732	0	0	0	0	0.16683
Healthy	18.86342	0		18.80818	18.86342	2.57185	0	0	0	11.3576	3.88243	0	0
Healthy	8.09311	0		7.42578	8.09311	4.99535	0	1.99584	0	0.57473	0.21735	0	0.01342
Healthy	18.30054	0		68.09654	18.30054	0	0	0	0	0	0.10638	0	0
Healthy	9.47397	0.57278		43.75014	9.47397	0	0.06709	0	0.57278	0	0	0.04203	0
Healthy	11.74589	0.1514		17.56695	11.74589	0.3126	0.8398	0	0.1514	0.6621	0.07817	0.03232	0.39724
Healthy	0.2867	0		67.09431	0.2867	0.32681	1.00992	0.03571	0	0.29282	0.97538	0.40307	0
Healthy	1.01616	0		31.28267	1.01616	1.20433	0.1118	0.61502	0	0.56328	1.24073	0.80581	0
Healthy	25.34291	0		20.36905	25.34291	5.29141	0	4.75712	0	0.59698	0.08385	0	0
Healthy	9.43879	0.0264		67.23166	9.43879	1.37642	0	0.01308	0.0264	0	0.38018	0.09289	0
Healthy	6.33331	0.50179		42.56931	6.33331	3.22177	1.08785	0.49436	0.50179	1.26624	0.22602	0.29804	0.0182
Healthy	0.00094	0		0.05164	0.00094	0.02275	86.41751	0	0	0	0	0	0
Healthy	21.55607	0		61.38019	21.55607	0	0.11696	0	0	0.0673	0.17798	0.16147	0
D050177	58.75221	0		26.72836	58.75221	0.02283	0	0.03574	0	1.14323	0.04773	0.09542	0
Healthy	0	0		0.01931	0	90.75306	3.9748	0.04244	0	0.02798	0.00219	0	0.02357
D050177	59.80062	0		30.76513	59.80062	0	0	0	0	0	0	0	0
Healthy	1.72277	0		92.92764	1.72277	0.11834	0.09795	0	0	0	0	0	0
Healthy	1.17854	0		43.38378	1.17854	0	0	0	0	0	0.11605	0.03182	0
Healthy	4.22058	0		56.61767	4.22058	0.43511	0	15.1182	0	0	0.571	0.01125	0
Healthy	12.86174	0		52.15726	12.86174	1.32525	0.08321	0	0	0.10518	0.14804	0.20998	0
Healthy	26.41081	0		61.05334	26.41081	0.01689	0	3.44835	0	0	0.01375	0	0
Healthy	5.7435	0.0539		70.56182	5.7435	4.34504	0.15123	2.88164	0.0539	0	0.00226	0.07482	0
Healthy	1.35877	0		83.56988	1.35877	0.06193	0	0	0	0.00711	0.13383	0	0
Healthy	26.62906	0		37.34462	26.62906	0.0216	2.8125	0	0	0.02471	0.29421	0.05661	0.00354
Healthy	46.55662	0		20.76636	46.55662	0	0	0	0	11.24847	0	0	0
Healthy	25.0635	0		49.42088	25.0635	0.33771	0.08119	0.25302	0	1.00134	0.26964	0.01742	0
Healthy	56.88681	3.78245		7.28498	56.88681	1.2613	0	0	3.78245	1.13999	0.17433	0.01529	0
Healthy	12.1476	0		3.61561	12.1476	21.2371	0	0	0	0	0	0	0
Healthy	2.9794	0		65.94451	2.9794	0.14666	0	0	0	0.03085	0.24373	0.31288	0
Healthy	4.23484	0.09708		77.56292	4.23484	0	0	0	0.09708	0.30044	0.63218	1.50048	0
Healthy	13.98492	0		22.77193	13.98492	35.90039	3.85851	1.49325	0	0.86835	0.4326	0	1.16392
Healthy	22.45504	0		10.42839	22.45504	0.042	0.00058	0	0	2.20829	2.46417	0.00355	0
Healthy	25.21853	1.82276		44.35637	25.21853	0.25052	1.02549	0.05609	1.82276	0.12104	0.18648	0.01117	0.28618
Healthy	29.12875	0		50.42891	29.12875	0	0.19515	0	0	0	0.33473	0	0.05986
Healthy	20.95243	0		57.9843	20.95243	0	0.81232	0	0	1.80524	0	0	0
Healthy	38.42361	3.06148		19.00735	38.42361	0.26781	0.0911	0	3.06148	0.05851	3.76394	0	0
Healthy	35.15934	0		0	35.15934	0	4.14218	6.5513	0	0.07394	0.03904	0	0.01366
