p	Bacteroidota	Firmicutes_A	Actinobacteriota	Firmicutes	Desulfobacterota	Firmicutes_C	Methanobacteriota
Healthy	1.12037516310008	0.834881459911079	0.162250669289265	-0.738784727731408	-0.154722075245364	0.418049261100667	-5
Healthy	1.85877539268605	1.14248551342664	-5	-5	-5	0.579395987303872	-5
Healthy	1.76248500077786	0.905775918547835	-5	-5	-5	-5	-5
Healthy	0.753566207633706	0.506005509528048	0.256147450368233	-5	-5	0.279527783292017	-5
Healthy	1.67342301960269	1.42200957240051	-0.0907114758377493	-0.157278457372331	-5	0.647289058452041	-5
Healthy	1.84256505913163	0.869094954125148	-0.419576861588155	-0.493494967595128	-5	0.792386786145778	-5
Healthy	1.49356483387704	1.19020951815055	0.0263085008540707	-0.983091956027925	-1.35076252765039	-5	-5
Healthy	1.71315322488589	1.46509466393064	0.325930056738713	-1.13288622016802	-3.2839966563652	-2.22694530663574	-5
Healthy	1.76828215948572	1.45921979121162	-1.91470942176993	-1.71579493229821	-0.744076541267099	-0.517312174147043	-5
Healthy	1.40912732608835	1.52809127080218	1.3700183746773	-1.07083661679494	-5	0.469780792850616	-5
Healthy	1.751024304759	1.34464707672557	-0.00654613353633836	-0.119826892692204	-1.83564714421556	-1.90692869362394	-0.593527949534324
Healthy	1.3636531513135	1.4756432996228	1.07310257186231	1.1269644402306	-5	-5	-5
Healthy	1.83153801034881	1.01454111895657	-0.434990895787404	-1.79425445905734	-1.14697138528701	-0.342255943752624	-5
Healthy	-0.56125202309777	1.81661503022113	0.975725834319607	0.122641769625536	-5	-5	-5
Healthy	1.93835333049894	0.865013906964962	-0.639539128949822	-0.755747626027527	-1.01269132626882	-5	-5
Healthy	1.80841638682843	0.621185632512497	1.21581436433129	-0.160232938160214	-5	0.989411548229137	-5
Healthy	1.13997348798446	1.77431582986575	0.115287582718438	0.439799901220617	-5	0.199894984410582	0.218461978766149
Healthy	1.54122030352031	0.965797447276839	-0.64160824135098	-0.325074592106928	-0.210553262965207	-5	0.90543588720795
Healthy	1.65610510465173	1.53574792951024	0.514227558292393	-0.129479049987236	-5	0.193238724856175	-5
Healthy	1.43020829188859	1.42429183666506	0.473854687320379	0.457819850233151	-5	0.355229239344489	-5
Healthy	1.54534163593735	1.67799618346722	0.461473014609391	-0.914780798955058	-5	0.528402437953617	-5
D037841	1.46365801838348	1.67772737062889	0.455642619165029	-0.617658709176038	-1.02613355016462	-0.748994826506365	-5
Healthy	1.68276546649112	1.24294423094552	-5	-1.64474009447262	-0.620730750526353	-5	-5
Healthy	1.31879954964682	1.39068469769986	1.12039984951751	0.723240523942585	-1.34208406317004	0.300401986291505	-0.0989123766000521
Healthy	1.10018575831703	1.74657558857697	0.53865038202935	0.357746230812359	-5	0.685564402798436	-5
Healthy	1.46493613135373	0.980759885403075	-5	-0.686533527341765	-0.142926951366022	0.0206802558933171	-0.265824467335679
Healthy	1.53452703352098	1.51828844302872	1.00064358161876	-0.304833651694131	-5	-0.00398770325701485	-5
Healthy	1.82816042852175	1.2530225910835	-5	-5	-5	0.518154511204127	-5
Healthy	1.66400962634643	1.49457893733627	-0.863279432843593	-1.68423950933427	-0.606021397348228	-0.673787070000569	-5
Healthy	1.32580085766442	1.23249066332249	-0.460986665060487	-0.343039817257151	-5	0.498321583350671	-5
Healthy	1.5976974889962	1.45331895172898	-0.153199145720522	0.213326465927919	-1.10941133229451	0.437461993994192	-0.194444773478747
Healthy	1.23406807784543	1.6692777272002	1.40218999749517	-0.74816718137136	-5	-0.515017218069439	-5
Healthy	1.54045311221858	1.41584323663477	0.58524070644868	-2.57348873863542	-1.12644690648638	-5	-0.743787541434838
D037841	1.7421611248179	1.2779464350508	0.892279416909721	-0.0672624916731021	-0.691563652832347	-5	-5
Healthy	1.75494401147996	1.14208867249843	0.808918910248124	-1.43004118190341	-0.986109939671561	-5	-1.09044397075882
Healthy	1.73383868006618	1.34703771974518	0.221041079911257	-0.885355661097721	-1.09642170633695	-0.292634245878962	-5
Healthy	1.39257878095216	1.31590278328254	1.49047300321867	-0.529736553034922	-1.81958736716168	0.864685475789771	-5
Healthy	1.80276490252706	1.15252805770336	-0.149347639409046	-1.75300930075845	-0.812310106474816	-0.378107411682646	-0.726790316599669
Healthy	1.71674927159693	1.41352674519155	-0.461866312749331	-0.235375602149019	-1.03123695180275	0.310272618148416	-1.15187248943213
Healthy	1.60700891850696	1.49291480841852	-0.0724294764176733	0.0460149508590078	-5	-1.30980391997149	-5
Healthy	1.68234249553608	1.24379901006385	0.832641096937677	-0.0923522065996969	-2.91721462968355	1.01190185253402	-5
Healthy	1.74789136461658	1.36879806566854	0.86538413158512	-1.03607057797344	-1.23121395309199	-3.09691001300806	-0.276363751548955
Healthy	1.8861083213193	0.821560034071882	-0.0965030526641406	-0.787785752580059	-1.10325338439259	0.811446306956656	-5
Healthy	0.99071082098826	-0.476006549684386	1.7307742839286	0.544609953795997	-0.879919865870547	0.507533402997219	-5
Healthy	1.67301168634137	1.40206921838821	-0.00137890022102005	0.0811419957201863	-1.05276239212933	-5	0.459439232218998
Healthy	1.94992288585992	0.409082289950506	-0.81121208736253	-0.612450012609767	-2.59859945921846	0.52617250731388	-5
D037841	1.74466357941772	1.10353827566366	0.0859217555319225	0.581752879195382	-0.871439193440679	-5	-5
Healthy	1.72528954175842	1.55513678720214	-1.78727984558216	-0.844208647642382	-1.43168091490489	-5	-5
Healthy	1.4858262973554	0.995212978021115	-5	-0.564028293600659	-0.183427303973897	0.00220927298801476	-0.262688062010375
Healthy	1.64796730935212	0.767879087701276	-0.991357252434715	-5	-1.24123945609002	-5	-5
Healthy	1.59439929128072	1.40436788267485	-0.783464642581642	-5	-1.57528166266843	-0.219819551797359	1.19431477032722
Healthy	1.61538794443253	1.2300635056576	-5	-0.845697780315335	-5	-5	-0.48537256758866
Healthy	1.93830958188606	0.883333177521008	-0.65380355627079	-0.989530430203608	-1.0073581301216	-5	-5
Healthy	1.09571109663366	1.83420763729357	-5	-0.938698343793955	-5	0.710003908849681	0.506717392419689
Healthy	1.88332170105324	0.835315711892788	-0.0908452901915744	-0.849304948857286	-0.998699066979582	0.815167165939307	-5
Healthy	0.990601217280949	1.39121518967295	1.40463413468082	1.2620379575553	-5	0.379401614039029	0.0200254863257827
Healthy	1.62516320091162	1.28459404298254	0.832149832685325	0.335205073740825	-1.43937612545007	0.336809830185024	-5
Healthy	1.83470604885608	0.865290568604777	-0.411392195257313	-0.617982957425132	-5	0.802783300182877	-5
Healthy	1.87756621627172	0.73434690347996	-0.09233609087964	-1.01295971302073	-0.69216179584344	-5	-5
Healthy	1.52954173713065	1.07126582915093	-5	-0.654998961821958	-5	1.0643010907268	-0.21511893041391
Healthy	1.72075193832482	1.38189538704128	-0.674217602484195	-1.85047298624565	-1.03428102975578	-0.647335200348899	-1.70289634985074
Healthy	1.75082293228829	1.14788152240164	0.714474779825987	-0.498803757972911	-5	-1.708409174342	-5
Healthy	1.30595723893257	1.60449356953884	1.00132301522928	-0.201985035648513	-1.17947015147648	0.610621841297843	-5
D037841	1.73327584843973	1.46626853313664	-0.0315310611714457	-0.113650302424764	-1.74666199467389	-0.851304820714935	-5
Healthy	1.54381968098756	1.52805960109978	0.265280194825055	0.376981866455769	-0.548014111051091	0.352346553933043	-5
Healthy	1.73847446323237	1.33111923301633	0.48119029174785	-5	-5	-5	-0.265648292705235
D037841	1.81319662468796	1.16257754866062	-0.177008588535795	-1.59380057633669	-5	-2.12609840213554	-5
Healthy	1.82034604693572	1.24428503948943	-0.29654525468797	-0.703290943824397	-1.70929775671215	0.679156150418852	-5
Healthy	1.81557104127818	0.998936849760302	-5	-5	-5	-5	-5
Healthy	1.88378086390612	0.934940600473388	-0.493008181276385	-1.19348086591929	-1.35872424276809	-5	-5
Healthy	1.72431978848234	1.20670501205503	-0.435191955313397	-5	-0.488584592791225	-5	-5
Healthy	1.88066745045934	0.924075016220443	-5	-2.53461714855158	-2.14146280243036	0.430155711970019	-5
