s	Agathobacter_rectalis	Bifidobacterium_adolescentis	Collinsella_sp003487125	Enterocloster_aldenensis	Anaerobutyricum_hallii_A	Bariatricus_comes	Holdemanella_biformis	Blautia_A_wexlerae	Dorea_formicigenerans	Coprococcus_A_catus	Bacteroides_uniformis	Bacteroides_ovatus	Bacteroides_caccae	Alistipes_shahii	Odoribacter_splanchnicus	Alistipes_onderdonkii	Enterocloster_sp900540675	Parasutterella_excrementihominis	Clostridium_Q_symbiosum	Bilophila_wadsworthia
Healthy	0.87035005410714	-5	0.357871984039196	0.19739359784971	0.0046437500057119	0.0460032316992487	-5	-0.148075428764255	-0.479319998365605	-0.329067984312	-0.0382752433021856	-1.66354026615147	0.203989674764193	0.0763600457525881	0.104521252618329	-2.14996674231023	-5	-1.6076548446388	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	1.06933170287848	-0.726790316599669	-5	0.101382718498418	-5	-5	0.0100369252660457	-1.22892721677881	-1.45531197769732	-1.70092873997259
Healthy	0.476854805718046	0.649666782103621	-0.4678318683063	0.115004406202011	0.243737319961186	0.00358545997268139	0.563071516383439	-0.355138155107936	-0.381962368341267	-0.347202677130181	0.319114391018478	-1.03081714076774	0.194511566828989	-0.50956391880679	-0.0631445861152637	-0.567656158719274	-1.3465945093355	-5	-1.08799062441302	-2.88272870434424
Healthy	1.26135828411149	0.387334646075405	-0.146356534676225	-0.220230402588856	0.123871232757435	-1.41487781369318	0.301743823124463	-0.14971531688602	-0.716811883546576	-0.537706844457469	0.602371485883415	0.321695757854668	0.171237780317517	-0.970697406441002	-5	-1.79506647764585	-5	-0.914495360573502	-5	-5
Healthy	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.72381100774591	-5	0.223215492965579	0.227194880408394	-5	0.0423195064353285	0.194378343404832	-1.30874164186689	-5	-1.70863114954842
D009765	0.114440835555893	1.14989651468909	0.641202343554335	0.550564648119657	-0.7667499904589	0.479278673713915	-0.0731381515010517	-0.121036092637843	-0.226257425364003	0.0508628962399795	-0.211068394307503	-5	-0.499393077934013	-0.155709256745657	-5	-1.2444300193712	-5	-5	-5	-5
Healthy	0.909923847088552	0.981454353558702	-0.856080061614163	-0.813382648146363	-0.197650517409488	-5	-0.334456530644509	-0.468840534595468	-5	-1.03640103740276	0.999124013766143	-1.47495519296315	0.151247237462371	0.258055120057764	-0.0417659044388201	-0.389222763492814	-5	-1.5480601306349	-5	-5
Healthy	0.206005066560805	-5	-5	-0.676562255410414	-0.966415424484587	-0.787200019374433	-5	-1.80437705641306	-1.01560772147573	-2.0762380391713	0.480825865259064	-1.7854210464295	0.152169049938392	-1.3269790928711	-5	-1.93479387194569	-5	-0.492656952400061	-5	-5
Healthy	0.762896781251172	-5	-1.10712659311123	-0.979472987725437	-1.18488734181019	-1.30680085484628	-5	-1.03919637508823	-2.73754891026957	-1.07078549626261	0.882918809883329	-0.946191940079342	0.42587154800906	-0.891198275877974	-0.400433488998382	-0.787839040246617	-5	-1.82159865846624	-5	-0.606021397348228
Healthy	-5	-5	-5	0.44965115694289	0.569455844240683	0.378949957967424	-5	-0.155361314139467	-5	-5	0.659996969431711	-1.43344466911694	-1.2405588028663	-5	-5	-5	-1.22555603107503	-5	-5	-5
D009765	0.722729325235984	-5	-5	0.281880665007415	0.303271674254372	0.140869281078057	1.34609290679359	0.0744434013785053	-0.230844309285601	-5	0.688016488458673	0.03119429417242	0.738242111780643	-5	-5	-5	-5	-5	-5	-5
Healthy	0.422069228044146	-0.463706760016567	-1.03226486821612	-0.171881698244925	-0.763286436634363	-0.0940908401943976	0.16229251401784	-0.669423903912271	-0.750165958403208	-1.14684956355216	-0.0687150678652719	-1.67386904328921	-0.0967471831060416	-0.537781747353759	0.0623713661435777	-2.4907974776689	-5	-0.743691250878066	-5	-1.81360878430451
