group	Bacteroidaceae	Enterobacteriaceae	Streptococcaceae	Lactobacillaceae	Veillonellaceae	Erysipelatoclostridiaceae	Micrococcaceae		Enterobacteriaceae	Burkholderiaceae	Streptococcaceae	Acidaminococcaceae	Erysipelotrichaceae	Erysipelatoclostridiaceae	Veillonellaceae	Pasteurellaceae	Lactobacillaceae	Peptostreptococcaceae
Healthy	55.7372	0.07286	0	0	0.23551	0	0		0.07286	0.29286	0	0	0.163	0	0.23551	0.023	0	0
Healthy	9.03133	16.2661	1.2222	0	3.20071	0	0.33442		16.2661	10.9103	1.2222	0.01689	0	0	3.20071	0.19266	0	0
Healthy	26.41612	0	0.18972	0	0	0.22036	0		0	0	0.18972	0	0.79534	0.22036	0	0	0	0
Healthy	85.81859	0.37736	0.23259	0	0.03427	0	0		0.37736	0.0857	0.23259	0	0.01149	0	0.03427	0	0	0
Healthy	36.05486	0	0.14253	0	0	0	0		0	1.28454	0.14253	0	0.00061	0	0	0	0	0
Healthy	18.8565	6.37382	0.21411	0	0	0	0		6.37382	0.03316	0.21411	1.00509	0.05876	0	0	0	0	0
Healthy	24.95525	0	0	0	0	0	0		0	0.1002	0	0	0	0	0	0	0	0
Healthy	31.29799	0	0	0	0	0	0		0	0	0	0.01163	0	0	0	0	0	0
Healthy	31.97894	16.4109	0	0	0	0	0		16.4109	0.04035	0	0	0.14265	0	0	0	0	0.35363
Healthy	73.8556	1.67377	0.06243	0	0	0	0		1.67377	0.08025	0.06243	0	0.04	0	0	0	0	0
Healthy	11.09524	0	0.11515	0	0.875	0	0		0	0	0.11515	0	0	0	0.875	0	0	0
Healthy	55.62337	0.02833	0	0	0.22337	0	0		0.02833	0.29889	0	0	0.14147	0	0.22337	0.01062	0	0
Healthy	7.9325	1.75061	15.69812	0	0	2.57172	0		1.75061	0	15.69812	0	0	2.57172	0	0	0	0
Healthy	35.33617	6.48387	0.33687	0.13116	0.00473	0	0.00149		6.48387	8.98905	0.33687	2.16701	1.6957	0	0.00473	0.03449	0.13116	0.04743
Healthy	55.27272	0	0	0	0	0	0		0	0.12857	0	0	0.24099	0	0	0	0	0
Healthy	48.31908	0	0	0	0	0	0		0	5.95389	0	0	0.09705	0	0	0.01729	0	0
Healthy	21.6074	12.8542	0	0	0	0	0		12.8542	0.37574	0	0	0.2213	0	0	0	0	0
Healthy	23.01477	0.00825	0.0109	0	0	0	0		0.00825	1.42197	0.0109	0	0.0032	0	0	0	0	0
Healthy	50.28392	0.00409	0.25644	0	0.01956	0.00715	0.02165		0.00409	0.0035	0.25644	0	0.03527	0.00715	0.01956	2.29054	0	0.09932
Healthy	12.62376	0.02165	0.54071	0	0.01217	0.06233	0		0.02165	0.00678	0.54071	0	0.02503	0.06233	0.01217	0.19393	0	0.0908
Healthy	21.2982	0	2.28461	0.003	0	0	0		0	0.0093	2.28461	2.25084	0.08713	0	0	0	0.003	0
Healthy	23.61452	0	0	0	0	0	0		0	1.16431	0	0	0	0	0	0	0	0.12217
Healthy	53.80599	0	0.19801	0	0.29998	0	0		0	1.07698	0.19801	0	0	0	0.29998	2.77557	0	0
Healthy	52.2867	0	0	0	0	0	0		0	0.10417	0	0	0	0	0	0.12423	0	0
Healthy	75.92255	1.37665	0.06404	0	0	0	0		1.37665	0	0.06404	0	0	0	0	0	0	0.0709
Healthy	12.59197	0.04487	0	0	0	0	0		0.04487	0.39005	0	0	0	0	0	0	0	0
Healthy	36.92951	0.36631	0.00291	0	0.20284	0	0		0.36631	0.013	0.00291	0	0	0	0.20284	0.23479	0	0
