group	Bacteroidaceae	Enterobacteriaceae	Streptococcaceae	Lactobacillaceae	Veillonellaceae	Erysipelatoclostridiaceae	Micrococcaceae		Enterobacteriaceae	Burkholderiaceae	Streptococcaceae	Acidaminococcaceae	Erysipelotrichaceae	Erysipelatoclostridiaceae	Veillonellaceae	Pasteurellaceae	Lactobacillaceae	Peptostreptococcaceae
Healthy	19.22216	5.96187	0.00371	0	0	0	0		5.96187	0.11315	0.00371	0	0.01084	0	0	0	0	0
Healthy	17.94314	13.16383	0.12256	0.01837	0	0	0.00084		13.16383	0.00206	0.12256	2.55659	1.27661	0	0	0.01086	0.01837	1.1828
Healthy	24.47287	0	0.16711	0	0	0	0		0	0	0.16711	1.0336	1.77936	0	0	0	0	0
Healthy	14.9615	0	0	0	0	0	0		0	2.00692	0	0	1.16405	0	0	0	0	0
Healthy	60.21116	0.11192	0	0.03245	0	0	0		0.11192	0.62357	0	0	0.0236	0	0	0	0.03245	0
Healthy	46.03059	0	0.00541	0	0.01319	0	0.00512		0	0.03262	0.00541	0	0	0	0.01319	0	0	0
Healthy	14.72384	0	3.03464	0	0	0	0		0	0	3.03464	0	0	0	0	0	0	0
Healthy	65.74523	1.15375	0	0	0.82718	0	0		1.15375	0	0	0	0	0	0.82718	0	0	0
Healthy	85.13786	0.42786	0.24503	0	0.0374	0	0		0.42786	0.09614	0.24503	0	0.02447	0	0.0374	0	0	0
Healthy	38.52546	0.09638	1.11136	0.02662	0.02371	0.43821	0.04931		0.09638	0.42103	1.11136	0	0.59055	0.43821	0.02371	1.60605	0.02662	5.9266
Healthy	15.62342	0.38936	0.09968	0	0	0	0		0.38936	0.04306	0.09968	0.09824	0.55308	0	0	0	0	0
Healthy	20.79256	0.80866	0	0	0	0	0.05242		0.80866	1.84863	0	0	0	0	0	0	0	0
Healthy	18.9049	0	0.01117	0.17014	0.09642	0	0		0	1.47353	0.01117	0	0	0	0.09642	0	0.17014	0.00231
Healthy	59.8763	0	0.04032	0	0	0	0		0	5.88561	0.04032	0	0	0	0	0.04569	0	0
Healthy	45.56877	3.07745	0.08284	0	0	0.02398	0		3.07745	0.10274	0.08284	0	0	0.02398	0	0	0	0
Healthy	8.68325	0.14072	0.38788	0.53853	0.05711	1.08085	0		0.14072	0	0.38788	0.66471	0.82741	1.08085	0.05711	0.15453	0.53853	0.4346
Healthy	36.03327	2.07969	0	0	0	0	0		2.07969	0.37989	0	0	0	0	0	0	0	0
Healthy	12.29634	2.75306	0.17533	1.22869	0	0	0		2.75306	0	0.17533	0	0	0	0	0	1.22869	0
Healthy	20.75551	0	0	0	0	0	0		0	0.07436	0	0	0	0	0	0.09449	0	0.77823
Healthy	19.68008	0	0	0	0	0	0		0	1.16749	0	0	0.07539	0	0	0	0	0
Healthy	11.93753	1.399	0	0	0	0	0		1.399	0	0	0	0	0	0	0	0	0
Healthy	57.41781	0.24188	0	0	0.00896	0.00789	0		0.24188	0.01735	0	1.24016	0.16394	0.00789	0.00896	0.00616	0	0
Healthy	18.9129	1.8246	0.03603	0	0.00432	0.09266	0		1.8246	0.0221	0.03603	0	0.0096	0.09266	0.00432	0.24961	0	0.0007
Healthy	59.55542	0.05196	0	0	0	0	0		0.05196	0.08897	0	0.16495	0	0	0	0.0451	0	0
Healthy	29.25989	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	17.55206	0	0.43477	0	0.2024	0	0		0	0.00845	0.43477	0	0.00516	0	0.2024	0	0	0
Healthy	0.44312	2.30231	0.81432	0.25023	0	0	0		2.30231	0	0.81432	0	0.00038	0	0	0	0.25023	0.02016
Healthy	25.91495	0	0	0	0.00261	0	0		0	0.0026	0	0	0.42747	0	0.00261	0.85456	0	0.42088
Healthy	30.08043	0	0	0	0	0	0		0	0	0	0	0.52152	0	0	0	0	0
Healthy	15.70664	0	0	0	0	0.08954	0		0	0.06878	0	0.22735	0.59808	0.08954	0	0	0	0.05872
Healthy	0.21928	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	15.76668	0.5421	0.08386	0	0	0	0		0.5421	0.02185	0.08386	0.06436	0.55441	0	0	0	0	0
Healthy	30.57538	0.03561	0	0	0	0	0		0.03561	5.21258	0	0	0	0	0	0	0	0
Healthy	8.83754	19.4089	0.22417	0	0	0	0		19.4089	0	0.22417	1.68488	1.93521	0	0	0	0	0
Healthy	43.57307	0	0.01233	0.08878	0	0.21513	0		0	0	0.01233	5.18	0.30386	0.21513	0	0	0.08878	0
Healthy	55.76659	0	0	0	0	0	0		0	0.15717	0	0	0.28005	0	0	0	0	0
Healthy	80.88058	0.58474	0.57378	0.07671	0.08164	0.17638	0		0.58474	0	0.57378	0	0	0.17638	0.08164	0.05764	0.07671	0.10377
Healthy	69.74923	0.3673	0.2874	0	0.01053	0	0		0.3673	0.53882	0.2874	0.00354	0.06866	0	0.01053	0.02853	0	0.07969
Healthy	20.2027	0	0	0	0	0	0		0	0.25355	0	0	0	0	0	0	0	0
Healthy	23.30888	0.03	0.26246	0	0	0	0		0.03	0.23757	0.26246	3.13391	6.09462	0	0	0	0	0
Healthy	48.95995	0	0.08932	0	0	0.13086	0		0	3.24403	0.08932	0	0.05215	0.13086	0	0	0	0
Healthy	41.04866	0	0.03414	0	0	0	0		0	0.19732	0.03414	0	0	0	0	0.47582	0	0
Healthy	92.47901	4.53415	0	0	0	0	0		4.53415	0	0	0	0	0	0	0	0	0
Healthy	50.04103	0	0	0	0	0	0		0	4.74194	0	0	0	0	0	0	0	0
Healthy	53.89702	0	0.20951	0	0.25366	0	0		0	1.10957	0.20951	0	0	0	0.25366	2.7571	0	0
Healthy	17.18971	0.12373	0	0	0	0	0		0.12373	1.04682	0	10.5536	0	0	0	0	0	0
Healthy	8.13754	0	0.15438	0.27204	0	0	0		0	0.12538	0.15438	0.21907	0	0	0	0	0.27204	0
Healthy	76.4727	1.53536	0.06726	0	0	0	0		1.53536	0.11023	0.06726	0	0.03171	0	0	0	0	0
Healthy	34.35816	0.20751	0.27211	0	0	0	0		0.20751	0.00381	0.27211	0	0.00479	0	0	0	0	0
Healthy	11.28898	1.17903	1.68773	0.05158	0.04534	0	0.06543		1.17903	0.02597	1.68773	1.09308	0.00183	0	0.04534	0.83245	0.05158	0.41982
Healthy	26.4724	0	0.00069	0	0	0	0		0	0.03603	0.00069	0	0.30169	0	0	0	0	0.00031
Healthy	46.5794	0.23199	0	0	0	0	0		0.23199	0.03172	0	0	0	0	0	0.22578	0	0
Healthy	34.09888	5.44491	0	0	0	0	0		5.44491	1.42702	0	0	0	0	0	0	0	0
Healthy	24.78537	0	0.55472	0	0.70646	0	0		0	0.03924	0.55472	0	0.52873	0	0.70646	1.8414	0	0.38722
Healthy	67.44375	1.20195	0	0	0.83577	0	0		1.20195	0	0	0	0	0	0.83577	0	0	0
Healthy	55.8719	0.04182	0	0	0.13291	0	0		0.04182	0	0	0	0	0	0.13291	0.80607	0	0.34577
Healthy	45.96753	0.22271	0.00177	0	0	0	0		0.22271	0.23241	0.00177	0	0	0	0	0	0	0
Healthy	33.20945	0.05389	0.20327	0	0	0	0.00502		0.05389	0.00574	0.20327	0	0.00951	0	0	0	0	0
Healthy	22.93571	0	0	0	0.16394	0	0		0	0.0336	0	0	0.42068	0	0.16394	0.846	0	0.35653
Healthy	15.63581	1.2167	2.37151	0	0	0	0.03095		1.2167	0	2.37151	0	0	0	0	0	0	0
Healthy	12.90064	0	0	0	0	0	0		0	0.22402	0	0	0	0	0	0	0	0
Healthy	59.80829	0	0.21223	0	0.57178	0	0		0	0.01662	0.21223	0	0.2238	0	0.57178	2.14854	0	0.24409
Healthy	40.69162	0	0.01202	0	0	0	0		0	0.02925	0.01202	0	0	0	0	0.04879	0	0
Healthy	29.84366	3.60249	0	0	0	0	0		3.60249	0.31371	0	0	0	0	0	0	0	0
Healthy	59.04823	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
D014376	61.68467	3.32888	0.14934	0.00108	0.08106	0	0		3.32888	0.02995	0.14934	0.13937	0.09238	0	0.08106	0.02695	0.00108	0
Healthy	7.30625	0	0	0	0	0	0		0	0.01271	0	0	2.52225	0	0	0	0	0.05978
Healthy	23.27902	0.0051	0.01747	0	0	0	0		0.0051	0.06781	0.01747	0	0.11142	0	0	0	0	0
Healthy	50.52064	0	0.02346	0	0.08151	0	0		0	11.6155	0.02346	0	0	0	0.08151	0	0	0
Healthy	65.82313	0.14588	1.41947	0.81426	0.22984	0.06844	0		0.14588	0.69891	1.41947	0	0.01407	0.06844	0.22984	0.58449	0.81426	0.21753
Healthy	46.01868	0	0	0	0	0	0		0	2.52426	0	0	0	0	0	0	0	0
Healthy	15.64829	1.36303	0.32283	0	0.00087	0	0.09103		1.36303	1.37103	0.32283	0	0	0	0.00087	0.50292	0	0.19056
Healthy	48.82208	0	0.06128	0	0.22855	0	0		0	0.00657	0.06128	0	0	0	0.22855	0	0	0.22324
Healthy	54.84655	0	0	0	0	0	0		0	5.64129	0	0	0.05228	0	0	0.027	0	0
Healthy	56.29311	0.04607	0	0	0.19692	0	0		0.04607	0.18971	0	0	0.1265	0	0.19692	0.03235	0	0
Healthy	8.99093	10.6542	0.01202	0	0	0.00363	0		10.6542	0.23267	0.01202	0	0.16035	0.00363	0	0	0	0
Healthy	11.93338	3.53088	0.11246	0.81725	3.93941	0.13253	0.00076		3.53088	0	0.11246	0	0.04519	0.13253	3.93941	0.0213	0.81725	0.01881
Healthy	41.5846	0	0	0	0	0	0		0	0.00587	0	0	0	0	0	0.04316	0	0
Healthy	33.62024	0	0	0	0	0	0		0	0	0	0	1.18947	0	0	0	0	0
Healthy	18.24724	1.00904	0.0203	0	0	0	0		1.00904	0	0.0203	0	0.06983	0	0	0	0	0.03699
Healthy	5.84934	0	0.06189	2.11979	0	0	0		0	0	0.06189	0	0.15696	0	0	0	2.11979	0.13719
Healthy	59.19358	4.25211	0.06887	0.00055	0	0	0.0148		4.25211	0	0.06887	0	0	0	0	0.04112	0.00055	0
Healthy	35.17321	0	0.67212	0	0.41934	0	0		0	0.03579	0.67212	0	0	0	0.41934	5.59311	0	0
Healthy	6.47971	0.006	0.01783	0.00892	0.02858	0.0824	0		0.006	0.08368	0.01783	0	0.09256	0.0824	0.02858	0.04074	0.00892	0.03757
Healthy	11.8947	1.2327	1.60299	0.0431	0.01114	0	0.07367		1.2327	0.01483	1.60299	1.1635	0	0	0.01114	0.83487	0.0431	0.45812
Healthy	10.11264	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	55.97027	0	0.10091	0	0.32115	0	0		0	0	0.10091	0	0	0	0.32115	0	0	0.66563
Healthy	28.26705	0	0.31322	0	0	0	0		0	0.26719	0.31322	0	0	0	0	0	0	0
Healthy	34.89174	0	0.0782	0	0	0	0		0	5.03773	0.0782	0	0.02457	0	0	0.13135	0	0
Healthy	23.8708	0	0.01606	0	0	0	0		0	0.12874	0.01606	0	0	0	0	0	0	0
Healthy	31.83094	0.25682	0.05262	0	0	0	0		0.25682	0.04164	0.05262	0	0	0	0	0	0	0
Healthy	54.07795	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	23.28874	0	0.27659	0	0	0	0		0	0.03047	0.27659	0	0	0	0	0	0	0
Healthy	40.36867	0	0.4411	0	0.11644	0	0		0	2.30368	0.4411	0.26428	0.07281	0	0.11644	0.69592	0	0
Healthy	39.08014	0.03994	0	0	0	0	0		0.03994	0.14103	0	0	0.028	0	0	0	0	0
Healthy	64.74334	1.55509	0.01043	0	0.27641	0.07214	0		1.55509	0.06611	0.01043	0.00033	0.16046	0.07214	0.27641	0.04568	0	0.00249
Healthy	15.54464	0	1.15081	0	0.09281	0	0.00886		0	0.00081	1.15081	0	0.213	0	0.09281	0.23021	0	0.00723
Healthy	51.90519	0.14131	0.02591	0	0	0	0		0.14131	0.06954	0.02591	0	0.02083	0	0	0	0	0
Healthy	46.22622	0.06081	0.00189	0	0	0	0		0.06081	0.21323	0.00189	0	0	0	0	0	0	0
Healthy	43.31286	0	0	0	0	0	0		0	0	0	0	0	0	0	0.33905	0	0
Healthy	39.33635	1.9574	0.02336	0	0	0.71578	0		1.9574	0.02574	0.02336	0	0.3195	0.71578	0	0	0	0.02518
Healthy	66.02304	0.08339	0.14163	0	0.0553	0.11674	0		0.08339	0	0.14163	0	0.88635	0.11674	0.0553	0.29412	0	0.04211
Healthy	39.96737	12.8743	0.17968	0	1.05894	0	0		12.8743	0.17461	0.17968	0	0	0	1.05894	0	0	0
Healthy	61.16748	0	0.01799	0	0	0	0		0	5.87112	0.01799	0	0	0	0	0.1014	0	0
Healthy	29.82025	0.03899	0.11371	0	0	0	0		0.03899	0.38063	0.11371	0	2.07139	0	0	0	0	0.00795
Healthy	61.55379	0	0.01821	0	0	0	0		0	6.01781	0.01821	0	0	0	0	0.10583	0	0
Healthy	1.44531	0	7.7113	0.05369	0.00942	0.37498	0.03629		0	0	7.7113	5.0336	0.88492	0.37498	0.00942	0	0.05369	0
Healthy	39.24998	0.02492	0	0	0	0	0		0.02492	0.13661	0	0	0.03168	0	0	0	0	0
Healthy	74.46039	1.85023	0.07795	0	0	0	0		1.85023	0.07455	0.07795	0	0.02781	0	0	0	0	0
Healthy	8.60161	0	0	0	0	0	0		0	0.50243	0	0	0	0	0	0	0	0
Healthy	8.48384	0	0.31964	0.02567	0.47754	0	0		0	0.46794	0.31964	0	0.04525	0	0.47754	0.0587	0.02567	0.02881
Healthy	19.92818	0	0.12738	0	0	0	0		0	0	0.12738	2.59134	0.23185	0	0	0	0	0
Healthy	10.86163	0	0	0	0.50194	0	0		0	0	0	0	0	0	0.50194	0	0	0
Healthy	52.31217	0.06901	0	0	0	0	0		0.06901	0.14429	0	0	0.02955	0	0	0	0	0
Healthy	9.36598	0	0.12293	0.23038	0	0	0		0	0	0.12293	1.90138	0.46577	0	0	0	0.23038	0
Healthy	38.00848	0.60334	0.05261	0	0	0	0		0.60334	0.02935	0.05261	0.03559	0.31144	0	0	0	0	0
Healthy	0.0051	98.5792	0	0	0	0.01169	0.06844		98.5792	0	0	0	0	0.01169	0	0.20092	0	0
Healthy	45.74196	0	0.02622	0	0	0	0		0	0.00159	0.02622	0	0.002	0	0	0	0	0
Healthy	10.60939	0.08659	0.29646	0	0	0	0		0.08659	0	0.29646	0.00862	0.7685	0	0	0	0	0
Healthy	53.81094	0	0.0626	0	0	0	0		0	0.09483	0.0626	0.92096	0.03311	0	0	0	0	0
Healthy	55.05468	0.06642	0	0	0	0.45071	0		0.06642	0.03685	0	0	0	0.45071	0	0	0	0
Healthy	18.92584	0	0.00226	0	0	0	0		0	1.09687	0.00226	0	0.08966	0	0	0	0	0
Healthy	7.54406	0	1.81947	0	0	0	0.00192		0	0.25217	1.81947	0	0.04769	0	0	0	0	0
Healthy	51.50504	0.10839	0.02218	0	0	0	0		0.10839	0.06927	0.02218	0	0.02631	0	0	0	0	0
Healthy	11.9619	0.05429	0	0	0	0	0		0.05429	0.39124	0	0	0	0	0	0	0	0
Healthy	6.67974	0.03932	0	0	0	0	0		0.03932	0.37716	0	0	0	0	0	0	0	0
Healthy	8.68011	0	0.32345	0	0	0	0		0	0	0.32345	0.2767	0	0	0	0	0	0
D014376	54.01944	9.26442	0.02388	0	0	0.00411	0		9.26442	0.15346	0.02388	0	0.12901	0.00411	0	0	0	0
Healthy	16.25298	18.7087	0.50262	0.23287	0	0.01936	0		18.7087	0.00128	0.50262	0	0.03832	0.01936	0	0	0.23287	0
Healthy	74.62482	0	0	0	0.02216	0	0		0	4.27383	0	0	0	0	0.02216	0.02277	0	0
Healthy	45.65424	0.0278	0.02136	0	0	0	0		0.0278	0.00294	0.02136	0	0	0	0	0	0	0
Healthy	45.91474	0.08366	0.01061	0	0.00659	0	0		0.08366	0.32872	0.01061	0	0	0	0.00659	0	0	0
Healthy	42.27842	0	1.08101	0	0.01704	0.05115	0.0335		0	0	1.08101	0.55058	0.91842	0.05115	0.01704	0.7789	0	0.28653
Healthy	51.38181	0.93792	0	0	0	0	0		0.93792	0.24397	0	0	0.2707	0	0	0	0	0
Healthy	20.89571	0	0.08707	0	0	0	0		0	0.01322	0.08707	2.61111	0.28806	0	0	0	0	0
Healthy	3.20104	0	0.01654	0	0	0	0		0	0	0.01654	0	0	0	0	0	0	0
Healthy	51.86236	0	0	0	0	0	0		0	0.17701	0	0	0.08549	0	0	0	0	0
Healthy	15.5299	0.40305	0.11909	0	0	0	0		0.40305	0.00292	0.11909	0.0337	0.56378	0	0	0	0	0
Healthy	39.15929	0.07667	0	0	0	0	0		0.07667	0.15297	0	0	0.03337	0	0	0	0	0
Healthy	4.47905	0	0	1.35867	0	0	0		0	0	0	0	0	0	0	0	1.35867	0
Healthy	60.1767	0	0	0	0	0.10477	0		0	0	0	0.04113	0.2092	0.10477	0	0	0	0
Healthy	9.40983	0	2.6888	0.76878	0.00045	0	0		0	0.00502	2.6888	0	1.2137	0	0.00045	0.00291	0.76878	0.00452
Healthy	66.55142	0.83258	0	0	0.73243	0	0		0.83258	0	0	0	0	0	0.73243	0	0	0
Healthy	38.41226	0.06156	0	0	0	0.00417	0		0.06156	0.12334	0	0	0.02964	0.00417	0	0	0	0
Healthy	7.77288	1.45409	14.97267	0	0	2.47771	0		1.45409	0	14.97267	0	0	2.47771	0	0	0	0
Healthy	18.861	0.16735	0.00633	0	0	0.03097	0		0.16735	0.01774	0.00633	0	0.00318	0.03097	0	0	0	0
Healthy	14.82641	0	0.22494	0	0.01312	1.91759	0		0	0.05111	0.22494	3.05144	0.002	1.91759	0.01312	0	0	0
Healthy	0	3.9209	0	0.06733	0.07213	1.72663	0		3.9209	0.05886	0	0	0.02529	1.72663	0.07213	3.13259	0.06733	0
Healthy	9.79107	0	0	0	0	0	0		0	0	0	0	6.64053	0	0	0	0	0.36995
Healthy	17.06239	0.16691	0.64308	0	0.07054	0.25879	0		0.16691	0.00934	0.64308	0	0.09623	0.25879	0.07054	0.1722	0	0.02577
Healthy	22.39048	0.00788	0.31843	0.50201	0.01738	0	0		0.00788	0.00468	0.31843	0	0	0	0.01738	0	0.50201	0.00074
Healthy	28.16378	0.05773	0.29673	0	0.12847	0.00146	0		0.05773	0.09601	0.29673	0	0.14734	0.00146	0.12847	0.46616	0	0.28392
Healthy	50.11589	0	0	0	0	0	0		0	0	0	0.9355	0	0	0	0	0	0
Healthy	40.15561	0.56328	0.16647	0.05235	0.06195	0.0089	0		0.56328	4.12994	0.16647	0	0.46374	0.0089	0.06195	0.20244	0.05235	0
Healthy	43.91791	0.62791	0.01575	0.13224	0	0.03148	0		0.62791	0.55197	0.01575	0.09208	0.25499	0.03148	0	0	0.13224	0.08853
Healthy	20.95826	0	2.25574	0.00262	0	0	0		0	0.01054	2.25574	2.27543	0.07085	0	0	0	0.00262	0
Healthy	31.59693	0	0	0	0	0	0		0	3.23814	0	0	0.09727	0	0	0	0	0
Healthy	60.0796	0	0	0	0	0.08573	0		0	0	0	0.11775	0.17713	0.08573	0	0	0	0
Healthy	22.6282	0	0.16003	0	0	0	0		0	0	0.16003	0	0	0	0	0	0	0
Healthy	49.25564	1.22721	0	0	0	0	0		1.22721	0.23542	0	0	0.31186	0	0	0	0	0
Healthy	33.15089	1.57391	0	0	0	0	0		1.57391	1.76629	0	0	0	0	0	0	0	0
Healthy	35.36336	1.95493	0	0	0	0	0		1.95493	3.06521	0	0.83159	0	0	0	0	0	0
Healthy	85.84568	0.36136	0.223	0	0.02165	0	0		0.36136	0.11586	0.223	0	0.02717	0	0.02165	0	0	0
Healthy	32.4933	0.06068	0.0145	0	0.01976	0	0		0.06068	1.40445	0.0145	0	0.00617	0	0.01976	0.0119	0	0
Healthy	54.78992	0	0.09398	0	0	0	0		0	3.70084	0.09398	0	0	0	0	0	0	0
Healthy	8.01752	0	0.03503	0	0.0852	0	0		0	0.76266	0.03503	0	0	0	0.0852	0.10591	0	0
Healthy	21.81949	0.30785	0.1806	0	0	0	0		0.30785	0.00608	0.1806	0	2.75207	0	0	0	0	0
Healthy	3.37609	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	19.98768	0.43259	0.81981	0.03752	0	0	0		0.43259	0.19696	0.81981	0	0.00847	0	0	0	0.03752	0.12562
Healthy	47.27719	0.17988	0.02867	0.5761	0	0	0		0.17988	0.49362	0.02867	0	0.08712	0	0	0.13296	0.5761	0
Healthy	53.86314	0	0.24015	0	0.2182	0	0		0	1.28976	0.24015	0	0	0	0.2182	2.88551	0	0
Healthy	47.23784	1.2714	0.70727	0.01834	0.03451	0	0		1.2714	0	0.70727	0	0	0	0.03451	0.07519	0.01834	0
Healthy	3.72856	0	18.30827	0	0	9.57826	0		0	0.02111	18.30827	0.20431	0	9.57826	0	0	0	0
Healthy	32.30263	0.23135	0.38417	0.02644	0.00197	0	0.00314		0.23135	0.98327	0.38417	2.06491	0.24053	0	0.00197	0.0037	0.02644	0.27774
Healthy	85.64421	0.54344	0.26034	0	0.02509	0	0		0.54344	0.1305	0.26034	0	0.00982	0	0.02509	0	0	0
Healthy	37.82616	0.00288	2.36562	0	0	2.75959	0		0.00288	1.67474	2.36562	0.19486	0.90172	2.75959	0	0.05783	0	0.17155
Healthy	8.0179	0	0	0	0	0	0		0	0	0	0	0.36672	0	0	0	0	0.14174
Healthy	64.71551	0.08287	0.18192	0	0.01468	0	0		0.08287	0.06756	0.18192	0	0.11481	0	0.01468	0.12138	0	0.46071
Healthy	28.43327	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	22.46432	0	1.34408	0	0.01659	0	0		0	0.25126	1.34408	0	0.13656	0	0.01659	0.10072	0	0.21757
Healthy	38.55289	54.4802	0.22569	0	0	0	0.01835		54.4802	0	0.22569	0	0	0	0	0	0	0
Healthy	15.02118	24.8113	0	0	0.00272	0	0		24.8113	0.06847	0	0	0.12072	0	0.00272	0	0	0.02552
Healthy	50.52412	0.09042	0.26525	0	0.00446	0	0		0.09042	0.2452	0.26525	0	0.10943	0	0.00446	0.09308	0	0
Healthy	82.8232	0.8212	0.00194	0	0	0	0		0.8212	0.14985	0.00194	0	0	0	0	0	0	0.0561
Healthy	81.16706	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0
Healthy	7.24817	68.0827	0	0	0	0	0		68.0827	0	0	0	0	0	0	0	0	0
Healthy	65.92365	0.04885	0	0	0	0	0		0.04885	0	0	0	0	0	0	0	0	0
Healthy	32.5679	0.39554	0	0	0.00555	0.67821	0		0.39554	0.23081	0	0	0.28813	0.67821	0.00555	0.10564	0	0
Healthy	15.7988	2.73399	21.32706	0.95125	0.07457	4.9171	0.01493		2.73399	0.03507	21.32706	2.55158	1.88037	4.9171	0.07457	0	0.95125	0.01437
Healthy	14.24778	0.39886	0.18977	0.03383	0	0	0		0.39886	0.02812	0.18977	0	0.03613	0	0	0	0.03383	0
Healthy	4.62811	0	0	0	0	0	0		0	0.02182	0	3.77965	0	0	0	0	0	0
Healthy	55.3907	0	0	0	0	0	0		0	0.17425	0	0	0.30214	0	0	0	0	0
Healthy	41.51809	0	0.08121	0	0	0	0		0	0.04372	0.08121	0	0.35555	0	0	2.4447	0	0.41546
Healthy	16.24077	0.02381	0.16781	0.22955	0.00744	0	0		0.02381	0.05991	0.16781	0	0.09341	0	0.00744	0.03981	0.22955	0.7662
Healthy	66.80106	1.26907	0	0	0.71834	0	0		1.26907	0	0	0	0	0	0.71834	0	0	0
Healthy	22.00682	0.0176	0.07118	0	0.04778	0	0		0.0176	0.73357	0.07118	0.11895	0.305	0	0.04778	0.28895	0	0.07375
Healthy	16.37117	0.05527	0.10194	0	0	0	0		0.05527	0.1171	0.10194	0	0.01904	0	0	0.05135	0	0.31543
Healthy	37.55722	0.70112	0.04162	0	0	0	0		0.70112	0.00555	0.04162	0.02612	0.31872	0	0	0	0	0
Healthy	48.51751	0	0	0	0	0.00769	0		0	0.6799	0	0	0	0.00769	0	0	0	0
Healthy	55.49834	0.02904	0	0	0.20196	0	0		0.02904	0.24045	0	0	0.14078	0	0.20196	0.03386	0	0
Healthy	28.52929	0	0	0	0	3.52049	0		0	0.28696	0	0	1.13061	3.52049	0	0	0	0
Healthy	30.81948	0.28921	0	0	0	0	0		0.28921	0.50514	0	0	0.58424	0	0	0	0	0
Healthy	56.21074	0	0	0	0	0	0		0	0.16316	0	0	0.31823	0	0	0	0	0
Healthy	10.85331	0.08323	0.34771	0	0	0	0		0.08323	0.00315	0.34771	0.00879	0.76495	0	0	0	0	0
Healthy	15.38989	0.92251	4.0795	0	0	0	0		0.92251	0.07051	4.0795	0	1.0362	0	0	0	0	0.03073
Healthy	69.00791	0	0	0	0	0	0		0	0.11572	0	0	0	0	0	0	0	0
Healthy	29.50903	0.00597	0.43111	0	0.05635	0	0		0.00597	0.35801	0.43111	0	0.11243	0	0.05635	0.58707	0	0
Healthy	18.05739	13.544	0	0	0	0	0		13.544	0	0	2.71353	0.74184	0	0	0	0	0.4396
Healthy	56.93049	0.12893	0.07244	0	0	0	0		0.12893	0.04881	0.07244	0	0.00191	0	0	0.18201	0	0.01483
Healthy	42.72081	0	0.0121	0	0.00572	0	0		0	0.01745	0.0121	0	0	0	0.00572	0.02447	0	0
Healthy	28.98718	0	0	0	0	0	0		0	0.05623	0	0	0	0	0	0	0	0.17891
Healthy	19.63393	0	0.1849	0	0.31315	0.40119	0.00148		0	0.01698	0.1849	6.24934	1.42159	0.40119	0.31315	1.01397	0	0.04
Healthy	10.10665	4.34724	0.72519	0.95853	0	0	0		4.34724	0	0.72519	0	0.20611	0	0	0	0.95853	0
Healthy	75.31251	0	0.08617	0	0	0	0		0	0	0.08617	2.49667	0	0	0	0	0	0
Healthy	11.40137	1.47257	0.06337	4.03384	0.03055	0.00692	0.00187		1.47257	0	0.06337	0	0.00651	0.00692	0.03055	0	4.03384	0
Healthy	42.13129	0.03694	0.00098	0	0.0038	0	0		0.03694	0.7626	0.00098	0	0.15541	0	0.0038	0.00362	0	0.048
Healthy	16.54132	0.2876	0.33876	0	0	0	0		0.2876	0.05785	0.33876	0	0	0	0	0	0	0
Healthy	55.07359	0	0	0	0	0	0		0	0.1497	0	0	0.24047	0	0	0	0	0
Healthy	55.7797	0	0.48478	0	0	0	0		0	6.20782	0.48478	0	0	0	0	0	0	0
Healthy	33.16983	0	1.24914	0.10694	0	0	0		0	0.10588	1.24914	0	0	0	0	0	0.10694	0
Healthy	14.82834	0	0.01917	0	0.33762	0.1396	0		0	0	0.01917	3.90566	1.61073	0.1396	0.33762	0.54752	0	5.59423
Healthy	22.94297	0.00239	2.41481	0.63255	0.2068	0.98282	0.00366		0.00239	0.35944	2.41481	0	0.17922	0.98282	0.2068	0.09136	0.63255	0.00234
Healthy	21.77431	5.34141	0	0	0.0009	0	0		5.34141	0.04037	0	0	0.28255	0	0.0009	0	0	0
Healthy	43.7073	0	0	0	0	0	0		0	0.13697	0	0	0	0	0	0	0	0
Healthy	46.32102	10.9585	0.48892	0.14831	0	0	0.01146		10.9585	0	0.48892	0	0	0	0	0	0.14831	0
Healthy	17.1173	0.20066	0.0723	0	0.01343	0	0		0.20066	0.22996	0.0723	0	0.13579	0	0.01343	0.21234	0	0
Healthy	1.39175	0	0.14553	0	0.45372	0	0		0	0.04855	0.14553	0	3.91787	0	0.45372	0.30643	0	0.83955
Healthy	13.03294	0.90366	0.20006	0	0	0	0		0.90366	0	0.20006	0	0	0	0	0	0	0
Healthy	35.85704	2.53982	0	0	0	0	0		2.53982	0.3207	0	0	0	0	0	0	0	0
Healthy	30.10848	0.01133	0.01394	0	0.01939	0	0		0.01133	0.00117	0.01394	0	0.22527	0	0.01939	0	0	0.00769
