group	Prevotella_copri_A	Bacteroides_stercoris	Prevotella_stercorea	Phocaeicola_plebeius_B	Phocaeicola_coprocola	Phocaeicola_sp900554435	Phytobacter_ursingii	Alistipes_senegalensis	Bacteroides_faecis	Bilophila_wadsworthia	Prevotella_copri_A	Bacteroides_eggerthii	Phocaeicola_sp900554435	Phocaeicola_plebeius_B	Anaerobutyricum_hallii_A	Bacteroides_sp900066265	Phascolarctobacterium_faecium	Bacteroides_salyersiae	Parasutterella_excrementihominis	Clostridium_Q_symbiosum
Healthy	0	0	0	0	0	0	0.37736	0	0	0.00251	0	57.8833	0	0	0.01863	0	0	0	0.0857	0.48828
Healthy	0	18.2388	0	0	0	0	0	0	0	0.037	0	0	0	0	0.02058	0	0	0	1.28454	0
Healthy	7.17452	0.26376	0.25219	0	0	0.5959	6.343	0.1958	0	0.0128	7.17452	0	0.5959	0	0	0	1.00509	0	0.00459	0
Healthy	0	0	0	0	0	0	0	0	0	0.05737	0	0	0	0	0	0	0	0	0	0.02064
Healthy	0	0.02077	0	0	8.96198	3.93028	0	0	0	0.01639	0	9.31664	3.93028	0	0.92226	0.09846	0	0	0	0
Healthy	0	0	0	0	0	0	16.4109	0	0	0	0	5.76516	0	0	0.31703	0.89573	0	0	0.04035	0
Healthy	0	0	0	0	0	0	0.45378	0	0	0.09831	0	0	0	0	0	0	0	0	0.08025	0.17587
Healthy	0	0	0	0.03558	0.37173	1.47976	0	0	0	0	0	0	1.47976	0.03558	0.44587	0	0	0	0	0
Healthy	0	0	0	0	0	0	0.02833	0	0	0.10029	0	0	0	0	0.0557	0	0	0	0.29889	0
Healthy	0	0	0	0	0	0.19643	1.75061	0	0	0	0	0	0.19643	0	1.94333	0.28617	0	0	0	0
Healthy	0.0022	6.41657	0	0	0	6.38856	0.14333	0.01716	0	0.03635	0.0022	0	6.38856	0	0.56239	2.98671	2.16701	0	0.13187	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12857	0
Healthy	0	0	0	0	0	14.2983	0	0.06376	0.90544	0.18939	0	0	14.2983	0	0	1.58023	0	0	0.0276	0
Healthy	0	0	0	0	0	0	12.8542	0	2.00044	0	0	0	0	0	0.0884	0	0	0	0.00574	0
Healthy	0.15669	0.82009	0	0	0	0	0.00825	0	0.00309	0	0.15669	0	0	0	0.04157	4.14672	0	0	0	0.0004
Healthy	0	0	0	0	0	0	0.00409	0	0	0	0	0	0	0	0.91156	0	0	0	0	0.29612
Healthy	0	0.00132	0	0	0	0	0.02165	0	2.57489	0.06353	0	0	0	0	1.94611	0	0	0	0.00678	0.07417
Healthy	0	0.00351	0	1.31915	0	0	0	0	1.77788	0.12245	0	0	0	1.31915	1.40044	1.46242	2.25084	0	0.00396	0.01212
Healthy	0	0.15933	0	0	0	0.56203	0	0	0	0	0	0	0.56203	0	0.26674	1.24548	0	0	0	0
Healthy	0	20.3259	0	0	0	8.441	0	0	0	0.01952	0	0	8.441	0	0	4.28833	0	0	1.07698	0
Healthy	0	0	0	0	0	23.8925	0	0.17281	0	0	0	0	23.8925	0	0	0	0	0	0.10417	0
Healthy	0.06453	12.624	0	0.00777	0.03358	17.1072	1.37665	0.00649	2.89904	0.04377	0.06453	24.7709	17.1072	0.00777	0.04396	0	0	1.05235	0	0.03988
Healthy	0	8.65806	0	0	0	0	0.04487	0.77928	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	14.4597	0	0.36631	0.10201	0	0.00721	0	0	0	0	0	1.55273	0	0	0.013	0
Healthy	0	0	0	0	0	5.20955	2.12948	0	0	0.04091	0	0	5.20955	0	3.49856	0	0	0	0.00147	0.00814
Healthy	0	35.6876	0	0	0	0	1.06216	0	0	0.02904	0	0	0	0	0.0105	0.25188	0	0	0.01997	0
Healthy	2.41062	0.10781	0	0	5.91044	1.76265	0	0.03351	0.01424	0.04335	2.41062	0.07607	1.76265	0	0.29161	0.00569	0.19254	0	0	0
Healthy	2.04231	0	0.15399	0	0	0	0	0	0	0	2.04231	0	0	0	2.37613	0	0.2624	0	0	0
Healthy	0	0	0	0	0	0	0.42965	0	0	0	0	57.9876	0	0	0.00425	0	0	0	0.11156	0.43633
Healthy	0	0	0	9.67282	0	0	0	0.03624	0	0	0	0	0	9.67282	0.87265	0	0	0	0.03569	0
Healthy	0	0	0	0	0	0	0	0	0.0471	0	0	1.26659	0	0	0	1.49246	0	2.89763	0	0
Healthy	0	0	0	0	0	0	0	0	0.01965	0	0	1.57628	0	0	0	1.63723	0	3.27437	0	0
Healthy	0	0	0	0	0	0	0.04705	0	0	0	0	0	0	0	0.08798	0	0	0	0	0
Healthy	0	2.54147	0	0	0	0	0	0	3.69481	0	0	0	0	0	0.02841	4.71196	0	3.49666	0.38392	0
Healthy	0	19.8318	0	0	0	7.51156	0	0.00638	0.00344	0	0	0	7.51156	0	0	3.74217	0	0	0.05957	0
Healthy	0	0	0	0	0	0.2573	0.04178	0.32281	0	0.20722	0	1.35819	0.2573	0	0	0	0	0	0.02873	0
Healthy	0	0.51686	0	0	0	0	78.7042	0	0	0	0	0	0	0	0.46926	0	0	0	0.02799	0.00113
Healthy	0	0	0	0	0	0	0.36158	0	0	0	0	0	0	0	0.12008	0	0	0	0.17411	0.08828
Healthy	0	0	0	0	0	0	2.27843	0	0	0	0	0	0	0	0	0	0	0	0.04242	1.87455
Healthy	0	2.87576	0	0	4.33903	3.92234	0	0	0	0	0	0.22843	3.92234	0	0.57718	0	1.40591	0	0	0
Healthy	0	3.3162	0	0	0	0	0	0	0	0	0	0	0	0	0.60249	0	0	0	0	0.05149
Healthy	46.7432	0	0	0	0	0	0	0	0.13196	0	46.7432	0	0	0	0.79118	0	0	0	0	0
Healthy	6.74233	0	0	1.30531	1.59059	0.48798	0	0.14791	0.02178	0.04203	6.74233	2.12965	0.48798	1.30531	0.9126	0	1.52523	0.8471	0.00222	0
Healthy	10.3598	0	0	0	0.17438	0	0.29883	0.00913	0	0.03232	10.3598	0	0	0	0.13232	0.00616	6.00307	0	0	0
Healthy	0	6.22055	0	0	0	5.17118	1.00992	0.01218	0	0	0	0	5.17118	0	0.00178	0	0	0	0.0042	0.00519
Healthy	0	1.01059	0	0	0	0.66787	0.1118	0	0	0	0	0	0.66787	0	0.15205	0	0	0	0	0
Healthy	0	12.9052	0	0	0	0	0	0	0.2604	0	0	0	0	0	4.4287	0.43717	0	0.12081	0	0.00485
Healthy	0	0.01619	0	0	0	2.39481	0	0	0	0.09289	0	0	2.39481	0	0	0	0	3.81337	0.01784	0
Healthy	0	0	1.16567	0	0	0	0.61563	0	0	0	0	0	0	0	0.31153	0	0	4.51473	0	0
Healthy	0	0	0	0	0	0	83.838	0	0	0	0	0.01675	0	0	0	0	0	0	0	0
Healthy	0	2.38863	0	0	0	0	0	0	1.32754	0	0	0	0	0	0	7.18368	0	2.14474	0.20827	0
Healthy	0	0	0	0	0	0	3.89743	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	17.8557	0	0	0	10.7648	0.09795	0	0	0	0	0	10.7648	0	0	21.8225	0	0	0.58962	0.38907
Healthy	0	0	0	0	0	0	0	0	0	0.03182	0	0	0	0	0	0	0	0	0	0.02266
Healthy	0	0	0	0	0	0	0	0	0	0.01125	0	0	0	0	0	0	0	0	0	0
Healthy	0	0.00138	0	0	0	0.38557	0.08321	0.10066	0	0.20998	0	0	0.38557	0	0.9071	0	0	1.17	0	0.02605
Healthy	40.4897	0.19055	0	0.47009	0	0	0	0.01259	0	0	40.4897	0	0	0.47009	0.22621	0	0	0	0	0
Healthy	0	23.3182	0	0	0	0	0.15123	0.0018	0	0.04823	0	0	0	0	0.02999	0	0	0	0.23778	0
Healthy	0	0.00115	0	17.3552	0	11.3558	0	0.24022	0	0	0	1.504	11.3558	17.3552	0	1.56053	0	0.84124	0	0
Healthy	0	3.48591	3.81452	4.26576	5.85582	3.14765	2.8125	0	0.00372	0.05661	0	0.01107	3.14765	4.26576	0.42331	0	0	0	0	0.01224
Healthy	6.31915	0	0	0	0	0	0	0	0	0	6.31915	0	0	0	0.4936	0	0	0	0.04874	0
Healthy	0	0	0	0	2.8849	0	0	0.0469	1.17697	0.01742	0	0	0	0	0.32437	0.26868	0	0	0	0
Healthy	2.16791	0	0	0.11315	0	0	0	0.02331	0	0	2.16791	0.32132	0	0.11315	0.18274	0.00992	8.28949	0	0	0
Healthy	0	3.61561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	36.384	0.76321	8.21752	0	0	2.09355	0	0.52119	0	0	36.384	0	2.09355	0	0	0	0.86272	0	0	0
Healthy	40.479	2.02122	4.1657	0	0	3.49499	0	0.5434	0.74877	1.50048	40.479	0	3.49499	0	0	0.1888	0.06803	0	0	0
Healthy	0	0	0	1.74234	0	0	0	0.01028	0	0	0	0	0	1.74234	1.40782	0	0	0	0.0586	0
Healthy	0	0	0	0	0	0	0	0.07061	0	0.00355	0	0	0	0	3.00802	0	0	0	0	0.00579
Healthy	0	0	0	0	0	0	0.88276	0.02046	0	0.00858	0	0	0	0	0.15216	0	1.22966	0	0	0
Healthy	0	0	0	0	0	17.3947	0	0	1.28473	0	0	0	17.3947	0	0.39885	0	0	0	0.1002	0
Healthy	56.7831	0.43226	0	0	0	0	0	0	0	0	56.7831	0	0	0	0	0	3.19845	0	0	0
Healthy	2.96841	0	0	0	0	0.82445	0	0.01697	0	0	2.96841	0	0.82445	0	5.83452	0.09776	0	0	0	0
Healthy	0	0	0	0	0	0	3.66846	0	0	0	0	0	0	0	0	0	0	0	0	0.17018
Healthy	0	0	0	0	0	0	0.121	0	0	0	0	0	0	0	0	0	0	0	0	0.92036
Healthy	0	1.41999	0	0	0	0.73884	0.34649	0.02274	0	0	0	0	0.73884	0	0.08323	0	0	0	0.01275	0.02305
Healthy	7.32897	0	0.71089	0	0	0.36726	2.66719	0.26342	0	0	7.32897	0.1129	0.36726	0	0.86242	0	1.01512	0	0	0
Healthy	0.04001	0.0127	0	0	0	0	0.07952	0	0	0.06978	0.04001	0	0	0	0.27006	3.30215	0	1.66759	0	0
Healthy	0	2.22179	0	7.30243	0	1.85912	0.08088	0	0	0.00756	0	1.2508	1.85912	7.30243	0.02937	0	0	0	0.0234	0
Healthy	5.62645	1.05686	0	0	0	0	0.03375	0.11246	0	0	5.62645	0	0	0	3.90154	0	0	0	0	0
Healthy	0	2.80913	0	0	0	0	10.2181	0	0	0.06999	0	0	0	0	0	0.19824	0	0	0.00705	0.01988
Healthy	36.9097	0.73478	8.06275	0	0	1.96435	0	0.50459	0	0	36.9097	0	1.96435	0	0	0	0.80514	0	0	0
Healthy	13.0904	1.08373	0	0	0.03225	3.03237	0.06381	0.00199	0.58887	0.00124	13.0904	0	3.03237	0	0.48446	0.02837	0	0	0	0
Healthy	0	0	0	0	0	0	0.06157	0	0	0	0	0	0	0	0	0	0	0	0.11666	0
Healthy	0	0	0	0	0	0	0	0.00603	0	0.1094	0	0	0	0	0.07101	0	0	0	0.27735	0
Healthy	16.1089	0.01236	0	0	0	0	0	0	0.12609	0	16.1089	0	0	0	0.36709	0	0	0	0.00491	0
