group	Prevotella_copri_A	Bacteroides_stercoris	Prevotella_stercorea	Phocaeicola_plebeius_B	Phocaeicola_coprocola	Phocaeicola_sp900554435	Phytobacter_ursingii	Alistipes_senegalensis	Bacteroides_faecis	Bilophila_wadsworthia	Prevotella_copri_A	Bacteroides_eggerthii	Phocaeicola_sp900554435	Phocaeicola_plebeius_B	Anaerobutyricum_hallii_A	Bacteroides_sp900066265	Phascolarctobacterium_faecium	Bacteroides_salyersiae	Parasutterella_excrementihominis	Clostridium_Q_symbiosum
Healthy	0	0	0	0	0	0.35737	0.11908	0.34907	0	0.11479	0	1.97581	0.35737	0	0	0	0	0	0.02393	0
Healthy	0	2.70943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91438	0.04424	0
Healthy	0	4.19	0	0	0	0	0	0.02121	0	0	0	0	0	0	0.04766	1.62684	0	7.66685	0.03886	0
Healthy	0	19.5303	0	0	0	4.15564	0	0	4.01561	0	0	0	4.15564	0	0.47956	0	0	0	0	0.00299
Healthy	27.0284	1.0229	6.47872	0	0	1.39762	0.03415	0.48036	2.19874	1.60839	27.0284	0	1.39762	0	0	0.48867	0	0	0.07528	0
Healthy	0	25.5795	0	0	0	0	0	0	0	0.01884	0	0	0	0	0	0.08983	0	0	0.06469	0.03402
Healthy	29.5591	0	0	0	0	0	0	0	0	0	29.5591	2.34111	0	0	1.04188	0	2.33415	0	0	0
Healthy	0	0	0	0	0	0	0.73345	0	0	0.01314	0	0	0	0	1.29776	0	0	0	0.03584	0.41809
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00871	0	0	0	0.13706	0
Healthy	11.6808	0.43375	0	0	0.84987	0	0	0	0.00647	0	11.6808	0.04455	0	0	0.30393	0.17873	0	0	0	0
Healthy	0	0.20813	0	0.1764	0	1.69584	0	0	0	0	0	1.32786	1.69584	0.1764	0.39637	0	1.85714	1.2666	0	0
Healthy	0	0.01539	0	0	0	0	0	0	0	0	0	0	0	0	0.59772	0.83411	0	0	0.00395	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03165	0	0	0	0	0
Healthy	10.0931	0.01395	0	0	0	0	0	0	0.02138	0	10.0931	0	0	0	0.38706	0	0	0	0.21817	0
Healthy	6.9679	0	0	0	0	0	0	0	0	0	6.9679	0	0	0	1.63333	0	0	0	0	0
Healthy	0	7.55124	0	0	0	0.61747	0	0	0	0.0272	0	0	0.61747	0	0.31822	0	0	0	0	0.2426
Healthy	0	0.71669	0	0	0	0	2.17703	0	0	0.03428	0	0	0	0	0	0	0	0	0.27962	0.53088
Healthy	0	0	0	0	0	0	0.20562	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	18.3436	0	0	0	0	0.156	0	0	0.06696	0	0	0	0	0.0811	0	0	0	0.14888	0
Healthy	0	30.4666	0	0	0	0	0.19592	0	0	0.01671	0	0.01479	0	0	0.00828	0	0	0	0.22545	0
Healthy	0	4.7805	0	0	0	0	1.9803	0.02721	0	0.00052	0	0	0	0	0.16193	0	0	0	0	0
Healthy	0	6.17699	0	0	0	5.2654	0.8409	0.00746	0	0	0	0	5.2654	0	0.01677	0	0	0	0.02357	0.00131
Healthy	0	0	0	0	11.6516	0	0	0	1.32877	0.00644	0	0	0	0	0.22845	0	0	0	0	0
Healthy	0	0	0	0	0	5.58499	0	0.03505	1.93069	0.0732	0	0	5.58499	0	0	0.08089	0	0	0	0.00349
Healthy	17.2465	0.00242	0	0	0.48127	1.91978	0.0166	0.0095	0.00063	0.03875	17.2465	1.38188	1.91978	0	0.44087	0	0	0	0	0
Healthy	0	9.55337	0	0	0	0	0.14608	0	0	0	0	0	0	0	0.04633	0	0	0	0	0
Healthy	83.3367	0	0	8.69814	0	0	0	0	0	0	83.3367	0	0	8.69814	0	0	0	0	0	0
Healthy	0	0	0	0	0	5.68754	0	0.02601	2.05464	0.04723	0	0	5.68754	0	0	0.08514	0	0	0	0
Healthy	0	1.41839	0	0	0	0.81029	1.46894	0	0.02985	0.06927	0	0	0.81029	0	1.23848	0	0	0	0	0
Healthy	0	6.36246	0	0	0	0	8.92773	0.00242	0	0.05274	0	17.7932	0	0	0.41985	0	0	0	0.04227	0.03401
Healthy	0.17636	0	0	21.0703	0	0	2.36936	0	0.01466	0	0.17636	1.28711	0	21.0703	0	0.06187	0	0	0	0
Healthy	0	7.36519	0	0	0	0	0	0.25571	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	25.1707	0	0	0	0	0	0	0	0	0	25.1707	0	0	0	0	0	0	0	0	0
Healthy	0.09597	0	0	0	0	1.12551	0.88981	0.29987	0	0	0.09597	0.28368	1.12551	0	0	0	0	0	0.16422	0.15616
Healthy	0	8.70224	0	0	0	0	0.01881	0.68502	0	0	0	0	0	0	0	0	0	0	0.01364	0
Healthy	0	0	0	0	0	0	2.8324	0	0	0.03013	0	13.1298	0	0	0	0	0	0	0.07304	1.45563
Healthy	0	0	0	0	0	0	0.15672	0	0	0	0	0	0	0	0.1328	0	0	0	0.28218	0.00081
Healthy	37.3588	0.68708	8.25941	0	0	2.01877	0	0.47694	0	0	37.3588	0	2.01877	0	0	0	0.90445	0	0	0
Healthy	15.0765	0.01017	0	0	0	0	0	0	0.09454	0	15.0765	0	0	0	0.34197	0	0	0	0.00858	0
Healthy	0	0	0	0	0	0	0.48329	0	0	0	0	0	0	0	0	0	0	0	0	0.70781
Healthy	11.1618	0	0	1.22659	0	0	0	0	0.03953	0	11.1618	0	0	1.22659	1.94997	0	3.93273	0	0.05381	0.08674
Healthy	0	1.5191	0	0	0	0.7083	0.55057	0.02646	0	0.0016	0	0	0.7083	0	0.07633	0	0	0	0.04039	0.03055
Healthy	0	1.38429	0	0.01577	0.02729	0	20.3087	0.0628	0	0	0	4.8698	0	0.01577	1.76033	0	2.03051	0	0	0.07337
Healthy	11.0211	0	0	0	0	3.12489	13.8295	0.01342	0	0.00375	11.0211	0.23142	3.12489	0	0.70712	0.01636	2.59872	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0.09656	0	0.32704	0	0	0	0	0	0	0.32704	0.09656	0.02376	0	0	0	0	0
Healthy	0	14.1397	0	0	16.0649	0	0.10908	0	1.85081	0.00322	0	0	0	0	0.00875	0	0	0	0.00437	0.01958
Healthy	0	0	0	0	24.9027	0	0	0.04495	0	0.0692	0	0	0	0	0	3.37196	0	0	0.01483	0
Healthy	0.04463	0	0	21.5469	0	0	1.9833	0	0.05836	0	0.04463	1.50262	0	21.5469	0	0.11174	0	0	0	0
D014607	0.04858	63.6465	0	0.00269	0	0.00909	0	0	0.01442	0	0.04858	0	0.00909	0.00269	0.00254	0	0	0	0.12763	0.00729
Healthy	0	0.45069	0	0	0	19.0987	0.14376	0.05797	0.01541	0.21011	0	7.13595	19.0987	0	0.34331	9.80736	0	0.78186	0.15579	0
Healthy	0	0	0	0	24.0038	0	0	0	0	0	0	0	0	0	0	2.70426	0	0	0	0
Healthy	0.02037	0.02181	0	2.06915	0	0	0.05114	0.0008	0	0.00543	0.02037	0	0	2.06915	0.40984	0.47073	1.81253	0	0.0016	0.00166
Healthy	0	0	0	0	0	0	0.98729	0	0	0	0	42.4014	0	0	0	0	0	0	0	0
Healthy	34.4071	0.28485	0	0.51693	0	0	0	0	0	0.03431	34.4071	0	0	0.51693	0.33856	0	0	0	0.06823	0
Healthy	0	0	0	0	23.0944	0	0	0.03522	0	0.08882	0	0	0	0	0	3.34378	0	0	0.02056	0
Healthy	6.42291	0	0	0	0	0	0	0	0	0	6.42291	0	0	0	0.44028	0	0	0	0	0
D014607	0.02606	46.2847	0	1.77413	7.9256	0.00108	0.12878	0	0.32996	0.0749	0.02606	0.0264	0.00108	1.77413	0	1.20479	0	0.00126	0.24549	0
D014607	0.49617	24.3555	0.00263	6.20273	12.6316	6.46497	2.28613	0.0214	0.46318	0.22463	0.49617	6.32062	6.46497	6.20273	0.10163	0.23136	0.01686	0.08134	0.13471	0.02923
Healthy	0.06925	16.9477	0.00272	0.04391	0.02192	1.84135	0.237	0.00254	0.00341	0.00916	0.06925	0.00301	1.84135	0.04391	0.29592	0	0	0	0	0.00801
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.89059	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0.10972	0	0	0	0	0.09302	0	0	0	0.31683	0
Healthy	0	0.01907	0	0	0	0	0.13507	0	4.86528	0	0	0	0	0	0	0	0	0	0.01076	0
Healthy	0.01055	0	0	0	0	0	2.40992	0	0	0	0.01055	0	0	0	0	0	0	0	0	0
Healthy	0	18.6897	0	0	0	0	0	0.17107	0.39898	0	0	0	0	0	0	1.03578	0	0	0.40728	0
Healthy	0	0	0	0	0	0	0	0.05425	0	0.0038	0	0	0	0	2.99236	0	0	0	0	0.01565
Healthy	0	4.02657	0	0	2.24177	0.80633	0	0	0.19832	0	0	0	0.80633	0	3.89335	0.15855	0	0	0	0
Healthy	9.16728	0.24287	0.92409	0	0	1.41684	0	0.40542	0	0	9.16728	0	1.41684	0	0.05909	0	2.44023	0	0	0
Healthy	0	19.8615	0	0	0	7.72093	0	0	0	0	0	0	7.72093	0	0	3.65715	0	0	0.03323	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	4.73448	0	0	1.22033	4.53592	0	0	0.01459	0
Healthy	0	0	0	0	0	0	0	0.00444	0	0.0289	0	0	0	0	0.56233	0	0	0	0.13452	0.03348
Healthy	0	2.45982	0	0	0	0	0	0	1.33002	0	0	0	0	0	0.01665	6.8421	0	1.8867	0.1875	0
Healthy	0	0	0	0	0	0	1.78426	0.41076	0	0	0	1.08056	0	0	0	0	0	0	0	0
Healthy	0.74946	0	0	0	0	0	1.90617	0.00017	0.01834	0	0.74946	0	0	0	0.16818	0	0	0	0	0.0797
Healthy	0	0	0	0	0	0	0.97562	0	0	0	0	43.6838	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4085	0
Healthy	28.0459	2.79397	3.41542	0	0	1.71145	0	0.53861	1.08815	1.36753	28.0459	0	1.71145	0	0	0.35975	0	0	0	0
Healthy	0	3.45214	0	0	0	0	0	0	1.31564	0	0	0	0	0	0.03403	1.28752	0	1.67569	0.16613	0
Healthy	0	0	0	0	0	0	27.3174	0	0	0.05003	0	0	0	0	0	0	0	0	0	0
Healthy	0	9.3423	0	1.34286	0	0	4.93118	0	0.53673	0.04547	0	0.03386	0	1.34286	0.16901	0	0	0	0.02151	0
Healthy	0	0	0	15.2371	0	0	0	0	0	0	0	0	0	15.2371	0.31253	0	0	0	0.04815	0
Healthy	0.16102	0.97485	0.59879	4.61996	0	2.00614	0	0	1.11863	0	0.16102	0.6199	2.00614	4.61996	0.50241	0	4.1312	0	0	0
Healthy	0	0	0	0	0	0	0.08148	0.5286	0	0.07246	0	11.2321	0	0	0.03372	0	0	0	0	0
Healthy	49.0727	0	0	0.96252	0	0.16097	0	0	0	0	49.0727	0	0.16097	0.96252	0	0.16969	0	0	0	0
Healthy	0.45319	0.44394	0	0	0	0	0	0	0	0	0.45319	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0.03568	0	0	0.05484	0	0	0	0	0.35198	0	0	0	0	0
Healthy	0	0	0	0	0.00353	0.41499	0.20692	0.30283	0	0.10548	0	1.94954	0.41499	0	0	0	0	0	0.02441	0
Healthy	0	0	0	0	0	0	0.03995	0	0	0	0	0	0	0	0	0	0	0	0.13432	0
Healthy	28.0011	2.77117	3.41238	0	0	1.66519	0	0.52338	1.12558	1.48598	28.0011	0	1.66519	0	0	0.38203	0	0	0	0
Healthy	18.4306	0.12805	0.46683	0.85326	0.16943	0	0	0.01827	0.09166	0	18.4306	0.09292	0	0.85326	0.32337	0.11295	2.67368	0	0	0
Healthy	39.6664	0.25093	0	0.49304	0	0	0	0.00333	0	0	39.6664	0	0	0.49304	0.21239	0	0	0	0	0
Healthy	0	1.80432	0	22.795	16.8122	0	0	0.05393	0.008	0.01224	0	0	0	22.795	0.02848	0	0	0	0	0
Healthy	12.7801	1.04281	0	0	0	2.88446	0.10641	0	0.52733	0	12.7801	0	2.88446	0	0.47034	0.02415	0	0	0	0
Healthy	0	14.0705	0	0	15.2726	0	0.13569	0.00372	1.78698	0	0	0	0	0	0.00168	0	0	0	0.0015	0.01807
Healthy	6.79413	0	0	0	0	0	0.08551	0.00262	0	0	6.79413	0	0	0	1.81776	0	0	0	0	0
Healthy	0	0	0	0	0	5.77201	0	0.04181	1.94081	0.07084	0	0	5.77201	0	0	0.10501	0	0	0	0
D014607	92.4917	0.12143	0	0.24136	0.00087	0	0.1934	0.00379	0	0	92.4917	0	0	0.24136	0	0.00404	0	0	0.02602	0
Healthy	0.11644	0	0	0	0	0	0	0	0	0	0.11644	0	0	0	0.29154	0	0	0	0.04241	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0.01199	3.19692	19.9772	11.9948	19.4833	0.00138	0.27551	0.00856	0.0026	0.00471	0.01199	0.04552	0.00138	11.9948	0.17036	0	0	0.42784	0.05804	0
Healthy	0	0.16491	0	0	0	0	0.00829	0.08524	0	0.00243	0	0	0	0	1.11391	0	0	0	0.00296	0
Healthy	0	0	0	0	0	1.28787	0.47393	0	0	0	0	0.13041	1.28787	0	0	0	1.17062	0	0	0
Healthy	0	0	0	0	0	0	0	0.00203	0	0.07797	0	0	0	0	0.07398	0	0	0	0.26997	0
Healthy	0	0.00255	0	0	0.13674	1.55856	0.03663	0.01254	0.01704	0.00341	0	0	1.55856	0	0.29743	0.52112	0	0.43925	0.00254	0
Healthy	0	0	0	0	0	0	11.55	0	0	0.01618	0	0	0	0	0	0	0	0	0	0
Healthy	0	2.08544	0	10.5888	0	3.05484	0.02568	0.00375	0	0.02096	0	0	3.05484	10.5888	0.9044	0	0	0	0	0
Healthy	0	0	0	0	0	17.7754	0.19079	0	1.91297	0	0	0	17.7754	0	0.38648	0	0	0	0.03248	0
Healthy	22.2815	0	0	0	1.34286	0	0	0	0	0	22.2815	0	0	0	0.28125	0	0.01893	0	0	0
Healthy	0.06754	3.26027	0	0	2.65411	0.97016	0.05235	0.02311	0.68496	0.07745	0.06754	8.50803	0.97016	0	2.34448	0	0	0	0.00478	0
Healthy	5.97225	0.98037	0	0.07882	11.7271	4.75912	0	0.13403	0.11277	0	5.97225	0.56317	4.75912	0.07882	0.75834	0.18266	0	0.10762	0	0
Healthy	0	0	0	0	2.02873	1.08843	0	0	2.05294	0	0	4.20658	1.08843	0	0.31453	0	0	0.36345	0	0
Healthy	0.0384431	0.0377286	0	0.00114329	0.0475894	0.0190072	0.120903	0	0	0.00214367	0.0384431	0.00585936	0.0190072	0.00114329	0.0220083	0	0	0.000142911	0.049876	0.0211509
Healthy	14.4319	0	0.98735	0	0	0	0.50045	0	0	0	14.4319	0	0	0	0.07717	0	26.9556	0	0	0
Healthy	0	0.00632	0	0	0	5.54914	0.31242	0.16031	0.00021	0.00594	0	15.857	5.54914	0	3.10326	0.29357	0	1.61841	0.00373	0.00425
Healthy	0	42.2396	0	0	0	0	0	0	0	0	0	0	0	0	0.00404	0	0	0	0.15661	0
Healthy	0	0.01659	0	6.0154	0	0	0.88478	0	0	0.05605	0	0	0	6.0154	1.30867	0	0	0.2987	0.05586	0.39398
Healthy	0	0	0	0	0.00899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	56.4423	0.45511	0	0.46175	0	0.09229	0	0	0	0	56.4423	0	0.09229	0.46175	0.096	0	0.28573	0	0	0
Healthy	1.56192	5.73286	0	0	0.01848	0	0	0	0.00291	0	1.56192	0	0	0	0.06356	0.30208	0	0	0.07097	0
Healthy	0	0	0	0	0.03428	0.56824	0.07495	0.19552	0	0.12268	0	2.57799	0.56824	0	0	0	0	0	0.02975	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38461	0	0	0	0	0
Healthy	0.45771	0	0	0	0.21011	5.13279	0.05708	0.00264	0	0.08071	0.45771	0	5.13279	0	2.68794	0	0	1.13378	0	0
Healthy	44.178	0	0	0	1.25313	0	0	0.00867	0.14669	0	44.178	0	0	0	0.91173	0	0	0	0	0
Healthy	0	0.00209	0	0	0	0	1.54445	0	0	0	0	0	0	0	0	0	0	0	0	1.35012
Healthy	0	28.3705	0	0	0	0	0.05107	0	0	0.0305	0	0.01092	0	0	0	0	0	0	0.22373	0
Healthy	36.7859	0.2884	0	0	0.60624	0.00541	0.03628	0	0	0	36.7859	0	0.00541	0	0.50243	0	0	0	0	0.1312
Healthy	0	0	0	0	0	0	0.69087	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	6.28667	0	0	0	5.1065	0.70877	0.00385	0	0	0	0	5.1065	0	0	0	0	0	0.02718	0.00786
Healthy	0	0	0	0	0	0	8.81381	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	19.1269	0	3.04782	0	0	0	0	0	0	0	19.1269	0	0	0	0.0163	0	7.11918	0	0	0
Healthy	4.08331	0	0	2.59983	1.67913	0	0	1.41015	0.08359	0	4.08331	0.19475	0	2.59983	0	0	0	0	0	0
Healthy	0	9.49561	0	0	0.12494	0.10812	0	0.00306	0.23725	0.05764	0	6.38258	0.10812	0	0.25558	2.04195	0.0329	0	0	0.02109
Healthy	0	0	0	0.01445	0	0	0.02012	0	0	0	0	1.92659	0	0.01445	0.44736	0	1.39632	0	0.00198	0
Healthy	0	7.41743	0	0	0	0	0	0	0	0	0	0	0	0	0.23719	0	0	0	0.06318	0
D014607	0.01556	0.00629	0	0.0037	0.00331	0.00134	0.72627	0	0	0.02163	0.01556	0	0.00134	0.0037	0	0	0	0	0.261	0.19001
Healthy	0	0	0	0	0	0	2.63952	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	23.7774	0	0	0	0	0.07583	0.01605	0	0.03092	0	0	0	0	0.05277	0	0	0	0.25373	0
Healthy	6.51153	0	0	0	0	0	0.018	0	0	0.03484	6.51153	0	0	0	0.70717	0	0	0	0	0.02532
Healthy	0	0	0	0	0	0	0	1.01409	0	0	0	0	0	0	0	0	0	0	0	0.15944
D014607	84.108	1.02044	0	2.14579	0.30427	0.00498	0.1274	0.00225	0.00474	0.06422	84.108	0	0.00498	2.14579	0	0	0	0	0.02988	0
Healthy	0	0	0	0	23.5784	0	0	0.04381	0	0.0213	0	0	0	0	0	2.32244	0	0	0.0068	0
Healthy	0	0	0	0	13.7153	0	0.33685	0.06573	0	0.05351	0	0	0	0	0	1.43856	0	0	0.02312	0
Healthy	0	0	0	0	0	0	16.2073	0	0	0	0	0.82364	0	0	8.84666	0	0	0	0	0
Healthy	0	35.5492	0	0	0	0	1.24196	0	0	0.03403	0	0	0	0	0.01584	0.22834	0	0	0.02472	0
Healthy	0	17.8956	0	0	0	10.984	0.14246	0	0	0	0	0	10.984	0	0	22.5294	0	0	0.49916	0.35849
Healthy	0	0	0	0	6.00482	0	0	0	0.2424	0	0	0	0	0	0.31549	0	0	0	0	0
Healthy	0	0	0	0	0.34001	0	0.11577	0	0	0.08117	0	0	0	0	0.18786	0	0	0	0.02275	0.00657
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00652	0	0	0	0	0.18478
Healthy	28.844	0	0	0	1.81223	0	0	0.04925	0.19897	0	28.844	0	0	0	0.92233	0	0	0	0	0.00175
Healthy	0	0	0	0	0	0	0	0.01541	0	0	0	4.87293	0	0	0.69686	4.71477	0	0	0	0
Healthy	0.53931	0	0	0	0	0	0	0	0.28663	0	0.53931	0.00208	0	0	0	0	0.30488	0	0	0
Healthy	27.6721	2.72362	3.56631	0	0	1.6542	0	0.4754	0.94715	1.33413	27.6721	0	1.6542	0	0	0.33655	0	0	0	0
D014607	0.16945	0.16535	0.10275	0.02403	0.05082	0	8.27073	0	0	0	0.16945	0	0	0.02403	0	0.00431	0	0	0	0.30518
Healthy	0	6.06692	0	0	0	4.96099	0.50793	0.00205	0	0	0	0	4.96099	0	0	0	0	0	0.01379	0
Healthy	0.30292	0.05052	0.00639	9.38765	13.053	0	0.03542	0.081	0.00251	0.03707	0.30292	0.00433	0	9.38765	0.57686	0.68285	0	0.02776	0.16388	0
Healthy	0	0	0	0	0	0	0	1.04682	0	0	0	0	0	0	0	0	0	0	0	0.18697
Healthy	0	3.11887	0	0	20.0398	0	0.64668	0	0.88909	0	0	0	0	0	0	0	0	0	0.01275	0
Healthy	0	0.91935	0	0	0	0.71712	0.09865	0.00275	0	0	0	0	0.71712	0	0.14846	0	0	0	0	0.05972
Healthy	0	2.53645	0	0	0	0	0	0	1.36125	0	0	0	0	0	0	7.15324	0	2.08957	0.221	0
Healthy	0	0	0	0	0	0	0.29749	0	0	0.01409	0	35.9597	0	0	0	0	0	0	0.04395	0.03219
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14607	0
Healthy	0	0	0	0	0	0	0.04837	0	0	0.04295	0	0	0	0	0.00388	0	0	0	1.52688	0.0169
Healthy	0	0	0	2.07671	4.16461	4.04553	0.25993	0.03218	0	0.05769	0	1.56808	4.04553	2.07671	0.98751	0.23382	0	0	0	0
Healthy	0	27.5823	0	0	10.8037	0	0.08763	0	2.36488	0.09152	0	0	0	0	0	0	0	0	0.27587	0.08594
Healthy	0	3.37734	8.91889	0.01614	14.0788	0.00722	2.50257	0.00554	0.15224	0.0458	0	1.9632	0.00722	0.01614	0.42959	0	0	0.00061	0	0.0006
Healthy	0	0.96853	0	5.96823	0	0	0.17827	0.0232	0.0569	0.01623	0	0.00116	0	5.96823	0.73121	0.4667	0	0	0.00044	0.00209
D014607	0.11711	1.23431	0.00201	30.6837	38.827	0.00423	0.449	0.00386	0.00344	0.04044	0.11711	0.00799	0.00423	30.6837	0.00208	0	0	0	0.00545	0
Healthy	26.5093	0	0	0	3.82201	0	0	0.01608	0.13937	0	26.5093	0	0	0	1.03978	0	0	0	0	0.00091
Healthy	0.06917	0	0	0	0	0	0	0	0	0	0.06917	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	16.1229	0	0.1881	0.02107	0	0.02547	0	0	0	0	4.5156	0	0	0.05566	0.02696	0
Healthy	0	6.02311	0	0	0	0.55146	0	0	0	0	0	0	0.55146	0	1.3009	1.67554	0	0	0	0
Healthy	0	0	0	0	0	0.51311	0	0	2.25599	0.29956	0	0	0.51311	0	0	0.15144	0	0	0.16096	1.93912
Healthy	0	0	0	0	0	0	0.34895	0	0	0	0	0	0	0	0.79503	0	0.61326	0	0	0
Healthy	0	0	0	0	0	0	0.40585	0	0	0	0	0	0	0	0	0	0	0	0	0
D014607	0.46521	4.98309	0.09533	7.60549	22.6288	12.3002	0.28039	0.03685	0.0161	0.22698	0.46521	0.00234	12.3002	7.60549	0.00559	2.32846	0.00329	0	0.00605	0
Healthy	11.2109	0	0.41302	0	0	0	0	0	0	0	11.2109	0	0	0	2.5476	0	4.21592	0	0	0
Healthy	0.69868	0	0	0	0	0	0	0	0	0	0.69868	0	0	0	0	0	0	0	0	0
Healthy	0	0	1.8251	0	0	0	0.60641	0	0	0.00721	0	0	0	0	0.23696	0	0	3.93124	0.00577	0
Healthy	0	0	0	0.0215	0	0	1.57072	0	0	0	0	0	0	0.0215	5.09754	0	0	0	0	0
Healthy	0	0	0	0	0	0	0.24139	0	0	0	0	0	0	0	0.41531	0	0	0	0	0.45093
Healthy	3.96199	0	0.12344	0	0	0	0	0	0	0	3.96199	0	0	0	1.77823	0	11.9554	0	0	0
Healthy	0	13.1101	0	0	0	0.0006	0.01548	0.12121	0	0	0	0	0.0006	0	0.5789	0	0	1.79065	0.03848	0
Healthy	0	0	0	0	0	0	0.15902	0	0.06337	0	0	0	0	0	1.92566	0	3.43586	0	0	0
Healthy	4.27002	0.00869	0	0	0	1.18412	0.31684	0.10524	0	0	4.27002	0.24784	1.18412	0	1.18785	0	10.8802	0	0	0
Healthy	24.5981	0	0	0	1.60021	0	0.00631	0.00734	0.1816	0	24.5981	0	0	0	0.6485	0	0	0	0	0.0145
Healthy	0	0.00389	0	0	0	0	45.5882	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	2.34355	0	0	0	2.227	0	0	0	0	0	0	2.227	0	0.29928	0	1.77138	0	0	0
Healthy	0	1.82242	0	10.7226	0	0	0	0	0.42467	0	0	3.39484	0	10.7226	0.1959	0	0	0	0	0
Healthy	74.895	0	1.47931	0	0	0	4.05665	0	0	0	74.895	0	0	0	0	0	0.89861	0	0	0
Healthy	48.9577	3.10349	0	0	0	4.59746	0	0	4.05871	0.02994	48.9577	0	4.59746	0	0.24113	0	0	0	0	0.01379
Healthy	3.14031	0.54262	0	0.26684	0.08507	0	8.82978	0	0	0	3.14031	0.08858	0	0.26684	0.62623	0.07712	2.27235	0	0	0
Healthy	0	0	0	0	0	2.30278	0.06046	0	0	0.04715	0	0	2.30278	0	0	0	0	3.92979	0.01588	0
Healthy	0	8.1895	0	0	0	0	0	0.29018	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	0	0	0	0	0	0	0.44685	0	0.06883	0	11.4448	0	0	0.01941	0	0	0	0.00326	0
Healthy	0	17.5682	0	0	0	0	0.17704	0.01764	0	0.07364	0	0	0	0	0.05251	0	0	0	0.11602	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	0	8.2054	0	0	14.0256	0	0.00249	0	0	0.00521	0	8.43918	0	0	0.27362	0.78782	1.59052	0	0.01742	0
Healthy	0	3.51794	0	0	0	0	0	0	1.35386	0	0	0	0	0	0.01654	1.37159	0	1.56807	0.13	0
Healthy	0	38.1941	0	0	0	0	0	0	0	0.05075	0	0	0	0	0	0	0	0	0.0668	0
Healthy	0	0	0	4.13256	0	0	0	0.11903	0	0	0	0	0	4.13256	0.67796	0	0	0	0.08554	0
Healthy	0	27.1481	0	0	0	0	0	0	0	0	0	0	0	0	0.30467	0	0	0	0	0.11591
Healthy	0	0	0	0	0	0	0	0	0.01435	0	0	5.88194	0	0	0	0.13547	0	7.42308	0	0
Healthy	0.23544	9.72403	0.016	0.04263	0.01391	5.23085	1.32306	0.02379	0.0036	0.03918	0.23544	0.00856	5.23085	0.04263	0.31015	0.17802	0.06021	0	0.11799	0.00839
Healthy	0	0	0	0	0	0	6.89374	0.00944	0	0.05815	0	4.09674	0	0	0.87797	0	0.34504	0	0.06274	0
Healthy	0	0.00428	0	0	0	0	0.15212	0	0	0.00451	0	0	0	0	0.12711	0	0	1.95011	0	0.05921
Healthy	0.13603	0	0	0	0	3.82844	0	0	0	0	0.13603	0	3.82844	0	1.57733	0	0	0.57149	0	0
Healthy	0	22.7834	0	0	0	0	0.14691	0.01209	0	0.03936	0	0	0	0	0.06127	0	0	0	0.22899	0
Healthy	0.0784	0	0	0	0	0.17381	0	0	0	0	0.0784	0	0.17381	0	6.03285	0.02173	0	0	0	0
Healthy	0	0	0	0	0	0	0	0	0.00467	0	0	12.11	0	0	0	0.06253	0	2.6864	0	0
Healthy	0	0	0	0	0	0	0	0	0.0218	0	0	3.96902	0	0	0	0.08245	0	5.10584	0	0
Healthy	0	3.01016	0	0	0	0	0.90631	0	0	0	0	0	0	0	0	0	0	0	0	0.20116
Healthy	0	4.00963	0	5.57015	0	0	0.61485	0.04628	0	0.04412	0	0	0	5.57015	1.42543	0	0	0.10547	0.00079	0.00036
D014607	0.18986	17.4089	0.00356	0.05115	8.99275	0	2.63891	0	0	0	0.18986	0.00151	0	0.05115	0	0	0	0	0	0
Healthy	0	16.6224	0	0	0	0	19.9867	0	0	0	0	0.01343	0	0	0	0	0	0.00333	0	0
