group	Ruminococcaceae	Marinifilaceae	Erysipelotrichaceae	Enterobacteriaceae	Streptococcaceae	Peptostreptococcaceae	Pasteurellaceae	Veillonellaceae	Eggerthellaceae	Micrococcaceae	Rikenellaceae	Acutalibacteraceae	Dialisteraceae	Barnesiellaceae	Methanobacteriaceae	Coriobacteriaceae	Oscillospiraceae	Desulfovibrionaceae	Eggerthellaceae	Coprobacteraceae
Healthy	0.00068	0	0	0.91721	0.00104	0	0	7.29344	0.03312	0	0	0	0	0	0	5.7193	0.04847	0.01514	0.03312	0
Healthy	6.6407	2.31782	0	0.05728	0.01765	0	0.02082	0.03268	0.00917	0	13.80833	0.70541	0.386	5.23642	0.18758	0.19788	0.16032	0.15405	0.00917	0.29606
Healthy	3.9338	0.98932	0.02074	0.09665	0.56085	0	0	0	0.00649	0	6.24841	0.14072	0	2.61653	0.07048	0.08046	0.02795	0.09305	0.00649	0.17639
Healthy	11.17958	0.84408	0.06243	0.10061	1.04933	0.02658	0.05059	0.04899	0.04105	0	2.55539	0.6487	0	1.20157	0	0.33622	0.08893	0	0.04105	0
Healthy	4.02687	0.45607	0.79186	0.00903	0.01657	0	0	0.02073	0.02361	0	1.77545	3.93134	10.2571	0	0	0.91269	0.24086	0.0012	0.02361	0.14512
Healthy	4.47674	3.30544	0.00364	0.0092	0.08838	0.01345	0.00195	0	0.28108	0	6.22792	4.96347	0	3.70146	0.52921	1.43581	0.38997	0.05871	0.28108	0.01227
Healthy	2.12034	1.03995	0.163	0.07286	0	0	0.023	0.23551	0	0	8.66821	0.9933	6.24256	6.38478	0	0.14288	0.60257	0.07883	0	0
Healthy	0.00368	0	0	16.2661	1.2222	0	0.19266	3.20071	0	0.33442	0	0.00014	0	0	0	0.12	0	0.13184	0	0
Healthy	10.01197	2.06509	0.79534	0	0.18972	0	0	0	0	0	8.31905	1.82773	0	3.61045	2.8803	0	0.33091	0.08855	0	0.16812
Healthy	0.90434	0	0.01149	0.37736	0.23259	0	0	0.03427	0	0	0	0.35951	3.32443	0	0	0.15444	0.18962	0.00251	0	0
Healthy	27.22336	1.39468	0.00061	0	0.14253	0	0	0	0	0	11.63986	0.02581	0	0	0	0.01631	0.12367	0.037	0	0
Healthy	3.58402	0	0.05876	6.37382	0.21411	0	0	0	0	0	8.94078	1.03234	0	0.67267	0.54614	0	0.66922	0.65549	0	0.05326
Healthy	0.69262	0	0	0	0	0	0	0	0	0	16.12624	0.20168	0	3.37828	0	0.102	1.66202	0.05737	0	0
Healthy	1.051	1.03345	0	0	0	0	0	0	0	0	0.23838	0.15905	0.59117	4.44353	15.6428	0.06941	0.0234	0.02658	0	0.22964
Healthy	1.09293	0	0.14265	16.4109	0	0.35363	0	0	0	0	3.02671	2.6742	0	4.1818	0.32705	0	0	0	0	0.15438
Healthy	2.47447	0	0.04	1.67377	0.06243	0	0	0	0	0	1.50364	0.15275	0	2.56053	0	0	0.96798	0.09831	0	0
Healthy	2.97284	0	0	0	0.11515	0	0	0.875	0	0	0	6.37254	4.25365	0.46476	3.21156	0	0	0	0	0
Healthy	2.20024	0.99432	0.14147	0.02833	0	0	0.01062	0.22337	0	0	8.44097	0.9626	6.31044	6.22598	0	0.19064	0.69402	0.10029	0	0
Healthy	2.60289	0	0	1.75061	15.69812	0	0	0	0	0	1.61128	6.10013	2.39552	0	1.04718	2.82554	0	0	0	0
Healthy	2.1367	0.59341	1.6957	6.48387	0.33687	0.04743	0.03449	0.00473	0	0.00149	5.75588	1.98987	0	0	0	1.73487	0.00299	0.03635	0	0
Healthy	2.03873	0	0.24099	0	0	0	0	0	0	0	11.63891	0.6039	6.35013	0	0	0	1.74357	0	0	0
Healthy	2.08575	0.77418	0.09705	0	0	0	0.01729	0	0	0	22.20962	0	0	1.7863	0	0.31594	0.02547	0.20315	0	0
Healthy	5.16023	2.25825	0.2213	12.8542	0	0	0	0	0	0	5.79551	1.94348	11.5958	0.89589	0.60936	0	0	0	0	0
Healthy	7.83113	2.31492	0.0032	0.00825	0.0109	0	0	0	0.06556	0	20.6628	11.74687	0.22524	0	0.01981	0.14616	0.04391	0.0924	0.06556	0.04067
