group	Burkholderiales	Enterobacterales	Acidaminococcales	Pseudomonadales	Desulfovibrionales		Bacteroidales	Lachnospirales	Veillonellales	Verrucomicrobiales	Burkholderiales	Methanobacteriales	Erysipelotrichales	Desulfovibrionales	Peptostreptococcales	
Healthy	0.0283	0.09129	0	0	0		34.23946	23.75263	0.99085	0.08687	0.0283	0	0.46295	0	0.4766	
Healthy	3.89876	0.0274	0.11165	0.01802	0.00855		21.72158	1.457	0.15082	0	3.89876	0.00083	0	0.00855	0.00332	
Healthy	0.32161	0.1043	3.27575	0	0		67.32252	15.2491	0.02151	0.40549	0.32161	0	0	0	0	
Healthy	0.15155	0.23876	0	0.00428	0.03054		80.02181	11.18939	0	0	0.15155	0	0.00703	0.03054	0.00384	
Healthy	0.50884	0.06106	0	0	0		92.37086	1.72893	0	1.85231	0.50884	0	0	0	0	
Healthy	0	0	0	0	0		36.46828	38.8167	0.14734	0	0	7.54448	6.35549	0	0	
Healthy	0.01507	0.09972	0	0	0.24772		46.13277	10.34856	0.21193	0.08623	0.01507	0	0.02068	0.24772	0	
Healthy	0	0	0	0	0		21.17389	14.18773	3.15007	48.7672	0	0	0.26851	0	0	
Healthy	0.19046	0.20235	2.67443	0.03725	0.07772		39.6002	13.93238	0.06374	0.02505	0.19046	0.63907	1.46121	0.07772	0.02211	
Healthy	2.24124	7.74478	0	0	0.00133		38.19224	8.44434	0.01761	0.71933	2.24124	0	0.08378	0.00133	0.07496	
Healthy	0.04446	0.21745	0	0	0		17.14225	26.51074	0.30547	0	0.04446	0	0	0	0	
Healthy	0.04965	87.6699	0	0.04741	0		0.03814	0	0	0	0.04965	0	0	0	0	
Healthy	1.83111	1.01853	1.23038	0.10447	0.00889		45.26473	24.73501	0.05289	0.01764	1.83111	1.70994	0.40302	0.00889	0.28323	
Healthy	0.01528	0	0	0	0		74.29777	9.69299	3.61042	0.70276	0.01528	0	0	0	0	
Healthy	0.03217	0.16438	0	0	0.15156		36.8274	23.67886	0.03405	0	0.03217	1.80075	0.02874	0.15156	0.0975	
Healthy	0.19327	0	0	0	0.07473		34.70987	17.91379	0	1.65301	0.19327	0.18038	0	0.07473	0	
Healthy	0	0	0	0	0		81.72666	12.33075	0	0	0	0	0.51735	0	0	
Healthy	0.002	0	0	0	0.10324		56.87795	3.84486	0	0	0.002	0.08119	0.0123	0.10324	0	
Healthy	4.30761	0	0	0	0.08008		54.17995	16.00939	0	0	4.30761	0	0	0.08008	0	
Healthy	0.00901	0.60422	0	0	0.04112		73.74703	2.06269	2.62063	0	0.00901	0	0	0.04112	0	
Healthy	0	0.91721	0.02949	0	0.01514		24.69327	20.64762	7.29344	0	0	0	0	0.01514	0	
Healthy	0.24334	0.14705	0	0	0.07434		70.62031	5.91702	2.80683	0.09043	0.24334	0.04311	0	0.07434	0	
Healthy	1.45864	0.0781	0	0	0.15405		63.4987	6.7014	0.41868	0	1.45864	0.18758	0	0.15405	0	
Healthy	0.09001	0.18304	0	0.00754	0.01399		42.29907	10.32986	0.00036	0.98179	0.09001	0	3.35605	0.01399	0.31151	
Healthy	2.12136	0.09665	2.04301	0	0.09305		52.08938	21.81106	0	0.62975	2.12136	0.07048	0.02074	0.09305	0	
Healthy	0	0	0	0	0		28.91364	46.34829	6.52691	0	0	0	0.76987	0	0	
Healthy	0.14328	0.1512	0	0	0		40.44836	19.16726	0.04899	0.03917	0.14328	0	0.06243	0	0.02658	
Healthy	0	0	2.52302	0	0.71462		29.45115	6.27347	0	23.484	0	2.20838	0.21724	0.71462	0	
Healthy	0.11188	0.13388	0	0	0.36652		59.94951	4.55439	7.61911	0.90006	0.11188	0.91984	0	0.36652	0	
Healthy	0.26229	0.09389	0	0	0.08906		69.31403	5.77806	2.84921	0.11704	0.26229	0.06314	0	0.08906	0	
Healthy	0.04924	0	3.95932	0	0		51.86404	25.99537	0	0	0.04924	0	0	0	0	
Healthy	0	0.02213	0	0	0		87.79754	6.25106	0.83182	0	0	0	0.03373	0	0.42534	
Healthy	0.02565	0.42971	0	0	0.0012		48.12186	9.33161	10.27783	1.1655	0.02565	0	0.79186	0.0012	0	
Healthy	0.05455	1.81989	0	0	0		52.10296	18.21306	1.84818	0	0.05455	0	0.32	0	0.14632	
Healthy	0	0	0	0	0		3.58455	15.24503	9.46156	0	0	0	0	0	0	
Healthy	0	0.01115	0.00079	0	0.05871		55.96175	13.53386	0	0.07252	0	0.52921	0.00364	0.05871	0.01345	
Healthy	0.29286	0.09586	0	0	0.07883		76.93222	2.91449	6.47807	0	0.29286	0	0.163	0.07883	0	
