group	Lachnospiraceae	Ruminococcaceae	Streptococcaceae	Veillonellaceae	Lactobacillaceae	Pasteurellaceae	Oscillospiraceae	Eggerthellaceae	Erysipelatoclostridiaceae	Peptostreptococcaceae	Lachnospiraceae	Rikenellaceae	Acutalibacteraceae	Enterobacteriaceae	Barnesiellaceae	Burkholderiaceae	Streptococcaceae	Erysipelotrichaceae	Lactobacillaceae	Coprobacteraceae
Healthy	13.93238	10.85128	0.15228	0.06374	0	0.10937	0.10316	0.00168	0	0.02211	13.93238	4.17386	3.4911	0.09298	1.0651	0.19046	0.15228	1.46121	0	0.0881
Healthy	26.51074	9.16534	0.17857	0.30547	0	0	0	0.23851	0	0	26.51074	7.48688	11.0197	0.21745	1.47979	0.04446	0.17857	0	0	0
Healthy	17.91379	2.3527	0.00266	0	0	0	0.05935	0.07931	0	0	17.91379	10.55098	5.72628	0	5.53984	0.19327	0.00266	0	0	0.01633
Healthy	3.84486	9.42381	0.02484	0	0	0	0.21886	0.27818	0	0	3.84486	13.90556	0.38285	0	0	0.002	0.02484	0.0123	0	0
Healthy	16.00939	6.22563	0.1302	0	0	0	0	0.06189	0	0	16.00939	3.22808	0	0	5.79777	4.30761	0.1302	0	0	0.20979
Healthy	20.64762	0.00068	0.00104	7.29344	0.29223	0	0.04847	0.03312	0	0	20.64762	0	0	0.91721	0	0	0.00104	0	0.29223	0
Healthy	6.7014	6.6407	0.01765	0.03268	0	0.02082	0.16032	0.00917	0	0	6.7014	13.80833	0.70541	0.05728	5.23642	1.45864	0.01765	0	0	0.29606
Healthy	21.81106	3.9338	0.56085	0	0	0	0.02795	0.00649	0	0	21.81106	6.24841	0.14072	0.09665	2.61653	2.12136	0.56085	0.02074	0	0.17639
Healthy	19.16726	11.17958	1.04933	0.04899	0	0.05059	0.08893	0.04105	0	0.02658	19.16726	2.55539	0.6487	0.10061	1.20157	0.14328	1.04933	0.06243	0	0
Healthy	9.33161	4.02687	0.01657	0.02073	0	0	0.24086	0.02361	0	0	9.33161	1.77545	3.93134	0.00903	0	0.02565	0.01657	0.79186	0	0.14512
Healthy	13.53386	4.47674	0.08838	0	0	0.00195	0.38997	0.28108	0	0.01345	13.53386	6.22792	4.96347	0.0092	3.70146	0	0.08838	0.00364	0	0.01227
Healthy	2.91449	2.12034	0	0.23551	0	0.023	0.60257	0	0	0	2.91449	8.66821	0.9933	0.07286	6.38478	0.29286	0	0.163	0	0
Healthy	0.18846	0.00368	1.2222	3.20071	0	0.19266	0	0	0	0	0.18846	0	0.00014	16.2661	0	10.9103	1.2222	0	0	0
Healthy	13.06821	10.01197	0.18972	0	0	0	0.33091	0	0.22036	0	13.06821	8.31905	1.82773	0	3.61045	0	0.18972	0.79534	0	0.16812
