s	Phocaeicola_vulgatus	Bacteroides_stercoris	Phytobacter_ursingii	Dialister_invisus	Enterocloster_sp900540675	Enterocloster_clostridioformis_A	Veillonella_parvula_A	Ruminococcus_B_gnavus	Clostridium_Q_symbiosum	Veillonella_atypica	Flavonifractor_sp000508885	Muricomes_sp000509105	Enterocloster_asparagiformis	Enterocloster_sp000155435	Enterocloster_citroniae	Veillonella_dispar_A	Ruminococcus_H_sp003531055	Lachnospira_eligens_B	Barnesiella_intestinihominis	Alistipes_shahii	Roseburia_sp900552665	Alistipes_obesi	Mediterraneibacter_lactaris	Alistipes_A_indistinctus	Coprococcus_A_catus	Adlercreutzia_equolifaciens
Healthy	0.302341753436881	0.157130244553652	-0.662620616304181	-5	-5	-5	-0.515017218069439	-0.221226706550073	-5	-5	-5	-5	-5	-5	-5	-5	1.04217016556323	-5	0.170203022985664	-0.126092596098388	0.407999000755225	-0.540803592201894	-5	-5	-5	-0.729088360589519
Healthy	-0.0455741604797212	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	0.757873338483088	0.265390996562983	0.743498005693372	0.367208645996994	-1.13643923547376	0.484588798211553	-5	0.0493343359722838	-0.508806452705314	-1.20474581741912
Healthy	-5	-2.73518217699046	-5	-5	-5	-5	-5	-5	-5	-5	-1.20669864638688	-5	-5	-5	-5	-5	-0.568314655313988	-0.0448319825238872	-5	0.434712580645523	-5	-5	-5	-5	-5	-0.678588002025994
Healthy	0.688688503082372	0.343542505241565	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-0.0123694809465719	0.763261731784976	-0.246470561019737	-0.334803759787968	-0.780729914114604	0.451012302809523	-0.744799883342882	-0.807181742951705	-1.20830935097988
Healthy	-0.623204126120284	-5	-0.0375264840391993	-5	-5	-5	-1.39523411529611	1.29013504426744	-5	-5	-1.31443738884177	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.945021258021911	-1.48425858333063	-1.24192117775039	-0.413401444321602	-1.86486734862323	-5	-1.48558507941963	-5	-5	-5	-1.41330019837595	-5	-5	-5	-5	-5	-0.151552231418591	0.526283694479785	0.71903530230948	0.438654665438737	-0.906893643022093	0.234825937948012	-5	-1.52143350440616	-5	-2.03715731879876
Healthy	0.637895815081932	0.103960995987927	-1.01475320919714	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-1.61457248519487	-2.14026143380285	0.41772737834436	-0.327809748811747	0.132333346802793	-0.955499437629359	-0.0322601903602067	-1.28920590006967	-0.86087686589042	-2.18708664335714
Healthy	0.949579786020261	-5	-5	-5	-0.154108546690116	-5	-1.49784610712864	-5	-5	-1.76371472255197	-5	-5	-5	-5	-5	-5	-0.192113349312696	0.144739177044223	0.079752690996707	-0.679417560526448	0.312632153863849	-0.867260161739115	-0.201446028632478	-2.09691001300806	-0.413480207489726	-1.38658105496543
Healthy	0.793959321707807	1.08771790114521	-2.04383156952464	1.01102501303179	-2.83564714421556	-5	-1.68319124794698	-1.82944494147879	-5	-5	-2.29756946355447	-2.52578373592374	-1.85667287000795	-5	-2.06854212931099	-5	0.593166397973338	-5	-5	-1.41465208890541	0.419412127467475	-5	-0.292046791848509	-1.73969005420508	-0.300569887327523	-1.6267201067225
Healthy	0.62345811514965	-2.49620931694282	-2.47237009912866	-5	-1.8955128886876	-2.34198860334289	-5	-1.92263209471584	-5	-5	-3.00436480540245	-5	-1.61816320000166	-1.66958622665081	-1.6085355881609	-5	0.692816966900798	-0.812394684581851	0.568374233824325	0.0804136160361212	-0.212369525029817	0.159558170401349	-5	-1.01913344541792	-0.813297877434899	-0.570764660373345
