group	Bacteroidaceae	Enterobacteriaceae	Marinifilaceae	Pasteurellaceae	Lactobacillaceae	Veillonellaceae	Peptostreptococcaceae	Erysipelatoclostridiaceae	Eggerthellaceae	Micrococcaceae	Bacteroidaceae	Ruminococcaceae	Bifidobacteriaceae	Tannerellaceae	Dialisteraceae	Barnesiellaceae	Burkholderiaceae	Methanobacteriaceae	Marinifilaceae	Oscillospiraceae
Healthy	29.70881	1.06199	0	0.04173	0	0.05717	0.01107	0	0.03192	0.00239	29.70881	6.62613	0.92343	1.45105	6.37105	8.89824	1.58452	0	0	0.15097
Healthy	7.32202	2.35562	0.05783	0.55167	0	2.17314	0	0	0	0.0505	7.32202	0	77.76857	0.00171	0	0	0	0	0.05783	0
Healthy	37.69111	0	0	1.44863	0	0.07539	0.37412	0	0	0	37.69111	4.49488	13.49806	0.25092	4.05909	0	0.04528	0	0	0
Healthy	46.75806	0	0	0	0	0	0	0	0	0	46.75806	1.48862	0.04287	3.23496	0	12.9413	0	0.05076	0	0
Healthy	8.42294	0.04844	0	0	0	0.00272	0.04726	0	0.07108	0.00248	8.42294	6.34382	10.4945	0.78517	0	0	0.07849	0	0	0.01259
Healthy	29.72166	0.04976	0.92764	0.00484	0.5042	0.15995	0	0.49088	0	0	29.72166	8.38122	0.1036	0.90208	0	0.01692	0.09861	0	0.92764	0
Healthy	12.62268	1.09555	0.48243	0.01242	0	0	0.00279	0	0	0	12.62268	6.94266	0.48572	0	0	0	1.41746	0.05808	0.48243	0.02251
Healthy	17.33784	16.867	0	0	0	0	0.30973	0	0	0	17.33784	6.40852	2.47727	1.03617	0	2.88649	0	0	0	0
Healthy	25.10843	0.04967	1.27209	0	0.00437	0.0558	1.78824	0	0.28596	0	25.10843	25.27391	0.32652	0.28318	3.32019	3.20139	0.02467	0	1.27209	0.01625
Healthy	38.87685	0.02561	0	0	0	0	0	0	0	0	38.87685	10.18732	0	2.41768	0	0	0.15702	0	0	0.42481
Healthy	11.78917	21.7082	0.86467	0.34533	0	0.04354	0.05105	0.28493	0	0	11.78917	6.06601	12.84778	0.81843	0	3.74906	0.12934	0.79631	0.86467	0
Healthy	19.43855	0.00817	3.04967	0.00722	0.23414	0	0.00373	0	0	0	19.43855	2.95687	0.12523	1.5996	0	0.63245	0.15098	0.1082	3.04967	0.01382
Healthy	12.45034	0	0	2.16962	0	1.72376	4.77347	0	0.01092	0	12.45034	9.34541	2.73178	0.0213	3.12425	0	0.12175	0	0	0
Healthy	31.91916	0.5133	0	0.64482	0	0.06149	0.01007	0.57755	0	0.00421	31.91916	28.18338	0	0.0006	0	0	0.02629	0.09203	0	0.00173
Healthy	18.14348	6.48238	0	0	0	0	0	0	0	0	18.14348	3.47915	0	1.81602	0	0.5875	0.04911	0.54221	0	0.79294
Healthy	12.98109	0	0.22406	0	0.39169	0	0	1.96503	0	0	12.98109	4.89424	12.15454	0.82088	3.47983	1.03545	0	0	0.22406	0
