group	Lachnospiraceae	Ruminococcaceae	Bifidobacteriaceae	Acutalibacteraceae	Coriobacteriaceae	Akkermansiaceae	Acidaminococcaceae	Erysipelotrichaceae	Lactobacillaceae	Erysipelatoclostridiaceae	Bacteroidaceae	Lachnospiraceae	Ruminococcaceae	Bifidobacteriaceae	Acutalibacteraceae	Akkermansiaceae	Methanobacteriaceae	Coriobacteriaceae	Acidaminococcaceae	Eggerthellaceae
Healthy	0.38403	3.77372	0.02622	1.798	1.38014	43.9338	0	0.17354	0	0	8.86346	0.38403	3.77372	0.02622	1.798	43.9338	0	1.38014	0	0.17848
Healthy	20.64043	6.31337	21.12264	2.50165	8.28998	0	0	3.2326	7.365	0	4.75497	20.64043	6.31337	21.12264	2.50165	0	3.57724	8.28998	0	0
D009765	25.01244	3.24922	0	24.7905	0	0	0	0.36278	0	5.16955	8.87961	25.01244	3.24922	0	24.7905	0	0	0	0	0
Healthy	24.04584	11.07113	0	0.34564	0.02629	2.10778	0	0.02231	0	0	42.84491	24.04584	11.07113	0	0.34564	2.10778	0	0.02629	0	0.07309
Healthy	13.2101	4.06346	0.52452	0	0	0	0	0	0	0	53.36578	13.2101	4.06346	0.52452	0	0	0	0	0	0
Healthy	1.67644	6.43879	0	0.46012	0.02701	0	0	0	0	0	75.60287	1.67644	6.43879	0	0.46012	0	0	0.02701	0	0.03051
Healthy	40.39967	2.48237	0	0	0	10.7516	0	0	0	0	20.53284	40.39967	2.48237	0	0	10.7516	0	0	0	0.05698
Healthy	0.47202	1.71475	0.00528	0.0192	0	0	0	0	0	0	77.26842	0.47202	1.71475	0.00528	0.0192	0	0	0	0	0
Healthy	0.65051	1.44308	0	0	0	0.5846	0	0	0	0	91.9548	0.65051	1.44308	0	0	0.5846	0	0	0	0
Healthy	8.96629	5.41906	1.31049	0.53199	0.40143	0.53104	0	0	0	0	45.92573	8.96629	5.41906	1.31049	0.53199	0.53104	0.02146	0.40143	0	0.02195
Healthy	4.66288	3.41053	0.00167	0	0	0	0	0.02861	0	0	55.23312	4.66288	3.41053	0.00167	0	0	0	0	0	0
Healthy	12.96484	12.24781	2.83298	4.91229	0.72678	0	1.57656	0.05895	0	0	4.43774	12.96484	12.24781	2.83298	4.91229	0	0	0.72678	1.57656	0.01264
Healthy	0	0	0.00303	0	0	0	0	0	0.08897	0	17.70179	0	0	0.00303	0	0	0	0	0	0
Healthy	0	0	0.21683	0	0	0	0	0	0	0	84.43985	0	0	0.21683	0	0	0	0	0	0
Healthy	11.56338	1.78645	0.67644	0.26289	0	29.7937	0	0.09676	0	0	34.8843	11.56338	1.78645	0.67644	0.26289	29.7937	0	0	0	0
D009765	31.36525	0	0	38.4099	0	0	0	2.934	0	0	12.97187	31.36525	0	0	38.4099	0	0	0	0	0
D009765	17.45351	0.08314	0	2.15904	0	0	0	2.18029	0	0	49.70925	17.45351	0.08314	0	2.15904	0	0	0	0	0
D009765	15.90578	8.31766	8.09414	5.29653	6.19085	9.08237	0	0	0	0	15.6136	15.90578	8.31766	8.09414	5.29653	9.08237	0	6.19085	0	0.30672
Healthy	10.77031	1.34276	8.7228	7.35714	2.25198	6.07064	0.00966	0	1.4605	0	18.03711	10.77031	1.34276	8.7228	7.35714	6.07064	6.89201	2.25198	0.00966	0.23259
Healthy	4.74488	1.84188	0.40479	0.53321	0	0	0	0.2803	0	0	55.90911	4.74488	1.84188	0.40479	0.53321	0	0	0	0	0
Healthy	27.7372	6.74631	0.26967	0	1.33923	0.98327	2.32279	5.17261	0.02885	0.26323	16.85905	27.7372	6.74631	0.26967	0	0.98327	0.05766	1.33923	2.32279	0.71951
Healthy	1.93201	3.85463	0.20472	0	0	0	0	0	0	0	0.27232	1.93201	3.85463	0.20472	0	0	0	0	0	0
Healthy	26.41635	13.60415	1.24331	0.01522	0.24301	0.01772	2.67787	0.00649	0.00116	0	30.82664	26.41635	13.60415	1.24331	0.01522	0.01772	0	0.24301	2.67787	0
Healthy	19.14214	9.29308	0.07222	0	0	1.45081	0.06406	0.00291	0	0	54.69375	19.14214	9.29308	0.07222	0	1.45081	0	0	0.06406	0
Healthy	28.95117	6.44974	0.32847	2.61931	0	0.74671	0.85476	0.02612	0	0	24.71427	28.95117	6.44974	0.32847	2.61931	0.74671	0	0	0.85476	0.00195
D009765	46.35005	4.31548	0.15926	1.84674	0.21541	1.06704	0	1.37852	0	0	15.93461	46.35005	4.31548	0.15926	1.84674	1.06704	0.51894	0.21541	0	0
Healthy	23.27727	4.97429	6.02104	4.38821	0.02057	0	0	0.30242	0	0	39.15026	23.27727	4.97429	6.02104	4.38821	0	0	0.02057	0	0
Healthy	6.6805	6.54119	0.55606	0.61546	0.23223	0	0	0	0	0	32.30265	6.6805	6.54119	0.55606	0.61546	0	0.21375	0.23223	0	0.02037
D009765	27.63092	1.89687	0	6.36898	0	0	0	0	0	0	22.66328	27.63092	1.89687	0	6.36898	0	0	0	0	0
D009765	23.25197	11.6333	12.28171	0	2.92322	5.48679	3.89103	3.22351	1.57443	0	13.78135	23.25197	11.6333	12.28171	0	5.48679	1.38972	2.92322	3.89103	0
Healthy	1.69878	0.11961	0.0701	0.74654	0.02367	0	0	0.00061	0.30556	0	6.13182	1.69878	0.11961	0.0701	0.74654	0	0	0.02367	0	0.00217
Healthy	13.96067	0.48542	0	0.96576	0	0.1712	0	2.74118	0	0	26.39883	13.96067	0.48542	0	0.96576	0.1712	17.665	0	0	0
Healthy	44.45119	9.89402	0.08365	0.00941	0.11936	0	2.37654	2.11912	0.06093	0.41427	22.97043	44.45119	9.89402	0.08365	0.00941	0	0	0.11936	2.37654	0
Healthy	7.16031	2.12934	14.26406	2.63915	1.31884	6.18736	0	0.00585	0	0.00162	47.23513	7.16031	2.12934	14.26406	2.63915	6.18736	0	1.31884	0	0.0254
Healthy	1.54044	5.35091	0.71515	0	0.06541	0	0	0	0	0	49.54937	1.54044	5.35091	0.71515	0	0	0	0.06541	0	0
D009765	27.26274	2.71575	32.02381	6.07457	17.8925	0	0	0	10.7455	0	0.35492	27.26274	2.71575	32.02381	6.07457	0	0	17.8925	0	0
Healthy	33.51811	23.88145	0	0.53086	0	0	0	0	0	0	28.88519	33.51811	23.88145	0	0.53086	0	0	0	0	0.02777
Healthy	1.48738	1.69646	0.25825	0.14018	0	0	0	0.02327	0	0	52.91018	1.48738	1.69646	0.25825	0.14018	0	0	0	0	0
Healthy	0.04822	0	17.91367	0	0.00056	0	0	0	0	0	2.35035	0.04822	0	17.91367	0	0	0	0.00056	0	0
Healthy	13.11846	6.14942	0.33917	3.28984	0.0752	0	0	0.29385	0.0074	0	32.85601	13.11846	6.14942	0.33917	3.28984	0	0	0.0752	0	0.00033
Healthy	21.60129	8.50938	21.53076	0.15458	0.03504	0	0	0.38366	0	0	42.35973	21.60129	8.50938	21.53076	0.15458	0	0	0.03504	0	0
Healthy	23.54448	26.2798	16.64539	15.5125	0	0	0	0	0	0	11.61313	23.54448	26.2798	16.64539	15.5125	0	0	0	0	0
Healthy	10.31941	10.87567	0.03878	0	0.66904	0	0	0	0	0	50.91938	10.31941	10.87567	0.03878	0	0	0	0.66904	0	0
Healthy	20.52769	3.64434	7.92426	20.3588	8.43543	0	0	0.3619	0	0	13.74561	20.52769	3.64434	7.92426	20.3588	0	0	8.43543	0	0
Healthy	17.58457	9.90853	0.15993	6.75813	0.02349	2.45662	0.28523	0.74657	0	0	10.6792	17.58457	9.90853	0.15993	6.75813	2.45662	1.33638	0.02349	0.28523	0
Healthy	20.55581	17.46693	0.02782	1.30097	0.01035	0.55249	0	0.11645	0	0	32.5966	20.55581	17.46693	0.02782	1.30097	0.55249	0	0.01035	0	0.03814
Healthy	14.16387	8.00261	0	2.57401	0.2526	0.01061	0	0.05151	0	0	41.41169	14.16387	8.00261	0	2.57401	0.01061	0	0.2526	0	0.0318
D009765	47.0363	1.58821	18.62607	9.64205	7.91593	0.32909	0	0.01755	0	0	0.43912	47.0363	1.58821	18.62607	9.64205	0.32909	0	7.91593	0	2.42904
Healthy	0.81264	3.71995	0.02676	0.58795	0.67773	7.07393	0	0.33887	0	0	49.83387	0.81264	3.71995	0.02676	0.58795	7.07393	0	0.67773	0	0.02033
Healthy	23.68743	7.53769	1.9982	0.01057	3.59342	0	3.25716	0.61902	0.60874	0.01228	31.13092	23.68743	7.53769	1.9982	0.01057	0	0.29786	3.59342	3.25716	0.0289
Healthy	19.90362	7.64122	0.01022	1.31043	0	1.17807	1.39311	0	0	0	38.84589	19.90362	7.64122	0.01022	1.31043	1.17807	0.6609	0	1.39311	0
Healthy	1.61093	1.63475	0.2713	0.13911	0	0	0	0.03409	0	0	53.30752	1.61093	1.63475	0.2713	0.13911	0	0	0	0	0.00671
Healthy	5.1752	1.82983	0.41541	0.54553	0	0	0	0.29545	0	0	54.78862	5.1752	1.82983	0.41541	0.54553	0	0	0	0	0
Healthy	13.85288	1.74647	0	1.62282	0	0	0	0	0	1.14516	48.81389	13.85288	1.74647	0	1.62282	0	0	0	0	0
Healthy	0	0	17.84914	0	0	0	0	0.02548	0.08794	1.31521	50.2751	0	0	17.84914	0	0	0	0	0	0
Healthy	8.28516	9.93102	5.69384	6.39799	1.94935	1.16882	0	0.02936	0.00511	0	12.06082	8.28516	9.93102	5.69384	6.39799	1.16882	0	1.94935	0	0.14862
Healthy	20.62588	4.88015	0.8986	0.00693	0.57769	0	0	0.18937	0	0	46.22565	20.62588	4.88015	0.8986	0.00693	0	0	0.57769	0	0.08142
Healthy	1.72788	4.29583	0.34325	0.29465	0.21169	0	0	0.09325	0	0	73.73789	1.72788	4.29583	0.34325	0.29465	0	0	0.21169	0	0
Healthy	0.45797	19.16031	0.08636	0.1528	0.0005	0.3822	0	0.00428	0	0	70.65791	0.45797	19.16031	0.08636	0.1528	0.3822	0	0.0005	0	0
D009765	53.50349	9.43899	7.11235	8.59116	8.90733	0	0	0.31612	0.66786	0	0.2434	53.50349	9.43899	7.11235	8.59116	0	0	8.90733	0	0
Healthy	6.10625	16.90289	0.10382	1.05668	0	0	0	0	0	0	19.75469	6.10625	16.90289	0.10382	1.05668	0	0.03448	0	0	0
Healthy	2.60477	0.05921	0.18445	0	0	0	0	0	0	0	67.06407	2.60477	0.05921	0.18445	0	0	0	0	0	0
Healthy	21.15606	3.71731	0	0	0.01515	0	0	0.01484	0	0	34.71971	21.15606	3.71731	0	0	0	0	0.01515	0	0.13102
Healthy	4.06038	2.37679	0.20128	0.16178	0	0	0	0.01711	0	0	73.63161	4.06038	2.37679	0.20128	0.16178	0	0	0	0	0
Healthy	12.34772	10.57922	0.45177	0.9252	0.00299	0.18982	0	0.11758	0	0.0536	40.17864	12.34772	10.57922	0.45177	0.9252	0.18982	0.00211	0.00299	0	0.04906
Healthy	25.41698	2.07733	19.09358	24.1679	1.56759	14.1787	0	0	0	0	7.31907	25.41698	2.07733	19.09358	24.1679	14.1787	0.16863	1.56759	0	0
Healthy	32.64568	13.20697	0	10.7472	2.08154	0.88722	0	1.40381	0	0	17.16407	32.64568	13.20697	0	10.7472	0.88722	1.39634	2.08154	0	0.21559
Healthy	15.68244	2.25204	0	0.07138	0.07535	2.78702	0	0.01402	0	0	47.46587	15.68244	2.25204	0	0.07138	2.78702	0	0.07535	0	0
Healthy	41.85287	1.6468	0.16374	0	0.0526	0.09708	0	0.01084	0	0	19.22216	41.85287	1.6468	0.16374	0	0.09708	0	0.0526	0	0
Healthy	32.09044	4.24561	1.55549	0.13604	0.42674	3.40381	2.55659	1.27661	0.01837	0	17.94314	32.09044	4.24561	1.55549	0.13604	3.40381	0	0.42674	2.55659	0.04262
Healthy	48.7524	6.29313	0	1.91025	0	0.74691	1.0336	1.77936	0	0	24.47287	48.7524	6.29313	0	1.91025	0.74691	0.0917	0	1.0336	0
Healthy	43.61226	5.66544	0.20811	1.96927	0.33557	1.39047	0	1.16405	0	0	14.9615	43.61226	5.66544	0.20811	1.96927	1.39047	0.4225	0.33557	0	0.01636
Healthy	5.93259	1.88463	0.15633	0	0.14943	0	0	0.0236	0.03245	0	60.21116	5.93259	1.88463	0.15633	0	0	0	0.14943	0	0.06555
Healthy	9.28142	5.56492	1.48633	0.63776	0.28869	0.62769	0	0	0	0	46.03059	9.28142	5.56492	1.48633	0.63776	0.62769	0	0.28869	0	0.01332
Healthy	35.58038	0.45624	4.63678	30.6348	1.00147	0	0	0	0	0	14.72384	35.58038	0.45624	4.63678	30.6348	0	0	1.00147	0	0
Healthy	2.52501	0.07588	0.2633	0	0	0	0	0	0	0	65.74523	2.52501	0.07588	0.2633	0	0	0	0	0	0
Healthy	1.15002	0.87145	0	0.44183	0.12811	0	0	0.02447	0	0	85.13786	1.15002	0.87145	0	0.44183	0	0	0.12811	0	0
D009765	18.77942	5.64655	7.75249	0.02096	1.94065	1.2906	8.60447	2.38516	14.41098	0	6.71347	18.77942	5.64655	7.75249	0.02096	1.2906	0.84602	1.94065	8.60447	0.00674
D009765	16.44617	3.22506	0	8.38666	0	0.28502	0	2.69468	0	0	20.98713	16.44617	3.22506	0	8.38666	0.28502	5.50158	0	0	0
Healthy	33.95497	0.01143	4.79784	0	0	0	0	0.59055	0.02662	0.43821	38.52546	33.95497	0.01143	4.79784	0	0	0	0	0	0.08686
Healthy	0.63738	3.32049	1.12073	2.15063	0.74412	0.15443	0.09824	0.55308	0	0	15.62342	0.63738	3.32049	1.12073	2.15063	0.15443	0	0.74412	0.09824	0.02169
D009765	23.62083	9.26967	1.45576	0	4.99924	0.08556	3.71437	0	0	0	20.33592	23.62083	9.26967	1.45576	0	0.08556	0	4.99924	3.71437	0
Healthy	11.51499	15.50636	25.95041	3.55577	1.1403	1.23786	0	0	0	0	20.79256	11.51499	15.50636	25.95041	3.55577	1.23786	0.45781	1.1403	0	0
Healthy	22.82702	12.1741	13.96975	0	1.15815	0	0	0	0.17014	0	18.9049	22.82702	12.1741	13.96975	0	0	0	1.15815	0	0.17368
Healthy	2.44034	8.6583	0	0	0	0	0	0	0	0	59.8763	2.44034	8.6583	0	0	0	0	0	0	0.58729
Healthy	12.00207	0	0	0.05714	0	0	0	0	0	0.02398	45.56877	12.00207	0	0	0.05714	0	0	0	0	0
Healthy	23.03604	13.70086	15.12158	2.99911	0.62139	1.00434	0.66471	0.82741	0.53853	1.08085	8.68325	23.03604	13.70086	15.12158	2.99911	1.00434	2.15523	0.62139	0.66471	0
Healthy	2.48131	0.56733	0	0	0	0	0	0	0	0	36.03327	2.48131	0.56733	0	0	0	0	0	0	0
D009765	35.0537	10.26085	2.50994	0.16495	5.12184	4.20752	0	0.00359	0	0	1.85768	35.0537	10.26085	2.50994	0.16495	4.20752	0	5.12184	0	0.1814
Healthy	27.02578	18.01835	14.59216	9.65779	0	0	0	0	1.22869	0	12.29634	27.02578	18.01835	14.59216	9.65779	0	0	0	0	0.57896
Healthy	27.28254	10.1033	0.54909	2.08621	0	0.22312	0	0	0	0	20.75551	27.28254	10.1033	0.54909	2.08621	0.22312	0.84261	0	0	0
Healthy	19.70649	3.70751	0	0.35965	0.07387	0	0	0.07539	0	0	19.68008	19.70649	3.70751	0	0.35965	0	0	0.07387	0	0.03243
Healthy	10.06013	0.22045	0	0.05188	0	0	0	0	0	0	11.93753	10.06013	0.22045	0	0.05188	0	0	0	0	0
Healthy	7.84032	1.32487	0	0	0.24786	0	1.24016	0.16394	0	0.00789	57.41781	7.84032	1.32487	0	0	0	0	0.24786	1.24016	0
Healthy	30.39926	16.28303	1.27175	5.07992	1.12271	0.89717	0	0.0096	0	0.09266	18.9129	30.39926	16.28303	1.27175	5.07992	0.89717	0.14616	1.12271	0	0.03049
Healthy	8.4705	4.1026	0.01975	0.20533	0	0.03022	0.16495	0	0	0	59.55542	8.4705	4.1026	0.01975	0.20533	0.03022	0	0	0.16495	0
Healthy	17.08991	20.2023	3.55909	1.95437	0	0	0	0	0	0	29.25989	17.08991	20.2023	3.55909	1.95437	0	0	0	0	0
D009765	31.72712	3.15387	23.77655	8.22811	7.18014	5.71743	0	0	0.14424	0	2.95446	31.72712	3.15387	23.77655	8.22811	5.71743	0	7.18014	0	0
D009765	14.96826	12.16291	41.50611	2.20202	6.09422	0	5.85796	0.05016	0.32916	0.65795	6.65297	14.96826	12.16291	41.50611	2.20202	0	0	6.09422	5.85796	0
Healthy	40.99906	2.36589	0.77591	7.44835	0	0.08994	0	0.00516	0	0	17.55206	40.99906	2.36589	0.77591	7.44835	0.08994	0	0	0	0.08061
Healthy	36.68818	1.06455	4.19129	31.36991	0	0.53602	0	0.00038	0.25023	0	0.44312	36.68818	1.06455	4.19129	31.36991	0.53602	0	0	0	0.28128
Healthy	20.99256	4.50668	35.31827	2.27313	0.13765	0	0	0.42747	0	0	25.91495	20.99256	4.50668	35.31827	2.27313	0	0	0.13765	0	0.00536
Healthy	12.29415	1.46549	0.00694	0	0	0	0	0.52152	0	0	30.08043	12.29415	1.46549	0.00694	0	0	0	0	0	0
D009765	8.881	1.01089	0.08893	1.28899	0.02967	0	0.26211	0.54521	0.50863	0.8966	77.79695	8.881	1.01089	0.08893	1.28899	0	0.07925	0.02967	0.26211	0
Healthy	23.61941	18.7844	4.90922	15.773	0	0	0.22735	0.59808	0	0.08954	15.70664	23.61941	18.7844	4.90922	15.773	0	0	0	0.22735	0
Healthy	2.21262	0.86535	0	0	0	0	0	0	0	0	0.21928	2.21262	0.86535	0	0	0	0	0	0	0
Healthy	0.57429	3.34865	1.11718	2.08417	0.76007	0.14175	0.06436	0.55441	0	0	15.76668	0.57429	3.34865	1.11718	2.08417	0.14175	0	0.76007	0.06436	0.00727
Healthy	17.65966	16.38094	0.01724	0	0.99492	0	0	0	0	0	30.57538	17.65966	16.38094	0.01724	0	0	0	0.99492	0	0.01158
Healthy	5.33313	7.14021	20.61476	0	0.37033	2.17357	1.68488	1.93521	0	0	8.83754	5.33313	7.14021	20.61476	0	2.17357	0.19313	0.37033	1.68488	0
Healthy	18.82662	4.28588	0.00853	2.63643	0.11976	0.00195	5.18	0.30386	0.08878	0.21513	43.57307	18.82662	4.28588	0.00853	2.63643	0.00195	0	0.11976	5.18	0
Healthy	5.10605	1.86825	0.40995	0.53711	0	0	0	0.28005	0	0	55.76659	5.10605	1.86825	0.40995	0.53711	0	0	0	0	0
Healthy	12.23176	1.49187	0.07759	0	0.00101	0	0	0	0.07671	0.17638	80.88058	12.23176	1.49187	0.07759	0	0	0	0.00101	0	0.07558
Healthy	9.23465	3.20291	1.11226	1.16913	0.1036	2.21179	0.00354	0.06866	0	0	69.74923	9.23465	3.20291	1.11226	1.16913	2.21179	0	0.1036	0.00354	0.01151
Healthy	35.46094	3.65793	0	4.8755	0	0	0	0	0	0	20.2027	35.46094	3.65793	0	4.8755	0	0.2591	0	0	0
Healthy	22.1625	7.16871	0.52932	8.40088	0.06671	0.58929	3.13391	6.09462	0	0	23.30888	22.1625	7.16871	0.52932	8.40088	0.58929	0.55965	0.06671	3.13391	0
Healthy	3.72731	2.76316	0.79425	1.63956	0.57128	0	0	0.05215	0	0.13086	48.95995	3.72731	2.76316	0.79425	1.63956	0	0.01877	0.57128	0	0
Healthy	17.81643	6.12355	2.30612	12.09543	1.20861	0	0	0	0	0	41.04866	17.81643	6.12355	2.30612	12.09543	0	0	1.20861	0	0.02551
D009765	51.52023	0.54231	14.35285	2.84161	11.9708	0	0	0.05594	0.00094	0	0.12301	51.52023	0.54231	14.35285	2.84161	0	0	11.9708	0	0.79696
Healthy	0.63088	1.41377	0	0	0	0.51403	0	0	0	0	92.47901	0.63088	1.41377	0	0	0.51403	0	0	0	0
Healthy	10.51845	9.47927	0.2213	0	1.68149	0	0	0	0	0	50.04103	10.51845	9.47927	0.2213	0	0	0	1.68149	0	0
Healthy	13.35752	3.70077	0.40388	0	0	0	0	0	0	0	53.89702	13.35752	3.70077	0.40388	0	0	0	0	0	0
Healthy	0.97368	1.30408	0.07476	0.15118	0.4575	10.9796	10.5536	0	0	0	17.18971	0.97368	1.30408	0.07476	0.15118	10.9796	0	0.4575	10.5536	0
Healthy	13.71249	0.99318	7.01303	3.6023	1.29787	0.41073	0.21907	0	0.27204	0	8.13754	13.71249	0.99318	7.01303	3.6023	0.41073	35.1411	1.29787	0.21907	0.07147
Healthy	3.42316	2.22683	0.18279	0.16027	0	0	0	0.03171	0	0	76.4727	3.42316	2.22683	0.18279	0.16027	0	0	0	0	0
Healthy	5.991	4.41598	11.87695	1.34149	1.40458	0	0	0.00479	0	0	34.35816	5.991	4.41598	11.87695	1.34149	0	0.20364	1.40458	0	0.3909
Healthy	45.26128	5.01973	0.35995	11.9669	0	0	1.09308	0.00183	0.05158	0	11.28898	45.26128	5.01973	0.35995	11.9669	0	0.77591	0	1.09308	0.63577
Healthy	16.22241	15.35462	0.17093	0.00583	0	0.04302	0	0.30169	0	0	26.4724	16.22241	15.35462	0.17093	0.00583	0.04302	0	0	0	0.00074
Healthy	31.60651	3.95604	0	2.16458	0.20099	0	0	0	0	0	46.5794	31.60651	3.95604	0	2.16458	0	0	0.20099	0	0
Healthy	1.37921	0.37319	0	0.38422	0	0.58013	0	0	0	0	34.09888	1.37921	0.37319	0	0.38422	0.58013	0	0	0	0
Healthy	19.00012	4.38885	23.97566	9.96809	0.15105	0	0	0.52873	0	0	24.78537	19.00012	4.38885	23.97566	9.96809	0	0	0.15105	0	0
Healthy	2.28573	0.08765	0.21668	0	0	0	0	0	0	0	67.44375	2.28573	0.08765	0.21668	0	0	0	0	0	0
Healthy	5.53462	0.30864	0	0	0	0	0	0	0	0	55.8719	5.53462	0.30864	0	0	0	0	0	0	0
Healthy	5.55094	3.43977	4.35992	0.96525	0	0.13626	0	0	0	0	45.96753	5.55094	3.43977	4.35992	0.96525	0.13626	0.05586	0	0	0
Healthy	5.87078	4.53686	12.10771	1.32144	1.39849	0	0	0.00951	0	0	33.20945	5.87078	4.53686	12.10771	1.32144	0	0.19256	1.39849	0	0.48381
Healthy	31.25844	9.32541	1.25356	19.1706	0.14193	0	0	0.42068	0	0	22.93571	31.25844	9.32541	1.25356	19.1706	0	0	0.14193	0	0
Healthy	22.10185	11.91692	4.86123	4.35138	0	2.84965	0	0	0	0	15.63581	22.10185	11.91692	4.86123	4.35138	2.84965	3.32246	0	0	0
Healthy	69.83677	0.60719	0	1.04824	0	0	0	0	0	0	12.90064	69.83677	0.60719	0	1.04824	0	0.51583	0	0	0
Healthy	9.86494	2.71111	0.97922	5.37573	0	0	0	0.2238	0	0	59.80829	9.86494	2.71111	0.97922	5.37573	0	0	0	0	0
Healthy	2.41508	7.60448	0	0.31506	0.10079	0.56547	0	0	0	0	40.69162	2.41508	7.60448	0	0.31506	0.56547	0	0.10079	0	0.20142
Healthy	13.47566	2.51652	0	3.1519	0	0	0	0	0	0	29.84366	13.47566	2.51652	0	3.1519	0	0	0	0	0
D009765	21.19489	5.39921	3.57224	0.51542	0.59041	1.77954	0.3735	0.4381	0	11.6135	7.10742	21.19489	5.39921	3.57224	0.51542	1.77954	1.93009	0.59041	0.3735	0
Healthy	0	0	0	0	0	0	0	0	0	0	59.04823	0	0	0	0	0	0	0	0	0
D009765	19.49176	6.71893	0.08298	3.35916	0.1702	0.2097	0	1.04108	0	0	17.00638	19.49176	6.71893	0.08298	3.35916	0.2097	0	0.1702	0	0
Healthy	23.52533	7.21895	0.26336	0	0.03826	9.41662	0	2.52225	0	0	7.30625	23.52533	7.21895	0.26336	0	9.41662	2.26721	0.03826	0	0
Healthy	7.05512	10.90396	0.4665	0.28939	1.4619	12.8248	0	0.11142	0	0	23.27902	7.05512	10.90396	0.4665	0.28939	12.8248	0	1.4619	0	0.01452
Healthy	8.92962	7.33223	0	0	0.27304	0	0	0	0	0	50.52064	8.92962	7.33223	0	0	0	0	0.27304	0	0.10526
Healthy	14.21606	11.1243	0.43848	0.19556	0.17531	0.12452	0	0.01407	0.81426	0.06844	65.82313	14.21606	11.1243	0.43848	0.19556	0.12452	0	0.17531	0	0.00646
Healthy	10.11818	5.67516	5.27002	12.5183	0	0	0	0	0	0	46.01868	10.11818	5.67516	5.27002	12.5183	0	0	0	0	0
Healthy	21.72554	10.19668	18.07474	5.57867	0.80147	0.89803	0	0	0	0	15.64829	21.72554	10.19668	18.07474	5.57867	0.89803	1.5014	0.80147	0	0.02147
D009765	13.39498	9.23362	0.05101	0	2.0743	48.7575	0	0	2.01624	0	4.28005	13.39498	9.23362	0.05101	0	48.7575	0	2.0743	0	1.31762
D009765	27.08565	4.01558	0.21652	1.81984	0.17782	0	0	0.22676	0.45848	1.06444	23.8456	27.08565	4.01558	0.21652	1.81984	0	0	0.17782	0	0.01633
Healthy	17.04743	4.04494	0.36583	6.48206	0.24671	0.83565	0	0	0	0	48.82208	17.04743	4.04494	0.36583	6.48206	0.83565	0	0.24671	0	0
Healthy	3.17894	1.63362	0.47029	0	0.19978	0	0	0.05228	0	0	54.84655	3.17894	1.63362	0.47029	0	0	0	0.19978	0	0
Healthy	3.146	2.17296	0.58068	1.04293	0.18884	0	0	0.1265	0	0	56.29311	3.146	2.17296	0.58068	1.04293	0	0	0.18884	0	0
D009765	14.43757	27.2865	12.09247	0.09031	3.17235	3.20107	6.74821	1.36828	3.8635	0	1.8996	14.43757	27.2865	12.09247	0.09031	3.20107	0.40545	3.17235	6.74821	0.00063
Healthy	0.38565	3.79625	0.01535	1.92591	1.31902	44.3211	0	0.16035	0	0.00363	8.99093	0.38565	3.79625	0.01535	1.92591	44.3211	0	1.31902	0	0.14606
Healthy	0	0.00083	26.97598	0	0	0	0	0.04519	0.81725	0.13253	11.93338	0	0.00083	26.97598	0	0	0	0	0	0.009
Healthy	1.9568	5.85538	0	0.67142	0.04363	0.70898	0	0	0	0	41.5846	1.9568	5.85538	0	0.67142	0.70898	0	0.04363	0	0.08955
Healthy	29.47953	1.96996	0	0	0	0	0	1.18947	0	0	33.62024	29.47953	1.96996	0	0	0	3.11173	0	0	0
Healthy	30.42778	3.84376	0.2155	0.13804	0.03036	0	0	0.06983	0	0	18.24724	30.42778	3.84376	0.2155	0.13804	0	0.57844	0.03036	0	0
Healthy	5.01193	2.02787	49.76916	13.86325	1.65203	0.02197	0	0.15696	2.11979	0	5.84934	5.01193	2.02787	49.76916	13.86325	0.02197	9.29125	1.65203	0	0.02111
Healthy	0.00652	0	36.13241	0	0	0	0	0	0.00055	0	59.19358	0.00652	0	36.13241	0	0	0	0	0	0
Healthy	36.63131	0.36792	0	0	0	0	0	0	0	0	35.17321	36.63131	0.36792	0	0	0	0	0	0	0
D009765	51.12812	5.76586	5.84938	15.64182	1.87951	3.5287	0	0	0	0	0.12672	51.12812	5.76586	5.84938	15.64182	3.5287	0	1.87951	0	0.66285
Healthy	11.14217	4.02033	1.40857	0.16972	0.00854	0.05676	0	0.09256	0.00892	0.0824	6.47971	11.14217	4.02033	1.40857	0.16972	0.05676	0.0089	0.00854	0	0.01451
Healthy	43.84906	4.76086	0.32315	11.8786	0	0	1.1635	0	0.0431	0	11.8947	43.84906	4.76086	0.32315	11.8786	0	0.70044	0	1.1635	0.66136
Healthy	10.84159	46.506	0	2.35448	1.13592	0	0	0	0	0	10.11264	10.84159	46.506	0	2.35448	0	0	1.13592	0	1.88735
Healthy	24.305	0.44251	0	6.52159	0	0.07577	0	0	0	0	55.97027	24.305	0.44251	0	6.52159	0.07577	0	0	0	0
D009765	15.10866	8.83246	8.13954	4.90275	5.39087	8.9875	0	0	0	0	14.94739	15.10866	8.83246	8.13954	4.90275	8.9875	0	5.39087	0	0.19786
Healthy	4.2111	0.76597	0.39687	0.01905	0.58803	0	0	0	0	0	28.26705	4.2111	0.76597	0.39687	0.01905	0	0	0.58803	0	0
Healthy	21.03439	3.95924	0	0	0.00952	0	0	0.02457	0	0	34.89174	21.03439	3.95924	0	0	0	0	0.00952	0	0.17269
