p	Proteobacteria	Firmicutes	Bacteroidota	Firmicutes_A	Actinobacteriota	Firmicutes_C	Verrucomicrobiota	Methanobacteriota	Desulfobacterota
Healthy	-0.85873840937791	-1.79425445905734	1.83153801034881	1.01454111895657	-0.434990895787404	-0.342255943752624	-0.218474395596606	-5	-1.14697138528701
Healthy	1.05839185658905	0.122641769625536	-0.56125202309777	1.81661503022113	0.975725834319607	-5	-0.00261361560268669	-5	-5
Healthy	0.203449022518777	-0.755747626027527	1.93835333049894	0.865013906964962	-0.639539128949822	-5	-5	-5	-1.01269132626882
Healthy	0.444673910810744	-0.160232938160214	1.80841638682843	0.621185632512497	1.21581436433129	0.989411548229137	-5	-5	-5
Healthy	-0.726050107449991	0.439799901220617	1.13997348798446	1.77431582986575	0.115287582718438	0.199894984410582	-1.58037463911226	0.218461978766149	-5
Healthy	0.0757512871934784	-0.325074592106928	1.54122030352031	0.965797447276839	-0.64160824135098	-5	0.270571704722232	0.90543588720795	-0.210553262965207
Healthy	-0.72268882082597	-0.129479049987236	1.65610510465173	1.53574792951024	0.514227558292393	0.193238724856175	-5	-5	-5
D007234	1.71513028642901	-5	-5	-5	-5	-5	-5	-5	-5
D007234	1.99321091210841	0.140847301261672	-5	-5	-1.05714899344566	-5	-5	-5	-5
D007234	1.85140946913687	0.142777279338684	-2.09312646527793	0.72041401479397	0.346006574523766	0.389704629999146	-5	-5	-5
Healthy	1.22703810241191	0.457819850233151	1.43020829188859	1.42429183666506	0.473854687320379	0.355229239344489	0.74214280216862	-5	-5
Healthy	-1.12871902714203	-0.914780798955058	1.54534163593735	1.67799618346722	0.461473014609391	0.528402437953617	-5	-5	-5
D007234	1.96237364544121	-0.860026512015541	-5	-5	-1.24336389175415	-5	-5	-5	-5
Healthy	-0.738404101517821	-1.64474009447262	1.68276546649112	1.24294423094552	-5	-5	0.766518433276982	-5	-0.620730750526353
Healthy	1.37284206856713	0.723240523942585	1.31879954964682	1.39068469769986	1.12039984951751	0.300401986291505	0.218672021321886	-0.0989123766000521	-1.34208406317004
Healthy	0.360097118092937	0.357746230812359	1.10018575831703	1.74657558857697	0.53865038202935	0.685564402798436	-5	-5	-5
Healthy	0.815012931185225	-0.686533527341765	1.46493613135373	0.980759885403075	-5	0.0206802558933171	1.30050874675137	-0.265824467335679	-0.142926951366022
D007234	1.90861223244334	-1.5332806283184	-5	-0.0490318371116731	0.104947792637592	0.178245797090961	-5	-5	-5
Healthy	-0.922268820347608	-0.304833651694131	1.53452703352098	1.51828844302872	1.00064358161876	-0.00398770325701485	-1.06108018775523	-5	-5
Healthy	-0.370671966205419	-5	1.82816042852175	1.2530225910835	-5	0.518154511204127	-0.392009141452825	-5	-5
Healthy	-0.940058111938045	-1.68423950933427	1.66400962634643	1.49457893733627	-0.863279432843593	-0.673787070000569	-1.06429125215734	-5	-0.606021397348228
Healthy	-5	-0.343039817257151	1.32580085766442	1.23249066332249	-0.460986665060487	0.498321583350671	1.68812791006636	-5	-5
Healthy	-0.366460851072662	0.213326465927919	1.5976974889962	1.45331895172898	-0.153199145720522	0.437461993994192	-1.60101893334187	-0.194444773478747	-1.10941133229451
Healthy	-0.581831337932134	-0.74816718137136	1.23406807784543	1.6692777272002	1.40218999749517	-0.515017218069439	-5	-5	-5
Healthy	-0.713813083058962	-2.57348873863542	1.54045311221858	1.41584323663477	0.58524070644868	-5	0.21827810816134	-0.743787541434838	-1.12644690648638
Healthy	-2.69680394257951	-1.43004118190341	1.75494401147996	1.14208867249843	0.808918910248124	-5	-5	-1.09044397075882	-0.986109939671561
D007234	1.88402047378431	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.63423738469509	-0.885355661097721	1.73383868006618	1.34703771974518	0.221041079911257	-0.292634245878962	-5	-5	-1.09642170633695
Healthy	-0.0375264840391993	-0.529736553034922	1.39257878095216	1.31590278328254	1.49047300321867	0.864685475789771	-5	-5	-1.81958736716168
D007234	1.86375354990774	0.128473583587502	-5	-0.327994554977048	-0.507882451331469	0.682510596660101	-5	-5	-5
Healthy	0.186603221792895	-1.75300930075845	1.80276490252706	1.15252805770336	-0.149347639409046	-0.378107411682646	-5	-0.726790316599669	-0.812310106474816
Healthy	0.345965457886395	-0.235375602149019	1.71674927159693	1.41352674519155	-0.461866312749331	0.310272618148416	-0.200824927584771	-1.15187248943213	-1.03123695180275
Healthy	-0.530929447968747	0.0460149508590078	1.60700891850696	1.49291480841852	-0.0724294764176733	-1.30980391997149	-1.40693556834128	-5	-5
D007234	1.93323524293829	0.762213266928569	-5	-5	-0.181760906146476	0.185703604198454	-5	-5	-5
Healthy	-0.341635584312928	-0.0923522065996969	1.68234249553608	1.24379901006385	0.832641096937677	1.01190185253402	0.066516004090991	-5	-2.91721462968355
Healthy	-1.95233580539844	-1.03607057797344	1.74789136461658	1.36879806566854	0.86538413158512	-3.09691001300806	-1.13948232253825	-0.276363751548955	-1.23121395309199
D007234	1.81176758081369	-5	-5	-5	0.659457905959164	-5	-5	-5	-5
Healthy	-0.410351941664339	-0.787785752580059	1.8861083213193	0.821560034071882	-0.0965030526641406	0.811446306956656	-5	-5	-1.10325338439259
Healthy	1.44376241272035	0.544609953795997	0.99071082098826	-0.476006549684386	1.7307742839286	0.507533402997219	-5	-5	-0.879919865870547
Healthy	-5	0.0811419957201863	1.67301168634137	1.40206921838821	-0.00137890022102005	-5	0.667019376016459	0.459439232218998	-1.05276239212933
D007234	1.90720174160746	-0.0696980555782436	-5	-5	-5	-5	-5	-5	-5
D007234	1.72372355484221	1.61859433619971	-5	-0.147014030968532	0.48936918209918	-5	-5	-5	-5
Healthy	-0.334353353872193	-0.612450012609767	1.94992288585992	0.409082289950506	-0.81121208736253	0.52617250731388	-5	-5	-2.59859945921846
Healthy	0.108751013469221	-0.844208647642382	1.72528954175842	1.55513678720214	-1.78727984558216	-5	-1.60572347323218	-5	-1.43168091490489
D007234	1.85128991038243	0.700408608100957	-5	-0.143784835188786	-1.11305829401658	0.142564650457128	-5	-5	-5
Healthy	0.806654046147595	-0.564028293600659	1.4858262973554	0.995212978021115	-5	0.00220927298801476	1.30133411244408	-0.262688062010375	-0.183427303973897
