o	Bacteroidales	Lachnospirales	Oscillospirales	Actinomycetales	Lactobacillales	Selenomonadales	Coriobacteriales	Enterobacterales	Desulfovibrionales	Pseudomonadales	Peptostreptococcales	Methanobacteriales	Acidaminococcales
Healthy	1.12037516310008	0.0663632022584946	0.753748472904391	-1.78251605578609	-5	-5	0.157293537030964	0.986454180272142	-0.154722075245364	-5	-5	-5	-5
Healthy	1.85877539268605	1.10768268611987	0.0290345782176112	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	1.76248500077786	0.72205859495003	0.443518011668105	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	0.753566207633706	-0.348131049753465	0.440548593956687	0.256147450368233	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	1.67342301960269	1.30706473841213	0.788509872400148	-0.0907114758377493	-0.169411331314856	-5	-5	0.336485750711003	-5	-5	-5	-5	0.529330239490453
Healthy	1.84256505913163	0.684733184327011	0.408058405844381	-0.419576861588155	-5	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	1.49356483387704	1.1009571356995	0.459184338446896	-0.301507982535077	-1.35931984672233	-5	-0.249483891283201	-1.01587791713889	-1.35076252765039	-5	-5	-5	-5
Healthy	1.71315322488589	1.11779014983648	1.20263541825529	-0.0859743483036714	-1.21424320003736	-5	0.113150877468074	-1.04619200233469	-3.2839966563652	-5	-0.922305134113414	-5	-5
Healthy	1.76828215948572	1.24008775247789	1.05717296444977	-5	-1.71579493229821	-0.517312174147043	-1.91470942176993	-5	-0.744076541267099	-5	-5	-5	-5
Healthy	1.40912732608835	1.18079945560002	1.26886639176701	1.34327168575716	-1.07083661679494	-5	0.146202479780109	-5	-5	-5	-5	-5	-5
Healthy	1.751024304759	1.18128750658172	0.840885492996785	-0.142643376767697	-1.28291227507298	-5	-0.576737737901385	-5	-1.83564714421556	-5	-5	-0.593527949534324	-5
Healthy	1.3636531513135	0.975087453435228	1.31081179804747	1.07310257186231	1.1269644402306	-5	-5	-5	-5	-5	-5	-5	-5
Healthy	1.83153801034881	0.37159239488545	0.902419570561906	-5	-1.79425445905734	-5	-0.434990895787404	-1.14333151638846	-1.14697138528701	-1.41612140150137	-5	-5	-5
Healthy	-0.56125202309777	1.4491178545749	1.57321704242274	0.9318081145476	0.122641769625536	-5	-0.0813721327862228	0.375840952758352	-5	0.957278688671952	-5	-5	-5
Healthy	1.93835333049894	0.585977063678932	0.540818562812956	-0.639539128949822	-0.917789283398757	-5	-5	0.177438375806556	-1.01269132626882	-5	-5	-5	-5
Healthy	1.80841638682843	0.612949069045181	-1.1049091030656	1.10762472634163	-0.217821304876339	-5	0.559244509416333	0.415347348285907	-5	-0.740406121114051	-5	-5	-5
Healthy	1.13997348798446	1.54045411318771	1.38536135539875	0.0496753420608595	0.173431036581284	-5	-0.810650075660802	-0.862424366317959	-5	-5	-0.359617955290432	0.218461978766149	0.199894984410582
Healthy	1.54122030352031	0.730895274398542	0.586731295549415	-0.768046430801019	-0.544591684757714	-5	-1.23912536194781	-5	-0.210553262965207	-5	-5	0.90543588720795	-5
Healthy	1.65610510465173	1.41598657678453	0.906572060952197	0.490921572614853	-1.10773839308446	-5	-0.767664722914346	-0.880216413838302	-5	-5	-0.67623241670322	-5	-5
Healthy	1.43020829188859	1.29766532782319	0.806758421702446	0.393975096445539	0.334067539936592	-5	-0.300812902691751	1.22703810241191	-5	-5	-0.509002705984747	-5	0.355229239344489
Healthy	1.54534163593735	1.31259663335331	1.40337158409763	-0.486076911675506	-1.03706271157	-5	0.409194025170417	-1.30381841283148	-5	-5	0.252428233716468	-5	-5
D037841	1.46365801838348	1.52679388528829	1.13184826011057	0.371078950499936	-0.673602686652887	-5	-0.29654525468797	-0.751536282448968	-1.02613355016462	-5	-0.365653743293909	-5	-2.93930215964639
Healthy	1.68276546649112	0.792191307435894	1.0530434679177	-5	-5	-5	-5	-1.59142087459133	-0.620730750526353	-5	-5	-5	-5
