group	Bacteroidaceae	Enterobacteriaceae	Dialisteraceae	Veillonellaceae	Oscillospiraceae	Erysipelatoclostridiaceae		Rikenellaceae	Acutalibacteraceae	Dialisteraceae	Barnesiellaceae	Methanobacteriaceae	Coriobacteriaceae	Oscillospiraceae	Desulfovibrionaceae	Eggerthellaceae	Coprobacteraceae
Healthy	9.03133	16.2661	0	3.20071	0	0		0	0.00014	0	0	0	0.12	0	0.13184	0	0
Healthy	26.41612	0	0	0	0.33091	0.22036		8.31905	1.82773	0	3.61045	2.8803	0	0.33091	0.08855	0	0.16812
Healthy	85.81859	0.37736	3.32443	0.03427	0.18962	0		0	0.35951	3.32443	0	0	0.15444	0.18962	0.00251	0	0
Healthy	36.05486	0	0	0	0.12367	0		11.63986	0.02581	0	0	0	0.01631	0.12367	0.037	0	0
Healthy	18.8565	6.37382	0	0	0.66922	0		8.94078	1.03234	0	0.67267	0.54614	0	0.66922	0.65549	0	0.05326
Healthy	24.95525	0	0	0	1.66202	0		16.12624	0.20168	0	3.37828	0	0.102	1.66202	0.05737	0	0
Healthy	31.29799	0	0.59117	0	0.0234	0		0.23838	0.15905	0.59117	4.44353	15.6428	0.06941	0.0234	0.02658	0	0.22964
Healthy	31.97894	16.4109	0	0	0	0		3.02671	2.6742	0	4.1818	0.32705	0	0	0	0	0.15438
Healthy	73.8556	1.67377	0	0	0.96798	0		1.50364	0.15275	0	2.56053	0	0	0.96798	0.09831	0	0
Healthy	11.09524	0	4.25365	0.875	0	0		0	6.37254	4.25365	0.46476	3.21156	0	0	0	0	0
Healthy	55.62337	0.02833	6.31044	0.22337	0.69402	0		8.44097	0.9626	6.31044	6.22598	0	0.19064	0.69402	0.10029	0	0
Healthy	7.9325	1.75061	2.39552	0	0	2.57172		1.61128	6.10013	2.39552	0	1.04718	2.82554	0	0	0	0
Healthy	35.33617	6.48387	0	0.00473	0.00299	0		5.75588	1.98987	0	0	0	1.73487	0.00299	0.03635	0	0
D003424	66.48931	0	0.16576	0	0.565	0		5.53323	0	0.16576	0	0	0.03164	0.565	0	0	0
Healthy	55.27272	0	6.35013	0	1.74357	0		11.63891	0.6039	6.35013	0	0	0	1.74357	0	0	0
Healthy	48.31908	0	0	0	0.02547	0		22.20962	0	0	1.7863	0	0.31594	0.02547	0.20315	0	0
Healthy	21.6074	12.8542	11.5958	0	0	0		5.79551	1.94348	11.5958	0.89589	0.60936	0	0	0	0	0
Healthy	23.01477	0.00825	0.22524	0	0.04391	0		20.6628	11.74687	0.22524	0	0.01981	0.14616	0.04391	0.0924	0.06556	0.04067
Healthy	50.28392	0.00409	0	0.01956	0.00521	0.00715		6.05686	0	0	0	0	0	0.00521	0	0.00368	0
Healthy	12.62376	0.02165	4.06746	0.01217	0.52013	0.06233		5.4983	4.72778	4.06746	0	0	0	0.52013	0.06614	0.20396	0
Healthy	21.2982	0	0	0	0.01037	0		4.42938	0.10521	0	3.89693	0	0.73212	0.01037	0.28312	0.3762	0.13753
Healthy	23.61452	0	0	0	0.14019	0		17.14519	2.58589	0	9.5509	0.54243	0.38165	0.14019	0	0.06226	0.03883
Healthy	53.80599	0	4.47702	0.29998	0.1008	0		6.97937	0	4.47702	1.10706	0	0	0.1008	0.01952	0	0
Healthy	52.2867	0	0	0	0.0164	0		11.84445	0	0	0	0	0	0.0164	0	0	0
Healthy	75.92255	1.37665	0	0	0.13021	0		0.51449	0	0	0	0	0.3144	0.13021	0.04377	0.00026	0
Healthy	12.59197	0.04487	0	0	0	0		23.13099	0.08852	0	1.61717	0	0.14095	0	0.32464	0.09067	0
Healthy	36.92951	0.36631	2.48965	0.20284	0	0		28.97505	2.07785	2.48965	2.7737	0	0	0	0.00721	0	0
Healthy	29.16371	2.12948	0.14204	0.00824	0.13401	0		8.8283	0.02277	0.14204	2.84294	0.00715	0.71644	0.13401	0.08954	0.29137	0.22887
Healthy	50.26182	1.06216	9.30256	0	1.78574	0		2.49326	0.57939	9.30256	0	0	0.68097	1.78574	0.17895	0.01047	0
Healthy	25.14316	0	0.26986	0.00209	0.01682	0		7.99269	0.04283	0.26986	0.51114	0.05897	0.35797	0.01682	0.14804	0.05276	0
Healthy	2.1963	0	0	0	0	1.12381		0	32.4931	0	0	2.07917	3.68311	0	0	0	0
D003424	45.71183	0.0193	0.03827	0	0.02974	0		3.17621	0	0.03827	2.932	0	0.10731	0.02974	0	0	0.04675
Healthy	85.81464	0.42965	3.34381	0.02362	0.20572	0		0	0.37289	3.34381	0	0	0.14868	0.20572	0	0	0
Healthy	51.51814	0	1.41269	0	0	0		3.7531	3.02639	1.41269	0	0	0.23323	0	0	0	0
Healthy	62.86016	0	0	0	0.15639	0		0.63812	0	0	0	0	0	0.15639	0	0.51129	0.21743
Healthy	49.18147	0	0	0	2.66772	0		0.89891	0	0	0	0	0	2.66772	0	0.7355	0.24355
Healthy	37.50399	0.04705	5.34871	0.028	0.09915	0		0.87139	2.56626	5.34871	1.24513	0	0	0.09915	0	0.03641	0
Healthy	31.8271	0	0	0	0.2508	0		24.43499	0.27637	0	1.10334	0	0.07736	0.2508	0.55153	0	0.0745
Healthy	56.57897	0	4.62199	0	0.1223	0		2.45781	0	4.62199	3.76568	0	0.03571	0.1223	0	0	0
Healthy	13.35822	0.04178	0	0	0.18747	0		17.06665	2.04324	0	6.29834	0	0	0.18747	1.61864	0.14686	0
Healthy	1.71228	78.76377	0	0	0.05913	0.00448		0.1997	0.05402	0	0	0	1.46902	0.05913	0	0.00802	0
Healthy	63.27551	1.82617	0	0.008	0.04607	0.14062		0	1.5587	0	0	0	0	0.04607	0	0.01042	0
Healthy	50.98894	2.4214	5.07885	2.80187	0.1339	0		0	0.07901	5.07885	0	0	0	0.1339	0	0	0
Healthy	17.48899	0	0	0	0	0		0.23084	11.9056	0	1.08835	0	3.88243	0	0	0	0
D003424	50.20182	0	0	0	0.11485	0		5.3506	0.17874	0	0	0	0.15058	0.11485	0.00654	0	0
Healthy	6.53995	0	1.99584	0	0	0.00243		0.61624	17.15839	1.99584	0	0	0.00219	0	0	0.21516	0
Healthy	67.63594	0	0	0	0	0		0.03482	0.55983	0	0	0	0.10638	0	0	0	0.42578
Healthy	25.70038	0	0	0	1.53569	0		15.23831	3.29959	0	0.10558	0.57278	0	1.53569	0.04203	0	0.16582
Healthy	12.94768	0.71302	0	0	0	0.55065		2.87028	0.47797	0	0.16735	0.1514	0.07817	0	0.03232	0	0.02847
Healthy	37.01449	1.00992	0.03571	0	2.15327	0		20.00155	0.68619	0.03571	2.88154	0	0.96563	2.15327	0.40307	0.00975	0.081
