group	Oscillospirales	Enterobacterales	Pseudomonadales	Peptostreptococcales		Bacteroidales	Veillonellales	Verrucomicrobiales	Burkholderiales	Methanobacteriales	Desulfovibrionales	
Healthy	8.13833	0	0	0		34.70987	0	1.65301	0.19327	0.18038	0.07473	
Healthy	1.76508	0	0	0		81.72666	0	0	0	0	0	
Healthy	10.02552	0	0	0		56.87795	0	0	0.002	0.08119	0.10324	
D001172	14.96112	6.14383	0	0.05607		26.95462	0.04765	0	12.38131	0	0	
Healthy	6.22563	0	0	0		54.17995	0	0	4.30761	0	0.08008	
Healthy	6.13736	0.60422	0	0		73.74703	2.62063	0	0.00901	0	0.04112	
Healthy	0.04915	0.91721	0	0		24.69327	7.29344	0	0	0	0.01514	
Healthy	4.37566	0.14705	0	0		70.62031	2.80683	0.09043	0.24334	0.04311	0.07434	
Healthy	7.50643	0.0781	0	0		63.4987	0.41868	0	1.45864	0.18758	0.15405	
Healthy	11.4141	0.18304	0.00754	0.31151		42.29907	0.00036	0.98179	0.09001	0	0.01399	
Healthy	4.10247	0.09665	0	0		52.08938	0	0.62975	2.12136	0.07048	0.09305	
Healthy	1.84406	0	0	0		28.91364	6.52691	0	0	0	0	
Healthy	11.91721	0.1512	0	0.02658		40.44836	0.04899	0.03917	0.14328	0	0	
Healthy	8.03279	0	0	0		29.45115	0	23.484	0	2.20838	0.71462	
Healthy	5.15565	0.13388	0	0		59.94951	7.61911	0.90006	0.11188	0.91984	0.36652	
Healthy	4.64936	0.09389	0	0		69.31403	2.84921	0.11704	0.26229	0.06314	0.08906	
Healthy	11.54881	0	0	0		51.86404	0	0	0.04924	0	0	
Healthy	0.51711	0.02213	0	0.42534		87.79754	0.83182	0	0	0	0	
Healthy	8.19907	0.42971	0	0		48.12186	10.27783	1.1655	0.02565	0	0.0012	
Healthy	5.69042	1.81989	0	0.14632		52.10296	1.84818	0	0.05455	0	0	
Healthy	24.99125	0	0	0		3.58455	9.46156	0	0	0	0	
Healthy	9.83018	0.01115	0	0.01345		55.96175	0	0.07252	0	0.52921	0.05871	
Healthy	3.71621	0.09586	0	0		76.93222	6.47807	0	0.29286	0	0.07883	
Healthy	0.00382	16.45876	0.41286	0		9.78837	3.20071	0	10.9103	0	0.13184	
Healthy	12.17061	0	0	0		47.09899	0	4.64535	0	2.8803	0.08855	
Healthy	2.43832	0.02321	0	0		68.68363	6.41941	0	0.21457	0	0	
Healthy	1.45347	0.37736	0	0		89.10926	3.3587	0	0.0857	0	0.00251	
Healthy	8.73797	0.0328	0	0		68.74356	0	0	0.04583	0	1.66613	
