group	Oscillospirales	Enterobacterales	Pseudomonadales	Peptostreptococcales		Bacteroidales	Veillonellales	Verrucomicrobiales	Burkholderiales	Methanobacteriales	Desulfovibrionales	
Healthy	4.52072	0.08528	0.481	0		59.93208	0	0	0	0	0.04218	
Healthy	2.04728	0	0	0		15.04625	0	0	0.00815	9.90092	0	
Healthy	7.47475	0.01762	0	0		69.30433	0.33659	0.5671	0.00319	0	0.03744	
Healthy	2.47899	0.04563	0	0.41483		52.23975	4.70232	0	0.00148	0.07596	0	
Healthy	1.27455	0	0	0		10.96182	33.3458	3.67965	0	0	0	
Healthy	11.99569	0.18445	0.00321	0.03891		71.17487	0.07473	0.12571	0.02092	0	0.01602	
Healthy	0.00036	0.00139	25.9182	2.32124		0.00043	0.09928	0	0	0	0	
Healthy	2.86728	0	0	0		61.74895	0.24793	0.08502	0	0.04649	0.04003	
Healthy	3.96671	0	0	0		87.02538	0.88788	0	0.0663	0	0	
Healthy	8.18138	0.4149	0	0.05366		40.00243	7.97666	4.00273	0.00395	0.10475	0.08237	
Healthy	4.55652	0.04719	0	0		69.9345	0	0	3.22159	0.03287	1.39254	
Healthy	8.168	0.20521	0	0.0746		58.49001	0.65327	0.07021	0.00149	0	0.00109	
Healthy	19.44043	3.31039	0	0		1.69901	0	0	0	4.2977	0	
D001172	11.2992	5.73777	0.52554	0.00519		70.89736	0.6136	0.00103	0.00677	0	0	
Healthy	0.01219	13.2784	1.0204	0.00107		7.07781	1.16941	0	0	0	0	
Healthy	1.09794	31.27944	0.00233	0.01723		13.19119	0.59542	0	0.23838	0	0	
Healthy	16.05238	0	0	0.0398		18.15599	0	6.12412	0.09712	13.9454	0	
Healthy	0	1.46156	0.04	0		21.09078	0.1108	0	0	0	0	
Healthy	1.41979	0.50987	0	0		89.23862	3.38024	0	0.10605	0	0.005	
Healthy	31.70482	0	0	0		31.09353	3.74943	0	0.02116	0.00137	0	
Healthy	4.08956	0	0	0		34.03256	0	0.02874	0.06265	0	0.00559	
Healthy	4.18418	0	0	0		41.88531	5.50762	22.7766	0.05143	0.04071	0.13861	
Healthy	8.38872	0	0	0		43.90234	11.6699	0.16635	0.50874	0	0.12448	
Healthy	9.63598	0.60739	0	0		45.9117	3.08845	0.16423	0.0514	0	0.6342	
Healthy	11.22817	0.14623	0	0.45923		31.85082	0.08348	0.52681	0.04211	0	0.00518	
Healthy	4.03256	0.37948	0	0		44.18122	0	0.30671	2.08788	0	0.05311	
Healthy	15.24465	0.47996	0	0		57.07879	1.08517	0	0	0	0.14253	
Healthy	13.25753	0.00187	0	0		60.22977	1.78806	0.12189	3.9968	0	0.11505	
Healthy	0	0	0	0		0.02398	0	0	0	0	0	
Healthy	7.08714	0	0	0		69.96888	0	0	3.33516	0.02599	1.37696	
Healthy	11.33384	0.16564	0.14744	0.14669		19.97276	0.01139	0.00197	0.00249	1.17411	0	
Healthy	9.33311	0.3293	0	0		44.66737	1.40664	1.76195	0	0	0	
Healthy	1.67831	0.21199	0	0		0.98503	2.63906	71.3874	1.72608	0	0	
Healthy	1.48573	0.01502	0.1245	0		78.84515	0	0	0	0	0.04529	
Healthy	1.61705	0	0	0		78.88875	3.1302	0	0.27294	0	0	
Healthy	4.52117	0	0	0		70.99113	0	0	3.17425	0.00549	1.37421	
Healthy	0.85596	0.08678	0.01653	0		85.13439	0.14528	0	0.00139	0	0	
Healthy	5.7986	0.58696	0	0.093		32.53546	0.1847	0	0.74375	0	0	
Healthy	3.87158	2.5774	0	0		65.52501	4.77156	0	1.2262	0	0.01917	
Healthy	18.74304	0	0	0		6.72201	2.19395	5.72931	0.15351	0	0	
Healthy	6.7791	0.65567	0	0		82.77682	0.14577	0	0.20969	0	0	
Healthy	12.331	0	0	0.0003		34.20589	0	3.0857	0.966	0	0.07116	
D001172	6.74767	0.56831	0	0.00974		66.45364	0.03613	0.00451	0.0233	0	0.02639	
Healthy	2.57526	0.64983	0	0		48.8312	0	0	0.2026	0	0	
Healthy	24.59844	0.19164	0.76901	0		17.981	13.8864	0	0	0	0	
Healthy	0	0	0	0		0	0	0	0	0	0	
Healthy	6.89054	0	0	0		80.79805	0.01108	0	4.28173	0	0	
Healthy	16.85318	0	0	0.13814		13.88629	26.32203	0	0.08663	0	0.12627	
Healthy	7.39466	0.04543	0.04662	0		70.32917	0.37289	0.52822	0.02131	0	0.0558	
Healthy	0.00281	7.80416	0	0		5.27426	0.74905	0	2.11858	0	0	
Healthy	6.32497	0.13705	0	0		66.74774	0	0.57433	0.02559	0	0.0852	
Healthy	2.51797	3.8309	0	0		20.72115	2.39409	0	0	0	0	
Healthy	0.84213	2.31736	0	0		71.95646	0	0	0.33648	0	0.05012	
Healthy	0.00415	68.4318	16.1313	0		3.44375	0.00334	0	0	0	0	
Healthy	15.96009	0.29765	0.02427	0.13193		46.24275	0.01859	0.03598	0.3352	0	0.01371	
Healthy	11.15349	0.08711	0	0		53.49314	0	0.97957	0.46773	0	0.27229	
Healthy	3.70422	1.8811	0	0		86.56075	0	0	0.10956	0	0.09083	
Healthy	3.95306	2.63707	0	0		66.05194	4.82266	0	1.34498	0	0.0077	
Healthy	8.76835	1.01719	0	0		53.36043	0.56034	14.0475	2.49682	0.7039	0.02636	
Healthy	18.02951	0.16837	0	0.08095		17.23018	3.21089	3.3765	0.2307	1.12322	0.04644	
Healthy	18.05578	0.38544	0	0		54.258	0	1.18706	6.7556	0	0.02754	
Healthy	5.15497	0	0	0		45.94503	0	0.47066	0.11116	0	0.02239	
Healthy	2.50024	0.37765	0	0		66.47609	8.19234	0	0.25885	0	0.02395	
Healthy	4.07522	0.48435	0	0.06926		70.42368	0.24402	0	0	0	0.01986	
Healthy	31.17523	5.96798	0	0		10.05104	0	0	0	1.17601	0	
Healthy	3.47442	0.03274	0	0		68.90809	4.17101	0.00134	0.21604	0	0.1941	
Healthy	19.82963	1.0772	0.11821	0.09393		13.65642	0.02147	0.26842	0.36818	0.47405	0.21533	
Healthy	19.66342	0	0	0		46.23034	0	1.44349	0	0	0.07915	
Healthy	10.75037	8.16134	0	0.09824		25.84104	1.76353	0.92004	0.0513	0	0	
D001172	11.86579	0.43631	0.04141	0.00329		61.16412	0	0.25615	0.01364	0	0.02427	
Healthy	18.73818	0.123	0	0		31.55951	0	8.79212	10.88527	1.4988	0.28378	
Healthy	0.00771	0.11866	4.50772	0.0046		23.31875	0.99936	0	0	0	0.19335	
Healthy	3.67737	1.59267	0	0		86.2202	0	0	0.07533	0	0.10931	
Healthy	0.06697	1.05383	0	0		67.27463	10.84798	0	0	0	0	
Healthy	34.19566	0	0	0		27.90948	4.65646	0	0.05299	0	0	
Healthy	9.35266	12.2714	0	0		9.46394	0.02915	0	0	3.54756	0.01852	
Healthy	9.80264	0.04028	0.13777	0		78.05327	0	0	0	0	0.04748	
Healthy	0.01553	0.13135	0	0.11519		2.87834	1.99799	1.48707	0.20286	0	0	
Healthy	5.32973	0.90234	0.09987	0.06602		69.21504	0.06795	0.50904	0.11886	0	0	
Healthy	49.98917	0	0	0		13.70827	0	0	0.19324	0	0	
Healthy	1.03365	0	0	0		73.12243	6.98796	0	0.06334	0	0	
Healthy	0	0	0	0		85.37583	0	0	0	0	0	
Healthy	0.02319	0.22094	0	0.00435		45.45948	7.36852	1.25518	0	0	0	
Healthy	1.54391	4.26379	0	0		91.68174	0	0.56621	0	0	0	
Healthy	2.83547	0.01829	0	0		84.63343	1.19992	0	0	0	0	
Healthy	9.14056	0	0	0		12.57045	4.22462	1.62563	0	0	0	
Healthy	3.12526	0	0	0		75.06792	4.85572	0	0.57478	0	0	
Healthy	14.07522	0.05201	0.00691	0.00207		63.95996	0.00232	0.04037	0.0407	0	0.0251	
Healthy	23.10215	0.22091	0	0.00811		18.19772	0	0.51118	0.03821	2.2661	0.05541	
Healthy	8.39525	0	0	0		29.35006	6.85703	0	0	0	0	
Healthy	14.07441	0.02926	0	0		44.72224	0	1.63292	5.39624	0.36043	0.01043	
Healthy	18.40296	0.92446	0	0		0	8.44491	0	0	4.13628	0	
Healthy	1.86508	0.11185	0	0		68.88568	6.11977	0	0.14325	0	0	
Healthy	7.62866	0	0	0		79.02282	0.02344	0	4.8789	0	0	
Healthy	1.08906	0.00983	0.17964	0.65785		42.13742	0.00859	4.81591	0.68029	0	0.18363	
Healthy	4.04716	0	0	0		68.1142	6.24722	0	0.14996	0	0	
Healthy	1.80443	0.01973	0	0		70.65038	6.00485	0	0.17531	0	0	
Healthy	4.46338	0	0	0		39.54577	0.00073	0	0.07111	0.14722	0	
Healthy	2.40004	0	0	0		27.5197	0	2.15259	0	0	0	
Healthy	8.03068	0.32116	0.04243	0.1086		53.1593	0.31742	0.20079	0.19696	0.40155	0.0866	
Healthy	0	0	0	0		48.5162	0	0	0	0	0	
Healthy	17.6776	0	0	0.05371		2.98891	0	0.68396	0	28.5491	0	
Healthy	1.79862	0.07578	0	0		69.74722	5.80735	0	0.13742	0	0	
Healthy	9.68036	0.0772	0	0		64.38442	0.33391	0	1.42304	0.19453	0.12422	
Healthy	1.28015	6.83977	0	0		60.54547	9.25559	0.76509	1.64958	0	0.33995	
Healthy	9.39614	4.50425	1.98208	0.01412		28.75621	0.26595	0	0.24406	0	0	
Healthy	10.15918	0.43269	0	0.02687		36.62518	0.02655	10.1881	0.04007	0	0.00038	
Healthy	0.00155	26.5434	0.27615	0		0.63797	0	0	0	0	0	
Healthy	10.28388	0.00197	0.08138	0		56.71773	0.00126	12.5435	0.06549	0	0.53861	
Healthy	24.16061	0.54718	0.92658	0.1366		56.3158	0	0	0.07737	0	0.09781	
Healthy	8.07909	0	0	0		63.16463	0	0	0	0	0	
Healthy	12.78886	0	0	0		46.70081	0	4.75404	0	2.76374	0.09369	
Healthy	0.00677	12.48897	0.20698	0		28.29215	0	0	2.45207	0	0.00023	
Healthy	5.8327	10.6608	0	0		13.4359	2.64705	43.6005	0.25924	0	0.68468	
Healthy	4.33631	0	0	0		67.86751	6.27789	0	0.18679	0	0	
Healthy	2.10105	0.04518	0	0		72.33072	6.25982	0	0.29652	0	0.04086	
Healthy	7.12801	0	0	0		38.61451	0	7.54554	0.15405	12.0425	0.07284	
Healthy	1.75716	0	0	0		80.98922	0	0	0	0	0	
Healthy	18.40337	0.11367	0	0		25.67731	6.5835	0	0	0	0	
Healthy	17.2414	0.27444	0	0		33.28567	0	0.58111	0.56996	0.6539	0.06421	
Healthy	1.51576	0.56958	0	0		88.6322	3.46228	0	0.14938	0	0.0054	
Healthy	4.10646	0.02186	0	0.30605		39.09706	2.2014	0.0088	0.43338	1.80177	0	
Healthy	15.43743	1.67072	0	0.03649		33.77516	0.7081	0.02447	1.44155	0	0	
Healthy	27.05509	1.16394	0	0		19.08522	2.40528	0	0	0	0	
Healthy	14.68318	0.22497	0	0.07736		36.33763	0.57746	0.74548	1.0012	0	0.11873	
Healthy	2.78224	0.83585	0	0.00111		49.17361	0	17.9361	0.5187	0	0.11929	
Healthy	0.0927	1.19252	0	0		66.68576	11.53821	0	0	0	0	
Healthy	13.85599	0.63187	0	0		59.1091	0.63203	1.3283	0.00034	0.09868	0.06872	
Healthy	4.00913	0.08441	0	0		62.36289	0.0027	0	5.03567	0	0.19167	
Healthy	9.22129	0.00284	0	0.07217		9.36847	0	13.0776	0.04743	1.68806	0	
Healthy	16.30981	0.1574	0	0.07371		22.5582	0.04508	0	0.06068	1.18226	0.74541	
Healthy	8.95238	0	0	0		37.53204	0	0	0	0	0	
Healthy	0.27707	26.9499	0.24029	0		58.43814	0.30932	0	0	0	0	
Healthy	6.77587	2.05602	0	0		23.76198	0	0.91401	0.01164	0.05073	0.06162	
Healthy	7.83808	0.05132	0.03916	0		67.13981	0.3649	0.54397	0.02241	0	0.05192	
Healthy	10.82213	1.8991	0	0.10539		64.39098	0.01735	0	0.17879	0	0	
Healthy	10.75636	0.05333	0	0.05048		32.36471	0.03754	3.33406	0.44306	2.30841	0.18646	
Healthy	22.71514	0.79854	0.35063	0		14.68862	13.0178	0	0	0	0	
Healthy	6.29274	0.7386	0	0		60.37992	0.12488	5.76763	2.27288	0	0	
Healthy	5.29737	0	0	0		63.84991	0	0.45523	0.01533	0	0.04488	
Healthy	5.17516	0.00111	0	0		34.07345	0.04557	0	0.26789	0.1068	0.06547	
Healthy	14.26202	0.97821	0	0.23092		18.82843	5.43514	0.16201	0.0713	0	0	
Healthy	21.325	1.57204	0.01423	0.33081		17.09535	0.01113	0	0.35405	0	0.23847	
Healthy	6.88399	0.28333	0	0.11079		45.17916	3.52687	0.77287	0.0718	0	0.08041	
Healthy	33.54678	0.32094	0	0		19.82885	0	0	0	0	0	
Healthy	9.5778	16.14298	0.41428	0		17.24653	0	0	0	0.33908	0	
Healthy	3.82603	0.07277	0	0		76.28196	6.57264	0	0.27255	0	0.09095	
Healthy	0	0	0	0		0	0	0	0	0	0	
Healthy	1.15322	0.12318	0	0		92.4096	0	1.88348	0.56352	0	0	
Healthy	25.6118	0	0	0		10.12874	0	0	0	0	0	
Healthy	24.21897	0.29116	0	0.00891		26.27604	0	1.53762	0.49336	0	0.03188	
Healthy	22.89879	0	0	0		50.33772	0	0	0.07047	0.06171	0.91635	
Healthy	3.62559	0.02843	0	0.00678		35.57313	0	0	0.07387	0	0	
Healthy	0.71487	2.10645	0	0		71.11603	0	0	0.36472	0	0.12119	
Healthy	6.66585	0	0	0		42.51095	0	2.90132	0.37614	8.00768	0.02195	
Healthy	2.32697	0	0	0		11.90751	10.7103	2.31129	0	0	0	
Healthy	3.5277	0.04956	0	0		69.65916	0.77647	0	2.39395	0	0.37382	
Healthy	4.23313	0	0	0		58.96447	0.46895	8.77803	0.34171	0	0.47382	
Healthy	4.56076	0	0	0		66.71053	5.66652	0	0.36518	0	0.03254	
Healthy	22.966	1.91522	0	0.15342		39.08202	0.50387	0.00039	0.00951	0	0	
Healthy	11.12826	0.38672	0	0.29259		38.67925	1.53411	0.03767	0.04876	0	0	
Healthy	4.39045	0	0	0		58.1287	0.5334	8.45768	0.43898	0	0.50177	
Healthy	0.01453	45.18777	35.222	0		2.69883	0.00662	0	0	0	0	
Healthy	4.09859	0.00212	0	0		79.02284	0	4.05243	0.72132	0	0.03168	
Healthy	8.4586	0	0	0		38.60053	0	0	0.07105	0.34226	0.87373	
Healthy	5.3228	2.53386	0	0.03863		27.58095	0.47986	0	0.01572	0	0	
Healthy	12.45604	0.0346	0	0		69.24905	0	0	0.04389	0.0287	1.43761	
Healthy	2.93233	0.09831	0	0		30.23467	1.12556	0.03824	0.40048	0.15533	0.12123	
Healthy	5.63152	5.66234	0	0.01833		67.07015	1.52137	0.13672	0.01289	0	0.01901	
Healthy	0.0007	12.1613	0	0.14947		43.44494	0.34107	0	0	0	0.00635	
Healthy	3.63124	0	0	0		80.62821	0	3.67819	0.59739	0	0.04472	
Healthy	1.77306	0.10287	0	0.07101		45.52648	4.25651	0	0.27995	0	0.00828	
Healthy	4.51531	13.76728	0	1.22097		29.04447	0	3.57716	0	0	0	
Healthy	0	0.0347	0	0.01142		95.28645	2.33123	0.03461	0	0	0	
Healthy	19.42858	0.05633	0	0.25031		29.61175	0.01386	0.05854	0.01224	3.24923	0.02244	
Healthy	0.03068	0	0	0		19.55294	0	0	0	0	0	
Healthy	3.72611	1.60609	0	0		86.46119	0	0	0.10994	0	0.13573	
Healthy	6.63626	0.01598	0	0		50.76117	0	0.0016	0	0	0.12961	
Healthy	11.57818	0	0	0		10.76329	6.37939	0.50632	0.28424	1.09162	0	
Healthy	5.82374	0.13716	0	0		57.33937	0	0	0.07371	0.21804	0.12344	
Healthy	2.0004	0.28098	0	0.23122		56.30658	0.22426	0	0	0	0	
Healthy	7.22655	0.21487	0	0.11469		30.61867	0.50304	0.3251	0	0.68489	0	
Healthy	6.85581	0	0	0		68.50702	0	0	0.06535	0	0	
Healthy	8.39493	0	0	0		46.24204	2.19261	0.19396	0	0.57513	0	
Healthy	3.46657	0.42733	0	0		46.07825	0	0.26078	0	0.57785	0	
Healthy	11.53033	0.06647	0	0		47.94121	0	5.8617	0.13814	0	0.20697	
Healthy	1.42659	0	0	0		63.77627	0	0	0.18366	0	0.05709	
Healthy	0.104	1.0543	0	0		65.94764	11.24915	0	0	0	0	
Healthy	15.89391	2.36251	0	0.64931		32.56547	3.08071	0	0.02364	0	0	
Healthy	2.7162	3.25803	0.18257	0.02499		18.08858	2.31122	0	0.05014	0	0.18415	
Healthy	21.66445	0.41401	0	0		37.37198	0	2.41684	8.5763	0.29309	0.03354	
Healthy	0.01409	10.5734	0	0		68.43482	8.52248	0	0.19095	0	0.03332	
Healthy	6.71884	0	0	0		81.395	0	0	4.21412	0	0	
Healthy	6.91907	0	0	0.00778		44.75471	17.70096	6.96025	0.32221	0	0.11801	
Healthy	7.69057	0.05757	0	0		68.7675	0.34951	0.56418	0.0053	0	0.07033	
Healthy	16.95828	1.74769	0.70695	0.3873		16.79315	0.04127	0	0.01399	0.74572	0.1039	
Healthy	0.07847	0.91375	0	0		66.42993	11.43786	0	0	0	0	
Healthy	15.77081	1.82178	0	0.16005		21.83488	0	0.86309	1.30819	1.42082	0.11673	
Healthy	2.3385	0.01889	0	0.12567		43.41348	0	0.01217	0.37352	0	0.3909	
Healthy	1.56594	0	0	0		73.45565	0.66822	0.50523	0.02651	0	0	
Healthy	9.15377	0.0198	0	0.10197		37.03071	0.04725	0.233	0.15659	0	0.17313	
Healthy	4.58945	0.22338	0	0		70.18205	2.81667	0.11769	0.24449	0.07672	0.11263	
Healthy	3.50586	0.00701	0	0.10528		7.48063	0.00294	2.79063	0.02416	12.6844	0.08524	
Healthy	2.80875	0.3262	0	0		42.57968	0	0.02836	0.0222	0	0.06604	
Healthy	6.88002	3.82164	0	0		62.93172	0	0	0.25188	0	0.27753	
Healthy	1.58475	0	0	0		79.21326	3.04829	0	0.28664	0	0	
Healthy	17.12874	0	0	0		53.18318	0	0	0	0	0	
Healthy	0.65351	1.34307	0	0.23083		23.41716	0.39377	0.31361	0.23242	0	0.00557	
Healthy	4.52892	0.36191	0.24888	0		63.61607	0	0	0.05983	0	0	
Healthy	4.95543	0	0	0		23.72752	14.5412	2.03874	0	4.04538	0	
Healthy	21.11326	0.18727	0	0		39.28724	0	0.20579	0.00794	0.6324	0.08296	
Healthy	4.71953	0	0	0		66.68553	0	10.5227	0.1041	0	0.31988	
Healthy	0.41371	0.34666	0.01884	0.04771		41.5384	3.2718	0	16.99645	0	0	
Healthy	11.98612	0.08089	0	0.00619		28.95543	5.16329	0	0	0	0	
Healthy	2.12718	0.84241	0	1.0244		60.47659	0	1.01338	0.19093	0	0	
Healthy	21.54589	1.06055	0	0		20.29281	0.14528	0	0.07046	0	0	
Healthy	18.39106	0.37935	0	0		17.58518	0.19875	0	0.21492	0	0.18905	
Healthy	6.06338	0	0	0		21.73269	15.2083	2.56749	0	3.11355	0	
Healthy	2.48	0.22126	0	0.08537		50.98966	13.25199	3.88042	0.51676	0	0	
Healthy	13.67715	0.25304	0	0		48.94842	0.00808	1.30576	5.40107	0.25684	0.07584	
Healthy	10.13779	0	0	0		5.88392	0	0	0	3.78589	0	
Healthy	12.55573	1.39039	0.575	0.00125		21.50326	1.02733	1.85173	0.01928	4.80982	0.05127	
Healthy	5.09539	0.33113	0	0		76.44368	9.276	0	0.02838	0	0.01026	
Healthy	13.02506	0.33553	0.39619	0		58.55434	0.05691	0.01715	0.56795	0	0.06363	
Healthy	11.25678	0	0.07215	0		72.21714	0	0	0.73588	0	0	
D001172	30.94145	3.90879	0	0.43915		20.44716	0.28082	0	0	0	0	
Healthy	4.56837	0.23085	0	0		70.02336	2.84814	0.14178	0.19129	0.03754	0.06321	
Healthy	8.11221	0.01136	0	0		78.31406	0.04204	0	4.77802	0	0	
Healthy	0	0.25478	0.17064	0		62.7212	0	0	1.80509	0	0.01869	
Healthy	16.11749	0.05522	0	0		40.27927	0.00239	0	0.25508	0.52025	0.05163	
Healthy	4.68892	0.16617	0	0		39.76246	10.2147	0.03737	0.07473	0	0.08412	
Healthy	0.22984	2.07897	0.00458	0.22672		73.22391	4.40278	2.26273	0	0	0	
Healthy	6.36128	0.84247	0	0		60.03712	0.05773	5.86253	2.1826	0	0	
Healthy	4.92595	0.2582	0	0		76.77715	9.26894	0	0.02751	0	0.02269	
Healthy	8.85181	0	0	0.05642		59.26558	12.3662	0.74805	1.66871	0	0	
Healthy	0	2.24583	0	0		0.12654	1.96752	0	0	0	0	
Healthy	1.59209	0	0	0		79.07153	3.15084	0	0.22611	0	0	
Healthy	2.0174	0	0	0		8.99304	0.47951	40.4449	0.00119	0	0	
Healthy	12.5669	0.98335	0.10908	0.33544		44.28301	0.05993	0.01178	1.72011	1.91365	0.00684	
Healthy	17.67386	0.02079	0	0.60795		28.36889	0.01454	0	0.02591	0	0.03581	
Healthy	8.09411	1.84199	0	0		49.08358	1.81908	0	0.0171	0	0	
Healthy	15.4712	0.27896	0	0.454		54.69105	0.03072	0.79134	0.89236	0.02601	0.05004	
Healthy	4.22561	0.1795	0	0		60.15458	0	4.46162	0.25595	0.1863	0.82641	
Healthy	1.98993	0	0	0		30.38976	6.34105	0	0.13464	0.17925	0	
Healthy	1.03144	0	0.00679	0		57.19071	15.5468	0	0.23801	0	0	
Healthy	5.26079	0	0	0		51.11411	0	2.61066	1.03976	1.78079	0	
Healthy	5.41384	0	0	0		70.28682	0.06266	0	8.38667	0	0	
Healthy	13.71987	0.03607	0	0.03941		18.83361	0	1.66834	0.06997	0	0.02332	
Healthy	8.50708	0.28019	0	0.05594		78.21632	2.79587	0	0.07421	0	0.02566	
Healthy	2.18693	0.05856	0	0.00535		56.74984	0.04425	0	0.0185	0	0	
Healthy	1.42044	0.56422	0	0		88.62397	3.40948	0	0.12662	0	0	
Healthy	1.69303	0	0	0		80.99515	0	0	0	0	0	
Healthy	44.91768	3.51301	0	0		23.65521	0.01779	0.08205	0	0.40579	0	
Healthy	13.31973	0.21163	0.00282	0.01534		61.74899	0.02171	0	0.25117	0	0.13989	
Healthy	5.98245	9.43602	0	0		13.47813	2.77942	43.1425	0.25347	0	0.72042	
Healthy	3.66593	0.21117	0	0		66.37974	8.10882	0	0.20873	0	0.02192	
Healthy	5.68391	9.68868	0.27118	0.00096		51.37097	11.5763	0	0.00832	0	0.00874	
Healthy	7.7765	0	0	0		57.05666	2.93626	5.8543	0.06911	0	0.0134	
Healthy	11.64901	0.05697	0	0.00348		43.4764	0	0.09713	0.05543	3.40764	0.2407	
Healthy	1.27994	0	0.05211	0		53.92823	15.6181	0	0.30648	0	0.01971	
Healthy	4.03165	0.11356	0	0		62.01002	0	0	5.13502	0	0.22483	
Healthy	5.30265	0.19681	0	0		60.43837	7.81395	0.83144	0.18523	0.9034	0.40446	
Healthy	0.09184	0.97595	0	0		67.11065	11.1089	0	0	0	0	
Healthy	4.12673	0	0	0		64.38419	0	0	3.10465	0	0.43782	
Healthy	9.61378	1.52782	0	3.85849		30.53279	2.73902	0.16743	0.1413	0.02214	0	
Healthy	5.9097	0.15858	0	0		57.92923	0	0	0.0719	0.24867	0.11176	
Healthy	2.52642	0	0	0		70.43552	6.29626	0	0.19376	0	0	
Healthy	18.20048	0	0	0		31.6998	7.8536	0.04697	0.03322	0	0	
Healthy	33.27022	0.34845	0.00148	0.14061		22.27282	4.83567	0	0.21194	0	0	
Healthy	6.19955	1.88876	0	0		23.46511	0	11.0089	0.28649	0.51151	0	
Healthy	4.64002	0.38659	0	0.13406		19.33502	0.9011	0.36477	0.05514	0	0	
Healthy	28.98953	0.38983	0	0		20.08361	0	1.91184	0	0.93713	0	
Healthy	7.97896	0.04992	0	0.00403		40.48423	10.41506	0.0475	0	0	0	
Healthy	10.80395	0.25226	0	0.46742		42.75953	0.90171	0.13902	0.01366	0	0	
Healthy	0	0	0	0		85.8034	13.8698	0.32693	0	0	0	
Healthy	2.37697	0	0	0.63379		28.22264	0	1.18777	0.24439	0	0	
Healthy	0.65981	5.37237	0	0		0	23.01613	0	0.38073	0	0	
Healthy	14.03441	0.09209	0	0		37.96806	4.79202	0.41479	1.96708	0	0.04552	
Healthy	12.4159	0	0	0		33.04527	0	0	0	0	0	
Healthy	0	30.11288	0	0.02738		63.16223	0.01695	0	0	0	0	
Healthy	8.77293	2.4725	0	0.10178		20.52479	2.54597	0	1.44924	0	0.03909	
Healthy	1.52393	0	0	0		11.03823	80.9451	0	0.88147	0	0	
Healthy	0.73753	0	0	0		9.45133	0	0.14167	0.28988	0	0	
Healthy	2.64402	0.88721	0	0		67.3039	0.06532	0	0.03388	0	0.40586	
Healthy	0.18661	10.8525	0	0		27.59638	0.20928	1.51175	0	0	0	
Healthy	2.39042	0	0.27242	0		67.46187	0	0.11617	0	0.05074	0	
Healthy	4.48909	0	0	0		70.18881	0	0	3.13581	0.03181	1.34798	
Healthy	24.55786	0	0	0		10.8547	0	0	0	11.47081	0	
Healthy	6.16431	0.04635	0	0.01353		31.57523	0.04341	0.56691	0.07898	0	0.02952	
D001172	1.68545	0.17736	0	0		52.63046	0	5.05269	0.00286	0	0	
Healthy	8.27632	9.13135	0	0		19.94668	1.43343	1.73118	0.06944	0	0	
Healthy	6.21195	0.46619	0	0		74.40626	2.66473	0	0.00302	0	0.05024	
Healthy	0.0859	0.93913	0	0		67.35244	11.20444	0	0	0	0	
Healthy	38.98422	0.1783	0	0		32.89581	0	0	0	0	0	
Healthy	0	11.7181	0	0		66.35178	9.01382	0	0.15466	0	0.01453	
Healthy	34.21852	0.10058	0	0.04348		26.78469	6.87772	0	2.71049	0	0.01975	
Healthy	8.63123	2.54066	0	0.22817		24.19592	0.16245	0	0.0127	0	0	
Healthy	5.03712	0.06497	0	0		69.88776	0	0	0.05006	0.02964	1.40923	
Healthy	9.46909	0.12785	0	0.00543		49.15706	0.19412	0.0389	1.06174	0.17209	0.00973	
Healthy	1.74795	0.03781	0	0		70.09672	5.73747	0	0.0969	0	0	
Healthy	1.98042	0.06464	0	0		76.06188	0	0	5.85273	0	0.12243	
Healthy	4.48189	0	0	0		66.45973	0	9.99134	0.11982	0	0.30635	
Healthy	5.63709	1.08832	0	0		54.34093	9.20421	7.06851	0.25922	0	0.21326	
Healthy	21.73034	0	0.08218	0.14655		8.30614	2.01543	0.13273	0.0269	0.04087	0	
Healthy	0.31429	0.02963	0.02323	0.04826		3.74147	0	0.08989	0.0003	0.07054	0.00694	
Healthy	3.81428	0.10208	0	0		76.88963	6.38815	0	0.2951	0	0.07543	
Healthy	6.40224	0.47656	0.47975	0.64266		81.16349	0	0	0	0	0.022	
Healthy	4.09632	0.24157	0	0		41.25992	0	0	0.06228	0	0.13858	
Healthy	1.1805	0	0	0		10.62846	81.6769	0	0.5874	0	0	
Healthy	19.17298	0	0	0		61.22877	0	0	1.13979	0	0	
Healthy	0	13.3728	0	0		1.54544	0	0	0.00451	0	0	
Healthy	5.76439	1.14409	0	0		46.78532	0.09039	0	1.97889	0.0651	0.15758	
Healthy	34.17078	0	0	0.15088		2.80734	0.03456	0	0	13.6877	0	
Healthy	3.53291	13.24328	0	0		55.67034	0.00446	0	2.28503	0	0.05799	
Healthy	8.85073	0	0	0		76.47501	0.01906	0	5.48059	0	0	
Healthy	5.42133	0	0	0		63.11576	0	0.22429	0	0	0.09292	
Healthy	11.75034	0.08553	0	0		67.80547	0	0	5.96924	0	0	
Healthy	19.53439	0	0	0		61.80674	0	1.69115	0.00451	0.12202	0.12714	
Healthy	27.53287	2.40029	0	0		25.05573	0.12931	0	0.27022	0.39354	0	
Healthy	11.7646	0.02524	0	0		49.04198	0	6.04875	0.14091	0	0.18676	
Healthy	16.28164	0.25322	0.13588	0.49098		64.53437	0	0	0.01915	0	0	
Healthy	3.85159	2.80085	0	0		65.88668	4.93058	0	1.25218	0	0	
