group	Ruminococcaceae	Marinifilaceae	Streptococcaceae	Lactobacillaceae	Pasteurellaceae	Desulfovibrionaceae	Eggerthellaceae	Veillonellaceae	Peptostreptococcaceae	Micrococcaceae	Lachnospiraceae	Rikenellaceae	Acutalibacteraceae	Enterobacteriaceae	Barnesiellaceae	Burkholderiaceae	Streptococcaceae	Erysipelotrichaceae	Lactobacillaceae	Coprobacteraceae
Healthy	11.17958	0.84408	1.04933	0	0.05059	0	0.04105	0.04899	0.02658	0	19.16726	2.55539	0.6487	0.10061	1.20157	0.14328	1.04933	0.06243	0	0
Healthy	4.02687	0.45607	0.01657	0	0	0.0012	0.02361	0.02073	0	0	9.33161	1.77545	3.93134	0.00903	0	0.02565	0.01657	0.79186	0	0.14512
Healthy	4.47674	3.30544	0.08838	0	0.00195	0.05871	0.28108	0	0.01345	0	13.53386	6.22792	4.96347	0.0092	3.70146	0	0.08838	0.00364	0	0.01227
Healthy	2.12034	1.03995	0	0	0.023	0.07883	0	0.23551	0	0	2.91449	8.66821	0.9933	0.07286	6.38478	0.29286	0	0.163	0	0
Healthy	0.00368	0	1.2222	0	0.19266	0.13184	0	3.20071	0	0.33442	0.18846	0	0.00014	16.2661	0	10.9103	1.2222	0	0	0
Healthy	10.01197	2.06509	0.18972	0	0	0.08855	0	0	0	0	13.06821	8.31905	1.82773	0	3.61045	0	0.18972	0.79534	0	0.16812
Healthy	0.90434	0	0.23259	0	0	0.00251	0	0.03427	0	0	1.11149	0	0.35951	0.37736	0	0.0857	0.23259	0.01149	0	0
D016640	0.83019	0.67355	0.14206	0	0	0.13444	0.12719	0	0.00101	0.01125	11.09183	0.46713	0.01567	0.24205	0	0	0.14206	3.61017	0	0
Healthy	27.22336	1.39468	0.14253	0	0	0.037	0	0	0	0	8.53065	11.63986	0.02581	0	0	1.28454	0.14253	0.00061	0	0
Healthy	3.58402	0	0.21411	0	0	0.65549	0	0	0	0	4.60479	8.94078	1.03234	6.37382	0.67267	0.03316	0.21411	0.05876	0	0.05326
Healthy	0.69262	0	0	0	0	0.05737	0	0	0	0	3.30342	16.12624	0.20168	0	3.37828	0.1002	0	0	0	0
Healthy	1.051	1.03345	0	0	0	0.02658	0	0	0	0	24.13931	0.23838	0.15905	0	4.44353	0	0	0	0	0.22964
Healthy	1.09293	0	0	0	0	0	0	0	0.35363	0	12.86415	3.02671	2.6742	16.4109	4.1818	0.04035	0	0.14265	0	0.15438
Healthy	2.47447	0	0.06243	0	0	0.09831	0	0	0	0	4.04901	1.50364	0.15275	1.67377	2.56053	0.08025	0.06243	0.04	0	0
Healthy	2.97284	0	0.11515	0	0	0	0	0.875	0	0	58.92111	0	6.37254	0	0.46476	0	0.11515	0	0	0
Healthy	2.20024	0.99432	0	0	0.01062	0.10029	0	0.22337	0	0	2.98722	8.44097	0.9626	0.02833	6.22598	0.29889	0	0.14147	0	0
Healthy	2.60289	0	15.69812	0	0	0	0	0	0	0	15.91284	1.61128	6.10013	1.75061	0	0	15.69812	0	0	0
Healthy	2.1367	0.59341	0.33687	0.13116	0.03449	0.03635	0	0.00473	0.04743	0.00149	15.08024	5.75588	1.98987	6.48387	0	8.98905	0.33687	1.6957	0.13116	0
Healthy	2.03873	0	0	0	0	0	0	0	0	0	2.94694	11.63891	0.6039	0	0	0.12857	0	0.24099	0	0
Healthy	2.08575	0.77418	0	0	0.01729	0.20315	0	0	0	0	3.31311	22.20962	0	0	1.7863	5.95389	0	0.09705	0	0
Healthy	5.16023	2.25825	0	0	0	0	0	0	0	0	4.67955	5.79551	1.94348	12.8542	0.89589	0.37574	0	0.2213	0	0
Healthy	7.83113	2.31492	0.0109	0	0	0.0924	0.06556	0	0	0	4.47133	20.6628	11.74687	0.00825	0	1.42197	0.0109	0.0032	0	0.04067
Healthy	8.98741	0	0.25644	0	2.29054	0	0.00368	0.01956	0.09932	0.02165	4.96469	6.05686	0	0.00409	0	0.0035	0.25644	0.03527	0	0
Healthy	8.82855	0	0.54071	0	0.19393	0.06614	0.20396	0.01217	0.0908	0	26.02253	5.4983	4.72778	0.02165	0	0.00678	0.54071	0.02503	0	0
Healthy	17.63019	0.58748	2.28461	0.003	0	0.28312	0.3762	0	0	0	15.93214	4.42938	0.10521	0	3.89693	0.0093	2.28461	0.08713	0.003	0.13753
Healthy	4.71969	1.88591	0	0	0	0	0.06226	0	0.12217	0	13.86684	17.14519	2.58589	0	9.5509	1.16431	0	0	0	0.03883
Healthy	3.75877	0	0.19801	0	2.77557	0.01952	0	0.29998	0	0	13.69074	6.97937	0	0	1.10706	1.07698	0.19801	0	0	0
Healthy	4.47824	0	0	0	0.12423	0	0	0	0	0	5.4809	11.84445	0	0	0	0.10417	0	0	0	0
D016640	3.59682	1.05807	0.02547	0	0.1596	0	0.19226	0.00747	0.00026	0.00192	10.52407	0.73088	0.09781	0.02675	0	0	0.02547	0	0	0
Healthy	2.57906	0	0.06404	0	0	0.04377	0.00026	0	0.0709	0	5.82858	0.51449	0	1.37665	0	0	0.06404	0	0	0
Healthy	8.38082	0.03503	0	0	0	0.32464	0.09067	0	0	0	7.62617	23.13099	0.08852	0.04487	1.61717	0.39005	0	0	0	0
Healthy	4.26482	2.06682	0.00291	0	0.23479	0.00721	0	0.20284	0	0	2.05337	28.97505	2.07785	0.36631	2.7737	0.013	0.00291	0	0	0
Healthy	4.45408	1.36225	1.47116	0.90454	0	0.08954	0.29137	0.00824	0.13647	0.00327	17.42598	8.8283	0.02277	2.12948	2.84294	0.00433	1.47116	0.08093	0.90454	0.22887
Healthy	4.01289	0	0	0	0	0.17895	0.01047	0	0	0	0.82468	2.49326	0.57939	1.06216	0	0.2712	0	0.35675	0	0
Healthy	38.17465	1.54784	0.02683	0	0.01462	0.14804	0.05276	0.00209	0	0	13.15289	7.99269	0.04283	0	0.51114	1.85847	0.02683	0	0	0
Healthy	22.10912	0	0	0	0	0	0	0	0.26971	0	29.97117	0	32.4931	0	0	0	0	1.933	0	0
Healthy	0.89925	0	0.21585	0	0	0	0	0.02362	0	0	1.15799	0	0.37289	0.42965	0	0.11156	0.21585	0.02708	0	0
Healthy	4.91281	0	0.04828	0	0.04188	0	0	0	0.26029	0	16.08956	3.7531	3.02639	0	0	0.03569	0.04828	0.43867	0	0
Healthy	8.9483	0.9632	0	0	0.07776	0	0.51129	0	0	0	2.66517	0.63812	0	0	0	5.7003	0	0.01705	0	0.21743
Healthy	11.35242	1.07873	0.00451	0	0.06544	0	0.7355	0	0	0	3.20391	0.89891	0	0	0	7.09637	0.00451	0.01215	0	0.24355
Healthy	12.27917	0.587	0	0.0073	0.02787	0	0.03641	0.028	0	0	22.52399	0.87139	2.56626	0.04705	1.24513	0	0	0.0136	0.0073	0
Healthy	3.55185	0.79485	0	0	0	0.55153	0	0	0	0	23.50672	24.43499	0.27637	0	1.10334	2.9757	0	0.05412	0	0.0745
Healthy	4.86156	1.04245	0.5783	0	0	0	0	0	0	0	5.27636	2.45781	0	0	3.76568	6.33312	0.5783	0	0	0
Healthy	7.68045	0	0	0	0	1.61864	0.14686	0	0	0	0.74218	17.06665	2.04324	0.04178	6.29834	0.0632	0	0	0	0
Healthy	0.47981	0	0.10271	0	0	0	0.00802	0	0	0	4.66382	0.1997	0.05402	78.76377	0	0.02799	0.10271	0.00569	0	0
Healthy	6.64148	0	0.01597	0.02608	0.04462	0	0.01042	0.008	0.25312	0	20.07617	0	1.5587	1.82617	0	0.17411	0.01597	0.00545	0.02608	0
Healthy	9.53526	0	0	0	0.67165	0	0	2.80187	0.16683	0	20.8232	0	0.07901	2.4214	0	5.90439	0	0	0	0
Healthy	25.28152	0	0.78156	0	0	0	0	0	0	0	18.86342	0.23084	11.9056	0	1.08835	0	0.78156	11.3576	0	0
