group	Bacteroides_eggerthii	Bacteroides_stercoris	Dialister_invisus	Ruminococcus_B_gnavus	Bacteroides_nordii	Adlercreutzia_equolifaciens	Anaerotruncus_colihominis	Gordonibacter_pamelaeae	Longicatena_innocuum	Eggerthella_lenta	Agathobacter_rectalis	Ruminococcus_H_sp003531055	Anaerobutyricum_hallii_A	Collinsella_sp003487125	Enterocloster_aldenensis	Bariatricus_comes	Mediterraneibacter_torques	Blautia_A_wexlerae	Roseburia_hominis	Dorea_formicigenerans
Healthy	10.1871	0.00318	0	0.01194	0.02495	0.26867	0.00887	0.01241	0.00193	0	3.4047	4.92965	1.67721	1.43581	1.03824	1.37517	0.03239	0.25213	0.00732	0.46545
Healthy	0	0	6.24256	0	0	0	0.03768	0	0	0	1.43889	0.9933	0.06374	0.14288	0.01573	0.01663	0.03607	0.03551	0.60879	0
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0.18846	0	0	0
Healthy	0	0	0	0	0	0	0	0	0	0	2.38036	1.82773	0.56451	0	0.96456	0.7182	0.00782	0.20371	0.25805	0.06101
Healthy	57.8833	0	3.32443	0.02053	0	0	0.37654	0	0	0	0	0	0.01863	0.15444	0	0.01295	0.02773	0	0	0
Healthy	0	18.2388	0	0	0	0	0.01096	0	0.00061	0	0.51508	0.02157	0.02058	0.01631	0.14689	0.34057	0.06786	0.12538	3.0513	0
Healthy	0	0.26376	0	0	0	0	0	0	0	0	0	0.98058	0	0	0	0.00682	1.83505	0	0.22517	0
Healthy	0	0	0	0	0	0	0	0	0	0	0.03579	0	0	0.102	0	0	2.18411	0	0	0
Healthy	9.31664	0.02077	0	0.07063	0	0	0	0	0	0	1.95917	0.15905	0.92226	0.06941	0.60527	0.9289	0.0348	0.64062	0.08155	0.45839
Healthy	5.76516	0	0	5.39169	0	0	0	0	0	0	0.91554	2.6742	0.31703	0	0.47844	0.23437	0.06129	0.06819	0.57004	0.06578
Healthy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.23277	0	0	0
Healthy	0	0	4.25365	0	0	0	0	0	0	0	14.9951	6.37254	0.44587	0	0.22579	0.18392	0.40197	0.53306	0	0.26968
Healthy	0	0	6.31044	0.00483	0	0	0.05406	0	0	0	1.42931	0.9626	0.0557	0.19064	0.01556	0	0.06813	0.01221	0.66294	0
Healthy	0	0	2.39552	0	0	0	0	0	0	0	2.61541	6.10013	1.94333	2.82554	1.87818	2.63735	0.20105	4.10101	0	0.67153
Healthy	0	6.41657	0	0.01648	0.01078	0	0	0	0	0	9.44655	1.98987	0.56239	1.73487	0.90362	0.675	0.00706	0.32815	0.00062	0.33065
D011236	0	50.6103	2.30825	0.15676	0	0	0	0	0.00195	0.02493	12.1674	0	0.63046	0	0.03589	0	0.18006	0.12106	0	0.17777
Healthy	0	0	6.35013	0.00686	0	0	0	0	0	0	1.46116	0	0	0	0.06159	0	0	0.17257	0	0.09228
Healthy	0	0	0	0	0	0	0	0	0	0	0.21343	0	0	0.31594	0.01801	0	0.20381	0	0.10457	0
Healthy	0	0	11.5958	0	0	0	0	0	0	0	1.40639	1.94348	0.0884	0	0.41483	1.31434	0.11165	0.08257	0.41259	0
Healthy	0	0.82009	0.22524	0.00091	0.44311	0.06196	0.00225	0.0036	0.0032	0	1.11679	11.6922	0.04157	0.14616	0.45183	0.11013	0.07743	0.24782	0.47829	0.03044
Healthy	0	0	0	0.00557	0	0	0	0	0.02991	0.00368	0.16418	0	0.91156	0	0	0	0.01807	0.00032	0	0
Healthy	0	0.00132	4.06746	0.14116	0	0.18515	0.03849	0.01863	0.01774	0.00018	9.55	3.74279	1.94611	0	0.51145	0.03547	0.01503	0.04304	0.1479	0.55159
Healthy	0	0.00351	0	0.11141	0.06901	0.23981	0.0088	0.13544	0	0.00095	1.52905	0.01244	1.40044	0.73212	0.17196	0.21954	0.35965	0.35495	0.04999	0.67246
Healthy	0	0.15933	0	0	0	0.06226	0	0	0	0	3.94545	2.58589	0.26674	0.38165	0.17365	0.23362	0.17201	1.27903	0.61633	0.08256
Healthy	0	20.3259	4.47702	0	0	0	0	0	0	0	6.31094	0	0	0	0	1.5103	0.39585	0.10729	0.07197	0.04752
Healthy	0	0	0	0	0	0	0	0	0	0	1.17275	0	0	0	0	0.0126	0.1563	0	0.1287	0
Healthy	24.7709	12.624	0	0.05311	0	0	0	0	0	0.00026	0	0	0.04396	0.16334	0.4848	0.20356	0.02649	0.07178	0	0.2386
Healthy	0	8.65806	0	0	0	0.09067	0	0	0	0	2.91926	0.03785	0	0.14095	0	0	0.19882	0	0.1074	0.03418
Healthy	0	0	2.48965	0	0.02032	0	0	0	0	0	0	2.07785	0	0	0.01641	0.03658	0.04658	0.03836	0	0.06314
Healthy	0	0	0.14204	0.05193	0.05399	0.22901	0.03033	0.0618	0.00163	0.00056	6.15479	0	3.49856	0.71644	1.13025	0.15763	0.05237	0.53078	0.67458	1.07415
Healthy	0	35.6876	9.30256	0.01119	0	0	0.08371	0.01047	0.00279	0	0.24847	0.54292	0.0105	0.68097	0	0.05957	0.00976	0.02584	0	0.00456
Healthy	0.07607	0.10781	0.26986	0.05435	0.02386	0.05276	0	0	0	0	5.24714	0.04283	0.29161	0.35797	0.19726	0.43148	0.16881	0.2837	0.22443	0.14329
Healthy	0	0	0	0.0266	0	0	0	0	0	0	0.70755	32.4931	2.37613	3.68311	0.85549	0.46665	4.54431	4.65973	0.10117	3.79291
Healthy	57.9876	0	3.34381	0.01424	0	0	0.38064	0	0	0	0	0	0.00425	0.14868	0	0	0.06426	0	0	0
Healthy	0	0	1.41269	0	0	0	0	0	0	0	7.28422	3.02639	0.87265	0.23323	0.03017	0	0.17702	0.33867	0.53586	0
