group	Lachnospirales	Oscillospirales	Actinomycetales	Lactobacillales	Veillonellales	Coriobacteriales	Erysipelotrichales	Peptostreptococcales		Bacteroidales	Lachnospirales	Enterobacterales	Lactobacillales	Burkholderiales	Erysipelotrichales	Acidaminococcales	Pseudomonadales	Desulfovibrionales	Peptostreptococcales
Healthy	26.62906	20.95643	0.0216	0.04653	0	0.29421	0.02471	0.00354		37.34462	26.62906	2.8125	0.04653	0	0.02471	0	0	0.05661	0.00354
Healthy	46.55662	0.12429	0	0	0	0	11.24847	0		20.76636	46.55662	0	0	0.04874	11.24847	0	0	0	0
Healthy	25.0635	7.03706	0.33771	2.82676	0.25302	0.26964	1.00134	0		49.42088	25.0635	0.08119	2.82676	0.46186	1.00134	0	0	0.01742	0
Healthy	56.88681	10.26378	1.2613	0	0	0.17433	1.13999	0		7.28498	56.88681	0	0	0.04642	1.13999	8.81102	0	0.01529	0
Healthy	12.1476	62.9997	21.2371	0	0	0	0	0		3.61561	12.1476	0	0	0	0	0	0	0	0
Healthy	2.9794	4.74411	0.14666	0.04301	0	0.24373	0.03085	0		65.94451	2.9794	0	0.04301	0.11483	0.03085	0.86272	0	0.31288	0
Healthy	4.23484	5.63306	0	0	0	0.63218	0.30044	0		77.56292	4.23484	0	0	0	0.30044	0.06803	0	1.50048	0
D015212	32.95936	14.43249	1.25194	0.12744	0	0.03004	0.29227	0		33.46161	32.95936	0	0.12744	0.00869	0.29227	0	0	0.03258	0
Healthy	13.98492	6.99823	35.90039	0.9221	1.49325	0.4326	0.86835	1.16392		22.77193	13.98492	3.85851	0.9221	0.0586	0.86835	0	0	0	1.16392
Healthy	22.45504	29.68041	0.042	0.15545	0	2.46417	2.20829	0		10.42839	22.45504	0.00058	0.15545	0.09116	2.20829	0	0.32517	0.00355	0
Healthy	25.21853	12.88211	0.25052	0.75708	0.05609	0.18648	0.12104	0.28618		44.35637	25.21853	1.02549	0.75708	1.77066	0.12104	1.22966	0.0872	0.01117	0.28618
Healthy	29.12875	11.49644	0	0	0	0.33473	0	0.05986		50.42891	29.12875	0.19515	0	0.1002	0	0	0	0	0.05986
D015212	12.96877	3.15902	2.16189	0.04024	0	0.33553	1.39242	0		57.06813	12.96877	0.00724	0.04024	0.00954	1.39242	0	0	0.02856	0
Healthy	20.95243	5.56944	0	0.8025	0	0	1.80524	0		57.9843	20.95243	0.81232	0.8025	0	1.80524	3.19845	0	0	0
Healthy	38.42361	2.67302	0.26781	13.96801	0	3.76394	0.05851	0		19.00735	38.42361	0.0911	13.96801	0.16065	0.05851	0	0.42465	0	0
Healthy	35.15934	0.04332	0	1.56902	6.5513	0.03904	0.07394	0.01366		0	35.15934	4.14218	1.56902	0.00158	0.07394	0	0.06891	0	0.01366
Healthy	22.27209	8.95456	0.22672	0.23032	1.21693	0.13451	0.06035	0.17413		22.0643	22.27209	0.92321	0.23032	1.67502	0.06035	0	0	0	0.17413
Healthy	0.65685	5.98487	1.20908	0.0582	2.97255	0.7137	0.49025	0		45.26359	0.65685	0.34649	0.0582	0.01275	0.49025	0.06831	0	0.66408	0
Healthy	6.95679	2.22382	1.62673	17.16755	2.40822	2.27129	4.10863	0		18.16766	6.95679	2.71161	17.16755	0	4.10863	2.97004	0	0	0
Healthy	10.2726	8.33474	0.43785	0.17892	0.05662	0.11806	0	0		63.72663	10.2726	0.07952	0.17892	0	0	0	0	0.06978	0
Healthy	6.52439	6.31917	35.20264	0	12.9858	1.0791	0.02407	0		31.15761	6.52439	0.08088	0	0.0234	0.02407	0	0	0.00756	0
Healthy	17.31738	17.86587	5.54225	0.27012	4.61753	4.33288	4.8168	0.25		21.40224	17.31738	0.16148	0.27012	0.08772	4.8168	0	0.06946	0	0.25
Healthy	0.38881	6.01991	0.0103	0	2.60171	1.34897	0.13551	0		13.2891	0.38881	10.2181	0	0.28406	0.13551	0	0	0.45505	0
Healthy	3.13409	4.69076	0.13383	0.05589	0	0.28366	0.0128	0		65.75268	3.13409	0	0.05589	0.09557	0.0128	0.80514	0	0.33848	0
Healthy	8.78889	17.61636	2.43475	0.45117	5.94604	0.83394	0.40667	0		46.11877	8.78889	0.06381	0.45117	2.51045	0.40667	0	0	0.00124	0
