group	Lachnospirales	Oscillospirales	Actinomycetales	Lactobacillales	Veillonellales	Coriobacteriales	Erysipelotrichales	Peptostreptococcales		Bacteroidales	Lachnospirales	Enterobacterales	Lactobacillales	Burkholderiales	Erysipelotrichales	Acidaminococcales	Pseudomonadales	Desulfovibrionales	Peptostreptococcales
Healthy	20.34868	3.90759	0	0.06107	0	0.1212	0.02544	0		62.6273	20.34868	0.10041	0.06107	5.11519	0.02544	0	0	0.1832	0
Healthy	13.5242	5.08256	5.17109	0.26183	6.75422	3.28633	0.34724	0.31518		35.67643	13.5242	1.5878	0.26183	0	0.34724	0	0	0.0021	0.31518
Healthy	24.25783	11.26172	0.50821	0.3098	6.0531	0.13775	0.03468	0.02589		24.77391	24.25783	0.17777	0.3098	2.74871	0.03468	1.34773	0	0.73306	0.02589
Healthy	6.08834	2.55452	0.07331	0.29319	8.16815	0.04301	0.11697	0		65.50322	6.08834	0.31627	0.29319	0.20062	0.11697	0	0	0.01711	0
Healthy	27.55006	7.76974	1.51079	0.17301	0.01432	0.03607	0.10696	0		55.82042	27.55006	0.14181	0.17301	0.26726	0.10696	4.72287	0.01096	0	0
Healthy	0	0	3.65484	0.18547	0	0.02591	0.50535	0		65.26184	0	0.00296	0.18547	0	0.50535	0	0	0	0
Healthy	30.93704	7.96663	1.11891	1.57639	0	0.17382	0.7768	0.16522		23.5388	30.93704	0.01006	1.57639	1.07478	0.7768	0	0	0.01904	0.16522
Healthy	16.55109	0	0	0	8.53501	0	0	0		59.55566	16.55109	0	0	0	0	0	0	0	0
D015212	19.97712	3.52747	2.97608	2.34142	14.42568	1.16716	0.34429	0.12646		22.4955	19.97712	0.58449	2.34142	0	0.34429	0	0	0	0.12646
Healthy	0.57635	1.3667	0.00275	0.01707	0	0	0	0		92.84776	0.57635	4.36693	0.01707	0	0	0	0	0	0
Healthy	2.45895	0.7415	0	0	0	0	0	0		71.64541	2.45895	2.39681	0	0.34776	0	0	0	0.03509	0
Healthy	2.29701	0.08296	0.21569	0	11.54936	0	0	0		66.88997	2.29701	1.00535	0	0	0	0	0	0	0
Healthy	43.15563	6.25686	0.19572	5.65194	0	0	0.71584	0		18.22271	43.15563	1.29894	5.65194	0.13267	0.71584	0	0	0	0
Healthy	2.0341	0.03196	0.06352	0.19721	8.80238	0.14533	0	0		64.98923	2.0341	11.8998	0.19721	0.15783	0	0	0	0.04396	0
Healthy	9.19371	4.83809	2.06953	0.0103	0	0.30832	0	0		48.62684	9.19371	0	0.0103	0.21671	0	0.11234	0	0.06786	0
Healthy	0.38403	5.65923	0.02622	0.00193	2.57063	1.55862	0.17354	0		12.98923	0.38403	10.014	0.00193	0.24068	0.17354	0	0	0.67751	0
Healthy	20.64043	8.82116	21.13687	9.4777	0.04796	8.28998	3.2326	0		8.73754	20.64043	9.5299	9.4777	0	3.2326	0	0.73774	0.03683	0
Healthy	24.04584	11.41677	0	0.21093	0.01659	0.09938	0.02231	0.18738		51.09131	24.04584	0.2036	0.21093	0.08205	0.02231	0	0.05372	0.55645	0.18738
D015212	5.6042	9.81182	5.90213	0.6207	0	4.38529	0.44254	0.21307		35.74703	5.6042	1.26457	0.6207	0.82452	0.44254	0	0.04319	0	0.21307
Healthy	13.2101	4.25504	0.52452	0.23444	4.99869	0	0	0		65.96314	13.2101	2.91034	0.23444	1.20495	0	0	0	0.01561	0
Healthy	1.67644	6.89891	0	0	0.01559	0.05752	0	0		80.92745	1.67644	0.02984	0	4.329	0	0	0	0	0
Healthy	40.39967	2.48237	0	0.34528	15.9651	0.05698	0	0		24.87324	40.39967	0	0.34528	0	0	0	0	0	0
Healthy	0.47202	1.75236	0.00528	0	0.2159	0	0	0		87.5923	0.47202	0.03588	0	0.00552	0	0	0	0	0
Healthy	0.65051	1.53714	0	0	0	0	0	0		91.9548	0.65051	4.13304	0	0	0	0	0	0	0
Healthy	8.96629	6.03121	1.31049	0.00288	0	0.42338	0	0		67.30225	8.96629	0	0.00288	0.01735	0	0	0	0.06554	0
Healthy	4.66288	3.52316	0.00167	0	4.05717	0	0.02861	0		69.93581	4.66288	0.1421	0	0.23636	0.02861	0	0	0.11411	0
Healthy	12.96484	17.1601	2.83298	0	26.68055	0.73942	0.05895	0.15516		14.11977	12.96484	0	0	0.08527	0.05895	1.57656	0	0.17623	0.15516
D015212	12.55789	13.40674	10.36037	0.36593	0	0.16326	0.63009	0		46.84702	12.55789	0	0.36593	0.00981	0.63009	0	0	0.09494	0
Healthy	0	0	0.10763	0.71116	0	0	0	0		17.81893	0	1.86419	0.71116	0	0	0	77.7156	0	0
Healthy	0	0	0.21683	0	0	0	0	0		86.33174	0	0	0	0.30118	0	0	0	0	0
Healthy	11.56338	3.88763	0.67644	0	4.45934	0	0.09676	0		40.76994	11.56338	0	0	0.26164	0.09676	0	0	0	0
D015212	0.31527	4.18975	0.63179	0.00221	0.92691	0	0.03704	0.00044		73.66153	0.31527	0.11193	0.00221	0	0.03704	0	0	0.12826	0.00044
Healthy	10.77031	8.97941	8.7228	1.4605	0	2.48457	0	0.00649		29.8191	10.77031	0	1.4605	0.11919	0	0.00966	0	0	0.00649
Healthy	4.74488	2.42562	0.40479	0	6.12746	0	0.2803	0		69.3746	4.74488	0	0	0.24045	0.2803	0	0	0	0
Healthy	27.7372	6.86965	0.5554	9.32115	0.00304	2.05874	5.43584	0		23.22308	27.7372	1.84917	9.32115	0.02352	5.43584	2.32279	0	0.05309	0
Healthy	1.93201	3.85463	0.20472	0	0	0	0	0		2.87138	1.93201	0	0	0	0	0	0	0	0
Healthy	26.41635	13.63679	1.24331	0.23423	0.65846	0.24301	0.00649	0.01909		33.93413	26.41635	1.57368	0.23423	1.29475	0.00649	2.67787	0	0	0.01909
Healthy	19.14214	9.84968	0.07222	0.1242	0.07043	0	0.00291	0.05917		54.92257	19.14214	0.23566	0.1242	0.00722	0.00291	0.06406	2.35765	0	0.05917
Healthy	28.95117	9.13305	0.32847	0.44134	0.05479	0.00195	0.02612	0		40.90707	28.95117	2.26157	0.44134	5.87215	0.02612	0.85476	0.00957	0	0
Healthy	23.27727	9.3625	6.02104	0.03109	2.05788	0.02057	0.30242	0.55938		42.61863	23.27727	1.63806	0.03109	0.02424	0.30242	0	0	0	0.55938
Healthy	6.6805	7.31159	0.55606	0.0183	0.37364	0.2526	0	0		64.0462	6.6805	0.08197	0.0183	1.39296	0	0	0	0.19126	0
Healthy	1.69878	0.9067	0.10908	2.62122	0.70908	0.15091	0.00061	0		8.68713	1.69878	77.2984	2.62122	0	0.00061	0	0.09237	0	0
Healthy	13.96067	1.45118	0	0	0	0	2.74118	0		34.57653	13.96067	0	0	0	2.74118	0	0	0	0
Healthy	44.45119	10.13094	0.08365	1.75565	0.14382	0.11936	2.53339	0		27.98001	44.45119	0.18071	1.75565	0	2.53339	2.37654	0	0	0
D015212	45.13633	9.45177	1.28517	1.59529	0.06019	0.68644	0.24618	0		27.33276	45.13633	0.47073	1.59529	0	0.24618	0	0	0	0
Healthy	7.16031	4.86292	14.26406	0	0.1588	1.34424	0.00747	0.08164		56.32792	7.16031	0.00945	0	2.03547	0.00747	0	0	0	0.08164
D015212	1.31586	9.24605	0.14533	0.09299	0.38034	0.02419	0.00152	0.03277		54.9959	1.31586	1.61448	0.09299	1.64608	0.00152	0	0	0.28412	0.03277
Healthy	1.54044	7.22664	0.71515	0.09687	0.14006	0.06541	0	0		80.95711	1.54044	0.58478	0.09687	0.25185	0	0	0	0	0
Healthy	33.51811	24.41231	0	0.02305	0	0.02777	0	0.081		35.94443	33.51811	0.10564	0.02305	0.00397	0	0	0	0.02346	0.081
Healthy	1.48738	1.84493	0.25825	0	6.13742	0	0.02327	0		69.60656	1.48738	0.05765	0	0.1336	0.02327	0	0	0	0
Healthy	0.04822	0	18.0847	1.40283	0	0.00056	0	0.00032		2.48786	0.04822	9.92646	1.40283	0.15393	0	0	0.33189	0	0.00032
Healthy	13.11846	9.4907	0.33917	0.70598	0.24884	0.07553	0.29385	0.2242		58.01557	13.11846	0.1135	0.70598	0.42497	0.29385	0	0	0.00159	0.2242
Healthy	21.60129	8.66396	21.53076	0	0.61306	0.03504	0.38366	0.0456		42.6898	21.60129	0.86819	0	0.03817	0.38366	0	0	0	0.0456
Healthy	23.54448	41.7923	16.64539	1.01297	0.12248	0	0	0.25889		12.0482	23.54448	0	1.01297	0	0	0	0	0	0.25889
Healthy	10.31941	10.87567	0.03878	0.17742	0	0.66904	0	0		60.78524	10.31941	0	0.17742	3.16701	0	0	0	0	0
Healthy	20.52769	24.00314	7.92426	2.7439	13.5926	8.43543	0.3619	0		15.93134	20.52769	1.3884	2.7439	0	0.3619	0	0.49486	0	0
Healthy	17.58457	16.66666	0.15993	0.27861	3.49624	0.02349	0.74657	0.02029		13.98049	17.58457	0.20335	0.27861	0.11625	0.74657	0.28523	0	0	0.02029
Healthy	20.55581	18.76948	0.02782	0.37362	0.03572	0.04849	0.11645	0.01837		48.27273	20.55581	0.45542	0.37362	0.93434	0.11645	0	0.0053	0.38467	0.01837
Healthy	14.16387	10.80279	0	0.00399	0	0.2844	0.05151	0		64.67191	14.16387	0	0.00399	0.01494	0.05151	0	0	0.01957	0
D015212	14.44649	13.52755	0.35279	0.03497	0.00045	0.76237	0.01423	0		44.56312	14.44649	0.0628	0.03497	0.09932	0.01423	0	0	0.02849	0
Healthy	0.81264	4.70002	0.02676	0	9.1095	0.69806	0.33887	0		54.34622	0.81264	1.00028	0	0.30854	0.33887	0	0	0.11766	0
Healthy	23.68743	9.65306	1.9982	8.57927	0	3.6383	0.6313	0		38.06069	23.68743	0	8.57927	0.05722	0.6313	3.25716	0	0.78752	0
Healthy	19.90362	10.34233	0.01022	0	0	0	0	0		46.40154	19.90362	0.01139	0	6.39631	0	1.39311	0	0.00447	0
Healthy	1.61093	1.78877	0.2713	0	5.91116	0.00671	0.03409	0		69.81187	1.61093	0.01982	0	0.14096	0.03409	0	0	0	0
Healthy	5.1752	4.31377	0.41541	0	6.11356	0	0.29545	0		68.66863	5.1752	0	0	0.11941	0.29545	0	0	0	0
D015212	20.39163	9.54171	0	0.28695	2.84597	0.80891	0.042	0.01156		62.70312	20.39163	0.13607	0.28695	0	0.042	0	0	0	0.01156
Healthy	13.85288	3.36929	0	0	6.04242	0	1.14516	0		62.75116	13.85288	0	0	0.61452	1.14516	0	0	0	0
Healthy	0	0	17.84914	0.09589	4.68887	0	1.34069	0		50.2751	0	7.55457	0.09589	0.00509	1.34069	0	0.1399	0	0
Healthy	8.28516	16.37296	5.74016	0.1932	0.02088	2.09797	0.02936	0.06063		40.28616	8.28516	10.54654	0.1932	2.13392	0.02936	0	0.04349	0.01696	0.06063
Healthy	20.62588	5.12831	0.8986	0	0	0.65911	0.18937	0.03406		62.88804	20.62588	0.92074	0	1.42709	0.18937	0	0	0	0.03406
Healthy	1.72788	5.22414	0.34325	0.01269	9.31112	0.21169	0.09325	0		76.47648	1.72788	0.221	0.01269	0.03153	0.09325	0	0	0.00758	0
Healthy	0.45797	19.33646	0.08636	0	1.76006	0.0005	0.00428	0		74.627	0.45797	0.04127	0	0.36943	0.00428	0	0	0	0
D015212	79.84923	1.17034	0.89549	0.29658	1.19874	0.05468	1.65207	0.98696		0	79.84923	0.65694	0.29658	0	1.65207	0	0.05232	0	0.98696
Healthy	6.10625	19.37463	0.10382	0	0	0	0	0		51.42544	6.10625	0.02829	0	0.04098	0	0	0	0.67046	0
Healthy	2.60477	0.08218	0.18445	0	11.10511	0	0	0		67.06407	2.60477	0.91502	0	0	0	0	0	0	0
Healthy	21.15606	3.89088	0	0.05492	0.00272	0.14617	0.01484	0		60.82889	21.15606	0.09197	0.05492	5.3442	0.01484	0	0	0.2095	0
Healthy	4.06038	3.45482	0.20128	0.07424	0	0	0.01711	0		86.81178	4.06038	1.48694	0.07424	0.13223	0.01711	0	0	0.1116	0
Healthy	12.34772	11.96576	0.45177	0.1097	0.04549	0.05205	0.17118	0.01953		48.55793	12.34772	0.01115	0.1097	2.20383	0.17118	0	0	0.01137	0.01953
Healthy	25.41698	26.24523	19.09358	2.05809	0	1.56759	0	0		7.31907	25.41698	0	2.05809	0	0	0	0	0	0
Healthy	32.64568	23.95417	0	2.13829	0	2.29713	1.40381	0		25.56865	32.64568	0	2.13829	0.0246	1.40381	0	0	0	0
Healthy	15.68244	2.32958	0	0.04118	15.2035	0.07535	0.01402	0.01496		50.74802	15.68244	0.31808	0.04118	0.41934	0.01402	0	0	0	0.01496
Healthy	41.85287	1.73014	0.16374	0.2262	0	0.0526	0.01084	0		38.94166	41.85287	5.96187	0.2262	0.11315	0.01084	0	1.87907	0.50015	0
Healthy	32.09044	4.50043	1.55633	4.14504	0	0.46936	1.27661	1.1828		28.71889	32.09044	13.17469	4.14504	0.00206	1.27661	2.55659	0	0.00589	1.1828
Healthy	48.7524	8.20338	0	0.16711	0	0	1.77936	0		30.04631	48.7524	0	0.16711	0	1.77936	1.0336	0	0	0
Healthy	43.61226	7.74264	0.20811	0	0	0.35193	1.16405	0		26.72493	43.61226	0	0	2.00692	1.16405	0	0	0	0
Healthy	5.93259	1.88463	0.15633	0.40722	0	0.21498	0.0236	0		80.57588	5.93259	0.11192	0.40722	0.62357	0.0236	0	0	0.12417	0
Healthy	9.28142	6.30887	1.49145	0.00541	0.01319	0.30201	0	0		66.88368	9.28142	0	0.00541	0.03262	0	0	0	0.09285	0
Healthy	35.58038	31.09104	4.63678	3.03464	3.21651	1.00147	0	0		15.49106	35.58038	0	3.03464	0	0	0	0	0	0
Healthy	2.52501	0.08504	0.2633	0	11.65988	0	0	0		65.74523	2.52501	1.15375	0	0	0	0	0	0	0
Healthy	1.15002	1.47916	0	0.24503	3.62148	0.12811	0.02447	0		88.54341	1.15002	0.42786	0.24503	0.09614	0.02447	0	0	0	0
D015212	5.53608	0	2.31164	0.49464	3.1025	0.37349	0.08947	0.23618		0.42883	5.53608	2.90468	0.49464	0	0.08947	0	0	0	0.23618
Healthy	33.95497	0.06269	4.85168	1.1701	0.05235	0.08686	1.02876	5.9266		38.53477	33.95497	1.70243	1.1701	0.42103	1.02876	0	0.00221	0	5.9266
Healthy	0.63738	8.11208	1.12073	0.09968	3.09071	0.76581	0.55308	0		45.56493	0.63738	0.38936	0.09968	0.04306	0.55308	0.09824	0	0.64934	0
Healthy	11.51499	19.06213	26.00283	0	0	1.1403	0	0		25.46761	11.51499	0.80866	0	1.84863	0	0	0	0	0
Healthy	22.82702	13.34316	13.96975	0.18131	3.74702	1.33183	0	0.00231		27.08035	22.82702	0	0.18131	1.47353	0	0	0	0.00668	0.00231
Healthy	2.44034	11.68677	0	0.04032	0	0.58729	0	0		67.07715	2.44034	0.04569	0.04032	5.88561	0	0	0	0	0
Healthy	12.00207	0.53176	0	0.08284	0	0	0.02398	0		79.59677	12.00207	3.07745	0.08284	0.10274	0.02398	0	0	0.02721	0
Healthy	23.03604	16.69997	15.12158	1.61373	4.34749	0.62139	1.90826	0.4346		10.48737	23.03604	0.29525	1.61373	0	1.90826	0.66471	2.54566	0	0.4346
Healthy	2.48131	0.81871	0	0	0	0	0	0		70.9806	2.48131	2.07969	0	0.37989	0	0	0	0.10091	0
Healthy	27.02578	27.67614	14.59216	1.40402	2.36428	0.57896	0	0		18.80944	27.02578	2.75306	1.40402	0	0	0	0	0	0
Healthy	27.28254	12.18951	0.54909	0	2.17607	0	0	0.77823		28.8121	27.28254	0.09449	0	0.07436	0	0	0	0	0.77823
Healthy	19.70649	4.44006	0	0	0	0.1063	0.07539	0		64.81071	19.70649	0	0	1.16749	0.07539	0	0	0.43223	0
Healthy	10.06013	0.35095	0	0	0	0	0	0		85.39423	10.06013	1.399	0	0	0	0	0	0	0
Healthy	7.84032	1.32952	0	0	0.00896	0.24786	0.17183	0		60.68742	7.84032	0.24804	0	0.01735	0.17183	1.24016	0	0	0
Healthy	30.39926	21.38723	1.27175	0.03603	2.00579	1.1532	0.10226	0.0007		27.35827	30.39926	2.07421	0.03603	0.0221	0.10226	0	0.06487	0.34193	0.0007
Healthy	8.4705	4.30793	0.01975	0	0	0	0	0		76.25237	8.4705	0.09706	0	0.08897	0	0.16495	0	0.00306	0
Healthy	17.08991	22.15667	3.55909	0	5.36896	0	0	0		31.55205	17.08991	0	0	0	0	0	0	0	0
Healthy	40.99906	9.82673	0.77591	0.43477	7.52594	0.08061	0.00516	0		22.85404	40.99906	0	0.43477	0.00845	0.00516	0	0	0.0123	0
D015212	17.20547	15.77091	7.07741	6.82622	0.0311	2.39172	0.67291	1.0284		36.05325	17.20547	0.27142	6.82622	1.51926	0.67291	0	0	0	1.0284
Healthy	36.68818	32.43446	4.23558	2.50306	0	0.28128	0.00038	0.02016		0.84417	36.68818	2.30231	2.50306	0	0.00038	0	8.42604	0	0.02016
Healthy	20.99256	6.77981	35.31827	0	1.36615	0.14301	0.42747	0.42088		26.60649	20.99256	0.85456	0	0.0026	0.42747	0	0	0	0.42088
Healthy	12.29415	1.73417	0.00694	0	0	0	0.52152	0		81.6959	12.29415	0	0	0	0.52152	0	0	0	0
D015212	14.93352	10.03106	2.81809	0.37359	4.85446	0.31473	0.60843	0.03459		45.13861	14.93352	0	0.37359	2.23176	0.60843	0	0	0.00463	0.03459
Healthy	23.61941	34.5574	4.90922	0.77597	0.41556	0	0.68762	0.05872		19.46004	23.61941	0	0.77597	0.06878	0.68762	0.22735	0	0	0.05872
Healthy	2.21262	0.86535	0	0	0	0	0	0		1.0593	2.21262	0	0	0	0	0	0	0	0
Healthy	0.57429	8.08383	1.11718	0.08386	3.08492	0.76734	0.55441	0		45.89856	0.57429	0.5421	0.08386	0.02185	0.55441	0.06436	0	0.69799	0
Healthy	17.65966	16.38094	0.01724	0	0	1.0065	0	0		41.50004	17.65966	0.03561	0	5.21258	0	0	0	0.05916	0
Healthy	5.33313	7.14021	20.61476	0.22417	0	0.37033	1.93521	0		16.15155	5.33313	19.4089	0.22417	0	1.93521	1.68488	0.81899	0	0
Healthy	18.82662	6.94334	0.00853	0.10111	0	0.11976	0.51899	0		50.36431	18.82662	0	0.10111	0	0.51899	5.18	0	0.19257	0
D015212	13.44421	9.44261	5.33251	0.4277	0.12054	6.46031	0.07251	0.08812		55.41874	13.44421	0.52932	0.4277	3.71876	0.07251	0	0.0029	0	0.08812
Healthy	5.10605	2.46331	0.40995	0	6.2613	0	0.28005	0		69.39126	5.10605	0	0	0.15717	0.28005	0	0	0	0
Healthy	12.23176	1.69879	0.07759	0.65049	0.24336	0.07659	0.17638	0.10377		80.88058	12.23176	0.64238	0.65049	0	0.17638	0	0.00961	0	0.10377
Healthy	9.23465	4.42969	1.11226	0.2874	0.01053	0.11511	0.06866	0.07969		77.87295	9.23465	0.39583	0.2874	0.53882	0.06866	0.00354	0.16248	0.00186	0.07969
Healthy	35.46094	8.53343	0	0	3.90595	0	0	0		24.71545	35.46094	0	0	0.25355	0	0	0	0	0
Healthy	22.1625	15.62476	0.52932	0.26246	0	0.06671	6.09462	0		35.63195	22.1625	0.03	0.26246	0.23757	6.09462	3.13391	0	0.00321	0
Healthy	3.72731	7.0161	0.79425	0.08932	0	0.57128	0.18301	0		70.99252	3.72731	0	0.08932	3.24403	0.18301	0	0	1.33117	0
Healthy	17.81643	18.24398	2.30612	0.03414	0	1.23412	0	0		44.1636	17.81643	0.47582	0.03414	0.19732	0	0	0	0	0
Healthy	0.63088	1.46182	0	0	0	0	0	0		92.47901	0.63088	4.53415	0	0	0	0	0	0	0
Healthy	10.51845	9.47927	0.2213	0	0	1.68149	0	0		56.09489	10.51845	0	0	4.74194	0	0	0	0.07375	0
Healthy	13.35752	3.84335	0.40388	0.20951	4.7958	0	0	0		66.2303	13.35752	2.7571	0.20951	1.10957	0	0	0	0	0
Healthy	0.97368	1.5586	0.07476	0	0	0.4575	0	0		41.8416	0.97368	0.12373	0	1.04682	0	10.5536	0	2.65193	0
Healthy	13.71249	4.86076	7.01303	0.42642	0	1.36934	0	0		20.75023	13.71249	0	0.42642	0.12538	0	0.21907	0	0	0
Healthy	3.42316	3.2623	0.18279	0.06726	0	0	0.03171	0		87.7612	3.42316	1.53536	0.06726	0.11023	0.03171	0	0	0.09632	0
Healthy	5.991	5.92507	11.87695	0.27211	0	1.79548	0.00479	0		57.5046	5.991	0.20751	0.27211	0.00381	0.00479	0	0	0.10935	0
Healthy	45.26128	16.99438	0.44124	2.64924	0.04534	0.63577	0.00183	0.41982		16.91489	45.26128	2.01148	2.64924	0.02597	0.00183	1.09308	0.51495	0.08277	0.41982
Healthy	16.22241	15.46271	0.17093	0.00069	7.59543	0.00074	0.30169	0.00031		32.23104	16.22241	0	0.00069	0.03603	0.30169	0	0	0	0.00031
Healthy	31.60651	6.16718	0	0	0	0.20099	0	0		55.35614	31.60651	0.45777	0	0.03172	0	0	0	0.02455	0
Healthy	1.37921	0.75741	0	0	8.60092	0	0	0		60.41193	1.37921	5.44491	0	1.42702	0	0	0	0.22609	0
Healthy	19.00012	14.35694	23.97566	0.55472	1.57209	0.15105	0.52873	0.38722		26.77579	19.00012	1.8414	0.55472	0.03924	0.52873	0	0	0	0.38722
Healthy	2.28573	0.08765	0.21668	0	11.44107	0	0	0		67.44375	2.28573	1.20195	0	0	0	0	0	0	0
Healthy	5.53462	0.30864	0	0	4.05997	0	0	0.34577		66.12035	5.53462	0.84789	0	0	0	0	0	0	0.34577
Healthy	5.55094	4.43298	4.35992	0.00177	2.85673	0	0	0		70.13297	5.55094	0.22271	0.00177	0.23241	0	0	0	0.11614	0
Healthy	5.87078	5.99463	12.11273	0.20327	0	1.8823	0.00951	0		56.39179	5.87078	0.05389	0.20327	0.00574	0.00951	0	0	0.0717	0
Healthy	31.25844	28.49601	1.25356	0	1.27523	0.14193	0.42068	0.35653		23.30865	31.25844	0.846	0	0.0336	0.42068	0	0	0	0.35653
Healthy	22.10185	16.2683	4.89218	2.81321	0.93998	0	0	0		22.89065	22.10185	1.2167	2.81321	0	0	0	0.39466	0	0
Healthy	69.83677	1.65543	0	0	0	0	0	0		19.52397	69.83677	0	0	0.22402	0	0	0	0	0
D015212	17.83268	8.12367	11.47425	0.93273	0	1.15514	1.77136	0		45.677	17.83268	0	0.93273	0.07213	1.77136	0	0	0.02411	0
Healthy	9.86494	8.08684	0.97922	0.21223	0.68633	0	0.2238	0.24409		63.77111	9.86494	2.14854	0.21223	0.01662	0.2238	0	0	0	0.24409
Healthy	2.41508	7.91954	0	0.01202	0.3382	0.30221	0	0		67.86063	2.41508	0.04879	0.01202	0.02925	0	0	0.01062	0.06204	0
Healthy	13.47566	6.94337	0	0	0	0	0	0		60.69024	13.47566	3.60249	0	0.31371	0	0	0	0.28287	0
Healthy	0	0	0	0	2.15205	0	0	0		68.7163	0	0	0	0	0	0	0	0	0
Healthy	23.52533	7.22758	0.26336	0	0	0.03826	2.52225	0.05978		8.95235	23.52533	0	0	0.01271	2.52225	0	0	0	0.05978
Healthy	7.05512	11.46075	0.4665	0.01747	0	1.47642	0.11142	0		53.88338	7.05512	0.0051	0.01747	0.06781	0.11142	0	0.10895	0.64324	0
D015212	46.0193	5.28572	0.0122	0.9817	3.84476	0.12009	0.09809	0.09201		0	46.0193	0	0.9817	0	0.09809	0	0	0.65414	0.09201
Healthy	8.92962	7.3354	0	0.02346	0.08151	0.3783	0	0		59.47556	8.92962	0	0.02346	11.6155	0	0	0	0	0
Healthy	14.21606	11.31986	0.45801	2.23373	0.22984	0.18177	0.08251	0.21753		66.96559	14.21606	0.73037	2.23373	0.69891	0.08251	0	0	0.11504	0.21753
Healthy	10.11818	18.19346	5.27002	0	0.63239	0	0	0		54.39563	10.11818	0	0	2.52426	0	0	0	0	0
Healthy	21.72554	15.78044	18.16577	0.32283	0.00087	0.82294	0	0.19056		22.01124	21.72554	1.86595	0.32283	1.37103	0	0	0	0.14269	0.19056
Healthy	17.04743	10.61777	0.36583	0.06128	0.22855	0.24671	0	0.22324		62.88602	17.04743	0	0.06128	0.00657	0	0	0	0.00715	0.22324
Healthy	3.17894	1.65189	0.47029	0	0	0.19978	0.05228	0		77.74572	3.17894	0.027	0	5.64129	0.05228	0	0	0.14421	0
Healthy	3.146	3.84158	0.58068	0	6.46852	0.18884	0.1265	0		77.15751	3.146	0.07842	0	0.18971	0.1265	0	0	0.05495	0
Healthy	0.38565	5.80588	0.01535	0.01202	2.74722	1.46508	0.16398	0		13.35234	0.38565	10.6542	0.01202	0.23267	0.16398	0	0	0.72008	0
Healthy	0	0.00083	27.0547	3.34539	3.93941	0.02426	0.17772	0.01881		12.31931	0	3.55218	3.34539	0	0.17772	0	3.52757	0	0.01881
Healthy	1.9568	6.53008	0	0	0.13726	0.13318	0	0		61.52629	1.9568	0.04316	0	0.00587	0	0	0	0.03414	0
Healthy	29.47953	1.96996	0	0	0	0	1.18947	0		41.3138	29.47953	0	0	0	1.18947	0	0	0	0
Healthy	30.42778	4.07104	0.2155	0.0203	0	0.03036	0.06983	0.03699		26.0167	30.42778	1.00904	0.0203	0	0.06983	0	0	0.04745	0.03699
Healthy	5.01193	15.89829	49.76916	2.63975	0.28195	1.67314	0.15696	0.13719		8.23024	5.01193	0	2.63975	0	0.15696	0	0	0.01788	0.13719
Healthy	0.00652	0	36.14721	0.06942	0	0	0	0		59.19358	0.00652	4.29323	0.06942	0	0	0	0.19873	0	0
Healthy	36.63131	0.36792	0	0.67212	4.72148	0	0	0		39.1705	36.63131	5.59311	0.67212	0.03579	0	0	0	0	0
Healthy	11.14217	4.4971	1.40857	0.02675	6.34787	0.02305	0.17496	0.03757		33.35905	11.14217	0.04674	0.02675	0.08368	0.17496	0	0	0.00212	0.03757
Healthy	43.84906	16.64414	0.41214	2.54226	0.01114	0.66136	0	0.45812		17.70602	43.84906	2.06757	2.54226	0.01483	0	1.1635	0.60344	0.0843	0.45812
Healthy	10.84159	48.86048	0	0	0	3.02327	0	0		15.74507	10.84159	0	0	0	0	0	0	0	0
Healthy	24.305	7.03764	0	0.10091	0.32115	0	0	0.66563		62.55839	24.305	0	0.10091	0	0	0	0	0	0.66563
Healthy	4.2111	1.01176	0.39687	0.31322	15.318	0.58803	0	0		57.60587	4.2111	0	0.31322	0.26719	0	0	0.02173	0.02339	0
D015212	24.33793	22.93825	21.31958	1.38506	0.06785	0.28451	0.06823	0.11858		19.50995	24.33793	0.36146	1.38506	0.19726	0.06823	0	0	0	0.11858
Healthy	21.03439	4.13178	0	0.0782	0	0.18221	0.02457	0		62.10895	21.03439	0.13135	0.0782	5.03773	0.02457	0	0	0.1922	0
Healthy	1.23217	2.15337	0	0.01606	0	0.10075	0	0		43.68784	1.23217	0	0.01606	0.12874	0	0	0	0.04787	0
Healthy	36.2769	13.231	0.11193	0.05262	0	1.19723	0	0		37.00331	36.2769	0.25682	0.05262	0.04164	0	0	0	0	0
Healthy	9.67989	0	0	0	0	0	0	0		54.07795	9.67989	0	0	0	0	0	0	0	0
Healthy	31.8156	28.6598	0	0.27659	1.02417	0	0	0		26.73081	31.8156	0	0.27659	0.03047	0	0	0	0	0
D015212	23.5116	9.62534	2.31185	1.30667	3.67784	4.01313	0.09635	0.49984		36.66596	23.5116	0.14529	1.30667	0	0.09635	0	0	0	0.49984
Healthy	7.41093	6.31896	0.81819	0.4411	0.11644	0	0.07281	0		60.91644	7.41093	0.69592	0.4411	2.30368	0.07281	0.26428	0	0	0
Healthy	6.17621	11.14261	0	0	0	0	0.028	0		48.31568	6.17621	0.03994	0	0.14103	0.028	0	0	0.23731	0
Healthy	2.09958	1.34671	5.8666	0.01043	3.29913	0.05954	0.2326	0.00249		64.79763	2.09958	1.60077	0.01043	0.06611	0.2326	0.00033	0	0	0.00249
