group	Phocaeicola	Enterocloster	Dialister	Veillonella	Ruminococcus_B	Faecalimonas	Clostridium_Q	Flavonifractor	Muricomes	Longicatena	Alistipes	Ruminococcus_H	Lachnospira	Barnesiella	Coprococcus	Methanobrevibacter_A	Flavonifractor	Alistipes_A	Coprococcus_A	Adlercreutzia
Healthy	8.8206	0.01364	0.386	0.03268	0	0	0	0.16032	0	0	13.77824	0.70541	3.35956	5.23642	0	0.18758	0.16032	0.03009	0	0.00917
Healthy	14.17328	0.39719	0	0	0	0	0	0.02715	0	0	6.19704	0.02428	0.00723	2.61653	0	0.07048	0.02715	0.05137	0.13775	0.00649
Healthy	16.15733	0.87631	0	0.04899	0	0	0	0.08103	0	0	2.5474	0.64251	1.39552	1.20157	0.97521	0	0.08103	0.00799	0.38593	0.04105
Healthy	6.78371	0.26551	10.2571	0.02073	0.0148	0	0	0.21544	0.00297	0.00016	1.75725	3.91891	0	0	0	0	0.21544	0.0182	0.50052	0.02361
Healthy	14.24669	1.12558	0	0	0.01194	0	0	0.02161	0	0.00364	6.13224	4.92965	0.15402	3.70146	2.95455	0.52921	0.02161	0.09568	0.1537	0.26867
Healthy	9.91634	0.01573	6.24256	0.23551	0	0	0.00142	0.10007	0	0	8.60817	0.9933	0	6.38478	0	0	0.10007	0.06004	0	0
Healthy	6.90486	0	0	0.58462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Healthy	9.48292	0.96456	0	0	0	0	0	0.2895	0	0	8.31905	1.82773	0.01992	3.61045	0	2.8803	0.2895	0	0.13245	0
Healthy	9.37368	0.09105	3.32443	0.03427	0.02053	0	0.48828	0.18962	0	0	0	0	0	0	0	0	0.18962	0	0	0
Healthy	8.34532	0.14689	0	0	0	0	0	0.12367	0	0.00061	11.63986	0.02157	3.15195	0	0	0	0.12367	0	0	0
Healthy	1.82166	1.88463	0	0	0	0	0	0.66922	0	0	8.93454	0.98058	0.53345	0.67267	0	0.54614	0.66922	0.00624	0	0
Healthy	13.1972	1.06288	0	0	0	0	0.02064	1.66202	0	0	16.12624	0	0	3.37828	0	0	1.66202	0	0	0
Healthy	18.2992	0.60527	0.59117	0	0.07063	0	0	0.0234	0	0	0.23838	0.15905	5.54406	4.44353	8.31452	15.6428	0.0234	0	0.43583	0
Healthy	11.82214	0.47844	0	0	5.39169	0	0	0	0	0	3.02671	2.6742	4.45083	4.1818	0	0.32705	0	0	0	0
Healthy	2.93751	2.53167	0	0	0	0	0.17587	0.59111	0.09698	0	1.4586	0	0	2.56053	0	0	0.59111	0.04504	0	0
Healthy	6.6972	0.22579	4.25365	0.875	0	0	0	0	0	0	0	6.37254	2.69737	0.46476	25.01375	3.21156	0	0	0	0
Healthy	10.52734	0.01556	6.31044	0.22337	0.00483	0	0	0.14654	0	0	8.41418	0.9626	0	6.22598	0	0	0.14654	0.02679	0	0
Healthy	1.06016	1.87818	2.39552	0	0	0.84621	0	0	0	0	1.61128	6.10013	0	0	0	1.04718	0	0	0.27437	0
Healthy	11.53363	0.90362	0	0.00473	0.01648	0	0	0.00299	0	0	5.49021	1.98987	0.14707	0	0	0	0.00299	0.26567	0.03973	0
D003424	0	0.00353	0.16576	0	0.02383	0	0.01872	0.21748	0	0	5.53323	0	0.32049	0	0	0	0.21748	0	0	0
Healthy	25.99	0.09816	6.35013	0	0.00686	0	0	1.74357	0	0.24099	11.47761	0	0	0	0	0	1.74357	0.1613	0	0
Healthy	25.34044	0.02291	0	0	0	0	0	0.02547	0	0	22.15493	0	0	1.7863	0	0	0.02547	0.05469	0	0
Healthy	10.73469	0.41483	11.5958	0	0	0	0	0	0	0	5.79551	1.94348	0.06065	0.89589	0	0.60936	0	0	0	0
Healthy	2.96022	0.45183	0.22524	0	0.00091	0	0.0004	0.03175	0.00145	0.0032	20.6628	11.6922	1.60469	0	0	0.01981	0.03175	0	0.00219	0.06196
Healthy	0	0.27756	0	0.01956	0.00557	0.221	0.29612	0.00521	0.10584	0.03527	6.05686	0	0	0	0	0	0.00521	0	0	0
Healthy	4.78637	0.61162	4.06746	0.01217	0.14116	0.0264	0.07417	0.13195	0.00719	0.02503	5.4983	3.74279	2.74721	0	0	0	0.13195	0	0	0.18515
Healthy	4.32731	0.24044	0	0	0.11141	0	0.01212	0.01037	0	0	4.3396	0.01244	6.93721	3.89693	0	0	0.01037	0.08978	0.11583	0.23981
Healthy	2.48726	0.17365	0	0	0	0	0	0.14019	0	0	17.09281	2.58589	3.63073	9.5509	2.09214	0.54243	0.14019	0.05238	0.14645	0.06226
Healthy	11.13396	0	4.47702	0.29998	0	0	0	0.04626	0	0	6.97937	0	1.00354	1.10706	0	0	0.04626	0	0	0
Healthy	38.9977	0	0	0	0	0	0	0.0164	0	0	11.65477	0	1.25634	0	0	0	0.0164	0.18968	0	0
Healthy	25.50139	0.5447	0	0	0.05311	0.13412	0.03988	0.13021	0.02348	0	0.33602	0	0.00245	0	0	0	0.13021	0.17847	0.10801	0
Healthy	1.92356	0	0	0	0	0	0	0	0	0	23.11237	0.03785	0.56016	1.61717	0	0	0	0.01862	0	0.09067
Healthy	20.29037	0.01641	2.48965	0.20284	0	0	0	0	0	0	28.77168	2.07785	1.37995	2.7737	0.03511	0	0	0.20337	0	0
Healthy	15.87917	1.90813	0.14204	0.00824	0.05193	0	0.00814	0.08154	0.00482	0.0072	8.7859	0	0.10851	2.84294	0	0.00715	0.08154	0.0424	0	0.22901
Healthy	0.63726	0.28013	9.30256	0	0.01119	0	0	0.17583	0	0.00279	2.49326	0.54292	0.03085	0	0	0	0.17583	0	0.00678	0
Healthy	15.2913	0.19726	0.26986	0.00209	0.05435	0	0	0.01682	0	0	7.99269	0.04283	1.20006	0.51114	0.28759	0.05897	0.01682	0	0.11158	0.05276
Healthy	0	0.85549	0	0	0.0266	0	0	0	0	0	0	32.4931	1.46406	0	0	1.97108	0	0	0.5795	0
D003424	16.48616	0.56374	0.03827	0	0	0	0	0.02974	0	0	3.17621	0	0.21326	2.932	0	0	0.02974	0	0.0188	0
Healthy	9.49546	0.13561	3.34381	0.02362	0.01424	0	0.43633	0.20572	0	0	0	0	0	0	0	0	0.20572	0	0	0
Healthy	23.72832	0.03017	1.41269	0	0	0	0	0	0	0	3.7531	3.02639	4.54339	0	0	0	0	0	0.09662	0
Healthy	31.1537	0.3291	0	0	0	0	0	0.15639	0.06952	0	0.63812	0	1.59611	0	0	0	0.15639	0	0	0.51129
Healthy	12.0342	0.40561	0	0	0	0	0	0.23769	0.08949	0	0.89891	0	1.85138	0	0	0	0.23769	0	0	0.7355
Healthy	27.40174	0.05507	5.34871	0.028	0.00935	0	0	0.081	0	0	0.87139	2.56626	2.17114	1.24513	0	0	0.081	0	0.03205	0.03641
Healthy	7.42227	0	0	0	0	0	0	0.1543	0	0	24.34596	0.27637	1.5073	1.10334	0.21999	0	0.1543	0.08903	0.01057	0
Healthy	15.43197	0	4.62199	0	0	0	0	0.0264	0	0	2.45469	0	0.5676	3.76568	0	0	0.0264	0.00312	0	0
Healthy	1.12409	0.65934	0	0	0	0	0	0.04991	0	0	17.06665	1.06684	0	6.29834	0	0	0.04991	0	0	0.14686
Healthy	0.7916	0.04138	0	0	0.07356	0	0.00113	0.05913	0.0059	0.00209	0.15948	0	0	0	0	0	0.05913	0.04022	0	0
Healthy	18.3158	0.09799	0	0.008	0.09022	0.0228	0.08828	0.04607	0.00265	0.00545	0	1.5587	5.45362	0	0	0	0.04607	0	0	0
Healthy	3.15064	1.01141	5.07885	2.80187	0.00665	0	1.87455	0.1339	0.56096	0	0	0.0013	0.11061	0	0	0	0.1339	0	0	0
Healthy	12.72925	2.16324	0	0	0	0	0	0	0	0	0.23084	11.9056	2.8533	1.08835	0	0	0	0	0.28184	0
D003424	7.11173	0.09868	0	0	0.00985	0	0.00504	0.11485	0.00747	0.00287	5.3506	0	4.09469	0	0	0	0.11485	0	0	0
Healthy	1.23676	0.09151	1.99584	0	0.09717	0	0.05149	0	0	0.5723	0.61624	17.0343	0	0	0	0	0	0	0	0.19679
Healthy	1.80253	0.79534	0	0	0	0	0	0	0	0	0.03482	0.55983	4.53078	0	2.16684	0	0	0	0.29771	0
Healthy	4.12706	2.08235	0	0	0	0	0	1.53569	0	0	15.1618	3.29959	3.00852	0.10558	0.2517	0.57278	1.53569	0.07651	0.3148	0
Healthy	1.65363	0.50451	0	0	0	0	0	0	0	0	2.85475	0.10202	0.3519	0.16735	8.02146	0.1514	0	0.01553	0.21873	0
Healthy	6.58188	0.06154	0.03571	0	0	0	0.00519	0.16651	0.02914	0.01167	19.6794	0.68619	0	2.88154	0	0	0.16651	0.32215	0	0
D003424	0.12267	5.93702	0	0.8683	2.41388	1.27232	9.64676	1.07736	0	0	0.11459	0	0.04315	0	0	0	1.07736	0	0	0
D003424	10.5851	11.36805	7.54955	0.12878	0.01621	0.00262	0	0	0.26179	0.00196	0	0	0	8.92469	0	0	0	0	0	0
