project_name,clinical,subtype,rna,Consensus,ABIS,CIBERSORTX,CIBERSORT,ConsensusTME,EPIC,ImmuCellAI,MCPcounter,quanTIseq,TIMER,xCell
GSE92921,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE93253,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE93254,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE97781,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE90814,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE41227,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE31448,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE41998,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE20194,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE15852,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE41194,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE72205,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE49481,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE92697,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE41197,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE9662,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE41196,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE40115,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE5764,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE128600,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE120129,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE10780,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE4482,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE97177,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE73613,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE28821,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE79058,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE98528,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE76124,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE19697,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE41198,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE23720,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE41994,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE43365,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE17907,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE35019,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE11965,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE48408,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE136644,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE14682,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE15116,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE121787,false,false,false,false,false,false,false,false,false,false,false,false,false,false
TCGA_BRCA,true,true,true,true,true,true,true,true,true,true,true,true,true,true
GSE33371_ACC,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE10927_ACC,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE18549_ACC,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE68606_ACC,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE18549_BRCA,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE23768_GPL9128_BRCA,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE23768_GPL5188_BRCA,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE11545_BRCA,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE107754_BRCA,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE11942_BRCA,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE107754_CESC,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE40367_CHOL,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE107754_CHOL,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE112408_GPL18941_CHOL,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE11545_COAD,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE18549_COAD,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE19249_GPL571_COAD,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE75970_COAD,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE101472_COAD,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE110224_COAD,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE14333_COAD,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE42977_COAD,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE77199_COAD,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE142720_COAD,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE107754_COAD,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE11942_COAD,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE40367_COAD,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE42977_DLBC,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE68606_DLBC,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE64217,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE146114,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE166466,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE27388,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE4482_GPL3515,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE4482_GPL3516,false,false,false,false,false,false,false,false,false,false,false,false,false,false
TCGA_CESC,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE68895,false,false,false,false,false,false,false,false,false,false,false,false,false,false
GSE38885,false,false,false,false,false,false,false,false,false,false,false,false,false,false
